Symbol,삼성SDI_시가(원),삼성SDI_종가(원),삼성SDI_거래량(주),삼성SDI_PER(IFRS-연결),삼성SDI_순매수수량(개인)(주),삼성SDI_순매수수량(기관계)(주),삼성SDI_순매수수량(외국인계)(주)
2000-01-04,47500,50400,511990,12.24,115850,-94960,-21390
2000-01-05,49000,47500,388150,11.53,44590,-44730,4340
2000-01-06,47600,43000,624043,10.44,315993,-207460,-104003
2000-01-07,43000,41000,542830,9.95,89170,-63980,-26380
2000-01-10,43000,41600,737530,10.1,196920,-81150,-96050
2000-01-11,42100,41850,535690,10.16,44460,-69340,21630
2000-01-12,41500,40100,446193,9.74,82353,-18760,-63093
2000-01-13,40100,42000,594720,10.2,28100,-9200,-33310
2000-01-14,42500,44300,816015,10.76,-118430,105920,5790
2000-01-17,45300,45000,804797,10.93,-106400,135460,-28950
2000-01-18,44900,44300,541262,10.76,-41630,77510,-34110
2000-01-19,44000,42900,569330,10.42,-9350,50020,-30120
2000-01-20,42850,45900,713850,11.14,-119990,136280,8200
2000-01-21,45800,45900,666280,11.14,25720,-21140,-26050
2000-01-24,46500,46900,458851,11.39,-38910,35690,1420
2000-01-25,45700,45300,310950,11,-29370,47080,-38110
2000-01-26,45100,44350,331610,10.77,-54090,108490,-56840
2000-01-27,43500,44800,342013,10.88,-111910,135740,-14690
2000-01-28,44500,45200,288100,10.97,7460,1850,-8010
2000-01-31,44400,44500,308858,10.8,-76440,37870,41670
2000-02-01,45800,45700,888360,11.1,323532,-99972,-210450
2000-02-02,46000,46000,447098,11.17,-73272,68642,6320
2000-02-03,45000,45500,443840,11.05,17422,112190,-132622
2000-02-07,45900,46000,460930,11.17,23110,-56300,9150
2000-02-08,46500,45200,377540,10.97,-5880,-31670,6520
2000-02-09,44700,45400,509894,11.02,-70446,-96569,-83515
2000-02-10,44950,43550,517495,10.57,34210,-190810,3210
2000-02-11,43400,43600,461550,10.59,-81930,-107890,8400
2000-02-14,42050,41400,394870,10.05,-78000,-71830,-3560
2000-02-15,41400,40800,244570,9.91,-89370,21960,1970
2000-02-16,40800,41550,316110,10.09,-29050,-76930,22430
2000-02-17,41550,42400,334070,10.29,-112100,-29340,32800
2000-02-18,42400,41000,587810,9.95,66210,-189340,69700
2000-02-21,40500,39300,418910,9.54,36620,-87070,49300
2000-02-22,39000,38000,437030,9.23,17940,-33340,-21680
2000-02-23,38300,39000,654520,9.47,55300,5080,-64110
2000-02-24,38500,39000,488100,9.47,85090,-70330,-88360
2000-02-25,37800,37400,316380,9.08,103860,-54210,-50800
2000-02-28,35100,33000,753850,8.01,162460,-51070,-229080
2000-02-29,33900,32900,537680,7.99,121120,-184150,4880
2000-03-02,33000,36150,904910,8.78,-107360,29090,-30880
2000-03-03,35500,34550,484180,8.39,-46030,46150,-10260
2000-03-06,34800,35700,805420,8.67,143220,-161610,-101440
2000-03-07,36500,36000,765610,8.74,-84890,80040,-113250
2000-03-08,35000,36100,356750,8.76,-72130,-10180,-22880
2000-03-09,36500,34500,425150,8.38,13280,-36200,-96750
2000-03-10,35500,36000,407840,8.74,-82840,63510,-39660
2000-03-13,35800,34800,315570,8.45,26280,-78170,-8030
2000-03-14,34000,34200,233170,8.3,-44590,7670,-28720
2000-03-15,33950,34500,327060,8.38,6770,-28530,-2900
2000-03-16,35500,35000,432740,8.5,-72400,-32950,78510
2000-03-17,36400,40000,2246540,9.71,-29330,171170,-215230
2000-03-20,40100,38600,730560,9.37,-104680,30050,2800
2000-03-21,38100,37300,397380,9.06,-45650,-8550,2140
2000-03-22,37950,39000,785340,9.47,119140,-56660,-73810
2000-03-23,38700,36800,400090,8.93,2030,11590,-17790
2000-03-24,37100,36800,333620,8.93,-41980,42780,-25450
2000-03-27,37100,37800,506760,9.18,-36360,89410,2900
2000-03-28,37800,41900,1145770,10.17,-118020,157900,-2310
2000-03-29,42000,43500,1499540,10.56,52390,-63540,118780
2000-03-30,44500,43500,1162970,10.56,101930,-110070,70000
2000-03-31,42200,41000,515190,9.95,-84100,75520,-4650
2000-04-03,42000,40000,547910,9.71,40090,44110,-65790
2000-04-04,39000,41500,378270,10.08,-86900,88050,10350
2000-04-06,40600,41400,234900,10.05,-34120,41400,-7070
2000-04-07,41500,43800,895340,10.63,-101690,76830,35650
2000-04-10,45000,45400,983280,11.02,-113410,64550,49650
2000-04-11,45400,46300,1038500,11.24,-117890,49960,131140
2000-04-12,46300,45350,482890,11.01,-122210,115050,-4850
2000-04-14,44500,44000,410450,10.68,31560,-37460,-7150
2000-04-17,39500,41000,549170,9.95,-227030,201720,7020
2000-04-18,44300,43100,513400,10.46,10490,4180,-5420
2000-04-19,44000,45100,1111220,10.95,-62100,-4790,84040
2000-04-20,45550,46250,735000,11.23,65990,19760,-83000
2000-04-21,46900,46950,437410,11.4,-166530,143530,-1420
2000-04-24,46800,44900,332160,10.9,-14970,36560,8260
2000-04-25,43200,45000,254860,10.93,-36930,25260,10300
2000-04-26,46500,42900,463140,10.42,-26320,-93350,115600
2000-04-27,42000,42900,494970,10.42,-91130,1020,64790
2000-04-28,42900,46300,601370,11.24,-223020,-37630,234630
2000-05-02,46500,48100,688650,11.68,-37950,13330,61420
2000-05-03,47800,48600,431830,11.8,-44550,52630,-4480
2000-05-04,48000,49500,629090,12.02,-168630,42420,143710
2000-05-08,50600,50400,610180,12.24,-85880,-48200,123550
2000-05-09,50400,50300,456850,12.21,3000,-141370,73780
2000-05-10,50300,50000,456280,12.14,-64620,-83670,130300
2000-05-12,49100,49000,348390,11.9,-77590,76210,-34890
2000-05-15,47500,47500,354910,11.53,-32980,129490,-101850
2000-05-16,48100,50900,573410,12.36,-86340,-59680,155460
2000-05-17,51600,49900,867300,12.12,-104970,58790,42940
2000-05-18,48150,49500,382270,12.02,-12960,92010,-24700
2000-05-19,49500,49500,395960,12.02,-22540,147140,-146590
2000-05-22,49000,45700,366020,11.1,78270,-32210,-36840
2000-05-23,44700,44900,284690,10.9,-69950,94150,-7070
2000-05-24,44000,44300,329250,10.76,-45080,73590,-16470
2000-05-25,44700,44150,583810,10.72,104150,10530,-111740
2000-05-26,43500,39950,409380,9.7,45640,-52750,3490
2000-05-29,38000,39900,354750,9.69,18910,-21600,-11390
2000-05-30,40500,43700,354960,10.61,-23800,5110,650
2000-05-31,45700,43000,725310,10.44,-69420,128990,-49160
2000-06-01,44400,45900,481740,11.14,-76310,31280,43640
2000-06-02,47300,48000,636790,11.65,-200710,85310,133090
2000-06-05,49000,48000,573600,11.65,-30230,-66630,110180
2000-06-07,48000,49000,543490,11.9,-91480,-170230,272030
2000-06-08,49400,47700,570510,11.58,-70780,-148570,229820
2000-06-09,48600,53000,1091290,12.87,-45910,-75760,124050
2000-06-12,54400,53000,805760,12.87,3810,-144610,152560
2000-06-13,52400,51300,366760,12.46,-41100,40520,-1310
2000-06-14,51300,52800,737550,12.82,-75940,-46680,122860
2000-06-15,51900,50500,399870,12.26,65820,-54740,-6080
2000-06-16,50500,51000,463130,12.38,-88170,-31240,124120
2000-06-19,50100,52000,334240,12.63,-75730,71070,5220
2000-06-20,53000,55000,782050,13.35,-132300,98100,25400
2000-06-21,55000,54500,494700,13.23,-122250,120240,10970
2000-06-22,55100,54200,295850,13.16,-37810,4980,48860
2000-06-23,53400,53500,281920,12.99,-12910,-41790,53110
2000-06-26,54000,53000,343540,12.87,34500,-73990,-11490
2000-06-27,53700,53800,292200,13.06,-18070,-21620,50460
2000-06-28,54500,54400,284960,13.21,-2290,-520,10030
2000-06-29,54800,53000,334740,12.87,13950,-7030,-6610
2000-06-30,53000,53500,171810,12.99,-21020,-32400,49700
2000-07-03,53400,53600,233500,13.01,-1980,-16420,18450
2000-07-04,54000,52800,200040,12.82,-31400,15430,8590
2000-07-05,53000,56300,379140,13.67,-80460,47880,46420
2000-07-06,56000,55900,328650,13.57,-55630,44230,17950
2000-07-07,57000,55500,249230,13.47,13580,-3830,4990
2000-07-10,55500,57600,417870,13.98,-34340,27240,11670
2000-07-11,57000,57600,567311,13.98,-95400,-10830,140010
2000-07-12,57100,56000,252538,13.6,36058,-41468,7780
2000-07-13,56500,56100,251645,13.62,56875,-61800,14285
2000-07-14,56500,56000,237011,13.6,-20780,-27930,56490
2000-07-18,56700,55600,169720,13.5,-11020,10380,280
2000-07-19,54300,53900,192371,13.09,-57430,61630,-5890
2000-07-20,53500,52000,230371,12.63,9789,57871,-42670
2000-07-21,52500,51000,344010,12.38,77440,30270,-111360
2000-07-24,49900,48000,240761,11.65,-49970,79310,-31450
2000-07-25,47900,48900,299153,11.87,-11248,89108,-80190
2000-07-26,48200,48500,264433,11.78,32040,-64340,11090
2000-07-27,48500,49300,136420,11.97,-57250,45790,12590
2000-07-28,48000,48000,230910,11.65,-17290,69370,-51870
2000-07-31,47100,49300,116190,11.97,-35140,11250,24060
2000-08-01,48000,50300,187281,12.21,3371,-16471,15490
2000-08-02,49800,50700,150220,12.31,-37960,18470,26130
2000-08-03,51700,49950,145910,12.13,37250,-45200,14370
2000-08-04,49950,49300,139521,11.97,12780,-23810,30580
2000-08-07,49000,48100,108781,11.68,-18239,14639,4000
2000-08-08,48000,48100,263970,11.68,-34500,-113660,168780
2000-08-09,49000,52000,403560,12.63,-111775,53555,130260
2000-08-10,52000,54500,514034,13.23,-24410,-2800,51380
2000-08-11,53200,54500,307418,13.23,-26208,-14092,36940
2000-08-14,55000,54400,188610,13.21,-11070,-7060,17810
2000-08-16,55800,53500,165870,12.99,16150,-31570,14830
2000-08-17,53000,53800,277361,13.06,4130,-49960,45650
2000-08-18,53800,52600,186832,12.77,-5192,10930,18372
2000-08-21,52600,53000,94030,12.87,-27360,-36250,50610
2000-08-22,54000,54700,212440,13.28,-52126,-7379,63395
2000-08-23,55000,53800,113110,13.06,-40000,-8670,47110
2000-08-24,54400,53700,176928,13.04,-26348,570,24298
2000-08-25,53400,54000,69210,13.11,-15380,11060,3850
2000-08-28,54700,54000,185870,13.11,-33090,17260,14010
2000-08-29,54500,53400,113072,12.97,7322,7998,-23570
2000-08-30,53000,51500,339230,12.5,32650,58210,-90190
2000-08-31,51000,49500,465738,12.02,7948,102340,-101728
2000-09-01,49100,49400,109410,11.99,28870,250,-30040
2000-09-04,48600,48600,153880,11.8,16530,1180,-17570
2000-09-05,48000,49600,86450,12.04,-24210,22970,1890
2000-09-06,48700,49000,60710,11.9,-9030,1430,7420
2000-09-07,48000,48000,126719,11.65,-6450,23770,-16920
2000-09-08,49300,49000,131830,11.9,-28380,18030,14070
2000-09-14,48000,49000,268300,11.9,58580,-32430,-18270
2000-09-15,48600,47100,189490,11.44,-5750,9330,990
2000-09-18,45100,44850,280780,10.89,-77170,75540,-19010
2000-09-19,42000,43000,376290,10.44,17240,141820,-192190
2000-09-20,44800,44500,232630,10.8,19682,-31302,17260
2000-09-21,43500,44000,135960,10.68,-37520,-25660,64110
2000-09-22,42000,39700,285990,9.64,38600,-102650,71350
2000-09-25,39500,41500,274730,10.08,9830,17730,-30820
2000-09-26,41000,41300,177780,10.03,-13040,5610,4740
2000-09-27,41000,44000,218280,10.68,-67420,-6960,64330
2000-09-28,44100,44450,235260,10.79,-22573,-52950,80973
2000-09-29,45100,44100,88620,10.71,4430,-17860,16320
2000-10-02,42500,43300,54970,10.51,-9090,-5900,21390
2000-10-04,41000,42300,148641,10.27,35441,34450,-72321
2000-10-05,43000,42600,293160,10.34,12680,-18080,7570
2000-10-06,41900,41800,103050,10.15,-2540,17170,-15850
2000-10-09,40650,41000,159010,9.95,1820,-14620,13840
2000-10-10,40500,40250,174590,9.77,25620,-12560,-13160
2000-10-11,40000,39200,202420,9.52,-3690,-78080,76810
2000-10-12,38500,38100,164500,9.25,-2230,-37590,46450
2000-10-13,37000,35600,493150,8.64,90370,46690,-141850
2000-10-16,39900,38500,388790,9.35,35010,-90150,59530
2000-10-17,38000,37000,166340,8.98,-41460,53510,-3380
2000-10-18,36000,36350,360780,8.83,31540,53330,-82470
2000-10-19,36550,37300,224260,9.06,-15280,210,22150
2000-10-20,39800,42350,626910,10.28,-105580,-133670,234900
2000-10-23,42500,40600,270920,9.86,-12660,-61770,74790
2000-10-24,40600,42100,297300,10.22,-23270,29640,-6240
2000-10-25,42200,42500,237800,10.32,-69420,-2670,102870
2000-10-26,41900,41600,137890,10.1,-25920,-11010,39130
2000-10-27,42500,42000,252600,10.2,-54930,47900,-1000
2000-10-30,42500,42000,72330,10.2,-6330,-7650,14890
2000-10-31,42500,44300,228010,10.76,-60980,-6190,65480
2000-11-01,45500,47500,373430,11.53,12300,-42980,29480
2000-11-02,47400,48600,513940,11.8,-90600,-137380,225100
2000-11-03,49000,48950,475110,11.88,-40720,-158070,203060
2000-11-06,48100,48000,304510,11.65,-19850,-6840,48520
2000-11-07,48200,47000,175150,11.41,4730,-43470,44340
2000-11-08,45700,47000,173420,11.41,-4620,-5530,11660
2000-11-09,46100,48900,186940,11.87,-11680,-13810,25130
2000-11-10,48550,49500,131460,12.02,-41150,30480,5670
2000-11-13,48000,46000,263950,11.17,61020,32440,-84200
2000-11-14,46000,48400,267000,11.75,-52210,-19670,81330
2000-11-15,49100,48000,188170,11.65,-29160,30680,-6030
2000-11-16,48300,49000,121260,11.9,-48790,21880,30590
2000-11-17,48150,48600,204280,11.8,-5180,-57630,73400
2000-11-20,48100,48000,111650,11.65,-40360,-38570,78930
2000-11-21,47800,47200,232140,11.46,35820,52540,-88390
2000-11-22,45800,45700,119890,11.1,36130,9340,-45200
2000-11-23,44650,45700,109870,11.1,-35790,9550,25580
2000-11-24,46000,47400,147030,11.51,-51200,-240,47890
2000-11-27,48000,48500,174870,11.78,-22000,-5630,27080
2000-11-28,47800,47000,105600,11.41,-1270,30910,-29090
2000-11-29,45400,46100,148290,11.19,3270,15200,-16860
2000-11-30,45700,45500,113940,11.05,5680,3420,-8560
2000-12-01,44500,45600,425350,11.07,30,176910,-178260
2000-12-04,46450,46000,140740,11.17,-39470,44100,-3700
2000-12-05,46500,48200,471090,11.7,-5460,-14720,18340
2000-12-06,50100,48150,688510,11.69,-132620,-106510,248100
2000-12-07,48650,49000,219270,11.9,-42020,-43170,92800
2000-12-08,48500,49500,146230,12.02,-39100,-12490,50620
2000-12-11,50000,49250,232530,11.96,-4590,-11180,8240
2000-12-12,49500,49250,261220,11.96,-38610,-42640,68740
2000-12-13,48300,49900,207630,12.12,-47380,-5610,11010
2000-12-14,48500,48700,239040,11.82,51010,-98660,48700
2000-12-15,48500,48650,139370,11.81,15910,-10250,-10390
2000-12-18,47500,48850,68290,11.86,-16740,14900,-430
2000-12-19,48200,47550,94180,11.54,-2860,-1010,-1440
2000-12-20,46000,46750,166620,11.35,-31880,25290,8590
2000-12-21,46000,48100,218410,11.68,-33670,38860,28900
2000-12-22,48050,47100,191890,11.44,-15200,80810,-60870
2000-12-26,48050,47000,113970,11.41,-6410,-8770,18220
2001-01-02,47500,47500,123240,4.19,-730,-16410,18310
2001-01-03,47100,47600,105560,4.19,-5800,4160,8480
2001-01-04,50400,49400,432190,4.35,-53300,-55200,116170
2001-01-05,49400,51500,517550,4.54,-90660,-149840,245290
2001-01-08,50900,51500,188250,4.54,-45660,30280,12270
2001-01-09,51000,52900,348220,4.66,-59300,-42680,97630
2001-01-10,52000,48000,352020,4.23,-55840,-141350,199630
2001-01-11,51900,52500,757040,4.63,-100410,-390820,507930
2001-01-12,53900,57400,498570,5.06,-152600,-35410,193700
2001-01-15,58600,59900,877980,5.28,-141000,-254680,434970
2001-01-16,60100,60100,368620,5.3,-75220,-134660,209930
2001-01-17,59200,60300,456890,5.31,-38660,-214690,252030
2001-01-18,61000,60500,469510,5.33,-3640,-203040,203480
2001-01-19,61000,62000,733080,5.46,-84320,-193190,290000
2001-01-22,62500,62800,233250,5.53,-32430,-78650,109580
2001-01-26,61500,58000,218890,5.11,-11990,-35470,44740
2001-01-29,56000,59700,253980,5.26,-35660,590,58950
2001-01-30,61000,60000,193660,5.29,-30310,-4460,63820
2001-01-31,60800,60500,126790,5.33,-6600,-1330,19970
2001-02-01,60000,59000,122210,5.2,-31430,10380,26280
2001-02-02,59900,59500,235940,5.24,-7570,-43950,51980
2001-02-05,57500,58900,149070,5.19,-21100,41260,-17130
2001-02-06,58900,60000,119030,5.29,-22030,3750,17850
2001-02-07,60000,59900,143900,5.28,-31810,-22560,56250
2001-02-08,59900,61600,221580,5.43,-88120,31830,18770
2001-02-09,61000,63800,394880,5.62,-141290,10860,119340
2001-02-12,63200,65600,422081,5.78,-125939,-37821,163710
2001-02-13,65900,65300,245011,5.75,-44170,-46700,100290
2001-02-14,65300,66500,237714,5.86,-67690,-36090,101410
2001-02-15,68000,67500,241120,5.95,-49130,-49450,102550
2001-02-16,67700,66000,245860,5.82,-13050,-74180,74210
2001-02-19,66000,65900,164520,5.81,-20650,-16440,-9960
2001-02-20,65900,67900,224483,5.98,-72537,-18123,92070
2001-02-21,67100,66100,192724,5.82,-6190,-30500,35570
2001-02-22,65200,67800,411060,5.97,-35150,-82690,129680
2001-02-23,67800,69400,482630,6.11,-115891,-58269,160080
2001-02-26,69900,69400,176370,6.11,-29250,-19020,55710
2001-02-27,70000,68300,144940,6.02,-3450,-210,4390
2001-02-28,67600,64100,427051,5.65,59861,-36431,-28870
2001-03-02,64000,62000,271350,5.46,-34959,46869,-8320
2001-03-05,61000,63500,136670,5.59,-27135,2175,23570
2001-03-06,62600,63000,252390,5.55,8450,38470,-46580
2001-03-07,63200,64500,265190,5.68,-47630,-72250,121170
2001-03-08,65700,65400,169030,5.76,-4070,10250,-2720
2001-03-09,64900,64400,193920,5.67,-13870,7470,10880
2001-03-12,61500,61700,197200,5.44,-21600,44700,-22570
2001-03-13,58700,60000,263560,5.29,-4210,52630,-55740
2001-03-14,61000,60100,289417,5.3,23077,-14487,-8100
2001-03-15,59500,62500,163150,5.51,-44575,8080,32655
2001-03-16,62000,62600,82625,5.52,-18540,-240,20380
2001-03-19,62000,61200,124820,5.39,3680,-26940,22050
2001-03-20,62900,62900,181409,5.54,-24230,-58660,82510
2001-03-21,62400,65000,311150,5.73,-70167,-53510,124647
2001-03-22,64000,65000,269180,5.73,-11425,-36270,47695
2001-03-23,65000,65000,207580,5.73,-19370,15920,890
2001-03-26,66500,67100,305620,5.91,-66790,-73260,134590
2001-03-27,66800,64000,174607,5.64,11960,-25573,11723
2001-03-28,64000,62300,259110,5.49,13253,16617,-29830
2001-03-29,60700,58200,533604,5.13,126080,49980,-156750
2001-03-30,55600,54000,820810,4.76,242740,196450,-499310
2001-04-02,54000,55100,379520,4.85,43300,57720,-94710
2001-04-03,54000,55400,237675,4.88,-41410,59030,-4710
2001-04-04,54000,53800,287030,4.74,20620,145390,-167660
2001-04-06,58800,54000,366083,4.76,29411,24759,-44810
2001-04-09,53800,52900,109792,4.66,-13620,29350,-15450
2001-04-10,54700,51500,156553,4.54,13330,6170,-20920
2001-04-11,52600,51400,295005,4.53,70840,54530,-125150
2001-04-12,51800,53100,314685,4.68,13518,-14648,-8310
2001-04-13,53500,52700,116402,4.64,13270,15320,-30490
2001-04-16,53000,52600,98430,4.63,-840,-19660,18290
2001-04-17,52700,52400,124730,4.62,14150,-1210,-13150
2001-04-18,52700,54800,354970,4.83,51939,43440,-93659
2001-04-19,57400,57200,711515,5.04,-81620,-184720,265720
2001-04-20,57000,57000,288350,5.02,-55819,-17151,39360
2001-04-23,57700,56900,188010,5.01,-23680,40160,-24400
2001-04-24,56000,54800,440477,4.83,43117,-46927,-70
2001-04-25,54800,54800,241060,4.83,32670,16870,-55170
2001-04-26,55900,54900,187640,4.84,7300,-1550,-1510
2001-04-27,54000,53800,118567,4.74,10540,-6190,-24390
2001-04-30,54000,54700,201710,4.82,14620,5130,-27580
2001-05-02,55900,55000,232305,4.85,34460,-41200,10750
2001-05-03,55500,58000,353530,5.11,-79312,-16078,46450
2001-05-04,57300,58900,201392,5.19,-30240,10860,-14080
2001-05-07,59800,59400,108970,5.23,-28700,24550,-280
2001-05-08,59100,59700,242441,5.26,-40069,-40741,76500
2001-05-09,58700,59000,188880,5.2,10360,-7040,4550
2001-05-10,58100,58000,212755,5.11,104515,-11850,-100385
2001-05-11,58000,56800,126361,5,46240,-1020,-44990
2001-05-14,57300,56500,87290,4.98,42050,-47560,1070
2001-05-15,56500,55400,211920,4.88,78120,14960,-110660
2001-05-16,55500,56000,136570,4.93,9460,-6380,-5970
2001-05-17,57000,56500,870165,4.98,173595,386485,-627520
2001-05-18,56000,58900,438035,5.19,-87380,76170,-370
2001-05-21,59700,59600,457960,5.25,-79970,-29400,61460
2001-05-22,60000,60300,298640,5.31,-51160,-34300,71650
2001-05-23,60500,60600,310445,5.34,-71630,66700,7960
2001-05-24,60000,62000,384940,5.46,-84140,23760,60070
2001-05-25,62500,63500,439650,5.59,-69340,84900,-20190
2001-05-28,63900.0,64000.0,197520.0,5.64,-49110,-12670,62340
2001-05-29,63900.0,64500.0,293628.0,5.68,-26460,5480,35540
2001-05-30,64500.0,63000.0,228654.0,5.55,17600,21460,-47040
2001-05-31,60100.0,61300.0,230349.0,5.4,22940,15060,-45480
2001-06-01,61400.0,61000.0,153645.0,5.37,36725,-9660,-31325
2001-06-04,61100.0,60200.0,124560.0,5.3,24560,-13720,-10270
2001-06-05,60200.0,60000.0,200660.0,5.29,-16310,9220,22750
2001-06-07,59100.0,59900.0,195730.0,5.28,48980,61250,-111230
2001-06-08,60000.0,61500.0,182160.0,5.42,-8195,-5785,11060
2001-06-11,61000.0,62800.0,207930.0,5.53,-14080,-15320,25390
2001-06-12,62300.0,62800.0,169813.0,5.53,-12233,1530,17173
2001-06-13,62800.0,63700.0,220750.0,5.61,-51735,-80635,131020
2001-06-14,63700.0,63200.0,227949.0,5.57,-18700,-67710,93910
2001-06-15,62500.0,62100.0,197850.0,5.47,40150,15180,-66670
2001-06-18,62200.0,61400.0,159540.0,5.41,17552,6188,-28910
2001-06-19,61100.0,60900.0,112381.0,5.37,-44270,42520,-4480
2001-06-20,61000.0,61800.0,265600.0,5.44,-40810,-51980,91070
2001-06-21,61600.0,62400.0,123560.0,5.5,-44242,45830,-438
2001-06-22,63000.0,61500.0,83220.0,5.42,-8770,-15560,20970
2001-06-25,61500.0,61000.0,78820.0,5.37,4380,3460,-7480
2001-06-26,60300.0,60400.0,91810.0,5.32,3700,10310,-14050
2001-06-27,59000.0,60600.0,124441.0,5.34,-8480,14270,-10310
2001-06-28,60900.0,61300.0,166591.0,5.4,-30801,47531,15090
2001-06-29,62200.0,62700.0,336227.0,5.52,-21849,94439,-1990
2001-07-02,63000.0,62500.0,116763.0,5.51,6540,8180,-18360
2001-07-03,62500.0,61600.0,115790.0,5.43,10410,14350,-25740
2001-07-04,60900.0,61800.0,98690.0,5.44,-2040,15970,-28030
2001-07-05,61500.0,61600.0,74630.0,5.43,-3650,-6100,6220
2001-07-06,60000.0,60400.0,130892.0,5.32,4580,18600,-27950
2001-07-09,59400.0,58700.0,195550.0,5.17,-9750,70610,-57370
2001-07-10,59000.0,57100.0,144270.0,5.03,19220,-25110,-13960
2001-07-11,56000.0,54800.0,284820.0,4.83,12850,90980,-103840
2001-07-12,55300.0,55500.0,227449.0,4.89,66619,-20579,-65170
2001-07-13,56100.0,54000.0,364771.0,4.76,28380,-20600,-15350
2001-07-16,53000.0,53300.0,194794.0,4.7,-480,72270,-70700
2001-07-18,52500.0,50400.0,441701.0,4.44,95060,83330,-188540
2001-07-19,49500.0,51000.0,169086.0,4.49,10800,31610,-48630
2001-07-20,51300.0,50400.0,120770.0,4.44,10610,-5160,-5870
2001-07-23,49850.0,50400.0,117760.0,4.44,-24080,39040,-16050
2001-07-24,49800.0,51500.0,176310.0,4.54,-12990,48220,-40490
2001-07-25,51000.0,51500.0,107500.0,4.54,-10570,2870,4760
2001-07-26,51800.0,52700.0,107280.0,4.64,6500,-9120,-2790
2001-07-27,53700.0,54100.0,174340.0,4.77,-41070,-8220,40880
2001-07-30,54000.0,52600.0,76910.0,4.63,4520,-14820,10130
2001-07-31,53300.0,53000.0,115410.0,4.67,3460,-20120,14960
2001-08-01,53000.0,54000.0,289279.0,4.76,14019,-28489,11100
2001-08-02,54900.0,55000.0,228200.0,4.85,-36970,-73980,111780
2001-08-03,55800.0,55400.0,94655.0,4.88,-10120,-30110,40790
2001-08-06,54900.0,56000.0,139010.0,4.93,-19410,370,24150
2001-08-07,55000.0,56800.0,132753.0,5.0,-20857,-4890,25247
2001-08-08,56800.0,56500.0,66540.0,4.98,-11050,-13010,24040
2001-08-09,55200.0,54800.0,137310.0,4.83,2160,-10240,4840
2001-08-10,55500.0,55500.0,58140.0,4.89,-7740,11570,-4560
2001-08-13,55500.0,54700.0,75636.0,4.82,7010,3370,-10060
2001-08-14,54800.0,55200.0,125710.0,4.86,-4930,30800,-23690
2001-08-16,54100.0,54900.0,117650.0,4.84,-1092,-20238,24200
2001-08-17,54200.0,54700.0,117414.0,4.82,11480,-3120,-10600
2001-08-20,53600.0,52200.0,108350.0,4.6,22570,-23570,690
2001-08-21,53000.0,54000.0,118959.0,4.76,-6640,-9080,21640
2001-08-22,53500.0,53700.0,111150.0,4.73,15450,29340,-46410
2001-08-23,54100.0,53200.0,105030.0,4.69,1526,16024,-16530
2001-08-24,53000.0,53000.0,95320.0,4.67,7220,-2910,-14010
2001-08-27,53300.0,54300.0,146595.0,4.78,-18600,38330,-13340
2001-08-28,53900.0,55000.0,101430.0,4.85,-14480,2140,12590
2001-08-29,54500.0,54400.0,134756.0,4.79,-32110,9214,28816
2001-08-30,54200.0,53900.0,92700.0,4.75,-7750,-13110,20890
2001-08-31,52800.0,53000.0,144570.0,4.67,-21610,-22210,41370
2001-09-03,53900.0,53600.0,40370.0,4.72,-17710,-2690,19590
2001-09-04,54400.0,54600.0,101950.0,4.81,-15380,7410,-1230
2001-09-05,53600.0,54500.0,96790.0,4.8,-12530,7130,9880
2001-09-06,54200.0,53100.0,92200.0,4.68,-10700,5680,4750
2001-09-07,52500.0,52500.0,112851.0,4.63,32081,439,-31990
2001-09-10,51700.0,52200.0,59080.0,4.6,1230,-10760,11540
2001-09-11,52000.0,52500.0,51664.0,4.63,-4290,-12720,17670
2001-09-12,45100.0,45500.0,180415.0,4.01,-60730,80980,-19710
2001-09-13,47100.0,47600.0,274293.0,4.19,44460,-94800,48770
2001-09-14,48500.0,47600.0,206091.0,4.19,-42560,-24350,68340
2001-09-17,46500.0,46000.0,79930.0,4.05,-14800,45310,-32330
2001-09-18,47000.0,46000.0,196160.0,4.05,62370,47170,-92670
2001-09-19,46100.0,45800.0,116948.0,4.04,8960,35610,-43820
2001-09-20,44700.0,43200.0,280510.0,3.81,48040,-17170,-9090
2001-09-21,42000.0,40000.0,729977.0,3.52,168620,55310,-202460
2001-09-24,39500.0,40400.0,427530.0,3.56,112500,12520,-127080
2001-09-25,41500.0,38500.0,360441.0,3.39,84530,-57850,-26380
2001-09-26,39000.0,39150.0,221240.0,3.45,34153,-67570,50427
2001-09-27,38500.0,39400.0,169605.0,3.47,14920,11260,1840
2001-09-28,39600.0,42500.0,539180.0,3.74,-85884,1910,80154
2001-10-04,44000.0,44950.0,414521.0,3.96,-72580,-66950,148590
2001-10-05,44950.0,44800.0,142540.0,3.95,-42658,-10382,56340
2001-10-08,45300.0,44100.0,109454.0,3.89,-24790,-9890,38580
2001-10-09,44300.0,46500.0,273619.0,4.1,-46811,2663,33828
2001-10-10,46500.0,47400.0,220950.0,4.18,-57620,58580,-960
2001-10-11,48400.0,47900.0,330920.0,4.22,-23390,-22670,13780
2001-10-12,49100.0,48400.0,378085.0,4.26,-15445,-120975,97670
2001-10-15,48350.0,49050.0,112941.0,4.32,-23320,-14460,27760
2001-10-16,49800.0,49300.0,122670.0,4.34,-4490,-4100,5790
