Symbol,두산_시가(원),두산_종가(원),두산_거래량(주),두산_PER(IFRS-연결),두산_순매수수량(개인)(주),두산_순매수수량(기관계)(주),두산_순매수수량(외국인계)(주)
2004-09-07,9710.0,9720.0,58960.0,17.74,-18500,13250,-40
2004-09-08,9800.0,9500.0,99460.0,17.34,-23830,2850,-100
2004-09-09,9450.0,9950.0,381420.0,18.16,82620,-76800,27770
2004-09-10,10050.0,10150.0,141540.0,18.53,-1880,1880,20000
2004-09-13,10200.0,10000.0,107647.0,18.25,-7420,3410,4010
2004-09-14,10100.0,10000.0,199493.0,18.25,-2360,-29120,31480
2004-09-15,10050.0,10100.0,85510.0,18.44,-3520,-390,3910
2004-09-16,10100.0,10500.0,251793.0,19.17,21750,11210,2540
2004-09-17,10550.0,10650.0,198170.0,19.44,13550,13040,-1020
2004-09-20,10600.0,10700.0,163570.0,19.53,11640,13950,-20
2004-09-21,10750.0,10600.0,142960.0,19.35,-28780,-6500,46810
2004-09-22,10650.0,10200.0,88524.0,18.62,-11586,-13414,25000
2004-09-23,10050.0,10100.0,54584.0,18.44,1700,-1700,0
2004-09-24,10050.0,10100.0,46630.0,18.44,2410,-4410,2000
2004-09-30,10050.0,10200.0,79240.0,18.62,6600,-6640,-160
2004-10-01,10200.0,10350.0,92970.0,18.89,7930,3670,-690
2004-10-04,10550.0,10400.0,72970.0,18.98,-7480,6500,0
2004-10-05,10450.0,10200.0,81640.0,18.62,-11120,11120,0
2004-10-06,10150.0,10300.0,83010.0,18.8,-11910,200,4040
2004-10-07,10250.0,10000.0,59652.0,18.25,-14670,18210,-920
2004-10-08,10100.0,9990.0,62128.0,18.24,1892,-4612,2720
2004-10-11,9830.0,10200.0,66212.0,18.62,14440,-18190,6950
2004-10-12,10250.0,9970.0,62627.0,18.2,14777,-9267,-580
2004-10-13,10000.0,10950.0,578773.0,19.99,181254,-80414,940
2004-10-14,10700.0,11200.0,202768.0,20.44,-2370,-5040,8450
2004-10-15,11100.0,10900.0,253677.0,19.9,12060,-3040,-6360
2004-10-18,10750.0,10500.0,161952.0,19.17,15810,-19750,880
2004-10-19,10700.0,10850.0,127140.0,19.8,-41680,19580,21790
2004-10-20,10800.0,10650.0,120580.0,19.44,-19270,2850,16730
2004-10-21,10600.0,11450.0,256707.0,20.9,-26628,-3772,27400
2004-10-22,11600.0,11600.0,195420.0,21.17,7140,27150,-34890
2004-10-25,11400.0,10900.0,92173.0,19.9,3830,-200,-860
2004-10-26,11050.0,10750.0,113954.0,19.62,12280,-3850,-690
2004-10-27,10850.0,10950.0,247784.0,19.99,16927,-30640,48160
2004-10-28,11150.0,10850.0,122590.0,19.8,27270,2420,-240
2004-10-29,10750.0,10300.0,231451.0,18.8,7520,17020,-530
2004-11-01,10400.0,10500.0,145107.0,19.17,-11580,39390,190
2004-11-02,10650.0,10950.0,149376.0,19.99,-16980,9850,9130
2004-11-03,10900.0,11550.0,317884.0,21.08,-6246,-38974,33920
2004-11-04,11600.0,11450.0,316119.0,20.9,95090,-102860,-3210
2004-11-05,11650.0,11950.0,385286.0,21.81,64120,-61530,46700
2004-11-08,12200.0,11750.0,169610.0,21.45,29000,-26860,-2140
2004-11-09,11900.0,11700.0,216041.0,21.36,-25470,13410,730
2004-11-10,11750.0,12400.0,367540.0,22.63,-65030,47980,29180
2004-11-11,12750.0,12650.0,327052.0,23.09,-15230,21410,28010
2004-11-12,12900.0,13250.0,686800.0,24.19,8870,-14230,73280
2004-11-15,13350.0,13100.0,393500.0,23.91,-88960,5670,103940
2004-11-16,13200.0,13150.0,180850.0,24.0,1424,-11761,16370
2004-11-17,13150.0,13150.0,191657.0,24.0,-3925,10000,-5065
2004-11-18,13050.0,12100.0,178743.0,22.09,29770,-1570,-32200
2004-11-19,12300.0,12300.0,157924.0,22.45,-8910,-4310,16020
2004-11-22,12300.0,11400.0,196563.0,20.81,65086,-11470,-49416
2004-11-23,11600.0,11450.0,184372.0,20.9,57090,-15110,6520
2004-11-24,11600.0,12150.0,234340.0,22.18,-27123,-4547,31590
2004-11-25,12300.0,12300.0,221514.0,22.45,6480,-33030,27750
2004-11-26,12500.0,12550.0,328380.0,22.91,-12175,-42860,55515
2004-11-29,12900.0,12600.0,135500.0,23.0,-7310,-8180,15490
2004-11-30,12600.0,12950.0,185230.0,23.64,-11690,-20050,31810
2004-12-01,12750.0,13100.0,100657.0,23.91,-4380,4580,-340
2004-12-02,13100.0,12950.0,133600.0,23.64,-16370,-3960,20010
2004-12-03,12950.0,12700.0,78813.0,23.18,-2602,10390,-5868
2004-12-06,12600.0,12600.0,86015.0,23.0,-26590,-12200,38870
2004-12-07,12300.0,12350.0,65240.0,22.54,1560,-7180,5620
2004-12-08,12200.0,12800.0,141256.0,23.36,-9500,-660,10160
2004-12-09,12900.0,13000.0,220378.0,23.73,6988,1022,-6760
2004-12-10,13250.0,12500.0,101787.0,22.82,5680,220,-15000
2004-12-13,12300.0,12250.0,59720.0,22.36,-12070,11550,0
2004-12-14,12500.0,12000.0,94770.0,21.9,27600,-19430,-8030
2004-12-15,11950.0,12100.0,89860.0,22.09,14790,-2530,-12330
2004-12-16,12100.0,12600.0,134760.0,23.0,9410,-10340,720
2004-12-17,12600.0,12200.0,138420.0,22.27,-3370,3250,-620
2004-12-20,12200.0,11800.0,151783.0,21.54,-20327,16517,3110
2004-12-21,11950.0,11800.0,98473.0,21.54,-170,-70,420
2004-12-22,11950.0,11700.0,97324.0,21.36,-18176,17756,0
2004-12-23,11700.0,11250.0,136190.0,20.54,-23620,24740,-1120
2004-12-24,11250.0,11150.0,177479.0,20.35,-44280,41020,2690
2004-12-27,11050.0,10900.0,74820.0,19.9,-23120,22410,-140
2004-12-28,10800.0,11550.0,149353.0,21.08,-58368,12248,47120
2004-12-29,11200.0,11800.0,92990.0,21.54,-29090,14430,14660
2004-12-30,11800.0,11900.0,91947.0,21.72,-40280,2550,33330
2005-01-03,12000.0,11800.0,72031.0,,3180,-22720,19540
2005-01-04,11700.0,11300.0,121820.0,,9630,-14280,2240
2005-01-05,11200.0,11400.0,44242.0,,-5500,-2060,7560
2005-01-06,11500.0,11400.0,95394.0,,-6410,-6600,12830
2005-01-07,11400.0,11250.0,60580.0,,-3790,6970,-3040
2005-01-10,11200.0,11450.0,90366.0,,11595,-33000,21405
2005-01-11,11500.0,11900.0,130732.0,,17700,-27400,9200
2005-01-12,12000.0,11600.0,56577.0,,4168,-3188,-1480
2005-01-13,11550.0,11600.0,66102.0,,740,-5030,-840
2005-01-14,11400.0,11800.0,85590.0,,-25500,6030,19020
2005-01-17,11800.0,11900.0,89896.0,,-5670,6240,0
2005-01-18,11900.0,11800.0,69882.0,,4530,-3310,-1080
2005-01-19,11850.0,11350.0,102980.0,,12550,-12990,0
2005-01-20,11400.0,11200.0,61149.0,,510,-300,0
2005-01-21,11100.0,11200.0,51110.0,,-9802,4350,5452
2005-01-24,11250.0,11400.0,68850.0,,-7320,-10630,18110
2005-01-25,11350.0,11300.0,113005.0,,-10510,17670,-6800
2005-01-26,11250.0,11200.0,124400.0,,-36190,16210,20000
2005-01-27,11450.0,11350.0,87270.0,,3490,1880,-5390
2005-01-28,11350.0,11100.0,68045.0,,21620,-1760,-20070
2005-01-31,11100.0,11100.0,101384.0,,14420,9244,-24574
2005-02-01,11150.0,11000.0,82630.0,,25990,-21080,-4340
2005-02-02,11150.0,11000.0,132571.0,,-2061,12800,-10659
2005-02-03,11050.0,10950.0,62784.0,,-6440,7920,-1370
2005-02-04,11050.0,10850.0,151743.0,,47693,-3770,-44023
2005-02-07,11000.0,11150.0,118120.0,,8020,-4290,1270
2005-02-11,11200.0,11600.0,273895.0,,59770,3370,-62680
2005-02-14,11750.0,11800.0,244577.0,,4790,-57500,0
2005-02-15,11900.0,11850.0,132821.0,,-24310,4660,-5040
2005-02-16,12000.0,11800.0,138256.0,,42630,-8880,-36160
2005-02-17,11850.0,11850.0,118340.0,,14360,8279,-25140
2005-02-18,11950.0,11900.0,169901.0,,92141,-9650,-79421
2005-02-21,12200.0,12700.0,461957.0,,-101020,83140,-7690
2005-02-22,12700.0,12200.0,142894.0,,7690,-470,230
2005-02-23,11900.0,12000.0,129697.0,,14770,3540,8660
2005-02-24,11950.0,12150.0,187350.0,,38620,-5260,-34000
2005-02-25,12300.0,12100.0,173311.0,,1560,13280,-19090
2005-02-28,12300.0,12750.0,212092.0,,-47020,15950,32450
2005-03-02,13050.0,13750.0,636092.0,,25840,8490,-11150
2005-03-03,13750.0,14000.0,259289.0,,8498,1262,-1040
2005-03-04,14150.0,13600.0,163442.0,,19502,-8862,1360
2005-03-07,13800.0,13800.0,338722.0,,79482,-72742,-6250
2005-03-08,14050.0,13550.0,319220.0,,61790,-47470,-5110
2005-03-09,13350.0,13500.0,283444.0,,55313,-18623,-42950
2005-03-10,13400.0,14400.0,426072.0,,-11210,-27300,57780
2005-03-11,14400.0,14450.0,296310.0,,-5186,16376,-4070
2005-03-14,14400.0,14200.0,189110.0,,14760,-8300,-4640
2005-03-15,14200.0,13400.0,300160.0,,46310,-46340,0
2005-03-16,13250.0,13100.0,195970.0,,49250,-58380,8120
2005-03-17,12800.0,12650.0,254070.0,,37580,-40580,3050
2005-03-18,12550.0,12500.0,180920.0,,12080,-46810,2450
2005-03-21,12400.0,12150.0,160370.0,,42800,-43790,850
2005-03-22,12150.0,12400.0,283307.0,,80127,-83720,1053
2005-03-23,12550.0,12150.0,306575.0,,56275,-66960,10845
2005-03-24,12400.0,11800.0,235975.0,,50780,-53880,3280
2005-03-25,11750.0,12100.0,124299.0,,-16110,12390,2600
2005-03-28,12200.0,12400.0,103181.0,,-4390,-1060,-2730
2005-03-29,12600.0,12550.0,240855.0,,-1740,-34680,37690
2005-03-30,12500.0,12300.0,78750.0,,-1070,930,0
2005-03-31,12500.0,12300.0,165430.0,,-6450,-4160,10430
2005-04-01,12300.0,12000.0,228225.0,,-17110,19000,13110
2005-04-04,12000.0,11850.0,173870.0,,-24890,2850,21040
2005-04-06,11950.0,11650.0,167480.0,,28070,8480,-36550
2005-04-07,11650.0,11900.0,142780.0,,-23110,1220,21790
2005-04-08,12000.0,11650.0,219340.0,,41680,-7420,15640
2005-04-11,11700.0,11400.0,92200.0,,-2250,1030,1220
2005-04-12,11300.0,11450.0,59050.0,,4970,990,-5960
2005-04-13,11500.0,11250.0,72000.0,,19670,320,-160
2005-04-14,11050.0,10800.0,125990.0,,26780,-15290,1450
2005-04-15,10800.0,10700.0,122419.0,,36840,-21900,5350
2005-04-18,10500.0,10750.0,101290.0,,-26970,17900,690
2005-04-19,10750.0,10800.0,112660.0,,32950,-11230,580
2005-04-20,10950.0,10600.0,145150.0,,35050,-22410,-1660
2005-04-21,10400.0,10750.0,80156.0,,-19710,1330,18380
2005-04-22,11000.0,10700.0,67824.0,,2280,-2280,0
2005-04-25,10500.0,10850.0,62028.0,,-11790,980,2810
2005-04-26,10800.0,11250.0,189720.0,,-13610,-18420,32030
2005-04-27,11000.0,11000.0,89280.0,,1960,6780,-6760
2005-04-28,11000.0,10600.0,83300.0,,14970,3210,-18000
2005-04-29,10350.0,10450.0,79730.0,,-15260,15460,200
2005-05-02,10600.0,10500.0,56670.0,,10500,-10780,-80
2005-05-03,10550.0,10400.0,51595.0,,-1490,-1810,3300
2005-05-04,10400.0,10650.0,70385.0,,-9560,1820,7740
2005-05-06,10750.0,11000.0,82445.0,,-21980,-240,7220
2005-05-09,10950.0,10600.0,95305.0,,10190,-440,-8490
2005-05-10,10800.0,10700.0,31380.0,,-1370,1700,-150
2005-05-11,10550.0,10450.0,43070.0,,1180,-2430,1070
2005-05-12,10400.0,10400.0,53530.0,,2990,-10,-1360
2005-05-13,10300.0,10450.0,41150.0,,-2330,-1610,3940
2005-05-16,10450.0,10500.0,34295.0,,-370,220,150
2005-05-17,10750.0,10450.0,46000.0,,-5500,5580,-80
2005-05-18,10600.0,10700.0,94050.0,,-18380,5970,12410
2005-05-19,10850.0,10900.0,85191.0,,-23430,14100,7390
2005-05-20,11050.0,10850.0,56430.0,,-1140,560,-140
2005-05-23,10850.0,10800.0,39950.0,,-1010,600,230
2005-05-24,10850.0,10700.0,74890.0,,20830,1430,-22820
2005-05-25,10750.0,10700.0,64230.0,,5360,1030,-6750
2005-05-26,10600.0,10600.0,66440.0,,2330,4460,-7930
2005-05-27,10700.0,10750.0,86757.0,,-4242,7112,-7500
2005-05-30,10750.0,10800.0,96004.0,,19850,9770,-29620
2005-05-31,10900.0,10700.0,77589.0,,-329,8609,-8280
2005-06-01,10750.0,10800.0,105358.0,,6600,14780,-21580
2005-06-02,10900.0,11100.0,185450.0,,-4670,8710,-4040
2005-06-03,11200.0,11000.0,126118.0,,37110,-33980,-3130
2005-06-07,10950.0,10750.0,123430.0,,29085,-22165,-6920
2005-06-08,10700.0,10700.0,122731.0,,940,-16360,14660
2005-06-09,10800.0,11000.0,265180.0,,-43840,-48450,61220
2005-06-10,11150.0,11650.0,339990.0,,-104940,21740,83580
2005-06-13,11650.0,11700.0,175540.0,,-60620,16670,42850
2005-06-14,11900.0,11500.0,131850.0,,-10580,-13180,22500
2005-06-15,11450.0,11900.0,106960.0,,-16660,12980,2240
2005-06-16,11750.0,11900.0,92720.0,,-9100,-4600,22440
2005-06-17,11850.0,11650.0,87020.0,,26660,-4150,-21550
2005-06-20,11600.0,11400.0,58150.0,,8580,-8650,-110
2005-06-21,11350.0,11250.0,78680.0,,-5770,-5870,4780
2005-06-22,11300.0,11700.0,136290.0,,-2010,3640,-2890
2005-06-23,11750.0,12150.0,226670.0,,90980,-9150,-91930
2005-06-24,11900.0,11900.0,158981.0,,9100,-2500,-6500
2005-06-27,11800.0,11600.0,98461.0,,-880,2460,-1440
2005-06-28,11500.0,11750.0,127968.0,,37550,14200,-53250
2005-06-29,11950.0,11850.0,134232.0,,-23790,36300,-12720
2005-06-30,11850.0,12150.0,348554.0,,94380,35130,-129510
2005-07-01,12250.0,13350.0,1457157.0,,-376567,204867,176760
2005-07-04,13650.0,14100.0,792439.0,,-126573,14643,183190
2005-07-05,14300.0,14100.0,250782.0,,-19360,1050,36990
2005-07-06,14300.0,14050.0,287141.0,,-5160,-4280,18090
2005-07-07,13800.0,13600.0,187580.0,,-40350,9510,32630
2005-07-08,13550.0,12900.0,294729.0,,69420,-8600,-67280
2005-07-11,13100.0,13300.0,281324.0,,-58890,-12250,73500
2005-07-12,13550.0,13850.0,303910.0,,-84920,56300,29520
2005-07-13,13850.0,13550.0,131982.0,,-5802,32902,-27100
2005-07-14,13600.0,13450.0,115800.0,,10630,460,-6890
2005-07-15,13500.0,14000.0,3028649.0,,754097,48943,-3180
2005-07-18,14250.0,14800.0,462351.0,,71220,-47940,3460
2005-07-19,14800.0,15200.0,483172.0,,-60190,39760,59170
2005-07-20,15400.0,14600.0,323100.0,,43690,-7260,-41610
2005-07-21,14700.0,15300.0,679638.0,,79770,-205950,144210
2005-07-22,14250.0,14400.0,1087286.0,,-162610,-54810,213270
2005-07-25,14200.0,14800.0,474700.0,,-130210,40210,89900
2005-07-26,14900.0,14700.0,205340.0,,-93520,46530,45840
2005-07-27,14600.0,14900.0,269800.0,,-33430,-3800,65790
2005-07-28,15150.0,17100.0,757920.0,,354,88753,-66740
2005-07-29,17500.0,16000.0,901593.0,,147520,-72510,-98010
2005-08-01,16000.0,16600.0,374684.0,,577,17190,-17787
2005-08-02,16600.0,16700.0,237570.0,,-14810,-7090,25770
2005-08-03,16700.0,16200.0,471900.0,,-124760,-42130,161950
2005-08-04,16250.0,15900.0,140531.0,,-32110,27200,2860
2005-08-05,15600.0,15600.0,180457.0,,-21670,-40000,64510
2005-08-08,15050.0,15400.0,111745.0,,-6950,-16210,21540
2005-08-09,15150.0,15600.0,150080.0,,-8860,8590,150
2005-08-10,15650.0,15350.0,228675.0,,18372,-39062,20470
2005-08-11,15300.0,15850.0,363706.0,,60741,-77031,25170
2005-08-12,16100.0,16450.0,258630.0,,20290,4370,-24790
2005-08-16,16250.0,15300.0,380581.0,,7170,-31300,17230
2005-08-17,15050.0,15150.0,284212.0,,79861,-13560,-83771
2005-08-18,15300.0,15000.0,302122.0,,68230,-11440,-63640
2005-08-19,14900.0,14900.0,149770.0,,-28740,-16750,45780
2005-08-22,14800.0,15800.0,285509.0,,-129910,-6110,129440
2005-08-23,15950.0,15950.0,153441.0,,-35920,-38600,76860
2005-08-24,16000.0,15800.0,126633.0,,-19740,-17430,35920
2005-08-25,15950.0,16850.0,497630.0,,-105330,-11350,114500
2005-08-26,16850.0,17000.0,364930.0,,-56040,-21810,91720
2005-08-29,16600.0,17000.0,159702.0,,-6878,-26260,27108
2005-08-30,17400.0,17300.0,181020.0,,-36554,-10266,29270
2005-08-31,17300.0,16950.0,117630.0,,-15890,10110,7780
2005-09-01,16900.0,16650.0,126000.0,,5900,-18630,11730
2005-09-02,16850.0,16750.0,89940.0,,16660,-20570,3910
2005-09-05,16750.0,16550.0,73630.0,,-8510,-1590,7900
2005-09-06,16500.0,16500.0,73359.0,,-13290,11580,220
2005-09-07,16650.0,17450.0,187979.0,,-2054,-4206,6740
2005-09-08,17700.0,17200.0,193494.0,,-25710,26800,12320
2005-09-09,17200.0,17500.0,81623.0,,-6222,2282,9270
2005-09-12,17800.0,17650.0,91700.0,,-13550,17380,-1950
2005-09-13,17400.0,17500.0,125159.0,,-46540,-13040,56580
2005-09-14,17400.0,17800.0,120836.0,,2610,2850,-700
2005-09-15,17800.0,17250.0,60578.0,,1064,-4624,4230
2005-09-16,17250.0,17600.0,54470.0,,1320,1270,430
2005-09-20,17750.0,18700.0,197439.0,,16357,-13167,1170
2005-09-21,18350.0,18400.0,125310.0,,25550,-400,-26270
2005-09-22,18150.0,18900.0,118698.0,,-6134,-9086,9820
2005-09-23,18700.0,18400.0,91770.0,,-5110,1440,-10
2005-09-26,18350.0,18650.0,109248.0,,2011,-29221,24620
2005-09-27,18600.0,18600.0,56900.0,,1370,-8920,1630
2005-09-28,18400.0,19150.0,145380.0,,-26810,-8770,36450
2005-09-29,18900.0,19800.0,173507.0,,-9758,-12722,19400
2005-09-30,19800.0,19600.0,77665.0,,-11030,21130,-590
2005-10-04,19500.0,19800.0,109276.0,,9510,-100,-11220
2005-10-05,19800.0,19500.0,138392.0,,-5800,-11290,19910
2005-10-06,19150.0,18950.0,120221.0,,31470,-5800,-25660
2005-10-07,18800.0,18550.0,104900.0,,15130,9740,-24820
2005-10-10,18500.0,18550.0,142700.0,,1260,-12300,13190
2005-10-11,18200.0,18650.0,121981.0,,37470,-10970,-24990
2005-10-12,18700.0,18100.0,137985.0,,34110,-59260,26100
2005-10-13,17850.0,18500.0,129133.0,,-2760,-18770,24130
2005-10-14,18150.0,17850.0,88550.0,,38360,2270,-41950
2005-10-17,17500.0,17850.0,65550.0,,-21550,1200,19510
2005-10-18,18100.0,18600.0,189007.0,,-49567,-5943,39440
2005-10-19,18500.0,18650.0,81142.0,,8680,-4540,-5560
2005-10-20,19000.0,18500.0,75110.0,,12670,2740,-15410
2005-10-21,18100.0,19050.0,106470.0,,15500,4510,-20310
2005-10-24,19100.0,19000.0,85815.0,,11914,1006,-13510
2005-10-25,19250.0,18750.0,83402.0,,12420,-6650,-9120
2005-10-26,18400.0,18700.0,43652.0,,-4060,4890,-1190
2005-10-27,18400.0,18550.0,84820.0,,2740,-1060,-1540
2005-10-28,18500.0,18050.0,110912.0,,54210,-10560,-44810
2005-10-31,18350.0,18400.0,53290.0,,-4470,4640,3530
2005-11-01,18250.0,19400.0,123721.0,,-56066,-5674,63350
2005-11-02,19600.0,19700.0,147909.0,,-37920,5580,38660
2005-11-03,19700.0,19500.0,71260.0,,-13537,8540,4130
2005-11-04,19500.0,19450.0,54242.0,,-4733,10200,-4110
2005-11-07,19500.0,19100.0,94250.0,,-26430,-16030,47560
2005-11-08,19100.0,19650.0,164390.0,,-20003,-747,20670
2005-11-09,19750.0,19650.0,182962.0,,32220,24600,-60510
2005-11-10,19900.0,19900.0,214850.0,,-12040,31770,-46240
2005-11-11,19700.0,20250.0,472566.0,,28070,100650,-150330
2005-11-14,20300.0,22900.0,386310.0,,-116870,170050,-66320
2005-11-15,23200.0,25700.0,766999.0,,-48510,197630,-145850
2005-11-16,25750.0,25850.0,404768.0,,-57989,126109,-76710
2005-11-17,26000.0,25900.0,345863.0,,13563,123257,-137350
2005-11-18,25800.0,25600.0,537882.0,,38660,152770,-201580
2005-11-21,25400.0,24850.0,283822.0,,-43920,94640,-71150
2005-11-22,24700.0,25950.0,495370.0,,93520,121240,-255760
2005-11-23,26000.0,29800.0,1040026.0,,-278479,308199,-51480
2005-11-24,30100.0,31800.0,864447.0,,-187067,58127,120080
2005-11-25,31600.0,30400.0,380333.0,,66360,-10970,-82980
2005-11-28,30000.0,28850.0,349610.0,,19682,-38692,22900
2005-11-29,28100.0,28500.0,343718.0,,5236,1127,-7293
2005-11-30,28300.0,29750.0,376301.0,,-41530,44540,-10640
2005-12-01,29800.0,29150.0,162489.0,,-12669,14519,-240
2005-12-02,29400.0,28000.0,374534.0,,900,51020,-40880
2005-12-05,27850.0,27900.0,368283.0,,27240,-63400,24860
2005-12-06,28100.0,26800.0,480656.0,,36519,-35649,41000
2005-12-07,27100.0,26500.0,447895.0,,114501,-92931,11570
2005-12-08,26800.0,27650.0,381633.0,,-65843,35863,49520
2005-12-09,27800.0,29400.0,443310.0,,-73813,25113,53680
2005-12-12,29900.0,30850.0,452433.0,,-93550,58420,8830
2005-12-13,30800.0,30850.0,146750.0,,-60270,15800,13260
2005-12-14,31150.0,30700.0,180562.0,,-9298,-5902,17020
2005-12-15,30200.0,30700.0,133442.0,,-27620,27110,-3620
2005-12-16,30500.0,30100.0,156880.0,,-39305,31355,-9350
2005-12-19,29600.0,31200.0,244062.0,,22150,930,-21740
2005-12-20,30850.0,34000.0,423040.0,,-98530,194630,-92570
2005-12-21,33500.0,33800.0,202467.0,,-71288,57918,9250
2005-12-22,34000.0,35000.0,497699.0,,-12049,24349,-15950
2005-12-23,35650.0,34500.0,184560.0,,-5579,-4131,-20810
2005-12-26,34500.0,33500.0,159179.0,,14009,-18079,4450
2005-12-27,32900.0,34100.0,161292.0,,-75314,79564,770
2005-12-28,33800.0,33450.0,108670.0,,-9507,17657,-780
2005-12-29,33450.0,34000.0,188370.0,,37649,-37029,-400
2006-01-02,34050.0,35600.0,227500.0,394.33,-96217,6487,15170
2006-01-03,35150.0,34700.0,140617.0,384.36,19683,9577,-37160
2006-01-04,35400.0,33600.0,210560.0,372.18,27493,-30643,-1860
2006-01-05,33200.0,33400.0,212931.0,369.96,-29029,12229,18970
2006-01-06,33800.0,32700.0,295170.0,362.21,48996,-42976,-10620
2006-01-09,32550.0,30200.0,344278.0,334.52,89326,-79696,10280
2006-01-10,29900.0,29000.0,386874.0,321.22,30523,-60853,20360
2006-01-11,29000.0,30200.0,295338.0,334.52,-4210,1250,5660
2006-01-12,30500.0,29500.0,278000.0,326.77,68140,-18200,-45470
2006-01-13,29000.0,29300.0,327136.0,324.54,91723,20037,-111760
2006-01-16,29500.0,31200.0,332050.0,345.59,-40480,30180,11480
2006-01-17,31600.0,28900.0,238710.0,320.11,25791,-34381,13670
2006-01-18,28650.0,27350.0,534462.0,302.94,110002,-179632,72880
2006-01-19,27000.0,30750.0,823329.0,340.61,-136876,-10414,155340
2006-01-20,30900.0,28900.0,339229.0,320.11,-54721,3271,49060
2006-01-23,27500.0,26000.0,403530.0,288.0,-24060,13450,37920
2006-01-24,26300.0,26300.0,171347.0,291.32,-20384,9864,10840
2006-01-25,26500.0,26400.0,184622.0,292.42,44750,-34310,-10060
2006-01-26,27300.0,29000.0,299753.0,321.22,13800,-730,5530
2006-01-27,29900.0,29550.0,358263.0,327.32,-36600,-2700,32250
2006-01-31,29550.0,30150.0,415641.0,333.96,-64810,22400,-87230
2006-02-01,29700.0,28500.0,153719.0,315.68,-30035,11195,25960
2006-02-02,28950.0,29350.0,169603.0,325.09,8260,-9350,5310
2006-02-03,28550.0,27450.0,113520.0,304.06,8740,-27220,23070
2006-02-06,26500.0,27000.0,262227.0,299.07,68373,-87533,28790
2006-02-07,26950.0,27000.0,103022.0,299.07,-23270,-14480,38930
2006-02-08,27150.0,26300.0,121391.0,291.32,1310,-5810,5000
2006-02-09,26700.0,26300.0,82530.0,291.32,2930,-6280,9370
2006-02-10,26200.0,26800.0,169361.0,296.85,42540,-48920,20290
2006-02-13,27200.0,27350.0,221660.0,302.94,-53565,-13585,75210
2006-02-14,27350.0,27850.0,78936.0,308.49,-20320,12420,6400
2006-02-15,28400.0,27750.0,95070.0,307.38,-30200,-1280,32460
2006-02-16,28000.0,28700.0,158932.0,317.9,-15880,3020,10580
2006-02-17,29400.0,30000.0,389254.0,332.3,-92450,-22250,132430
2006-02-20,30600.0,31500.0,259280.0,348.91,-124530,20240,114390
2006-02-21,32100.0,33500.0,485444.0,371.06,-74830,-3300,107250
2006-02-22,33750.0,36000.0,782480.0,398.76,-139812,-82688,227620
2006-02-23,37000.0,37150.0,721628.0,411.49,-11053,-86897,99500
2006-02-24,37150.0,36000.0,428645.0,398.76,38340,99500,-138590
2006-02-27,35200.0,35000.0,155110.0,387.68,-13190,59480,-46670
2006-02-28,35100.0,36500.0,387760.0,404.3,-51240,50220,19820
2006-03-02,36600.0,35900.0,78420.0,397.66,-4150,21220,-17080
2006-03-03,35250.0,33500.0,278606.0,371.06,-5459,-19671,25710
2006-03-06,33200.0,34800.0,117090.0,385.47,-25380,23910,8140
2006-03-07,33500.0,33800.0,115325.0,374.39,4496,-6956,22050
2006-03-08,33150.0,34700.0,212755.0,384.36,5271,42899,-32900
2006-03-09,35250.0,34550.0,204532.0,382.7,8632,33458,-30540
2006-03-10,34350.0,34100.0,81366.0,377.72,8195,-11525,8010
2006-03-13,33900.0,34300.0,101465.0,379.93,9340,-10940,7300
2006-03-14,34300.0,33700.0,80420.0,373.29,19720,-19700,1650
2006-03-15,33900.0,34800.0,122947.0,385.47,-13731,3351,9160
2006-03-16,35700.0,36000.0,384918.0,398.76,-49639,41019,8750
2006-03-17,36000.0,36800.0,167371.0,407.62,-56430,12430,43600
2006-03-20,37000.0,36650.0,98740.0,405.96,-29646,1796,28840
2006-03-21,36300.0,35500.0,116450.0,393.22,31130,13010,-43820
2006-03-22,35000.0,33900.0,183124.0,375.5,29530,16570,-42790
2006-03-23,34200.0,33450.0,189410.0,370.51,19870,-8510,-11290
2006-03-24,32700.0,34400.0,129720.0,381.04,-37412,1382,54480
2006-03-27,34400.0,34500.0,69570.0,382.14,-28440,10130,22340
2006-03-28,34050.0,34000.0,64721.0,376.61,-32636,2906,31330
2006-03-29,33300.0,34000.0,70240.0,376.61,-39130,25110,13290
2006-03-30,34300.0,35450.0,106130.0,392.66,-22660,6740,-4920
2006-03-31,35550.0,36500.0,153610.0,404.3,-17510,66050,-64350
2006-04-03,36100.0,35550.0,114811.0,393.77,33120,-6860,-20290
2006-04-04,35200.0,34100.0,259101.0,377.72,46100,-15680,-33360
2006-04-05,34200.0,34600.0,312629.0,383.25,530,-27740,25530
2006-04-06,34500.0,33700.0,202132.0,373.29,26010,4040,-27350
2006-04-07,33600.0,34400.0,165792.0,381.04,-40,-4540,4260
2006-04-10,33900.0,33800.0,92948.0,374.39,16898,11972,-36330
2006-04-11,33300.0,32900.0,174561.0,364.42,51771,219,-53430
2006-04-12,32300.0,32750.0,230604.0,362.76,57308,13512,-71210
2006-04-13,33150.0,33300.0,180141.0,368.85,18446,3374,-21560
2006-04-14,33400.0,36050.0,554071.0,399.32,-19330,35780,-31250
2006-04-17,36400.0,36000.0,292583.0,398.76,-14310,-51230,58520
2006-04-18,36000.0,37300.0,389410.0,413.16,-40760,56550,-18530
