Symbol,LS_시가(원),LS_종가(원),LS_거래량(주),LS_PER(IFRS-연결),LS_순매수수량(개인)(주),LS_순매수수량(기관계)(주),LS_순매수수량(외국인계)(주)
2004-09-14,17000.0,16950.0,76731.0,8.47,16814,7776,-24570
2004-09-15,16850.0,16800.0,127497.0,8.4,60490,-15530,-55520
2004-09-16,16600.0,17100.0,175443.0,8.55,-33610,84190,-45630
2004-09-17,17300.0,17300.0,416040.0,8.65,-17970,329430,-301390
2004-09-20,17300.0,17500.0,100563.0,8.75,-61380,58480,420
2004-09-21,17600.0,17600.0,90540.0,8.8,-35430,44740,360
2004-09-22,17450.0,17600.0,155460.0,8.8,-74450,34520,38540
2004-09-23,17650.0,18000.0,191013.0,9.0,-105574,56730,48884
2004-09-24,18000.0,17800.0,72895.0,8.9,-9465,11355,4330
2004-09-30,17950.0,17600.0,116220.0,8.8,-22390,83480,-60410
2004-10-01,17500.0,17700.0,83960.0,8.85,-3280,11130,-7860
2004-10-04,18000.0,17800.0,142810.0,8.9,10380,44340,-51310
2004-10-05,17800.0,17800.0,133918.0,8.9,17098,-35488,29390
2004-10-06,17800.0,17850.0,143671.0,8.92,6500,45330,-50610
2004-10-07,17800.0,18100.0,150850.0,9.05,1020,-5750,3660
2004-10-08,18100.0,19300.0,783357.0,9.65,-105243,89603,67140
2004-10-11,19050.0,19900.0,577070.0,9.95,-31104,-27246,47500
2004-10-12,20300.0,19000.0,554530.0,9.5,187470,-13980,-210460
2004-10-13,19050.0,19150.0,208469.0,9.57,25979,-8459,-21580
2004-10-14,18600.0,17850.0,422495.0,8.92,129590,56900,-212140
2004-10-15,17550.0,18300.0,242630.0,9.15,-9620,62510,-66930
2004-10-18,18000.0,17700.0,349021.0,8.85,72170,20930,-71440
2004-10-19,17950.0,18500.0,238886.0,9.25,20870,26700,-61430
2004-10-20,18200.0,17850.0,164981.0,8.92,-6550,35150,-41610
2004-10-21,17900.0,17850.0,166330.0,8.92,24720,7470,-35870
2004-10-22,17900.0,18000.0,73460.0,9.0,1660,16600,-10260
2004-10-25,17650.0,17250.0,146970.0,8.62,51600,11790,-64340
2004-10-26,17250.0,17800.0,102870.0,8.9,-60640,31370,12370
2004-10-27,17750.0,17950.0,78280.0,8.97,-33213,16863,15220
2004-10-28,18200.0,18450.0,111781.0,9.22,-38256,13416,26080
2004-10-29,18200.0,18700.0,122535.0,9.35,-34725,9550,23705
2004-11-01,18550.0,18600.0,84328.0,9.3,-2978,26798,-29820
2004-11-02,18750.0,18400.0,95790.0,9.2,9260,9640,-16800
2004-11-03,18450.0,18100.0,86525.0,9.05,26860,-8680,-19300
2004-11-04,18150.0,17800.0,118401.0,8.9,54572,-27972,-35820
2004-11-05,17950.0,18150.0,101650.0,9.07,-15530,32080,-12030
2004-11-08,18250.0,18600.0,181951.0,9.3,-56800,41130,24310
2004-11-09,18650.0,18900.0,133780.0,9.45,-52140,23400,44720
2004-11-10,19150.0,19000.0,278780.0,9.5,-21877,10537,21390
2004-11-11,19000.0,18850.0,160370.0,9.42,-4500,-11890,15110
2004-11-12,18900.0,19400.0,183116.0,9.7,-51800,2910,57170
2004-11-15,19450.0,19700.0,291795.0,9.85,-51825,-31875,175660
2004-11-16,19900.0,19250.0,121625.0,9.62,23855,-20855,14110
2004-11-17,19350.0,19300.0,141230.0,9.65,24452,-24922,-60
2004-11-18,18900.0,19000.0,99991.0,9.5,-37216,-3305,28771
2004-11-19,19200.0,19000.0,78875.0,9.5,-24703,-697,24070
2004-11-22,19150.0,19350.0,217799.0,9.67,-54360,-53920,118070
2004-11-23,19600.0,19500.0,104813.0,9.75,-19080,-2570,21610
2004-11-24,19500.0,19800.0,132312.0,9.9,-66580,19070,53290
2004-11-25,19600.0,20450.0,308105.0,10.22,-114690,-40820,156210
2004-11-26,20500.0,20600.0,238350.0,10.3,-77230,-5000,90260
2004-11-29,20600.0,20800.0,160113.0,10.4,-56814,-30206,88520
2004-11-30,21000.0,20550.0,111216.0,10.27,-18673,3203,25730
2004-12-01,20750.0,20950.0,87250.0,10.47,-36170,17540,16250
2004-12-02,21100.0,21300.0,170046.0,10.65,-43890,-32610,80030
2004-12-03,21350.0,21500.0,269497.0,10.75,-38915,-108215,193020
2004-12-06,21600.0,21450.0,102280.0,10.72,-17980,-36710,73830
2004-12-07,21450.0,21600.0,98280.0,10.8,-35323,5003,28690
2004-12-08,21500.0,21500.0,80490.0,10.75,-28036,5116,25240
2004-12-09,21550.0,20850.0,139410.0,10.42,6530,13220,-23310
2004-12-10,21200.0,20850.0,68580.0,10.42,-26100,1720,17560
2004-12-13,20800.0,20950.0,58170.0,10.47,-19560,18440,350
2004-12-14,20800.0,20800.0,44088.0,10.4,377,-19007,17880
2004-12-15,21000.0,21250.0,112370.0,10.62,1570,-23410,21650
2004-12-16,21050.0,21600.0,68130.0,10.8,-24290,-5600,34560
2004-12-17,21750.0,21750.0,94465.0,10.87,-12365,-24885,45860
2004-12-20,21350.0,21800.0,65370.0,10.9,3600,-14880,20690
2004-12-21,21700.0,20700.0,105175.0,10.35,33810,-3850,29970
2004-12-22,20700.0,20700.0,150600.0,10.35,29520,-91740,71640
2004-12-23,21000.0,20400.0,79253.0,10.2,16933,-40043,23240
2004-12-24,20300.0,20650.0,63960.0,10.32,21020,2950,-1120
2004-12-27,20400.0,20950.0,104710.0,10.47,-11250,-1260,19870
2004-12-28,21100.0,20800.0,169372.0,10.4,6392,18668,44000
2004-12-29,20800.0,21400.0,106080.0,10.7,-37930,21560,24090
2004-12-30,21400.0,21550.0,116861.0,10.77,-22810,-38390,43640
2005-01-03,21300.0,21550.0,55811.0,5.84,-17969,12109,13120
2005-01-04,21700.0,21550.0,31630.0,5.84,-12350,5360,3370
2005-01-05,21100.0,21000.0,78280.0,5.69,16860,-17410,11180
2005-01-06,21150.0,21000.0,59157.0,5.69,-20011,-6379,26120
2005-01-07,21000.0,20950.0,48570.0,5.68,-180,-5930,1330
2005-01-10,20650.0,20200.0,96960.0,5.48,42190,-18160,-24030
2005-01-11,20300.0,20500.0,95349.0,5.56,-7529,-37461,34890
2005-01-12,20600.0,21200.0,75930.0,5.75,-21980,18910,8070
2005-01-13,20900.0,21200.0,72056.0,5.75,-10950,9480,-9700
2005-01-14,21050.0,20800.0,98604.0,5.64,-11096,-5054,15410
2005-01-17,20800.0,21300.0,91030.0,5.77,-24884,370,30240
2005-01-18,21050.0,21000.0,59000.0,5.69,-940,14790,-12990
2005-01-19,21050.0,21850.0,115470.0,5.92,-14120,-20350,33090
2005-01-20,21850.0,21000.0,86790.0,5.69,24260,-18060,11820
2005-01-21,21300.0,21100.0,69590.0,5.72,10630,-16390,11130
2005-01-24,21000.0,21400.0,83769.0,5.8,-30365,19545,11210
2005-01-25,21250.0,21400.0,51460.0,5.8,-9050,-6780,1670
2005-01-26,21400.0,22750.0,153160.0,6.17,-45700,-5800,44030
2005-01-27,22500.0,23250.0,110490.0,6.3,-26180,8640,17810
2005-01-28,23000.0,24400.0,203250.0,6.61,-45420,-65260,117420
2005-01-31,24400.0,24250.0,71570.0,6.57,-9900,7150,-1690
2005-02-01,24500.0,23650.0,80871.0,6.41,-2946,-43214,54170
2005-02-02,23650.0,23100.0,79101.0,6.26,3620,260,-1640
2005-02-03,22850.0,23500.0,63650.0,6.37,-14850,14340,870
2005-02-04,23250.0,24500.0,108171.0,6.64,-50460,-2720,42100
2005-02-07,24300.0,24650.0,79140.0,6.68,-8710,-16330,25040
2005-02-11,24150.0,24350.0,69287.0,6.6,7530,-2497,-1433
2005-02-14,24050.0,24400.0,68130.0,6.61,-9470,-5390,14860
2005-02-15,24400.0,24050.0,44774.0,6.52,10651,-9191,-590
2005-02-16,24400.0,24100.0,81162.0,6.53,-930,-18860,27550
2005-02-17,24100.0,24650.0,69593.0,6.68,-20849,9199,11860
2005-02-18,24100.0,24900.0,54601.0,6.75,-3220,7910,-4720
2005-02-21,25050.0,24250.0,104699.0,6.57,31423,-37983,11670
2005-02-22,24250.0,23450.0,101205.0,6.36,35897,-19697,3660
2005-02-23,23250.0,24350.0,81668.0,6.6,-55718,27678,28100
2005-02-24,24350.0,24200.0,42996.0,6.56,-16360,15010,-300
2005-02-25,24400.0,24750.0,44322.0,6.71,-5881,4200,1591
2005-02-28,24600.0,23850.0,87832.0,6.47,24530,-23340,420
2005-03-02,24000.0,24100.0,90610.0,6.53,11200,-14480,9970
2005-03-03,24300.0,24800.0,70019.0,6.72,-28140,21310,9200
2005-03-04,24900.0,24750.0,64670.0,6.71,-6820,8170,-1960
2005-03-07,24450.0,25300.0,178129.0,6.86,-17889,-10381,30260
2005-03-08,25700.0,26000.0,115311.0,7.05,-18800,-4400,18950
2005-03-09,26000.0,26100.0,69670.0,7.08,-14740,1740,13140
2005-03-10,25900.0,25000.0,90560.0,6.78,14340,20850,-18160
2005-03-11,25000.0,25300.0,66610.0,6.86,-18650,15840,720
2005-03-14,25000.0,25000.0,62260.0,6.78,-2610,-7890,8170
2005-03-15,25000.0,24400.0,112860.0,6.61,1070,3520,-8480
2005-03-16,24200.0,24900.0,56826.0,6.75,-28786,34766,-6650
2005-03-17,24500.0,23700.0,87892.0,6.42,10130,7460,-10450
2005-03-18,24000.0,24700.0,113790.0,6.7,-42310,46350,-8900
2005-03-21,24900.0,24600.0,43970.0,6.67,-18130,8860,-1270
2005-03-22,24600.0,24600.0,43260.0,6.67,-13230,15600,-3370
2005-03-23,24150.0,23500.0,181196.0,6.37,29570,30080,-110920
2005-03-24,23050.0,23150.0,67650.0,6.28,-15120,23760,-10270
2005-03-25,23100.0,22850.0,66894.0,6.19,5436,25494,-32710
2005-03-28,23000.0,23850.0,52173.0,6.47,-33650,29940,-8010
2005-03-29,23300.0,24150.0,51698.0,6.55,-8698,-23962,16260
2005-03-30,23600.0,24500.0,50980.0,6.64,-24740,25130,-1110
2005-03-31,24050.0,24700.0,51826.0,6.7,-8310,-10060,18280
2005-04-01,24400.0,24000.0,61000.0,6.51,-17550,14200,3370
2005-04-04,24500.0,24450.0,19410.0,6.63,-3010,7520,-4440
2005-04-06,24250.0,24800.0,39100.0,6.72,-11580,4150,6590
2005-04-07,24900.0,24400.0,42230.0,6.61,1840,-4990,3160
2005-04-08,24700.0,24000.0,43155.0,6.51,2190,-11060,8890
2005-04-11,24000.0,23500.0,46890.0,6.37,7930,-2860,-5080
2005-04-12,23350.0,23500.0,53514.0,6.37,-6576,27806,-21220
2005-04-13,23550.0,23050.0,58060.0,6.25,29480,-26880,-2550
2005-04-14,22950.0,22450.0,109645.0,6.09,13900,-41890,6210
2005-04-15,22650.0,22400.0,101411.0,6.07,-279,7499,-26670
2005-04-18,22500.0,21500.0,104446.0,5.83,-7049,69849,-62410
2005-04-19,21900.0,22050.0,91520.0,5.98,-6890,18120,-27290
2005-04-20,22100.0,21700.0,72325.0,5.88,14970,3390,-15670
2005-04-21,21400.0,21650.0,199101.0,5.87,29615,-19825,-79980
2005-04-22,21900.0,22400.0,68610.0,6.07,-37480,9950,16590
2005-04-25,22400.0,21900.0,66252.0,5.94,5290,28440,-34670
2005-04-26,21900.0,21400.0,43910.0,5.8,12470,-12550,-9420
2005-04-27,21000.0,21600.0,43431.0,5.86,-15090,3810,14560
2005-04-28,21600.0,20800.0,33812.0,5.64,-2510,9200,-9180
2005-04-29,20700.0,21750.0,59320.0,5.9,-14800,12030,0
2005-05-02,21700.0,22050.0,24844.0,5.98,-8090,5870,1680
2005-05-03,22300.0,21900.0,36820.0,5.94,-7940,5920,2410
2005-05-04,21650.0,22400.0,22770.0,6.07,-11620,9220,3640
2005-05-06,22150.0,22300.0,23600.0,6.05,-2150,10350,-8200
2005-05-09,22150.0,21500.0,60190.0,5.83,22340,5150,-23310
2005-05-10,22000.0,21900.0,20911.0,5.94,-6880,6240,-690
2005-05-11,22100.0,21800.0,29690.0,5.91,1230,-1410,-1330
2005-05-12,21550.0,21950.0,69290.0,5.95,-5120,8570,-1300
2005-05-13,22500.0,22300.0,18540.0,6.05,-840,670,-270
2005-05-16,21950.0,22400.0,28250.0,6.07,-10610,11440,-1200
2005-05-17,22750.0,21950.0,45240.0,5.95,-2100,4670,-2530
2005-05-18,22250.0,22250.0,21517.0,6.03,-13930,10110,3770
2005-05-19,22750.0,23350.0,73692.0,6.33,-32732,10120,19612
2005-05-20,23200.0,23550.0,26690.0,6.38,-10970,8550,1490
2005-05-23,23650.0,23700.0,26120.0,6.42,-5310,10890,-7100
2005-05-24,23750.0,23450.0,16532.0,6.36,-4900,1410,2900
2005-05-25,23300.0,22200.0,68258.0,6.02,34318,-17268,-17880
2005-05-26,22200.0,23000.0,25904.0,6.24,-17340,14660,3170
2005-05-27,23000.0,23150.0,72993.0,6.28,-20149,-9021,18990
2005-05-30,23300.0,24000.0,47410.0,6.51,-19230,5580,19760
2005-05-31,23900.0,24150.0,35910.0,6.55,-16620,18430,-2780
2005-06-01,24150.0,24450.0,49820.0,6.63,-20110,20090,-1540
2005-06-02,24100.0,23750.0,41440.0,6.44,7680,6530,-13980
2005-06-03,24000.0,23700.0,39610.0,6.42,3340,9460,-10290
2005-06-07,23150.0,23100.0,72030.0,6.26,-8460,-2190,9410
2005-06-08,23050.0,22500.0,123830.0,6.1,42870,22830,-76780
2005-06-09,22400.0,22400.0,225711.0,6.07,47401,56549,-97120
2005-06-10,22800.0,22900.0,101455.0,6.21,-8560,17270,-7310
2005-06-13,22750.0,23000.0,67232.0,6.24,-7252,14060,-8898
2005-06-14,23100.0,23000.0,159200.0,6.24,-16110,6770,6560
2005-06-15,23300.0,22900.0,99940.0,6.21,-3600,21980,-27330
2005-06-16,23300.0,23000.0,67970.0,6.24,-11510,-400,9540
2005-06-17,23100.0,22450.0,49020.0,6.09,21740,-17160,-7520
2005-06-20,22450.0,22350.0,41740.0,6.06,10390,-10310,-2320
2005-06-21,22150.0,22300.0,47240.0,6.05,1240,15530,-18120
2005-06-22,22100.0,22500.0,64040.0,6.1,-20830,21920,-8760
2005-06-23,22550.0,22250.0,77940.0,6.03,27270,-25910,-2990
2005-06-24,22100.0,22250.0,60070.0,6.03,7400,2210,-14310
2005-06-27,22250.0,21500.0,103440.0,5.83,17320,-1270,-20560
2005-06-28,21500.0,22150.0,77101.0,6.0,-10140,13040,-9280
2005-06-29,22200.0,22000.0,149120.0,5.96,2090,68908,-83268
2005-06-30,22000.0,22050.0,106990.0,5.98,18710,66020,-88010
2005-07-01,22250.0,22150.0,105962.0,6.0,25838,9742,-53110
2005-07-04,22200.0,22150.0,65020.0,6.0,19900,9380,-30710
2005-07-05,22000.0,21800.0,48800.0,5.91,12550,-9560,-8080
2005-07-06,21900.0,21650.0,73050.0,5.87,18420,-1780,-18330
2005-07-07,21950.0,21850.0,47260.0,5.92,-5440,16380,-11590
2005-07-08,21750.0,22300.0,83818.0,6.05,-20858,-21712,43350
2005-07-11,22400.0,22400.0,73056.0,6.07,3170,21690,-28520
2005-07-12,22400.0,22000.0,76082.0,5.96,31892,10840,-42682
2005-07-13,22100.0,22750.0,138879.0,6.17,4050,8120,-29930
2005-07-14,23000.0,22700.0,134311.0,6.15,61732,2860,-53582
2005-07-15,22950.0,22150.0,92410.0,6.0,38830,-7180,-31790
2005-07-18,22250.0,22300.0,55027.0,6.05,15640,-1040,-14780
2005-07-19,22100.0,22300.0,48813.0,6.05,-20,16120,-21430
2005-07-20,22300.0,22500.0,69330.0,6.1,-9310,-120,9450
2005-07-21,22550.0,22600.0,66383.0,6.13,603,-9620,-423
2005-07-22,22600.0,22550.0,82866.0,6.11,-4613,22320,-18707
2005-07-25,22800.0,23500.0,94930.0,6.37,-32930,27930,-860
2005-07-26,23700.0,23250.0,74522.0,6.3,14911,-24121,8350
2005-07-27,23450.0,23150.0,69320.0,6.28,23230,-25030,2160
2005-07-28,23050.0,23150.0,86728.0,6.28,26818,-10020,-17108
2005-07-29,23050.0,23450.0,101770.0,6.36,7841,-32791,25090
2005-08-01,23450.0,23900.0,164782.0,6.48,-6841,-59499,60190
2005-08-02,24300.0,24000.0,66801.0,6.51,-12620,-13030,26310
2005-08-03,24200.0,23500.0,108373.0,6.37,-4670,-23450,44010
2005-08-04,23800.0,23000.0,92405.0,6.24,560,12670,-20610
2005-08-05,23150.0,23400.0,104821.0,6.34,-1600,2720,4220
2005-08-08,23350.0,23650.0,58685.0,6.41,-20767,14957,5790
2005-08-09,23550.0,23650.0,29972.0,6.41,4980,-5360,110
2005-08-10,23650.0,24150.0,120461.0,6.55,-2857,-12793,13000
2005-08-11,24400.0,24950.0,66700.0,6.76,-29270,16630,4290
2005-08-12,25050.0,25400.0,106200.0,6.89,-52850,33040,17940
2005-08-16,25100.0,25450.0,80170.0,6.9,-29350,11540,12460
2005-08-17,25100.0,24600.0,52125.0,6.67,-5821,16461,-10900
2005-08-18,24700.0,24550.0,67410.0,6.66,-8082,-13348,21680
2005-08-19,24050.0,24800.0,50131.0,6.72,-14611,11991,2500
2005-08-22,25000.0,26400.0,125170.0,7.16,-55160,13290,40670
2005-08-23,26400.0,26350.0,55460.0,7.14,-20763,12563,8750
2005-08-24,26550.0,25500.0,91790.0,6.91,20750,-16400,-4990
2005-08-25,25700.0,26250.0,83930.0,7.12,-29990,-3920,26550
2005-08-26,26250.0,26200.0,125380.0,7.1,-17840,20890,-2850
2005-08-29,25550.0,25500.0,58660.0,6.91,-16040,25620,-8430
2005-08-30,25100.0,25400.0,56831.0,6.89,-10150,12390,-2400
2005-08-31,25000.0,25300.0,32077.0,6.86,-431,4891,-4460
2005-09-01,25350.0,26400.0,85041.0,7.16,-45200,17370,36600
2005-09-02,26400.0,26250.0,66150.0,7.12,-16008,21178,-5180
2005-09-05,26100.0,25950.0,50690.0,7.03,-2990,110,2870
2005-09-06,25950.0,26300.0,128830.0,7.13,-15830,-36510,20590
2005-09-07,26600.0,26650.0,114970.0,7.22,25890,-36750,4800
2005-09-08,26900.0,28000.0,265200.0,7.59,-41192,-33248,87840
2005-09-09,27700.0,28500.0,68378.0,7.73,3910,-6290,390
2005-09-12,28600.0,28800.0,106490.0,7.81,-21550,-13520,36220
2005-09-13,28500.0,28050.0,53606.0,7.6,8296,-11486,-800
2005-09-14,27750.0,28650.0,68591.0,7.77,-21230,13840,-560
2005-09-15,28800.0,29050.0,86695.0,7.88,-14659,-6181,8200
2005-09-16,28650.0,29000.0,65312.0,7.86,-3301,-6849,9560
2005-09-20,31200.0,31050.0,236323.0,8.42,21300,-50910,41150
2005-09-21,30550.0,29700.0,176250.0,8.05,59780,-25240,-60580
2005-09-22,29450.0,29400.0,131410.0,7.97,1425,10875,-27760
2005-09-23,29300.0,29300.0,84004.0,7.94,-21140,-18440,22930
2005-09-26,29000.0,29200.0,120334.0,7.92,-11454,36954,-21020
2005-09-27,29050.0,28550.0,174211.0,7.74,52486,53954,-105810
2005-09-28,28850.0,29450.0,301322.0,7.98,-16271,149811,-137240
2005-09-29,29400.0,29100.0,118248.0,7.89,11890,7430,-30010
2005-09-30,29200.0,29200.0,131771.0,7.92,3874,-20284,6930
2005-10-04,29200.0,29350.0,158836.0,7.96,5972,14638,-21270
2005-10-05,29550.0,29500.0,188007.0,8.0,2736,-17616,14210
2005-10-06,29400.0,28700.0,137566.0,7.78,13806,24314,-41190
2005-10-07,28600.0,28650.0,170900.0,7.77,-3034,35244,-63390
2005-10-10,28450.0,28700.0,95809.0,7.78,16793,-24353,-7980
2005-10-11,28700.0,28750.0,115434.0,7.79,5740,2860,-8840
2005-10-12,28750.0,28350.0,173100.0,7.69,11220,-45300,21840
2005-10-13,28350.0,28350.0,113532.0,7.69,-16020,-13890,-2000
2005-10-14,28350.0,28350.0,89170.0,7.69,-18430,16070,-4010
2005-10-17,27950.0,28450.0,113957.0,7.71,-25013,-23297,43170
2005-10-18,28600.0,29000.0,87470.0,7.86,-26340,12370,-3420
2005-10-19,28500.0,28800.0,106350.0,7.81,-4800,20580,-14470
2005-10-20,28800.0,28800.0,98130.0,7.81,10560,-13310,-4920
2005-10-21,28700.0,29350.0,86470.0,7.96,-29890,16530,13170
2005-10-24,29500.0,28400.0,74870.0,7.7,33859,-15459,-20290
2005-10-25,28700.0,29100.0,150911.0,7.89,-20821,-77689,95680
2005-10-26,29350.0,29900.0,125661.0,8.11,-27181,-9619,31000
2005-10-27,29900.0,29450.0,152580.0,7.98,7990,-2740,-3910
2005-10-28,28900.0,28750.0,61890.0,7.79,-1950,4910,-3260
2005-10-31,28750.0,29250.0,128480.0,7.93,-4600,-56570,60480
2005-11-01,28750.0,28750.0,88663.0,7.79,502,-3892,1290
2005-11-02,29000.0,28900.0,104803.0,7.83,14550,-42360,25610
2005-11-03,28800.0,29200.0,96481.0,7.92,-26061,-8559,39160
2005-11-04,29500.0,30050.0,139341.0,8.15,-43572,812,58410
2005-11-07,30050.0,30500.0,175603.0,8.27,-12560,61010,-46900
2005-11-08,30600.0,29700.0,70600.0,8.05,15560,9710,-21020
2005-11-09,29550.0,29200.0,108180.0,7.92,1130,32090,-40360
2005-11-10,29400.0,29150.0,99650.0,7.9,10570,16720,-32660
2005-11-11,29150.0,29200.0,139031.0,7.92,29080,7520,-42620
2005-11-14,29200.0,29900.0,111227.0,8.11,11744,-48760,32036
2005-11-15,29900.0,30500.0,91820.0,8.27,-2540,-21870,27040
2005-11-16,30400.0,31200.0,100312.0,8.46,5089,-15119,23470
2005-11-17,30500.0,29950.0,727536.0,8.12,83305,144025,-349210
2005-11-18,30450.0,29900.0,109380.0,8.11,31040,-18430,-12290
2005-11-21,29700.0,29950.0,86000.0,8.12,-12070,-25450,33030
2005-11-22,29800.0,28600.0,134618.0,7.75,21128,-19078,2690
2005-11-23,28800.0,29550.0,139560.0,8.01,-26010,6010,38110
2005-11-24,29400.0,29800.0,100524.0,8.08,-1006,-25854,36330
2005-11-25,29600.0,29900.0,68580.0,8.11,8380,-11900,1170
2005-11-28,29850.0,29750.0,63885.0,8.07,4020,-23840,17510
2005-11-29,29600.0,29400.0,84936.0,7.97,7586,-28526,19490
2005-11-30,29250.0,29750.0,62310.0,8.07,-14270,8220,4070
2005-12-01,29750.0,31550.0,161862.0,8.55,9313,-27093,23810
2005-12-02,31600.0,30650.0,121394.0,8.31,16670,-25750,14040
2005-12-05,30650.0,30950.0,92280.0,8.39,16294,1666,-19850
2005-12-06,31150.0,31950.0,182065.0,8.66,4924,28966,-52310
2005-12-07,32000.0,32200.0,238120.0,8.73,5297,-3107,-2600
2005-12-08,32700.0,32100.0,217677.0,8.7,-2790,-3250,23770
2005-12-09,32000.0,32200.0,76084.0,8.73,-3880,25920,-23250
2005-12-12,32200.0,34000.0,171730.0,9.22,-76891,70351,-3050
2005-12-13,33700.0,34500.0,137060.0,9.35,152,-7022,7320
2005-12-14,34750.0,34450.0,146670.0,9.34,-1115,20525,-19070
2005-12-15,34450.0,34500.0,94605.0,9.35,-16710,42320,-25910
2005-12-16,33800.0,34050.0,81320.0,9.23,1600,25160,-26440
2005-12-19,33800.0,33800.0,105653.0,9.16,3773,11987,-16150
2005-12-20,33700.0,33800.0,77360.0,9.16,-4590,-8550,9900
2005-12-21,34000.0,33700.0,91480.0,9.14,14490,-31750,15870
2005-12-22,33800.0,34400.0,80485.0,9.33,-5375,-5105,10570
2005-12-23,34500.0,34000.0,96192.0,9.22,-9188,-30762,39680
2005-12-26,33700.0,34100.0,65160.0,9.24,-639,6549,-11220
2005-12-27,34500.0,34200.0,62729.0,9.27,-611,5211,7930
2005-12-28,33950.0,33350.0,111350.0,9.04,8340,-32850,9780
2005-12-29,33400.0,34700.0,114651.0,9.41,-17370,6960,-510
2006-01-02,34100.0,33400.0,99233.0,10.02,42163,-42413,-1560
2006-01-03,33200.0,33400.0,139831.0,10.02,-17910,-52360,70610
2006-01-04,33200.0,33700.0,191810.0,10.11,9220,-33640,34260
2006-01-05,33700.0,33700.0,105600.0,10.11,-25516,22616,2680
2006-01-06,33300.0,33300.0,144040.0,9.99,3930,20950,-30340
2006-01-09,33400.0,33500.0,133700.0,10.05,-5950,-21960,33480
2006-01-10,33300.0,33400.0,91393.0,10.02,-13699,-5771,24740
2006-01-11,32800.0,32400.0,113140.0,9.72,140,5590,7550
2006-01-12,32250.0,33900.0,136761.0,10.17,-10456,31526,-17170
2006-01-13,33500.0,32800.0,112270.0,9.84,17690,-14630,-400
2006-01-16,32800.0,33100.0,67170.0,9.93,4020,-26980,22530
2006-01-17,33100.0,34000.0,132070.0,10.2,-54460,12750,30830
2006-01-18,33850.0,33050.0,124641.0,9.91,-11684,-16366,38050
2006-01-19,33050.0,34500.0,121790.0,10.35,-22260,14070,10490
2006-01-20,34400.0,32050.0,130958.0,9.61,-4212,2582,35230
2006-01-23,32000.0,31500.0,159555.0,9.45,-35112,702,42040
2006-01-24,31500.0,31100.0,148043.0,9.33,21142,-67472,46420
2006-01-25,31000.0,31100.0,96031.0,9.33,14110,-40180,26860
2006-01-26,31750.0,31900.0,54641.0,9.57,-11820,-12530,20070
2006-01-27,32800.0,32550.0,62270.0,9.76,-4450,-18430,23620
2006-01-31,32800.0,33500.0,78450.0,10.05,-19391,10761,17460
2006-02-01,33500.0,33300.0,71890.0,9.99,-23730,15600,9200
2006-02-02,33400.0,32550.0,91990.0,9.76,3497,-2227,4040
2006-02-03,32850.0,32200.0,176650.0,9.66,-8224,-1086,54060
2006-02-06,32800.0,32250.0,84100.0,9.67,-490,9010,21480
2006-02-07,32100.0,32600.0,33010.0,9.78,-1640,-8460,12250
2006-02-08,32100.0,32550.0,56730.0,9.76,-12350,-13320,26070
2006-02-09,34000.0,33750.0,126527.0,10.12,-20693,-60847,58500
2006-02-10,34200.0,34050.0,68563.0,10.21,-5040,-1650,12860
2006-02-13,33900.0,33500.0,46980.0,10.05,4090,-24030,22730
2006-02-14,33700.0,34000.0,68700.0,10.2,-12710,21530,-10700
2006-02-15,34400.0,33350.0,69665.0,10.0,13020,-19440,12160
2006-02-16,33050.0,32500.0,65632.0,9.75,15930,10740,-33070
2006-02-17,33000.0,32700.0,37775.0,9.81,3500,-9860,6980
2006-02-20,32850.0,32850.0,96090.0,9.85,-14830,19670,-5570
2006-02-21,33200.0,32400.0,56460.0,9.72,12810,-7940,4490
2006-02-22,32700.0,33200.0,142343.0,9.96,6532,-7352,2030
2006-02-23,32800.0,32800.0,62253.0,9.84,4790,11760,1660
2006-02-24,33200.0,32550.0,106720.0,9.76,36530,-43870,6890
2006-02-27,32550.0,32900.0,52470.0,9.87,-230,-4890,4440
2006-02-28,33200.0,32900.0,71120.0,9.87,-7450,1710,10890
2006-03-02,32900.0,33250.0,94580.0,9.97,-17470,-2460,32010
2006-03-03,33800.0,32300.0,129460.0,9.69,22610,-62350,60800
2006-03-06,32500.0,33600.0,118920.0,10.08,-37900,20040,14230
2006-03-07,33100.0,32700.0,60990.0,9.81,7410,-3100,5420
2006-03-08,33500.0,33200.0,141000.0,9.96,2510,-14430,13910
2006-03-09,33800.0,32100.0,102718.0,9.63,40468,-18178,-3320
2006-03-10,32500.0,31800.0,75120.0,9.54,33060,-21200,1380
2006-03-13,32000.0,32100.0,77536.0,9.63,5930,-7420,3490
2006-03-14,32200.0,31500.0,72602.0,9.45,5730,-8180,6340
2006-03-15,31850.0,31800.0,67270.0,9.54,-22650,31340,-9390
2006-03-16,32650.0,32450.0,85310.0,9.73,-19480,13250,6380
2006-03-17,32500.0,32150.0,163120.0,9.64,3180,3250,5040
2006-03-20,32350.0,32250.0,49889.0,9.67,-421,-4959,2000
2006-03-21,32400.0,32900.0,104130.0,9.87,-15617,59707,-43300
2006-03-22,32850.0,32850.0,120900.0,9.85,22321,-30711,4670
2006-03-23,32900.0,33000.0,95580.0,9.9,20,-5910,7260
2006-03-24,33200.0,33000.0,158989.0,9.9,6648,3762,-9220
