Symbol,아모레G_시가(원),아모레G_종가(원),아모레G_거래량(주),아모레G_PER(IFRS-연결),아모레G_순매수수량(개인)(주),아모레G_순매수수량(기관계)(주),아모레G_순매수수량(외국인계)(주)
2000-01-04,19250,19650,48710,3.22,19460,-25590,5860
2000-01-05,19900,20800,56610,3.41,10180,-8180,0
2000-01-06,20500,20000,161690,3.28,-9010,6050,0
2000-01-07,20100,20400,28200,3.34,-6490,3770,2720
2000-01-10,20500,20400,48160,3.34,2370,17220,-19820
2000-01-11,20600,20300,52880,3.32,13000,-9790,-3490
2000-01-12,20500,20300,48390,3.32,5460,-3470,-1990
2000-01-13,20000,21300,101990,3.49,-24580,9320,14860
2000-01-14,21200,20400,27770,3.34,2370,-2730,360
2000-01-17,20500,20350,59360,3.33,14680,28270,-37950
2000-01-18,20050,20000,95280,3.28,260,5900,-160
2000-01-19,20000,19000,42790,3.11,-7830,-3520,12380
2000-01-20,19000,19000,51430,3.11,-13690,-4980,18670
2000-01-21,18650,20000,47940,3.28,-14460,-15670,30600
2000-01-24,20200,20000,37320,3.28,-600,-20950,21550
2000-01-25,20450,19900,14110,3.26,-9020,-2440,11460
2000-01-26,20300,20900,55940,3.42,-14730,-21170,35900
2000-01-27,21200,21250,39370,3.48,-5870,10230,80
2000-01-28,21650,21000,24930,3.44,-5880,5550,490
2000-01-31,20600,20700,23320,3.39,3130,-2330,-800
2000-02-01,20650,21000,43470,3.44,-8260,28480,-60
2000-02-02,21500,22500,26690,3.68,-20990,20990,0
2000-02-03,22500,22600,28320,3.7,-18810,4310,5900
2000-02-07,22600,21500,27160,3.52,5940,-7270,1320
2000-02-08,21400,21650,27150,3.55,-17840,17510,170
2000-02-09,21650,20900,44940,3.42,12420,-19420,0
2000-02-10,20250,19500,41130,3.19,25130,-22570,0
2000-02-11,20000,19400,30080,3.18,10850,-10930,0
2000-02-14,19150,19100,25070,3.13,9320,140,-9460
2000-02-15,19500,18500,31440,3.03,10290,-3240,-8050
2000-02-16,18100,17700,81860,2.9,35350,-7950,-27820
2000-02-17,17700,17500,152510,2.87,66510,-51520,-6640
2000-02-18,17300,17150,75580,2.81,18140,-38730,-910
2000-02-21,16550,15400,46340,2.52,8380,-14090,-360
2000-02-22,15000,15700,249130,2.57,29940,33650,750
2000-02-23,16000,17000,69290,2.78,-1520,2160,-470
2000-02-24,16800,17500,133180,2.87,-38110,32950,5160
2000-02-25,17900,17500,53840,2.87,-14520,9510,0
2000-02-28,17900,18200,59930,2.98,960,11870,-17830
2000-02-29,18750,17900,22020,2.93,-11520,6210,1560
2000-03-02,17800,17950,39030,2.94,-1300,-18940,4240
2000-03-03,18400,16700,34690,2.73,-80,-13750,-1560
2000-03-06,17100,18250,40840,2.99,-8210,3370,0
2000-03-07,18000,19350,52450,3.17,-12100,12630,-330
2000-03-08,18300,20300,48010,3.32,-6340,7090,-110
2000-03-09,19200,17500,54350,2.87,20130,-11140,-19110
2000-03-10,18500,19500,31480,3.19,-8630,6590,0
2000-03-13,19600,21000,96770,3.44,14410,-12590,-1810
2000-03-14,21000,20950,54500,3.43,-3870,4000,-130
2000-03-15,19900,20350,34570,3.33,2330,-7410,5080
2000-03-16,20600,19900,21220,3.26,-10390,6710,520
2000-03-17,20800,20400,25590,3.34,-16380,500,12880
2000-03-20,21000,20000,32960,3.28,-3990,-2320,520
2000-03-21,20450,19900,13920,3.26,-2130,3010,0
2000-03-22,19700,20000,26670,3.28,-4600,-5440,0
2000-03-23,19700,19500,40120,3.19,-1170,-7770,-390
2000-03-24,19700,19500,64990,3.19,2880,-23660,7000
2000-03-27,19700,19450,31480,3.19,7890,-15890,0
2000-03-28,19900,20000,29930,3.28,-5830,2390,390
2000-03-29,20500,18750,32660,3.07,1000,-16670,-520
2000-03-30,18800,18700,46060,3.06,-3070,-16000,8000
2000-03-31,19200,18800,28470,3.08,-3970,710,-760
2000-04-03,18800,19000,30640,3.11,-13620,280,9140
2000-04-04,19000,18700,20190,3.06,-17540,13320,770
2000-04-06,18500,17750,15840,2.91,2470,2240,-5220
2000-04-07,17750,18000,28600,2.95,-1170,6030,-4860
2000-04-10,17500,18000,31680,2.95,11190,-2760,-6000
2000-04-11,18100,17400,17340,2.85,-1930,1930,0
2000-04-12,17100,17000,12700,2.78,-140,140,0
2000-04-14,17100,16600,14020,2.72,1220,3230,0
2000-04-17,15050,15850,38330,2.6,-7610,11670,-3480
2000-04-18,16000,16500,90330,2.7,-10230,-41650,0
2000-04-19,17900,16800,66710,2.75,16990,-26720,-110
2000-04-20,16750,16600,6420,2.72,1610,-1480,-130
2000-04-21,16800,17500,32580,2.87,-9700,9920,-220
2000-04-24,17150,17500,17920,2.87,-2910,3450,0
2000-04-25,17400,17400,39690,2.85,-7520,620,6900
2000-04-26,17800,16550,8360,2.71,320,-320,0
2000-04-27,16550,15900,89790,2.6,29950,6640,-36590
2000-04-28,15900,16800,39690,2.75,-2270,17500,-15230
2000-05-02,17050,17050,118040,2.79,28730,-14270,-14460
2000-05-03,17400,17850,98820,2.92,-14570,-11820,32690
2000-05-04,17950,19500,584820,3.19,-46400,-2230,28630
2000-05-08,20800,21000,230450,3.44,-55480,-32220,87660
2000-05-09,21900,20600,84640,3.37,9140,-9350,250
2000-05-10,20600,21200,49480,3.47,-20460,-2320,-2240
2000-05-12,21000,19900,39790,3.26,11910,-13150,-760
2000-05-15,18850,20050,51070,3.28,-19800,12560,-2760
2000-05-16,19350,20200,28900,3.31,-9110,3860,5270
2000-05-17,19200,19300,29820,3.16,-10770,1110,9660
2000-05-18,18800,18600,37800,3.05,-4140,7450,-3100
2000-05-19,18500,18100,44940,2.96,8910,21190,-30100
2000-05-22,17800,17600,28440,2.88,5300,3010,-8310
2000-05-23,17100,17550,41000,2.87,-2130,4420,-2460
2000-05-24,18300,18100,69850,2.96,1600,-1560,39970
2000-05-25,18800,18700,97020,3.06,11990,-27280,37670
2000-05-26,18700,19500,86150,3.19,-31000,-18580,52000
2000-05-29,19500,20000,45470,3.28,3700,-1420,-280
2000-05-30,20200,20550,72990,3.37,-4820,-21590,27490
2000-05-31,20600,20500,79000,3.36,3910,9770,-13680
2000-06-01,20800,21000,69980,3.44,-3770,-11710,31480
2000-06-02,21000,20600,102260,3.37,23810,-51170,39360
2000-06-05,21300,21300,122190,3.49,37540,-14540,0
2000-06-07,21100,21400,78080,3.5,-23720,23920,-200
2000-06-08,20900,20000,79670,3.28,3820,-3650,-170
2000-06-09,19600,20500,25240,3.36,-9580,13550,10
2000-06-12,20200,21000,36200,3.44,-2910,2940,-10
2000-06-13,21000,20600,13000,3.37,-6240,6240,0
2000-06-14,20600,20200,22640,3.31,260,9310,-9570
2000-06-15,20300,19350,15590,3.17,1990,3010,0
2000-06-16,19900,19000,20070,3.11,-5390,5360,30
2000-06-19,19000,18500,6150,3.03,-1590,1590,0
2000-06-20,18650,19200,43310,3.14,1360,18640,0
2000-06-21,19000,19200,17850,3.14,7980,-7300,-680
2000-06-22,19500,19900,22830,3.26,-7900,13930,-6030
2000-06-23,19800,19450,21790,3.19,-1020,-3980,0
2000-06-26,19500,20000,16230,3.28,-560,1210,-860
2000-06-27,20500,20800,15310,3.41,-7680,7090,0
2000-06-28,21000,21000,21350,3.44,-6830,6120,30
2000-06-29,20700,21000,54440,3.44,640,990,-50
2000-06-30,21600,20800,10770,3.41,-2230,1720,0
2000-07-03,20500,23000,37640,3.77,-16800,16950,0
2000-07-04,22400,21400,23140,3.5,3300,-3470,0
2000-07-05,22000,22200,35590,3.64,720,-720,0
2000-07-06,22200,23800,93060,3.9,-12780,15500,450
2000-07-07,23800,23300,80110,3.81,-1680,10150,-4660
2000-07-10,24000,23400,39830,3.83,4130,-4230,160
2000-07-11,23850,22850,57910,3.74,2120,-31930,-20
2000-07-12,22500,22900,19520,3.75,-7730,7260,20
2000-07-13,22900,22500,32930,3.68,-2580,-2100,-140
2000-07-14,23500,22100,67100,3.62,13120,-13030,0
2000-07-18,21600,21100,42480,3.46,5620,-17660,0
2000-07-19,20650,21100,27850,3.46,-12670,11170,1050
2000-07-20,20900,21100,18190,3.46,340,-1380,670
2000-07-21,21100,21500,17270,3.52,5500,-2450,40
2000-07-24,21100,20200,65330,3.31,15240,-22590,960
2000-07-25,20200,21000,14300,3.44,-8410,5540,2070
2000-07-26,21000,21400,62730,3.5,12900,-40160,25090
2000-07-27,21900,22200,75380,3.64,-14210,4290,20000
2000-07-28,22400,22300,20350,3.65,-9120,4770,3150
2000-07-31,21900,23000,24390,3.77,-9870,6240,2490
2000-08-01,23050,23000,28730,3.77,480,860,0
2000-08-02,23200,23000,54710,3.77,1120,-6430,-2520
2000-08-03,22850,22300,41360,3.65,1250,1830,-7030
2000-08-04,22000,22600,22210,3.7,-2520,-6150,12980
2000-08-07,22600,23000,62580,3.77,-13180,-20680,29000
2000-08-08,23500,24500,109120,4.01,-19110,-24520,51100
2000-08-09,25200,25000,96830,4.09,5320,-8110,920
2000-08-10,24250,24500,59810,4.01,11470,-12260,1140
2000-08-11,24450,25400,57330,4.16,14270,-23010,40
2000-08-14,26000,25850,83600,4.23,10720,-23120,6860
2000-08-16,26000,27400,99170,4.49,-16250,-9670,23180
2000-08-17,27000,26600,58460,4.36,11900,-31900,10000
2000-08-18,26000,26500,56830,4.34,-6300,-4120,7690
2000-08-21,26350,27000,55040,4.42,3760,-26730,24990
2000-08-22,27000,28000,70150,4.58,-11410,19520,-6920
2000-08-23,27500,27500,107070,4.5,9840,-31950,23010
2000-08-24,27400,26900,27930,4.4,-12780,12350,380
2000-08-25,28000,28100,91390,4.6,-11460,22620,-9520
2000-08-28,28300,27800,19720,4.55,-930,-250,550
2000-08-29,28000,28500,32490,4.67,-6590,2660,3570
2000-08-30,29000,28000,23870,4.58,670,-320,-80
2000-08-31,23800,27400,53830,4.49,-7560,8700,-330
2000-09-01,27400,27950,29440,4.58,-8470,-250,8000
2000-09-04,28400,27700,21800,4.54,5040,-5030,0
2000-09-05,26900,27100,24720,4.44,-8900,7430,660
2000-09-06,27000,26900,21940,4.4,-1090,-1000,1910
2000-09-07,26600,27000,29210,4.42,-5250,-4090,9370
2000-09-08,27000,26900,11700,4.4,-3460,5180,-820
2000-09-14,25100,26100,45600,4.27,-1480,16880,-10290
2000-09-15,26300,25800,14990,4.22,-3590,2780,2810
2000-09-18,25100,25500,31920,4.17,-15820,3390,9480
2000-09-19,24700,25000,41150,4.09,11610,-6550,-4880
2000-09-20,25300,25000,37240,4.09,8690,2490,-11910
2000-09-21,25200,24300,39130,3.98,4380,5690,-9900
2000-09-22,23750,23700,48500,3.88,-5400,3600,-1200
2000-09-25,22700,24400,31810,3.99,-1970,5280,6240
2000-09-26,24400,24850,17860,4.07,-2820,930,3100
2000-09-27,25300,25500,43280,4.17,-1820,-14280,15900
2000-09-28,26000,25700,56970,4.21,-3690,-43480,48500
2000-09-29,26500,26300,7870,4.31,-1250,960,-150
2000-10-02,26000,26000,4450,4.26,1540,-1540,0
2000-10-04,26200,26000,9370,4.26,-650,880,550
2000-10-05,27200,26200,49970,4.29,-1850,-37480,40960
2000-10-06,26000,27100,18150,4.44,-6670,-170,8610
2000-10-09,28700,26950,28280,4.41,3200,-21410,18530
2000-10-10,27000,27200,54530,4.46,1900,-32820,30920
2000-10-11,27300,27200,103640,4.46,9480,-28140,18660
2000-10-12,27550,27250,114560,4.46,-5490,-37000,43190
2000-10-13,27950,27500,63460,4.5,1930,-29050,26610
2000-10-16,28000,28400,67790,4.65,-1950,-30040,32420
2000-10-17,28000,29300,91170,4.8,-15350,8050,19350
2000-10-18,28600,29800,80570,4.88,-18550,-2490,29120
2000-10-19,29800,31550,69610,5.17,-16670,-4900,16880
2000-10-20,31550,32250,121510,5.28,-20060,-24540,51500
2000-10-23,32500,30100,41900,4.93,-12910,-1370,14230
2000-10-24,29300,29500,34880,4.83,390,8630,-9760
2000-10-25,28650,31900,75820,5.22,-2780,-15040,18140
2000-10-26,31650,30500,60600,4.99,100,960,3300
2000-10-27,30500,30400,19230,4.98,-10400,9090,600
2000-10-30,30100,31500,29800,5.16,-10820,4070,1810
2000-10-31,31500,33000,52080,5.4,-10740,-14560,21850
2000-11-01,34000,35300,145960,5.78,-1530,-72520,86420
2000-11-02,35000,34000,52250,5.57,5730,-14090,8420
2000-11-03,34000,34000,28030,5.57,-3320,2150,1250
2000-11-06,34500,33750,41920,5.53,-2570,-3520,10450
2000-11-07,33000,33000,110160,5.4,680,-7030,22950
2000-11-08,33100,32000,27010,5.24,-6500,-1860,5040
2000-11-09,32000,33000,61690,5.4,-10930,-29920,37440
2000-11-10,33500,34000,30660,5.57,-2360,-9810,11550
2000-11-13,33000,31800,27950,5.21,3610,-8910,1020
2000-11-14,31800,31800,32740,5.21,4160,950,-5720
2000-11-15,32300,29200,105920,4.78,27790,36010,-64300
2000-11-16,29000,29000,35980,4.75,14280,-6310,-8150
2000-11-17,29700,29700,28410,4.86,-3850,-5950,9980
2000-11-20,29200,29300,10280,4.8,-790,800,-10
2000-11-21,29000,29600,44370,4.85,-4180,5370,-6600
2000-11-22,30000,30800,40640,5.04,320,-10940,10700
2000-11-23,31800,30600,32900,5.01,-6820,6860,-100
2000-11-24,30200,30000,19130,4.91,-14540,3920,10060
2000-11-27,29500,30500,14760,4.99,-6010,5710,160
2000-11-28,29600,29500,14900,4.83,-40,180,0
2000-11-29,28600,28600,26970,4.68,-250,-14840,14550
2000-11-30,28600,32000,44740,5.24,-10160,-9070,19390
2000-12-01,29000,30800,35670,5.04,-6020,-570,6110
2000-12-04,30800,29700,57890,4.86,530,-28750,23300
2000-12-05,29750,30500,27870,4.99,-12400,10100,2140
2000-12-06,30500,30600,28530,5.01,-7450,6120,1020
2000-12-07,30000,30000,16770,4.91,2480,-9900,7890
2000-12-08,30000,30000,15030,4.91,1030,1610,-2890
2000-12-11,29600,29250,41100,4.79,2030,-2510,-70
2000-12-12,29250,27800,65090,4.55,34700,10490,-43610
2000-12-13,27050,28400,88010,4.65,8290,34770,-40660
2000-12-14,28050,27400,52260,4.49,11690,-18830,7000
2000-12-15,27000,28550,67450,4.67,-1190,3340,1530
2000-12-18,28400,29100,31850,4.76,-17520,9810,7630
2000-12-19,29050,28700,25870,4.7,-7030,7340,-230
2000-12-20,28100,27000,47000,4.42,5130,15210,-20340
2000-12-21,26500,26950,65270,4.41,840,9490,-7750
2000-12-22,26900,25000,24240,4.09,-8040,7840,0
2000-12-26,25500,26800,20820,4.39,-4800,7850,-200
2001-01-02,26800,27500,12630,2.32,-1760,-970,0
2001-01-03,27300,26400,39500,2.23,6190,2110,-9980
2001-01-04,27500,27200,52930,2.3,-5200,10200,-2660
2001-01-05,26000,26250,45520,2.22,5950,17350,-25670
2001-01-08,27500,26850,53880,2.27,-4230,-4530,2660
2001-01-09,26850,28950,55060,2.44,-4270,-6800,10400
2001-01-10,29200,28300,13290,2.39,-1380,2990,-1670
2001-01-11,28300,27000,29510,2.28,11000,-8820,-690
2001-01-12,27450,27500,72970,2.32,7730,-12380,3140
2001-01-15,27700,28300,98250,2.39,3060,-2900,-10
2001-01-16,28800,28500,35970,2.41,-2940,-4430,8370
2001-01-17,28700,29650,75470,2.5,5620,6840,-2000
2001-01-18,29050,28650,45920,2.42,-4420,16090,-11700
2001-01-19,28650,29500,58240,2.49,-9970,28970,-15150
2001-01-22,29050,28900,14070,2.44,7950,-8350,400
2001-01-26,29500,28000,22070,2.36,3270,-3220,0
2001-01-29,27600,28900,43870,2.44,-5620,11780,2680
2001-01-30,29100,29500,36530,2.49,-3260,6390,3010
2001-01-31,30000,29800,49210,2.52,-4370,9700,1410
2001-02-01,29800,30300,20030,2.56,6470,2160,470
2001-02-02,29800,30000,38060,2.53,1490,16540,-5410
2001-02-05,30250,28500,37150,2.41,1220,17710,950
2001-02-06,28500,29000,14970,2.45,-500,10930,-8300
2001-02-07,29000,30000,33360,2.53,-5250,12230,3500
2001-02-08,30500,30450,16950,2.57,-3050,11540,390
2001-02-09,30950,30400,21330,2.57,160,-1240,0
2001-02-12,29150,30500,15050,2.57,240,-500,-90
2001-02-13,31000,30000,18300,2.53,1720,1160,40
2001-02-14,30000,31800,30060,2.68,1530,-11090,9230
2001-02-15,32800,30000,58360,2.53,6090,-20920,20000
2001-02-16,31800,33000,55220,2.79,-1510,6820,-1260
2001-02-19,33500,32100,29040,2.71,10320,-7000,460
2001-02-20,32800,33000,30740,2.79,-6740,2780,3770
2001-02-21,33000,33000,31460,2.79,-4420,-4070,9640
2001-02-22,33550,33750,40770,2.85,-3860,-11240,18610
2001-02-23,34000,34500,36720,2.91,1010,-20820,18750
2001-02-26,35400,33500,25460,2.83,-940,330,440
2001-02-27,34300,33000,26260,2.79,-1470,-9100,10530
2001-02-28,33000,33800,13320,2.85,-7800,4660,3060
2001-03-02,33400,34300,76470,2.9,-5710,-46480,58000
2001-03-05,34700,36400,31680,3.07,-1240,-5910,8460
2001-03-06,37000,36700,59680,3.1,-12980,-7580,22950
2001-03-07,36750,36000,29570,3.04,-1330,-5010,6570
2001-03-08,36200,36000,32250,3.04,1560,-3820,2270
2001-03-09,36950,37400,134560,3.16,-9910,-41800,54580
2001-03-12,37800,39000,147560,3.29,18120,-78670,60670
2001-03-13,38400,38400,136700,3.24,-3990,-52830,60530
2001-03-14,39500,38950,66830,3.29,-6840,-21520,31800
2001-03-15,38950,38900,31080,3.28,-2500,-8060,10120
2001-03-16,39000,38350,34660,3.24,-1040,-1910,2530
2001-03-19,38000,38500,40160,3.25,-14300,-7080,21270
2001-03-20,38800,37800,25830,3.19,-3760,-7120,11260
2001-03-21,37800,39500,58700,3.33,-4510,-3780,7920
2001-03-22,39500,39800,76320,3.36,-7540,-20070,24120
2001-03-23,41000,39500,37600,3.33,-6280,-5950,11920
2001-03-26,40500,40000,11330,3.38,-1520,-1750,3110
2001-03-27,40000,40600,39490,3.43,12150,-15960,3810
2001-03-28,41050,41300,66390,3.49,11680,-8810,-2830
2001-03-29,40600,41600,25200,3.51,-1670,2610,-400
2001-03-30,41600,47000,30390,3.97,-6950,1330,5000
2001-04-02,44200,44000,24790,3.71,-2790,7780,-4990
2001-04-03,43700,43000,32450,3.63,-3200,9880,-4000
2001-04-04,40500,39500,49490,3.33,-15740,6630,8500
2001-04-06,40650,39700,44280,3.35,-4930,-16170,21370
2001-04-09,40450,41600,43480,3.51,-6790,-10930,17900
2001-04-10,41600,41400,15270,3.5,-3000,310,2690
2001-04-11,41500,39800,33760,3.36,5850,-15230,9710
2001-04-12,40500,38700,43130,3.27,9460,-18570,8950
2001-04-13,38700,40700,50250,3.44,-6340,10370,-3770
2001-04-16,41400,39000,46550,3.29,-2040,5810,-3850
2001-04-17,39450,39100,18180,3.3,-1080,-380,-4060
2001-04-18,38800,39550,45320,3.34,10250,-9770,-5420
2001-04-19,39000,39300,63360,3.32,6000,-19260,4000
2001-04-20,39500,39600,41750,3.34,-6570,-6750,12200
2001-04-23,39600,38850,32730,3.28,240,-6800,-1430
2001-04-24,38850,38900,41510,3.28,-1390,-18220,17760
2001-04-25,38900,39400,39350,3.33,-9590,-13750,22130
2001-04-26,40200,40400,52650,3.41,-12280,720,12020
2001-04-27,40800,45000,72850,3.8,-29790,-2030,12180
2001-04-30,45000,45000,23070,3.8,1020,-6070,90
2001-05-02,47000,44100,28510,3.72,7920,-13740,6950
2001-05-03,44350,43000,28340,3.63,11440,-6550,-3990
2001-05-04,42200,44400,24290,3.75,-7340,3550,3700
2001-05-07,43550,44400,26440,3.75,-240,2200,350
2001-05-08,44250,45000,71430,3.8,3970,18050,9780
2001-05-09,48800,47000,132500,3.97,-67130,-35380,102800
2001-05-10,48000,51400,111040,4.34,-11520,-21730,49240
2001-05-11,58000,54500,67010,4.6,-40,-22840,24480
2001-05-14,55500,52000,38260,4.39,1400,-12950,18220
2001-05-15,52000,52900,20750,4.46,440,-2560,2030
2001-05-16,52000,50900,35690,4.3,11750,-11960,1330
2001-05-17,51200,51000,37950,4.31,2560,-4630,2150
2001-05-18,52000,49900,92810,4.21,19100,-880,-23210
2001-05-21,51000,51000,84520,4.31,14900,-34440,19310
2001-05-22,52400,53000,64950,4.47,-10810,-8270,19650
2001-05-23,53500,54000,39450,4.56,-7750,-11940,19190
2001-05-24,53600,54900,36450,4.63,-4420,-4800,8570
2001-05-25,55300,54000,44400,4.56,6750,-280,-8520
2001-05-28,53800.0,54000.0,32100.0,4.56,-180,-2390,2180
2001-05-29,54000.0,53600.0,14100.0,4.52,400,4430,-5910
2001-05-30,53600.0,57900.0,90240.0,4.89,11790,-14270,-1110
2001-05-31,55300.0,56400.0,22120.0,4.76,-290,2740,-2880
2001-06-01,56600.0,54800.0,47130.0,4.63,16830,8590,-25930
2001-06-04,54000.0,54000.0,10290.0,4.56,-120,1720,-1110
2001-06-05,54000.0,54500.0,58030.0,4.6,6310,-1970,-3580
2001-06-07,52800.0,54000.0,16550.0,4.56,2420,-3400,1010
2001-06-08,55000.0,59600.0,53720.0,5.03,2560,-1770,-10
2001-06-11,56900.0,59000.0,27200.0,4.98,6910,-10030,3200
2001-06-12,57200.0,58100.0,32780.0,4.9,9130,8880,-19880
2001-06-13,59000.0,60000.0,61230.0,5.06,16690,520,-19350
2001-06-14,61000.0,63200.0,110640.0,5.33,-6060,-9360,14730
2001-06-15,61500.0,62000.0,85810.0,5.23,41670,-180,-42270
2001-06-18,61200.0,58400.0,69200.0,4.93,41770,-11050,-32470
2001-06-19,57900.0,58400.0,55000.0,4.93,2940,700,-13750
2001-06-20,58900.0,59200.0,84640.0,5.0,-10350,-4820,13710
2001-06-21,60100.0,60300.0,61250.0,5.09,-1400,1620,-590
2001-06-22,60300.0,65400.0,61580.0,5.52,-23250,-12160,31660
2001-06-25,67000.0,73500.0,105960.0,6.2,-13380,-8600,21600
2001-06-26,70600.0,72000.0,143780.0,6.08,9250,-16100,6680
2001-06-27,63000.0,68000.0,43942.0,5.74,3580,-1920,-4050
2001-06-28,68200.0,61200.0,59280.0,5.17,7900,-6880,-1030
2001-06-29,65000.0,64300.0,95928.0,5.43,27410,6060,-36700
2001-07-02,64000.0,67100.0,78000.0,5.66,-9750,-6560,16940
2001-07-03,67200.0,67700.0,66270.0,5.72,-3560,-7660,13220
2001-07-04,68500.0,67000.0,21780.0,5.66,3340,550,-110
2001-07-05,67000.0,69000.0,36983.0,5.82,-1230,-22530,23820
2001-07-06,70000.0,73000.0,136520.0,6.16,-14870,-1070,24110
2001-07-09,72600.0,70000.0,47970.0,5.91,-380,-2670,590
2001-07-10,73000.0,72000.0,20670.0,6.08,-2710,-2900,3760
2001-07-11,70500.0,70000.0,23340.0,5.91,-90,-3490,6480
2001-07-12,71000.0,69000.0,31630.0,5.82,2130,-5670,3560
2001-07-13,69500.0,69000.0,30450.0,5.82,-4240,-5470,9910
2001-07-16,68900.0,68500.0,14770.0,5.78,-1430,790,-790
2001-07-18,69500.0,70500.0,21406.0,5.95,606,-8266,8630
2001-07-19,70500.0,71000.0,54786.0,5.99,-5780,-3620,9210
2001-07-20,69500.0,68000.0,33690.0,5.74,1960,-8300,13840
2001-07-23,67000.0,68500.0,49871.0,5.78,-15860,-290,16910
2001-07-24,67100.0,69600.0,41410.0,5.87,-14140,1970,13580
2001-07-25,69000.0,70100.0,42140.0,5.92,-6580,-5630,14750
2001-07-26,70300.0,70000.0,34680.0,5.91,-700,-8850,14760
2001-07-27,70000.0,71000.0,30000.0,5.99,-1980,1120,940
2001-07-30,71000.0,70100.0,29570.0,5.92,-7290,-4490,12070
2001-07-31,70000.0,72000.0,36883.0,6.08,-110,-9040,9150
2001-08-01,72900.0,76300.0,52563.0,6.44,-4510,-8650,13490
2001-08-02,78900.0,86900.0,47750.0,7.34,-13940,-9040,23110
2001-08-03,87300.0,82900.0,125150.0,7.0,14100,-12760,-1080
2001-08-06,82700.0,82500.0,47340.0,6.96,-330,-14560,10850
2001-08-07,83100.0,84000.0,24840.0,7.09,2630,-3220,520
2001-08-08,83400.0,81000.0,39030.0,6.84,15790,-9050,-7240
2001-08-09,79500.0,77700.0,35610.0,6.56,6600,-8150,-170
2001-08-10,78800.0,75200.0,55130.0,6.35,22390,4160,-26750
2001-08-13,75500.0,77900.0,18150.0,6.58,-540,-2470,2870
2001-08-14,80000.0,79200.0,39521.0,6.68,-8740,-1820,10070
2001-08-16,79500.0,79000.0,39470.0,6.67,-8170,-7010,15220
2001-08-17,80000.0,87500.0,101610.0,7.39,-7150,-10130,17420
2001-08-20,83100.0,85200.0,48530.0,7.19,3890,-6570,2720
2001-08-21,85500.0,88700.0,76370.0,7.49,9020,1170,-10280
2001-08-22,85000.0,87000.0,21280.0,7.34,-3000,5830,-2990
2001-08-23,85000.0,86400.0,11571.0,7.29,260,-460,280
2001-08-24,86000.0,88400.0,31411.0,7.46,-8259,519,8000
2001-08-27,90000.0,88600.0,22149.0,7.48,-4790,7240,-1610
2001-08-28,87500.0,86500.0,9730.0,7.3,2860,-2940,200
2001-08-29,85500.0,89500.0,39284.0,7.55,-4000,-17770,21540
2001-08-30,87000.0,86800.0,48569.0,7.33,9990,-18350,8020
2001-08-31,86000.0,82000.0,65360.0,6.92,5840,-14510,8320
2001-09-03,82000.0,81000.0,22554.0,6.84,6490,190,-6950
2001-09-04,81200.0,84000.0,20590.0,7.09,-1950,-2040,3880
2001-09-05,83800.0,82400.0,38430.0,6.96,1130,-5530,4710
2001-09-06,82700.0,85900.0,13280.0,7.25,-8200,-300,8410
2001-09-07,83500.0,86500.0,25820.0,7.3,6340,-2430,-3820
2001-09-10,86500.0,85900.0,18079.0,7.25,-4720,-3200,8410
2001-09-11,86300.0,85800.0,17960.0,7.24,-2760,-4050,5810
2001-09-12,73000.0,83000.0,35390.0,7.01,-13870,-250,14170
2001-09-13,88000.0,89900.0,35800.0,7.59,-4850,-13240,17440
2001-09-14,90000.0,87100.0,57460.0,7.35,-3740,-9020,13640
2001-09-17,87100.0,88000.0,33600.0,7.43,-4300,-8110,11960
2001-09-18,87000.0,88000.0,21320.0,7.43,1990,-1870,-120
2001-09-19,88000.0,88000.0,19640.0,7.43,-410,-2720,3320
2001-09-20,88500.0,88000.0,45760.0,7.43,-7040,-3920,11320
2001-09-21,88200.0,88700.0,29920.0,7.49,-5140,-550,7370
2001-09-24,88200.0,86800.0,68320.0,7.33,1250,-5180,3900
2001-09-25,88000.0,91000.0,46741.0,7.68,-6910,-10250,17520
2001-09-26,91600.0,93000.0,16810.0,7.85,-30,-6390,6370
2001-09-27,92000.0,95000.0,49269.0,8.02,-250,-3710,6980
2001-09-28,95000.0,96000.0,60152.0,8.1,-8232,-22900,31082
2001-10-04,81600.0,102000.0,76160.0,8.61,-2180,-9000,11610
2001-10-05,97000.0,100000.0,60586.0,8.44,1246,-4756,3510
2001-10-08,103000.0,102000.0,15113.0,8.61,-5130,-303,5413
2001-10-09,102000.0,99800.0,12989.0,8.42,1929,-6649,4540
2001-10-10,99800.0,99500.0,15510.0,8.4,1010,-2790,1780
2001-10-11,99500.0,97800.0,45310.0,8.26,13170,-3050,-10640
2001-10-12,98000.0,97800.0,29130.0,8.26,-600,-8010,9000
2001-10-15,97900.0,98500.0,30410.0,8.31,-990,-4250,6890
2001-10-16,97000.0,94100.0,125571.0,7.94,19080,6940,-26750
2001-10-17,94600.0,89000.0,85861.0,7.51,35280,-8010,-27280
2001-10-18,89200.0,91200.0,64793.0,7.7,-7916,-8964,8760
2001-10-19,90900.0,88400.0,32160.0,7.46,12750,3410,-16240
2001-10-22,88500.0,86100.0,62531.0,7.27,23271,-1770,-21841
2001-10-23,87000.0,84500.0,71825.0,7.13,20699,460,-21569
2001-10-24,84300.0,87200.0,42290.0,7.36,-6660,-1990,9190
2001-10-25,87200.0,89200.0,43340.0,7.53,-9910,-1040,11310
