Symbol,현대차_시가(원),현대차_종가(원),현대차_거래량(주),현대차_PER(IFRS-연결),현대차_순매수수량(개인)(주),현대차_순매수수량(기관계)(주),현대차_순매수수량(외국인계)(주)
2000-01-04,19000,20700,2028370,5.71,54460,-588600,495030
2000-01-05,21000,20800,4091650,5.74,34750,-783440,231650
2000-01-06,21300,19700,1899330,5.44,102390,-313900,267150
2000-01-07,20900,20300,2206950,5.6,-250350,85540,73110
2000-01-10,21500,20000,1931830,5.52,76550,-388870,265330
2000-01-11,19800,20000,1779040,5.52,250150,-236040,6500
2000-01-12,20100,19450,1020450,5.37,153990,-189500,67600
2000-01-13,19500,19500,1245390,5.38,239420,-156140,-87630
2000-01-14,19500,18500,1720440,5.11,422770,-14550,-391990
2000-01-17,19050,18500,2114500,5.11,381600,-232470,50970
2000-01-18,18500,17800,2558780,4.91,1264820,-858420,-403550
2000-01-19,17400,16100,2608430,4.44,713560,-447920,-220920
2000-01-20,15850,16200,2730990,4.47,508740,-677890,256420
2000-01-21,15900,16200,2835700,4.47,158820,-223430,124180
2000-01-24,15800,16000,2175750,4.42,760770,-431030,-126670
2000-01-25,15700,15500,1751200,4.28,258040,-116340,-249150
2000-01-26,15500,15950,2038040,4.4,-21740,-37170,-25990
2000-01-27,16500,17150,3341490,4.73,-263190,335090,-13110
2000-01-28,17150,16800,2096870,4.64,84920,-212740,134030
2000-01-31,16600,17100,1725870,4.72,-212380,-32920,238980
2000-02-01,17500,17000,1815120,4.69,194360,-98790,-93030
2000-02-02,17000,18300,4041730,5.05,-1056890,597230,432500
2000-02-03,18500,18550,4235540,5.12,-600260,582280,-26680
2000-02-07,18100,18500,2104860,5.11,-377240,-175990,517700
2000-02-08,18500,18100,2110260,5,-162470,-303580,434490
2000-02-09,18000,17000,2244160,4.69,267630,-563030,328200
2000-02-10,16700,16350,3117220,4.51,1137290,-1190950,251050
2000-02-11,16400,15650,2220350,4.32,918780,-816170,-86440
2000-02-14,15200,14650,1836490,4.04,363560,-228180,-119980
2000-02-15,14200,13750,2240530,3.79,700480,-33740,-665260
2000-02-16,14000,14000,2142540,3.86,773040,-187640,-422840
2000-02-17,14400,14500,3180400,4,-363990,-87480,435270
2000-02-18,14300,13700,1959000,3.78,307830,-388710,70060
2000-02-21,13700,12350,2101280,3.41,692690,-134710,-564480
2000-02-22,12050,12200,2215070,3.37,232290,-257140,38690
2000-02-23,12550,13300,2683040,3.67,354720,-331620,-20170
2000-02-24,13200,12500,1340480,3.45,59640,-122260,36710
2000-02-25,12150,12900,2855810,3.56,-137610,281580,-191810
2000-02-28,12100,11850,1612000,3.27,354300,-222940,-98020
2000-02-29,12300,12050,2117420,3.33,109510,-72250,-42370
2000-03-02,12550,13200,3646270,3.64,-97800,240720,-126420
2000-03-03,13200,13500,3028800,3.73,-581220,377150,192830
2000-03-06,13900,15500,4842640,4.28,98560,81370,-275980
2000-03-07,15600,15000,4832740,4.14,-21020,50970,-118470
2000-03-08,14150,15000,3426360,4.14,-910110,1010120,-55990
2000-03-09,15000,14050,2322890,3.88,837920,-502050,-311980
2000-03-10,14500,13600,2108500,3.75,271750,43430,-285860
2000-03-13,13400,12600,2207130,3.48,787140,-703220,-81890
2000-03-14,12600,12950,1555310,3.57,-104840,101930,8940
2000-03-15,12500,12700,1080210,3.5,-34550,-39440,38690
2000-03-16,13100,13200,1753680,3.64,-158390,200520,24720
2000-03-17,14300,13900,3172140,3.84,-1040510,452680,155110
2000-03-20,13900,14000,1357840,3.86,-493690,132050,323250
2000-03-21,13900,13700,1003820,3.78,-391180,388710,8040
2000-03-22,14000,14000,1492810,3.86,-281040,203470,16390
2000-03-23,14000,13600,1079120,3.75,-9170,-53880,1940
2000-03-24,13900,14400,2057910,3.97,-343340,320440,29280
2000-03-27,14000,14400,1983490,3.97,-382200,541380,-123320
2000-03-28,14000,14150,2132000,3.91,-233380,312080,-144510
2000-03-29,14000,14000,2056460,3.86,80660,327990,-382290
2000-03-30,14000,14000,3234070,3.86,228520,1060970,-1203430
2000-03-31,13600,13400,1987640,3.7,154530,644960,-473780
2000-04-03,13300,13400,1626370,3.7,-334030,439190,-122090
2000-04-04,13700,13900,1671750,3.84,-279270,224040,43190
2000-04-06,13800,13300,1305360,3.67,-163880,110230,55970
2000-04-07,13300,13300,1466240,3.67,-286630,418880,-150110
2000-04-10,13200,13400,2862850,3.7,751080,-290770,-496810
2000-04-11,13500,13250,1159870,3.66,-155420,345250,-141760
2000-04-12,13050,13100,1273150,3.62,-193420,335250,-160130
2000-04-14,12600,12750,1546010,3.52,331190,216920,-459830
2000-04-17,11950,12000,1821610,3.31,-525080,486600,17960
2000-04-18,12600,12500,1753170,3.45,37370,3350,-45840
2000-04-19,12500,12450,1909470,3.44,375170,24180,-409640
2000-04-20,13000,12000,1466160,3.31,484780,-249390,-50120
2000-04-21,11900,12300,1754670,3.39,56540,-36960,-11340
2000-04-24,11900,11550,1253630,3.19,227440,-161440,-8630
2000-04-25,11350,11900,4355540,3.28,-217270,426400,116640
2000-04-26,12100,10150,5930230,2.8,2197080,-2037180,-26350
2000-04-27,10100,9400,6118560,2.59,521020,-448390,28220
2000-04-28,9680,10450,5455280,2.88,-1108230,364440,869440
2000-05-02,10450,10700,2528700,2.95,-188950,1070,187710
2000-05-03,10500,10900,1434750,3.01,-110540,22600,59640
2000-05-04,11200,10900,3763170,3.01,-49740,211380,-137960
2000-05-08,11700,11600,2088290,3.2,-570450,100730,517420
2000-05-09,11200,11200,1624210,3.09,3020,-140240,28280
2000-05-10,10900,11400,1236720,3.15,-273130,-45340,217470
2000-05-12,11500,11100,1113680,3.06,-178730,-337160,460890
2000-05-15,11000,12000,1131910,3.31,-785590,532480,255110
2000-05-16,11500,11700,936280,3.23,-405780,36800,379660
2000-05-17,11900,11900,1755870,3.28,-641680,86460,616070
2000-05-18,11500,11350,789570,3.13,-331690,412080,-65840
2000-05-19,11350,11100,820540,3.06,-134200,228480,-77010
2000-05-22,11100,10700,683210,2.95,-224710,245280,-5470
2000-05-23,10400,10500,1240050,2.9,-357250,742340,-389640
2000-05-24,10300,10500,979290,2.9,-182790,313760,-133270
2000-05-25,10650,11100,15605350,3.06,14251170,-73360,-57030
2000-05-26,11000,9800,1831920,2.7,43610,-287420,306920
2000-05-29,8520,10000,2080450,2.76,-163500,-1240,166190
2000-05-30,10300,10900,2750350,3.01,176940,-211080,74140
2000-05-31,11200,12100,5580750,3.34,-426310,89910,268800
2000-06-01,11800,12000,4316050,3.31,-932790,339640,581800
2000-06-02,12600,13800,5720200,3.81,-1087650,423230,650100
2000-06-05,14600,14200,7312890,3.92,338710,-394280,41490
2000-06-07,13800,13850,4051860,3.82,-34450,665020,-532030
2000-06-08,13800,14050,3217120,3.88,-317060,193630,-65870
2000-06-09,14000,15300,4006530,4.22,-569700,41410,507970
2000-06-12,15600,16450,7182930,4.54,-143560,418270,-228540
2000-06-13,15500,14500,3111690,4,154990,136760,-253990
2000-06-14,14450,14400,1864950,3.97,10760,-43290,-37830
2000-06-15,13800,13900,1573430,3.84,-447210,152060,243890
2000-06-16,13300,13900,1054580,3.84,-322920,311400,64450
2000-06-19,13900,14100,1526570,3.89,-182270,164440,23740
2000-06-20,14700,15700,2760050,4.33,-958380,536380,350220
2000-06-21,15900,16000,4186040,4.42,-1697940,1320680,421720
2000-06-22,17000,16200,2664070,4.47,-707770,776020,-58640
2000-06-23,16200,16900,3790440,4.66,-383040,-463730,870500
2000-06-26,17250,16900,10888130,4.66,4603010,-553280,802710
2000-06-27,17400,16450,3087210,4.54,-226850,78050,-153290
2000-06-28,16500,15400,3351240,4.25,573870,799860,-457570
2000-06-29,14800,14050,5290900,3.88,99120,-525550,25720
2000-06-30,14250,14300,2099300,3.95,390590,-396100,-41880
2000-07-03,14550,14500,2258460,4,-305040,264130,255320
2000-07-04,14500,14650,1317880,4.04,-424130,-13320,114740
2000-07-05,14650,14700,1356860,4.06,-412510,128990,-107650
2000-07-06,14700,15500,2453790,4.28,-443180,-188940,450570
2000-07-07,15500,16000,1840420,4.42,-512820,170010,248280
2000-07-10,16000,15650,1383720,4.32,-396980,-187460,389530
2000-07-11,15700,15450,1459300,4.26,-136750,-328130,282150
2000-07-12,15400,15000,1280920,4.14,-87450,-105340,-46730
2000-07-13,14600,15000,1100220,4.14,-105630,-370910,329660
2000-07-14,15000,15000,1181140,4.14,-44400,53090,-72260
2000-07-18,15400,14700,909430,4.06,-127240,-194990,302930
2000-07-19,14400,14100,558040,3.89,-149710,12520,18330
2000-07-20,14100,14400,1140670,3.97,-286170,47230,255990
2000-07-21,14400,14300,701530,3.95,45130,-76890,31760
2000-07-24,14000,13600,538140,3.75,-39080,-12760,33520
2000-07-25,13100,13000,998920,3.59,32990,143000,-202520
2000-07-26,12600,13400,1082390,3.7,10480,-89720,26980
2000-07-27,13500,14000,761060,3.86,-178080,172430,-13730
2000-07-28,13600,13950,1308170,3.85,-295710,108890,43500
2000-07-31,13700,14950,840280,4.13,-332010,255970,51360
2000-08-01,15000,15150,848870,4.18,-24110,95150,-65560
2000-08-02,15300,15300,1932130,4.22,8320,323050,-337430
2000-08-03,15450,15300,834030,4.22,-172950,-66380,226430
2000-08-04,15000,15200,507630,4.19,98470,-173180,43530
2000-08-07,14150,14200,432340,3.92,-61590,-3580,4380
2000-08-08,14000,14700,582500,4.06,-226360,132900,1400
2000-08-09,15200,16900,4112390,4.66,-463570,187950,327910
2000-08-10,17000,17450,4788390,4.82,-677830,-161500,717910
2000-08-11,17200,17150,2263840,4.73,-664150,355390,295170
2000-08-14,18000,17300,2633620,4.77,-94180,-183830,440000
2000-08-16,17000,17000,1511500,4.69,-299440,311240,-11630
2000-08-17,16700,17550,5194820,4.84,-1020800,230370,887190
2000-08-18,18000,17250,2587900,4.76,281350,398390,-651180
2000-08-21,16700,16800,1251240,4.64,30630,73390,-326290
2000-08-22,16600,16100,26776680,4.44,-7219480,5893990,903880
2000-08-23,16250,16150,3871010,4.46,-387300,-613130,348930
2000-08-24,16000,15900,2642980,4.39,-347480,-376120,638750
2000-08-25,15800,16700,3885800,4.61,-581520,-48350,713560
2000-08-28,16700,16700,1748660,4.61,-347470,135040,183170
2000-08-29,17200,17250,4154970,4.76,-675820,-465760,1304790
2000-08-30,17250,16950,1953010,4.68,90300,-645060,599910
2000-08-31,16900,16800,2082410,4.64,-298130,-62250,359570
2000-09-01,17200,17200,1120060,4.75,-275270,223000,47180
2000-09-04,17000,16750,902040,4.62,-201090,1740,200460
2000-09-05,16750,16800,967120,4.64,-409400,415870,-14080
2000-09-06,16700,16700,1118300,4.61,-247340,62990,184210
2000-09-07,16300,15900,1248220,4.39,-68520,32990,-25560
2000-09-08,15700,16300,1067750,4.5,-364880,246720,126890
2000-09-14,16200,17050,1937490,4.71,-342310,-114530,456440
2000-09-15,16800,16650,1915300,4.6,64080,-65340,37730
2000-09-18,15900,14700,2388700,4.06,-401370,934660,-554710
2000-09-19,14300,12500,2783150,3.45,641830,60150,-634980
2000-09-20,13500,12800,3368450,3.53,1286080,-414880,-897900
2000-09-21,13500,13300,2442260,3.67,-369590,191690,139220
2000-09-22,13000,13000,1646430,3.59,-226290,330870,-147580
2000-09-25,13000,13500,1039300,3.73,-303510,187230,116280
2000-09-26,13350,13450,609760,3.71,-110570,88160,15700
2000-09-27,13650,13650,784950,3.77,-234470,144380,120690
2000-09-28,13950,14350,1207720,3.96,-342500,-99800,438250
2000-09-29,14100,14500,1549450,4,-99070,14360,34010
2000-10-02,14000,13900,402500,3.84,-31510,-19440,51000
2000-10-04,13850,14000,1138950,3.86,-4610,-22420,18030
2000-10-05,14000,13850,888910,3.82,-54340,-189040,232210
2000-10-06,13500,13150,1389060,3.63,509440,-148850,-363780
2000-10-09,13300,13750,1470950,3.79,-526040,-294420,811720
2000-10-10,13800,13950,915020,3.85,-415580,-87350,516010
2000-10-11,13850,13700,602420,3.78,-334030,140470,208130
2000-10-12,13400,12600,530350,3.48,-53500,24080,31590
2000-10-13,12300,13450,1670510,3.71,-448380,468740,-53230
2000-10-16,13500,13000,2566620,3.59,816620,-48820,-772460
2000-10-17,13000,11150,1554750,3.08,397580,161390,-632710
2000-10-18,10300,11050,3649820,3.05,560940,-130080,-540780
2000-10-19,10300,10700,2279260,2.95,265680,-753680,499740
2000-10-20,11300,11800,2588330,3.26,-648920,-11240,620650
2000-10-23,12200,11150,1035750,3.08,-88210,-154940,129950
2000-10-24,11400,12100,1290930,3.34,-447880,313120,136660
2000-10-25,12000,12500,1041160,3.45,-339760,-6710,327630
2000-10-26,12100,12450,706410,3.44,-158600,30480,-58690
2000-10-27,12500,12050,758230,3.33,-226380,143090,-37520
2000-10-30,12100,12500,1007080,3.45,-289270,92980,-40880
2000-10-31,12000,13000,1120600,3.59,-454100,145590,141320
2000-11-01,13300,13900,1021020,3.84,-321660,83630,196210
2000-11-02,13900,14250,1635650,3.93,-382990,-480810,840900
2000-11-03,14250,14100,854460,3.89,-138740,-112020,226570
2000-11-06,13900,13600,896060,3.75,-62040,-101440,165970
2000-11-07,14000,13950,504480,3.85,-69890,-97820,110440
2000-11-08,14200,15200,2474580,4.19,-259850,-340000,532900
2000-11-09,15200,15450,1388190,4.26,-322290,-93370,461590
2000-11-10,15700,15400,856310,4.25,-240500,91200,67410
2000-11-13,15400,14900,632800,4.11,-104630,-176840,93160
2000-11-14,14800,15300,678880,4.22,-173140,18650,58630
2000-11-15,15200,15250,1034070,4.21,-253970,-39530,49740
2000-11-16,15000,14150,1963620,3.91,660060,-729250,-6930
2000-11-17,13900,13450,3455460,3.71,919470,269700,-1158620
2000-11-20,13100,12850,1207840,3.55,496270,-76900,-422650
2000-11-21,12400,12450,1393110,3.44,470960,-44210,-515730
2000-11-22,12000,13000,2638120,3.59,170500,271210,-486330
2000-11-23,12800,12850,2625980,3.55,-1733990,417320,-205320
2000-11-24,12900,13200,864020,3.64,-291000,236480,44050
2000-11-27,13250,13550,898040,3.74,-249270,218150,68620
2000-11-28,13450,13400,492650,3.7,-132020,114660,28640
2000-11-29,13050,13000,652280,3.59,-207840,88110,116640
2000-11-30,13000,13000,403480,3.59,-41500,13920,21070
2000-12-01,12750,13500,1070400,3.73,-425890,594260,-163990
2000-12-04,13400,12650,17534270,3.49,385520,-204820,-173890
2000-12-05,12650,13100,912860,3.62,190710,159630,-350240
2000-12-06,13500,13100,1141210,3.62,-156850,182970,-31720
2000-12-07,12900,13100,2298290,3.62,-1811300,156160,-143650
2000-12-08,12800,13050,478730,3.6,-29100,167750,-140900
2000-12-11,13250,13400,947400,3.7,-133680,292640,-155730
2000-12-12,13450,12800,894760,3.53,350510,-81440,-182530
2000-12-13,12550,12800,1069360,3.53,150740,49810,-207040
2000-12-14,12650,12700,1175470,3.5,242410,-328460,86760
2000-12-15,12500,12500,680020,3.45,169970,-150320,-73070
2000-12-18,12250,12500,3249750,3.45,-2960090,95170,-4380
2000-12-19,12500,11800,677140,3.26,89480,-167180,38160
2000-12-20,11100,10650,1935260,2.94,644340,-138130,-503980
2000-12-21,10500,11000,1072070,3.04,-30170,112400,-24170
2000-12-22,11350,11300,708320,3.12,-170520,10310,9700
2000-12-26,11500,12100,949000,3.34,-255010,-199060,-4210
2001-01-02,11900,11700,634860,5.44,59430,-175080,115540
2001-01-03,11500,11900,726710,5.53,-88100,108840,-1230
2001-01-04,12900,12750,1656560,5.92,-527200,401760,155180
2001-01-05,13200,13650,1741950,6.34,-650180,334490,331480
2001-01-08,13400,14150,1846450,6.57,-684520,250140,423880
2001-01-09,13850,13700,1178060,6.36,31730,230630,-272880
2001-01-10,13300,12100,1650060,5.62,547560,-330710,-193800
2001-01-11,12450,12100,1234320,5.62,398840,-258990,-166800
2001-01-12,12500,13100,1606210,6.09,-446190,274530,133160
2001-01-15,13300,13100,1390110,6.09,146530,-99380,-10550
2001-01-16,13100,13600,1417570,6.32,-254960,64420,275680
2001-01-17,13500,13800,1106080,6.41,-494460,215420,287040
2001-01-18,14100,14600,3630480,6.78,-1044880,436120,739220
2001-01-19,15450,15500,4645840,7.2,-1527250,1281020,1153100
2001-01-22,15800,15350,1531080,7.13,-53860,-59170,122330
2001-01-26,15200,14900,1742120,6.92,-413190,89110,358330
2001-01-29,15000,15000,1161270,6.97,-211120,87080,165360
2001-01-30,15100,14600,890680,6.78,-117820,-29740,176640
2001-01-31,14900,15350,1230410,7.13,-297070,86860,227200
2001-02-01,15100,15700,1724750,7.29,-697550,338560,687180
2001-02-02,15400,14900,1262230,6.92,107000,-29640,-72580
2001-02-05,14500,14450,645620,6.71,23700,81280,-116030
2001-02-06,14100,14700,718360,6.83,-133470,400320,-248890
2001-02-07,14200,14700,507940,6.83,-149350,115510,38380
2001-02-08,14500,15100,712860,7.02,-217010,255730,-66560
2001-02-09,15000,15500,1076360,7.2,-561650,68060,541400
2001-02-12,15500,15800,1718810,7.34,-609420,114800,566700
2001-02-13,15800,16300,2431310,7.57,-791090,-214950,1261740
2001-02-14,16300,17050,3059530,7.92,-1161130,268540,990250
2001-02-15,17150,16500,980620,7.67,-192830,49870,129910
2001-02-16,16700,16900,1106910,7.85,-288630,-249770,468690
2001-02-19,16500,16700,1308990,7.76,112290,-195330,102430
2001-02-20,16300,17000,762920,7.9,-199520,170860,104040
2001-02-21,16900,17200,1125420,7.99,-330130,232230,154210
2001-02-22,17000,17350,1712860,8.06,-355240,-449260,909580
2001-02-23,17150,17350,751940,8.06,-285830,82220,320250
2001-02-26,17350,17500,490360,8.13,-145030,98450,105480
2001-02-27,17200,16500,10941410,7.67,168520,-10116390,-9130
2001-02-28,16500,16000,1209410,7.43,69480,187100,-261630
2001-03-02,15600,16400,1386510,7.62,-187200,-61310,290420
2001-03-05,16400,17500,2376200,8.13,-936120,-159240,1147870
2001-03-06,17600,17450,11065550,8.11,-283900,-9881210,86270
2001-03-07,17050,16800,1053850,7.8,47070,-13940,-81260
2001-03-08,16950,17350,1918630,8.06,-169220,-48690,132150
2001-03-09,17500,17300,1247660,8.04,-427000,32560,355080
2001-03-12,17050,17200,869650,7.99,-110960,-307230,328910
2001-03-13,16750,16300,2276760,7.57,-147850,-235290,-838700
2001-03-14,16600,16500,1420350,7.67,-15770,75040,-271760
2001-03-15,15900,16900,1279000,7.85,-338930,-41570,214650
2001-03-16,16550,16850,934900,7.83,-130770,-197900,196220
2001-03-19,16700,16200,1148710,7.53,107620,40490,-645120
2001-03-20,16200,15650,1748250,7.27,262720,-64940,-565840
2001-03-21,15200,15700,912400,7.29,59540,177580,-219850
2001-03-22,15700,15900,649930,7.39,-91820,65670,21150
2001-03-23,16100,17000,1405670,7.9,-609340,140420,463490
2001-03-26,17400,17000,676920,7.9,-197680,-37230,311240
2001-03-27,17000,16000,618390,7.43,118880,-82330,-20120
2001-03-28,16500,16750,620350,7.78,-146890,-155460,303420
2001-03-29,16350,17000,1203640,7.9,-433730,-153130,631360
2001-03-30,17300,17200,783050,7.99,-312630,68580,169160
2001-04-02,17050,17400,1220030,8.08,-446120,-319610,762790
2001-04-03,17300,17500,2765550,8.13,-570500,-555430,1207840
2001-04-04,17400,17000,725540,7.9,-185120,-12370,191200
2001-04-06,17500,17150,963280,7.97,-89350,-235590,359430
2001-04-09,17000,17250,902270,8.01,-68030,-152030,221710
2001-04-10,17250,17450,1749840,8.11,-378730,-32470,407510
2001-04-11,17800,18400,2263500,8.55,-874530,-22980,988150
2001-04-12,18200,17700,1267090,8.22,20010,-36020,36890
2001-04-13,18000,17700,744550,8.22,-63350,-98560,182430
2001-04-16,17950,18300,1224020,8.5,-275750,-41180,219950
2001-04-17,18000,17600,1683590,8.18,55180,332050,-521810
2001-04-18,17950,18200,1052270,8.46,-314070,4270,281110
2001-04-19,18800,18100,2251850,8.41,-92120,-277390,494410
2001-04-20,18200,17700,954760,8.22,70350,184770,-269590
2001-04-23,18000,17900,591240,8.32,-231710,143600,67880
2001-04-24,17600,17600,624240,8.18,87370,177960,-265760
2001-04-25,17500,18400,943750,8.55,-403900,377110,25290
2001-04-26,18450,18450,1282880,8.57,-267860,-271440,571640
2001-04-27,18650,19000,1738030,8.83,-615700,52190,541810
2001-04-30,19500,20600,2347210,9.57,-900520,-36290,989510
2001-05-02,23000,22000,4258480,10.22,-507670,-1105790,1717960
2001-05-03,22000,21400,2285620,9.94,-234670,-141270,228820
2001-05-04,21050,22100,3099340,10.27,-432990,-55770,541530
2001-05-07,22500,22300,1256050,10.36,-160410,-182420,369400
2001-05-08,22000,21300,1441080,9.9,182620,-128660,-130
2001-05-09,21600,21500,1320240,9.99,-66490,-204510,299780
2001-05-10,21800,22550,1914710,10.48,-411410,-53340,468270
2001-05-11,22400,22600,1490010,10.5,-124490,-436190,566490
2001-05-14,22900,23100,1017670,10.73,-318680,1230,313710
2001-05-15,23000,22350,780110,10.38,-67710,168310,-80530
2001-05-16,22300,21600,1262250,10.03,-36650,-333360,456840
2001-05-17,22300,22000,970620,10.22,-101090,101180,43280
2001-05-18,22000,22800,1515740,10.59,-357310,-14780,387290
2001-05-21,23500,24850,2488830,11.54,-1029700,192820,843280
2001-05-22,25500,23650,1668550,10.99,-177740,-327780,469520
2001-05-23,24400,24250,846530,11.27,-84820,77040,-9570
2001-05-24,24000,25000,868370,11.61,-122780,249330,-151090
2001-05-25,25000,24450,750720,11.36,-105520,168180,-89520
2001-05-28,24000.0,23500.0,621800.0,10.92,151540,-23170,-128670
2001-05-29,23000.0,24300.0,665060.0,11.29,-100970,44510,75100
2001-05-30,24300.0,24650.0,761210.0,11.45,-65730,-135970,200050
2001-05-31,24000.0,25250.0,2021130.0,11.73,-308750,-293890,638930
2001-06-01,25500.0,25000.0,1160820.0,11.61,-375380,61770,308110
2001-06-04,25500.0,26000.0,1588920.0,12.08,-466740,146030,295730
2001-06-05,25900.0,25600.0,1265820.0,11.89,-143970,62440,90900
2001-06-07,25550.0,25000.0,1064630.0,11.61,69190,58900,-93580
2001-06-08,25000.0,26000.0,1081240.0,12.08,-294700,137720,344550
2001-06-11,25600.0,26100.0,836820.0,12.13,-91780,15520,81390
2001-06-12,25950.0,26100.0,455810.0,12.13,-123600,100840,22220
2001-06-13,26200.0,25700.0,427930.0,11.94,1060,-2480,2860
2001-06-14,25700.0,25600.0,1236770.0,11.89,19150,-220860,226140
2001-06-15,25600.0,26300.0,1172530.0,12.22,26120,22420,-44000
2001-06-18,26300.0,26600.0,627620.0,12.36,-130740,-123190,265140
2001-06-19,26900.0,28300.0,2163710.0,13.15,-629100,158810,451520
2001-06-20,28300.0,28700.0,1123910.0,13.33,-119750,-206400,320840
2001-06-21,28700.0,28650.0,682410.0,13.31,-96690,-46320,183010
2001-06-22,28650.0,28650.0,705780.0,13.31,-44080,-9720,37250
2001-06-25,28700.0,29500.0,610380.0,13.7,-201240,-4450,185600
2001-06-26,29300.0,28800.0,503630.0,13.38,-21370,83230,-42780
2001-06-27,28300.0,27850.0,1211470.0,12.94,-41100,86220,-92320
2001-06-28,27500.0,27300.0,896860.0,12.68,62370,-109710,6730
2001-06-29,27500.0,28300.0,852540.0,13.15,-123130,85190,20280
2001-07-02,28100.0,26900.0,831030.0,12.5,287690,-169320,-104500
2001-07-03,26900.0,25800.0,2113850.0,11.99,311220,79730,-484940
2001-07-04,25500.0,26000.0,1430570.0,12.08,-960,279880,-440870
2001-07-05,26500.0,27000.0,1032540.0,12.54,-209140,-97080,302530
2001-07-06,26800.0,26100.0,584090.0,12.13,-20310,145980,-132310
2001-07-09,25500.0,25500.0,721920.0,11.85,-125440,259450,-159190
2001-07-10,25800.0,25800.0,366080.0,11.99,-16420,52440,-39460
2001-07-11,25500.0,26700.0,837510.0,12.4,-264940,107940,143040
2001-07-12,27000.0,26300.0,741060.0,12.22,42700,-77230,67070
2001-07-13,27300.0,25750.0,634510.0,11.96,-6200,33010,-22250
2001-07-16,26550.0,26400.0,551030.0,12.26,-202070,94070,110950
2001-07-18,26400.0,26400.0,664200.0,12.26,14590,-19100,25900
2001-07-19,25500.0,24900.0,917900.0,11.57,209740,150340,-377230
2001-07-20,24500.0,23200.0,1183300.0,10.78,127850,153830,-274550
2001-07-23,22100.0,21300.0,1939300.0,9.9,-52430,878840,-842760
2001-07-24,20850.0,21700.0,5275390.0,10.08,637790,1149110,-1837070
2001-07-25,21550.0,23050.0,2694340.0,10.71,-269550,-356690,656790
2001-07-26,23300.0,22900.0,1770500.0,10.64,34980,-121900,86540
2001-07-27,23300.0,22950.0,1197470.0,10.66,215130,-193120,-15210
2001-07-30,23000.0,21900.0,952960.0,10.17,32640,-178580,150700
2001-07-31,21700.0,22050.0,1457160.0,10.24,366850,103190,-561910
2001-08-01,22100.0,22300.0,2176180.0,10.36,465900,38470,-490000
2001-08-02,21900.0,23200.0,2579060.0,10.78,107410,178820,-308550
2001-08-03,23500.0,23000.0,1303560.0,10.69,-239620,-82450,370280
2001-08-06,23200.0,22700.0,1285280.0,10.55,6680,-42780,-60200
2001-08-07,22450.0,22000.0,1145380.0,10.22,261660,208600,-469010
2001-08-08,22150.0,22300.0,1175360.0,10.36,215360,38900,-208680
2001-08-09,21900.0,21900.0,1074200.0,10.17,-71220,161090,-93320
2001-08-10,21900.0,21250.0,1250630.0,9.87,253730,128590,-404570
2001-08-13,21250.0,20700.0,998200.0,9.62,258460,-128530,-127930
2001-08-14,20600.0,21000.0,1063960.0,9.76,93560,273380,-368840
2001-08-16,20000.0,20250.0,2460890.0,9.41,834690,623730,-1454660
2001-08-17,20000.0,20100.0,1700120.0,9.34,732460,-93370,-739650
2001-08-20,19500.0,19800.0,954500.0,9.2,-131930,242610,-162730
2001-08-21,19950.0,21200.0,2011830.0,9.85,20790,-48250,61530
2001-08-22,21000.0,21750.0,2300200.0,10.1,-404300,83000,270210
2001-08-23,21850.0,20900.0,1239420.0,9.71,78350,188560,-289240
2001-08-24,20700.0,20700.0,805250.0,9.62,-11640,123890,-115350
2001-08-27,21200.0,21450.0,1418600.0,9.97,-301240,66210,254640
2001-08-28,21700.0,22400.0,1834670.0,10.41,-350000,-95500,510790
2001-08-29,22400.0,22200.0,1698900.0,10.31,-310620,-200620,472570
2001-08-30,22000.0,22400.0,1175510.0,10.41,-264210,-140840,418580
2001-08-31,22000.0,21300.0,893690.0,9.9,-141620,96520,28170
2001-09-03,21300.0,20700.0,941960.0,9.62,19800,-119100,46350
2001-09-04,21000.0,22000.0,733380.0,10.22,-83190,63390,20400
2001-09-05,21900.0,22350.0,1207050.0,10.38,-303360,-90380,448320
2001-09-06,22400.0,22200.0,990300.0,10.31,-52560,-1200,27770
2001-09-07,22000.0,23000.0,893720.0,10.69,-310530,26830,335560
2001-09-10,22800.0,22900.0,845980.0,10.64,-129100,57220,82810
2001-09-11,23000.0,22100.0,787340.0,10.27,80840,-114070,51710
2001-09-12,18800.0,18800.0,2227640.0,8.73,-488350,837510,-402080
2001-09-13,19000.0,18750.0,2414770.0,8.71,528520,-72050,-517330
2001-09-14,18750.0,17000.0,2044410.0,7.9,31520,254180,-399060
2001-09-17,16300.0,16100.0,2187080.0,7.48,-183900,603530,-458320
2001-09-18,16600.0,16850.0,2835800.0,7.83,754380,-250910,-494540
2001-09-19,16700.0,16700.0,1623020.0,7.76,375270,71170,-408130
2001-09-20,16500.0,15750.0,2253070.0,7.32,60510,657300,-741500
2001-09-21,15050.0,14950.0,3284330.0,6.95,205340,1363410,-1626750
2001-09-24,15000.0,15550.0,1716380.0,7.22,186400,87990,-320630
2001-09-25,16100.0,15750.0,2672250.0,7.32,-202260,-246340,421690
2001-09-26,16200.0,16500.0,1509430.0,7.67,-317640,-65930,388620
2001-09-27,16650.0,17100.0,1622930.0,7.94,-248160,-178680,443890
2001-09-28,17000.0,16800.0,1412160.0,7.8,-16640,356180,-332720
