Symbol,한국단자_시가(원),한국단자_종가(원),한국단자_거래량(주),한국단자_PER(IFRS-연결),한국단자_순매수수량(개인)(주),한국단자_순매수수량(기관계)(주),한국단자_순매수수량(외국인계)(주)
2000-01-04,11500,12350,11870,7.98,0,0,0
2000-01-05,12350,12450,44900,8.04,-320,-14680,0
2000-01-06,12500,11600,31330,7.49,12000,-12000,0
2000-01-07,11200,11200,27010,7.23,8000,-8000,0
2000-01-10,11300,11500,55960,7.43,-28000,-3000,0
2000-01-11,11050,11350,93080,7.33,22050,-10250,0
2000-01-12,11250,11700,42990,7.56,-9610,9610,0
2000-01-13,11500,11500,18140,7.43,-5390,5390,0
2000-01-14,11150,10750,37350,6.94,11120,-11120,0
2000-01-17,11000,11000,33940,7.1,-13000,2000,0
2000-01-18,11000,10700,16300,6.91,0,0,0
2000-01-19,10300,10250,14930,6.62,0,0,0
2000-01-20,10000,9700,81330,6.26,31000,-31000,0
2000-01-21,10200,10100,26740,6.52,0,0,0
2000-01-24,10200,10100,29750,6.52,-1950,-8050,0
2000-01-25,10100,9700,27630,6.26,-620,-4380,0
2000-01-26,9760,9560,37470,6.17,-2630,-9370,0
2000-01-27,9560,10000,39770,6.46,17200,-19850,0
2000-01-28,10600,10200,50310,6.59,-5270,-12740,10
2000-01-31,10300,10600,39100,6.84,-400,0,0
2000-02-01,10900,10900,44560,7.04,-24230,24230,0
2000-02-02,10900,11900,51650,7.68,-6980,6730,0
2000-02-03,11900,11550,65310,7.46,-5890,-4110,0
2000-02-07,11600,11600,79940,7.49,33620,-43620,0
2000-02-08,11600,11400,34470,7.36,-10160,5280,0
2000-02-09,11500,11100,32550,7.17,-15300,3300,0
2000-02-10,11200,11100,37960,7.17,-13980,1980,0
2000-02-11,11100,10800,19550,6.97,-10000,0,0
2000-02-14,10800,10450,21670,6.75,-11730,1730,0
2000-02-15,10450,10100,26880,6.52,-3700,0,0
2000-02-16,9800,9800,21930,6.33,-10000,10000,0
2000-02-17,10300,10100,13380,6.52,0,0,0
2000-02-18,9600,11000,77280,7.1,-9080,-4020,0
2000-02-21,10800,10500,40730,6.78,-18390,-3610,0
2000-02-22,10300,11600,119390,7.49,-8230,2890,0
2000-02-23,11600,12700,264500,8.2,-5240,-15140,0
2000-02-24,12700,12200,166770,7.88,-83790,24480,0
2000-02-25,11600,12000,57370,7.75,-20000,10000,0
2000-02-28,11500,12900,107440,8.33,-66380,66380,0
2000-02-29,13200,12700,60230,8.2,-12510,12510,0
2000-03-02,12600,14000,179950,9.04,-113770,79590,0
2000-03-03,13500,13500,99010,8.72,-18400,-20710,-10
2000-03-06,13300,13600,194430,8.78,26340,-42680,0
2000-03-07,13600,13000,87560,8.39,-31600,-22500,0
2000-03-08,12550,12400,32190,8.01,-3000,3000,0
2000-03-09,12450,12500,33860,8.07,8040,-8040,0
2000-03-10,14000,13750,143320,8.88,-58790,58790,0
2000-03-13,13300,14200,123160,9.17,-46170,58170,0
2000-03-14,14150,13500,416240,8.72,-30040,55010,-400
2000-03-15,13450,13100,124610,8.46,-30190,-2560,-1050
2000-03-16,13000,12500,58710,8.07,5970,-15950,0
2000-03-17,12100,12500,38090,8.07,9790,-9870,0
2000-03-20,12800,12300,9850,7.94,-290,290,0
2000-03-21,12100,11700,28940,7.56,0,0,0
2000-03-22,11700,12050,30420,7.78,8270,990,-9260
2000-03-23,12200,12200,70850,7.88,31770,-11100,-20670
2000-03-24,12400,12200,149800,7.88,66490,-21340,-45070
2000-03-27,12500,12200,36610,7.88,-9900,9900,0
2000-03-28,12000,12000,57660,8.19,-9310,9310,0
2000-03-29,11700,11500,25720,7.84,-6520,6520,0
2000-03-30,11100,11150,48450,7.61,-13920,13880,0
2000-03-31,11450,12500,27490,8.53,-20700,20700,0
2000-04-03,12000,12000,36100,8.19,-13900,-600,14500
2000-04-04,12100,11500,1690,7.84,10,-10,0
2000-04-06,11050,11700,23210,7.98,-11440,1370,10070
2000-04-07,11900,12000,57790,8.19,4220,-29650,25430
2000-04-10,12000,11500,73250,7.84,57090,-56980,0
2000-04-11,11550,11350,33530,7.74,-11700,11700,0
2000-04-12,11150,11400,10240,7.78,0,0,0
2000-04-14,11000,11300,29650,7.71,-24300,24300,0
2000-04-17,10600,9700,58000,6.62,-32310,18310,14000
2000-04-18,10000,10150,29280,6.92,5950,-5950,0
2000-04-19,10300,9900,72460,6.75,51700,-51660,0
2000-04-20,9900,9500,43860,6.48,20010,-7000,0
2000-04-21,9600,9790,34480,6.68,12690,-12690,0
2000-04-24,9780,10100,25080,6.89,-11000,11000,0
2000-04-25,9800,10000,18140,6.82,-11480,11480,0
2000-04-26,9800,9800,16540,6.68,-9000,9000,0
2000-04-27,9510,10000,20300,6.82,-1330,-7000,4250
2000-04-28,10000,9990,23480,6.81,-9060,3310,5750
2000-05-02,10050,10000,14370,6.82,20,-20,0
2000-05-03,9800,9710,21300,6.62,930,570,-6500
2000-05-04,9800,9500,41180,6.48,20520,9770,-10290
2000-05-08,9810,9930,29090,6.77,-12280,21480,-9200
2000-05-09,9700,9750,10420,6.65,-4320,7130,-2810
2000-05-10,9700,9650,22320,6.58,6970,330,-7300
2000-05-12,9510,9400,22650,6.41,3500,7610,-7410
2000-05-15,9400,8900,31370,6.07,4970,-6290,-8680
2000-05-16,8300,9290,16720,6.34,7310,0,-7310
2000-05-17,9200,9000,52980,6.14,20,-20,0
2000-05-18,8510,8500,12910,5.8,1400,-1400,0
2000-05-19,8450,8700,41090,5.93,-2020,14640,-2020
2000-05-22,8700,8300,9590,5.66,-1950,1660,290
2000-05-23,8250,8400,11410,5.73,-3520,2990,-430
2000-05-24,8060,8400,41370,5.73,4940,-6810,1870
2000-05-25,8250,8850,39000,6.04,-3610,0,-390
2000-05-26,8500,8100,30580,5.53,-7340,10120,-2780
2000-05-29,7700,8000,9950,5.46,4270,-4270,0
2000-05-30,8000,8060,38500,5.5,20360,-9860,-10500
2000-05-31,8500,8220,53250,5.61,35510,-23630,-11880
2000-06-01,8280,8400,19140,5.73,-12080,12380,-300
2000-06-02,8400,8110,39410,5.53,21100,-21100,0
2000-06-05,8410,8710,93490,5.94,26360,-26360,0
2000-06-07,8850,8640,49770,5.89,-1720,1920,-200
2000-06-08,8900,8900,80110,6.07,-30950,41500,0
2000-06-09,8890,8790,16840,6,20,-20,0
2000-06-12,8800,8910,98920,6.08,12340,10500,0
2000-06-13,9000,9250,141000,6.31,4240,34740,-1000
2000-06-14,9500,9040,31200,6.17,3060,-2960,-100
2000-06-15,9000,8600,25060,5.87,7950,0,-7950
2000-06-16,8170,8260,15330,5.63,-320,0,320
2000-06-19,8070,8400,38700,5.73,-15430,-10570,0
2000-06-20,8250,8590,18040,5.86,-7580,7720,-140
2000-06-21,8590,8400,15150,5.73,3340,-3180,-160
2000-06-22,8400,8400,18420,5.73,7200,0,-7200
2000-06-23,8300,8050,19810,5.49,13770,-70,-13700
2000-06-26,8100,8230,55140,5.61,33350,-15010,-28340
2000-06-27,8310,8700,46310,5.93,-28410,27760,350
2000-06-28,8550,9050,240660,6.17,18040,-140520,0
2000-06-29,9050,9200,110420,6.28,-9450,-44320,0
2000-06-30,9200,9640,148620,6.58,10310,-11650,-600
2000-07-03,9700,10000,287680,6.82,-15010,11990,0
2000-07-04,10200,9750,282450,6.65,91890,-113370,0
2000-07-05,9650,9720,63500,6.63,-17000,-7000,1000
2000-07-06,9570,9900,59080,6.75,500,-17000,0
2000-07-07,9700,10100,55560,6.89,-9990,-12010,0
2000-07-10,10300,10100,102550,6.89,-17070,19480,0
2000-07-11,10200,10100,101380,6.89,-7220,-780,0
2000-07-12,9900,9600,80180,6.55,19190,-49180,0
2000-07-13,9600,10000,62460,6.82,-4100,2500,0
2000-07-14,9980,9660,10000,6.59,0,0,0
2000-07-18,10000,9800,64230,6.68,17500,-47500,0
2000-07-19,9410,9400,24330,6.41,2900,-3900,0
2000-07-20,9100,9000,10290,6.14,-1760,1760,0
2000-07-21,8710,8900,22600,6.07,13330,-830,0
2000-07-24,8010,8310,52090,5.67,9870,-5200,110
2000-07-25,8010,8150,57850,5.56,18920,-10920,0
2000-07-26,8790,8220,36290,5.61,20000,-10000,0
2000-07-27,8100,8200,40310,5.59,11050,-6050,0
2000-07-28,8010,8150,45520,5.56,2390,-2390,0
2000-07-31,7400,8200,53930,5.59,3780,-3780,0
2000-08-01,8620,8850,52930,6.04,-23260,4880,18380
2000-08-02,9000,9100,51620,6.21,-2900,-20720,28620
2000-08-03,9110,9150,19210,6.24,-6630,6630,0
2000-08-04,9000,8990,65270,6.13,4030,20970,0
2000-08-07,8610,9290,70080,6.34,18070,-20,0
2000-08-08,9000,8900,26150,6.07,10,-10,0
2000-08-09,9180,9300,49840,6.34,-1770,1770,0
2000-08-10,9500,9220,11090,6.29,-870,870,0
2000-08-11,9130,9200,62590,6.28,17250,-11250,0
2000-08-14,9400,9400,75810,6.41,40900,-20900,0
2000-08-16,9800,9610,122490,6.55,30220,-34790,0
2000-08-17,9650,9150,27950,6.24,2430,-2430,0
2000-08-18,8900,9150,426440,6.24,68510,-68510,0
2000-08-21,9230,9150,80330,6.24,5170,-5170,0
2000-08-22,9240,9420,102850,6.43,-29580,29580,0
2000-08-23,9300,9200,41930,6.28,-2000,2000,0
2000-08-24,9360,9140,51610,6.23,-14900,14100,0
2000-08-25,9050,9590,55420,6.54,-24190,24190,0
2000-08-28,9700,9580,63930,6.53,-6600,6600,0
2000-08-29,9580,9600,58970,6.55,-8320,23210,0
2000-08-30,9500,9750,67550,6.65,-21000,21000,0
2000-08-31,9750,9740,174550,6.64,-10480,6480,0
2000-09-01,9730,9800,55640,6.68,-11170,9170,0
2000-09-04,10000,9960,75390,6.79,8490,-490,0
2000-09-05,9900,10250,285040,6.99,31540,9890,1070
2000-09-06,10450,10350,96370,7.06,5240,4310,-1070
2000-09-07,10300,10100,75500,6.89,-14770,13770,0
2000-09-08,10000,10100,55510,6.89,-24090,24090,0
2000-09-14,9700,10000,31770,6.82,11660,-11660,0
2000-09-15,9710,9900,65280,6.75,-5810,14380,0
2000-09-18,9800,8980,64530,6.13,-12490,7820,0
2000-09-19,8980,8710,45920,5.94,-7720,1220,0
2000-09-20,8800,9100,38090,6.21,-1410,1410,0
2000-09-21,9100,8850,36720,6.04,-11650,1650,0
2000-09-22,9000,8800,50550,6,-40390,18660,0
2000-09-25,9010,9050,23440,6.17,-7080,7080,0
2000-09-26,8770,8890,19700,6.06,-2700,2700,0
2000-09-27,9000,8990,25320,6.13,1290,-1290,0
2000-09-28,8990,9300,72550,6.34,5040,-28310,0
2000-09-29,9300,9270,10640,6.32,-1170,1170,0
2000-10-02,9250,9000,23740,6.14,-870,870,0
2000-10-04,9000,9390,56510,6.4,-17080,20150,0
2000-10-05,9380,9440,26260,6.44,1510,8000,0
2000-10-06,9350,9250,292810,6.31,50950,-47460,500
2000-10-09,9400,9490,134610,6.47,36910,-26330,0
2000-10-10,9560,9300,38790,6.34,-7200,7200,0
2000-10-11,9300,9350,43050,6.38,-29280,23290,-500
2000-10-12,8000,8900,47670,6.07,-5690,5690,0
2000-10-13,8210,8400,28060,5.73,-8790,8690,100
2000-10-16,8480,8700,42200,5.93,-5480,9580,-100
2000-10-17,8690,8400,36570,5.73,-8090,11990,590
2000-10-18,8020,8400,35550,5.73,-9480,7840,140
2000-10-19,8400,8500,101800,5.8,25690,53040,-77220
2000-10-20,8700,8600,45740,5.87,-13560,14290,-730
2000-10-23,8500,8300,22200,5.66,0,0,0
2000-10-24,8300,8570,43010,5.85,-13000,3000,0
2000-10-25,8300,8320,18820,5.68,2600,-3000,400
2000-10-26,8300,8100,56750,5.53,17100,-27200,300
2000-10-27,8120,8250,48450,5.63,-8920,10750,-700
2000-10-30,8210,8100,32030,5.53,360,-450,90
2000-10-31,8100,8100,37770,5.53,-12590,5100,-90
2000-11-01,8260,8400,25100,5.73,-9720,3730,0
2000-11-02,8400,8640,31630,5.89,-6420,6420,0
2000-11-03,8500,8730,41740,5.95,0,0,0
2000-11-06,8730,8710,27760,5.94,14000,-14000,0
2000-11-07,8750,8850,39680,6.04,-4520,-5480,0
2000-11-08,8850,8800,42480,6,1590,-7340,0
2000-11-09,8600,8900,100260,6.07,71410,-70110,0
2000-11-10,8990,9600,136250,6.55,38440,-39440,0
2000-11-13,9800,9810,248230,6.69,73640,-72640,5000
2000-11-14,9720,10300,178670,7.03,33060,-28150,0
2000-11-15,10500,10600,351000,7.23,110770,-118680,5000
2000-11-16,10600,10550,135070,7.2,52060,-23380,0
2000-11-17,10500,10800,55730,7.37,6850,-9850,0
2000-11-20,10550,10800,43150,7.37,-8980,6980,0
2000-11-21,10500,10150,179700,6.92,87940,-71120,2000
2000-11-22,10050,10500,88880,7.16,7680,-7680,0
2000-11-23,10500,10850,133660,7.4,23330,-22330,0
2000-11-24,10900,11350,336170,7.74,158800,-79200,-35000
2000-11-27,11800,12000,156600,8.19,22980,-20580,1000
2000-11-28,11800,12100,344670,8.25,84780,45700,-97280
2000-11-29,12000,12000,118550,8.19,20320,-80,-17000
2000-11-30,12300,12100,412620,8.25,110900,-88480,0
2000-12-01,12100,12300,268960,8.39,16980,-17010,0
2000-12-04,12300,13200,458000,9,169740,-143710,-25000
2000-12-05,13100,13650,197310,9.31,4800,24700,0
2000-12-06,13700,12200,188680,8.32,-1680,1680,0
2000-12-07,11950,10400,635110,7.09,-147460,40290,-27000
2000-12-08,10400,10700,356830,7.3,-40610,16520,0
2000-12-11,10500,10350,155640,7.06,-30470,25340,5000
2000-12-12,10100,10500,160660,7.16,-61400,7940,0
2000-12-13,10400,10500,100400,7.16,-13900,-5000,0
2000-12-14,10400,10800,82760,7.37,-10940,10940,0
2000-12-15,11000,11150,73960,7.61,10,-10,0
2000-12-18,11300,11400,59230,7.78,460,-460,0
2000-12-19,11500,11400,133680,7.78,4600,-4600,0
2000-12-20,11100,11400,112630,7.78,5270,-2270,0
2000-12-21,11400,11800,186900,8.05,4140,460,-500
2000-12-22,11750,12250,267550,8.36,83360,-53930,0
2000-12-26,12300,11000,249930,7.5,-77200,50270,0
2001-01-02,10500,10800,95760,5.87,-15340,15340,0
2001-01-03,10800,10750,113750,5.84,-22050,19050,0
2001-01-04,11000,12250,234030,6.66,28550,-28550,0
2001-01-05,12000,12000,331880,6.52,116000,4000,-120000
2001-01-08,11900,11650,78920,6.33,1000,-1000,0
2001-01-09,11300,11250,95440,6.12,-5240,5240,0
2001-01-10,11050,11000,328020,5.98,37810,-93110,300
2001-01-11,10700,10600,101360,5.76,-610,910,-300
2001-01-12,10600,10650,208560,5.79,-10590,590,0
2001-01-15,10650,11000,171000,5.98,-4170,-15830,0
2001-01-16,11100,11000,95300,5.98,-28710,17710,0
2001-01-17,11000,11000,93910,5.98,-9080,10380,-9300
2001-01-18,11200,12050,513380,6.55,-103140,96320,-13000
2001-01-19,12050,11550,175880,6.28,51210,-50000,-3600
2001-01-22,11600,11700,104060,6.36,34060,-35220,0
2001-01-26,11900,11900,210240,6.47,118700,-33950,-85400
2001-01-29,12100,12850,587730,6.99,73200,76760,-161000
2001-01-30,12850,13400,322430,7.29,9240,-15060,2000
2001-01-31,13200,13200,133100,7.18,1810,6470,0
2001-02-01,12950,12400,343360,6.74,-39990,37990,0
2001-02-02,12400,12400,126460,6.74,-9960,14960,0
2001-02-05,12300,11350,104190,6.17,2700,5300,0
2001-02-06,11150,11750,96910,6.39,-22730,16920,0
2001-02-07,11750,11400,42180,6.2,-2170,-7830,0
2001-02-08,11300,12150,111050,6.61,-15850,14150,-500
2001-02-09,11800,11950,67640,6.5,-3000,0,0
2001-02-12,12100,12500,124510,6.8,6160,-6160,0
2001-02-13,12400,12600,119010,6.85,3120,-11120,0
2001-02-14,12400,12600,85560,6.85,-2070,70,0
2001-02-15,12400,12300,225400,6.69,680,-8180,0
2001-02-16,12400,12500,151270,6.8,11340,-13340,0
2001-02-19,12700,13100,287840,7.12,64160,-48550,-610
2001-02-20,13000,13000,366640,7.07,124550,-33000,-94200
2001-02-21,13300,13300,535130,7.23,96360,-97730,1870
2001-02-22,13100,14200,754010,7.72,243300,-155020,18950
2001-02-23,14100,13500,536340,7.34,7660,4130,-2990
2001-02-26,13500,12500,544130,6.8,-16730,40230,-9530
2001-02-27,12500,12200,366800,6.63,-54070,50730,-3010
2001-02-28,12000,12100,248570,6.58,-21590,21590,-8000
2001-03-02,11950,11900,338660,6.47,-79220,31210,0
2001-03-05,11550,11400,155290,6.2,-12660,12660,0
2001-03-06,11450,11600,219420,6.31,-6720,1690,3030
2001-03-07,11600,11600,131420,6.31,-15300,14500,0
2001-03-08,11750,12200,188020,6.63,-25900,22690,-170
2001-03-09,12200,12000,254450,6.52,10940,9530,-470
2001-03-12,11700,11250,102340,6.12,-19700,19700,0
2001-03-13,10800,11000,127690,5.98,-49910,30690,-780
2001-03-14,11300,11200,186910,6.09,-23260,30990,0
2001-03-15,10800,11150,148000,6.06,-58950,22020,-1800
2001-03-16,11250,11450,108560,6.23,-4800,0,-200
2001-03-19,11100,11300,65550,6.14,-13800,18800,0
2001-03-20,11350,11000,56720,5.98,12000,0,0
2001-03-21,11150,10900,61630,5.93,-10530,7560,-2030
2001-03-22,10800,10750,92760,5.84,-29900,19600,300
2001-03-23,10750,10800,77090,5.87,-20380,20480,-100
2001-03-26,10900,11150,66000,6.06,-18830,16060,2770
2001-03-27,11300,11000,57330,5.98,-22730,22730,0
2001-03-28,11100,10950,56630,5.95,-27240,27240,0
2001-03-29,10950,10950,26490,5.95,-10910,10910,0
2001-03-30,10800,10750,51250,5.84,-22190,22190,0
2001-04-02,10500,10200,70890,5.55,-3000,3000,0
2001-04-03,10050,10050,83370,5.46,-39210,31180,-1970
2001-04-04,9800,10200,91470,5.55,-35060,35060,0
2001-04-06,10700,10250,69000,5.57,17660,-17660,0
2001-04-09,10000,9900,33680,5.38,-3710,1780,1930
2001-04-10,10050,9720,27370,5.28,5950,-5950,0
2001-04-11,9990,9990,55810,5.43,4220,-4220,0
2001-04-12,10100,10000,57190,5.44,-18450,18450,0
2001-04-13,10100,9920,33090,5.39,-2340,2340,0
2001-04-16,9900,9850,42690,5.36,-930,930,0
2001-04-17,9710,9850,67350,5.36,-1100,11100,0
2001-04-18,9960,10200,85170,5.55,0,0,0
2001-04-19,10600,10950,299920,5.95,11720,57080,0
2001-04-20,10900,10650,78150,5.79,-17810,17810,0
2001-04-23,10400,10700,65690,5.82,-18570,12500,4070
2001-04-24,10600,10400,176000,5.65,45550,-76550,0
2001-04-25,10300,10700,81400,5.82,-20720,5720,0
2001-04-26,10700,10650,52620,5.79,-25870,6870,0
2001-04-27,10450,10300,46660,5.6,2530,-2530,0
2001-04-30,10400,10400,79990,5.65,-4870,4870,0
2001-05-02,10450,10300,85560,5.6,650,-290,-1350
2001-05-03,10500,10950,389180,5.95,64890,-31440,1350
2001-05-04,10950,11000,91200,5.98,500,-500,0
2001-05-07,11000,11200,139090,6.09,-11890,14890,-3000
2001-05-08,11000,11050,274710,6.01,63500,76500,0
2001-05-09,10900,11000,109130,5.98,-45430,45430,0
2001-05-10,10800,10750,65300,5.84,4410,-4410,0
2001-05-11,10700,10600,60440,5.76,-21990,21990,0
2001-05-14,10600,10800,184420,5.87,2840,92860,0
2001-05-15,10700,10800,83450,5.87,-20420,24720,0
2001-05-16,10850,10850,194730,5.9,-7760,13760,12000
2001-05-17,11050,11300,169600,6.14,-26970,56070,0
2001-05-18,11300,11150,105470,6.06,-10550,10550,0
2001-05-21,11400,11600,281330,6.31,36680,31430,0
2001-05-22,11950,11600,149710,6.31,-9930,44330,20090
2001-05-23,11800,11800,184510,6.42,-10600,1600,0
2001-05-24,11700,11950,238340,6.5,12700,58800,-77500
2001-05-25,12100,11900,201230,6.47,-69360,13310,0
2001-05-28,11950.0,11650.0,179230.0,6.33,-61950,65950,-4000
2001-05-29,11650.0,11850.0,178450.0,6.44,-81990,61990,-3000
2001-05-30,12500.0,13400.0,1698620.0,7.29,-319380,-3220,385600
2001-05-31,12900.0,13300.0,307640.0,7.23,-32480,31070,-2090
2001-06-01,13500.0,12650.0,158800.0,6.88,-12920,17930,0
2001-06-04,12750.0,12650.0,117620.0,6.88,-28020,30510,0
2001-06-05,12550.0,12300.0,127770.0,6.69,-79350,58850,20500
2001-06-07,11900.0,12300.0,64500.0,6.69,-25090,25090,0
2001-06-08,12150.0,12400.0,102910.0,6.74,-22780,22780,0
2001-06-11,12200.0,12500.0,104810.0,6.8,8020,-8020,0
2001-06-12,12500.0,13000.0,96780.0,7.07,-13840,15740,0
2001-06-13,13000.0,13000.0,166860.0,7.07,-54290,-5420,-5850
2001-06-14,13100.0,13000.0,121030.0,7.07,10590,17530,-28120
2001-06-15,12800.0,12800.0,66330.0,6.96,-24590,42240,-2650
2001-06-18,12600.0,12600.0,19940.0,6.85,-4120,4120,0
2001-06-19,12400.0,12400.0,67890.0,6.74,-6010,6010,0
2001-06-20,12400.0,11800.0,95270.0,6.42,-22610,21110,0
2001-06-21,11450.0,11150.0,283200.0,6.06,134620,-35880,-83740
2001-06-22,11400.0,12200.0,487220.0,6.63,-133830,-63390,200000
2001-06-25,12200.0,12200.0,171810.0,6.63,-36160,4910,6250
2001-06-26,12200.0,12500.0,288950.0,6.8,-32160,-27290,59450
2001-06-27,12300.0,12300.0,49520.0,6.69,-15650,15650,0
2001-06-28,12400.0,12500.0,117530.0,6.8,-130,130,0
2001-06-29,12500.0,12900.0,113180.0,7.01,-4330,-4190,8520
2001-07-02,12900.0,13200.0,196800.0,7.18,-40290,-39880,55660
2001-07-03,13400.0,13250.0,169460.0,7.2,6580,-36460,29880
2001-07-04,13250.0,13350.0,107080.0,7.26,-28780,-19220,48000
2001-07-05,13300.0,12700.0,42520.0,6.91,760,-1160,400
2001-07-06,12300.0,12400.0,88670.0,6.74,-3930,46290,-27250
2001-07-09,12100.0,12000.0,70090.0,6.52,-23880,52560,-28680
2001-07-10,11800.0,12200.0,36930.0,6.63,6840,9140,-15980
2001-07-11,11800.0,12000.0,25900.0,6.52,4640,7470,-7900
2001-07-12,12000.0,12200.0,85360.0,6.63,11210,17700,-28120
2001-07-13,12400.0,11900.0,23260.0,6.47,-7310,7310,0
2001-07-16,11900.0,11650.0,16180.0,6.33,-60,4810,-4750
2001-07-18,11750.0,11550.0,18750.0,6.28,7250,-1070,-6180
2001-07-19,11400.0,11700.0,52110.0,6.36,-12850,11040,1810
2001-07-20,11700.0,11200.0,22680.0,6.09,-1800,-8200,10000
2001-07-23,11000.0,11200.0,15510.0,6.09,-5740,5740,0
2001-07-24,11000.0,11100.0,17110.0,6.04,-7830,7830,0
2001-07-25,11150.0,10900.0,17060.0,5.93,-9850,9850,0
2001-07-26,11000.0,11200.0,31790.0,6.09,5130,-6130,0
2001-07-27,11050.0,11500.0,20760.0,6.25,-2160,2160,0
2001-07-30,11600.0,11500.0,25520.0,6.25,-2150,15150,-13000
2001-07-31,11250.0,11300.0,34140.0,6.14,450,-450,0
2001-08-01,11300.0,11500.0,48630.0,6.25,5200,-5200,0
2001-08-02,11300.0,11600.0,91710.0,6.31,20250,-3750,-20000
2001-08-03,11600.0,11650.0,96010.0,6.33,-3000,3000,0
2001-08-06,11550.0,11800.0,94270.0,6.42,-52560,45760,0
2001-08-07,11550.0,11900.0,8060.0,6.47,-4040,4040,0
2001-08-08,11900.0,11350.0,25450.0,6.17,9130,-2130,-7000
2001-08-09,11350.0,11550.0,37050.0,6.28,-4480,4480,0
2001-08-10,11300.0,11900.0,48410.0,6.47,-35760,35760,0
2001-08-13,11700.0,11400.0,34530.0,6.2,10910,-5290,0
2001-08-14,11600.0,11650.0,54570.0,6.33,-8010,8010,0
2001-08-16,11600.0,11500.0,22140.0,6.25,-10740,10740,0
2001-08-17,11350.0,11200.0,61670.0,6.09,17200,5060,-23460
2001-08-20,11300.0,10950.0,41600.0,5.95,2080,-5110,3030
2001-08-21,10850.0,10900.0,26340.0,5.93,3820,790,-5510
2001-08-22,10800.0,10900.0,16580.0,5.93,-6510,6380,-3070
2001-08-23,10900.0,10900.0,23700.0,5.93,-8770,13300,-4530
2001-08-24,10900.0,10900.0,19220.0,5.93,-3700,9100,-5400
2001-08-27,11000.0,11200.0,34710.0,6.09,16020,-3590,-12430
2001-08-28,11000.0,10900.0,26650.0,5.93,-5540,9540,-4000
2001-08-29,10850.0,10850.0,14360.0,5.9,-10180,10180,0
2001-08-30,10750.0,10500.0,65310.0,5.71,-9500,10600,-1100
2001-08-31,10400.0,10000.0,116370.0,5.44,10130,40760,-30000
2001-09-03,9950.0,10000.0,19130.0,5.44,-3750,8740,-4990
2001-09-04,10000.0,10050.0,15680.0,5.46,880,3020,-3900
2001-09-05,9820.0,9880.0,19030.0,5.37,-2600,7600,-5000
2001-09-06,9880.0,9870.0,62410.0,5.37,21830,-4330,-17500
2001-09-07,9800.0,9950.0,42730.0,5.41,-11870,19870,-11000
2001-09-10,9950.0,9890.0,11250.0,5.38,-300,0,-2700
2001-09-11,9890.0,9770.0,53280.0,5.31,33450,2050,-39500
2001-09-12,8310.0,8700.0,97430.0,4.73,-15350,32490,-21240
2001-09-13,8800.0,8570.0,84270.0,4.66,26540,-5800,-20740
2001-09-14,8310.0,7400.0,309060.0,4.02,50190,-14390,-37000
2001-09-17,7510.0,6760.0,135770.0,3.68,24050,-60950,-9620
2001-09-18,6850.0,7200.0,623690.0,3.91,225060,-225720,0
2001-09-19,7290.0,7500.0,208940.0,4.08,-26340,26340,0
2001-09-20,7360.0,7730.0,56740.0,4.2,-36250,36240,10
2001-09-21,7510.0,7850.0,59230.0,4.27,-32290,32290,0
2001-09-24,7950.0,8000.0,81190.0,4.35,5150,-25140,-10
2001-09-25,8290.0,8100.0,76320.0,4.4,-4470,-580,0
2001-09-26,8300.0,8400.0,72690.0,4.57,-20460,-30550,31010
2001-09-27,8380.0,8600.0,61930.0,4.68,-19410,11310,8100
2001-09-28,8510.0,8950.0,97390.0,4.87,-3640,3640,0
2001-10-04,9300.0,8810.0,122420.0,4.79,75650,-95640,-10
2001-10-05,8940.0,8690.0,57850.0,4.72,-2590,-17410,0
2001-10-08,8500.0,8380.0,20340.0,4.56,-1000,1000,0
2001-10-09,8390.0,8640.0,74920.0,4.7,1940,-12580,10
2001-10-10,8630.0,8600.0,56280.0,4.68,-9380,9380,0
2001-10-11,8680.0,8650.0,74490.0,4.7,21340,-21340,0
2001-10-12,8800.0,8650.0,37750.0,4.7,11530,-14010,0
2001-10-15,8600.0,8700.0,31260.0,4.73,-10540,-960,0
2001-10-16,8700.0,9100.0,193700.0,4.95,43580,-43580,0
2001-10-17,9200.0,9020.0,191910.0,4.9,29730,-29720,-10
2001-10-18,8960.0,9020.0,40360.0,4.9,-6510,6510,0
2001-10-19,9000.0,9020.0,33430.0,4.9,-790,790,0
2001-10-22,8910.0,9010.0,100070.0,4.9,33700,-60700,0
2001-10-23,9050.0,8900.0,88220.0,4.84,58050,-58070,20
2001-10-24,8960.0,8980.0,134150.0,4.88,10180,-40180,0
2001-10-25,9020.0,9000.0,51320.0,4.89,7230,-7230,0
2001-10-26,8990.0,9000.0,61760.0,4.89,-11680,11680,0
2001-10-29,9000.0,9000.0,45460.0,4.89,-15990,-4010,0
2001-10-30,9000.0,8810.0,28060.0,4.79,-16350,6350,0
2001-10-31,8810.0,8820.0,21390.0,4.8,-9490,-510,0
2001-11-01,8900.0,8810.0,37230.0,4.79,9170,-9170,0
2001-11-02,8830.0,8850.0,31400.0,4.81,-8290,8290,0
2001-11-05,8860.0,9000.0,44760.0,4.89,-1730,-12470,0
2001-11-06,9100.0,9230.0,55240.0,5.02,-30,-4070,0
2001-11-07,9230.0,9080.0,31810.0,4.94,-3890,-1110,0
