Symbol,빙그레_시가(원),빙그레_종가(원),빙그레_거래량(주),빙그레_PER(IFRS-연결),빙그레_순매수수량(개인)(주),빙그레_순매수수량(기관계)(주),빙그레_순매수수량(외국인계)(주)
2000-01-04,9300,9700,41030,5.02,-40,40,0
2000-01-05,9700,9400,63750,4.86,0,0,0
2000-01-06,9400,9340,61280,4.83,1300,-1300,0
2000-01-07,9340,9500,122100,4.92,-24990,-25900,42700
2000-01-10,10450,10450,159210,5.41,18460,-3610,-14850
2000-01-11,10600,10350,88280,5.36,-5280,-140,-4900
2000-01-12,10500,10700,253930,5.54,19060,-1560,-17500
2000-01-13,10950,11600,377080,6,-8550,5950,-5300
2000-01-14,11700,11600,353520,6,4130,-9000,-5030
2000-01-17,12000,11450,214150,5.92,44850,-39820,-5030
2000-01-18,11300,11200,128910,5.79,7920,-1830,-5690
2000-01-19,11000,10200,138160,5.28,4880,-4800,0
2000-01-20,9800,10800,127040,5.59,-720,510,210
2000-01-21,10200,10800,80860,5.59,-6600,7040,0
2000-01-24,10600,10900,66160,5.64,5610,570,-6180
2000-01-25,10700,10750,47480,5.56,620,-620,0
2000-01-26,11000,11100,87270,5.74,-1150,1150,0
2000-01-27,11400,11700,185670,6.05,-30,70,0
2000-01-28,11700,11600,136710,6,-8420,-1420,0
2000-01-31,11600,12100,172410,6.26,-12900,5230,5000
2000-02-01,12200,12400,134000,6.42,200,-150,-50
2000-02-02,12400,12950,238630,6.7,-6210,9110,-2900
2000-02-03,13500,13000,120730,6.73,1190,-1690,500
2000-02-07,13000,12800,101320,6.62,3150,-580,-2600
2000-02-08,12500,12600,82070,6.52,-270,270,0
2000-02-09,12700,12500,86450,6.47,5800,-15800,0
2000-02-10,12500,12150,108870,6.29,4220,-14220,0
2000-02-11,12400,11800,97680,6.11,150,-3130,-100
2000-02-14,12000,11200,95640,5.79,27540,-6090,-31450
2000-02-15,11200,10600,116400,5.48,40700,-12570,-28130
2000-02-16,10600,11150,88130,5.77,5310,-5520,0
2000-02-17,11200,11500,56630,5.95,-320,0,0
2000-02-18,11500,11500,65730,5.95,1300,-1440,0
2000-02-21,11500,11100,69930,5.74,-9390,-310,0
2000-02-22,11100,10850,73140,5.61,-9930,10,0
2000-02-23,12450,11800,137470,6.11,6160,-6150,0
2000-02-24,11050,11150,52820,5.77,60,-60,0
2000-02-25,11800,11800,105770,6.11,-420,410,0
2000-02-28,11800,12000,141460,6.21,-16020,1020,0
2000-02-29,12300,12600,220290,6.52,10830,-10830,0
2000-03-02,12600,12500,126030,6.47,-9210,-1340,0
2000-03-03,12800,12800,284960,6.62,91780,-91700,0
2000-03-06,12900,13600,408170,7.04,49550,-49550,0
2000-03-07,13800,13500,212810,6.98,18180,-18180,0
2000-03-08,13000,13000,210690,6.73,50090,-50090,0
2000-03-09,13400,13100,181190,6.78,41950,-33940,-7920
2000-03-10,13300,13900,362850,7.19,28730,-28730,0
2000-03-13,14100,14400,310720,7.45,51100,-51100,0
2000-03-14,14500,13800,200780,7.14,30820,-30820,0
2000-03-15,13600,13550,136910,7.01,8610,-8610,0
2000-03-16,13550,13300,71510,6.88,-1850,1690,0
2000-03-17,13300,13000,117000,6.73,18770,-18770,0
2000-03-20,12700,13250,109520,6.86,27920,-28920,1000
2000-03-21,13400,13100,89110,6.78,16060,-19140,0
2000-03-22,12900,13500,184010,6.98,51760,-49760,0
2000-03-23,13500,13100,91500,6.78,22990,-22830,0
2000-03-24,13100,13250,105620,6.86,10350,-9350,0
2000-03-27,13400,14050,254950,7.27,49610,-49610,0
2000-03-28,13950,14200,241120,7.35,3570,-2570,-1000
2000-03-29,14600,13800,144860,7.14,3170,-3170,0
2000-03-30,13600,13600,143850,7.04,-610,610,0
2000-03-31,13600,13750,95100,7.11,-1270,1270,0
2000-04-03,13600,14150,215770,7.32,6040,-6000,0
2000-04-04,14250,14000,302040,7.24,-1010,810,0
2000-04-06,13700,13400,155570,6.93,-220,220,0
2000-04-07,13000,13400,117060,6.93,-510,510,0
2000-04-10,13200,13600,122710,7.04,2670,-2630,0
2000-04-11,13500,13100,98720,6.78,-50,590,0
2000-04-12,13100,13200,67040,6.83,2070,-2170,100
2000-04-14,12700,12700,68330,6.57,2190,-2070,0
2000-04-17,11000,10800,154500,5.59,-4140,4240,-100
2000-04-18,11500,12000,131720,6.21,3800,-3790,0
2000-04-19,12000,11850,104710,6.13,2330,-2330,0
2000-04-20,12000,12100,64460,6.26,1400,-320,0
2000-04-21,12150,12300,65730,6.36,640,-640,0
2000-04-24,12300,12050,40000,6.23,1030,-1030,0
2000-04-25,11900,12000,59820,6.21,-700,700,0
2000-04-26,12000,11600,48730,6,-400,400,0
2000-04-27,11500,11100,72410,5.74,-1880,1880,0
2000-04-28,11000,11300,45740,5.85,700,-700,0
2000-05-02,11650,11450,61450,5.92,15350,-13030,-320
2000-05-03,11400,11400,34830,5.9,11340,-10840,-500
2000-05-04,11500,12700,221550,6.57,-48600,48760,-160
2000-05-08,13300,13650,182620,7.06,-85670,85920,-240
2000-05-09,13650,13700,104640,7.09,-27690,27990,-300
2000-05-10,13300,13300,69580,6.88,-14730,15030,-300
2000-05-12,13400,12750,78240,6.6,-1430,1740,-310
2000-05-15,12700,12050,87900,6.23,300,-120,-180
2000-05-16,12050,12500,89120,6.47,1750,-1570,-180
2000-05-17,12500,11850,83250,6.13,-9430,9900,-450
2000-05-18,11200,10350,197130,5.36,-200,170,30
2000-05-19,10000,10100,115930,5.23,-460,460,0
2000-05-22,10300,9600,113450,4.97,380,-270,-110
2000-05-23,9100,9000,114280,4.66,-6190,5640,300
2000-05-24,8510,9040,168440,4.68,1790,-1760,-30
2000-05-25,9650,10350,149690,5.36,3960,-3450,-270
2000-05-26,10600,10300,353410,5.33,70,-140,0
2000-05-29,10000,10700,204000,5.54,6510,1300,-7800
2000-05-30,11200,11000,175050,5.69,3320,-3060,-190
2000-05-31,11300,11600,171560,6,-7810,7810,0
2000-06-01,11300,11200,104330,5.79,-300,300,0
2000-06-02,11500,11300,141740,5.85,1900,-1720,-180
2000-06-05,12000,12950,332730,6.7,1400,-1470,0
2000-06-07,13500,12950,456480,6.7,87190,-87270,0
2000-06-08,12700,12000,258100,6.21,26750,-26720,0
2000-06-09,12200,12400,180680,6.42,32040,-31990,10
2000-06-12,12550,12200,144700,6.31,15110,-15080,-10
2000-06-13,12200,12100,201110,6.26,12790,-12790,0
2000-06-14,11800,11850,106310,6.13,480,-480,0
2000-06-15,11400,10600,123600,5.48,430,-430,0
2000-06-16,10400,10500,104630,5.43,-650,310,30
2000-06-19,10500,10600,106340,5.48,-270,580,0
2000-06-20,10600,10700,121540,5.54,700,-700,0
2000-06-21,10500,10800,230160,5.59,1190,-1170,-30
2000-06-22,10700,10900,126340,5.64,-190,190,0
2000-06-23,10700,10600,54590,5.48,30,-30,0
2000-06-26,10400,10600,77170,5.48,-2560,2520,40
2000-06-27,10650,10850,160810,5.61,-1210,1200,10
2000-06-28,11000,10650,129130,5.51,28420,-28440,20
2000-06-29,10700,10350,130060,5.36,32480,-32430,-50
2000-06-30,10500,10650,124110,5.51,-1670,1680,0
2000-07-03,11000,11500,242070,5.95,-1440,1430,0
2000-07-04,11950,11700,375870,6.05,-16130,-1120,17250
2000-07-05,11700,11300,188870,5.85,-1370,1370,0
2000-07-06,11500,12500,590760,6.47,-159820,-180,160000
2000-07-07,12800,12650,469600,6.55,-57650,3050,54060
2000-07-10,12500,12200,207230,6.31,120,-240,160
2000-07-11,12100,11800,203170,6.11,2570,-2550,-20
2000-07-12,12100,12100,141000,6.26,-2340,2300,20
2000-07-13,11900,11700,139990,6.05,43860,-43720,-140
2000-07-14,11500,11200,153540,5.79,49640,-49640,0
2000-07-18,11000,11100,114720,5.74,-1080,1080,0
2000-07-19,10800,10800,97360,5.59,-4350,3640,710
2000-07-20,10600,10550,82150,5.46,-3720,3130,600
2000-07-21,10700,10950,144400,5.67,-780,740,40
2000-07-24,10650,10300,117160,5.33,-22750,3430,19320
2000-07-25,10100,10500,106500,5.43,-21610,4100,17510
2000-07-26,10500,10800,110760,5.59,-63530,-2470,66000
2000-07-27,10850,10400,61070,5.38,-2420,2420,0
2000-07-28,10250,9970,81970,5.16,-6210,3690,2400
2000-07-31,9720,9800,91140,5.07,-11510,3580,7870
2000-08-01,9900,10350,121510,5.36,-33070,-4510,37560
2000-08-02,10350,10100,80720,5.23,-2070,1770,200
2000-08-03,10000,9910,89450,5.13,3610,-3760,50
2000-08-04,9720,9590,90180,4.96,1600,-1700,-20
2000-08-07,9390,9100,114730,4.71,-42080,-680,42700
2000-08-08,9100,8800,61810,4.55,540,-640,100
2000-08-09,9000,9050,94100,4.68,-2840,2120,720
2000-08-10,9190,9000,76310,4.66,-430,-1370,1800
2000-08-11,9200,9340,156950,4.83,2280,-2220,40
2000-08-14,9500,9400,123480,4.86,-1270,1050,220
2000-08-16,9410,9290,104920,4.81,-3760,2990,680
2000-08-17,9210,9150,94530,4.73,-21420,-1550,22970
2000-08-18,9290,9300,130420,4.81,-29210,-2080,31290
2000-08-21,9250,8920,64950,4.62,930,-880,-40
2000-08-22,8970,8950,75810,4.63,800,-2330,1630
2000-08-23,9000,8750,85240,4.53,5430,-7750,1320
2000-08-24,8650,8350,119140,4.32,2590,-1530,380
2000-08-25,8350,8290,96490,4.29,960,1600,-2590
2000-08-28,8300,8250,72920,4.27,-1400,1220,250
2000-08-29,8250,8710,188580,4.51,280,-280,0
2000-08-30,8700,8420,58820,4.36,2480,-2400,-80
2000-08-31,8480,8040,88910,4.16,4780,-4780,0
2000-09-01,8040,8130,55450,4.21,-1130,1130,0
2000-09-04,8180,8310,93950,4.3,2420,-2420,0
2000-09-05,8400,8250,70220,4.27,-3760,3760,0
2000-09-06,8120,8150,52790,4.22,-1070,800,270
2000-09-07,8100,7730,84260,4,3210,-3210,0
2000-09-08,7730,7700,65020,3.98,-19470,-2630,22100
2000-09-14,7640,8100,155260,4.19,-15680,-8010,23690
2000-09-15,7900,7710,107770,3.99,4290,-1670,-2620
2000-09-18,7650,7200,260090,3.73,-4350,4030,320
2000-09-19,7600,7260,92910,3.76,1520,-1500,-20
2000-09-20,7400,7500,130910,3.88,13390,-3450,-100
2000-09-21,7590,7200,134950,3.73,2240,-970,-1110
2000-09-22,7230,6800,108110,3.52,1380,-690,-690
2000-09-25,6900,7000,121170,3.62,32910,-32910,0
2000-09-26,7000,7000,192220,3.62,35370,-29530,0
2000-09-27,7110,7290,150510,3.77,-1370,1430,0
2000-09-28,7160,7020,164920,3.63,1310,-1310,0
2000-09-29,7000,6800,156330,3.52,1510,-1450,0
2000-10-02,6710,6600,120160,7.48,-390,-470,0
2000-10-04,6450,6640,94980,7.52,-1960,1960,0
2000-10-05,6670,6900,211250,7.82,-21760,-1130,23790
2000-10-06,7100,6840,239440,7.75,-1220,1220,0
2000-10-09,6860,6650,76640,7.53,2060,-2060,0
2000-10-10,6520,6600,77850,7.48,-550,550,0
2000-10-11,6600,6200,79290,7.02,-1650,1650,0
2000-10-12,6110,6100,87270,6.91,2440,-1640,-800
2000-10-13,6000,5600,135170,6.34,-2310,2310,0
2000-10-16,6000,6280,308470,7.11,2170,-2170,0
2000-10-17,6000,5530,102200,6.26,-2610,2610,0
2000-10-18,5550,5700,104740,6.46,-620,620,0
2000-10-19,5510,5600,73480,6.34,630,-630,0
2000-10-20,5700,5670,76150,6.42,-1960,1310,630
2000-10-23,5620,5400,65990,6.12,1870,-1850,0
2000-10-24,5400,5280,68460,5.98,-1320,1220,100
2000-10-25,5400,5320,81580,6.03,1950,-1950,0
2000-10-26,5290,5130,55670,5.81,-540,540,0
2000-10-27,5190,5080,60340,5.75,-3000,2170,600
2000-10-30,5000,4760,77190,5.39,1270,-1060,0
2000-10-31,4760,4585,143410,5.19,-2060,2060,0
2000-11-01,4710,5000,191520,5.66,710,-810,100
2000-11-02,5010,4970,112480,5.63,-450,450,0
2000-11-03,5000,5200,187040,5.89,-5700,5700,0
2000-11-06,5200,5160,90800,5.85,3200,-3200,0
2000-11-07,5050,5020,70660,5.69,2000,-2000,0
2000-11-08,4990,4850,66860,5.49,2080,-2080,0
2000-11-09,4850,4990,46360,5.65,1160,-530,-630
2000-11-10,5030,5730,394430,6.49,880,-770,-100
2000-11-13,6000,5520,733140,6.25,-7860,7190,0
2000-11-14,5620,5700,247900,6.46,8100,-8000,0
2000-11-15,5920,5630,303010,6.38,-5880,6250,0
2000-11-16,5680,5680,104750,6.43,-1910,1910,0
2000-11-17,5680,5560,107860,6.3,1810,-1950,0
2000-11-20,5350,5360,99900,6.07,7660,-7310,0
2000-11-21,5250,5500,112730,6.23,950,-450,-500
2000-11-22,5350,5400,74850,6.12,110,-110,0
2000-11-23,5350,5160,82620,5.85,-1480,1480,0
2000-11-24,5110,5130,77630,5.81,-1880,1880,0
2000-11-27,5140,5180,51210,5.87,-450,450,0
2000-11-28,5150,5290,122480,5.99,350,-350,0
2000-11-29,5350,5210,52550,5.9,2340,-2340,0
2000-11-30,5300,5180,72840,5.87,290,-200,-90
2000-12-01,5030,5050,73010,5.72,-2870,2840,30
2000-12-04,5190,4920,50780,5.57,190,-210,20
2000-12-05,4900,4860,50010,5.51,-2480,2480,0
2000-12-06,5300,4900,75230,5.55,5200,2340,-7540
2000-12-07,4850,4830,75220,5.47,43390,-1930,-41460
2000-12-08,4830,4930,74000,5.58,-1150,1150,0
2000-12-11,5080,5020,66700,5.69,-3500,3400,100
2000-12-12,4995,4990,44150,5.65,1790,-2840,1050
2000-12-13,5000,5000,55640,5.66,-6590,5140,1450
2000-12-14,5010,5300,132170,6,4620,-9450,4830
2000-12-15,5300,5260,108390,5.96,3460,-3160,-300
2000-12-18,5130,5610,252680,6.35,-2640,1990,650
2000-12-19,5630,5500,316740,6.23,720,-520,-200
2000-12-20,5550,5560,358060,6.3,-250,250,0
2000-12-21,5600,5440,197780,6.16,-2670,1730,-80
2000-12-22,5310,5090,124770,5.77,-2550,1950,0
2000-12-26,5100,5030,109950,5.7,-3520,3250,0
2001-01-02,4800,5200,69500,5.89,2590,-2320,0
2001-01-03,5150,5600,162540,6.34,5400,-3490,-560
2001-01-04,5790,5680,209080,6.43,-2450,2350,100
2001-01-05,5700,6000,479660,6.8,-3430,3760,-60
2001-01-08,6100,6500,398410,7.36,1490,-1490,0
2001-01-09,6600,6450,377180,7.31,-2950,2950,0
2001-01-10,6220,5800,248130,6.57,-1330,1330,0
2001-01-11,5910,6160,198230,6.98,8880,-9280,360
2001-01-12,6390,6160,174050,6.98,-3450,2450,1000
2001-01-15,6160,6140,158690,6.96,1530,-1530,0
2001-01-16,6190,6240,164690,7.07,1380,-1380,0
2001-01-17,6340,6500,240200,7.36,-230,230,0
2001-01-18,6450,6450,135200,7.31,-1580,1580,0
2001-01-19,6430,6480,95460,7.34,-2950,2950,0
2001-01-22,6600,6900,132940,7.82,420,-420,0
2001-01-26,7000,6700,167250,7.59,19240,-19200,0
2001-01-29,6880,7250,174350,8.21,15460,-15460,0
2001-01-30,7490,7260,146390,8.22,7010,-7010,0
2001-01-31,7250,7230,103690,8.19,-1660,1660,0
2001-02-01,7100,7160,54010,8.11,80,-180,100
2001-02-02,7110,7240,74530,8.2,540,-540,0
2001-02-05,7190,6910,109780,7.83,1820,-1820,0
2001-02-06,7010,6940,59080,7.86,-1000,1000,0
2001-02-07,6900,6910,63970,7.83,11660,-11660,0
2001-02-08,7000,7150,53800,8.1,-1900,1590,190
2001-02-09,7150,7140,48420,8.09,6520,-6550,0
2001-02-12,7050,7250,51740,8.21,-980,950,0
2001-02-13,7350,7350,55190,8.33,5280,-5310,30
2001-02-14,7350,7690,95650,8.71,23700,-24110,120
2001-02-15,8060,8240,342900,9.33,9570,-10370,0
2001-02-16,8240,8110,114850,9.19,1390,-1390,0
2001-02-19,7910,8400,118660,9.52,2240,-1670,-300
2001-02-20,8460,9000,186950,10.19,-160,1130,0
2001-02-21,8900,9050,184720,10.25,12800,-12930,10
2001-02-22,8900,8900,119030,10.08,-1500,1280,220
2001-02-23,8800,9000,64410,10.19,-2330,2090,180
2001-02-26,9000,9000,62750,10.19,-950,440,420
2001-02-27,9000,8700,87030,9.86,1010,-1030,-10
2001-02-28,8600,8500,98690,9.63,-1800,1800,0
2001-03-02,8500,7750,146000,8.78,-600,880,50
2001-03-05,7160,7700,111600,8.72,-9290,8820,20
2001-03-06,7980,7950,106830,9.01,13330,-13030,0
2001-03-07,8000,7980,42660,9.04,3580,-3450,-10
2001-03-08,8050,8080,49180,9.15,3690,-850,-2840
2001-03-09,8080,8140,45210,9.22,4730,-2650,-2050
2001-03-12,8000,7830,73650,8.87,4540,-1770,-2770
2001-03-13,7100,7340,89630,8.31,-560,560,0
2001-03-14,7750,7700,73250,8.72,21970,-21970,0
2001-03-15,7300,7580,69670,8.59,-1750,1750,0
2001-03-16,7460,7500,48440,8.5,1260,-1260,0
2001-03-19,7410,7480,50530,8.47,-2460,2460,0
2001-03-20,7600,7650,54200,8.67,-1740,1660,0
2001-03-21,7510,8130,156430,9.21,6650,-7020,120
2001-03-22,7970,8130,120000,9.21,2370,-2370,0
2001-03-23,8200,8130,46090,9.21,-3370,3290,0
2001-03-26,8280,8500,135360,9.63,150,-110,-40
2001-03-27,8500,8280,82900,9.38,110,310,-420
2001-03-28,8500,8060,56400,9.13,-2120,2080,0
2001-03-29,8000,8150,52810,9.23,-1870,1990,0
2001-03-30,7870,8110,77520,9.19,-1850,930,0
2001-04-02,8150,8120,40580,9.2,-180,180,0
2001-04-03,7980,7870,54630,8.91,-4340,3920,0
2001-04-04,7800,7830,45770,8.87,-3310,3250,0
2001-04-06,8200,7930,56360,8.98,5580,-5220,-80
2001-04-09,8020,8100,76930,9.18,820,-540,0
2001-04-10,8350,8500,397120,9.63,-2650,650,2000
2001-04-11,8510,8530,266180,9.66,5760,-3510,-2000
2001-04-12,8610,8550,132190,9.69,4850,-3730,-150
2001-04-13,8420,8500,93160,9.63,-180,180,0
2001-04-16,8560,9100,351040,10.31,-800,600,0
2001-04-17,9200,9180,191810,10.4,2970,-2470,0
2001-04-18,9100,9220,180990,10.44,-310,-380,0
2001-04-19,9200,9500,270170,10.76,6980,-6940,0
2001-04-20,9700,9450,143160,10.7,-7440,6670,0
2001-04-23,9360,9200,171620,10.42,-4610,3410,570
2001-04-24,9010,9100,122860,10.31,-1630,2200,-570
2001-04-25,9190,9210,105190,10.43,-7700,5300,0
2001-04-26,9370,9100,86740,10.31,3920,-3360,0
2001-04-27,9090,9150,60220,10.36,-1800,2360,0
2001-04-30,9100,9300,88900,10.53,-1640,1080,0
2001-05-02,9500,9300,103440,10.53,9040,-7270,0
2001-05-03,9300,9180,65730,10.4,780,-4940,5000
2001-05-04,9150,9220,60410,10.44,-7240,7150,0
2001-05-07,9130,9330,87890,10.57,-34570,33930,0
2001-05-08,9340,9800,285890,11.1,-31710,38440,-5000
2001-05-09,9830,9780,104990,11.08,-2680,3370,0
2001-05-10,9800,10250,286020,11.61,-4450,-4840,0
2001-05-11,10300,10900,469010,12.35,7260,-30160,20000
2001-05-14,11100,11100,276360,12.57,-7750,11730,0
2001-05-15,10800,10900,127390,12.35,-32710,2650,0
2001-05-16,10950,10250,240900,11.61,16070,37900,-54000
2001-05-17,10500,10350,315770,11.72,33480,52110,-85590
2001-05-18,10350,10500,227240,11.89,-46020,45830,0
2001-05-21,10450,10700,150750,12.12,-31170,30960,0
2001-05-22,10700,10450,115590,11.84,-600,320,0
2001-05-23,10550,10650,109440,12.06,-27850,26610,0
2001-05-24,10650,10650,94760,12.06,-24160,22990,0
2001-05-25,10800,10750,95740,12.18,-14340,13090,0
2001-05-28,10700.0,10900.0,128650.0,12.35,-1990,1250,0
2001-05-29,10800.0,10750.0,79260.0,12.18,-7730,4830,0
2001-05-30,10900.0,10600.0,74770.0,12.01,5650,-4540,180
2001-05-31,10300.0,10450.0,82670.0,11.84,-3280,1930,970
2001-06-01,10550.0,10500.0,82280.0,11.89,1540,-1510,60
2001-06-04,10500.0,10250.0,80820.0,11.61,760,-230,340
2001-06-05,10150.0,9580.0,268460.0,10.85,53780,-2830,-52740
2001-06-07,9600.0,9970.0,181300.0,11.29,930,350,140
2001-06-08,9970.0,9940.0,122810.0,11.26,-3920,2580,-30
2001-06-11,9940.0,9950.0,215920.0,11.27,32930,-10480,-20000
2001-06-12,9950.0,9850.0,109860.0,11.16,-12920,13210,0
2001-06-13,9890.0,9660.0,135310.0,10.94,3080,-2930,0
2001-06-14,9670.0,9710.0,127230.0,11.0,20410,-18810,1610
2001-06-15,9660.0,9860.0,225160.0,11.17,-12750,14370,-630
2001-06-18,9860.0,9680.0,95240.0,10.97,3940,-3450,0
2001-06-19,9650.0,9760.0,99730.0,11.06,-12820,9820,-330
2001-06-20,9650.0,9260.0,116940.0,10.49,-850,850,0
2001-06-21,9350.0,8900.0,138020.0,10.08,-4790,4220,-20
2001-06-22,8800.0,8780.0,104030.0,9.95,-1340,700,50
2001-06-25,8710.0,8540.0,124310.0,9.67,-680,260,-100
2001-06-26,8500.0,8240.0,112120.0,9.33,-1530,1780,-40
2001-06-27,8250.0,8030.0,97870.0,9.1,-6060,3540,610
2001-06-28,8050.0,8100.0,87910.0,9.18,390,-200,60
2001-06-29,8150.0,8650.0,78040.0,9.8,110,-1150,600
2001-07-02,8740.0,8810.0,100380.0,9.98,7190,-6200,0
2001-07-03,8800.0,8680.0,67530.0,9.83,230,-120,0
2001-07-04,8700.0,8580.0,63090.0,9.72,-1480,1560,0
2001-07-05,8400.0,8380.0,64700.0,9.49,40,-380,0
2001-07-06,8150.0,8170.0,84330.0,9.25,2730,-2470,20
2001-07-09,8100.0,7800.0,88780.0,8.84,-2510,2120,-20
2001-07-10,7800.0,7690.0,96200.0,8.71,31580,-31580,0
2001-07-11,7300.0,7160.0,165240.0,8.11,49260,-49260,0
2001-07-12,7210.0,7350.0,152240.0,8.33,30470,-27810,-1270
2001-07-13,7500.0,7100.0,111250.0,8.04,6180,-6030,0
2001-07-16,7100.0,7070.0,73150.0,8.01,120,160,0
2001-07-18,7190.0,6910.0,90660.0,7.83,20920,-19350,0
2001-07-19,6860.0,6700.0,129150.0,7.59,35280,-35450,0
2001-07-20,6620.0,6530.0,84490.0,7.4,4080,-3650,0
2001-07-23,6500.0,6730.0,105840.0,7.62,-1620,1080,540
2001-07-24,6680.0,7020.0,261790.0,7.95,11210,2080,440
2001-07-25,6990.0,6900.0,104260.0,7.82,2900,-1620,0
2001-07-26,7000.0,6900.0,124440.0,7.82,29800,-29570,0
2001-07-27,7000.0,7070.0,210840.0,8.01,46850,-51710,0
2001-07-30,7070.0,6930.0,125240.0,7.85,2070,-1870,0
2001-07-31,6880.0,6930.0,71730.0,7.85,-100,100,0
2001-08-01,7090.0,7020.0,186170.0,7.95,69900,-69160,0
2001-08-02,7180.0,7670.0,452400.0,8.69,3950,-370,0
2001-08-03,7700.0,7800.0,323450.0,8.84,5520,-2420,-320
2001-08-06,7850.0,7580.0,159310.0,8.59,-5620,620,0
2001-08-07,7450.0,7370.0,188270.0,8.35,-310,140,0
2001-08-08,7370.0,7300.0,122830.0,8.27,350,-350,0
2001-08-09,7200.0,7100.0,110460.0,8.04,1870,-1190,0
2001-08-10,7100.0,7190.0,89460.0,8.14,-210,40,0
2001-08-13,7150.0,7040.0,88680.0,7.97,650,-650,0
2001-08-14,7050.0,7050.0,117120.0,7.99,-860,860,0
2001-08-16,7010.0,6980.0,108830.0,7.91,790,-790,0
2001-08-17,6980.0,7050.0,130220.0,7.99,-120,-380,0
2001-08-20,7040.0,6750.0,87100.0,7.65,160,-160,0
2001-08-21,6850.0,6870.0,128710.0,7.78,-500,500,0
2001-08-22,6830.0,6830.0,100710.0,7.74,-650,620,0
2001-08-23,6990.0,6800.0,96590.0,7.7,160,-160,0
2001-08-24,6890.0,6690.0,100290.0,7.58,-570,540,0
2001-08-27,6750.0,6800.0,73620.0,7.7,-16580,11540,0
2001-08-28,6750.0,6750.0,71250.0,7.65,-9150,9180,0
2001-08-29,6660.0,6750.0,106950.0,7.65,-20160,20160,0
2001-08-30,6660.0,6950.0,123410.0,7.87,-10810,10810,0
2001-08-31,6800.0,6800.0,92790.0,7.7,-31090,31090,0
2001-09-03,6830.0,7160.0,224960.0,8.11,-16330,13330,0
2001-09-04,7310.0,7230.0,622370.0,8.19,13170,-10200,10
2001-09-05,7470.0,7390.0,270590.0,8.37,-17290,17740,-450
2001-09-06,7390.0,7350.0,172010.0,8.33,-26700,27200,0
2001-09-07,7400.0,7280.0,205830.0,8.25,-5760,6640,-880
2001-09-10,7310.0,7300.0,175580.0,8.27,-1320,1340,-20
2001-09-11,7380.0,7560.0,354100.0,8.56,-6060,6060,0
2001-09-12,6430.0,6430.0,407210.0,7.28,-73620,62640,240
2001-09-13,6650.0,6920.0,380310.0,7.84,920,190,-1050
2001-09-14,6800.0,6570.0,327870.0,7.44,-108810,78070,-200
2001-09-17,6410.0,6100.0,216520.0,6.91,-30920,30910,0
2001-09-18,6300.0,6400.0,193050.0,7.25,14450,-14450,0
2001-09-19,6400.0,6490.0,105160.0,7.35,3300,-3280,0
2001-09-20,6410.0,6410.0,75400.0,7.26,1000,-910,-50
2001-09-21,6350.0,6400.0,119930.0,7.25,340,-340,0
2001-09-24,6600.0,7000.0,284090.0,7.93,4670,350,1000
2001-09-25,7390.0,7000.0,336030.0,7.93,45430,-62430,2000
2001-09-26,7100.0,7090.0,326720.0,8.03,79210,-40180,-2500
2001-09-27,6200.0,6300.0,260730.0,7.14,510,-530,0
2001-09-28,6350.0,6350.0,158350.0,7.19,-27940,-110,28000
2001-10-04,6400.0,6340.0,209750.0,6.17,720,-220,-500
2001-10-05,6390.0,6230.0,114750.0,6.06,270,-270,0
2001-10-08,6100.0,5850.0,198760.0,5.69,-10100,80,0
2001-10-09,5900.0,5960.0,132570.0,5.8,19040,-19040,0
2001-10-10,5810.0,5870.0,77400.0,5.71,-130,130,0
2001-10-11,5930.0,5960.0,136940.0,5.8,-2290,2290,0
2001-10-12,6100.0,5940.0,99720.0,5.78,1710,-1960,0
2001-10-15,5940.0,6120.0,185240.0,5.96,340,-340,0
2001-10-16,6150.0,6150.0,120350.0,5.99,-380,380,0
2001-10-17,6290.0,6230.0,104720.0,6.06,1240,-1340,0
2001-10-18,6170.0,6330.0,91920.0,6.16,0,0,0
2001-10-19,6400.0,6410.0,106980.0,6.24,50,300,0
2001-10-22,6460.0,6450.0,133620.0,6.28,250,-250,0
2001-10-23,6480.0,6400.0,117010.0,6.23,-640,640,0
2001-10-24,6390.0,6400.0,86970.0,6.23,3700,-3700,0
2001-10-25,6320.0,6290.0,85270.0,6.12,110,-110,0
2001-10-26,6290.0,6330.0,49520.0,6.16,290,-290,0
2001-10-29,6390.0,6240.0,42070.0,6.07,150,-160,10
2001-10-30,6220.0,6090.0,53410.0,5.93,-2020,20,0
2001-10-31,6010.0,6190.0,45410.0,6.02,-810,410,0
2001-11-01,6200.0,6350.0,41930.0,6.18,260,-260,0
2001-11-02,6370.0,6350.0,72890.0,6.18,-650,650,0
2001-11-05,6350.0,6450.0,38760.0,6.28,-1080,1080,0
2001-11-06,6520.0,6500.0,90320.0,6.33,-3670,3860,0
2001-11-07,6600.0,6590.0,117910.0,6.41,1900,-1890,-10
2001-11-08,6580.0,7000.0,212600.0,6.81,-98100,1100,92820
2001-11-09,7300.0,7060.0,213500.0,6.87,-28660,-52320,70000
2001-11-12,7060.0,7060.0,141130.0,6.87,12610,-18110,0
2001-11-13,7050.0,7150.0,100310.0,6.96,14990,-27240,12000
2001-11-14,7200.0,7280.0,103640.0,7.09,18380,-18380,0
2001-11-15,7310.0,7400.0,119350.0,7.2,7430,-29840,0
