Symbol,한솔테크닉스_시가(원),한솔테크닉스_종가(원),한솔테크닉스_거래량(주),한솔테크닉스_PER(IFRS-연결),한솔테크닉스_순매수수량(개인)(주),한솔테크닉스_순매수수량(기관계)(주),한솔테크닉스_순매수수량(외국인계)(주)
2000-01-04,3600,4275,1162580,,-41320,-1210,1000
2000-01-05,4000,4180,1005960,,-57150,-2200,350
2000-01-06,4290,3960,998760,,-61190,-4980,4680
2000-01-07,3965,3930,901870,,-40970,9770,2400
2000-01-10,4000,4000,1348310,,-10920,2910,-390
2000-01-11,4000,4060,2464650,,-51400,-2400,540
2000-01-12,4020,3900,1029690,,17570,-12500,-70
2000-01-13,3930,4010,2678280,,22910,-35150,11140
2000-01-14,4110,3910,1267130,,140,-5290,1800
2000-01-17,3950,4010,1271240,,-5820,1410,4410
2000-01-18,4020,4000,1144500,,10900,-11330,430
2000-01-19,3990,4100,7998220,,20650,-26190,-6740
2000-01-20,4095,3880,2776120,,-23830,7220,1610
2000-01-21,3880,3800,2432270,,20500,-13700,-4600
2000-01-24,3750,3760,1844430,,-203890,6870,1420
2000-01-25,3705,3630,1221910,,-3620,-6380,0
2000-01-26,3580,3630,1020330,,-5510,7500,0
2000-01-27,3700,3800,1371600,,-13710,3520,380
2000-01-28,3830,3835,1478200,,9240,-6550,-1930
2000-01-31,3820,3815,1002050,,11100,-11100,0
2000-02-01,3890,3945,7915270,,48790,-3420,-370
2000-02-02,4090,4020,2776820,,-38910,34910,0
2000-02-03,4120,4050,2348780,,3550,1140,410
2000-02-07,4000,4200,2677800,,81610,-13490,-200
2000-02-08,4200,4270,2082840,,44650,-14650,0
2000-02-09,4270,4040,6857970,,42950,5580,0
2000-02-10,3950,3750,1928620,,39010,-39350,0
2000-02-11,3715,3720,1487960,,-25740,5060,320
2000-02-14,3730,3515,1315040,,-28020,21170,6050
2000-02-15,3525,3570,990970,,-5690,22620,3430
2000-02-16,3580,3690,2569550,,-3060,4960,-740
2000-02-17,3615,3645,1320570,,-9110,3560,3550
2000-02-18,3615,3960,3076490,,22200,-18070,-730
2000-02-21,3860,3800,4488430,,13060,-1180,-1880
2000-02-22,3705,3645,3866110,,-17950,4960,70
2000-02-23,3730,4190,3872590,,114220,-8970,-2120
2000-02-24,4210,3895,4169900,,-46780,41290,-510
2000-02-25,3820,3680,2808230,,27300,-27230,-130
2000-02-28,3620,3650,3158100,,-26270,25620,910
2000-02-29,3700,3690,1858250,,-9520,14320,-830
2000-03-02,3650,3995,6450810,,62250,-59220,-3020
2000-03-03,4045,3850,5230560,,7470,-6310,-930
2000-03-06,3980,3970,3420460,,-4410,-3580,-2420
2000-03-07,3900,3870,1726910,,-2710,-2190,4620
2000-03-08,3850,3950,1878710,,1970,-1520,-360
2000-03-09,3900,3910,2246030,,124360,-47910,-75200
2000-03-10,4000,4000,4574930,,3290,5940,720
2000-03-13,4250,4450,7473500,,-120390,137080,-16040
2000-03-14,4395,4125,2724860,,-4970,3550,-600
2000-03-15,4040,4045,2728990,,-5590,230,-2700
2000-03-16,4040,3940,1957700,,-14700,11590,3680
2000-03-17,3960,3970,1849980,,-10590,3810,6330
2000-03-20,3850,3800,2479810,,3750,-10530,3570
2000-03-21,3800,3650,1706940,,-13510,10300,1800
2000-03-22,3660,3780,3157280,,-1880,1340,360
2000-03-23,3710,3640,1882160,,19240,-15620,-2760
2000-03-24,3650,3620,3339430,,29980,6160,-9000
2000-03-27,3630,3610,1676640,,4160,-1760,0
2000-03-28,3610,3595,2373590,,-15930,12960,2760
2000-03-29,3580,3640,2694550,,15320,-11020,0
2000-03-30,3620,3520,1574010,,28750,-23480,0
2000-03-31,3350,3360,1057890,,-6220,7130,0
2000-04-03,3255,3030,1501800,,-6790,7000,0
2000-04-04,2850,2810,1212090,,-40160,34210,0
2000-04-06,2800,2805,1957970,,1680,-1680,0
2000-04-07,2745,2860,1395560,,240,-220,0
2000-04-10,2815,2910,1311460,,29920,-26990,-2070
2000-04-11,2890,2710,1001650,,-2390,2480,-90
2000-04-12,2770,2705,1487200,,22100,-20380,-1780
2000-04-14,2605,2440,2529510,,14690,-14860,450
2000-04-17,2100,2075,2429290,,-46880,31450,5430
2000-04-18,2175,2100,2002630,,-20500,20710,-200
2000-04-19,2120,2230,3162600,,19530,-17680,-1840
2000-04-20,2220,2270,1419570,,-35210,35210,0
2000-04-21,2380,2550,3411980,,-45440,36700,-1200
2000-04-24,2550,2350,1297950,,2580,-2370,0
2000-04-25,2310,2300,784600,,-7910,7910,0
2000-04-26,2400,2170,981200,,-2170,1450,420
2000-04-27,2100,2070,873930,,-13210,16830,1380
2000-04-28,2090,2115,693120,,6270,-4140,170
2000-05-02,2120,2155,650980,,25530,-23430,-2100
2000-05-03,2145,2110,675060,,10380,-5460,-4920
2000-05-04,2110,2110,622800,,2710,-1300,-1410
2000-05-08,2130,2085,931170,,43750,-39850,-1350
2000-05-09,2105,2185,1687290,,1050,30,-1080
2000-05-10,2280,2170,707670,,1500,12540,-13800
2000-05-12,2150,2160,1423340,,6510,-3080,-3370
2000-05-15,2110,2235,2946410,,-4050,-610,-140
2000-05-16,2370,2180,1829420,,-9680,14770,-940
2000-05-17,2200,1880,1381720,,18810,-16010,-1850
2000-05-18,1880,1670,1097020,,-12780,2540,240
2000-05-19,1550,1650,1013830,,-2710,1910,800
2000-05-22,1560,1405,1123830,,820,20,-690
2000-05-23,1305,1330,1351430,,-31690,23920,7690
2000-05-24,1350,1410,1637810,,30520,-30200,-240
2000-05-25,1460,1620,1765810,,19740,-13920,-820
2000-05-26,1580,1390,1678020,,2190,-1190,0
2000-05-29,1330,1500,1067930,,-7020,5980,1040
2000-05-30,1580,1605,1012650,,13450,-12230,-1220
2000-05-31,1695,1730,1294660,,17660,-11190,-6470
2000-06-01,1730,1620,1183180,,940,60,-1000
2000-06-02,1700,1645,1170560,,1990,-610,-1380
2000-06-05,1690,1860,2138720,,-45770,-4240,0
2000-06-07,1870,2135,2613940,,1990,3760,-750
2000-06-08,2140,2185,3441770,,-16490,-3500,-1000
2000-06-09,2245,2070,1913010,,-2700,2460,80
2000-06-12,2170,2170,2495560,,2910,-2670,-80
2000-06-13,2075,1960,1342960,,-2950,2550,0
2000-06-14,1980,1870,1024780,,1140,-3140,0
2000-06-15,1880,1850,2780920,,-9040,-1460,500
2000-06-16,2010,1875,1363290,,-180,1330,-260
2000-06-19,1880,1810,972470,,-7200,7180,20
2000-06-20,1810,1800,1030070,,-300,-2770,1980
2000-06-21,1800,1800,1785060,,-34130,-5520,-2240
2000-06-22,1840,1770,1133000,,-1450,1450,0
2000-06-23,1750,1725,772290,,140,110,0
2000-06-26,1715,1730,622140,,-10450,10430,20
2000-06-27,1760,1770,980270,,-6990,5990,1000
2000-06-28,1800,1755,1002040,,64680,5080,240
2000-06-29,1795,1720,1090780,,9460,-9060,-400
2000-06-30,1730,1735,644000,,-6570,6570,0
2000-07-03,1760,1890,2301020,,-5480,6570,0
2000-07-04,1960,2170,5233650,,2340,-1340,-1000
2000-07-05,2200,2090,6049750,,-5340,5140,0
2000-07-06,2150,2300,8707040,,-9370,120,0
2000-07-07,2300,2270,4061050,,-15230,10900,480
2000-07-10,2350,2390,4115540,,-2070,1420,480
2000-07-11,2390,2220,3019890,,52510,10430,340
2000-07-12,2230,2145,1853360,,-4910,8850,160
2000-07-13,2150,2110,1530590,,17250,-16880,-370
2000-07-14,2170,2140,1976800,,2200,-1450,-750
2000-07-18,2100,2010,1218560,,-3990,4040,0
2000-07-19,1930,1890,1063050,,-13620,13620,0
2000-07-20,1830,1820,1065480,,860,-1950,1090
2000-07-21,1920,1920,1033230,,-20470,470,0
2000-07-24,1870,1900,2488160,,-19180,12420,7760
2000-07-25,1920,1880,950150,,-33450,17380,13070
2000-07-26,1890,1890,929650,,5040,-9210,0
2000-07-27,1890,1865,1417380,,-11030,9310,0
2000-07-28,1870,1800,1164220,,-40240,14320,24340
2000-07-31,1755,1770,647540,,-31630,13230,18200
2000-08-01,1800,1825,1131050,,17520,-16330,0
2000-08-02,1785,1825,1120920,,1550,6230,420
2000-08-03,1830,1825,955880,,14160,-14160,0
2000-08-04,1850,1795,653170,,6480,-6480,0
2000-08-07,1770,1720,664330,,3300,-3300,0
2000-08-08,1720,1695,626700,,-6220,-400,6620
2000-08-09,1705,1755,940790,,-3060,7090,-4030
2000-08-10,1730,1760,497930,,5260,-13020,7760
2000-08-11,1765,1800,1043180,,6610,-8960,0
2000-08-14,1820,1890,1083570,,-3510,2810,500
2000-08-16,1950,2035,3174690,,-6310,12130,2180
2000-08-17,2030,1925,1409080,,5000,-6210,0
2000-08-18,1900,1920,959690,,8250,-8250,0
2000-08-21,1880,1835,660560,,3430,-3430,0
2000-08-22,1815,1865,867070,,-14290,12490,1290
2000-08-23,1860,1795,619450,,11920,-13140,420
2000-08-24,1800,1780,603970,,-2380,620,1680
2000-08-25,1800,1810,655480,,-5070,6220,0
2000-08-28,1780,1820,515870,,-9070,4350,4720
2000-08-29,1830,1800,461980,,-2520,-1360,3880
2000-08-30,1815,1810,396150,,9360,-9360,0
2000-08-31,1820,1750,630570,,24000,-16250,-7750
2000-09-01,1790,1800,1303470,,-9100,3320,3880
2000-09-04,1790,1775,432090,,9380,-9380,0
2000-09-05,1780,1825,2668520,,-8180,11090,16290
2000-09-06,1825,1785,677480,,-17060,3830,11730
2000-09-07,1780,1700,619110,,17250,-9600,0
2000-09-08,1680,1695,545100,,12890,-10770,-2120
2000-09-14,1680,1750,1793650,,114290,-25040,-89770
2000-09-15,1730,1700,863210,,17950,-6320,-11110
2000-09-18,1650,1450,1397300,,-17010,14530,1230
2000-09-19,1410,1445,1037660,,6020,-5930,-90
2000-09-20,1480,1500,833070,,13480,-10990,-2490
2000-09-21,1500,1435,800680,,11210,-3400,-7810
2000-09-22,1450,1365,627410,,2920,-1970,-2950
2000-09-25,1400,1440,913170,,-2160,2160,0
2000-09-26,1410,1460,829840,,2310,-2310,0
2000-09-27,1465,1500,1118330,,-20500,38500,0
2000-09-28,1570,1500,805060,,6960,-4960,0
2000-09-29,1545,1500,726490,,4750,-4770,20
2000-10-02,1490,1470,520540,,350,-1350,0
2000-10-04,1500,1525,1747300,,-80500,70500,0
2000-10-05,1530,1520,989780,,4840,-5340,0
2000-10-06,1475,1460,1029680,,6360,5640,0
2000-10-09,1435,1430,1106490,,43180,-38860,-5000
2000-10-10,1430,1405,523000,,13480,-13480,0
2000-10-11,1390,1340,708840,,-10510,6630,3880
2000-10-12,1370,1540,2831200,,51280,-47500,-3780
2000-10-13,1580,1470,4286330,,-9420,9400,0
2000-10-16,1590,1480,2432390,,8190,-8690,0
2000-10-17,1450,1360,1633730,,-8750,9150,0
2000-10-18,1330,1360,900510,,-1490,1490,0
2000-10-19,1340,1330,853950,,2650,-2620,-30
2000-10-20,1360,1365,1237000,,-7170,4130,2940
2000-10-23,1370,1320,651730,,6900,-6800,0
2000-10-24,1325,1310,648060,,-5000,5000,0
2000-10-25,1310,1350,604240,,7550,-7550,0
2000-10-26,1370,1340,1648170,,-12600,12590,0
2000-10-27,1350,1330,817110,,20,-1800,840
2000-10-30,1305,1250,592090,,5320,-4580,0
2000-10-31,1210,1185,764970,,-8180,7950,0
2000-11-01,1180,1210,1477650,,-6090,-2590,3880
2000-11-02,1175,1270,1493900,,-320,1240,3880
2000-11-03,1320,1275,1130580,,-3510,4010,0
2000-11-06,1300,1285,1583360,,289760,-292670,250
2000-11-07,1300,1270,3401160,,554570,-548590,-3880
2000-11-08,1265,1195,1333650,,313100,-305270,0
2000-11-09,1205,1200,714900,,4180,-5280,1720
2000-11-10,1210,1205,565730,,-7360,5350,0
2000-11-13,1170,1155,608510,,13260,-11150,0
2000-11-14,1160,1180,537880,,920,-920,0
2000-11-15,1220,1200,1162190,,-15330,15830,0
2000-11-16,1240,1205,1148150,,9840,-10340,0
2000-11-17,1220,1230,979760,,12260,-7880,-3880
2000-11-20,1215,1195,650570,,-2360,1760,600
2000-11-21,1195,1175,707350,,3070,-3070,0
2000-11-22,1160,1165,740610,,280,-280,0
2000-11-23,1165,1150,914510,,-5560,3060,2500
2000-11-24,1150,1160,648420,,-9070,4950,3880
2000-11-27,1170,1190,640450,,-8000,4200,3800
2000-11-28,1180,1155,449020,,3070,-3070,0
2000-11-29,1170,1125,563810,,4420,-4130,-50
2000-11-30,1115,1110,666880,,600,-600,0
2000-12-01,1070,1090,401740,,-8360,8190,170
2000-12-04,1090,1080,498250,,1200,-1200,0
2000-12-05,1060,1055,857460,,-8200,8100,100
2000-12-06,1070,1035,910660,,-7660,7410,0
2000-12-07,1020,1015,974770,,11230,-7680,-3300
2000-12-08,1020,1010,558930,,-6010,6010,0
2000-12-11,1015,1025,932040,,-11610,11610,0
2000-12-12,1030,1010,497280,,15610,-7960,4350
2000-12-13,1020,1015,617760,,-21660,15340,6070
2000-12-14,1020,1065,1631570,,11470,-32160,20940
2000-12-15,1120,1065,1998530,,11100,-9900,-1200
2000-12-18,1090,1065,896470,,-8820,6190,2630
2000-12-19,1060,1010,847470,,1300,-880,-420
2000-12-20,990,910,779920,,-1470,1050,420
2000-12-21,880,880,714360,,118190,3110,-240
2000-12-22,880,875,825760,,-7860,6440,0
2000-12-26,890,895,1235660,,-9780,9070,0
2001-01-02,905,975,604540,162.53,5890,-5890,0
2001-01-03,970,1120,3429830,186.72,16010,-9960,-2500
2001-01-04,1210,1285,3461860,214.22,-12780,7480,5300
2001-01-05,1295,1290,3915920,215.04,-5080,1660,-850
2001-01-08,1280,1290,2310850,215.04,-10490,3790,6700
2001-01-09,1310,1360,4489360,226.72,-28670,4460,24210
2001-01-10,1365,1230,2720720,205.05,-15850,3580,8270
2001-01-11,1230,1250,1404890,208.39,46860,-22040,-45820
2001-01-12,1300,1250,1658360,208.39,-450,5590,-140
2001-01-15,1230,1290,3442260,215.04,-8240,-2060,0
2001-01-16,1330,1260,1358160,210.05,-1240,-3830,0
2001-01-17,1250,1180,1164900,196.71,-2010,2010,0
2001-01-18,1195,1190,762230,198.39,-5090,5090,0
2001-01-19,1200,1200,951350,200.05,-9620,9620,0
2001-01-22,1210,1330,2124150,221.72,1510,-1510,0
2001-01-26,1375,1260,2058700,210.05,2310,-1940,0
2001-01-29,1265,1445,5268680,240.89,167500,-169500,0
2001-01-30,1475,1450,5524260,241.74,1040,860,100
2001-01-31,1450,1405,1881600,234.23,-8280,3280,0
2001-02-01,1410,1380,1517440,230.06,780,-780,0
2001-02-02,1380,1380,1395500,230.06,-1400,1400,0
2001-02-05,1350,1245,1529150,207.56,-26460,26560,-100
2001-02-06,1250,1255,902960,209.22,27980,-28080,0
2001-02-07,1250,1230,734820,205.05,16230,-16230,0
2001-02-08,1210,1260,1352030,210.05,-3430,2590,840
2001-02-09,1250,1250,792740,208.39,-270,270,0
2001-02-12,1250,1250,790290,208.39,-3480,3480,0
2001-02-13,1265,1345,1392360,224.24,-201640,1510,200130
2001-02-14,1330,1365,2019710,227.55,-3760,3160,500
2001-02-15,1390,1340,905590,223.38,-3160,-6840,10000
2001-02-16,1350,1310,816490,218.38,-25900,-4100,0
2001-02-19,1290,1310,840660,218.38,6420,-6420,0
2001-02-20,1300,1360,1356370,226.72,-63620,3620,90000
2001-02-21,1370,1380,4406750,230.06,306940,3160,-300000
2001-02-22,1360,1310,1754260,218.38,-83980,83060,920
2001-02-23,1310,1305,1009800,217.56,-40640,6390,1250
2001-02-26,1110,1110,289380,185.06,-1170,1370,0
2001-02-27,945,945,15125660,157.53,-22460,-5140,-600
2001-02-28,970,970,7428700,161.7,32160,1460,0
2001-03-02,995,910,2907980,151.71,8910,-9110,200
2001-03-05,825,855,3129720,142.54,-1540,1470,70
2001-03-06,865,875,2362560,145.88,1520,-1520,0
2001-03-07,880,940,6603580,156.71,-73450,73530,-80
2001-03-08,965,935,3513570,155.88,29500,-9480,-22520
2001-03-09,930,955,3136110,159.22,10670,-6450,-4220
2001-03-12,935,905,1738170,150.88,11730,-11230,-500
2001-03-13,850,845,1687360,140.86,700,-700,0
2001-03-14,890,885,3526360,147.54,36460,-50,-30
2001-03-15,825,860,2313220,143.37,-7520,7520,0
2001-03-16,890,880,2664920,146.71,-130,130,0
2001-03-19,1010,1010,1524780,168.38,-9030,-990,20
2001-03-20,1160,995,11099660,165.87,-16000,2300,-300
2001-03-21,965,990,7235040,165.04,-36570,3230,470
2001-03-22,980,925,5680490,154.19,-14930,13330,-200
2001-03-23,910,885,3149860,147.54,57680,-14180,0
2001-03-26,905,900,2754130,150.05,3090,-2920,-170
2001-03-27,890,870,1579770,145.03,-8690,-1310,0
2001-03-28,880,860,1499700,143.37,-24230,24230,0
2001-03-29,855,840,1391170,140.03,-9810,2930,0
2001-03-30,840,810,1991630,135.03,2520,15380,0
2001-04-02,810,780,1870130,130.04,330,-330,0
2001-04-03,775,780,1613240,130.04,-8100,8100,0
2001-04-04,770,765,1179040,127.52,32900,-32900,0
2001-04-06,800,800,3422500,133.38,-16320,16660,-340
2001-04-09,780,775,776910,129.21,-9970,9970,0
2001-04-10,785,765,651730,127.52,-8960,8960,0
2001-04-11,765,795,2976840,132.52,38980,-38980,0
2001-04-12,820,785,1703150,130.86,6670,-6040,-630
2001-04-13,790,770,881080,128.38,9290,-4840,-4450
2001-04-16,780,770,689580,128.38,-28930,28930,0
2001-04-17,770,775,1108980,129.21,20,-20,0
2001-04-18,785,785,1349210,130.86,31320,-31320,0
2001-04-19,815,795,2763590,132.52,680,-680,0
2001-04-20,795,770,1328210,128.38,-2590,2590,0
2001-04-23,765,770,1295590,128.38,-3720,1200,2520
2001-04-24,760,765,1266740,127.52,910,1610,-2520
2001-04-25,765,765,0,127.52,0,0,0
2001-04-26,765,765,0,127.52,0,0,0
2001-04-27,765,765,0,127.52,0,0,0
2001-04-30,765,765,0,127.52,0,0,0
2001-05-02,765,765,0,127.52,0,0,0
2001-05-03,765,765,0,127.52,0,0,0
2001-05-04,765,765,0,127.52,0,0,0
2001-05-07,765,765,0,127.52,0,0,0
2001-05-08,765,765,0,127.52,0,0,0
2001-05-09,765,765,0,127.52,0,0,0
2001-05-10,765,765,0,127.52,0,0,0
2001-05-11,765,765,0,127.52,0,0,0
2001-05-14,7750,7300,203610,121.7,80,120,0
2001-05-15,7200,6990,291770,116.52,-230,210,0
2001-05-16,6990,6900,126810,115.02,710,-730,0
2001-05-17,6950,7000,91440,116.7,380,-400,0
2001-05-18,6610,6580,167500,109.68,240,-240,0
2001-05-21,6600,6600,122720,110.02,140,-140,0
2001-05-22,6710,6600,125110,110.02,220,-220,0
2001-05-23,6620,6570,85010,109.53,180,-180,0
2001-05-24,6520,6620,87430,110.36,20,-20,0
2001-05-25,6650,6730,148080,112.2,-150,150,0
2001-05-28,6850.0,6720.0,66270.0,112.04,200,-200,0
2001-05-29,6790.0,6690.0,62290.0,111.52,-300,300,0
2001-05-30,6650.0,6620.0,58720.0,110.36,350,-350,0
2001-05-31,6550.0,6460.0,70190.0,107.69,50,-50,0
2001-06-01,6500.0,6310.0,61180.0,105.2,130,-130,0
2001-06-04,6250.0,6260.0,38390.0,104.35,-240,240,0
2001-06-05,6270.0,6120.0,40620.0,102.02,70,-70,0
2001-06-07,6000.0,5930.0,64660.0,98.86,-40,40,0
2001-06-08,5950.0,6220.0,96870.0,103.7,-9860,9860,0
2001-06-11,6050.0,6110.0,26100.0,101.86,270,-270,0
2001-06-12,6100.0,6070.0,35150.0,101.19,540,-540,0
2001-06-13,6020.0,6010.0,53790.0,100.18,970,-950,0
2001-06-14,5990.0,6200.0,51740.0,103.37,-8740,-30,8810
2001-06-15,6200.0,6150.0,39340.0,102.54,-40,40,0
2001-06-18,6100.0,6040.0,62760.0,100.7,130,-1130,0
2001-06-19,6050.0,6030.0,48230.0,100.52,-1170,1170,0
2001-06-20,6050.0,5720.0,78440.0,95.37,2820,-850,30
2001-06-21,5750.0,5740.0,48030.0,95.7,-1820,1820,0
2001-06-22,5700.0,5780.0,68960.0,96.35,470,-470,0
2001-06-25,5810.0,5700.0,49340.0,95.03,-280,280,0
2001-06-26,5730.0,5600.0,72760.0,93.35,-650,650,0
2001-06-27,5600.0,5680.0,43100.0,94.69,-2940,2850,90
2001-06-28,5680.0,5680.0,39270.0,94.69,710,-710,0
2001-06-29,5690.0,5700.0,45920.0,95.03,1100,-1100,0
2001-07-02,5680.0,5710.0,48920.0,95.18,770,-770,0
2001-07-03,5650.0,5800.0,130620.0,96.69,-910,910,0
2001-07-04,5720.0,5690.0,31660.0,94.85,-1340,1340,0
2001-07-05,5640.0,5520.0,55240.0,92.02,2730,-2730,0
2001-07-06,5400.0,5220.0,53580.0,87.03,6720,-6750,30
2001-07-09,5100.0,4550.0,71660.0,75.84,3370,-3370,0
2001-07-10,4550.0,4500.0,41600.0,75.01,1430,-1430,0
2001-07-11,4400.0,4190.0,62790.0,69.86,260,-260,0
2001-07-12,4265.0,4300.0,41460.0,71.67,420,-330,-90
2001-07-13,4410.0,4105.0,48260.0,68.44,-30,30,0
2001-07-16,4110.0,4080.0,27460.0,68.02,100,-100,0
2001-07-18,4025.0,3955.0,28450.0,65.92,-180,180,0
2001-07-19,3860.0,3700.0,50240.0,61.68,-20,20,0
2001-07-20,3700.0,3580.0,51020.0,59.68,450,-450,0
2001-07-23,3640.0,3230.0,42690.0,53.86,-60,60,0
2001-07-24,3190.0,3250.0,60450.0,54.17,-1120,1120,0
2001-07-25,3180.0,3300.0,74710.0,55.02,820,-820,0
2001-07-26,3310.0,3795.0,89060.0,63.26,460,-460,0
2001-07-27,4000.0,3805.0,218150.0,63.44,-280,280,0
2001-07-30,3850.0,3680.0,73890.0,61.34,340,-340,0
2001-07-31,3700.0,3700.0,48160.0,61.68,-40,40,0
2001-08-01,3730.0,3770.0,65270.0,62.84,40,-40,0
2001-08-02,3810.0,3715.0,61860.0,61.94,10,-10,0
2001-08-03,3720.0,3750.0,55720.0,62.51,50,-50,0
2001-08-06,3750.0,3750.0,43460.0,62.51,-80,80,0
2001-08-07,3750.0,4130.0,161090.0,68.85,10,-10,0
2001-08-08,4100.0,4030.0,88740.0,67.19,80,-80,0
2001-08-09,3950.0,3780.0,63220.0,63.02,30,-30,0
2001-08-10,3810.0,3840.0,53430.0,64.01,-120,50,0
2001-08-13,3820.0,3770.0,41910.0,62.84,-130,60,0
2001-08-14,3775.0,3880.0,55070.0,64.68,-950,600,0
2001-08-16,3845.0,3815.0,30050.0,63.59,280,-280,0
2001-08-17,3890.0,3820.0,32030.0,63.67,100,-30,0
2001-08-20,3800.0,3665.0,32490.0,61.11,10,-10,0
2001-08-21,3700.0,3680.0,17950.0,61.34,-290,220,0
2001-08-22,3650.0,3735.0,9620.0,62.27,-370,300,0
2001-08-23,3735.0,3665.0,21790.0,61.11,-90,20,0
2001-08-24,3780.0,3650.0,24800.0,60.85,-140,70,0
2001-08-27,3780.0,3700.0,34150.0,61.68,-990,710,0
2001-08-28,3700.0,3800.0,83640.0,63.36,370,-300,0
2001-08-29,3785.0,3650.0,40800.0,60.85,740,-390,0
2001-08-30,3595.0,3540.0,45350.0,59.01,140,-140,0
2001-08-31,3455.0,3350.0,18920.0,55.85,-1310,1100,0
2001-09-03,3440.0,3315.0,13560.0,55.26,-370,160,0
2001-09-04,3215.0,3370.0,22370.0,56.19,-90,20,0
2001-09-05,3370.0,3265.0,21430.0,54.43,660,-450,0
2001-09-06,3270.0,3350.0,17670.0,55.85,-260,190,0
2001-09-07,3300.0,3400.0,41140.0,56.68,170,-140,40
2001-09-10,3400.0,3340.0,23190.0,55.67,1240,-740,-10
2001-09-11,3340.0,3290.0,17530.0,54.84,520,-570,50
2001-09-12,2800.0,2800.0,26820.0,46.69,-1150,1050,100
2001-09-13,2625.0,2720.0,61100.0,45.34,1460,-1460,0
2001-09-14,2750.0,2365.0,48170.0,39.44,640,-490,-80
2001-09-17,2300.0,2040.0,61930.0,34.0,-30,30,0
2001-09-18,2160.0,2240.0,44670.0,37.34,230,-230,0
2001-09-19,2240.0,2300.0,33180.0,38.35,-120,120,0
2001-09-20,2250.0,2205.0,52490.0,36.77,90,-70,-20
2001-09-21,2150.0,2150.0,27980.0,35.84,90,-90,0
2001-09-24,2110.0,2250.0,20700.0,37.52,50,-50,0
2001-09-25,2350.0,2175.0,33810.0,36.25,50,-50,0
2001-09-26,2170.0,2190.0,11280.0,36.51,110,-110,0
2001-09-27,2195.0,2250.0,24860.0,37.52,-20,20,0
2001-09-28,2220.0,2415.0,70380.0,40.26,10,-10,0
2001-10-04,2645.0,2590.0,58770.0,43.19,120,-120,0
2001-10-05,2505.0,2660.0,43070.0,44.36,100,-100,0
2001-10-08,2515.0,2490.0,71340.0,41.51,0,0,0
2001-10-09,2525.0,2610.0,47180.0,43.5,-340,340,0
2001-10-10,2550.0,2625.0,19230.0,43.76,-80,80,0
2001-10-11,2655.0,2795.0,72220.0,46.61,-430,430,0
2001-10-12,2940.0,2800.0,74330.0,46.69,720,-720,0
2001-10-15,2800.0,3070.0,97110.0,51.19,50,-50,0
2001-10-16,3070.0,3080.0,76580.0,51.35,-710,110,0
2001-10-17,3120.0,3050.0,45530.0,50.85,1360,-1360,0
2001-10-18,2995.0,3030.0,69650.0,50.52,130,-20,0
2001-10-19,3120.0,2980.0,28970.0,49.69,-40,40,0
2001-10-22,3005.0,3120.0,57300.0,52.02,550,-60,0
2001-10-23,3175.0,3250.0,153350.0,54.17,1620,80,0
2001-10-24,3390.0,3735.0,143500.0,62.27,170,-170,0
2001-10-25,3780.0,3935.0,649170.0,65.59,15500,-15500,0
2001-10-26,4030.0,4155.0,455240.0,69.26,110,-110,0
2001-10-29,4300.0,4300.0,351810.0,71.67,100,-100,0
2001-10-30,4200.0,3960.0,213460.0,66.03,40,-40,0
2001-10-31,3870.0,3850.0,136730.0,64.19,-60,60,0
2001-11-01,3855.0,3800.0,121470.0,63.36,130,-130,0
2001-11-02,4100.0,3845.0,86960.0,64.11,-210,210,0
2001-11-05,3880.0,3860.0,64900.0,64.34,-160,160,0
2001-11-06,3900.0,3730.0,83900.0,62.2,-240,240,0
2001-11-07,3700.0,3685.0,56770.0,61.44,170,-170,0
2001-11-08,3605.0,4235.0,434820.0,70.61,-600,600,0
2001-11-09,4300.0,4130.0,556360.0,68.85,-5070,5070,0
2001-11-12,4210.0,4280.0,173830.0,71.36,30,-30,0
2001-11-13,4220.0,4240.0,168130.0,70.69,-70,70,0
2001-11-14,4270.0,4250.0,174260.0,70.84,-20,20,0
2001-11-15,4270.0,4040.0,114060.0,67.35,5830,-4890,0
2001-11-16,4040.0,4050.0,58130.0,67.53,-160,160,0
2001-11-19,4020.0,4125.0,99940.0,68.77,-670,610,60
2001-11-20,4080.0,4050.0,89120.0,67.53,30,-50,20
2001-11-21,4050.0,4025.0,54880.0,67.09,-380,300,80
2001-11-22,4030.0,4050.0,67400.0,67.53,310,-290,-20
2001-11-23,4095.0,4080.0,92360.0,68.02,-550,550,0
2001-11-26,4300.0,4415.0,272630.0,73.61,2060,740,0
2001-11-27,4450.0,4365.0,113280.0,72.76,-910,430,480
2001-11-28,4300.0,3940.0,117040.0,65.69,-1230,-90,40
2001-11-29,3850.0,4000.0,57870.0,66.68,380,-380,0
2001-11-30,4100.0,4070.0,75870.0,67.84,310,-310,0
2001-12-03,4050.0,4080.0,56830.0,68.02,470,-470,0
2001-12-04,4110.0,4190.0,90900.0,69.86,20,-20,0
2001-12-05,4300.0,4560.0,359510.0,76.02,2240,760,0
2001-12-06,4690.0,4335.0,219130.0,72.27,1410,-170,40
2001-12-07,4330.0,4530.0,177390.0,75.53,-880,420,460
2001-12-10,4605.0,5200.0,414680.0,86.69,12220,50,-4930
2001-12-11,5220.0,5100.0,558110.0,85.03,-1880,-100,-20
