Symbol,에스원_시가(원),에스원_종가(원),에스원_거래량(주),에스원_PER(IFRS-연결),에스원_순매수수량(개인)(주),에스원_순매수수량(기관계)(주),에스원_순매수수량(외국인계)(주)
2000-01-04,18150,21450,827220,59.53,-36570,-75840,123460
2000-01-05,20500,19650,515508,54.53,104590,-90760,-18230
2000-01-06,20500,19000,445542,52.73,-27610,12160,200
2000-01-07,18800,18800,508348,52.17,63210,-4210,-59000
2000-01-10,19250,19000,502660,52.73,-93570,76620,-450
2000-01-11,19050,19900,842060,55.23,-154730,37370,-490
2000-01-12,19150,19400,351180,53.84,-90390,117630,-27240
2000-01-13,19550,19700,319210,54.67,-39630,-24150,60300
2000-01-14,19800,18800,272570,52.17,-6460,8680,-4720
2000-01-17,18500,18600,445400,51.62,-42650,96300,-65650
2000-01-18,18600,18400,423540,51.06,-63560,44560,-6000
2000-01-19,17800,16200,388880,44.96,14330,-7960,-6370
2000-01-20,15800,15150,355470,42.04,40040,-39340,-1700
2000-01-21,14900,15700,671990,43.57,-38490,-75820,113300
2000-01-24,15700,16500,323560,45.79,-84960,-4000,92470
2000-01-25,16000,16200,251760,44.96,-24870,-4640,31000
2000-01-26,16450,16000,197330,44.4,-19530,19720,-200
2000-01-27,15700,16400,315230,45.51,-8840,7510,-750
2000-01-28,16500,17050,373100,47.32,-70670,15770,9900
2000-01-31,16500,17050,166690,47.32,-23420,10010,13410
2000-02-01,17300,17650,388450,48.98,-40060,64040,-50980
2000-02-02,17750,18700,398330,51.9,-49480,49480,0
2000-02-03,19100,18550,247530,51.48,-5200,19500,-14300
2000-02-07,18500,19000,478060,52.73,-60510,59710,1300
2000-02-08,19200,18600,251240,51.62,-36720,40220,2000
2000-02-09,18500,18700,291070,51.9,-144270,35590,111550
2000-02-10,18700,20000,1397080,55.5,50510,-135410,80000
2000-02-11,21000,19800,1027890,54.95,108320,-21520,-20000
2000-02-14,19500,19500,560800,54.12,-145600,14500,106300
2000-02-15,20500,18000,298350,49.95,-37000,57000,0
2000-02-16,17600,17300,283910,48.01,-20110,38500,-18950
2000-02-17,16750,18450,302330,51.2,-24610,23860,750
2000-02-18,18900,19300,454940,53.56,-123590,64710,58880
2000-02-21,19000,18200,231080,50.51,-26970,29970,0
2000-02-22,18200,19100,392780,53.01,-117490,112210,280
2000-02-23,19600,19700,456510,54.67,-70040,100890,-30950
2000-02-24,19600,19700,340080,54.67,-101030,97990,2840
2000-02-25,19450,20250,448830,56.2,-53620,90510,-3140
2000-02-28,19800,23250,1223640,64.52,-86090,27940,1350
2000-02-29,24250,22400,1745170,62.16,158260,39910,-91550
2000-03-02,23000,23000,967220,63.83,-72560,50350,200
2000-03-03,23100,23500,1178110,65.22,-4480,82980,-16200
2000-03-06,24200,24000,777110,66.6,40,13860,750
2000-03-07,24000,22700,448820,63,-106130,77850,19250
2000-03-08,21500,22300,511820,61.89,-41350,47600,640
2000-03-09,22000,24000,929170,66.6,-152880,155540,-870
2000-03-10,24400,23700,419000,65.77,-64420,51970,0
2000-03-13,23300,24500,1075350,67.99,-56500,42160,2690
2000-03-14,24200,23700,346330,65.77,-51500,72370,-20730
2000-03-15,22900,23500,420470,65.22,-3470,4910,-1450
2000-03-16,23800,21800,382840,60.5,120990,-126590,5600
2000-03-17,22000,20000,484500,55.5,-31120,-31280,0
2000-03-20,19250,19400,264810,53.84,-42760,31710,0
2000-03-21,19000,18500,249420,51.34,-31150,-5000,1700
2000-03-22,18700,19900,521680,55.23,-23730,135960,-87000
2000-03-23,19200,19000,329720,52.73,-16600,88800,-82200
2000-03-24,19000,19000,214880,52.73,2760,-2760,0
2000-03-27,19000,19500,242190,54.12,-74800,66830,-2000
2000-03-28,19400,19900,412930,55.23,-23620,18740,0
2000-03-29,19600,19200,286520,53.28,-23290,-36560,19430
2000-03-30,19000,17900,168470,49.68,14140,-27970,2930
2000-03-31,17850,16900,608140,46.9,365130,-186510,-183540
2000-04-03,17500,16500,427080,45.79,117790,-74870,-13070
2000-04-04,16600,16950,278270,47.04,-18650,11180,3300
2000-04-06,16500,16750,100640,46.48,-28940,20000,-60
2000-04-07,16500,16950,168500,47.04,-20100,20090,0
2000-04-10,17300,17600,356640,48.84,56760,-73700,20000
2000-04-11,17000,17800,217480,49.4,-126780,126780,0
2000-04-12,17700,17600,195740,48.84,-26660,-13340,20000
2000-04-14,17300,17000,115030,47.18,-21040,21040,0
2000-04-17,14450,14450,383190,40.1,139880,49400,-198930
2000-04-18,15450,15600,532990,43.29,-46890,77000,-100
2000-04-19,16000,15500,257880,43.01,-1460,5510,-50
2000-04-20,15100,15300,190660,42.46,27460,-24550,-2790
2000-04-21,15300,15650,245880,43.43,67880,-67880,0
2000-04-24,15750,15200,168490,42.18,-5770,6190,-360
2000-04-25,14900,14850,213790,41.21,104340,-97840,-7000
2000-04-26,15200,15500,566480,43.01,-147370,148350,-980
2000-04-27,15300,15200,462770,42.18,-59120,258400,-199280
2000-04-28,15000,14900,161100,41.35,-31290,30290,13000
2000-05-02,15000,15200,230320,42.18,-20940,-31400,-18630
2000-05-03,14850,15100,168630,41.9,10590,-16110,-1480
2000-05-04,15000,15800,234140,43.85,-41660,46580,-4920
2000-05-08,16600,16150,324350,44.82,-28020,27950,-30
2000-05-09,15950,16200,135380,44.96,-61190,48790,12500
2000-05-10,16200,15950,91620,44.26,-23860,19360,4500
2000-05-12,15550,15450,77050,42.88,-37750,31750,6000
2000-05-15,15100,15100,180110,41.9,-35460,49320,-13740
2000-05-16,14750,15200,178720,42.18,9030,-23500,51620
2000-05-17,15400,14800,154920,41.07,-79790,-10620,45260
2000-05-18,14800,14800,212740,41.07,-55980,18350,37640
2000-05-19,14600,14250,82580,39.55,23140,-23130,-10
2000-05-22,14000,13300,191960,36.91,-46370,-1870,70940
2000-05-23,11800,12300,162520,34.13,-15140,-16670,51810
2000-05-24,12500,11850,294340,32.89,63270,-73430,18820
2000-05-25,12300,12650,371570,35.11,109420,11510,-102610
2000-05-26,12800,12550,398620,34.83,-154750,16080,145670
2000-05-29,12500,12300,130490,34.13,11060,-21150,10090
2000-05-30,12800,13200,233410,36.63,-12870,-4910,8780
2000-05-31,13600,15100,719970,41.9,19710,-31030,46320
2000-06-01,14850,14750,424940,40.93,-22590,-40270,59480
2000-06-02,15100,14800,570910,41.07,14380,-8420,-30580
2000-06-05,15100,15100,485080,41.9,33550,-33150,100
2000-06-07,15500,16750,1048670,46.48,-6740,22030,270970
2000-06-08,16900,15200,426010,42.18,26830,-50100,26000
2000-06-09,15300,16000,567130,44.4,6850,13260,-10560
2000-06-12,16200,16500,875350,45.79,87420,-187510,99670
2000-06-13,16700,16050,876260,44.54,-36710,59090,-470
2000-06-14,16500,16000,252470,44.4,-12770,11680,500
2000-06-15,15500,15450,269170,42.88,-138060,128900,-1680
2000-06-16,14650,15500,196970,43.01,-63770,63380,400
2000-06-19,15050,15200,232040,42.18,-16190,54540,-37300
2000-06-20,14850,15000,370330,41.63,114900,39110,-154010
2000-06-21,15000,15300,497250,42.46,45710,-45760,0
2000-06-22,15300,15000,446380,41.63,123660,126190,-249810
2000-06-23,14650,15000,159270,41.63,-73170,72840,130
2000-06-26,15050,15800,361010,43.85,-138760,129570,-5100
2000-06-27,16000,15800,386520,43.85,-67840,70260,-4040
2000-06-28,15800,16100,377510,44.68,6940,-72900,106770
2000-06-29,16200,16500,691580,45.79,-53050,-52790,118870
2000-06-30,16900,16500,264830,45.79,-117630,64120,62790
2000-07-03,16700,16900,603440,46.9,49910,-139870,63230
2000-07-04,17100,16500,384190,45.79,-67290,2740,0
2000-07-05,16500,16100,242200,44.68,-40580,23520,1930
2000-07-06,15800,16900,476480,46.9,-85590,166980,-59140
2000-07-07,16900,17450,724210,48.43,4250,-59750,102670
2000-07-10,17400,17200,384740,47.73,3920,14540,-18310
2000-07-11,17150,16500,245020,45.79,15550,-17790,-1530
2000-07-12,16500,16700,174610,46.35,-108310,18930,88810
2000-07-13,16500,16450,152560,45.65,-32830,-18660,46730
2000-07-14,16300,16400,161190,45.51,-58590,59410,-700
2000-07-18,16000,15400,105570,42.74,35340,-41980,-140
2000-07-19,15100,14700,266630,40.79,-6390,-17210,-16150
2000-07-20,14300,14700,231760,40.79,13630,26430,2190
2000-07-21,14300,14200,182200,39.41,84250,-89400,-2370
2000-07-24,13950,13800,167270,38.3,-46520,17200,6180
2000-07-25,13500,13800,163260,38.3,-32000,13280,7360
2000-07-26,14000,14100,200390,39.13,12110,-70480,65750
2000-07-27,14100,14300,133230,39.68,-7940,7750,40310
2000-07-28,14050,13900,119510,38.57,-29350,6090,21820
2000-07-31,13850,14200,86030,39.41,-31950,15090,6670
2000-08-01,14500,14500,97630,40.24,-11100,12870,30
2000-08-02,14600,14700,73860,40.79,-38850,27870,10620
2000-08-03,14550,14300,53420,39.68,11430,-9990,0
2000-08-04,14200,13900,40340,38.57,5160,-5240,200
2000-08-07,14000,13000,107710,36.08,35520,-60220,25200
2000-08-08,13350,12900,174480,35.8,63170,-80590,25380
2000-08-09,12900,13000,347240,36.08,95430,-44560,-42190
2000-08-10,13000,13600,194770,37.74,-56770,22100,35150
2000-08-11,13150,13300,192110,36.91,5180,11440,-6500
2000-08-14,13500,13650,148550,37.88,-36910,76570,-39960
2000-08-16,13750,14400,176370,39.96,-53530,17880,35330
2000-08-17,14200,13900,69900,38.57,-12430,13250,-820
2000-08-18,14200,13800,91330,38.3,15150,-15300,10
2000-08-21,13700,13800,52400,38.3,-6930,7170,-170
2000-08-22,13800,13800,65010,38.3,10130,18970,-20180
2000-08-23,13800,13300,113590,36.91,47700,-16730,-29770
2000-08-24,13100,13350,61300,37.05,-900,-1380,1000
2000-08-25,13100,13300,45280,36.91,-2020,1040,500
2000-08-28,13000,13400,51190,37.19,-7670,-4380,4210
2000-08-29,13300,13650,134040,37.88,4870,-6820,2350
2000-08-30,13700,13600,68890,37.74,-28600,28320,640
2000-08-31,13400,13200,102150,36.63,-43160,38240,6080
2000-09-01,13200,13300,69460,36.91,-6870,-14030,-60
2000-09-04,13300,13300,34500,36.91,1950,-1940,0
2000-09-05,13150,13150,63920,36.49,-14140,22070,-9010
2000-09-06,13000,13200,126330,36.63,-27160,26900,-14980
2000-09-07,13000,13350,125020,37.05,-29210,21000,2360
2000-09-08,13350,13350,129140,37.05,-30040,56290,-49790
2000-09-14,12800,12900,132750,35.8,24190,20700,-41440
2000-09-15,13000,13100,98300,36.35,-8310,22550,-11740
2000-09-18,12700,12100,126150,33.58,-34100,27820,3320
2000-09-19,11600,12300,77040,34.13,-30600,28060,-40
2000-09-20,13000,12600,57350,34.97,16300,-14950,-810
2000-09-21,12400,11850,56410,32.89,2210,2630,-4840
2000-09-22,11500,10250,183190,28.45,50310,-47700,-2610
2000-09-25,10400,11000,85440,30.53,-25070,-4800,29870
2000-09-26,11100,11050,138700,30.67,65360,-67090,0
2000-09-27,11300,11900,361480,33.02,57000,-98040,59160
2000-09-28,12100,11650,322030,32.33,4750,-48420,3740
2000-09-29,11950,11650,140490,32.33,23170,-47620,13690
2000-10-02,11250,12250,91660,34,-50930,21860,39070
2000-10-04,12100,12450,332690,34.55,-100880,-107960,210840
2000-10-05,12900,12400,140390,34.41,-6160,-8920,33450
2000-10-06,12050,12150,150610,33.72,34370,10600,-49050
2000-10-09,12150,11850,68860,32.89,3260,-12180,8920
2000-10-10,11550,11700,40730,32.47,-8450,5980,2470
2000-10-11,11550,11600,104150,32.19,-29550,-19740,49290
2000-10-12,11900,10500,88660,29.14,25330,-20840,-4020
2000-10-13,10500,10900,136220,30.25,3800,12000,-370
2000-10-16,11500,11500,275100,31.91,-51460,-46750,141810
2000-10-17,11500,11650,179300,32.33,-68050,74390,32000
2000-10-18,11500,11700,197820,32.47,-35400,-49740,85140
2000-10-19,11700,11850,110030,32.89,-39830,40590,400
2000-10-20,12000,12100,171150,33.58,-36530,19180,22930
2000-10-23,12000,11650,53740,32.33,-2540,-2620,5250
2000-10-24,11650,11850,127750,32.89,-22660,26230,-3570
2000-10-25,11550,11600,234850,32.19,19320,3190,-62510
2000-10-26,11200,11550,59900,32.05,-39000,29870,9130
2000-10-27,11800,11500,73450,31.91,-43340,38240,4310
2000-10-30,11600,11500,55400,31.91,-4810,-20890,26400
2000-10-31,11600,11800,66170,32.75,-25470,18090,6700
2000-11-01,12100,12500,172730,34.69,27670,-23600,2110
2000-11-02,12400,12550,368260,34.83,44770,-98630,51460
2000-11-03,12650,12400,229280,34.41,8550,-89770,82220
2000-11-06,12500,12600,390150,34.97,80730,-53260,31010
2000-11-07,12800,12550,155340,34.83,-24250,-1530,63580
2000-11-08,12650,13400,709800,37.19,22540,-214140,238000
2000-11-09,13200,13150,266700,36.49,20290,-2320,-20470
2000-11-10,13000,12850,119650,35.66,-13680,14020,-150
2000-11-13,12650,12800,155860,35.52,-54160,13380,43080
2000-11-14,12750,12850,59790,35.66,1450,-1750,0
2000-11-15,13000,12850,153290,35.66,-54510,55390,120
2000-11-16,12900,12850,65870,35.66,-26440,26740,0
2000-11-17,12800,12550,110440,34.83,-16420,-6620,23040
2000-11-20,12250,12150,36230,33.72,-3640,3830,-190
2000-11-21,12100,11800,151350,32.75,2280,14090,-16470
2000-11-22,11350,11350,79530,31.5,23510,-8740,-14770
2000-11-23,11100,11050,104980,30.67,-38670,38930,-260
2000-11-24,11000,11250,109830,31.22,-1210,-920,1930
2000-11-27,11600,11900,290560,33.02,-79380,39460,96540
2000-11-28,11700,11750,139760,32.61,-11200,42480,15790
2000-11-29,11450,11600,113860,32.19,-36430,27470,5160
2000-11-30,11500,11350,89600,31.5,-31390,32420,-1530
2000-12-01,11050,10950,224610,30.39,5160,54700,-32860
2000-12-04,11200,10750,151140,29.83,-20820,-17560,36380
2000-12-05,10600,11000,84130,30.53,-16180,18180,0
2000-12-06,11300,11500,166830,31.91,-75240,1610,81060
2000-12-07,11300,11450,60530,31.78,-24250,510,23960
2000-12-08,11400,11500,54520,31.91,-26690,33250,-6890
2000-12-11,11700,11500,93760,31.91,-18960,17930,700
2000-12-12,11600,11500,99880,31.91,-16130,-14960,41880
2000-12-13,11500,11700,95250,32.47,-15390,8420,6970
2000-12-14,11700,11550,150520,32.05,19550,-47930,29130
2000-12-15,11400,11100,67530,30.8,41970,-15450,-6520
2000-12-18,11200,11100,63860,30.8,13400,-15780,380
2000-12-19,11150,10850,95640,30.11,22030,-18660,-4040
2000-12-20,10550,10700,106970,29.69,-28190,24310,27880
2000-12-21,10400,10550,87510,29.28,-13530,37570,-24740
2000-12-22,10550,10100,101250,28.03,39020,-23920,-5280
2000-12-26,10100,10100,175340,28.03,42070,-39350,2000
2001-01-02,10500,10400,259050,21.16,14740,-146250,132410
2001-01-03,10450,10600,294650,21.57,-9640,-91660,103030
2001-01-04,10900,11100,324750,22.58,52610,-86140,42530
2001-01-05,10800,10900,912480,22.18,266460,-22340,-250150
2001-01-08,10800,11300,751290,22.99,44590,147210,-197200
2001-01-09,11300,11550,325160,23.5,-94200,52760,47340
2001-01-10,11700,11600,760060,23.6,-45800,9650,42850
2001-01-11,11500,11400,239690,23.19,21920,-14470,-10010
2001-01-12,11700,11700,492250,23.8,21250,81150,-92120
2001-01-15,11500,11700,243090,23.8,8510,-20230,12020
2001-01-16,12200,11700,314650,23.8,48810,-98890,49960
2001-01-17,11700,11600,160230,23.6,-20390,21630,-1460
2001-01-18,11500,11500,132080,23.4,-35310,36710,-1770
2001-01-19,11650,11700,394920,23.8,-3100,-112840,116750
2001-01-22,12000,12200,245770,24.82,55110,-60290,7680
2001-01-26,12400,12050,172250,24.52,-29000,-48510,77620
2001-01-29,12300,12600,198650,25.63,-35910,37170,0
2001-01-30,12300,12500,251030,25.43,56390,-47280,-9280
2001-01-31,12700,12600,226520,25.63,21650,-23040,1390
2001-02-01,12400,12300,151740,25.02,-41090,46320,-5230
2001-02-02,12050,12100,169570,24.62,830,4220,-5050
2001-02-05,11850,11500,151900,23.4,-35020,14020,21000
2001-02-06,11300,11700,79300,23.8,-31440,31440,0
2001-02-07,11700,11500,88980,23.4,-15480,16640,-280
2001-02-08,11500,11750,146180,23.9,-26260,31580,4280
2001-02-09,11700,11800,80120,24.01,-21040,11280,1100
2001-02-12,11700,11800,97010,24.01,-2840,-1960,4640
2001-02-13,11900,12050,204910,24.52,-34810,-38730,102940
2001-02-14,11850,12050,141320,24.52,-18300,53170,-45170
2001-02-15,12200,12000,100710,24.41,-35210,27210,0
2001-02-16,12100,11900,118930,24.21,-18570,18570,0
2001-02-19,11800,11500,150610,23.4,-39100,45360,-2360
2001-02-20,11500,11800,140200,24.01,-4420,14280,-19960
2001-02-21,11700,11600,61550,23.6,-25390,25790,-1040
2001-02-22,11700,11600,99050,23.6,-11460,-8920,1110
2001-02-23,11400,11600,85940,23.6,-55530,23410,31920
2001-02-26,11750,11750,104610,23.9,-29480,33650,-4470
2001-02-27,11850,11800,492260,24.01,60390,-94260,88770
2001-02-28,11900,12300,495940,25.02,107230,-161990,49760
2001-03-02,12400,11800,250080,24.01,-49440,-10160,57050
2001-03-05,11700,11950,83460,24.31,-26830,25460,-130
2001-03-06,12000,11900,125630,24.21,-15260,21960,-10700
2001-03-07,11700,11800,91160,24.01,-14730,17260,-1630
2001-03-08,11800,12000,139640,24.41,-7380,24340,-18160
2001-03-09,12000,11700,122580,23.8,-5370,21120,-13900
2001-03-12,11500,11450,175450,23.29,-79240,38280,41110
2001-03-13,11250,10950,155650,22.28,-61860,60440,0
2001-03-14,11350,11000,143430,22.38,54590,-63240,0
2001-03-15,10600,10950,58850,22.28,-16580,16000,-690
2001-03-16,10700,10700,125690,21.77,39010,5720,-44580
2001-03-19,10700,10450,164000,21.26,42050,9280,-62560
2001-03-20,10550,10400,74750,21.16,4630,-11430,6500
2001-03-21,10350,10900,227170,22.18,-36540,7300,75580
2001-03-22,10600,10700,63380,21.77,-9510,-11110,20620
2001-03-23,10700,10800,101920,21.97,-9510,-41790,50000
2001-03-26,10850,10750,94690,21.87,-4280,3230,-150
2001-03-27,10700,10750,87540,21.87,27500,-28840,-170
2001-03-28,10850,11000,244340,22.38,-61140,3500,57490
2001-03-29,10800,11050,218320,22.48,-88290,92820,-2800
2001-03-30,11100,11000,92360,22.38,20700,-25610,3950
2001-04-02,10700,10750,18410,21.87,-4430,1340,3090
2001-04-03,10600,10550,54660,21.46,-21380,20790,0
2001-04-04,10400,10500,75080,21.36,-3150,2330,0
2001-04-06,10700,10550,115260,21.46,70440,-59260,-7760
2001-04-09,10500,10100,84280,20.55,29580,-12560,-1800
2001-04-10,10200,10300,69450,20.95,-24280,24580,0
2001-04-11,10500,10400,97230,21.16,42030,-25060,-14690
2001-04-12,10500,10300,103920,20.95,27810,-15480,-9460
2001-04-13,10400,10500,71160,21.36,4600,-2060,-1840
2001-04-16,10400,10400,38520,21.16,-3510,3710,0
2001-04-17,10500,10450,55580,21.26,2150,-4010,0
2001-04-18,10550,10850,120310,22.07,-18290,18210,0
2001-04-19,11000,10950,328120,22.28,28300,-23040,-700
2001-04-20,11100,10700,112990,21.77,2860,18720,-24940
2001-04-23,10700,10700,92180,21.77,8190,17230,-27780
2001-04-24,10600,10650,85020,21.67,550,23810,-24710
2001-04-25,10500,10600,72700,21.57,-3490,23610,-22750
2001-04-26,10700,10600,101330,21.57,34630,-5910,-27880
2001-04-27,10600,10600,115240,21.57,400,-40520,30560
2001-04-30,10800,11500,363340,23.4,-139620,59630,40940
2001-05-02,11700,11850,271170,24.11,-95550,-7830,60070
2001-05-03,12000,11800,117490,24.01,-17450,24140,-3460
2001-05-04,11500,11750,85440,23.9,-13540,9720,520
2001-05-07,11850,11900,192440,24.21,-22270,-42360,56870
2001-05-08,12050,11850,107650,24.11,-4780,5160,30
2001-05-09,12000,11550,57350,23.5,520,4020,-2430
2001-05-10,11650,11700,78690,23.8,-8080,-9680,-7750
2001-05-11,11800,11850,462220,24.11,119970,-88890,5450
2001-05-14,11950,12200,349450,24.82,43630,-111180,53500
2001-05-15,12200,12200,107250,24.82,-48170,46110,0
2001-05-16,12200,12600,338680,25.63,-59000,25770,43930
2001-05-17,12900,13600,1023370,27.67,-156760,48280,100740
2001-05-18,13100,13450,411710,27.36,120380,-57080,-62300
2001-05-21,13600,13500,321750,27.47,58590,-63980,1620
2001-05-22,13300,13250,311780,26.96,112650,-111800,0
2001-05-23,13150,13400,209160,27.26,-11440,-6410,20780
2001-05-24,13150,13000,150300,26.45,-7820,18180,0
2001-05-25,13000,12900,305870,26.24,-39930,22450,-1500
2001-05-28,12900.0,12900.0,85040.0,26.24,-17840,18910,0
2001-05-29,12750.0,13300.0,407380.0,27.06,-73230,10360,-16000
2001-05-30,13150.0,13650.0,198580.0,27.77,-52670,-11970,67400
2001-05-31,13300.0,13300.0,245050.0,27.06,31130,-46600,16150
2001-06-01,13300.0,13100.0,168340.0,26.65,35760,-27320,-7900
2001-06-04,13200.0,12950.0,83510.0,26.35,7150,-10960,1450
2001-06-05,13100.0,12500.0,224120.0,25.43,22330,-26090,8190
2001-06-07,12700.0,12950.0,104700.0,26.35,-13150,6940,5430
2001-06-08,13200.0,13450.0,224130.0,27.36,-13360,-13960,33550
2001-06-11,13250.0,13050.0,111330.0,26.55,10590,-17160,7950
2001-06-12,12900.0,12950.0,101660.0,26.35,-7960,8290,0
2001-06-13,13100.0,13100.0,169160.0,26.65,-49820,61320,-15510
2001-06-14,12900.0,12950.0,235230.0,26.35,-36830,12400,8980
2001-06-15,12800.0,12950.0,198450.0,26.35,-26240,1470,25400
2001-06-18,13000.0,13400.0,671120.0,27.26,136270,-195390,123930
2001-06-19,13500.0,13100.0,259460.0,26.65,-22870,35410,-27640
2001-06-20,13000.0,12550.0,179590.0,25.53,-50480,46110,1590
2001-06-21,12650.0,12900.0,161300.0,26.24,-5050,1310,2340
2001-06-22,13100.0,13300.0,188680.0,27.06,-45980,-18420,36900
2001-06-25,13500.0,13700.0,408990.0,27.87,22170,-42370,0
2001-06-26,13550.0,13750.0,407940.0,27.97,34340,-46220,2250
2001-06-27,13550.0,13900.0,263870.0,28.28,-50740,39720,2040
2001-06-28,14200.0,14150.0,506770.0,28.79,65460,-73300,-6840
2001-06-29,14500.0,14400.0,301020.0,29.3,-26060,-5530,32960
2001-07-02,14500.0,14100.0,214070.0,28.69,-5900,-9750,18540
2001-07-03,13850.0,13800.0,149540.0,28.08,41840,-51150,0
2001-07-04,13650.0,14000.0,159680.0,28.48,19290,-19320,-390
2001-07-05,14100.0,13800.0,182830.0,28.08,58170,-58430,0
2001-07-06,13500.0,13350.0,248830.0,27.16,42260,-47130,0
2001-07-09,13000.0,13450.0,189690.0,27.36,-83800,111960,-27420
2001-07-10,13400.0,13200.0,119340.0,26.85,10890,-22570,6490
2001-07-11,12700.0,13150.0,79030.0,26.75,-31880,28090,4700
2001-07-12,13300.0,13150.0,128230.0,26.75,4760,1690,330
2001-07-13,13250.0,12700.0,127350.0,25.84,18060,-1540,-15780
2001-07-16,12900.0,12550.0,89990.0,25.53,-19940,10910,8890
2001-07-18,12650.0,12500.0,186480.0,25.43,-13720,-5640,20340
2001-07-19,12200.0,12450.0,243820.0,25.33,-55250,-6460,61040
2001-07-20,12600.0,12450.0,140610.0,25.33,-15070,-22150,34530
2001-07-23,12450.0,12100.0,66910.0,24.62,-21290,170,20580
2001-07-24,12000.0,12250.0,335130.0,24.92,12280,-178170,165490
2001-07-25,12100.0,12250.0,247840.0,24.92,-21390,-22180,41410
2001-07-26,12300.0,12400.0,183690.0,25.23,47860,-38150,-11000
2001-07-27,12600.0,12800.0,130490.0,26.04,-40040,45430,-2030
2001-07-30,12750.0,12400.0,69520.0,25.23,4390,-22270,18140
2001-07-31,12500.0,12650.0,74330.0,25.74,-22120,20190,530
2001-08-01,12700.0,12800.0,104600.0,26.04,7960,-8140,870
2001-08-02,12650.0,12850.0,127980.0,26.14,6920,-26980,20790
2001-08-03,13000.0,12750.0,66200.0,25.94,9840,-19910,10670
2001-08-06,12600.0,12750.0,73660.0,25.94,19280,-27660,0
2001-08-07,12700.0,12750.0,87670.0,25.94,4460,-21110,16520
2001-08-08,12850.0,13350.0,304990.0,27.16,-41190,-15940,53930
2001-08-09,13050.0,13200.0,132670.0,26.85,-18500,-16000,0
2001-08-10,13450.0,13700.0,409180.0,27.87,-73750,-33950,6600
2001-08-13,13800.0,13600.0,105670.0,27.67,-2930,40,0
2001-08-14,13600.0,13700.0,169420.0,27.87,18420,-21950,0
2001-08-16,13500.0,13500.0,84170.0,27.47,-17890,17680,90
2001-08-17,13650.0,13200.0,164850.0,26.85,20430,11860,-38700
2001-08-20,13000.0,13000.0,137600.0,26.45,-20830,27340,-38330
2001-08-21,13200.0,13500.0,193000.0,27.47,-37700,1990,1600
2001-08-22,13200.0,13600.0,71370.0,27.67,-49080,48680,-190
2001-08-23,13600.0,13800.0,100580.0,28.08,-42220,42750,-660
2001-08-24,13700.0,13800.0,137200.0,28.08,-55020,35280,-650
2001-08-27,14000.0,13800.0,146900.0,28.08,-20230,33550,0
2001-08-28,13800.0,13950.0,67880.0,28.38,-20800,25270,0
2001-08-29,13700.0,13600.0,142190.0,27.67,17650,-16790,0
2001-08-30,13400.0,14300.0,119710.0,29.09,-58830,41590,3670
2001-08-31,13800.0,13600.0,175480.0,27.67,-48930,33900,3800
2001-09-03,13700.0,13600.0,42500.0,27.67,-19800,10110,8820
2001-09-04,13800.0,13850.0,73340.0,28.18,-37480,14780,6340
2001-09-05,13850.0,14000.0,155850.0,28.48,-9260,-14970,580
2001-09-06,14100.0,14200.0,236770.0,28.89,53190,-47880,-10000
2001-09-07,14000.0,14200.0,83320.0,28.89,-20310,10000,600
2001-09-10,14200.0,14350.0,137620.0,29.19,-550,-30130,12270
2001-09-11,14400.0,14200.0,132330.0,28.89,-34980,-15110,22960
2001-09-12,12100.0,12250.0,290750.0,24.92,-121950,113400,2110
2001-09-13,13900.0,13150.0,488200.0,26.75,-19980,-22930,44920
2001-09-14,13500.0,13850.0,873230.0,28.18,-208270,-123210,415330
2001-09-17,14050.0,15100.0,1694870.0,30.72,10150,-354070,391000
2001-09-18,15650.0,15400.0,1076380.0,31.33,73530,-208640,237290
2001-09-19,15700.0,15400.0,957250.0,31.33,-270,-142190,127980
2001-09-20,15800.0,16950.0,1281110.0,34.48,-201670,-208700,449570
2001-09-21,17200.0,16100.0,1192650.0,32.75,-370,-186610,258460
2001-09-24,16500.0,15350.0,956990.0,31.23,184050,112720,-297410
2001-09-25,15600.0,15600.0,821940.0,31.74,-35460,-27090,70070
2001-09-26,15400.0,15400.0,704130.0,31.33,-127890,144950,-52330
2001-09-27,15350.0,15300.0,512270.0,31.13,-78910,-70430,119450
2001-09-28,15150.0,15700.0,605040.0,31.94,-2460,-15450,-18390
2001-10-04,15900.0,15700.0,352540.0,31.94,61060,-81140,20640
2001-10-05,15850.0,16000.0,853480.0,32.55,80590,-58100,27940
2001-10-08,16350.0,15800.0,380010.0,32.14,-24340,-83690,109150
2001-10-09,16050.0,15800.0,247940.0,32.14,-35080,160,35000
2001-10-10,15850.0,15300.0,193670.0,31.13,-25400,21460,2740
2001-10-11,15500.0,15300.0,220690.0,31.13,-530,43720,-43890
2001-10-12,15700.0,15700.0,290300.0,31.94,-77130,-47320,114280
2001-10-15,16050.0,15800.0,279620.0,32.14,69260,-1270,-57000
2001-10-16,15900.0,16000.0,236620.0,32.55,-18970,-25540,44010
2001-10-17,16250.0,16400.0,260420.0,33.37,-6100,-35280,41590
2001-10-18,16400.0,16400.0,381110.0,33.37,-740,-9260,10000
2001-10-19,16700.0,16150.0,117900.0,32.86,-9170,8800,80
2001-10-22,16250.0,15750.0,149490.0,32.04,13820,-4470,-9350
2001-10-23,15800.0,15600.0,115060.0,31.74,-36340,28230,5980
