Symbol,LG상사_시가(원),LG상사_종가(원),LG상사_거래량(주),LG상사_PER(IFRS-연결),LG상사_순매수수량(개인)(주),LG상사_순매수수량(기관계)(주),LG상사_순매수수량(외국인계)(주)
2004-07-09,7230.0,7350.0,249541.0,5.8,-39220,138090,-106490
2004-07-12,7470.0,7360.0,283750.0,5.81,17120,20000,-64170
2004-07-13,7330.0,7320.0,330993.0,5.77,70893,24697,-95230
2004-07-14,7310.0,7230.0,351920.0,5.7,141130,-42270,-134980
2004-07-15,7230.0,7420.0,265910.0,5.85,-120940,97350,10130
2004-07-16,7430.0,7590.0,240210.0,5.99,-61340,68740,-4780
2004-07-19,7480.0,7690.0,183520.0,6.07,-77230,65980,-1380
2004-07-20,7600.0,7680.0,205450.0,6.06,-58690,68780,-4950
2004-07-21,7750.0,7680.0,448835.0,6.06,18360,77510,-98560
2004-07-22,7520.0,7650.0,286500.0,6.03,11650,36410,-1320
2004-07-23,7710.0,7830.0,467671.0,6.18,-97692,55442,132900
2004-07-26,7780.0,7930.0,325390.0,6.26,-130242,63902,-810
2004-07-27,7900.0,7840.0,190786.0,6.18,-80264,58544,-1000
2004-07-28,7860.0,7930.0,348940.0,6.26,-30110,-57670,-730
2004-07-29,7930.0,7730.0,328691.0,6.1,-125834,105364,-4230
2004-07-30,7780.0,7870.0,156160.0,6.21,-62850,62200,-18800
2004-08-02,7760.0,7630.0,221480.0,6.02,42080,-54900,-22580
2004-08-03,7690.0,7900.0,247021.0,6.23,-110110,16570,-3450
2004-08-04,7800.0,7740.0,179731.0,6.11,10082,-10522,-12060
2004-08-05,7850.0,7940.0,282420.0,6.26,-100250,33310,-1080
2004-08-06,7790.0,7940.0,419081.0,6.26,-116950,23360,30000
2004-08-09,7900.0,8020.0,245380.0,6.33,-88249,56129,4090
2004-08-10,7960.0,7950.0,229290.0,6.27,-36420,82110,-63660
2004-08-11,7950.0,7850.0,442342.0,6.19,48460,45740,-117350
2004-08-12,7810.0,7940.0,597001.0,6.26,47380,252720,-326530
2004-08-13,7850.0,8200.0,1555310.0,6.47,-14690,550310,-755890
2004-08-16,8140.0,8260.0,988190.0,6.52,-41631,334301,-433420
2004-08-17,8300.0,8350.0,568880.0,6.59,-209750,52170,-870
2004-08-18,8350.0,8500.0,606970.0,6.71,-314690,309000,-5900
2004-08-19,8500.0,8500.0,385851.0,6.71,-213723,138993,18690
2004-08-20,8410.0,8700.0,314670.0,6.86,-165200,132610,-10220
2004-08-23,8680.0,8700.0,360360.0,6.86,1180,21110,-18560
2004-08-24,8700.0,8650.0,330192.0,6.82,-21440,36110,-6110
2004-08-25,8700.0,8750.0,333836.0,6.9,-20517,-24233,82990
2004-08-26,8790.0,8840.0,296440.0,6.97,-26794,30944,4110
2004-08-27,8880.0,8850.0,207013.0,6.98,-116450,75820,-110
2004-08-30,8820.0,8790.0,157831.0,6.93,-22302,-18508,0
2004-08-31,8700.0,8840.0,216674.0,6.97,-46945,63955,3280
2004-09-01,8750.0,8980.0,373700.0,7.08,-66840,78500,24850
2004-09-02,8970.0,8900.0,280882.0,7.02,64819,-59089,68810
2004-09-03,8990.0,8730.0,257600.0,6.89,41460,-2600,-19610
2004-09-06,8850.0,8780.0,185701.0,6.93,-69873,22473,11550
2004-09-07,8730.0,8700.0,196241.0,6.86,29771,-55320,-130
2004-09-08,8650.0,8630.0,192380.0,6.81,46420,-40160,-18980
2004-09-09,8570.0,8560.0,323027.0,6.75,82761,-146591,42170
2004-09-10,8590.0,8760.0,319615.0,6.91,-1050,-93790,11900
2004-09-13,8820.0,8790.0,220536.0,6.93,-28944,70304,810
2004-09-14,8880.0,8650.0,280235.0,6.82,73826,-45016,13430
2004-09-15,8600.0,8500.0,476901.0,6.71,158413,-214513,4200
2004-09-16,8480.0,8460.0,310118.0,6.67,58377,-36197,-53290
2004-09-17,8460.0,8620.0,469904.0,6.8,117880,-121770,-22670
2004-09-20,8660.0,8800.0,384521.0,6.94,-26163,25123,7480
2004-09-21,8910.0,8870.0,319444.0,7.0,-2457,-40273,19760
2004-09-22,9850.0,9000.0,2522862.0,7.1,478848,-281838,-34290
2004-09-23,9100.0,9100.0,736171.0,7.18,-269120,193020,4370
2004-09-24,9100.0,8890.0,325389.0,7.01,-89460,59870,12440
2004-09-30,8800.0,8870.0,693387.0,7.0,6940,150410,-173490
2004-10-01,8830.0,8920.0,418992.0,7.04,16710,-26390,780
2004-10-04,9000.0,9240.0,742800.0,7.29,-176150,93420,48970
2004-10-05,9240.0,9290.0,360517.0,7.33,-72009,41279,-360
2004-10-06,9310.0,9180.0,593155.0,7.24,36267,8743,55320
2004-10-07,9140.0,9100.0,352816.0,7.18,47344,-26864,70
2004-10-08,9010.0,9150.0,454454.0,7.22,42890,-129900,78070
2004-10-11,9110.0,9160.0,315042.0,7.23,118135,-142995,16220
2004-10-12,9260.0,9270.0,658710.0,7.31,2140,-108400,66440
2004-10-13,9300.0,9250.0,508220.0,7.3,27893,-148713,60990
2004-10-14,9260.0,9100.0,430157.0,7.18,92770,-54040,-18490
2004-10-15,9050.0,9150.0,987292.0,7.22,160760,-32100,110560
2004-10-18,9250.0,9360.0,550086.0,7.38,-72922,-21858,98860
2004-10-19,9470.0,9500.0,759780.0,7.49,-202670,103640,95990
2004-10-20,9470.0,9330.0,355993.0,7.36,-92620,75300,-16290
2004-10-21,9330.0,9330.0,390410.0,7.36,-2250,-17770,17980
2004-10-22,9200.0,9330.0,315380.0,7.36,26390,-3030,-9830
2004-10-25,9170.0,9100.0,350060.0,7.18,84600,54010,-89690
2004-10-26,9100.0,9240.0,281716.0,7.29,-97290,130770,-32390
2004-10-27,9240.0,9000.0,461232.0,7.1,54876,80227,-112190
2004-10-28,9050.0,9010.0,679961.0,7.11,72390,215940,-150230
2004-10-29,8920.0,9200.0,353990.0,7.26,-105780,106980,940
2004-11-01,9200.0,9250.0,310590.0,7.3,-73890,-15160,88950
2004-11-02,9320.0,9270.0,167937.0,7.31,-31280,42560,-12380
2004-11-03,9310.0,9310.0,232502.0,7.34,-13320,-22340,29780
2004-11-04,9270.0,9260.0,226731.0,7.3,25355,1905,-8520
2004-11-05,9340.0,9550.0,525466.0,7.53,-119870,44860,68770
2004-11-08,9570.0,9340.0,374710.0,7.37,68170,34480,-112810
2004-11-09,9280.0,9290.0,319721.0,7.33,14980,79230,-94140
2004-11-10,9220.0,9240.0,358321.0,7.29,111810,-7550,-117380
2004-11-11,9180.0,9230.0,336825.0,7.28,27455,12475,-60350
2004-11-12,9260.0,9250.0,897361.0,7.3,283879,-47479,-253530
2004-11-15,9250.0,9300.0,623618.0,7.34,-99470,238530,-164560
2004-11-16,9220.0,9170.0,404411.0,7.23,76044,-53354,11720
2004-11-17,9250.0,9370.0,1026485.0,7.39,77241,-82450,690
2004-11-18,9320.0,9290.0,418497.0,7.33,76810,42670,-123990
2004-11-19,9220.0,9110.0,499032.0,7.19,197092,-58032,-146120
2004-11-22,9030.0,8970.0,387900.0,7.08,39300,15320,-55770
2004-11-23,9000.0,9070.0,429999.0,7.15,43057,22513,-127670
2004-11-24,8990.0,9130.0,322800.0,7.2,-31490,-1730,25890
2004-11-25,9090.0,9110.0,230708.0,7.19,-44762,27562,0
2004-11-26,9120.0,9150.0,369463.0,7.22,-53900,74400,-40080
2004-11-29,9100.0,9270.0,359450.0,7.31,-59060,77290,-17710
2004-11-30,9260.0,9340.0,393349.0,7.37,-93033,71933,-5350
2004-12-01,9340.0,9310.0,328740.0,7.34,58270,-69560,6020
2004-12-02,9390.0,9300.0,402047.0,7.34,93886,-70336,-23180
2004-12-03,9330.0,8950.0,2172037.0,7.06,1285727,-1212397,14810
2004-12-06,8910.0,8840.0,524229.0,6.97,226837,-83177,-45400
2004-12-07,8800.0,8600.0,834460.0,6.78,169578,-185348,13440
2004-12-08,8500.0,8660.0,336900.0,6.83,64940,-17670,-41800
2004-12-09,8660.0,8640.0,604772.0,6.82,208402,-75832,-40970
2004-12-10,8610.0,8490.0,473881.0,6.7,198070,-114840,-108740
2004-12-13,8420.0,8530.0,429974.0,6.73,6770,126310,-151920
2004-12-14,8500.0,8580.0,276910.0,6.77,-7900,27260,-17910
2004-12-15,8540.0,8640.0,339790.0,6.82,91332,-37782,2940
2004-12-16,8700.0,8650.0,338511.0,6.82,115180,-107800,-2000
2004-12-17,8660.0,8670.0,229927.0,6.84,488,-23348,350
2004-12-20,8670.0,8740.0,260942.0,6.89,-482,-7530,-10348
2004-12-21,8650.0,8700.0,547658.0,6.86,60240,-212330,276290
2004-12-22,8700.0,8690.0,853771.0,6.86,65195,-319095,302600
2004-12-23,8740.0,8550.0,489511.0,6.74,308724,-196644,-7330
2004-12-24,8560.0,8470.0,520570.0,6.68,304560,-61970,-150680
2004-12-27,8480.0,8580.0,688343.0,6.77,281234,-218444,-2810
2004-12-28,8600.0,8630.0,1078905.0,6.81,335845,-25785,-35990
2004-12-29,8270.0,8120.0,933785.0,6.41,232592,-92192,-99100
2004-12-30,8100.0,8050.0,869096.0,6.35,131595,-84545,-10
2005-01-03,8040.0,8060.0,907437.0,8.62,156070,-260960,279520
2005-01-04,8070.0,8190.0,697861.0,8.76,35530,-8210,118420
2005-01-05,8120.0,8220.0,601538.0,8.79,92131,-91671,-10990
2005-01-06,8200.0,8200.0,436380.0,8.77,28540,-161530,132570
2005-01-07,8200.0,8230.0,371584.0,8.8,-83462,1202,62720
2005-01-10,8240.0,8250.0,444393.0,8.82,-72515,-15105,100420
2005-01-11,8220.0,8220.0,453990.0,8.79,-68240,-92730,150970
2005-01-12,8250.0,8190.0,893838.0,8.76,118734,-397614,387230
2005-01-13,8210.0,8290.0,491138.0,8.86,-163760,75560,72140
2005-01-14,8230.0,8390.0,489250.0,8.97,-158648,90068,29220
2005-01-17,8390.0,8300.0,928724.0,8.87,243346,-217116,-127930
2005-01-18,8310.0,8310.0,534460.0,8.88,-113730,23830,14870
2005-01-19,8300.0,8240.0,568622.0,8.81,18630,-130330,-18460
2005-01-20,8220.0,8100.0,474840.0,8.66,76514,-74654,-48170
2005-01-21,8090.0,8150.0,511985.0,8.71,-85100,-67160,75270
2005-01-24,8140.0,8200.0,518440.0,8.77,-128229,-44981,96010
2005-01-25,8210.0,8450.0,884506.0,9.03,-290658,115088,-53470
2005-01-26,8400.0,8460.0,479675.0,9.04,-135815,108345,4630
2005-01-27,8500.0,8630.0,571796.0,9.23,-309373,226543,78540
2005-01-28,8600.0,8600.0,298126.0,9.19,-54964,54520,420
2005-01-31,8550.0,8890.0,864460.0,9.5,-260034,142714,140340
2005-02-01,8800.0,8960.0,641345.0,9.58,-247201,142831,126360
2005-02-02,8960.0,9300.0,1597260.0,9.94,-651422,424742,254460
2005-02-03,9310.0,9100.0,517539.0,9.73,-36927,-96913,107600
2005-02-04,9190.0,9350.0,751938.0,10.0,-257517,51077,102710
2005-02-07,9290.0,9300.0,641790.0,9.94,-319390,240470,38830
2005-02-11,9220.0,9190.0,444933.0,9.82,-43650,-37830,-780
2005-02-14,9120.0,9200.0,732838.0,9.84,50855,-119085,-50700
2005-02-15,9170.0,9480.0,871972.0,10.13,-411601,449641,-57880
2005-02-16,9530.0,9340.0,607921.0,9.99,52592,-155422,-1440
2005-02-17,9350.0,9300.0,749280.0,9.94,138040,-11060,-115590
2005-02-18,9200.0,9400.0,879655.0,10.05,1740,130510,-388000
2005-02-21,9730.0,9790.0,2013751.0,10.47,-135375,97695,-78360
2005-02-22,9840.0,9940.0,1962889.0,10.63,-525600,283250,-167080
2005-02-23,9930.0,9930.0,970511.0,10.62,-312856,308166,-172600
2005-02-24,10100.0,10650.0,1977552.0,11.39,-842836,276695,30640
2005-02-25,10700.0,10400.0,809204.0,11.12,69057,49453,-177490
2005-02-28,10350.0,10750.0,1140230.0,11.49,62629,-132049,243640
2005-03-02,10800.0,10750.0,1073264.0,11.49,349690,-379740,165870
2005-03-03,10850.0,10700.0,365992.0,11.44,-19459,92429,-48750
2005-03-04,10600.0,11300.0,1993292.0,12.08,730220,94371,78580
2005-03-07,11200.0,11050.0,485202.0,11.81,25917,51983,-17890
2005-03-08,10950.0,10950.0,514740.0,11.71,-106987,134097,-33710
2005-03-09,11150.0,11700.0,1128252.0,12.51,-266900,296290,-104580
2005-03-10,11400.0,11250.0,505931.0,12.03,-74802,86212,-54070
2005-03-11,11400.0,11700.0,542570.0,12.51,-94360,12930,22700
2005-03-14,11800.0,12100.0,1309867.0,12.94,-61690,351700,-337370
2005-03-15,12200.0,11800.0,764554.0,12.62,-214100,262740,-62190
2005-03-16,11900.0,11950.0,523886.0,12.78,-43804,25084,120
2005-03-17,11650.0,11600.0,456815.0,12.4,4030,-110260,129240
2005-03-18,11600.0,11600.0,625191.0,12.4,-42430,-37780,0
2005-03-21,11400.0,11550.0,354724.0,12.35,-50206,27956,2090
2005-03-22,11400.0,11000.0,405103.0,11.76,119465,-48075,-68870
2005-03-23,10950.0,10700.0,1116549.0,11.44,66000,39910,-95830
2005-03-24,10800.0,10500.0,778592.0,11.23,139754,-41894,-329160
2005-03-25,10400.0,10600.0,467246.0,11.33,84336,127904,-237060
2005-03-28,10500.0,11000.0,769851.0,11.76,195711,13829,-200000
2005-03-29,10900.0,10950.0,272991.0,11.71,19119,-27989,1470
2005-03-30,10950.0,11100.0,1870770.0,11.87,218663,-14983,-178260
2005-03-31,11300.0,11500.0,625138.0,12.29,198829,-131269,-73810
2005-04-01,11550.0,11750.0,527440.0,12.56,64430,45650,-21590
2005-04-04,11500.0,11800.0,197290.0,12.62,42202,-18012,-21740
2005-04-06,11800.0,11850.0,221741.0,12.67,-10970,4000,3610
2005-04-07,11900.0,11850.0,97206.0,12.67,-10245,14565,-400
2005-04-08,11900.0,11700.0,287232.0,12.51,121120,-9480,-100
2005-04-11,11600.0,11850.0,195890.0,12.67,-18400,32880,-9070
2005-04-12,11750.0,12100.0,472867.0,12.94,-22010,108100,-87400
2005-04-13,12100.0,12150.0,391235.0,12.99,102900,-92250,1320
2005-04-14,11900.0,11450.0,1066160.0,12.24,124410,-133940,-7220
2005-04-15,11450.0,11700.0,337220.0,12.51,-22100,98510,-57530
2005-04-18,11350.0,11450.0,226319.0,12.24,-97105,85435,3520
2005-04-19,11500.0,11350.0,212178.0,12.13,-8368,-162,-570
2005-04-20,11400.0,11250.0,307090.0,12.03,2890,-18920,17320
2005-04-21,11100.0,11650.0,136950.0,12.45,-51090,50660,170
2005-04-22,11700.0,11650.0,136600.0,12.45,-3090,14950,-13350
2005-04-25,11450.0,11650.0,271410.0,12.45,-25610,34930,-14590
2005-04-26,11700.0,11650.0,144410.0,12.45,-36950,25790,3450
2005-04-27,11450.0,11800.0,239540.0,12.62,-39065,108049,-67824
2005-04-28,11800.0,11950.0,585090.0,12.78,-99070,54720,-63930
2005-04-29,11800.0,11900.0,229227.0,12.72,-58102,69640,-49788
2005-05-02,11900.0,11900.0,269510.0,12.72,1550,13260,8070
2005-05-03,11700.0,11750.0,84865.0,12.56,-24345,15605,3740
2005-05-04,11750.0,11700.0,143400.0,12.51,-5786,34096,20
2005-05-06,11650.0,11700.0,104590.0,12.51,-18790,14080,16690
2005-05-09,11600.0,11500.0,217510.0,12.29,-2200,53590,5560
2005-05-10,11500.0,11250.0,456894.0,12.03,108980,-19310,-176300
2005-05-11,11100.0,11100.0,206113.0,11.87,-19913,49863,-20280
2005-05-12,10900.0,10600.0,733180.0,11.33,74540,156840,-258410
2005-05-13,10600.0,10850.0,503036.0,11.6,102230,84870,-82920
2005-05-16,10850.0,11000.0,580397.0,11.76,95374,91356,-126830
2005-05-17,11150.0,10850.0,462746.0,11.6,-89816,189146,-73840
2005-05-18,10950.0,10950.0,308879.0,11.71,-43960,104980,-21750
2005-05-19,11000.0,11100.0,828473.0,11.87,85037,154853,-339000
2005-05-20,11150.0,11000.0,133298.0,11.76,-38508,29578,11300
2005-05-23,10900.0,11000.0,191038.0,11.76,-68910,126600,-27480
2005-05-24,10950.0,11000.0,144077.0,11.76,-20790,55180,-28870
2005-05-25,10900.0,11000.0,213400.0,11.76,-48290,121410,-7100
2005-05-26,10900.0,11350.0,233956.0,12.13,-62551,25990,30611
2005-05-27,11500.0,11500.0,231090.0,12.29,-62507,91377,-44660
2005-05-30,11450.0,11550.0,258542.0,12.35,510,18252,-11422
2005-05-31,11600.0,11650.0,1087416.0,12.45,5240,-301370,393610
2005-06-01,11650.0,11750.0,332121.0,12.56,-42190,29620,10410
2005-06-02,11850.0,11550.0,295274.0,12.35,13297,-24937,23700
2005-06-03,11450.0,11700.0,469210.0,12.51,-34150,66690,-46240
2005-06-07,11700.0,11550.0,171480.0,12.35,10522,-47922,69260
2005-06-08,11500.0,11750.0,320535.0,12.56,-50234,-10626,48040
2005-06-09,11650.0,11700.0,542989.0,12.51,89286,-67985,-4261
2005-06-10,11650.0,11550.0,291785.0,12.35,83260,-16180,-71780
2005-06-13,11550.0,11400.0,215769.0,12.19,10083,-23568,14195
2005-06-14,11450.0,11500.0,340430.0,12.29,-43040,-75770,106860
2005-06-15,11600.0,11700.0,657792.0,12.51,11768,-64828,29290
2005-06-16,11750.0,11700.0,2759122.0,12.51,2123855,-3334,17439
2005-06-17,11750.0,11700.0,299916.0,12.51,29610,104410,-60300
2005-06-20,12000.0,11900.0,496428.0,12.72,68060,-78360,68910
2005-06-21,12000.0,11800.0,242310.0,12.62,16410,-5090,-20570
2005-06-22,11750.0,11950.0,328650.0,12.78,-59924,121794,-20390
2005-06-23,11950.0,12050.0,417191.0,12.88,31013,27327,-40730
2005-06-24,11900.0,12150.0,325041.0,12.99,-79600,107190,-27270
2005-06-27,12000.0,11650.0,428388.0,12.45,121660,-160480,67980
2005-06-28,11750.0,12200.0,1110665.0,13.04,-64143,155770,-73360
2005-06-29,12250.0,12700.0,806940.0,13.58,-195053,93933,114430
2005-06-30,12750.0,12800.0,346198.0,13.68,-40413,36893,600
2005-07-01,12700.0,12800.0,442404.0,13.68,28173,-50183,-4360
2005-07-04,12900.0,12550.0,383679.0,13.42,88799,-86799,7190
2005-07-05,12600.0,12450.0,181962.0,13.31,-38390,21380,7230
2005-07-06,12600.0,12450.0,201266.0,13.31,-17136,-1574,27140
2005-07-07,12500.0,12600.0,397348.0,13.47,-102289,93059,-330
2005-07-08,12600.0,12500.0,260550.0,13.36,60560,-76660,9000
2005-07-11,12650.0,13000.0,441907.0,13.9,-96169,90629,49480
2005-07-12,13050.0,13250.0,462230.0,14.17,-38749,-85231,164710
2005-07-13,13200.0,13450.0,338521.0,14.38,-122900,62030,55950
2005-07-14,13500.0,13400.0,287483.0,14.33,-49782,17932,60880
2005-07-15,13550.0,13000.0,360980.0,13.9,61646,-30696,16620
2005-07-18,13000.0,13150.0,174364.0,14.06,-32990,27780,13840
2005-07-19,13250.0,13350.0,381621.0,14.27,-16079,-36831,67860
2005-07-20,13250.0,13200.0,441414.0,14.11,67747,-8890,-19150
2005-07-21,13250.0,13000.0,304610.0,13.9,50780,-48700,4600
2005-07-22,12750.0,13100.0,282649.0,14.0,-84919,139011,-39982
2005-07-25,12900.0,13300.0,168960.0,14.22,-34641,34171,3490
2005-07-26,13300.0,13350.0,177960.0,14.27,26072,-31412,12650
2005-07-27,13250.0,13450.0,170310.0,14.38,6580,-13900,4970
2005-07-28,13500.0,13000.0,578166.0,13.9,160196,-52146,-128060
2005-07-29,13000.0,13000.0,622084.0,13.9,-19107,22037,-8980
2005-08-01,12900.0,12900.0,299294.0,13.79,25969,-5979,4520
2005-08-02,12800.0,12950.0,150957.0,13.84,-1850,5200,-290
2005-08-03,12950.0,12800.0,405715.0,13.68,89345,-92915,17340
2005-08-04,12800.0,12700.0,516730.0,13.58,-24651,123060,-99539
2005-08-05,12600.0,12450.0,227985.0,13.31,-16942,48472,-3190
2005-08-08,12500.0,12400.0,216788.0,13.26,-25813,26053,740
2005-08-09,12200.0,12650.0,166965.0,13.52,-34305,39565,-6220
2005-08-10,12650.0,12500.0,236609.0,13.36,49734,-46014,-4340
2005-08-11,12450.0,12800.0,254431.0,13.68,-17209,69728,-55319
2005-08-12,12700.0,12800.0,236350.0,13.68,66700,-23060,-16800
2005-08-16,12800.0,12650.0,244250.0,13.52,27960,-42320,-390
2005-08-17,12400.0,12750.0,139834.0,13.63,-51009,49749,-810
2005-08-18,12650.0,12100.0,422618.0,12.94,254028,-187217,-52331
2005-08-19,12100.0,12350.0,315240.0,13.2,-5810,87680,-43540
2005-08-22,12300.0,12600.0,436408.0,13.47,18257,39393,-68450
2005-08-23,12550.0,12600.0,238980.0,13.47,929,20601,-27770
2005-08-24,12600.0,12400.0,379789.0,13.26,-6440,-11130,89450
2005-08-25,12400.0,12800.0,472680.0,13.68,-111480,209170,-150480
2005-08-26,12700.0,12800.0,238917.0,13.68,-64837,91207,-11350
2005-08-29,12600.0,12500.0,293190.0,13.36,-56160,31410,-12140
2005-08-30,12500.0,12750.0,265967.0,13.63,-47515,71305,-20270
2005-08-31,12700.0,12950.0,416310.0,13.84,-38916,94796,-11510
2005-09-01,12950.0,13350.0,549257.0,14.27,-192265,119365,80970
2005-09-02,13450.0,13650.0,443494.0,14.59,-131596,-56464,191790
2005-09-05,13700.0,13600.0,282895.0,14.54,-97691,90411,20250
2005-09-06,13700.0,13900.0,554818.0,14.86,-87478,55848,14940
2005-09-07,14100.0,14000.0,352822.0,14.97,-67060,42150,17110
2005-09-08,14100.0,13950.0,311080.0,14.91,-48540,63570,31500
2005-09-09,13750.0,14050.0,170505.0,15.02,-86767,64317,13950
2005-09-12,14050.0,14100.0,192070.0,15.07,-40220,35220,540
2005-09-13,14150.0,14050.0,124490.0,15.02,-22790,28710,3650
2005-09-14,13900.0,14200.0,166683.0,15.18,-39582,16532,16550
2005-09-15,14200.0,14150.0,301991.0,15.13,40880,-70740,13180
2005-09-16,14200.0,14500.0,397851.0,15.5,385,-36685,52640
2005-09-20,14750.0,15250.0,659700.0,16.3,-31008,-34662,53640
2005-09-21,15000.0,15200.0,319614.0,16.25,-52856,-18700,46070
2005-09-22,15100.0,15350.0,403382.0,16.41,-7864,-71400,46520
2005-09-23,15200.0,14900.0,490391.0,15.93,-82370,100910,64900
2005-09-26,15100.0,15200.0,329970.0,16.25,-49010,6900,17430
2005-09-27,15200.0,14750.0,1263987.0,15.77,248332,-339472,94710
2005-09-28,14850.0,15050.0,465289.0,16.09,-103267,82260,1130
2005-09-29,15050.0,14850.0,502652.0,15.88,1134,-16564,28400
2005-09-30,15100.0,15450.0,801349.0,16.52,-180589,-81948,257890
2005-10-04,15400.0,15600.0,682720.0,16.68,126269,-108209,-45180
2005-10-05,15550.0,15400.0,368853.0,16.46,-21942,-48818,70690
2005-10-06,15200.0,14900.0,337263.0,15.93,-24034,14424,-14680
2005-10-07,14800.0,15350.0,371700.0,16.41,-158814,84864,13650
2005-10-10,15500.0,15500.0,370512.0,16.57,14703,-53503,21040
2005-10-11,15500.0,15850.0,324108.0,16.95,-34465,21415,21510
2005-10-12,15900.0,15550.0,226337.0,16.62,-29100,11600,1430
2005-10-13,15300.0,15350.0,333671.0,16.41,-16560,35620,-79960
2005-10-14,15600.0,15350.0,383374.0,16.41,-6691,-31359,3250
2005-10-17,15350.0,15500.0,246064.0,16.57,-71020,81260,-7720
2005-10-18,15500.0,16100.0,592294.0,17.21,59942,138228,6540
2005-10-19,16100.0,16000.0,285545.0,17.11,-87760,63210,-28650
2005-10-20,16200.0,16100.0,237000.0,17.21,-30070,58770,-35800
2005-10-21,16100.0,15950.0,330928.0,17.05,45425,10925,-44070
2005-10-24,16000.0,16300.0,143724.0,17.43,-41724,33964,1250
2005-10-25,16350.0,16300.0,259444.0,17.43,-20950,1470,21530
2005-10-26,16200.0,16500.0,203020.0,17.64,-66430,69120,4920
2005-10-27,16600.0,16900.0,313972.0,18.07,-65648,47808,-240
2005-10-28,16550.0,16700.0,284078.0,17.85,35847,-53527,-12220
2005-10-31,16900.0,17100.0,358504.0,18.28,-63430,74630,-4870
2005-11-01,16950.0,17000.0,283697.0,18.17,23862,19899,-29830
2005-11-02,16950.0,17350.0,195002.0,18.55,-3524,-36016,32670
2005-11-03,17350.0,17350.0,266563.0,18.55,78093,-96453,-12560
2005-11-04,17400.0,16900.0,383094.0,18.07,166979,-69019,-68450
2005-11-07,17050.0,16500.0,307811.0,17.64,82436,-88216,9150
2005-11-08,16600.0,17000.0,413680.0,18.17,-7816,-20004,23120
2005-11-09,17100.0,17300.0,468520.0,18.5,-26350,23340,-26380
2005-11-10,17200.0,18200.0,665072.0,19.46,-102424,74254,-16080
2005-11-11,18350.0,18400.0,438005.0,19.67,-29950,17055,27710
2005-11-14,18050.0,18600.0,348704.0,19.88,34576,-27380,-6316
2005-11-15,18250.0,18650.0,556940.0,19.94,60430,-41640,-19470
2005-11-16,18350.0,19100.0,453170.0,20.42,25190,840,-29990
2005-11-17,18950.0,19150.0,124838.0,20.47,39820,-19380,-23680
2005-11-18,19000.0,18850.0,187321.0,20.15,63073,-29262,-25920
2005-11-21,18800.0,19100.0,250017.0,20.42,-60157,-17293,-20970
2005-11-22,19000.0,19000.0,203312.0,20.31,35162,-65157,13050
2005-11-23,18600.0,19300.0,281524.0,20.63,8905,100435,-109600
2005-11-24,19350.0,19000.0,378447.0,20.31,203309,-46119,-158000
2005-11-25,19050.0,19600.0,229228.0,20.95,-12421,10171,-610
2005-11-28,19600.0,19250.0,266604.0,20.58,101213,-43123,-60440
2005-11-29,19350.0,19150.0,190490.0,20.47,25956,-34906,-8360
2005-11-30,19300.0,19300.0,206461.0,20.63,-2410,39700,-16770
2005-12-01,19200.0,19900.0,199607.0,21.28,-8946,-32934,73020
2005-12-02,20000.0,20550.0,361790.0,21.97,-90960,-36930,129330
2005-12-05,20600.0,20550.0,277222.0,21.97,52084,-29503,26363
2005-12-06,20650.0,20150.0,328012.0,21.54,191943,-69883,-120740
2005-12-07,20000.0,19450.0,507246.0,20.79,216324,-324894,108140
2005-12-08,19550.0,19800.0,374720.0,21.17,97710,-32330,-27380
2005-12-09,19800.0,20000.0,306645.0,21.38,-41930,43550,-2760
2005-12-12,19650.0,19900.0,200417.0,21.28,16677,10933,2430
2005-12-13,19850.0,19950.0,245220.0,21.33,52310,-48060,3270
2005-12-14,19950.0,19900.0,292410.0,21.28,72745,-48875,-12920
2005-12-15,20150.0,19950.0,455230.0,21.33,-4956,6006,4180
2005-12-16,19800.0,19750.0,499381.0,21.11,-98472,-61858,167960
2005-12-19,19500.0,19700.0,631845.0,21.06,213,12907,11640
2005-12-20,19550.0,19000.0,777209.0,20.31,172130,-137300,6010
2005-12-21,19000.0,18800.0,702956.0,20.1,80037,-126487,40670
2005-12-22,18900.0,18500.0,569788.0,19.78,88680,-150010,29040
2005-12-23,18600.0,19650.0,1282361.0,21.01,-287959,333669,25430
2005-12-26,20200.0,21400.0,2233817.0,22.88,526543,-39747,19150
2005-12-27,21700.0,21250.0,1085634.0,22.72,-108801,-93236,33750
2005-12-28,21150.0,23100.0,847340.0,24.7,-287980,211150,9670
2005-12-29,23000.0,23350.0,678716.0,24.96,-94070,-28530,1590
2006-01-02,23100.0,22700.0,597570.0,16.66,-60385,-11485,-2630
2006-01-03,23000.0,23300.0,633653.0,17.1,-34997,-7573,23710
2006-01-04,23000.0,23000.0,515189.0,16.88,-44904,23234,50210
2006-01-05,23850.0,23550.0,504893.0,17.28,-91523,28793,-18030
2006-01-06,23550.0,24500.0,477784.0,17.98,-37519,9479,17950
2006-01-09,25150.0,24500.0,426837.0,17.98,-54375,41525,-8210
2006-01-10,24700.0,24700.0,502750.0,18.13,-113430,81410,-22350
2006-01-11,24250.0,25050.0,1285012.0,18.38,7802,295078,-338050
2006-01-12,24050.0,24500.0,630722.0,17.98,-21762,184422,-175910
