Symbol,미래에셋대우_시가(원),미래에셋대우_종가(원),미래에셋대우_거래량(주),미래에셋대우_PER(IFRS-연결),미래에셋대우_순매수수량(개인)(주),미래에셋대우_순매수수량(기관계)(주),미래에셋대우_순매수수량(외국인계)(주)
2000-01-04,12900,14700,1542810,6.97,-20820,-11910,1640
2000-01-05,14000,13800,2894840,6.54,832650,-74360,-859290
2000-01-06,14000,12700,1573760,6.02,79530,-197030,119970
2000-01-07,13100,12700,1729660,6.02,45110,-39230,-30580
2000-01-10,13000,12500,1384090,5.93,74360,8940,-85350
2000-01-11,12300,12800,1692940,6.07,41410,-21560,4600
2000-01-12,12500,12200,1141620,5.78,23350,-43070,1120
2000-01-13,12050,12200,1510710,5.78,163710,-5950,-139480
2000-01-14,12200,11300,1745380,5.36,257950,-47190,-208770
2000-01-17,11500,11100,2195290,5.26,275270,-284810,9540
2000-01-18,11300,10650,2363580,5.05,30270,-53420,-1730
2000-01-19,10350,9440,2263490,4.48,35680,-78720,29270
2000-01-20,9250,8900,2190320,4.22,185890,-215150,29260
2000-01-21,8610,8410,2965120,3.99,856640,-302340,-553980
2000-01-24,8700,8810,3884110,4.18,257750,-72980,-175560
2000-01-25,8500,8950,2075670,4.24,-171300,-67800,191100
2000-01-26,9490,10250,2229810,4.86,36780,1490,1230
2000-01-27,11350,11750,4875210,5.57,-344850,-104060,388450
2000-01-28,12400,12500,6760150,5.93,58000,-70070,73410
2000-01-31,11700,13250,6089780,6.28,22420,-24280,-37740
2000-02-01,13850,13200,3680030,6.26,42380,-20180,-21000
2000-02-02,13100,14000,4229480,6.64,-279580,15460,206120
2000-02-03,14100,14050,2311750,6.66,102410,-3330,-52080
2000-02-07,13700,13050,3922140,6.19,471820,-17340,-402660
2000-02-08,12700,12400,3957920,5.88,65520,55390,-126790
2000-02-09,12500,12350,2372720,5.85,-71020,-24480,102800
2000-02-10,12750,13800,5336370,6.54,-122480,-197540,313300
2000-02-11,14000,12600,2822920,5.97,97550,-155230,65280
2000-02-14,12000,13000,3164750,6.16,-342660,25000,306060
2000-02-15,13000,12050,2654300,5.71,487950,69510,-556960
2000-02-16,12400,12100,1723560,5.74,-240690,9710,230090
2000-02-17,11900,12300,1873310,5.83,-163310,14950,143060
2000-02-18,11400,11600,2552640,5.5,-5660,-207920,213880
2000-02-21,11100,12250,2646120,5.81,-748780,1940,746830
2000-02-22,11600,11500,1983930,5.45,-76520,74380,2260
2000-02-23,12400,12800,4462660,6.07,143350,-132400,-48000
2000-02-24,12200,11900,2361290,5.64,-141030,-24550,165490
2000-02-25,12100,12100,2401960,5.74,-637770,4100,623500
2000-02-28,11500,12300,1699390,5.83,-522190,50850,487650
2000-02-29,12700,11900,1535560,5.64,19850,15370,-34970
2000-03-02,11400,11850,3720310,5.62,502590,-384720,-117870
2000-03-03,11850,11100,2658480,5.26,538210,-70400,-465660
2000-03-06,11100,11150,2975960,5.29,74360,-106030,29560
2000-03-07,10800,10700,1688810,5.07,22040,-10550,-12040
2000-03-08,10400,10700,3512870,5.07,197680,-67220,-130280
2000-03-09,10700,10100,2407090,4.79,310510,-156370,-146080
2000-03-10,10200,9800,2201030,4.65,23350,-5370,-18000
2000-03-13,9800,9070,2349020,4.3,52410,-32050,-19320
2000-03-14,8520,9050,2255900,4.29,-71460,22300,49960
2000-03-15,9050,8750,1389010,4.15,8960,-380,-8220
2000-03-16,8890,8730,1446830,4.14,-151250,124900,24080
2000-03-17,8500,8490,2134060,4.45,115890,-119650,3200
2000-03-20,8310,8130,1241030,4.26,-51540,28710,20690
2000-03-21,8250,7740,1236600,4.05,-80060,52020,15930
2000-03-22,7750,7580,2842160,3.97,2370,-22100,19110
2000-03-23,7400,7020,3048800,3.68,146820,-169130,14660
2000-03-24,7100,6850,2176540,3.59,26370,-90,-26280
2000-03-27,6680,7490,5969130,3.92,517940,-459070,-3370
2000-03-28,7100,7040,1924120,3.69,-90400,29320,60950
2000-03-29,6820,6100,1947840,3.2,184870,-72040,-104990
2000-03-30,5800,6300,1938650,3.3,107360,-86410,-28700
2000-03-31,5980,5980,1032830,3.13,9010,-16040,6910
2000-04-03,5800,5500,1055120,,-40450,28790,8150
2000-04-04,5600,5790,1358990,,-137340,111500,15210
2000-04-06,5590,5580,728190,,-12700,-4940,16940
2000-04-07,5500,5340,3048340,,1067550,-5430,-1127020
2000-04-10,5210,5400,5294850,,630660,-71460,-506040
2000-04-11,5590,5370,3219640,,12660,-12700,-1240
2000-04-12,5560,5490,4664050,,587680,-595370,-7510
2000-04-14,5410,5610,4299140,,85530,-130230,10930
2000-04-17,5020,4850,2590480,,-82320,500710,-382630
2000-04-18,5050,4945,2032130,,101440,-106070,4930
2000-04-19,4950,4760,2005460,,114480,54960,-157050
2000-04-20,4590,4325,2345080,,608700,-58800,-562850
2000-04-21,4360,4325,2318950,,11600,-9250,-1300
2000-04-24,4325,4530,3929100,,217980,28750,-242340
2000-04-25,4480,4295,1775000,,101740,15200,-116940
2000-04-26,4315,3710,1987060,,124000,-10590,-129660
2000-04-27,3710,3770,3266060,,402280,87570,-489850
2000-04-28,3820,4335,3639390,,121860,-111240,-10470
2000-05-02,4595,4610,5116310,,-15500,-62470,73350
2000-05-03,4700,5300,4070480,,-32990,56800,10390
2000-05-04,5580,5830,7476370,,34750,-15590,2530
2000-05-08,5690,5020,4310880,,26950,430,-28440
2000-05-09,5000,4525,3359510,,-18090,-740,850
2000-05-10,4360,4260,2751960,,68970,41980,-131090
2000-05-12,4100,4330,3075160,,243170,6700,-254670
2000-05-15,4200,3800,1675630,,22220,12720,-35700
2000-05-16,3900,3950,2024520,,22640,-5380,-16700
2000-05-17,3900,3460,1586810,,-71050,-3830,64880
2000-05-18,3500,3610,2195260,,56100,18900,-70250
2000-05-19,3510,3100,3627760,,1858440,-20220,-1838220
2000-05-22,3120,3100,2890860,,-84320,99880,-1400
2000-05-23,3060,3295,3826300,,-331050,295180,35300
2000-05-24,3300,3785,3214100,,13910,66470,-70000
2000-05-25,3995,4350,2236840,,82520,-53250,-10070
2000-05-26,4150,3700,5724480,,-162080,156650,5600
2000-05-29,3700,4255,5636630,,-11170,27740,-16870
2000-05-30,4500,4200,7319270,,43460,-82750,48890
2000-05-31,4300,4650,8935170,,-14020,109300,-95380
2000-06-01,4500,4350,4207650,,84010,-58010,-32800
2000-06-02,4600,4580,5977990,,146330,-192280,51450
2000-06-05,4890,5260,7032980,,44100,-41580,-12000
2000-06-07,5300,5430,6697420,,413180,-409910,4010
2000-06-08,5450,5200,6044410,,93640,-48340,-26220
2000-06-09,5050,5050,4394440,,-26430,10760,-1110
2000-06-12,4900,5070,2606240,,-191590,192410,-430
2000-06-13,5070,5000,3979320,,-43690,33860,12410
2000-06-14,5050,4690,2056980,,-88930,2660,86110
2000-06-15,4700,4300,2541760,,283630,-18880,-266940
2000-06-16,4140,4180,2660140,,-33320,28000,5360
2000-06-19,4300,4050,2203840,,-45970,36300,-10
2000-06-20,4130,4655,5552560,,2230,8170,0
2000-06-21,4710,4600,8866080,,12830,-43120,11940
2000-06-22,4800,4630,3916180,,-12320,15750,19720
2000-06-23,4550,4700,2459230,,2560,2390,-4850
2000-06-26,4850,4760,2154000,,-57080,52490,330
2000-06-27,4760,5100,5230590,,-50600,44840,-2120
2000-06-28,5100,5300,7463590,,-304730,241440,14570
2000-06-29,5330,5200,3080590,,9760,-48330,-8980
2000-06-30,5280,5980,8381300,,-280420,301320,68200
2000-07-03,6480,6870,13221010,,421300,-373150,8670
2000-07-04,6970,6530,14247320,,101920,-47190,-8520
2000-07-05,6600,7500,15422140,,100260,32950,250
2000-07-06,7700,8000,20390320,,-210200,250750,-4700
2000-07-07,8000,8200,11326110,,-258910,-57450,335710
2000-07-10,8310,9430,14514350,,-60860,71340,-9990
2000-07-11,9700,9800,22150610,,-51510,-174100,21670
2000-07-12,10300,10000,13226690,,223300,9220,-66660
2000-07-13,9710,9980,8200160,,47520,-22070,-58860
2000-07-14,10150,8950,9484970,,152220,-154760,-36340
2000-07-18,8500,8070,10250210,,6210,-88410,49230
2000-07-19,8170,9280,21283530,,-35520,-3610,63080
2000-07-20,9500,8950,24218570,,-69510,61480,32010
2000-07-21,9200,9500,19479440,,-109370,45260,-5300
2000-07-24,9300,8300,10463610,,-172330,134180,22680
2000-07-25,8100,8500,13391210,,-212930,179890,33240
2000-07-26,8610,8100,8303640,,269180,-273130,12510
2000-07-27,7900,7800,6314430,,-7330,4430,-3100
2000-07-28,7600,7700,8892400,,-712770,387850,44020
2000-07-31,7900,8210,7369550,,-144160,272460,24960
2000-08-01,8390,8300,8364810,,-151520,-101500,314650
2000-08-02,8440,8350,6406200,,-154540,149020,2750
2000-08-03,8400,8400,7457780,,102510,-82260,-5620
2000-08-04,8300,8000,5876490,,189450,-31430,-180920
2000-08-07,7700,7270,5749460,,-169420,91340,43800
2000-08-08,7320,7100,4162130,,7600,3570,1970
2000-08-09,7260,7700,6659130,,-190450,159550,20420
2000-08-10,7700,7920,5862770,,-78260,53990,27680
2000-08-11,7800,8220,9159150,,-507300,507280,4160
2000-08-14,9000,8710,8136970,,63980,-62340,20550
2000-08-16,8700,8700,4574810,,-309460,291760,9930
2000-08-17,8590,8850,8728660,,-418810,375330,-8540
2000-08-18,9000,9100,7933350,,170730,-104830,37240
2000-08-21,9100,9190,7379030,,225000,-223330,40
2000-08-22,9300,9240,6771110,,85890,-151290,41610
2000-08-23,9250,8580,5788460,,283070,-231070,-4510
2000-08-24,8500,8560,5084720,,-84400,43460,3840
2000-08-25,8600,8460,3811200,,-67200,105090,-8780
2000-08-28,8400,8470,3476430,,-99040,77460,15480
2000-08-29,8630,8570,3424870,,-228910,219000,-1710
2000-08-30,8480,8410,2013190,,15340,54280,-67160
2000-08-31,8510,8060,2507910,,31340,-32330,14720
2000-09-01,8070,8120,2043460,,-65900,58340,0
2000-09-04,8100,7910,1715350,,1530,2530,-30
2000-09-05,7820,8280,1940320,,-138320,110920,19380
2000-09-06,8350,8270,2747480,,-236750,268550,-35280
2000-09-07,8210,8060,1851150,,54350,-28160,-28170
2000-09-08,8200,8500,4989110,,-231620,265450,-28890
2000-09-14,8480,9770,8900800,,389090,-192900,-114040
2000-09-15,9740,8770,16001770,,1590,-73560,-108710
2000-09-18,8000,7700,6798300,,-141080,107280,21290
2000-09-19,7710,7810,7737250,,267170,-104370,-179860
2000-09-20,8000,8210,5393000,,173260,18590,-225140
2000-09-21,8000,7890,6475500,,-25750,-31860,-29040
2000-09-22,7790,7790,4838220,,-567710,386830,185510
2000-09-25,8100,8950,11485280,,-115790,133170,10550
2000-09-26,8910,8750,9972640,,-252530,89900,13480
2000-09-27,8660,8870,5161400,,165990,-170080,790
2000-09-28,9010,8750,5038470,,221420,-197020,-1320
2000-09-29,9050,8810,5723420,,-61490,-4940,33620
2000-10-02,8500,8520,2952680,,4090,10170,-13110
2000-10-04,8010,8500,4817590,,23750,52260,-12130
2000-10-05,8600,8840,6804920,,108670,-254420,91420
2000-10-06,8650,8700,5173640,,101550,-11180,3660
2000-10-09,8950,8520,3748040,,-82570,-65450,148240
2000-10-10,8610,8770,4024770,,-14000,27940,-8360
2000-10-11,8520,8310,3865640,,-25260,121350,1650
2000-10-12,8110,8100,2581700,,56150,15630,-74380
2000-10-13,7500,7800,3383590,,-283960,283820,-4110
2000-10-16,8500,8080,3376340,,-39450,34190,5310
2000-10-17,7850,7100,2481280,,-136930,120630,13910
2000-10-18,7000,7450,4856340,,-76190,52500,14150
2000-10-19,7310,7240,2503240,,92190,-2920,-85860
2000-10-20,7510,7400,8347700,,821750,262450,-1140780
2000-10-23,7500,6800,3065260,,331420,24700,-331850
2000-10-24,6770,6680,5186730,,305140,-216450,-96150
2000-10-25,6750,6400,3346520,,384650,-204890,-175480
2000-10-26,6130,5950,3650480,,339410,-296930,1490
2000-10-27,5900,6160,7988010,,-158050,72560,14820
2000-10-30,6250,6160,4586060,,114580,-25730,-13280
2000-10-31,6010,5910,3887440,,64130,-55570,5550
2000-11-01,6110,6440,7800110,,-184780,126250,16980
2000-11-02,6350,6500,6367710,,-146170,234490,-37070
2000-11-03,6660,6490,4861280,,-224550,240010,-22280
2000-11-06,6490,6400,3156020,,-176320,120410,32190
2000-11-07,6250,6080,3130070,,318180,-316000,3620
2000-11-08,6080,5930,3010020,,96950,-81740,-6210
2000-11-09,5930,6150,3802120,,-26230,58020,-2610
2000-11-10,6160,6340,4865470,,-23320,24410,-5620
2000-11-13,6250,5970,2198700,,101340,-103250,7700
2000-11-14,6020,6120,1635540,,-27350,20330,4640
2000-11-15,6300,6050,2541670,,-277450,250330,-7880
2000-11-16,6050,6040,1211500,,-60770,71610,-10900
2000-11-17,5970,6000,1456640,,133160,-110930,-2170
2000-11-20,5900,5800,1378620,,-11950,-20580,-9860
2000-11-21,5620,5550,2530650,,369210,-338980,-8400
2000-11-22,5450,5230,2199490,,69970,-40750,0
2000-11-23,5050,4820,2736720,,-204650,252190,-2080
2000-11-24,4850,5200,3693110,,34130,-37900,3000
2000-11-27,5380,5470,2747680,,-256530,151640,107040
2000-11-28,5400,5300,3728430,,20410,-13440,-770
2000-11-29,5110,5030,1648890,,70860,-61920,4530
2000-11-30,5150,5050,1981330,,111380,-96720,-12970
2000-12-01,4710,5000,2334550,,-163730,143180,15380
2000-12-04,5100,4850,1719740,,-44480,45030,170
2000-12-05,4860,4910,1789920,,-130030,130090,-1310
2000-12-06,5200,5160,6007630,,-753200,425560,328560
2000-12-07,5200,5530,7526520,,-847920,833860,21710
2000-12-08,5600,5670,6078630,,-818070,837670,-23000
2000-12-11,5850,5850,3791710,,13740,84970,7680
2000-12-12,5860,5610,2685230,,-200910,254060,21890
2000-12-13,5610,5850,2638930,,-223620,233120,-4490
2000-12-14,5730,6010,3465840,,548740,-580490,41840
2000-12-15,5920,5910,3270180,,-538000,-54620,584940
2000-12-18,5840,5950,1918090,,-113060,112640,7100
2000-12-19,6050,5850,4651410,,-322240,312090,8090
2000-12-20,5750,5310,2329430,,163720,-68690,-92090
2000-12-21,5000,5350,2447330,,-3950,19570,-980
2000-12-22,5460,5130,2982340,,-154530,156950,0
2000-12-26,5230,5100,1689420,,-45850,61580,-4090
2001-01-02,5210,5860,3512830,,-33540,-48600,69280
2001-01-03,5760,6150,6820790,,-550090,411770,55000
2001-01-04,7000,7070,6990080,,-643250,879940,35840
2001-01-05,7000,7950,14652150,,-725190,602920,-11880
2001-01-08,7800,7850,10303570,,1446460,204780,-1699590
2001-01-09,7850,7950,8599490,,300720,192770,-500330
2001-01-10,7660,6760,8263220,,405900,-244040,21460
2001-01-11,7000,7770,9582220,,684140,-594700,-143210
2001-01-12,8050,7800,17638010,,-1096760,839040,259580
2001-01-15,8100,7950,9399020,,-91980,9700,137760
2001-01-16,7890,8700,17315400,,-739780,497960,349330
2001-01-17,8780,8260,9851290,,147660,-155970,27910
2001-01-18,8370,8350,12661000,,-150920,59140,-8260
2001-01-19,8650,8540,5717850,,-144490,-145770,240130
2001-01-22,8600,8910,6906890,,-56200,38090,4100
2001-01-26,8900,8300,5076850,,167970,-232600,4500
2001-01-29,8210,8210,5484900,,61360,-32510,-500
2001-01-30,8250,8060,4175970,,136930,-212410,49030
2001-01-31,8000,8930,8363230,,-865540,148220,726740
2001-02-01,8520,8480,6025330,,-227120,224330,-20640
2001-02-02,8700,8420,3104800,,-61280,49420,22400
2001-02-05,8010,7690,2934980,,115150,-106380,-6090
2001-02-06,7620,7850,3067000,,-194120,100020,93950
2001-02-07,7740,7680,2065610,,30510,960,-14890
2001-02-08,7800,8000,3818960,,-74800,71030,5600
2001-02-09,7900,8370,7378150,,-156150,218570,-32810
2001-02-12,8300,8600,4965380,,-1356600,352460,1073330
2001-02-13,8800,9050,8618940,,-1397310,112670,1053590
2001-02-14,8990,9130,5700790,,-847960,93970,614250
2001-02-15,9150,9060,6156390,,49690,-254830,259970
2001-02-16,9110,9120,5865080,,-896170,96650,606260
2001-02-19,9120,9430,4719910,,-273990,-87150,358500
2001-02-20,9850,10800,16096930,,-497560,-466930,1072500
2001-02-21,11050,10450,15507870,,155940,-21890,-360590
2001-02-22,10300,10800,8921820,,-586900,623330,-28470
2001-02-23,10700,10200,4552720,,-97070,43560,38390
2001-02-26,10250,10600,7304090,,88780,-114600,9920
2001-02-27,11100,10350,6382810,,83610,-61750,-40610
2001-02-28,10300,10600,3610950,,-303400,336170,-5950
2001-03-02,10300,9050,6581170,,1162460,236540,-1328700
2001-03-05,8560,8950,4433180,,68060,-42720,-42720
2001-03-06,9050,8880,5935740,,262080,-87830,-120410
2001-03-07,9000,9090,7771370,,19070,-18800,-45960
2001-03-08,9500,9500,5324300,,-45110,145050,-95470
2001-03-09,9400,9520,4618840,,-381970,159620,191650
2001-03-12,9330,8850,2833080,,102130,-111620,-11740
2001-03-13,8050,8000,4275850,,335110,44200,-391990
2001-03-14,8500,8700,6151640,,114330,1980,-27540
2001-03-15,8000,8600,6021720,,737320,-111380,-632710
2001-03-16,8600,8530,3715110,,-458440,50660,431340
2001-03-19,8250,8470,2202950,,-28320,39060,-14720
2001-03-20,8790,8390,2595190,,130050,-106140,14150
2001-03-21,8000,8080,2640850,,-36290,24270,15570
2001-03-22,8180,8180,6421450,,142170,-346350,17110
2001-03-23,8100,8150,2469090,,-69640,51660,-39230
2001-03-26,8500,8360,2671170,,140070,-52430,5870
2001-03-27,8280,7970,1977430,,18860,-36310,9190
2001-03-28,8110,7490,3182080,,800060,-664290,-2520
2001-03-29,7300,7360,1952680,,119810,-145260,12950
2001-03-30,7250,7200,2294760,,-14410,-50930,22810
2001-04-02,7020,6900,1714430,18.35,44330,-39420,-26910
2001-04-03,6720,6850,2980730,18.21,251340,-39390,-167960
2001-04-04,6700,6810,5867760,18.11,100910,-38750,-90120
2001-04-06,7490,7020,3489860,18.66,117320,-142560,4980
2001-04-09,6990,6750,1428320,17.95,-140490,75210,-14550
2001-04-10,6820,6570,1396560,17.47,37020,-38270,5510
2001-04-11,6790,6920,3162620,18.4,137240,-122220,11250
2001-04-12,7020,7130,3864190,18.96,-140690,139740,-7650
2001-04-13,7300,7150,2055250,19.01,-74910,138550,-24760
2001-04-16,7100,7040,1504270,18.72,-383810,406230,-23190
2001-04-17,6970,7210,2057410,19.17,-75460,56080,10440
2001-04-18,7370,8220,5860520,21.86,-520090,335840,24410
2001-04-19,8900,8750,8774620,23.27,364370,-138480,1680
2001-04-20,8750,8720,4158850,23.18,-693720,474300,220160
2001-04-23,8800,8980,5131620,23.88,-275110,252320,-780
2001-04-24,8700,8850,3186030,23.53,173060,-230570,95500
2001-04-25,8840,9100,4701740,24.2,-412800,443660,-76530
2001-04-26,9200,8870,2694590,23.58,-536020,538270,-11640
2001-04-27,8870,8650,1612120,23,-153810,191730,-40480
2001-04-30,8820,9030,2862300,24.01,58490,-107500,-2240
2001-05-02,9300,9030,4058670,24.01,-44990,125630,-33530
2001-05-03,9030,9190,3592070,24.44,345800,-153960,-196660
2001-05-04,9060,9200,3272940,24.46,189340,398680,-598860
2001-05-07,9900,10550,11091490,28.05,604860,-594090,61000
2001-05-08,10550,10150,11746400,26.99,-729700,343050,133280
2001-05-09,10100,9750,3926040,25.92,-181790,135050,-36520
2001-05-10,9860,9860,4764080,26.22,388890,-428770,44310
2001-05-11,9700,9900,2668350,26.32,76340,-147220,94500
2001-05-14,9950,9750,1981390,25.92,-50520,15040,-9980
2001-05-15,9600,9700,3191720,25.79,-11550,35180,-29440
2001-05-16,9650,9050,3243340,24.06,309200,-238680,-109090
2001-05-17,9680,9590,3641950,25.5,125360,-123770,67240
2001-05-18,9540,10150,11060770,26.99,-1127390,-250600,1303700
2001-05-21,10600,10750,9240310,28.58,-265680,-157980,415240
2001-05-22,10900,11150,18526560,29.65,-1896000,492710,1777800
2001-05-23,11450,11500,6282400,30.58,-429750,-102580,453880
2001-05-24,11200,11800,4487870,31.38,-98550,92080,-45570
2001-05-25,11800,11400,4615580,30.31,178820,-303880,116800
2001-05-28,11200.0,10850.0,3352840.0,28.85,376490,-307340,3000
2001-05-29,10950.0,11450.0,3463660.0,30.44,318370,-256090,68650
2001-05-30,11300.0,12000.0,4085490.0,31.91,69330,-66860,-3260
2001-05-31,11400.0,11450.0,3824860.0,30.44,344540,-161830,-162810
2001-06-01,11600.0,10900.0,3509220.0,28.98,-71700,76330,-13260
2001-06-04,10700.0,10700.0,2040270.0,28.45,109010,-98430,2520
2001-06-05,10700.0,10000.0,3166140.0,26.59,39920,-231290,209320
2001-06-07,9820.0,10350.0,2627670.0,27.52,-71720,-24880,72420
2001-06-08,10500.0,10800.0,3432360.0,28.72,-282460,297950,7050
2001-06-11,10450.0,10250.0,1584800.0,27.25,92100,-107230,7890
2001-06-12,10100.0,10250.0,1825190.0,27.25,246170,-54150,-243620
2001-06-13,10450.0,10450.0,1422810.0,27.78,150690,-108450,-76310
2001-06-14,10300.0,10550.0,2426630.0,28.05,258990,-133650,-15630
2001-06-15,10300.0,10800.0,2042730.0,28.72,35690,22540,-77650
2001-06-18,10800.0,10350.0,1559620.0,27.52,335700,-328970,0
2001-06-19,10200.0,10150.0,1730490.0,26.99,-52200,36300,-3260
2001-06-20,10000.0,9780.0,2419340.0,26.0,131310,-81470,-35570
2001-06-21,9850.0,9710.0,1600570.0,25.82,171050,-74410,-91510
2001-06-22,9700.0,9670.0,2277230.0,25.71,359880,-520830,149180
2001-06-25,9510.0,9570.0,1551280.0,25.44,165230,-167640,-7710
2001-06-26,9710.0,9560.0,2259940.0,25.42,52490,-34580,9780
2001-06-27,9480.0,9460.0,1802000.0,25.15,-9180,-75030,49740
2001-06-28,9460.0,9080.0,1819130.0,24.14,149050,-149690,-53910
2001-06-29,9310.0,9310.0,1562060.0,24.75,-43230,-18700,67650
2001-07-02,9210.0,9220.0,1179720.0,24.52,-21020,-38090,70010
2001-07-03,9230.0,9150.0,1005020.0,24.33,-57200,28700,24730
2001-07-04,9100.0,9490.0,1703460.0,25.23,211590,-266200,-11950
2001-07-05,9450.0,9210.0,1743210.0,24.49,32250,-26690,0
2001-07-06,9180.0,8780.0,1855330.0,23.35,290860,-62490,-167060
2001-07-09,8400.0,8050.0,2427630.0,21.4,335740,-243140,18070
2001-07-10,8100.0,8120.0,2157100.0,21.59,355760,-363100,7850
2001-07-11,7650.0,7890.0,2041550.0,20.98,224600,-355910,68870
2001-07-12,8110.0,8500.0,2929260.0,22.6,365980,-254540,-64780
2001-07-13,8800.0,8000.0,5084350.0,21.27,214210,-172150,1150
2001-07-16,8100.0,7990.0,1453690.0,21.24,282290,5670,-281680
2001-07-18,7850.0,7540.0,2228870.0,20.05,491700,-304810,-172620
2001-07-19,7400.0,7600.0,2321580.0,20.21,117670,-1890,-114600
2001-07-20,7500.0,7400.0,1519520.0,19.67,29480,-117340,99380
2001-07-23,7310.0,7060.0,1514500.0,18.77,94880,-28780,32210
2001-07-24,7060.0,7260.0,3676420.0,19.3,1073760,-167300,-899900
2001-07-25,7030.0,7030.0,2963250.0,18.69,564620,-107480,-321620
2001-07-26,7210.0,7310.0,3807390.0,19.44,58690,-56690,-83000
2001-07-27,7600.0,7600.0,2880960.0,20.21,-159150,53100,162250
2001-07-30,7700.0,7440.0,2477010.0,19.78,252400,-231660,-11880
2001-07-31,7460.0,7680.0,1460710.0,20.42,-26040,26370,6200
2001-08-01,7750.0,8590.0,6157170.0,22.84,40970,15060,-51400
2001-08-02,8600.0,8610.0,6855120.0,22.89,-661320,639530,8460
2001-08-03,8650.0,8530.0,2313250.0,22.68,54410,-64100,-10450
2001-08-06,8450.0,8680.0,2597260.0,23.08,-152110,169500,0
2001-08-07,8530.0,9150.0,5030690.0,24.33,-83960,58790,-4000
2001-08-08,9120.0,9050.0,4214600.0,24.06,87990,-104430,15990
2001-08-09,8790.0,8570.0,3651180.0,22.79,174680,-133770,3000
2001-08-10,8620.0,8620.0,2190590.0,22.92,53200,-37420,-8120
2001-08-13,8660.0,8720.0,2047970.0,23.18,250350,-262620,5530
2001-08-14,8800.0,9400.0,7929350.0,24.99,-49920,104420,-10500
2001-08-16,9260.0,9500.0,5767520.0,25.26,-588560,243010,343280
2001-08-17,9680.0,9510.0,4210950.0,25.29,195170,-51790,-202970
2001-08-20,9200.0,9100.0,3608630.0,24.2,196800,-199050,22380
2001-08-21,9300.0,9000.0,5742010.0,23.93,1126900,37680,-1158330
2001-08-22,8760.0,9320.0,5814470.0,24.78,124340,4960,-140400
2001-08-23,9550.0,9330.0,7063830.0,24.81,-2018410,317780,1778020
2001-08-24,9440.0,9790.0,9813940.0,26.03,-983790,-706490,1770990
2001-08-27,10000.0,9690.0,5530040.0,25.76,-788400,44730,743430
2001-08-28,9590.0,9700.0,2686390.0,25.79,55750,-60060,-230
2001-08-29,9450.0,9080.0,3442540.0,24.14,-40890,41690,-13850
2001-08-30,8800.0,9000.0,4042270.0,23.93,142660,-63640,-63700
2001-08-31,8600.0,7990.0,4324230.0,21.24,728920,-265890,-476390
2001-09-03,8010.0,7800.0,3369380.0,20.74,853340,-337920,-516310
2001-09-04,7800.0,8450.0,5086770.0,22.47,158620,-174810,11860
2001-09-05,8150.0,8240.0,3913900.0,21.91,-19800,-89750,102590
2001-09-06,8390.0,8290.0,2611920.0,22.04,57530,-43860,-13350
2001-09-07,8200.0,8560.0,3685530.0,22.76,-367950,-23720,402880
2001-09-10,8400.0,8330.0,1965710.0,22.15,215210,-61470,-167460
2001-09-11,8430.0,8070.0,2148020.0,21.46,48460,-19460,-30000
2001-09-12,6860.0,6860.0,6027070.0,18.24,-387860,348300,9210
2001-09-13,6990.0,7190.0,8329470.0,19.12,92340,114960,-20260
2001-09-14,7050.0,6700.0,4733930.0,17.81,-275570,211250,59260
2001-09-17,6600.0,6000.0,4123670.0,15.95,379250,18830,-43770
2001-09-18,6550.0,6820.0,5931660.0,18.13,472720,-298340,-184880
2001-09-19,6820.0,6660.0,5701240.0,17.71,252740,-141260,-95890
2001-09-20,6600.0,6520.0,2646650.0,17.34,111870,-110080,-8850
2001-09-21,6300.0,6580.0,2991880.0,17.49,1550,-15520,-6240
2001-09-24,6630.0,6900.0,3779000.0,18.35,-130690,147280,-20100
2001-09-25,7300.0,6630.0,5278150.0,17.63,162740,-160070,-1830
2001-09-26,6800.0,6720.0,2024020.0,17.87,34220,-44140,-1510
2001-09-27,6710.0,6810.0,1815790.0,18.11,21570,-11130,-14040
2001-09-28,6830.0,7040.0,3578560.0,18.72,62120,-122390,83160
2001-10-04,7500.0,7470.0,5081430.0,19.86,55780,49420,-126500
2001-10-05,7310.0,7370.0,2624470.0,19.6,-107410,136110,-22230
2001-10-08,7280.0,7280.0,3034840.0,19.36,-76770,71430,-1000
2001-10-09,7350.0,7430.0,5489220.0,19.75,1275150,42130,-1338180
2001-10-10,7350.0,7100.0,5276310.0,18.88,1953930,408210,-2350110
2001-10-11,7350.0,7160.0,6414100.0,19.04,1565770,164180,-1746590
2001-10-12,7300.0,7200.0,3391010.0,19.14,-256050,261250,-1350
2001-10-15,7100.0,7130.0,2613750.0,18.96,229920,-221740,90
2001-10-16,7200.0,7440.0,8388460.0,19.78,572410,-602170,-14220
2001-10-17,7520.0,7480.0,5124530.0,19.89,-225200,162840,-35840
2001-10-18,7290.0,7200.0,2785680.0,19.14,-61820,83860,-72140
2001-10-19,7260.0,7350.0,2739280.0,19.54,-361680,-183910,557060
2001-10-22,7400.0,7360.0,1703260.0,19.57,-84820,54250,7600
2001-10-23,7410.0,7260.0,2771200.0,19.3,48310,-79890,19610
2001-10-24,7210.0,7540.0,4610570.0,20.05,-155670,-381350,552350
2001-10-25,7650.0,7600.0,6753870.0,20.21,138780,-402270,100600
2001-10-26,7650.0,7600.0,3268890.0,20.21,-612110,572460,18260
