Symbol,현대엘리베이_시가(원),현대엘리베이_종가(원),현대엘리베이_거래량(주),현대엘리베이_PER(IFRS-연결),현대엘리베이_순매수수량(개인)(주),현대엘리베이_순매수수량(기관계)(주),현대엘리베이_순매수수량(외국인계)(주)
2000-01-04,20100,22200,56090,5.74,790,110,-1080
2000-01-05,22200,22600,73620,5.84,-680,-1090,1970
2000-01-06,22500,21300,49020,5.51,4610,-1970,0
2000-01-07,21400,20600,42320,5.33,60,1820,320
2000-01-10,21350,21350,46750,5.52,-2860,880,1830
2000-01-11,21000,22500,70320,5.82,-16340,19140,60
2000-01-12,21150,21400,41160,5.53,-4120,4120,0
2000-01-13,20900,21000,47790,5.43,-5810,8380,-2770
2000-01-14,21050,20600,84590,5.33,19890,-20130,240
2000-01-17,20400,20300,87480,5.25,24960,-25560,600
2000-01-18,20000,18300,195840,4.73,83760,-83320,-440
2000-01-19,18900,17900,130610,4.63,3860,-2620,-690
2000-01-20,17100,17800,107470,4.6,-32550,32350,200
2000-01-21,16500,17000,72210,4.39,1020,-1850,-630
2000-01-24,16500,16950,102700,4.38,5470,-1470,-20
2000-01-25,16600,16150,72150,4.17,-1170,1170,0
2000-01-26,16200,16200,85290,4.19,12800,-12600,-100
2000-01-27,16600,17800,173740,4.6,4950,-4270,-660
2000-01-28,18000,17600,66360,4.55,4030,-4130,180
2000-01-31,17100,17800,79760,4.6,1610,-1200,-410
2000-02-01,18400,17800,61030,4.6,-2520,550,-30
2000-02-02,17800,19100,111400,4.94,1050,950,0
2000-02-03,19850,19900,296480,5.14,41790,-41790,0
2000-02-07,20100,20300,175500,5.25,11730,-12430,690
2000-02-08,20300,19300,79330,4.99,-980,-630,610
2000-02-09,18800,18000,103470,4.65,-9810,8810,0
2000-02-10,18000,20000,247650,5.17,-32160,35770,-1610
2000-02-11,20100,21200,223210,5.48,-31140,31300,-200
2000-02-14,20200,20700,159940,5.35,-82430,32070,360
2000-02-15,20500,19850,75150,5.13,-48150,47790,360
2000-02-16,19500,20700,105100,5.35,-62110,56010,120
2000-02-17,20300,21600,109580,5.58,-58170,52140,240
2000-02-18,22200,21700,375120,5.61,-72620,134780,-208810
2000-02-21,21200,20300,73830,5.25,-37970,35700,-240
2000-02-22,19500,20000,312170,5.17,-28890,26590,-237390
2000-02-23,19550,19900,83950,5.14,4080,-1450,-200
2000-02-24,19200,18750,45030,4.85,-40,90,-50
2000-02-25,18800,18600,69310,4.81,-14520,-5490,0
2000-02-28,18000,17300,54360,4.47,-2390,1670,720
2000-02-29,17550,17900,44520,4.63,-1830,-1050,-120
2000-03-02,18100,18150,80060,4.69,-4050,1630,2300
2000-03-03,18250,18200,76710,4.7,-21900,4220,-360
2000-03-06,18200,19100,208100,4.94,6740,68250,-123820
2000-03-07,19500,18900,154500,4.89,-7120,49430,-92260
2000-03-08,19000,18600,96470,4.81,-20750,29950,-32660
2000-03-09,18900,15850,82270,4.1,16590,3870,-21390
2000-03-10,18200,18200,56540,4.7,10360,-360,0
2000-03-13,19200,18300,217590,4.73,78400,1900,-81340
2000-03-14,18000,18000,166280,4.65,-6990,57190,-50200
2000-03-15,17700,17900,68420,4.63,-31830,32620,-350
2000-03-16,18000,17700,69390,4.58,-39980,9380,480
2000-03-17,17800,17600,114290,4.55,-22150,-28570,720
2000-03-20,17700,18100,142810,4.68,21440,-71840,400
2000-03-21,18000,17400,49970,4.5,-11110,870,0
2000-03-22,17500,17500,105840,4.52,-1110,-48890,0
2000-03-23,17600,17000,94780,4.39,-4230,-45490,-160
2000-03-24,17400,16900,100620,4.37,-20740,-29260,0
2000-03-27,17000,16950,96290,4.38,5430,-55530,100
2000-03-28,17050,16800,54790,4.34,4830,-15190,360
2000-03-29,16450,16150,152200,4.17,33870,36090,40
2000-03-30,16250,15850,181600,4.1,9630,42570,0
2000-03-31,15950,16000,69440,4.14,3440,-13400,-40
2000-04-03,15650,15700,132430,4.06,800,-74760,80
2000-04-04,16000,14600,124630,3.77,51580,-61810,90
2000-04-06,14600,14000,42580,3.62,9850,-9850,0
2000-04-07,14000,14000,49700,3.62,10550,-6050,0
2000-04-10,14300,14950,86820,3.86,2030,-2240,260
2000-04-11,14900,14100,28340,3.64,-610,400,210
2000-04-12,14300,14400,38320,3.72,1600,-1600,0
2000-04-14,14050,14000,22840,3.62,-240,310,0
2000-04-17,13000,11900,46900,3.08,-3520,3100,420
2000-04-18,12500,12200,48780,3.15,9950,-9900,0
2000-04-19,12500,12600,123830,3.26,40150,-34110,-40
2000-04-20,12600,12350,69080,3.19,20920,-20410,-510
2000-04-21,12350,12650,195690,3.27,85990,-99560,-100
2000-04-24,13700,12500,246030,3.23,88950,-73950,0
2000-04-25,12500,11650,137070,3.01,39580,-39160,-500
2000-04-26,11950,10350,238390,2.68,4400,350,0
2000-04-27,10400,10000,160700,2.59,19780,-12900,120
2000-04-28,10100,10100,117670,2.61,4510,-5220,720
2000-05-02,9650,10000,87940,2.59,6350,-6040,-240
2000-05-03,10100,10200,87770,2.64,21970,-17370,-600
2000-05-04,10250,10350,92180,2.68,5100,-4910,-190
2000-05-08,10500,10350,99060,2.68,30300,-30060,-180
2000-05-09,10300,10100,67040,2.61,6150,-5930,-220
2000-05-10,10300,10400,229080,2.69,3720,-26900,-2030
2000-05-12,10700,10200,100860,2.64,7120,-6210,-17070
2000-05-15,10050,9700,62210,2.51,370,-120,-250
2000-05-16,9330,9400,48270,2.43,70,50,-120
2000-05-17,9310,8050,88070,2.08,17010,-16750,-260
2000-05-18,7550,7500,45410,1.94,-180,280,-100
2000-05-19,7100,7390,49530,1.91,16610,0,-16610
2000-05-22,7120,7060,89470,1.82,10530,-350,-10180
2000-05-23,7050,6720,82550,1.74,29620,-30180,560
2000-05-24,6700,7400,106270,1.91,540,-540,0
2000-05-25,7800,8510,127410,2.2,960,-960,0
2000-05-26,8520,7240,225420,1.87,15440,-16010,570
2000-05-29,6230,7000,203140,1.81,36360,-36200,-160
2000-05-30,7500,8000,274510,2.07,47460,-47230,-230
2000-05-31,8350,9200,340760,2.38,49990,-42870,-9420
2000-06-01,10550,10550,101880,2.73,4010,-460,-1250
2000-06-02,12100,12100,36980,3.13,5040,-3040,0
2000-06-05,13900,13900,15210,3.59,-70,-430,500
2000-06-07,15950,15950,880210,4.12,9150,-10140,7090
2000-06-08,15900,14150,604860,3.66,6870,-350,-70
2000-06-09,14500,13300,391250,3.44,29940,-29660,0
2000-06-12,14250,15250,452140,3.94,-2300,-590,0
2000-06-13,15200,13800,255970,3.57,-310,360,0
2000-06-14,13200,14000,226670,3.62,170,-200,0
2000-06-15,14600,12200,153730,3.15,240,-240,0
2000-06-16,11500,12000,200820,3.1,-130,130,0
2000-06-19,11550,11650,115960,3.01,-800,830,0
2000-06-20,11800,13350,103450,3.45,490,-490,0
2000-06-21,14450,13800,325430,3.57,10140,-490,0
2000-06-22,13700,13800,199730,3.57,-140,140,0
2000-06-23,14000,14000,98280,3.62,100,-100,0
2000-06-26,14200,15300,586890,3.95,-7580,8180,-600
2000-06-27,15550,15100,253810,3.9,540,-540,0
2000-06-28,15350,14600,197100,3.77,-3740,2740,1000
2000-06-29,14000,13700,226720,3.54,210,-210,0
2000-06-30,13300,13900,162520,3.59,-2050,700,1350
2000-07-03,14000,14050,102880,3.63,-790,790,0
2000-07-04,14300,13700,182990,3.54,25110,-25110,0
2000-07-05,13400,13500,109710,3.49,1330,-1330,0
2000-07-06,13100,13550,110440,3.5,-1110,1040,0
2000-07-07,13500,13700,148050,3.54,-1740,1520,200
2000-07-10,15750,15750,158270,4.07,8220,-8200,0
2000-07-11,16500,14000,667170,3.62,4660,-5540,200
2000-07-12,14200,14500,313720,3.75,-630,1080,-100
2000-07-13,14500,14050,133470,3.63,21620,-21580,0
2000-07-14,13750,14300,414660,3.7,72700,-72670,0
2000-07-18,14050,13900,132400,3.59,-250,550,0
2000-07-19,13150,12900,139980,3.33,-880,700,180
2000-07-20,12600,12700,109300,3.28,-2770,2590,180
2000-07-21,13000,13000,180830,3.36,1100,-1080,0
2000-07-24,12600,11500,116870,2.97,-1970,1830,170
2000-07-25,11150,12000,126850,3.1,-3350,2340,1010
2000-07-26,11900,12000,101020,3.1,1600,-1600,0
2000-07-27,11800,12800,298900,3.31,-1520,1520,0
2000-07-28,12800,12700,138320,3.28,-13490,12200,1290
2000-07-31,12650,13100,100000,3.39,-38110,37600,510
2000-08-01,13200,13150,107500,3.4,-7980,7480,500
2000-08-02,13400,13550,141600,3.5,-1210,890,320
2000-08-03,14000,13700,122110,3.54,2190,-2000,-190
2000-08-04,13700,13400,69370,3.46,1240,-730,-510
2000-08-07,12500,12350,80780,3.19,-3900,4000,-100
2000-08-08,12150,11900,45080,3.08,-70,10,60
2000-08-09,12300,12600,81300,3.26,-1280,890,390
2000-08-10,12500,13200,117960,3.41,-12690,8640,4050
2000-08-11,13000,12900,58190,3.33,2430,-2430,0
2000-08-14,14000,13200,93700,3.41,-390,330,60
2000-08-16,12500,12850,56850,3.32,-1260,900,360
2000-08-17,12900,12900,63550,3.33,990,-990,0
2000-08-18,13050,13700,337490,3.54,-34450,33860,0
2000-08-21,14200,13950,388160,3.61,-19550,19550,0
2000-08-22,13800,13950,114900,3.61,-19590,19410,180
2000-08-23,14200,13700,154620,3.54,4640,-4700,60
2000-08-24,13550,13800,77750,3.57,-3420,3180,240
2000-08-25,13800,13700,77910,3.54,-2800,2800,0
2000-08-28,13700,14200,138350,3.67,-15950,6650,-700
2000-08-29,14200,13850,72420,3.58,1150,-1150,0
2000-08-30,13750,13400,96850,3.46,1370,-1370,0
2000-08-31,13200,12500,107860,3.23,2410,-2210,-200
2000-09-01,12500,12700,64790,3.28,-5690,690,-1000
2000-09-04,12500,12100,70130,3.13,1280,-1280,0
2000-09-05,12100,12400,53980,3.21,-1940,1940,0
2000-09-06,12000,12350,35290,3.19,-620,450,150
2000-09-07,12000,11950,46490,3.09,1510,-1490,0
2000-09-08,11950,12000,64660,3.1,100,8480,-120
2000-09-14,11800,11800,42350,3.05,7740,-4310,-2430
2000-09-15,11700,11700,64130,3.02,3550,-890,-2710
2000-09-18,11200,10100,87890,2.61,-9770,9620,150
2000-09-19,9600,10100,62640,2.61,-4060,4110,0
2000-09-20,10350,10450,53450,2.7,2000,-1940,-60
2000-09-21,10800,10050,64480,2.6,-70,650,-580
2000-09-22,9950,9100,49180,2.35,-5510,5930,-420
2000-09-25,9000,9300,33470,2.4,-180,180,0
2000-09-26,9100,9110,47250,2.35,-90,420,-330
2000-09-27,9050,9640,62150,2.49,-590,590,0
2000-09-28,9700,9320,39750,2.41,900,-650,-250
2000-09-29,9430,9450,42420,2.44,1490,-690,-800
2000-10-02,9300,9290,23290,2.4,110,-110,0
2000-10-04,9100,9200,36970,2.38,-4810,4810,0
2000-10-05,9480,9400,50070,2.43,-4640,4640,0
2000-10-06,9450,9250,33360,2.39,-10070,6070,0
2000-10-09,9250,9150,40570,2.37,-3010,4550,0
2000-10-10,8900,9000,30700,2.33,1810,240,0
2000-10-11,9000,8620,36420,2.23,-1100,1050,0
2000-10-12,8470,8200,39420,2.12,3190,-1310,-1800
2000-10-13,7520,7610,53000,1.97,2710,1210,0
2000-10-16,8300,8050,40740,2.08,1120,-1120,0
2000-10-17,8000,7650,47310,1.98,-11360,11360,0
2000-10-18,7000,8200,144250,2.12,-9780,9780,0
2000-10-19,7700,7930,60300,2.05,-3640,3640,0
2000-10-20,8010,8060,63100,2.08,-790,430,350
2000-10-23,8100,7740,32850,2,730,-720,0
2000-10-24,7500,7990,36760,2.07,-430,430,0
2000-10-25,7800,7890,27910,2.04,730,-730,0
2000-10-26,7810,7890,30640,2.04,-4980,4980,0
2000-10-27,7820,7750,27110,2,-4010,3640,360
2000-10-30,7750,7110,41880,1.84,410,-410,0
2000-10-31,7000,6510,53210,1.68,-1070,1070,0
2000-11-01,6600,7170,74620,1.85,330,-390,60
2000-11-02,7170,7500,78450,1.94,-110,110,0
2000-11-03,7610,7570,69080,1.96,7340,-340,-7000
2000-11-06,7210,7700,199460,1.99,-1330,1390,0
2000-11-07,7700,7400,61300,1.91,1000,-1000,0
2000-11-08,7110,7160,59730,1.85,1120,-1120,0
2000-11-09,6800,7180,79470,1.86,2080,-120,-1960
2000-11-10,7200,7120,48020,1.84,-20,30,0
2000-11-13,7030,7030,53170,1.82,880,-880,0
2000-11-14,7320,8080,131840,2.09,3960,-20,0
2000-11-15,8700,8200,273560,2.12,-550,550,0
2000-11-16,8300,8350,135860,2.16,-8660,8660,0
2000-11-17,8400,8200,91070,2.12,-25620,25620,0
2000-11-20,8210,8230,122890,2.13,-8210,8210,0
2000-11-21,8110,7750,78110,2,-22770,21070,-300
2000-11-22,7480,7580,38130,1.96,-10290,10290,0
2000-11-23,7320,7150,50670,1.85,-2800,200,0
2000-11-24,7020,7170,19320,1.85,-580,580,0
2000-11-27,7250,7470,42430,1.93,-400,400,0
2000-11-28,7310,7250,28190,1.87,320,-320,0
2000-11-29,7200,7150,13740,1.85,530,-530,0
2000-11-30,7200,7000,22950,1.81,210,-150,-60
2000-12-01,6900,7100,23760,1.84,-9260,9250,10
2000-12-04,7440,6960,25810,1.8,80,-80,0
2000-12-05,6850,6980,14840,1.8,-1140,1140,0
2000-12-06,7100,6980,44340,1.8,-7210,6610,600
2000-12-07,6810,6950,11440,1.8,740,-740,0
2000-12-08,6810,6940,20940,1.79,-430,430,0
2000-12-11,6860,6910,31030,1.79,-1360,1300,60
2000-12-12,7050,6910,17480,1.79,640,-640,0
2000-12-13,6950,6990,29960,1.81,11360,-11360,0
2000-12-14,7020,6950,33900,1.8,1200,-3920,2720
2000-12-15,6950,6900,20720,1.78,1790,-1280,-510
2000-12-18,6850,6800,36040,1.76,-520,520,0
2000-12-19,6660,6590,31490,1.7,140,-40,-100
2000-12-20,6380,5990,41300,1.55,-140,240,0
2000-12-21,5890,6000,49900,1.55,-340,370,-30
2000-12-22,5990,5650,1283170,1.46,-940,940,0
2000-12-26,5700,6000,38230,1.55,-790,790,0
2001-01-02,5500,6220,40970,3.31,870,-870,0
2001-01-03,6270,6160,29200,3.28,1360,-1330,-30
2001-01-04,6500,7080,95250,3.76,-400,420,-20
2001-01-05,8100,8140,306900,4.33,9960,-5330,-30
2001-01-08,8140,7740,161240,4.12,-5450,5450,0
2001-01-09,7510,7600,106120,4.04,-720,720,0
2001-01-10,7500,7090,141410,3.77,-8020,8020,0
2001-01-11,7090,7150,75830,3.8,2920,-3140,220
2001-01-12,7440,7400,109290,3.94,5650,-6210,560
2001-01-15,7400,7750,99980,4.12,230,-230,0
2001-01-16,8000,8120,268400,4.32,55990,-58990,0
2001-01-17,8120,7660,95300,4.07,-9410,9410,0
2001-01-18,7800,7790,60050,4.14,-5080,5080,0
2001-01-19,7660,7870,46330,4.19,-2730,2730,0
2001-01-22,8300,8020,106430,4.26,31550,-31550,0
2001-01-26,8020,7710,52160,4.1,-12650,12650,0
2001-01-29,7530,7900,54030,4.2,4700,-4700,0
2001-01-30,8000,7820,60510,4.16,-940,940,0
2001-01-31,7710,8000,46400,4.25,-7170,7170,0
2001-02-01,7820,7910,41380,4.21,6740,-6800,60
2001-02-02,7850,8080,61020,4.3,8200,-8200,0
2001-02-05,8000,7910,60390,4.21,640,-640,0
2001-02-06,7900,7830,19850,4.16,-520,520,0
2001-02-07,8000,7790,25600,4.14,-2580,2580,0
2001-02-08,7800,7810,23820,4.15,-470,360,110
2001-02-09,7820,7780,38250,4.14,-2130,2130,0
2001-02-12,7450,7650,38070,4.07,-3250,3250,0
2001-02-13,7650,7680,32090,4.08,-430,410,20
2001-02-14,7610,7650,31710,4.07,-1000,940,60
2001-02-15,7550,7610,37180,4.05,640,-640,0
2001-02-16,7610,7570,25900,4.03,510,-510,0
2001-02-19,7570,7600,24720,4.04,710,-530,-180
2001-02-20,7460,7850,30660,4.17,-420,420,0
2001-02-21,7950,7890,42270,4.2,7850,-7850,0
2001-02-22,8100,7710,26540,4.1,1800,-1910,110
2001-02-23,7560,7800,20470,4.15,-570,420,150
2001-02-26,7900,8290,81720,4.41,130,-130,0
2001-02-27,8450,8400,165160,4.47,290,-290,0
2001-02-28,8490,9060,143790,4.82,-4550,4550,0
2001-03-02,9230,8550,126410,4.55,400,-430,30
2001-03-05,8120,7750,108930,4.12,-70,60,10
2001-03-06,7800,7710,54250,4.1,270,-270,0
2001-03-07,7650,7600,64730,4.04,270,-260,-10
2001-03-08,8400,7850,37940,4.17,3840,-910,-2930
2001-03-09,7410,7850,31450,4.17,1110,-300,-810
2001-03-12,7690,7810,54330,4.15,320,-60,-260
2001-03-13,7600,7500,29040,3.99,150,-150,0
2001-03-14,7420,7600,34850,4.04,-40,40,0
2001-03-15,7450,7350,32250,3.91,-130,130,0
2001-03-16,7300,7440,20780,3.96,20,-20,0
2001-03-19,7410,7320,16910,3.89,10,-10,0
2001-03-20,7300,7410,20870,3.94,40,-10,-70
2001-03-21,7260,7350,29370,3.91,-690,480,60
2001-03-22,7550,8450,136260,4.49,420,-420,0
2001-03-23,8450,8500,226230,4.52,2260,700,0
2001-03-26,8650,8200,87670,4.36,220,-200,-20
2001-03-27,8310,8120,79860,4.32,200,-200,0
2001-03-28,8700,9330,205900,4.96,-240,-90,0
2001-03-29,9900,10000,1268040,5.32,97890,-100470,2000
2001-03-30,9790,8850,373130,4.71,-58050,54990,1000
2001-04-02,9040,8600,125110,4.57,1360,-360,-1000
2001-04-03,8150,8090,152170,4.3,-1280,1370,0
2001-04-04,8100,8220,286220,4.37,180,1160,-500
2001-04-06,8500,8300,1326800,4.41,551220,688590,1960
2001-04-09,8550,8300,514840,4.41,2370,-416870,-1000
2001-04-10,8350,7900,89360,4.2,-2060,560,1500
2001-04-11,7850,7690,81050,4.09,-520,-400,1000
2001-04-12,7600,7690,56220,4.09,1910,-1650,-80
2001-04-13,7750,7980,77830,4.24,2520,-520,-2000
2001-04-16,7910,7730,53720,4.11,1660,-160,-1500
2001-04-17,7630,7700,60950,4.09,-10,10,0
2001-04-18,7840,7800,90210,4.15,-140,110,0
2001-04-19,8020,7950,124450,4.23,1610,-80,-1500
2001-04-20,7880,7790,59460,4.14,-660,570,0
2001-04-23,7630,7630,52600,4.06,-930,480,300
2001-04-24,7630,7860,176150,4.18,-10,310,-300
2001-04-25,7900,7750,59110,4.12,-1450,1330,0
2001-04-26,7800,7820,46210,4.16,380,-380,0
2001-04-27,7820,7750,28600,4.12,1670,-1670,0
2001-04-30,7750,7800,42950,4.15,-390,390,0
2001-05-02,7850,8250,158450,4.39,450,-450,0
2001-05-03,8250,8030,56030,4.27,830,-830,0
2001-05-04,8030,8120,72040,4.32,-140,140,0
2001-05-07,8010,8080,37980,4.3,-880,880,0
2001-05-08,8130,8140,47590,4.33,240,-210,0
2001-05-09,8160,8400,177330,4.47,-9660,9750,0
2001-05-10,8500,8490,92970,4.52,-1870,2110,0
2001-05-11,8480,8490,55700,4.52,-13030,15350,0
2001-05-14,8800,8900,113200,4.73,350,-350,0
2001-05-15,8900,9150,207720,4.87,40370,-40370,0
2001-05-16,9010,8900,173630,4.73,80060,-80060,0
2001-05-17,8990,8830,106260,4.7,-7180,7180,0
2001-05-18,8800,8910,94340,4.74,-27770,26470,0
2001-05-21,9000,8850,156020,4.71,66860,-66860,0
2001-05-22,8870,8890,61240,4.73,1610,-310,0
2001-05-23,8830,8700,70480,4.63,-310,250,0
2001-05-24,8600,8800,132840,4.68,-17670,17580,0
2001-05-25,8900,8900,59790,4.73,-1530,1320,0
2001-05-28,8900.0,9130.0,85810.0,4.86,-450,290,0
2001-05-29,9250.0,9110.0,178260.0,4.84,37120,-37370,0
2001-05-30,9200.0,10450.0,467620.0,5.56,26860,-3950,3120
2001-05-31,10500.0,10800.0,665320.0,5.74,33910,-12260,-1960
2001-06-01,10900.0,10800.0,464100.0,5.74,8420,-6940,20
2001-06-04,10800.0,11700.0,341250.0,6.22,-6990,7590,-200
2001-06-05,11750.0,11400.0,350090.0,6.06,10160,3380,440
2001-06-07,11300.0,10500.0,179560.0,5.58,3380,-3750,0
2001-06-08,10500.0,10500.0,183650.0,5.58,1210,-1210,0
2001-06-11,11000.0,10700.0,266030.0,5.69,15840,-3000,0
2001-06-12,10300.0,10700.0,121540.0,5.69,550,-550,0
2001-06-13,10800.0,10700.0,94030.0,5.69,-12780,13340,0
2001-06-14,10850.0,11700.0,479830.0,6.22,25320,-12550,880
2001-06-15,11850.0,13450.0,577860.0,7.15,11960,5090,0
2001-06-18,13800.0,13300.0,663620.0,7.07,9640,-11540,30
2001-06-19,13400.0,13850.0,658090.0,7.37,6840,-4400,-500
2001-06-20,14000.0,13650.0,345110.0,7.26,25160,-25210,-10
2001-06-21,13850.0,13400.0,220690.0,7.13,-470,-1090,0
2001-06-22,13200.0,12700.0,253380.0,6.75,-3840,2140,0
2001-06-25,12500.0,14600.0,456380.0,7.76,1760,-2010,100
2001-06-26,15000.0,14200.0,878490.0,7.55,-5570,290,0
2001-06-27,14300.0,14350.0,331330.0,7.63,-690,390,90
2001-06-28,14400.0,14050.0,258850.0,7.47,-280,150,0
2001-06-29,14050.0,13600.0,186850.0,7.23,-470,0,0
2001-07-02,13650.0,13800.0,207070.0,7.34,80,-230,50
2001-07-03,14150.0,13600.0,181630.0,7.23,-10,70,0
2001-07-04,13400.0,13400.0,178830.0,7.13,-380,440,0
2001-07-05,13300.0,13450.0,150350.0,7.15,280,-280,0
2001-07-06,13200.0,12500.0,133530.0,6.65,-820,-180,0
2001-07-09,11800.0,11100.0,200260.0,5.9,-840,290,0
2001-07-10,11200.0,11150.0,151910.0,5.93,-40,90,-50
2001-07-11,11000.0,10750.0,146930.0,5.72,40,-40,0
2001-07-12,10900.0,11800.0,223470.0,6.28,2940,-1470,-90
2001-07-13,12000.0,10700.0,157040.0,5.69,1370,-380,0
2001-07-16,11200.0,10900.0,117490.0,5.8,130,-130,0
2001-07-18,10900.0,10300.0,101600.0,5.48,250,-250,0
2001-07-19,9700.0,9790.0,128290.0,5.21,-240,180,60
2001-07-20,9650.0,9550.0,82250.0,5.08,650,-630,0
2001-07-23,9610.0,8590.0,138020.0,4.57,-420,120,300
2001-07-24,8420.0,9200.0,160780.0,4.89,-520,230,290
2001-07-25,8650.0,8810.0,108810.0,4.68,480,-480,0
2001-07-26,9200.0,9100.0,70050.0,4.84,880,-880,0
2001-07-27,9400.0,9300.0,87250.0,4.95,280,-280,0
2001-07-30,9300.0,9150.0,63280.0,4.87,390,-330,-60
2001-07-31,9210.0,9410.0,34970.0,5.0,-50,50,0
2001-08-01,9790.0,9900.0,105100.0,5.26,50,-50,0
2001-08-02,9940.0,9800.0,96900.0,5.21,-560,60,0
2001-08-03,9800.0,9950.0,60350.0,5.29,460,-70,-350
2001-08-06,9900.0,9870.0,57590.0,5.25,-180,140,0
2001-08-07,9870.0,9700.0,68220.0,5.16,-430,-30,0
2001-08-08,9510.0,10350.0,249580.0,5.5,790,-90,0
2001-08-09,10200.0,10450.0,198260.0,5.56,330,-180,0
2001-08-10,10550.0,10300.0,68350.0,5.48,0,0,0
2001-08-13,10450.0,10500.0,110450.0,5.58,220,-70,0
2001-08-14,10500.0,10650.0,97220.0,5.66,-3260,260,0
2001-08-16,10400.0,10350.0,75170.0,5.5,290,-290,0
2001-08-17,10350.0,10150.0,77250.0,5.4,0,0,0
2001-08-20,9800.0,9780.0,48480.0,5.2,220,-20,0
2001-08-21,9810.0,10100.0,78670.0,5.37,-60,60,0
2001-08-22,9960.0,9900.0,50370.0,5.26,-1750,1730,0
2001-08-23,10050.0,9600.0,64450.0,5.11,-570,570,0
2001-08-24,9500.0,9100.0,144350.0,4.84,-110,110,0
2001-08-27,8650.0,8900.0,116680.0,4.73,1790,-1790,0
2001-08-28,8900.0,9250.0,101340.0,4.92,360,-360,0
2001-08-29,8970.0,8700.0,90000.0,4.63,2130,2810,0
2001-08-30,8370.0,8900.0,56110.0,4.73,-890,-110,0
2001-08-31,8210.0,8310.0,55370.0,4.42,-1000,0,0
2001-09-03,8210.0,8010.0,31560.0,4.26,-160,160,0
2001-09-04,8020.0,8400.0,46650.0,4.47,10,-120,100
2001-09-05,8500.0,8320.0,28940.0,4.42,380,-80,-300
2001-09-06,8500.0,8460.0,38630.0,4.5,-90,90,0
2001-09-07,8460.0,8700.0,64440.0,4.63,20,-60,40
2001-09-10,8310.0,8410.0,28550.0,4.47,-240,-40,280
2001-09-11,8500.0,8210.0,25390.0,4.37,-290,40,250
2001-09-12,6980.0,6980.0,98170.0,3.71,-4360,2200,140
2001-09-13,6980.0,7140.0,133010.0,3.8,2170,-1950,-220
2001-09-14,7120.0,6170.0,85600.0,3.28,1520,-3150,-360
2001-09-17,6180.0,5770.0,72640.0,3.07,1760,240,0
2001-09-18,5930.0,6630.0,71220.0,3.53,270,-270,0
2001-09-19,6730.0,6850.0,71050.0,3.64,-100,110,0
2001-09-20,6530.0,6670.0,48200.0,3.55,130,-90,-30
2001-09-21,6510.0,6670.0,45770.0,3.55,160,-160,0
2001-09-24,6670.0,6860.0,35140.0,3.65,-120,120,0
2001-09-25,7200.0,6580.0,49520.0,3.5,50,-50,0
2001-09-26,6580.0,6630.0,19710.0,3.53,120,-120,0
2001-09-27,6630.0,6790.0,28360.0,3.61,-70,70,0
2001-09-28,6950.0,7000.0,36980.0,3.72,-100,100,0
2001-10-04,7300.0,7400.0,57800.0,3.94,-420,420,0
2001-10-05,7400.0,7280.0,33580.0,3.87,-2980,2980,0
2001-10-08,7130.0,7030.0,29540.0,3.74,-420,420,0
2001-10-09,6940.0,7250.0,39940.0,3.86,-680,680,0
2001-10-10,7050.0,7250.0,45530.0,3.86,-120,120,0
2001-10-11,7600.0,7250.0,52270.0,3.86,-560,560,0
2001-10-12,7600.0,7350.0,48010.0,3.91,2800,-800,0
2001-10-15,7250.0,7380.0,26270.0,3.92,50,-50,0
2001-10-16,7400.0,7550.0,50110.0,4.01,-170,170,0
2001-10-17,7690.0,7590.0,40120.0,4.04,580,-580,0
2001-10-18,7300.0,7480.0,29540.0,3.98,-2600,0,0
2001-10-19,7220.0,7480.0,28510.0,3.98,-140,140,0
2001-10-22,7480.0,7650.0,26020.0,4.07,700,-110,-180
2001-10-23,7710.0,6510.0,38550.0,3.46,700,300,0
2001-10-24,7480.0,7480.0,60630.0,3.98,160,-160,0
2001-10-25,7700.0,7740.0,171710.0,4.12,1230,-40,0
2001-10-26,7900.0,7730.0,53770.0,4.11,80,-80,0
2001-10-29,7610.0,7550.0,37590.0,4.01,100,-100,0
2001-10-30,7300.0,7270.0,40530.0,3.87,0,0,0
2001-10-31,7160.0,7280.0,27670.0,3.87,-220,220,0
2001-11-01,7500.0,7360.0,31920.0,3.91,180,-180,0
2001-11-02,7370.0,7440.0,36390.0,3.96,2660,340,0
2001-11-05,7450.0,7480.0,28460.0,3.98,-240,240,0
2001-11-06,7510.0,7590.0,52780.0,4.04,-840,840,0
2001-11-07,7580.0,7720.0,59570.0,4.11,-2330,-370,0
2001-11-08,7800.0,7800.0,45100.0,4.15,-690,690,0
2001-11-09,8000.0,8330.0,164270.0,4.43,2960,-250,0
2001-11-12,8400.0,8610.0,76070.0,4.58,70,-70,0
2001-11-13,8510.0,8300.0,61460.0,4.41,-490,490,0
2001-11-14,8300.0,8530.0,64430.0,4.54,80,-80,0
2001-11-15,8400.0,8200.0,63900.0,4.36,-310,310,0
2001-11-16,8000.0,8080.0,77430.0,4.3,-650,650,0
2001-11-19,8030.0,8210.0,57920.0,4.37,-1540,1410,90
2001-11-20,8400.0,8110.0,58350.0,4.31,170,230,60
2001-11-21,8010.0,8400.0,157090.0,4.47,-1280,1760,120
2001-11-22,8410.0,9100.0,148270.0,4.84,-19300,23300,0
