Symbol,S-Oil_시가(원),S-Oil_종가(원),S-Oil_거래량(주),S-Oil_PER(IFRS-연결),S-Oil_순매수수량(개인)(주),S-Oil_순매수수량(기관계)(주),S-Oil_순매수수량(외국인계)(주)
2000-01-04,26000,25450,269400,5.02,51660,-52590,-1140
2000-01-05,24650,22600,329270,4.46,177220,-30450,-140260
2000-01-06,23500,21000,253970,4.15,122540,-120020,2440
2000-01-07,20900,22700,298000,4.48,-12270,-87770,100040
2000-01-10,24000,23750,232490,4.69,-79080,-61480,139530
2000-01-11,23750,22900,303060,4.52,-10740,66730,-57670
2000-01-12,23200,22500,187230,4.44,58320,-14790,-43530
2000-01-13,23000,20300,188480,4.01,98230,-110190,10610
2000-01-14,21900,21500,112940,4.24,10770,-31630,20860
2000-01-17,21300,21650,82280,4.27,5180,-10610,5430
2000-01-18,21150,21000,176630,4.15,77040,-77300,260
2000-01-19,20500,19800,220860,3.91,50700,26420,-70870
2000-01-20,19800,18500,153450,3.65,14910,33140,-45690
2000-01-21,18500,18050,188300,3.56,60610,-34650,-23090
2000-01-24,18100,18050,169110,3.56,16580,3590,-20170
2000-01-25,18000,17200,127960,3.4,46850,-50610,760
2000-01-26,16700,16500,415950,3.26,119040,20860,-139900
2000-01-27,16200,17200,184950,3.4,23890,-12600,-11050
2000-01-28,17700,17300,245060,3.41,15240,-55400,41120
2000-01-31,17100,18200,185340,3.59,-23910,-25230,47870
2000-02-01,18700,19500,343260,3.85,-37220,-80380,117740
2000-02-02,19900,21500,197580,4.24,-64550,19090,45120
2000-02-03,21500,21500,163760,4.24,-9020,28900,-19880
2000-02-07,21500,20250,255280,4,107870,-102260,-6830
2000-02-08,20300,19600,93380,3.87,-3920,16700,-13000
2000-02-09,19600,19400,98880,3.83,25450,-1590,-21220
2000-02-10,18500,18000,164250,3.55,51710,-46620,-3690
2000-02-11,18700,20100,220490,3.97,-45420,50230,-5290
2000-02-14,23100,22500,648750,4.44,178580,-209920,3140
2000-02-15,22600,20900,349840,4.13,-50380,-16320,17880
2000-02-16,21000,19900,262470,3.93,-520,-5560,-43580
2000-02-17,20000,19800,282020,3.91,-15810,-35910,-740
2000-02-18,19900,19050,343270,3.76,63100,-111520,-540
2000-02-21,19150,17800,231370,3.51,5740,-14680,-41060
2000-02-22,17900,17400,187740,3.43,4920,-25890,-28750
2000-02-23,17600,17750,331570,3.5,141960,-155350,11480
2000-02-24,17850,16950,231340,3.35,-12950,-37080,30
2000-02-25,17300,17500,222370,3.45,31080,-5850,-37150
2000-02-28,17650,18600,390990,3.67,-171330,-43850,15180
2000-02-29,19800,18900,370660,3.73,2180,-221930,19970
2000-03-02,19000,18450,382610,3.64,23580,-30620,-192960
2000-03-03,18800,17900,398090,3.53,68900,-237260,-30900
2000-03-06,17100,17500,224070,3.45,108760,-109170,60
2000-03-07,17550,17600,258610,3.47,82860,-82030,-1010
2000-03-08,17200,17300,119180,3.41,6500,-17780,280
2000-03-09,17800,15500,356290,3.06,233370,-121310,-113140
2000-03-10,16900,16800,469930,3.32,13860,-69400,-144460
2000-03-13,17000,17200,352100,3.4,-31630,-140340,9320
2000-03-14,17700,17700,465270,3.49,-36130,-285840,20
2000-03-15,17700,17600,242420,3.47,-39290,-52160,-8370
2000-03-16,17950,18300,644710,3.61,333890,-331560,-19640
2000-03-17,20000,20200,611000,3.99,268390,-267480,-1710
2000-03-20,20500,21150,432190,4.17,34450,-68120,-20690
2000-03-21,21150,21300,354030,4.2,-177920,-80080,1720
2000-03-22,20500,20500,233940,4.05,-15200,-2150,-84780
2000-03-23,20500,20450,575180,4.04,-2180,-85600,-206950
2000-03-24,20450,20000,185740,3.95,-116190,-4590,120
2000-03-27,20000,20000,43460,3.95,7800,-8330,-210
2000-03-28,19500,19600,56630,3.87,2360,3230,-5590
2000-03-29,19600,20600,191200,4.07,-36280,-75270,29680
2000-03-30,20600,20450,179180,4.04,36690,-46140,-980
2000-03-31,20150,20500,250250,4.05,-36550,-120800,124940
2000-04-03,20900,20400,107970,4.03,-12460,1150,1170
2000-04-04,19500,20850,104360,4.12,-89720,86570,2300
2000-04-06,21000,20850,73570,4.12,-20820,-6820,8100
2000-04-07,20350,20150,82770,3.98,2720,-7260,-24420
2000-04-10,19800,19800,113470,3.91,21380,-45230,25340
2000-04-11,20000,19800,48800,3.91,-19620,3190,16430
2000-04-12,19800,19500,84920,3.85,10600,-32200,16180
2000-04-14,19200,19900,62280,3.93,-13350,-23570,16380
2000-04-17,19200,19900,120440,3.93,-93710,60260,5600
2000-04-18,19900,20200,188320,3.99,8310,-71790,-19440
2000-04-19,20300,20200,118240,3.99,23890,-34800,-19350
2000-04-20,19800,20400,134610,4.03,6420,-23020,6930
2000-04-21,20400,20800,49560,4.11,4990,-3010,-1230
2000-04-24,20700,21000,148800,4.15,71990,-60150,-10530
2000-04-25,21000,21000,88930,4.15,-4680,3880,800
2000-04-26,21300,21000,203370,4.15,74400,-126120,420
2000-04-27,20550,20800,155120,4.11,84390,23650,-108530
2000-04-28,20000,20550,423440,4.06,175790,-11730,-183760
2000-05-02,20150,20300,183240,4.01,50120,-70920,-6090
2000-05-03,20050,20250,72470,4,22490,-17170,-6320
2000-05-04,20000,19800,57580,3.91,34560,-8980,-25580
2000-05-08,19200,19550,164190,3.86,109660,-1140,-108320
2000-05-09,19400,19650,79980,3.88,34620,-1830,-32790
2000-05-10,19850,19800,74240,3.91,1670,22810,-24180
2000-05-12,20000,19800,162400,3.91,-10400,-84170,87560
2000-05-15,20000,19050,88260,3.76,-7570,-45760,53330
2000-05-16,19200,19500,66880,3.85,18120,-28900,10780
2000-05-17,19600,19000,93790,3.75,25270,-56790,31520
2000-05-18,19000,18050,160360,3.56,-34990,-22870,54300
2000-05-19,18000,17800,57940,3.51,5060,-28310,23250
2000-05-22,17800,17800,53900,3.51,-1780,-22550,24330
2000-05-23,17800,18500,128970,3.65,-49380,31930,16160
2000-05-24,18500,18000,78310,3.55,21280,-12620,-8600
2000-05-25,18000,18100,118220,3.57,49530,-29560,-18770
2000-05-26,18100,17800,112760,3.51,51240,-39750,-11490
2000-05-29,15650,18100,89220,3.57,20220,-7770,-12450
2000-05-30,18500,18500,59430,3.65,16110,-36370,20350
2000-05-31,19000,18750,92020,3.7,46910,-34560,-11350
2000-06-01,18700,18300,41600,3.61,10340,-340,-10000
2000-06-02,18050,17700,212880,3.49,144240,-19530,-124680
2000-06-05,17750,17950,68710,3.54,4290,-4290,0
2000-06-07,17900,17450,218110,3.44,145260,11490,-144460
2000-06-08,17300,16800,197780,3.32,98550,-31370,-68160
2000-06-09,17100,17300,218500,3.41,128600,-46970,-87750
2000-06-12,17700,18500,174350,3.65,-52760,23540,23940
2000-06-13,18500,19350,262690,3.82,-68500,62480,0
2000-06-14,19600,21000,418000,4.15,-49960,128180,-77180
2000-06-15,20500,21500,260200,4.24,-112820,110820,2000
2000-06-16,21000,22300,203140,4.4,-73640,76960,180
2000-06-19,22250,22600,437520,4.46,-238460,241930,0
2000-06-20,23000,25800,358980,5.09,-107230,-4700,111820
2000-06-21,25900,26900,628090,5.31,-127960,173660,-40280
2000-06-22,26000,26800,744470,5.29,-124270,394920,-260600
2000-06-23,25700,25400,163360,5.01,-55070,55060,0
2000-06-26,24400,25550,265390,5.04,-193200,192700,240
2000-06-27,25150,25200,923820,4.97,-645480,700090,-55000
2000-06-28,25500,26700,677300,5.27,-240710,284800,-17580
2000-06-29,26700,26750,150090,5.28,21790,-16410,-3500
2000-06-30,27000,26800,125920,5.29,-40600,60210,420
2000-07-03,26150,26700,45290,5.27,-18360,18460,0
2000-07-04,26100,26800,36400,5.29,-5560,5560,0
2000-07-05,26800,27000,36620,5.33,-18160,18760,-1000
2000-07-06,27000,27000,38520,5.33,-10830,13630,-2400
2000-07-07,26700,27200,63110,5.37,-19700,49200,-29840
2000-07-10,27200,27350,36700,5.4,4600,9140,-13490
2000-07-11,27300,26600,42740,5.25,8430,1080,-9510
2000-07-12,26500,26900,27310,5.31,-18030,19710,-1680
2000-07-13,26600,26050,72270,5.14,14180,-1400,-13180
2000-07-14,26300,26000,93990,5.13,-15800,58320,-42120
2000-07-18,26000,25600,40630,5.05,6760,21190,-8640
2000-07-19,24950,24600,37800,4.86,-3930,23580,-19650
2000-07-20,23800,25000,77550,4.93,-2210,52710,-33240
2000-07-21,25000,25000,70120,4.93,-8430,50360,-5960
2000-07-24,24500,25200,86900,4.97,23450,27820,4310
2000-07-25,25000,24900,69770,4.92,-6620,35680,-17300
2000-07-26,24500,24900,104530,4.92,39100,-14850,-24250
2000-07-27,24600,24900,56580,4.92,7430,12920,-20350
2000-07-28,25000,24900,65060,4.92,2080,27630,-30070
2000-07-31,24900,24900,45070,4.92,-6580,26800,-20400
2000-08-01,24550,24200,93500,4.78,57780,-37000,-20780
2000-08-02,23800,24400,43690,4.82,1830,10620,-12450
2000-08-03,24200,24100,168260,4.76,126270,-28690,-97580
2000-08-04,24100,24650,83850,4.87,36120,-13360,-22220
2000-08-07,24000,23950,26650,4.73,14620,-6600,-8020
2000-08-08,23500,24550,46880,4.85,16690,-2500,-14190
2000-08-09,24200,24200,103080,4.78,54050,18820,-72870
2000-08-10,24200,25000,276720,4.93,112550,-20360,-92190
2000-08-11,23650,25850,231930,5.1,141810,-21370,-122190
2000-08-14,25600,25850,191890,5.1,87750,-2010,-85740
2000-08-16,25850,25800,45960,5.09,1560,23430,-24980
2000-08-17,25800,25200,54390,4.97,37880,-15380,-22500
2000-08-18,25500,25700,95580,5.07,53170,-18060,-35110
2000-08-21,25050,25000,23390,4.93,8100,-7980,-120
2000-08-22,25000,25100,32660,4.95,-28150,26340,1810
2000-08-23,25500,24950,38050,4.92,27010,-27440,430
2000-08-24,24500,24850,35550,4.91,-3500,1480,2140
2000-08-25,25500,25500,76550,5.03,-9250,10810,-60
2000-08-28,25700,25700,24330,5.07,-14210,10080,4130
2000-08-29,25900,25950,66140,5.12,13630,-530,-13350
2000-08-30,25850,25800,26870,5.09,18510,-17630,-630
2000-08-31,25600,25700,62550,5.07,45270,-35630,-9520
2000-09-01,25950,25900,29260,5.11,-5680,8200,-2520
2000-09-04,26000,25700,39860,5.07,19050,-18590,-1170
2000-09-05,25500,26850,40460,5.3,-22170,28190,-6020
2000-09-06,26850,27000,77300,5.33,25320,-5810,-19610
2000-09-07,27100,26650,98570,5.26,37280,-27580,-10190
2000-09-08,26000,25000,56260,4.93,34580,-20190,-15480
2000-09-14,24300,24450,212280,4.83,144920,-56510,-91530
2000-09-15,24050,24150,59540,4.77,12040,-11100,-1990
2000-09-18,23650,25500,178400,5.03,-49380,27690,63320
2000-09-19,25300,29000,373500,5.72,-136780,-10580,147790
2000-09-20,29500,28100,170280,5.55,68750,-23100,-43390
2000-09-21,28000,27400,102100,5.41,35040,-8610,-26430
2000-09-22,27000,26900,124210,5.31,43350,-4980,-38350
2000-09-25,26150,26950,35180,5.32,-6800,14600,-7800
2000-09-26,26550,27100,51290,5.35,520,12100,-13960
2000-09-27,26900,27250,42170,5.38,-7860,15280,-7150
2000-09-28,27500,27100,39180,5.35,13500,-3120,-10260
2000-09-29,27100,26700,28130,5.27,6100,-7050,1300
2000-10-02,26050,26900,17690,5.31,3810,-3810,0
2000-10-04,26800,27000,35810,5.33,-9660,15870,-6570
2000-10-05,27400,27300,28760,5.39,5140,-10020,4380
2000-10-06,26900,27900,28010,5.51,-9550,15390,-6000
2000-10-09,27600,27500,34070,5.43,26720,-26440,-120
2000-10-10,27500,27900,27070,5.51,-2230,3870,-1610
2000-10-11,28000,27900,36350,5.51,-7120,7530,-410
2000-10-12,27900,25100,82380,4.95,16080,-8880,-18240
2000-10-13,26000,27800,140420,5.49,8050,20340,-19780
2000-10-16,28300,27500,66710,5.43,25540,-20850,-4340
2000-10-17,27100,27500,63710,5.43,1340,17370,-18830
2000-10-18,27500,27800,49210,5.49,-13670,2900,10810
2000-10-19,27300,27850,85450,5.5,790,-6560,5830
2000-10-20,28000,28950,111120,5.71,-31670,10420,21170
2000-10-23,29300,28000,46590,5.53,26370,-20260,-6010
2000-10-24,27550,27800,54490,5.49,-3980,17560,-13700
2000-10-25,27800,26400,104840,5.21,80850,-25220,-55470
2000-10-26,26200,27450,100010,5.42,33780,7700,-41480
2000-10-27,27450,28000,74700,5.53,-40750,41020,-1890
2000-10-30,28500,28100,43120,5.55,20110,-14880,-4110
2000-10-31,27500,28300,80600,5.59,-41240,15250,24810
2000-11-01,27500,28200,48820,5.57,14180,-13470,430
2000-11-02,28500,28500,104110,5.63,12660,13390,-25930
2000-11-03,28400,28000,62960,5.53,7640,-8060,460
2000-11-06,28000,27700,72220,5.47,-23670,35860,-15030
2000-11-07,27800,28250,46460,5.58,16360,-22530,7450
2000-11-08,28000,28100,58480,5.55,17050,-12480,-1070
2000-11-09,27500,27550,98630,5.44,53690,-20260,-31160
2000-11-10,27500,26900,111080,5.31,54300,17850,-72100
2000-11-13,27200,26800,101170,5.29,25090,-36350,11740
2000-11-14,26550,26600,26180,5.25,6010,-1210,-4800
2000-11-15,27400,26700,134330,5.27,-34490,28450,6040
2000-11-16,27150,27000,27050,5.33,1720,4880,-6600
2000-11-17,26550,27300,65120,5.39,-3030,-33760,36790
2000-11-20,27000,26800,25440,5.29,13860,-5600,-8260
2000-11-21,26200,26400,33000,5.21,8530,-6720,-1850
2000-11-22,26450,26800,61620,5.29,-28440,8350,20130
2000-11-23,26500,26950,58190,5.32,-42450,23960,18210
2000-11-24,27000,27000,41980,5.33,-27840,14970,12550
2000-11-27,27350,28500,75970,5.63,-50520,26730,23410
2000-11-28,27900,28150,25150,5.56,3380,-3000,0
2000-11-29,27300,27350,70050,5.4,21630,-39210,18100
2000-11-30,26800,26600,65070,5.25,47640,-12330,-35230
2000-12-01,26200,28000,100060,5.53,-40090,41000,-1150
2000-12-04,28200,27300,46230,5.39,-7860,-16380,24280
2000-12-05,27000,27850,63530,5.5,-32380,37820,-5520
2000-12-06,28000,27150,128100,5.36,-19160,58160,-39420
2000-12-07,27000,26700,140020,5.27,126090,-24770,-820
2000-12-08,26450,27200,56160,5.37,-24590,28840,-4840
2000-12-11,27500,28300,381070,5.59,-173870,44910,-21670
2000-12-12,28600,26900,63820,5.31,39230,-31590,-6420
2000-12-13,27300,28000,388530,5.53,-166550,40040,-23810
2000-12-14,27000,26950,287130,5.32,-50600,-123400,37290
2000-12-15,27050,27100,108390,5.35,-28110,35510,-7360
2000-12-18,26900,26900,300020,5.31,-262540,20430,-7930
2000-12-19,27000,26950,161340,5.32,-103830,-14750,-1380
2000-12-20,26650,26500,72250,5.23,44650,-6270,-38380
2000-12-21,26050,26800,71130,5.29,3820,8770,-15360
2000-12-22,26800,27300,170540,5.39,-41040,19690,19930
2000-12-26,27300,27500,90310,5.43,-26880,25890,0
2001-01-02,25500,23450,125570,249.1,59660,21860,-80080
2001-01-03,23600,23400,65660,248.57,32900,-23670,-6670
2001-01-04,24300,23800,100570,252.81,-25370,37730,-12440
2001-01-05,23500,23000,166950,244.32,59390,5850,-64250
2001-01-08,23000,23200,102450,246.44,9480,26050,-36410
2001-01-09,23000,24300,94600,258.13,-25350,32260,-7390
2001-01-10,24200,24050,77010,255.47,-14380,16460,-2400
2001-01-11,24000,23500,263240,249.63,114610,-67810,-45420
2001-01-12,23550,23600,71820,250.69,-10620,28190,-18210
2001-01-15,23600,22650,120830,240.6,72110,-10340,-62210
2001-01-16,22600,22000,98060,233.69,40040,-25480,-14740
2001-01-17,21500,21300,108950,226.26,45460,12010,-57970
2001-01-18,21300,21300,110070,226.26,21810,31290,-53200
2001-01-19,21300,22000,207880,233.69,5000,56990,-62590
2001-01-22,22100,22250,108040,236.35,19070,-18140,-930
2001-01-26,22650,21300,69020,226.26,26790,-24460,-2000
2001-01-29,21000,22100,67560,234.76,-17270,23270,0
2001-01-30,21700,21650,63110,229.98,12270,-9940,-2060
2001-01-31,21750,22000,88120,233.69,-30160,23640,6600
2001-02-01,22000,22100,68070,234.76,-10060,-16840,26900
2001-02-02,22000,22200,68310,235.82,11630,-9530,-2100
2001-02-05,22250,21300,56220,226.26,24740,-19680,-5060
2001-02-06,21300,21900,57470,232.63,-7770,6370,1400
2001-02-07,21600,21800,71650,231.57,25540,-40540,-5630
2001-02-08,21300,22200,72550,235.82,-36480,23520,-2010
2001-02-09,22100,22250,82360,236.35,-5780,-11120,0
2001-02-12,22150,22000,92560,233.69,-27850,4130,23560
2001-02-13,22700,22100,47190,234.76,-6060,6540,-480
2001-02-14,22000,21650,88770,229.98,32730,5120,-38330
2001-02-15,21700,21900,55780,232.63,15110,-31790,17000
2001-02-16,21600,21900,37200,232.63,-5250,2930,-100
2001-02-19,21650,21900,75970,232.63,33100,-35870,-2760
2001-02-20,21900,22100,44990,234.76,-20090,11850,1020
2001-02-21,21900,22250,75160,236.35,-41620,2170,-1520
2001-02-22,22500,22750,128940,241.66,-18170,-15700,870
2001-02-23,23450,23700,84170,251.75,-41320,27260,13740
2001-02-26,23800,25700,159060,273,-41420,-35270,76210
2001-02-27,25550,25400,95830,269.81,-5580,-17080,2500
2001-02-28,24200,25300,40420,268.75,-11170,10920,250
2001-03-02,24750,24900,92280,264.5,-1010,-25390,27040
2001-03-05,24400,25400,41840,269.81,-17450,16010,40
2001-03-06,26000,26150,98530,277.78,-2480,-21620,20000
2001-03-07,26450,26050,72680,276.72,-5360,6030,-3500
2001-03-08,26100,27000,108140,286.81,-6490,6750,-17800
2001-03-09,27000,25850,79050,274.59,10030,-25290,2690
2001-03-12,25500,25700,109120,273,5480,-55010,49950
2001-03-13,25250,26700,108340,283.62,-36720,-14910,50400
2001-03-14,27000,26600,44980,282.56,-13980,5790,9250
2001-03-15,26900,26850,55340,285.21,-16940,9240,5620
2001-03-16,27000,27250,60750,289.46,-6610,-17890,17890
2001-03-19,26800,27500,92640,292.12,-23100,-16830,38150
2001-03-20,28500,28500,76320,302.74,-11140,-22990,33490
2001-03-21,27800,29950,100020,318.14,-19910,-23680,41140
2001-03-22,30000,30100,54750,319.74,-4070,-27570,30710
2001-03-23,30900,30550,116240,324.52,-23820,-6510,28330
2001-03-26,30150,28500,56290,302.74,10890,-15020,2280
2001-03-27,28900,28400,48660,301.68,5970,-8640,-820
2001-03-28,28500,28450,50170,302.21,-3340,15560,-12440
2001-03-29,27600,28400,48470,301.68,-10750,15470,-3200
2001-03-30,28300,28700,30020,304.87,-3730,1480,-350
2001-04-02,29350,29800,23940,316.55,-9290,-620,9830
2001-04-03,30500,29600,52020,314.43,-11960,19540,-9160
2001-04-04,30500,30600,40930,325.05,-23840,23140,0
2001-04-06,31300,30050,84750,319.21,21040,-39430,5990
2001-04-09,30400,29950,17700,318.14,-730,-2730,2300
2001-04-10,30050,29950,28470,318.14,-9520,810,0
2001-04-11,29950,28500,93040,302.74,35590,-42500,-4020
2001-04-12,28000,28000,90160,297.43,18300,-37950,12540
2001-04-13,28300,28050,44510,297.96,12940,-16440,-2210
2001-04-16,27550,28250,24480,300.08,-950,-2860,0
2001-04-17,28600,28300,27060,300.62,-3390,-1560,0
2001-04-18,28300,29300,49130,311.24,-18430,16470,0
2001-04-19,30000,29500,122210,313.36,20220,-20520,1400
2001-04-20,29200,31000,93870,329.3,-52850,64900,-17050
2001-04-23,31000,34950,91390,371.26,-39760,62580,-26660
2001-04-24,34000,33000,38310,350.54,3080,9830,-13380
2001-04-25,33500,34000,70190,361.16,-8480,27180,-26050
2001-04-26,34300,32600,77230,346.29,5500,-17390,13870
2001-04-27,33000,32150,30450,341.51,1850,1540,-1950
2001-04-30,32150,32550,40950,345.76,-8820,24880,-17970
2001-05-02,33000,32700,87980,347.36,26620,-61640,38780
2001-05-03,32700,31100,73750,330.36,60770,-43620,-12310
2001-05-04,31000,32500,53550,345.23,-37650,19480,17690
2001-05-07,32100,33300,137460,353.73,-25820,46690,-21320
2001-05-08,33150,32550,31270,345.76,10310,-2330,-7570
2001-05-09,33000,32100,38090,340.98,4250,-15580,12620
2001-05-10,32100,31100,37940,330.36,11950,-4120,-3710
2001-05-11,32000,32200,38970,342.04,14170,-13300,0
2001-05-14,32450,32100,23680,340.98,1960,350,-2470
2001-05-15,32600,32850,37220,348.95,-28100,26020,1140
2001-05-16,32200,32450,37830,344.7,13900,-14630,-360
2001-05-17,32200,32400,32120,344.17,-6820,14520,-7410
2001-05-18,33000,32950,72550,350.01,-6570,-7760,14140
2001-05-21,33000,33150,74330,352.14,-10870,1200,8970
2001-05-22,33900,34000,85580,361.16,7510,-17990,9800
2001-05-23,34900,34100,46190,362.23,-9390,17440,-10520
2001-05-24,34100,36000,49440,382.41,-29000,27710,-1980
2001-05-25,37000,35500,61520,377.1,-29150,18550,5350
2001-05-28,36400.0,36950.0,20200.0,392.5,-10080,8780,-200
2001-05-29,36950.0,37200.0,47730.0,395.16,-31080,27260,-1370
2001-05-30,38000.0,36150.0,38820.0,384.0,16860,-15190,1110
2001-05-31,36950.0,37150.0,56950.0,394.63,-21200,17540,1000
2001-06-01,37500.0,36000.0,31800.0,382.41,14370,-8340,-5660
2001-06-04,36100.0,36600.0,27950.0,388.78,-3300,6120,-2490
2001-06-05,37000.0,37500.0,48150.0,398.34,-19090,21410,2550
2001-06-07,38000.0,38100.0,34220.0,404.72,-4680,9080,-5180
2001-06-08,39000.0,38900.0,42370.0,413.21,-5380,14440,-7840
2001-06-11,39000.0,37350.0,94990.0,396.75,65980,-49720,-11400
2001-06-12,36600.0,37000.0,45390.0,393.03,12680,-9350,-6180
2001-06-13,37500.0,36400.0,45970.0,386.66,24280,-18880,-6070
2001-06-14,35900.0,35650.0,115380.0,378.69,43260,-41750,9650
2001-06-15,35900.0,36800.0,99250.0,390.91,35720,-24050,-12600
2001-06-18,37700.0,35700.0,70650.0,379.22,36760,-36790,0
2001-06-19,36000.0,36200.0,75950.0,384.53,-40820,51230,-17550
2001-06-20,36500.0,36850.0,44320.0,391.44,-3310,2660,-160
2001-06-21,36000.0,36550.0,41550.0,388.25,-18130,20950,-4910
2001-06-22,37150.0,36000.0,32350.0,382.41,10,5640,-9200
2001-06-25,35700.0,34500.0,366230.0,366.48,-243680,7640,234940
2001-06-26,36500.0,35000.0,74660.0,371.79,35550,8090,-36310
2001-06-27,34300.0,35050.0,142920.0,372.32,-9200,29550,-22770
2001-06-28,34900.0,34000.0,51610.0,361.16,-870,13890,-14400
2001-06-29,33800.0,34200.0,70910.0,363.29,-6870,1490,4180
2001-07-02,34250.0,34700.0,46280.0,368.6,14350,-17970,-4850
2001-07-03,35000.0,35000.0,35540.0,371.79,-1910,-3990,5420
2001-07-04,36500.0,35950.0,61880.0,381.88,910,7260,-9330
2001-07-05,36500.0,36000.0,21890.0,382.41,610,-4650,-200
2001-07-06,36000.0,36000.0,28530.0,382.41,-460,-4150,0
2001-07-09,35700.0,36650.0,45020.0,389.31,-23590,19120,0
2001-07-10,36650.0,36950.0,33720.0,392.5,-9820,11780,-6990
2001-07-11,36900.0,36000.0,55650.0,382.41,110,-180,-990
2001-07-12,36300.0,34850.0,115910.0,370.19,24250,-38390,-19830
2001-07-13,34850.0,34500.0,266670.0,366.48,-126410,-7740,191630
2001-07-16,34450.0,35400.0,32820.0,376.04,-18430,4840,6050
2001-07-18,35900.0,34900.0,144510.0,370.72,-86010,-20540,106460
2001-07-19,34100.0,34300.0,80610.0,364.35,12710,29100,-50880
2001-07-20,34500.0,34900.0,150120.0,370.72,110280,-44310,-69110
2001-07-23,34100.0,34500.0,65370.0,366.48,26240,-3450,-23750
2001-07-24,34000.0,34250.0,116610.0,363.82,43910,31980,-81790
2001-07-25,33600.0,32000.0,79830.0,339.92,44920,-12760,-32660
2001-07-26,32150.0,31650.0,123000.0,336.2,38150,-57060,-8760
2001-07-27,31600.0,31800.0,72070.0,337.79,5970,-24090,-5990
2001-07-30,31250.0,31200.0,84620.0,331.42,5840,-32710,6520
2001-07-31,31600.0,31700.0,31650.0,336.73,-2480,-370,-130
2001-08-01,32100.0,31950.0,76160.0,339.39,8780,-26990,9570
2001-08-02,32250.0,32300.0,30210.0,343.11,-2030,-2000,1960
2001-08-03,32500.0,32600.0,30720.0,346.29,9200,-8590,-4360
2001-08-06,33200.0,32950.0,22210.0,350.01,-9450,4850,2110
2001-08-07,33000.0,33000.0,47370.0,350.54,5730,-1640,-5840
2001-08-08,33000.0,32950.0,64460.0,350.01,20330,-9080,-14400
2001-08-09,33000.0,33000.0,144610.0,350.54,-21320,-24440,37660
2001-08-10,33750.0,33000.0,52830.0,350.54,9170,-13990,-10500
2001-08-13,33000.0,32850.0,55610.0,348.95,16400,-19680,-12470
2001-08-14,32950.0,34500.0,114260.0,366.48,-4810,35930,-61550
2001-08-16,34500.0,35500.0,68920.0,377.1,-10730,-5340,8150
2001-08-17,36450.0,36000.0,52760.0,382.41,2900,-27730,4520
2001-08-20,35200.0,36000.0,34200.0,382.41,710,-10460,7830
2001-08-21,36800.0,36850.0,46340.0,391.44,-11480,7320,3620
2001-08-22,36950.0,37950.0,43200.0,403.12,-21010,6560,12830
2001-08-23,37950.0,37500.0,41290.0,398.34,-12210,-4970,13150
2001-08-24,37950.0,38000.0,31540.0,403.65,-7590,7570,-2520
2001-08-27,38800.0,39500.0,86640.0,419.59,-24930,38780,-17650
2001-08-28,40600.0,39700.0,41830.0,421.71,2340,1720,-3370
2001-08-29,38800.0,39250.0,66660.0,416.93,38430,-25150,0
2001-08-30,39200.0,39300.0,23940.0,417.46,4590,-9100,1620
2001-08-31,38050.0,39250.0,38490.0,416.93,-3400,-8380,6060
2001-09-03,40400.0,40000.0,33870.0,424.9,-1510,13730,-13530
2001-09-04,40400.0,41500.0,49600.0,440.83,-31650,19290,13150
2001-09-05,41500.0,40650.0,40630.0,431.8,15830,-13850,-1150
2001-09-06,41300.0,41100.0,49400.0,436.58,17210,-18640,760
2001-09-07,40550.0,41100.0,36490.0,436.58,19190,-14910,-5720
2001-09-10,41500.0,41000.0,42050.0,435.52,20910,-28280,-190
2001-09-11,41650.0,41500.0,19900.0,440.83,4640,-7660,3020
2001-09-12,47700.0,43000.0,161060.0,456.77,3410,68700,-68360
2001-09-13,43000.0,38350.0,310420.0,407.37,102490,-43110,-107220
2001-09-14,39800.0,38700.0,376860.0,411.09,106370,-25010,-81830
2001-09-17,37700.0,40050.0,182210.0,425.43,-28590,29370,-2850
2001-09-18,39800.0,40200.0,132740.0,427.02,-42700,8930,34670
2001-09-19,40200.0,41000.0,89310.0,435.52,-14490,-820,16190
2001-09-20,41000.0,40150.0,77990.0,426.49,12180,-18690,7830
2001-09-21,40300.0,39300.0,62670.0,417.46,9060,4260,-12660
2001-09-24,39000.0,39100.0,61200.0,415.34,16930,-2710,-14240
2001-09-25,39100.0,38600.0,69370.0,410.03,21340,-13620,-6400
2001-09-26,37800.0,38800.0,44450.0,412.15,7890,-10150,1910
2001-09-27,37800.0,40350.0,55280.0,428.62,-26530,-5830,32490
2001-09-28,41000.0,40700.0,46480.0,432.33,-8740,-8530,17020
2001-10-04,41000.0,40500.0,44400.0,430.21,7940,-5970,-1340
2001-10-05,40900.0,40700.0,121890.0,432.33,-3940,7710,-3770
2001-10-08,41000.0,41500.0,73350.0,440.83,15660,-3370,-12410
2001-10-09,42000.0,41800.0,91950.0,444.02,-26480,-1030,26850
2001-10-10,42000.0,41600.0,31300.0,441.9,-10400,4960,5440
2001-10-11,41500.0,41150.0,66310.0,437.11,7970,6730,-15030
2001-10-12,40900.0,40500.0,63400.0,430.21,26730,-20230,-6600
2001-10-15,40050.0,40700.0,45000.0,432.33,5690,-3100,-24820
2001-10-16,40200.0,40800.0,22280.0,433.4,-8750,12730,-7080
2001-10-17,40800.0,40000.0,64070.0,424.9,17190,-10450,-26590
