Symbol,오뚜기_시가(원),오뚜기_종가(원),오뚜기_거래량(주),오뚜기_PER(IFRS-연결),오뚜기_순매수수량(개인)(주),오뚜기_순매수수량(기관계)(주),오뚜기_순매수수량(외국인계)(주)
2000-01-04,14500,14600,5520,5.21,1030,20,-1100
2000-01-05,14600,14900,23380,5.31,1100,-4110,3010
2000-01-06,15000,14450,10090,5.15,130,-130,0
2000-01-07,14500,14600,13040,5.21,-3210,3090,120
2000-01-10,15500,14950,12840,5.33,-2300,-690,2960
2000-01-11,14600,14400,69640,5.14,23170,-23170,0
2000-01-12,14400,14350,12620,5.12,1050,-1050,0
2000-01-13,14350,13400,40090,4.78,30730,-21910,-8850
2000-01-14,13750,13900,44380,4.96,8960,-8960,0
2000-01-17,14350,13800,30650,4.92,4740,-4940,150
2000-01-18,13700,13800,21330,4.92,-7460,7380,30
2000-01-19,13600,13400,22750,4.78,-8990,8940,0
2000-01-20,12700,13000,24790,4.64,2410,-2600,190
2000-01-21,12700,13100,11020,4.67,-2910,2910,0
2000-01-24,12700,12900,53230,4.6,-2680,-1820,0
2000-01-25,12800,13300,23800,4.74,-13670,11430,0
2000-01-26,13300,13500,20040,4.82,-9680,-1190,0
2000-01-27,13250,14550,32560,5.19,-22410,12410,0
2000-01-28,14000,14300,7260,5.1,-1800,1610,190
2000-01-31,14000,14000,4660,4.99,-1130,1130,0
2000-02-01,14100,15000,43860,5.35,-22680,12870,-190
2000-02-02,15000,15000,24560,5.35,4340,3760,-100
2000-02-03,15000,14900,12210,5.31,-1710,1030,0
2000-02-07,14900,15500,57470,5.53,-17070,-12070,120
2000-02-08,15500,15300,15160,5.46,-5000,-5000,0
2000-02-09,15000,14650,15020,5.23,-3000,3000,0
2000-02-10,14650,13250,10430,4.73,1620,-780,-3040
2000-02-11,13500,15000,15200,5.35,-11380,11380,-100
2000-02-14,14150,14800,4910,5.28,-1930,2050,-120
2000-02-15,14300,16000,121370,5.71,9980,8840,-17820
2000-02-16,16600,15950,73520,5.69,-38000,38000,0
2000-02-17,15300,16000,12790,5.71,-9350,9350,0
2000-02-18,16300,17000,53310,6.06,-14250,17500,-250
2000-02-21,17300,17200,22890,6.14,-6150,6630,0
2000-02-22,17200,16900,24280,6.03,-18120,18320,0
2000-02-23,16900,17000,46380,6.06,-3040,4590,400
2000-02-24,17000,17600,65290,6.28,-840,2560,630
2000-02-25,17600,17000,19450,6.06,-5310,5310,0
2000-02-28,17100,16900,27830,6.03,8130,-2790,-100
2000-02-29,16550,17950,61770,6.4,19520,-17520,0
2000-03-02,18500,20600,82710,7.35,-21690,26690,0
2000-03-03,20600,18550,73010,6.62,5830,-3990,0
2000-03-06,19450,18800,47850,6.71,-7780,10780,0
2000-03-07,18250,17500,26000,6.24,-5320,5320,0
2000-03-08,18000,17850,37050,6.37,4050,-5010,0
2000-03-09,17950,17500,133220,6.24,24720,-7480,-10500
2000-03-10,18500,18400,36860,6.56,-2030,210,0
2000-03-13,19500,20000,86840,7.13,-17330,18210,-880
2000-03-14,19000,19700,100160,7.03,-9260,7370,-110
2000-03-15,19700,21100,113950,7.53,-3470,4500,-110
2000-03-16,20500,21400,102700,7.63,-67290,79850,440
2000-03-17,21400,21000,60340,7.49,-36280,33120,660
2000-03-20,20350,20900,37510,7.45,-20450,28300,330
2000-03-21,20250,20500,24320,7.31,-11330,20180,0
2000-03-22,20150,21000,64180,7.49,-8530,39340,0
2000-03-23,21000,20900,15670,7.45,-4370,4700,-330
2000-03-24,20900,23000,170390,8.2,-4570,-40430,0
2000-03-27,23000,22400,25590,7.99,-3050,3050,0
2000-03-28,22000,22300,18340,7.95,-10340,10010,330
2000-03-29,21850,22100,18690,7.88,410,-410,0
2000-03-30,22100,23400,53100,8.35,-9350,9330,20
2000-03-31,23400,23650,36270,8.44,-7470,8970,0
2000-04-03,24500,25000,101020,8.92,-78750,79220,-20
2000-04-04,24700,23650,46660,8.44,-31720,31720,0
2000-04-06,23650,23600,10150,8.42,-2120,2120,0
2000-04-07,23900,23000,8480,8.2,580,220,0
2000-04-10,22300,23000,11630,8.2,870,-1970,1100
2000-04-11,23000,21800,8640,7.78,-290,290,0
2000-04-12,21800,22500,12940,8.03,-9680,9680,0
2000-04-14,21800,21500,5890,7.67,2360,-170,0
2000-04-17,18550,19500,3570,6.96,-1320,1320,0
2000-04-18,19550,18500,27850,6.6,11150,-11150,0
2000-04-19,18850,18600,28130,6.63,11750,-11750,0
2000-04-20,18600,18900,12030,6.74,-570,550,20
2000-04-21,18100,20000,20400,7.13,-5980,5980,0
2000-04-24,20000,19950,6890,7.12,-540,540,0
2000-04-25,19300,19200,3860,6.85,-200,200,0
2000-04-26,19200,19200,6880,6.85,-1970,1970,0
2000-04-27,19200,19200,9010,6.85,-3190,7610,0
2000-04-28,18900,19100,25340,6.81,-3590,3720,0
2000-05-02,18900,19200,21890,6.85,-4180,4340,-160
2000-05-03,18800,19200,38670,6.85,-1120,1320,-200
2000-05-04,19100,18500,18020,6.6,-7490,7550,-60
2000-05-08,18650,18400,6360,6.56,120,0,-120
2000-05-09,18000,18400,10660,6.56,1030,-230,-800
2000-05-10,18400,18400,5160,6.56,-420,1360,-940
2000-05-12,17800,18000,4920,6.42,270,-180,-90
2000-05-15,18000,18700,21740,6.67,-2700,2800,-100
2000-05-16,19000,18600,10310,6.63,6310,-6230,-80
2000-05-17,18600,19700,57440,7.03,-11370,1570,-200
2000-05-18,19700,19400,110680,6.92,-36080,16080,0
2000-05-19,19000,18200,13830,6.49,-3420,3420,0
2000-05-22,18200,17000,7770,6.06,-830,850,-20
2000-05-23,16600,17100,11890,6.1,-5460,5310,0
2000-05-24,16900,16650,10430,5.94,2150,-2150,0
2000-05-25,16150,16850,10750,6.01,2500,-2550,0
2000-05-26,16750,15900,14050,5.67,-3560,3510,0
2000-05-29,15900,15200,2400,5.42,-450,450,0
2000-05-30,15200,15650,5160,5.58,1190,-1180,-60
2000-05-31,15700,15500,19630,5.53,13450,-1150,0
2000-06-01,16000,15350,5240,5.48,940,-940,0
2000-06-02,15850,15350,17170,5.48,7040,-2120,0
2000-06-05,15400,15650,100580,5.58,65190,-54280,0
2000-06-07,15950,17500,152580,6.24,-2810,4520,0
2000-06-08,17600,15650,61480,5.58,16870,-16870,0
2000-06-09,16100,15650,56660,5.58,25740,-21740,0
2000-06-12,16300,16100,40430,5.74,13380,-13250,0
2000-06-13,16000,15100,24220,5.39,2780,220,0
2000-06-14,15200,15600,27720,5.56,-2480,3040,0
2000-06-15,15000,15000,17220,5.35,-2700,2700,0
2000-06-16,14600,15000,8920,5.35,-120,0,0
2000-06-19,14300,15150,8260,5.4,800,-850,0
2000-06-20,15150,14800,15140,5.28,8040,0,-8040
2000-06-21,14500,15100,43270,5.39,24580,1770,-24960
2000-06-22,15350,15300,16300,5.46,-6670,6670,0
2000-06-23,15100,15900,45180,5.67,-8860,9910,-50
2000-06-26,16000,16200,46860,5.78,-4370,-25090,0
2000-06-27,16200,15800,19510,5.64,-2590,2590,0
2000-06-28,15600,15300,48270,5.46,14550,-14750,200
2000-06-29,15400,15000,17490,5.35,10,-10,0
2000-06-30,14800,14900,10140,5.31,-2560,2460,100
2000-07-03,14950,15300,27300,5.46,14190,-14190,0
2000-07-04,15500,15500,51730,5.53,8090,-8090,0
2000-07-05,15550,15000,20070,5.35,-20,20,0
2000-07-06,15150,15050,14160,5.37,0,0,0
2000-07-07,15000,15200,21160,5.42,1700,-1700,0
2000-07-10,15500,15150,15880,5.4,340,-40,-300
2000-07-11,15250,15000,16910,5.35,40,-40,0
2000-07-12,15250,15000,10010,5.35,110,-110,0
2000-07-13,15050,15000,10700,5.35,-530,130,400
2000-07-14,15000,14700,7480,5.24,20,-20,0
2000-07-18,14700,14500,6760,5.17,-50,0,0
2000-07-19,14700,14500,9050,5.17,-50,0,0
2000-07-20,14100,14300,8510,5.1,-20,0,20
2000-07-21,14200,14400,7890,5.14,510,-610,0
2000-07-24,14100,14200,7930,5.07,-3140,3140,0
2000-07-25,14200,14000,6680,4.99,-2670,2460,110
2000-07-26,14000,14150,3690,5.05,-1050,1000,0
2000-07-27,13850,14000,2020,4.99,-70,70,0
2000-07-28,14200,14100,2780,5.03,-440,80,360
2000-07-31,13950,14200,3930,5.07,-2190,2010,180
2000-08-01,14300,14200,2810,5.07,50,-50,0
2000-08-02,14400,14700,9190,5.24,-5030,5000,30
2000-08-03,14750,14500,3450,5.17,-1880,1880,0
2000-08-04,14500,14500,3050,5.17,-1810,1810,0
2000-08-07,14050,14100,1330,5.03,30,-30,0
2000-08-08,14700,14100,4820,5.03,-960,960,0
2000-08-09,14600,14000,5030,4.99,-590,390,200
2000-08-10,14100,14100,4540,5.03,-730,730,0
2000-08-11,14400,14550,26410,5.19,-410,410,0
2000-08-14,15000,14600,9380,5.21,-1210,1170,40
2000-08-16,14700,15000,16580,5.35,1080,-1400,160
2000-08-17,14700,14650,4150,5.23,-1000,0,0
2000-08-18,14700,14500,6970,5.17,1000,-1000,0
2000-08-21,14500,14400,8890,5.14,-6000,6000,0
2000-08-22,14800,14250,12930,5.08,-790,530,110
2000-08-23,14350,14000,16820,4.99,8980,-9010,30
2000-08-24,14000,13900,9700,4.96,980,-1200,120
2000-08-25,13900,14000,6440,4.99,-350,0,0
2000-08-28,14500,14050,13190,5.01,9940,-9200,60
2000-08-29,14300,13950,8400,4.98,0,0,0
2000-08-30,13900,13800,46280,4.92,25070,-15620,-10000
2000-08-31,14100,13900,32300,4.96,-7900,7900,0
2000-09-01,14100,13750,17390,4.9,6250,-6550,0
2000-09-04,13800,14000,44880,4.99,10270,-10270,0
2000-09-05,14350,14800,162260,5.28,37920,-10950,0
2000-09-06,15000,14800,54420,5.28,13980,-14000,0
2000-09-07,14700,15100,90750,5.39,18990,-25090,0
2000-09-08,15200,15200,46780,5.42,310,-310,0
2000-09-14,15300,15000,35520,5.35,-8300,2460,-1160
2000-09-15,14550,14300,67600,5.1,-3290,4290,0
2000-09-18,13800,13000,62750,4.64,-17740,17770,0
2000-09-19,13000,13500,30310,4.82,-3030,3000,0
2000-09-20,13700,13600,22310,4.85,30,0,-30
2000-09-21,13400,13000,17150,4.64,-4970,3920,0
2000-09-22,13000,12800,22460,4.57,-9790,5940,-90
2000-09-25,12400,13350,16990,4.76,-5470,-300,0
2000-09-26,13050,13700,18890,4.89,-3090,3060,0
2000-09-27,13500,13700,10120,4.89,-570,570,0
2000-09-28,13400,13550,8450,4.83,-4580,4580,0
2000-09-29,13500,13550,5010,4.83,-700,0,0
2000-10-02,14000,13250,7260,4.73,-2080,0,0
2000-10-04,13250,13150,12770,4.69,0,0,0
2000-10-05,13500,13500,8440,4.82,1100,0,0
2000-10-06,13500,13600,11850,4.85,3690,-2060,0
2000-10-09,13600,13300,13890,4.74,10,-10,0
2000-10-10,13500,13400,8440,4.78,0,0,0
2000-10-11,13400,13150,9500,4.69,-1300,1300,0
2000-10-12,12900,13850,47850,4.94,5350,-50,0
2000-10-13,13500,13550,27950,4.83,6780,-6780,0
2000-10-16,13900,15550,145020,5.55,40510,-37210,0
2000-10-17,15550,14200,268540,5.07,46690,-46690,0
2000-10-18,14500,14350,78340,5.12,-270,20,0
2000-10-19,14350,14600,78640,5.21,-250,0,0
2000-10-20,14400,14400,92970,5.14,1960,-1960,0
2000-10-23,14700,15300,217760,5.46,35850,-35850,0
2000-10-24,15300,15150,101160,5.4,510,-10,0
2000-10-25,15250,15500,112220,5.53,-3350,1350,0
2000-10-26,15200,14650,73240,5.23,600,-3000,0
2000-10-27,14800,13800,45040,4.92,40,0,60
2000-10-30,13500,13100,67130,4.67,980,0,0
2000-10-31,12900,13300,37070,4.74,-9050,8000,0
2000-11-01,13600,13500,29550,4.82,320,0,0
2000-11-02,13400,13400,19240,4.78,-70,70,0
2000-11-03,13450,13500,20710,4.82,-1700,1700,0
2000-11-06,14100,13900,16080,4.96,-390,390,0
2000-11-07,13900,13700,17920,4.89,-2970,-30,0
2000-11-08,13650,13300,22340,4.74,-1980,-20,0
2000-11-09,13300,13250,16870,4.73,-2110,-10,120
2000-11-10,13200,13500,23070,4.82,-3000,0,0
2000-11-13,13200,13000,20630,4.64,-7300,5090,0
2000-11-14,13000,13250,17040,4.73,-10790,10490,300
2000-11-15,13500,13300,16890,4.74,-580,80,0
2000-11-16,13400,13750,24790,4.9,-5840,5000,0
2000-11-17,14000,13500,10510,4.82,-2580,-80,0
2000-11-20,13500,13300,6620,4.74,0,-2000,0
2000-11-21,13500,13450,19120,4.8,-3610,1560,0
2000-11-22,13450,13400,11460,4.78,-1050,1000,0
2000-11-23,13450,13100,39990,4.67,-1220,1220,0
2000-11-24,13100,13250,10280,4.73,-1190,1190,0
2000-11-27,13200,13400,12490,4.78,10,-10,0
2000-11-28,13400,13150,9470,4.69,50,0,-300
2000-11-29,13050,12950,8320,4.62,0,0,0
2000-11-30,12950,12700,14520,4.53,-1830,1100,0
2000-12-01,12700,12800,11710,4.57,-4720,4650,20
2000-12-04,12700,12800,15420,4.57,-10000,0,0
2000-12-05,12600,12700,4610,4.53,-90,-10,0
2000-12-06,12700,12800,7160,4.57,-1840,50,0
2000-12-07,12950,13000,12190,4.64,5900,-5900,0
2000-12-08,13100,13300,18250,4.74,120,-120,0
2000-12-11,13300,13100,13850,4.67,2200,-2200,0
2000-12-12,13100,12900,5290,4.6,-1250,250,0
2000-12-13,12900,13150,46680,4.69,-80,-1920,0
2000-12-14,13150,13450,13980,4.8,-5990,4320,1670
2000-12-15,13650,13700,21210,4.89,-13030,11470,0
2000-12-18,13700,14300,36220,5.1,-16960,16960,0
2000-12-19,14350,14000,13650,4.99,1140,890,-30
2000-12-20,14200,13750,8010,4.9,0,-30,30
2000-12-21,13250,13150,8090,4.69,20,0,-20
2000-12-22,13200,13200,9600,4.71,-4870,20,0
2000-12-26,13450,13400,8180,4.78,-3980,0,0
2001-01-02,13100,13900,3200,4.6,0,0,0
2001-01-03,13300,13600,8010,4.5,-980,970,-20
2001-01-04,13900,13650,13420,4.52,860,2140,0
2001-01-05,13700,13450,7660,4.45,340,-350,10
2001-01-08,13700,13450,14440,4.45,1050,-2050,0
2001-01-09,13650,13900,59420,4.6,24360,-21360,0
2001-01-10,14300,14200,99170,4.7,41940,-41940,0
2001-01-11,14300,14100,61880,4.67,5200,-5040,-160
2001-01-12,14500,14650,116380,4.85,-2140,2020,120
2001-01-15,14850,14600,73970,4.84,8440,-6440,0
2001-01-16,14400,14100,42350,4.67,4550,-1550,0
2001-01-17,14000,14400,54230,4.77,7420,2580,0
2001-01-18,14000,14250,26470,4.72,-2240,2240,0
2001-01-19,14050,14050,17700,4.65,-1830,1830,0
2001-01-22,14000,14100,23810,4.67,1210,3790,0
2001-01-26,13900,14000,23390,4.64,-1620,1620,0
2001-01-29,14250,14650,57280,4.85,1150,490,0
2001-01-30,14600,15000,67210,4.97,-400,1790,-30
2001-01-31,14600,14800,19030,4.9,-1960,1960,0
2001-02-01,14400,14300,27780,4.74,-280,280,0
2001-02-02,14000,14200,20320,4.7,770,-770,0
2001-02-05,14050,14150,15090,4.69,2260,-2260,0
2001-02-06,14000,14100,23070,4.67,-2450,2450,0
2001-02-07,14100,13800,14540,4.57,3330,-3330,0
2001-02-08,13700,14050,39020,4.65,10080,-10150,70
2001-02-09,13800,14050,38820,4.65,1560,-1560,0
2001-02-12,13900,13900,32650,4.6,-1300,1300,0
2001-02-13,13900,13900,17160,4.6,-5090,5080,10
2001-02-14,13850,13900,18810,4.6,-1660,1620,40
2001-02-15,14100,13800,32140,4.57,-1430,1430,0
2001-02-16,13800,13900,42140,4.6,4280,-4280,0
2001-02-19,14200,14000,32550,4.64,1850,-2450,0
2001-02-20,13850,14000,40730,4.64,6640,-6640,0
2001-02-21,14200,14200,30140,4.7,-1050,1050,0
2001-02-22,14200,13850,33710,4.59,-1720,2270,50
2001-02-23,13900,14450,92910,4.79,11400,-11460,60
2001-02-26,14600,14400,49830,4.77,80,-80,0
2001-02-27,14800,14100,27010,4.67,2560,-2560,0
2001-02-28,14000,14000,24160,4.64,-60,60,0
2001-03-02,14200,13700,35260,4.54,-4090,2570,20
2001-03-05,13600,13700,20430,4.54,-70,60,10
2001-03-06,13700,13700,7990,4.54,270,-120,0
2001-03-07,13700,13550,17190,4.49,-1650,1810,-10
2001-03-08,13600,13700,12360,4.54,2350,-100,-1800
2001-03-09,13700,13700,12470,4.54,-4150,4420,-140
2001-03-12,13650,13400,16770,4.44,20,20,-40
2001-03-13,13200,12900,17600,4.27,-560,-80,0
2001-03-14,13100,13150,12360,4.36,-50,0,0
2001-03-15,12800,13200,20790,4.37,-200,100,0
2001-03-16,13000,13200,4170,4.37,60,-60,0
2001-03-19,12900,13000,3890,4.31,-1090,60,0
2001-03-20,13300,13000,9100,4.31,-3050,60,0
2001-03-21,12900,13400,32480,4.44,-400,280,30
2001-03-22,13300,13800,88720,4.57,-5800,9800,0
2001-03-23,13950,13800,27170,4.57,-440,420,0
2001-03-26,13500,13700,17960,4.54,-4910,420,-10
2001-03-27,13800,13100,23940,4.34,9630,-9630,0
2001-03-28,13200,13000,10860,4.31,-330,320,0
2001-03-29,12950,13000,9450,4.31,-1340,190,0
2001-03-30,13150,13000,4140,4.31,-550,230,0
2001-04-02,13200,13000,5690,4.31,-200,70,0
2001-04-03,13000,12800,8900,4.24,-2750,540,0
2001-04-04,12700,12800,3290,4.24,-630,480,0
2001-04-06,13000,13050,12730,4.32,-2040,1670,-30
2001-04-09,12850,12900,3530,4.27,350,-750,0
2001-04-10,13000,12950,7920,4.29,60,-940,0
2001-04-11,12950,13000,8210,4.31,2290,-2250,0
2001-04-12,13000,13150,51630,4.36,31860,-31440,-30
2001-04-13,13250,13100,5870,4.34,210,-210,0
2001-04-16,13000,13000,7300,4.31,2840,-2840,0
2001-04-17,13000,12950,9190,4.29,-3010,-190,0
2001-04-18,12900,13100,14750,4.34,-2050,-370,0
2001-04-19,13150,13200,18970,4.37,1540,-470,0
2001-04-20,13300,13400,18440,4.44,1890,710,0
2001-04-23,13300,13450,8980,4.45,2830,-690,180
2001-04-24,13600,13450,10000,4.45,-220,400,-180
2001-04-25,13350,13900,44480,4.6,3580,-260,0
2001-04-26,13850,13400,9290,4.44,330,-380,0
2001-04-27,13550,13100,11180,4.34,230,-30,0
2001-04-30,13400,13250,8010,4.39,-880,680,0
2001-05-02,13400,13200,12750,4.37,760,-560,0
2001-05-03,13200,13150,5000,4.36,1260,-960,0
2001-05-04,13200,13350,5340,4.42,70,-70,0
2001-05-07,13500,13300,8430,4.41,0,0,0
2001-05-08,13300,13400,11750,4.44,-60,80,0
2001-05-09,13350,13200,11240,4.37,290,-130,0
2001-05-10,13100,13350,9150,4.42,-20,180,0
2001-05-11,13350,13600,29910,4.5,-1270,1270,0
2001-05-14,13850,13900,25930,4.6,1650,-1650,0
2001-05-15,13950,13600,17710,4.5,-330,330,0
2001-05-16,13900,14050,71310,4.65,-210,-1400,0
2001-05-17,14300,14550,58350,4.82,-4780,11150,0
2001-05-18,14600,14500,26100,4.8,-10530,10730,0
2001-05-21,14300,14100,28550,4.67,-1800,1400,400
2001-05-22,14300,13800,28070,4.57,220,-120,-200
2001-05-23,14000,13950,48610,4.62,-4410,-20390,24800
2001-05-24,14100,13800,30020,4.57,4160,-6160,0
2001-05-25,14200,14250,30470,4.72,-2240,40,2000
2001-05-28,14300.0,14500.0,33350.0,4.8,-11260,270,10980
2001-05-29,14500.0,15100.0,40860.0,5.0,-15580,240,1000
2001-05-30,15300.0,15600.0,57170.0,5.17,-19370,30,11080
2001-05-31,15500.0,15350.0,54500.0,5.08,-25460,23330,380
2001-06-01,15350.0,14800.0,30170.0,4.9,-6070,5590,0
2001-06-04,14800.0,14950.0,7880.0,4.95,-20,310,60
2001-06-05,15100.0,14750.0,14880.0,4.89,-6570,5720,170
2001-06-07,14950.0,15000.0,6430.0,4.97,60,-60,0
2001-06-08,15300.0,14900.0,7420.0,4.94,-900,900,0
2001-06-11,15000.0,15000.0,7590.0,4.97,770,70,0
2001-06-12,14800.0,15900.0,42340.0,5.27,-7430,7430,0
2001-06-13,16000.0,16000.0,23330.0,5.3,860,-520,0
2001-06-14,16000.0,16000.0,14500.0,5.3,-3090,2320,530
2001-06-15,16300.0,15800.0,7990.0,5.23,-3160,560,0
2001-06-18,15800.0,15950.0,11880.0,5.28,-3810,1640,0
2001-06-19,15500.0,15900.0,11250.0,5.27,-6100,6280,-670
2001-06-20,15650.0,15200.0,18170.0,5.03,250,-250,0
2001-06-21,15200.0,14750.0,12860.0,4.89,-1180,1180,0
2001-06-22,14900.0,14600.0,10180.0,4.84,-2010,1960,0
2001-06-25,14400.0,14900.0,10470.0,4.94,-2480,2440,0
2001-06-26,15000.0,15300.0,9330.0,5.07,-6240,6240,0
2001-06-27,15300.0,14800.0,13650.0,4.9,-9350,9420,90
2001-06-28,14800.0,14500.0,10410.0,4.8,6670,320,0
2001-06-29,14700.0,14400.0,5520.0,4.77,130,-130,0
2001-07-02,14600.0,14500.0,4460.0,4.8,250,-250,0
2001-07-03,14550.0,14400.0,2910.0,4.77,-200,200,0
2001-07-04,14450.0,14400.0,3600.0,4.77,-360,360,0
2001-07-05,14450.0,14300.0,2590.0,4.74,150,-230,0
2001-07-06,14300.0,14200.0,2780.0,4.7,-190,190,0
2001-07-09,14100.0,13600.0,3570.0,4.5,170,-170,0
2001-07-10,13600.0,13400.0,3520.0,4.44,-390,90,0
2001-07-11,13450.0,13600.0,3180.0,4.5,-70,70,0
2001-07-12,14000.0,13800.0,2770.0,4.57,-170,100,-90
2001-07-13,13900.0,13600.0,2110.0,4.5,150,-120,0
2001-07-16,13600.0,13300.0,9980.0,4.41,40,-40,0
2001-07-18,13300.0,13000.0,8630.0,4.31,60,-20,0
2001-07-19,13250.0,13000.0,6340.0,4.31,-110,70,0
2001-07-20,12850.0,12800.0,14650.0,4.24,290,-290,0
2001-07-23,12700.0,12400.0,16350.0,4.11,6850,-9010,0
2001-07-24,12350.0,12000.0,38930.0,3.97,10500,-20630,0
2001-07-25,12100.0,12400.0,34520.0,4.11,-8090,3370,0
2001-07-26,12500.0,12900.0,11690.0,4.27,-1280,-4290,0
2001-07-27,12900.0,12800.0,8170.0,4.24,-1440,1440,0
2001-07-30,12600.0,12850.0,880.0,4.26,170,-90,0
2001-07-31,12900.0,13000.0,1180.0,4.31,-520,520,0
2001-08-01,12800.0,13100.0,7340.0,4.34,440,-320,0
2001-08-02,13100.0,13100.0,3530.0,4.34,80,-80,0
2001-08-03,12900.0,12950.0,2240.0,4.29,480,-400,0
2001-08-06,12650.0,12900.0,1450.0,4.27,-150,150,0
2001-08-07,12850.0,13150.0,3040.0,4.36,-2430,2390,0
2001-08-08,13150.0,13150.0,2290.0,4.36,90,-90,0
2001-08-09,12900.0,13000.0,18730.0,4.31,-840,1000,0
2001-08-10,13200.0,12950.0,5470.0,4.29,-180,140,0
2001-08-13,13200.0,13300.0,4780.0,4.41,-2310,2310,0
2001-08-14,13200.0,13500.0,4050.0,4.47,-2530,2530,0
2001-08-16,13500.0,13600.0,1600.0,4.5,-940,940,0
2001-08-17,13600.0,13550.0,1800.0,4.49,-1100,1100,0
2001-08-20,13600.0,13200.0,2040.0,4.37,50,-50,0
2001-08-21,13250.0,13100.0,3670.0,4.34,-740,740,0
2001-08-22,13100.0,13250.0,11430.0,4.39,-1590,1580,0
2001-08-23,13150.0,13200.0,12460.0,4.37,-5620,5620,0
2001-08-24,13500.0,13200.0,12400.0,4.37,-1560,1560,0
2001-08-27,13300.0,13300.0,10820.0,4.41,1710,-1710,0
2001-08-28,13300.0,13300.0,5730.0,4.41,-790,810,0
2001-08-29,13100.0,13200.0,5210.0,4.37,-2610,2610,0
2001-08-30,13150.0,13250.0,7970.0,4.39,-6970,6970,0
2001-08-31,13150.0,13250.0,14450.0,4.39,-8570,8570,0
2001-09-03,13250.0,13450.0,5570.0,4.45,1070,-1070,0
2001-09-04,13600.0,13600.0,3310.0,4.5,70,-90,10
2001-09-05,13400.0,13400.0,1530.0,4.44,-250,400,-150
2001-09-06,13150.0,13350.0,760.0,4.42,-70,70,0
2001-09-07,13000.0,13400.0,3020.0,4.44,-1630,2040,20
2001-09-10,13250.0,13300.0,2090.0,4.41,-1650,1660,-10
2001-09-11,13150.0,13300.0,2210.0,4.41,-1100,1100,0
2001-09-12,12100.0,12500.0,10260.0,4.14,-6900,6690,90
2001-09-13,13200.0,13100.0,5510.0,4.34,840,-950,0
2001-09-14,12800.0,13000.0,7870.0,4.31,-4630,3910,-70
2001-09-17,12500.0,12500.0,5640.0,4.14,-5030,4020,0
2001-09-18,12500.0,12700.0,1300.0,4.21,-180,80,0
2001-09-19,12750.0,12950.0,1040.0,4.29,-70,80,0
2001-09-20,12700.0,13100.0,1140.0,4.34,-290,310,-20
2001-09-21,12750.0,12750.0,830.0,4.22,110,-110,0
2001-09-24,13050.0,13050.0,1220.0,4.32,-830,770,0
2001-09-25,12900.0,13000.0,1980.0,4.31,-940,940,0
2001-09-26,13000.0,13100.0,780.0,4.34,-450,450,0
2001-09-27,13100.0,12950.0,940.0,4.29,-120,120,0
2001-09-28,13250.0,13000.0,2240.0,4.31,-550,550,0
2001-10-04,13000.0,13300.0,2070.0,4.41,70,-70,0
2001-10-05,13450.0,13300.0,1540.0,4.41,40,-40,0
2001-10-08,13300.0,13150.0,1950.0,4.36,-70,70,0
2001-10-09,13000.0,13050.0,7540.0,4.32,-1800,1800,0
2001-10-10,13100.0,13250.0,6610.0,4.39,-1090,1090,0
2001-10-11,13400.0,13200.0,7780.0,4.37,-2640,1960,0
2001-10-12,13300.0,13250.0,6710.0,4.39,-3860,5030,0
2001-10-15,13000.0,13400.0,7060.0,4.44,500,1590,0
2001-10-16,13200.0,13500.0,3420.0,4.47,1370,140,0
2001-10-17,13400.0,13400.0,5910.0,4.44,-140,140,0
2001-10-18,13250.0,13450.0,4230.0,4.45,310,-310,0
2001-10-19,13450.0,13250.0,8440.0,4.39,2840,-280,0
2001-10-22,13400.0,13200.0,1590.0,4.37,80,-80,0
2001-10-23,13300.0,13500.0,11000.0,4.47,-2170,2170,0
2001-10-24,13600.0,14000.0,8590.0,4.64,90,-90,0
2001-10-25,14100.0,14000.0,8050.0,4.64,30,-30,0
2001-10-26,14000.0,13700.0,4610.0,4.54,1060,-1060,0
2001-10-29,13700.0,13600.0,3070.0,4.5,390,-390,0
2001-10-30,13500.0,13250.0,5930.0,4.39,0,0,0
2001-10-31,13100.0,13300.0,2220.0,4.41,-140,140,0
2001-11-01,13250.0,13400.0,4690.0,4.44,90,-90,0
2001-11-02,13450.0,13300.0,3320.0,4.41,-190,190,0
2001-11-05,13500.0,13300.0,2430.0,4.41,1230,170,-1400
2001-11-06,13600.0,13500.0,16310.0,4.47,-430,430,0
2001-11-07,13400.0,13500.0,2400.0,4.47,-50,-150,0
2001-11-08,13550.0,13600.0,4180.0,4.5,-670,670,0
2001-11-09,13600.0,13450.0,1840.0,4.45,410,-400,0
2001-11-12,13450.0,13500.0,2210.0,4.47,30,-30,0
2001-11-13,13700.0,13500.0,3550.0,4.47,-270,270,0
2001-11-14,13550.0,13600.0,24480.0,4.5,50,-50,0
2001-11-15,13700.0,13650.0,7360.0,4.52,-1720,1720,0
2001-11-16,13700.0,13900.0,13770.0,4.6,-550,550,0
2001-11-19,13900.0,14250.0,10900.0,4.72,-870,800,60
2001-11-20,14300.0,14150.0,14830.0,4.69,1880,100,20
2001-11-21,14000.0,14700.0,38850.0,4.87,3630,-3780,80
2001-11-22,14850.0,14700.0,47310.0,4.87,30920,-30170,0
2001-11-23,14800.0,14500.0,35840.0,4.8,2700,-2260,0
2001-11-26,14550.0,14600.0,19500.0,4.84,-520,520,0
