Symbol,삼성증권_시가(원),삼성증권_종가(원),삼성증권_거래량(주),삼성증권_PER(IFRS-연결),삼성증권_순매수수량(개인)(주),삼성증권_순매수수량(기관계)(주),삼성증권_순매수수량(외국인계)(주)
2004-08-24,20550.0,20250.0,262471.0,14.03,98602,4038,-97280
2004-08-25,20500.0,20700.0,386565.0,14.34,-134043,-6448,142001
2004-08-26,21000.0,20600.0,525426.0,14.27,25145,-13365,-17440
2004-08-27,20800.0,20500.0,272801.0,14.2,77141,-40411,-36250
2004-08-30,20400.0,19850.0,467795.0,13.75,196740,-4550,-192800
2004-08-31,19550.0,19800.0,322882.0,13.72,54291,6370,-61161
2004-09-01,19800.0,20350.0,693327.0,14.1,-131060,93600,-16440
2004-09-02,20450.0,21050.0,767960.0,14.58,-472690,67220,389900
2004-09-03,21500.0,21700.0,1202693.0,15.03,-559170,-42590,605260
2004-09-06,21800.0,21700.0,250250.0,15.03,-33925,23565,10150
2004-09-07,21650.0,21600.0,212634.0,14.96,-76980,7120,70600
2004-09-08,21500.0,21500.0,256537.0,14.89,-87596,-12124,101110
2004-09-09,21400.0,21350.0,408200.0,14.79,23740,-50130,-4630
2004-09-10,21050.0,21400.0,348251.0,14.83,61411,-7341,-53600
2004-09-13,21700.0,21950.0,492847.0,15.21,-170257,74076,100381
2004-09-14,21850.0,21000.0,674482.0,14.55,278351,-46571,-220990
2004-09-15,21000.0,20850.0,335840.0,14.44,89456,8254,-91310
2004-09-16,20550.0,21000.0,316017.0,14.55,-94010,47790,39570
2004-09-17,20950.0,20600.0,297466.0,14.27,97395,-48425,-50300
2004-09-20,20800.0,21150.0,409796.0,14.65,-56647,-73143,128400
2004-09-21,21200.0,20800.0,347782.0,14.41,81455,-90775,8610
2004-09-22,21050.0,20300.0,415762.0,14.06,18272,-74732,57000
2004-09-23,19950.0,19800.0,432520.0,13.72,177870,-80580,-102520
2004-09-24,19550.0,19700.0,333640.0,13.65,134720,-1970,-128090
2004-09-30,19550.0,19550.0,286351.0,13.54,119560,28260,-148850
2004-10-01,19450.0,19950.0,244842.0,13.82,46210,-19870,-12180
2004-10-04,20250.0,21150.0,632881.0,14.65,-232065,77635,139210
2004-10-05,21350.0,21200.0,490232.0,14.69,46840,13290,-64260
2004-10-06,21150.0,21750.0,809729.0,15.07,-315520,88030,217800
2004-10-07,21800.0,21350.0,732490.0,14.79,-293250,49320,244950
2004-10-08,21000.0,21700.0,601202.0,15.03,-78330,-29540,80770
2004-10-11,21650.0,21800.0,271980.0,15.1,-15670,35340,-21430
2004-10-12,21600.0,20750.0,526684.0,14.38,167915,-34235,-150450
2004-10-13,20800.0,20550.0,456542.0,14.24,84583,-19840,-45910
2004-10-14,20400.0,19850.0,677647.0,13.75,419930,-36700,-380480
2004-10-15,19450.0,19600.0,583078.0,13.58,168690,-32830,-130080
2004-10-18,19650.0,19700.0,264363.0,13.65,79390,-120,-79820
2004-10-19,20000.0,20000.0,372726.0,13.86,-71015,7340,62330
2004-10-20,20000.0,19200.0,451420.0,13.3,184460,-74520,-103540
2004-10-21,19250.0,19000.0,412828.0,13.16,142090,-164890,20540
2004-10-22,19000.0,19400.0,329080.0,13.44,-63200,-14090,101950
2004-10-25,19000.0,18700.0,475879.0,12.96,216295,-85705,-121810
2004-10-26,18550.0,18600.0,226039.0,12.89,100259,-10569,-86870
2004-10-27,18750.0,18300.0,261592.0,12.68,81660,-39950,-29450
2004-10-28,18700.0,19250.0,346701.0,13.34,-149410,39650,110180
2004-10-29,18900.0,19150.0,430091.0,13.27,380,61530,-62190
2004-11-01,19150.0,18800.0,244951.0,13.02,55190,-50070,-5140
2004-11-02,19000.0,19250.0,204353.0,13.34,-20200,60490,-41390
2004-11-03,19300.0,19500.0,477715.0,13.51,34098,21582,-55320
2004-11-04,19500.0,18850.0,479921.0,13.06,-2332,-3348,1770
2004-11-05,19050.0,18650.0,773180.0,12.92,176645,43215,-181800
2004-11-08,18850.0,18400.0,284217.0,12.75,63695,-65335,3100
2004-11-09,18350.0,18150.0,333436.0,12.57,170310,-34180,-136520
2004-11-10,18150.0,18500.0,274823.0,12.82,3517,49923,-52600
2004-11-11,18350.0,19250.0,662222.0,13.34,-284040,30090,255690
2004-11-12,19600.0,19550.0,561410.0,13.54,-310751,130741,180830
2004-11-15,19650.0,19250.0,318348.0,13.34,-32390,9280,25550
2004-11-16,19500.0,20300.0,1034551.0,14.06,-309120,130390,148820
2004-11-17,20250.0,20600.0,540787.0,14.27,-66009,44279,21550
2004-11-18,20700.0,20100.0,309912.0,13.92,-14640,-4120,19410
2004-11-19,20250.0,19550.0,351316.0,13.54,81876,-30456,-49320
2004-11-22,19400.0,19100.0,209528.0,13.23,79210,-78360,720
2004-11-23,19300.0,20050.0,404824.0,13.89,-127051,68411,71640
2004-11-24,19800.0,20050.0,403845.0,13.89,11640,-57580,41770
2004-11-25,20150.0,19500.0,289920.0,13.51,71160,80,-71030
2004-11-26,19600.0,19300.0,342241.0,13.37,54570,-53410,-1510
2004-11-29,19350.0,19550.0,258269.0,13.54,17250,-24940,38130
2004-11-30,19450.0,19850.0,246038.0,13.75,-10655,-27655,40130
2004-12-01,19950.0,19750.0,281870.0,13.68,27960,23500,-50450
2004-12-02,20150.0,20000.0,471834.0,13.86,-92320,51980,40330
2004-12-03,20250.0,20000.0,456578.0,13.86,-160095,14615,146180
2004-12-06,20100.0,20450.0,431921.0,14.17,-192280,1040,192260
2004-12-07,20300.0,19800.0,421417.0,13.72,123670,-14550,-107430
2004-12-08,19600.0,19700.0,294230.0,13.65,84560,11550,-95880
2004-12-09,19700.0,19500.0,466560.0,13.51,145940,-68590,-81090
2004-12-10,19550.0,19000.0,481169.0,13.16,206427,-41107,-166890
2004-12-13,18900.0,18700.0,536071.0,12.96,138196,29454,-177500
2004-12-14,18800.0,18650.0,495869.0,12.92,128960,-13060,-115710
2004-12-15,18800.0,19050.0,472467.0,13.2,50930,76980,-130750
2004-12-16,19400.0,19200.0,649260.0,13.3,180010,-42820,-139550
2004-12-17,19900.0,21400.0,4116669.0,14.83,-662647,846527,-277480
2004-12-20,21400.0,22000.0,1269891.0,15.24,-327330,295220,-9170
2004-12-21,22000.0,22300.0,1394333.0,15.45,-483298,523628,-113220
2004-12-22,22500.0,23300.0,2168998.0,16.14,-473660,420810,8780
2004-12-23,23300.0,22800.0,850708.0,15.8,-111486,157586,-52550
2004-12-24,23050.0,23400.0,974225.0,16.21,-26536,167066,-190040
2004-12-27,23200.0,23150.0,678374.0,16.04,65256,-128476,64060
2004-12-28,22800.0,22950.0,827588.0,15.9,-219913,159683,23610
2004-12-29,23200.0,24900.0,2093655.0,17.25,-554895,269900,118360
2004-12-30,25000.0,25100.0,1258945.0,17.39,-65878,68583,-41170
2005-01-03,25700.0,25150.0,578157.0,17.42,-57216,37336,3340
2005-01-04,25250.0,24850.0,900178.0,17.22,91225,-30145,-38900
2005-01-05,24350.0,24400.0,728568.0,16.9,123680,-69310,-18470
2005-01-06,24300.0,24450.0,782780.0,16.94,9062,43958,6920
2005-01-07,24400.0,23600.0,847165.0,16.35,249092,-137512,-72580
2005-01-10,23600.0,24450.0,793868.0,16.94,-238495,152895,98730
2005-01-11,24600.0,25000.0,745568.0,17.32,-32194,77114,6880
2005-01-12,24850.0,23950.0,854248.0,16.59,179309,47891,-229080
2005-01-13,24000.0,24500.0,477690.0,16.97,-35830,21330,-1990
2005-01-14,24050.0,25300.0,990076.0,17.53,-255968,164027,80270
2005-01-17,26150.0,26550.0,2057269.0,18.39,-417727,-22970,477590
2005-01-18,26900.0,26950.0,1616262.0,18.67,-429296,139796,228150
2005-01-19,26950.0,26750.0,643842.0,18.53,5750,35810,-32860
2005-01-20,26500.0,26200.0,752825.0,18.15,32055,94875,-122200
2005-01-21,25800.0,26050.0,728541.0,18.05,154010,18650,-174050
2005-01-24,25900.0,26950.0,824923.0,18.67,24119,49731,-72760
2005-01-25,26800.0,26500.0,603412.0,18.36,-44179,-2851,36880
2005-01-26,26900.0,27450.0,1140775.0,19.02,-370751,243126,32545
2005-01-27,28050.0,27500.0,1924351.0,19.05,-369560,270610,61300
2005-01-28,27900.0,27600.0,718890.0,19.12,16032,98928,-141040
2005-01-31,27400.0,27200.0,806058.0,18.84,146106,-29306,-108350
2005-02-01,27050.0,26500.0,657251.0,18.36,71339,22991,-94710
2005-02-02,26650.0,26350.0,685271.0,18.26,197761,-45681,-154780
2005-02-03,26200.0,26500.0,461454.0,18.36,40630,4020,-65470
2005-02-04,26300.0,26750.0,540246.0,18.53,29328,-60458,23090
2005-02-07,27250.0,28300.0,1140924.0,19.61,-547982,-35298,515160
2005-02-11,27700.0,28250.0,570803.0,19.57,-15683,2850,-7547
2005-02-14,28500.0,28400.0,662996.0,19.68,1839,-5299,-3900
2005-02-15,28700.0,28650.0,840220.0,19.85,-66046,-98614,180000
2005-02-16,28900.0,28250.0,832362.0,19.57,-19620,-51880,95490
2005-02-17,28200.0,28200.0,812449.0,19.54,11402,-113832,104290
2005-02-18,27850.0,28200.0,795289.0,19.54,295040,-63000,-228960
2005-02-21,28750.0,28200.0,1248701.0,19.54,129691,35639,-191250
2005-02-22,28300.0,27550.0,753382.0,19.09,58431,-15201,-38430
2005-02-23,27050.0,26500.0,1094859.0,18.36,133690,-74200,-70000
2005-02-24,26550.0,27350.0,989527.0,18.95,2004,-32274,97900
2005-02-25,27400.0,27450.0,1020198.0,19.02,151148,-88198,-42740
2005-02-28,28000.0,29150.0,2316250.0,20.19,-342761,-52609,348000
2005-03-02,29700.0,29600.0,3118867.0,20.51,-174370,80350,124830
2005-03-03,29400.0,29400.0,1123762.0,20.37,127922,38218,-107550
2005-03-04,29400.0,28500.0,919302.0,19.74,151422,-9602,-93090
2005-03-07,28700.0,28000.0,1156130.0,19.4,154260,-126920,990
2005-03-08,28150.0,27350.0,1074489.0,18.95,392100,-23150,-352550
2005-03-09,27000.0,27350.0,901431.0,18.95,226052,-48702,-160470
2005-03-10,27000.0,27350.0,858502.0,18.95,155820,-97430,-15420
2005-03-11,27600.0,28800.0,1300040.0,19.95,-187051,83591,55070
2005-03-14,28800.0,28450.0,1219501.0,19.71,84418,28420,-30850
2005-03-15,28900.0,27500.0,1067008.0,19.05,-94490,-59910,194630
2005-03-16,27200.0,27500.0,681990.0,19.05,-31110,25230,2320
2005-03-17,26800.0,27200.0,750277.0,18.84,-16850,35050,8190
2005-03-18,26700.0,26400.0,742926.0,18.29,96910,2360,-107400
2005-03-21,26300.0,26050.0,713494.0,18.05,65088,-39648,-31450
2005-03-22,25850.0,25700.0,615397.0,17.8,142963,-74463,-65810
2005-03-23,25400.0,24500.0,1002448.0,16.97,169183,-23173,-66900
2005-03-24,24900.0,24000.0,1337797.0,16.63,371863,-77498,-136261
2005-03-25,24100.0,24750.0,548741.0,17.15,-69296,66256,6710
2005-03-28,25000.0,25250.0,852716.0,17.49,117778,-165612,59870
2005-03-29,25350.0,24850.0,674680.0,17.22,7431,-107031,104900
2005-03-30,24500.0,24450.0,839645.0,16.94,-120531,58071,58810
2005-03-31,25000.0,25500.0,721908.0,17.67,-259545,25895,228580
2005-04-01,25350.0,25850.0,683010.0,56.15,-87570,-52300,111660
2005-04-04,25500.0,25050.0,569462.0,54.41,147318,-170878,23920
2005-04-06,25400.0,25350.0,666681.0,55.07,-20321,-118739,146790
2005-04-07,25500.0,26550.0,1298793.0,57.67,-520480,18268,506212
2005-04-08,27150.0,26900.0,792807.0,58.43,-219680,-47540,259850
2005-04-11,26800.0,26200.0,401261.0,56.91,10899,-101859,91640
2005-04-12,26300.0,26300.0,285987.0,57.13,50854,-49684,3820
2005-04-13,26650.0,25850.0,577430.0,56.15,164380,-222790,36260
2005-04-14,25450.0,25050.0,679250.0,54.41,209000,-237860,11220
2005-04-15,24950.0,25150.0,607946.0,54.63,-55263,-122937,177670
2005-04-18,24250.0,24000.0,638072.0,52.14,10144,-9824,3030
2005-04-19,24300.0,24900.0,631975.0,54.09,-124903,7843,142440
2005-04-20,25150.0,24900.0,444203.0,54.09,-53090,-29780,90260
2005-04-21,24550.0,25100.0,387079.0,54.52,-48474,28340,17884
2005-04-22,25600.0,25200.0,459670.0,54.74,-93685,10815,74890
2005-04-25,24850.0,25100.0,263569.0,54.52,-56990,39940,8180
2005-04-26,25300.0,24950.0,340196.0,54.2,-39500,-70430,111580
2005-04-27,24500.0,24200.0,440305.0,52.57,151848,-119068,-25850
2005-04-28,24450.0,24100.0,497585.0,52.35,-52516,11000,45296
2005-04-29,23400.0,23550.0,345382.0,51.16,18650,12140,2830
2005-05-02,23850.0,24100.0,224378.0,52.35,-45140,58630,-15390
2005-05-03,24000.0,23500.0,346884.0,51.05,132420,-16660,-90340
2005-05-04,23600.0,24150.0,399289.0,52.46,-18831,36931,-17530
2005-05-06,24150.0,24200.0,601389.0,52.57,-80800,52940,28270
2005-05-09,24500.0,24500.0,505870.0,53.22,-148120,-85930,243220
2005-05-10,24800.0,24500.0,168831.0,53.22,-55370,16920,36520
2005-05-11,24250.0,23900.0,308190.0,51.92,-13550,-77940,103210
2005-05-12,23900.0,23850.0,217648.0,51.81,72760,18840,-86290
2005-05-13,23500.0,24150.0,280890.0,52.46,-90,24440,-20460
2005-05-16,24200.0,24350.0,339227.0,52.89,-91241,64861,15890
2005-05-17,24900.0,24000.0,309543.0,52.14,61070,-12830,-47240
2005-05-18,24300.0,24400.0,404475.0,53.0,-125520,42260,87710
2005-05-19,24900.0,25550.0,633259.0,55.5,-368541,159081,168890
2005-05-20,25700.0,25750.0,508841.0,55.94,-259539,106179,156580
2005-05-23,26000.0,25700.0,248178.0,55.83,-6584,-5036,10900
2005-05-24,26150.0,26000.0,248013.0,56.48,-51340,22160,35900
2005-05-25,26000.0,25100.0,266199.0,54.52,-37477,25267,21290
2005-05-26,25000.0,26000.0,301700.0,56.48,-148840,73660,88570
2005-05-27,26250.0,26650.0,622654.0,57.89,-271296,128176,118170
2005-05-30,26700.0,26850.0,351393.0,58.32,-81586,72509,2510
2005-05-31,26800.0,26450.0,354082.0,57.46,20288,26248,-53180
2005-06-01,26100.0,26200.0,401683.0,56.91,26779,-66790,30110
2005-06-02,26600.0,26600.0,417983.0,57.78,-97793,5233,102840
2005-06-03,26600.0,26300.0,349726.0,57.13,23634,30906,-51580
2005-06-07,26100.0,26550.0,359052.0,57.67,-127792,-13288,141090
2005-06-08,26500.0,26300.0,286218.0,57.13,-20395,60135,9980
2005-06-09,26300.0,27150.0,747330.0,58.98,-218993,159363,74570
2005-06-10,27300.0,27350.0,471520.0,59.41,-120829,79,111070
2005-06-13,27550.0,27050.0,492160.0,58.76,-4115,5265,9310
2005-06-14,27050.0,26300.0,423022.0,57.13,68106,-81966,1220
2005-06-15,26400.0,28200.0,1185047.0,61.26,-160323,53492,102771
2005-06-16,28000.0,28000.0,699012.0,60.82,-224704,96304,107070
2005-06-17,28400.0,28100.0,588223.0,61.04,-315278,211768,54150
2005-06-20,27850.0,27200.0,408441.0,59.09,42319,-39119,18010
2005-06-21,27100.0,27100.0,382056.0,58.87,-6700,14110,-7170
2005-06-22,27050.0,28150.0,1200115.0,61.15,-342672,256582,54410
2005-06-23,28450.0,28500.0,583569.0,61.91,-186857,86167,71580
2005-06-24,27950.0,28200.0,358629.0,61.26,-10947,9947,320
2005-06-27,27600.0,27700.0,392268.0,60.17,-17110,-51200,74310
2005-06-28,27500.0,27300.0,381097.0,59.3,27260,-3270,60
2005-06-29,27850.0,27450.0,268283.0,59.63,-13190,-1710,3500
2005-06-30,27350.0,27800.0,383678.0,60.39,-15630,29620,26040
2005-07-01,27700.0,27550.0,696097.0,59.85,265846,-316776,89520
2005-07-04,27900.0,28000.0,729196.0,60.82,-20690,-120,31860
2005-07-05,28000.0,27700.0,400122.0,60.17,23532,10098,-39330
2005-07-06,27900.0,27900.0,261575.0,60.61,-40758,-12,44530
2005-07-07,27700.0,27750.0,337871.0,60.28,8048,6502,-11500
2005-07-08,27800.0,27700.0,426008.0,60.17,-111978,-38822,148720
2005-07-11,28500.0,28450.0,658041.0,61.8,-233302,65042,163010
2005-07-12,28800.0,28250.0,753945.0,61.36,43144,-37120,3736
2005-07-13,28350.0,28700.0,557369.0,62.34,9221,11459,-3330
2005-07-14,28900.0,28600.0,790535.0,62.13,167150,-43350,-119340
2005-07-15,28650.0,28100.0,631097.0,61.04,97118,-70188,-48230
2005-07-18,28250.0,28050.0,407835.0,60.93,-14270,20,9350
2005-07-19,28000.0,28400.0,782191.0,61.69,97123,-81049,-45680
2005-07-20,28700.0,29300.0,3527139.0,63.65,-299197,-135015,375942
2005-07-21,30100.0,29550.0,1221387.0,64.19,-310086,-7928,313870
2005-07-22,29000.0,29850.0,928658.0,64.84,-309023,60310,238690
2005-07-25,29850.0,30800.0,1121875.0,66.9,-385736,89356,319230
2005-07-26,30600.0,30600.0,1507385.0,66.47,-148033,45453,130070
2005-07-27,31050.0,31000.0,1190089.0,67.34,-325770,47230,276710
2005-07-28,31450.0,32400.0,1643803.0,70.38,-537400,144500,209830
2005-07-29,32650.0,32200.0,972532.0,69.95,-34987,-10343,27050
2005-08-01,32200.0,32200.0,606350.0,69.95,-155697,-6703,143990
2005-08-02,32500.0,32600.0,956965.0,70.81,-96731,81161,28880
2005-08-03,33200.0,32500.0,1251406.0,70.6,-124761,142641,-81830
2005-08-04,32700.0,30950.0,1068556.0,67.23,82170,71580,-153850
2005-08-05,30700.0,30650.0,783158.0,66.58,10292,-86282,129790
2005-08-08,30300.0,30400.0,827710.0,66.04,-26709,73380,14780
2005-08-09,30500.0,31850.0,730589.0,69.19,-241320,53530,198220
2005-08-10,32200.0,32300.0,631178.0,70.16,-147910,15880,105630
2005-08-11,32050.0,32950.0,542841.0,71.58,-119195,76295,7980
2005-08-12,33050.0,32600.0,914048.0,70.81,246809,90476,-339375
2005-08-16,32800.0,32850.0,1348577.0,71.36,13873,190447,-181590
2005-08-17,32200.0,34000.0,1782243.0,73.86,-311361,406791,-137980
2005-08-18,34400.0,33050.0,1547745.0,71.79,-405680,114371,330859
2005-08-19,33000.0,33700.0,890129.0,73.2,60143,-4223,-49810
2005-08-22,33800.0,34600.0,758574.0,75.16,-217394,191484,-3470
2005-08-23,34600.0,34750.0,678759.0,75.49,-230370,142300,78850
2005-08-24,34850.0,34500.0,1310843.0,74.94,-240690,62000,96800
2005-08-25,34000.0,33500.0,1086348.0,72.77,315670,114580,-459600
2005-08-26,33450.0,32050.0,748280.0,69.62,39212,-95152,13510
2005-08-29,31200.0,30750.0,715054.0,66.8,-5420,39140,-36780
2005-08-30,31450.0,31100.0,782256.0,67.56,188349,-111469,-84240
2005-08-31,30400.0,31700.0,643364.0,68.86,-58161,29591,29880
2005-09-01,32100.0,33200.0,987659.0,72.12,-455864,285034,49310
2005-09-02,33200.0,33700.0,522780.0,73.2,-171789,125710,78689
2005-09-05,33700.0,33200.0,450136.0,72.12,-85386,13036,76220
2005-09-06,33450.0,33150.0,906177.0,72.01,-117727,78747,2770
2005-09-07,33950.0,34950.0,1109288.0,75.92,-470709,301239,115510
2005-09-08,35600.0,35850.0,1538306.0,77.88,-429306,152156,289730
2005-09-09,35500.0,38250.0,1440211.0,83.09,-382679,167459,100810
2005-09-12,38850.0,40700.0,2402427.0,88.41,-342077,141943,23374
2005-09-13,40700.0,40000.0,1097663.0,86.89,36016,-23296,-10240
2005-09-14,39650.0,42350.0,1550517.0,92.0,-59823,92843,-101570
2005-09-15,41000.0,41000.0,1332116.0,89.06,121457,48473,-146930
2005-09-16,41500.0,40750.0,1327426.0,88.52,304850,-290,-313790
2005-09-20,42000.0,40950.0,1115847.0,88.95,-48876,-44904,47170
2005-09-21,40150.0,41300.0,1081357.0,89.71,-142990,50090,92710
2005-09-22,40850.0,42000.0,862052.0,91.24,-125491,132280,-3849
2005-09-23,42000.0,40600.0,1357111.0,88.19,72061,211869,-319690
2005-09-26,41150.0,44550.0,1528336.0,96.77,-119499,116319,-40480
2005-09-27,44500.0,45900.0,1700286.0,99.71,-146970,44090,100890
2005-09-28,45900.0,45850.0,1422954.0,99.6,252180,70520,-333982
2005-09-29,46100.0,45000.0,1007085.0,97.75,8169,-4209,43380
2005-09-30,45400.0,44000.0,1186747.0,95.58,117055,-102729,-3916
2005-10-04,43500.0,44750.0,993012.0,97.21,-41521,115671,-73560
2005-10-05,44250.0,43700.0,878253.0,94.93,60797,-54457,-21060
2005-10-06,42500.0,41800.0,1266030.0,90.8,336687,-49767,-294910
2005-10-07,41500.0,40950.0,1171097.0,88.95,198190,45160,-247730
2005-10-10,41000.0,41800.0,984653.0,90.8,4136,-76746,43980
2005-10-11,41550.0,43400.0,1048818.0,94.28,-4286,-28304,62790
2005-10-12,43950.0,42100.0,1533253.0,91.45,-97769,-253161,380940
2005-10-13,41600.0,41900.0,1028665.0,91.02,158460,-59780,-117640
2005-10-14,42300.0,41100.0,1002669.0,89.28,83393,-61365,-28898
2005-10-17,41300.0,40350.0,835509.0,87.65,119440,-93260,-20680
2005-10-18,40950.0,40450.0,892365.0,87.87,10680,-61930,43360
2005-10-19,39950.0,38800.0,919851.0,84.28,103790,-11590,-115540
2005-10-20,39800.0,38850.0,774985.0,84.39,-42840,4410,-8680
2005-10-21,38000.0,40900.0,979772.0,88.85,-278360,192840,71350
2005-10-24,41150.0,40900.0,599642.0,88.85,17301,-15121,-3290
2005-10-25,41850.0,41400.0,1039053.0,89.93,-160423,29883,132820
2005-10-26,41800.0,41850.0,420337.0,90.91,-45870,41250,4540
2005-10-27,41550.0,40350.0,604040.0,87.65,45450,53150,-111240
2005-10-28,39500.0,39050.0,839290.0,84.83,271570,-121248,-103052
2005-10-31,39900.0,39600.0,563084.0,86.02,-66823,95633,-20310
2005-11-01,40100.0,43100.0,1429461.0,93.62,-381567,122447,279800
2005-11-02,43600.0,43800.0,943473.0,95.14,-158771,117061,24680
2005-11-03,44700.0,43450.0,705639.0,94.39,-104180,55190,44260
2005-11-04,44200.0,44050.0,1087231.0,95.69,-22062,68242,-49440
2005-11-07,44650.0,44000.0,614759.0,95.58,25283,38477,-71540
2005-11-08,44200.0,43950.0,683430.0,95.47,19165,54760,-98855
2005-11-09,44000.0,44000.0,913679.0,95.58,-11236,71536,-72390
2005-11-10,44450.0,45900.0,1973883.0,99.71,-98098,440928,-441580
2005-11-11,46800.0,47000.0,1367149.0,102.1,-444473,245143,148010
2005-11-14,47700.0,46650.0,881948.0,101.34,72319,58717,-120696
2005-11-15,46250.0,47800.0,752922.0,103.83,17624,33596,-27450
2005-11-16,47500.0,49850.0,1625588.0,108.29,-250855,286070,-55915
2005-11-17,49950.0,51100.0,1174974.0,111.0,-132419,34869,32780
2005-11-18,51800.0,52100.0,1597828.0,113.17,33424,-17781,-24123
2005-11-21,52400.0,52100.0,852322.0,113.17,-1768,22218,-59880
2005-11-22,51500.0,50700.0,1019843.0,110.13,56328,31212,-75280
2005-11-23,51100.0,57000.0,2128758.0,123.82,-197957,102097,104060
2005-11-24,57000.0,55700.0,1872360.0,120.99,635505,9085,-684650
2005-11-25,56000.0,55700.0,1132371.0,120.99,270779,-869,-260190
2005-11-28,55700.0,54000.0,1666879.0,117.3,621609,-225129,-266680
2005-11-29,53300.0,53800.0,1120780.0,116.87,126750,-106540,-14970
2005-11-30,54200.0,55300.0,2147990.0,120.13,178584,23296,-211030
2005-12-01,54700.0,55300.0,1012899.0,120.13,-24434,-60056,111590
2005-12-02,57100.0,54300.0,1339775.0,117.95,-31800,-42550,28650
2005-12-05,53700.0,56400.0,1290502.0,122.51,-61680,40266,-43600
2005-12-06,56800.0,55900.0,1346395.0,121.43,-29431,73521,-160930
2005-12-07,55600.0,55400.0,1645990.0,120.34,34149,5301,-14230
2005-12-08,56000.0,56000.0,1689780.0,121.65,58042,180538,-226430
2005-12-09,55500.0,54800.0,1310221.0,119.04,32888,82732,-119050
2005-12-12,54500.0,55800.0,1270194.0,121.21,-44115,69257,-87790
2005-12-13,55600.0,58700.0,2040579.0,127.51,-105034,218454,-96250
2005-12-14,59600.0,58200.0,1591724.0,126.42,-106095,-93245,141300
2005-12-15,58700.0,58000.0,943584.0,125.99,-164998,-392,154920
2005-12-16,56600.0,56500.0,1164522.0,122.73,155105,-11431,-143504
2005-12-19,56100.0,57500.0,821960.0,124.9,-222523,195643,30010
2005-12-20,57000.0,57300.0,996577.0,124.47,30117,184283,-214010
2005-12-21,57500.0,58000.0,885748.0,125.99,172419,4331,-145160
2005-12-22,58800.0,56200.0,1221229.0,122.08,162417,-3807,-136210
2005-12-23,56400.0,55700.0,683747.0,120.99,79964,-37718,-22080
2005-12-26,55300.0,54700.0,823714.0,118.82,105829,23341,-130500
2005-12-27,54400.0,54700.0,667235.0,118.82,-4796,15771,15520
2005-12-28,55300.0,57100.0,1458515.0,124.04,174350,26770,-127600
2005-12-29,58400.0,62100.0,2847616.0,134.9,-903251,696311,123770
2006-01-02,63000.0,63100.0,1086854.0,137.07,77729,-6499,-70490
2006-01-03,62700.0,63800.0,920057.0,138.59,-34858,-46232,92450
2006-01-04,64700.0,62100.0,844205.0,134.9,-77565,78905,45030
2006-01-05,62200.0,61600.0,1127470.0,133.81,107458,-22938,-82610
2006-01-06,61600.0,61100.0,900780.0,132.72,233293,60947,-292640
2006-01-09,61600.0,62800.0,1333839.0,136.42,-48230,55070,18310
2006-01-10,62900.0,60200.0,1150816.0,130.77,317322,-38712,-297310
2006-01-11,59800.0,59200.0,1051678.0,128.6,322085,-95985,-237130
2006-01-12,59600.0,59100.0,974296.0,128.38,238005,-193535,-28980
2006-01-13,58600.0,61200.0,1211476.0,132.94,20949,-14349,11330
2006-01-16,61400.0,60000.0,1285457.0,130.34,329470,-85606,-220554
2006-01-17,59800.0,56400.0,1702030.0,122.51,405501,-338901,-13720
2006-01-18,55500.0,52900.0,2546240.0,114.91,502318,-124278,-510750
2006-01-19,53200.0,52800.0,1447904.0,114.7,-112484,-86960,211644
2006-01-20,52900.0,48800.0,2063106.0,106.01,351582,-136882,-100600
2006-01-23,47750.0,47900.0,1778093.0,104.05,18954,-13754,68200
2006-01-24,49300.0,50400.0,1856829.0,109.48,-36893,-123907,222190
2006-01-25,50900.0,50300.0,1423483.0,109.26,12833,-189003,222610
2006-01-26,50300.0,51300.0,1093708.0,111.44,132109,19471,-173590
2006-01-27,52600.0,53300.0,1101242.0,115.78,-47404,22284,29910
2006-01-31,53300.0,52800.0,907108.0,114.7,101172,-68722,-13100
2006-02-01,51800.0,48850.0,1780322.0,106.11,603495,-237745,-321760
2006-02-02,49850.0,47800.0,1603635.0,103.83,419937,-213687,-158700
2006-02-03,45300.0,45300.0,1391637.0,98.4,198480,-83080,-96360
2006-02-06,45000.0,48200.0,1510286.0,104.7,-182261,3401,207700
2006-02-07,48500.0,46400.0,1014871.0,100.79,49466,-36186,-830
2006-02-08,46200.0,44800.0,1030414.0,97.32,134180,-33480,-90970
2006-02-09,45700.0,46600.0,969627.0,101.23,-44039,469,17710
2006-02-10,46100.0,48900.0,913444.0,106.22,-299630,194820,45900
2006-02-13,49600.0,48600.0,1014118.0,105.57,-72370,16150,71090
2006-02-14,48600.0,49450.0,954092.0,107.42,21260,173930,-186260
2006-02-15,50500.0,46500.0,1173114.0,101.01,109745,-72880,-33405
2006-02-16,47200.0,48900.0,1090775.0,106.22,-327960,78730,239250
2006-02-17,49050.0,49700.0,761403.0,107.96,-107980,73620,24060
2006-02-20,54000.0,54900.0,3852214.0,119.26,-87688,-81202,181880
2006-02-21,54700.0,55100.0,1508091.0,119.69,-84384,189744,-91180
2006-02-22,54500.0,55300.0,1340439.0,120.13,-75503,166873,-56810
2006-02-23,56000.0,55900.0,995058.0,121.43,-172734,130764,29780
2006-02-24,55700.0,55400.0,828330.0,120.34,-28170,24860,5650
