Symbol,오리온홀딩스_시가(원),오리온홀딩스_종가(원),오리온홀딩스_거래량(주),오리온홀딩스_PER(IFRS-연결),오리온홀딩스_순매수수량(개인)(주),오리온홀딩스_순매수수량(기관계)(주),오리온홀딩스_순매수수량(외국인계)(주)
2000-01-04,34400,35200,23180,4.05,-2630,2140,310
2000-01-05,36200,36200,27420,4.16,-8810,8810,0
2000-01-06,36400,34900,26920,4.01,-1130,-2830,980
2000-01-07,34200,35000,28330,4.02,-2840,1960,880
2000-01-10,35000,35000,17730,4.02,130,-980,710
2000-01-11,39800,36250,55820,4.17,4430,-3260,680
2000-01-12,38000,38800,74630,4.46,-1730,5730,-4000
2000-01-13,37100,37000,27800,4.26,-6100,4900,990
2000-01-14,38000,35800,14760,4.12,1580,-1780,200
2000-01-17,36000,36500,88450,4.2,-5760,5930,520
2000-01-18,36100,36300,46940,4.17,-3770,-1410,5180
2000-01-19,36300,35200,61750,4.05,-6690,-14160,46400
2000-01-20,35050,35100,18310,4.04,-2410,1120,1270
2000-01-21,34550,33800,13770,3.89,5770,-6480,950
2000-01-24,33000,34000,60240,3.91,-1580,1420,160
2000-01-25,31600,33050,14850,3.8,-5040,5090,0
2000-01-26,32600,34900,19570,4.01,-8750,9750,-1000
2000-01-27,34300,35000,38110,4.02,-2300,1830,490
2000-01-28,35500,33800,26540,3.89,6360,-6260,-20
2000-01-31,33800,34200,16200,3.93,-2380,2380,0
2000-02-01,34500,33350,13240,3.83,6960,-6850,-30
2000-02-02,33700,34200,13200,3.93,-6790,6790,0
2000-02-03,34400,33800,28040,3.89,-580,580,0
2000-02-07,34800,35500,16170,4.08,-7040,-1370,8400
2000-02-08,36000,34000,8220,3.91,-250,-910,700
2000-02-09,34000,33900,49450,3.9,2540,24460,0
2000-02-10,33150,31100,42050,3.58,31200,-31200,0
2000-02-11,31900,32250,22110,3.71,-8020,-4800,11780
2000-02-14,32350,31500,19310,3.62,-5540,40,6500
2000-02-15,31500,32000,47130,3.68,-2660,-4170,26860
2000-02-16,32100,31950,33550,3.67,-460,-19000,20200
2000-02-17,32000,32000,32370,3.68,-5580,-16200,21580
2000-02-18,32000,31000,47250,3.57,12020,-33940,21000
2000-02-21,30500,30100,52100,3.46,6600,-24500,15100
2000-02-22,32500,30000,113140,3.45,35520,-65370,38190
2000-02-23,30900,30500,100370,3.51,12390,-45480,38180
2000-02-24,31000,32500,92260,3.74,-9150,-24860,28010
2000-02-25,32500,34100,78030,3.92,-8770,-11950,20530
2000-02-28,34200,38500,156630,4.43,-12490,-31480,39150
2000-02-29,38500,38500,164720,4.43,-6140,-8750,16040
2000-03-02,40700,38500,125320,4.43,-9910,-5540,15450
2000-03-03,39000,38000,100380,4.37,11590,19260,-37850
2000-03-06,38000,35600,108270,4.09,6910,-3290,-3680
2000-03-07,36100,34900,82200,4.01,14890,-6880,-8010
2000-03-08,34900,34900,69280,4.01,3480,-1320,-2160
2000-03-09,35100,33100,94820,3.81,13570,-21100,8050
2000-03-10,33350,37950,128600,4.36,18000,-11520,-28480
2000-03-13,37950,36500,54130,4.2,-9920,1610,-190
2000-03-14,36000,33600,36010,3.86,6050,-60,-6810
2000-03-15,33300,32600,51300,3.75,3730,10320,-14050
2000-03-16,34600,33500,44700,3.85,-21270,1800,15350
2000-03-17,33500,33000,16700,3.79,5500,1620,-6800
2000-03-20,32500,31800,33730,3.66,4230,3800,-8270
2000-03-21,31500,31600,17030,3.63,430,-2080,420
2000-03-22,32500,31900,30600,3.67,16970,-2950,-18100
2000-03-23,32100,31700,21180,3.64,6870,-7240,-480
2000-03-24,32500,33000,30010,3.79,-13430,8430,5000
2000-03-27,33000,32300,20770,3.72,-9430,10560,0
2000-03-28,31100,32600,17500,3.75,140,-1160,520
2000-03-29,32600,32500,37490,3.74,2280,-12030,10730
2000-03-30,32500,31600,11140,3.63,-140,270,110
2000-03-31,31200,31000,16230,3.57,-1690,1890,-200
2000-04-03,31500,30950,47540,3.56,3150,-17740,13780
2000-04-04,31500,30950,27050,3.56,-1260,-5100,6030
2000-04-06,30600,30700,18100,3.53,-4920,4440,1780
2000-04-07,30100,30850,16480,3.55,-5440,5010,430
2000-04-10,30600,30650,107410,3.53,34440,-26050,-6950
2000-04-11,31200,29600,41080,3.4,340,9630,-10000
2000-04-12,29600,28500,30170,3.28,7120,-9630,2540
2000-04-14,28000,27950,32700,3.21,-3240,5640,-2390
2000-04-17,24500,25000,55890,2.87,-2280,1210,930
2000-04-18,26000,27300,78030,3.14,4200,-26730,32590
2000-04-19,29000,26100,33920,3,13940,-6610,-4920
2000-04-20,26300,25800,56240,2.97,8140,-11370,3200
2000-04-21,26950,26950,34030,3.1,3720,-3660,-50
2000-04-24,26050,26300,17950,3.02,2380,-5020,0
2000-04-25,25500,27800,75820,3.2,-5060,22870,4190
2000-04-26,28300,26700,51460,3.07,-11620,3960,12310
2000-04-27,27000,26600,18640,3.06,-10520,6350,4630
2000-04-28,26600,26500,58140,3.05,9460,1560,-11000
2000-05-02,26500,25550,27770,2.94,21030,-19700,-2330
2000-05-03,25500,26450,74530,3.04,-1190,-53030,54220
2000-05-04,26950,28500,78540,3.28,220,-1010,1790
2000-05-08,28500,28000,58300,3.22,190,-10750,10560
2000-05-09,29200,29300,85810,3.37,15550,-20430,4880
2000-05-10,29350,30000,112950,3.45,-5890,9170,6620
2000-05-12,30000,29100,51980,3.35,-12530,8340,4190
2000-05-15,29150,27850,34290,3.2,160,-5580,5420
2000-05-16,27800,27300,149220,3.14,27910,-34740,5880
2000-05-17,28500,25500,93240,2.93,27760,-30750,3040
2000-05-18,24700,24000,43210,2.76,-7940,1330,6610
2000-05-19,24000,23600,38130,2.71,7620,-7410,380
2000-05-22,23000,22200,38110,2.55,-6760,320,6440
2000-05-23,20650,23200,54960,2.67,-24530,-5540,29980
2000-05-24,22800,22600,59770,2.6,4720,-13140,11430
2000-05-25,23500,24650,111870,2.83,30210,-42760,12630
2000-05-26,25100,23200,32810,2.67,-11250,170,11080
2000-05-29,24000,24200,42380,2.78,-19400,5040,14360
2000-05-30,24300,25700,50390,2.95,-9020,2590,12430
2000-05-31,27000,26600,49980,3.06,-15350,-1690,-1270
2000-06-01,27000,26400,28140,3.04,-15200,-6390,1600
2000-06-02,26900,27400,45720,3.15,-3500,-13630,-100
2000-06-05,28100,27400,97450,3.15,11440,-44570,13160
2000-06-07,27600,27050,78540,3.11,1280,-29190,7910
2000-06-08,27100,26100,91110,3,-10290,-47440,37730
2000-06-09,27000,26950,69030,3.1,-12440,-19790,16010
2000-06-12,26950,26200,45020,3.01,16170,-35110,-10
2000-06-13,26500,26900,47570,3.09,-24860,-1000,5860
2000-06-14,27200,25600,43280,2.94,19410,-25140,0
2000-06-15,25700,24000,36080,2.76,12650,-16310,-210
2000-06-16,24200,24500,29710,2.82,5300,-8690,30
2000-06-19,24000,24500,23060,2.82,840,5440,-6280
2000-06-20,24000,24100,18270,2.77,-170,-3830,0
2000-06-21,24300,24300,46440,2.8,7410,2910,-30
2000-06-22,24500,24300,17120,2.8,-300,300,0
2000-06-23,23700,24500,33240,2.82,-3380,3380,0
2000-06-26,24500,24400,14480,2.81,-6850,6720,40
2000-06-27,24500,24500,11830,2.82,710,2070,-3050
2000-06-28,25000,25000,37980,2.87,3420,13360,-14710
2000-06-29,24750,24200,13300,2.78,2380,-430,-1320
2000-06-30,24300,24250,18320,2.79,-4050,4170,0
2000-07-03,24300,24500,36760,2.82,150,15580,-15000
2000-07-04,25050,24300,41040,2.8,-2830,11240,-11500
2000-07-05,24900,26800,68120,3.08,-13840,-3160,14000
2000-07-06,26800,28000,100800,3.22,-24100,13170,16750
2000-07-07,28900,27600,26670,3.17,190,2400,-2790
2000-07-10,27650,27000,25410,3.1,-10310,10270,60
2000-07-11,27200,26900,23690,3.09,-4290,4400,-20
2000-07-12,26200,26500,42180,3.05,5430,-5650,30
2000-07-13,26200,26500,14270,3.05,2870,-2650,-140
2000-07-14,27000,26600,16520,3.06,1670,-1630,0
2000-07-18,26700,26700,7980,3.07,-2060,1690,10
2000-07-19,26500,27300,34210,3.14,-1980,1570,210
2000-07-20,26500,27500,47250,3.16,-160,13050,-12880
2000-07-21,27500,27550,28100,3.17,-4240,5240,-540
2000-07-24,27000,27100,14430,3.12,-9420,8590,710
2000-07-25,27100,28400,46400,3.27,-6640,5100,1420
2000-07-26,28400,29400,42130,3.38,4520,-4030,0
2000-07-27,29400,29100,9660,3.35,-2590,2640,0
2000-07-28,29000,29100,14230,3.35,-8930,6490,1900
2000-07-31,28500,29600,35440,3.4,-11890,9690,1690
2000-08-01,29200,29500,33040,3.39,-7120,7730,0
2000-08-02,29900,29400,6370,3.38,-2270,-240,2390
2000-08-03,29100,29400,10040,3.38,-680,-1240,2430
2000-08-04,29400,29550,7680,3.4,-2770,-880,3780
2000-08-07,29050,29500,8540,3.39,820,-820,0
2000-08-08,29050,28950,8110,3.33,440,-1170,50
2000-08-09,29000,29300,9740,3.37,-7050,6250,360
2000-08-10,29500,29900,24250,3.44,-3830,-330,4330
2000-08-11,29900,29950,22220,3.44,1760,-1730,20
2000-08-14,30100,30350,19360,3.49,-2550,2210,110
2000-08-16,30300,31400,58980,3.61,-920,-520,1340
2000-08-17,31400,31400,32020,3.61,1640,-1620,0
2000-08-18,31350,30500,25700,3.51,3790,-3680,10
2000-08-21,29600,30800,6400,3.54,-20,40,-20
2000-08-22,30300,31200,14170,3.59,-3680,3980,-660
2000-08-23,31200,31200,16110,3.59,-1490,2250,-360
2000-08-24,30800,31900,19330,3.67,-5590,2900,2670
2000-08-25,31500,31850,14630,3.66,-1180,3730,-2710
2000-08-28,31800,32400,37250,3.73,-640,-2210,2580
2000-08-29,32400,32400,15720,3.73,-3520,-6630,9990
2000-08-30,31900,32250,42070,3.71,-2720,15360,-12520
2000-08-31,32000,31100,27050,3.58,840,1700,-2180
2000-09-01,30500,31200,10360,3.59,-2610,4790,-2500
2000-09-04,30700,31200,10280,3.59,-1790,1950,0
2000-09-05,30600,31800,21400,3.66,-5820,9180,-3720
2000-09-06,31200,31450,11850,3.62,-40,250,-290
2000-09-07,32000,31100,23560,3.58,9500,2080,-11420
2000-09-08,31000,30300,25630,3.48,10290,380,-10270
2000-09-14,29500,27650,48590,3.18,8330,2350,-8380
2000-09-15,27700,28000,43920,3.22,-11450,18000,-6550
2000-09-18,26200,26900,25400,3.09,-12180,11910,130
2000-09-19,25500,27500,19590,3.16,-6150,8350,-2100
2000-09-20,27500,28000,45400,3.22,-2230,-12800,6170
2000-09-21,28000,28550,20950,3.28,-4930,-880,5860
2000-09-22,28000,28200,5970,3.24,160,-1290,1130
2000-09-25,28200,29000,4860,3.34,-1070,-580,1650
2000-09-26,28950,29400,16130,3.38,1120,-1220,0
2000-09-27,28900,29900,29420,3.44,-8610,6120,2800
2000-09-28,29900,29400,33640,3.38,16590,-14430,0
2000-09-29,29400,29800,18510,3.43,-7300,7580,0
2000-10-02,29000,29000,5360,3.34,1470,-990,-480
2000-10-04,28900,28900,8330,3.32,-2910,3040,-490
2000-10-05,28900,27900,18450,3.21,12700,-12350,10
2000-10-06,28000,27700,9250,3.19,-1900,1740,0
2000-10-09,27700,27000,9020,3.1,2410,-2230,-20
2000-10-10,26500,27400,51720,3.15,-920,-13080,14000
2000-10-11,27400,27600,30870,3.17,-7160,2590,4560
2000-10-12,27150,28000,56320,3.22,1080,-890,-10220
2000-10-13,27900,27600,32540,3.17,-9970,13830,-4110
2000-10-16,29000,28100,29670,3.23,2710,9780,-11220
2000-10-17,27300,28100,14970,3.23,-7590,11910,0
2000-10-18,28000,28000,33480,3.22,450,-21490,21080
2000-10-19,27400,27900,11220,3.21,290,150,-280
2000-10-20,28500,27800,16320,3.2,1700,-2150,400
2000-10-23,27900,27000,7090,3.1,2710,-2690,-50
2000-10-24,27100,27000,13740,3.1,-2860,2000,7420
2000-10-25,26900,27000,10890,3.1,-1650,-7840,9650
2000-10-26,26950,27300,4250,3.14,-2250,740,1510
2000-10-27,27300,27900,10920,3.21,-4060,3370,300
2000-10-30,27900,27800,5590,3.2,1260,-1120,0
2000-10-31,27500,28500,22740,3.28,1330,-11190,9620
2000-11-01,28900,28550,79220,3.28,25530,1250,-27880
2000-11-02,28000,28800,58130,3.31,2530,2610,-5770
2000-11-03,28550,28700,57930,3.3,-5480,-6790,12310
2000-11-06,28500,28650,22960,3.29,-5620,6560,-2760
2000-11-07,28800,29000,31120,3.34,650,-6360,670
2000-11-08,28700,29000,55460,3.34,-8260,3070,8720
2000-11-09,28800,28000,64520,3.22,9140,4320,-24110
2000-11-10,29500,28000,30920,3.22,7000,-1610,-5350
2000-11-13,27500,27600,17770,3.17,1170,-480,-280
2000-11-14,27600,27300,13090,3.14,-7620,7880,-260
2000-11-15,27100,27450,16220,3.16,-6270,8240,30
2000-11-16,27450,27300,13590,3.14,430,-830,300
2000-11-17,26800,27900,23790,3.21,-4490,2910,-3320
2000-11-20,27300,27200,8480,3.13,-40,1790,-250
2000-11-21,27000,27000,11710,3.1,-3420,5390,-4010
2000-11-22,27000,26100,7420,3,230,-80,-110
2000-11-23,26000,25850,15370,2.97,-2370,6000,-3910
2000-11-24,25300,25000,12250,2.87,3210,-3290,40
2000-11-27,25000,24900,13750,2.86,-2420,5180,-2840
2000-11-28,24800,24300,19120,2.8,3310,1130,-4360
2000-11-29,23600,23350,57990,2.69,10260,-29850,18330
2000-11-30,23700,23100,40100,2.66,-1760,1870,-30
2000-12-01,22800,24300,10480,2.8,-5200,4640,320
2000-12-04,24100,23500,63180,2.7,6160,-6130,10
2000-12-05,23000,23700,56710,2.72,8180,-8260,0
2000-12-06,23300,23000,545620,2.65,19640,16470,-36280
2000-12-07,22600,23000,28340,2.65,-1530,6650,-4870
2000-12-08,23100,22700,20380,2.61,830,30,-1000
2000-12-11,23000,22500,403620,2.59,-100390,360190,-760
2000-12-12,23000,22500,28670,2.59,12230,-12210,300
2000-12-13,22500,23700,68940,2.72,17230,-14380,-3220
2000-12-14,24100,23550,43600,2.71,11710,-13570,2390
2000-12-15,24000,23200,16070,2.67,5170,-3860,-1270
2000-12-18,23900,24400,39760,2.81,110,-490,340
2000-12-19,24950,23600,70110,2.71,15480,-15310,-130
2000-12-20,22100,21500,26690,2.47,2660,60,-2820
2000-12-21,20050,19700,45490,2.27,5840,-1950,-30
2000-12-22,19650,16750,97200,1.93,-1570,11410,-9880
2000-12-26,15650,17000,244480,1.95,24940,-54720,-1240
2001-01-02,17000,17000,149930,1.67,-1860,1140,900
2001-01-03,17100,18000,147750,1.77,-2840,-900,3740
2001-01-04,19000,20000,156550,1.97,-32350,-56640,88910
2001-01-05,19500,19400,25550,1.91,-4360,1300,3060
2001-01-08,19600,18900,46590,1.86,13250,-14170,600
2001-01-09,18700,19000,40750,1.87,-4980,5050,-410
2001-01-10,19000,18200,43150,1.79,4700,-11110,6370
2001-01-11,18350,18000,64650,1.77,12080,-5930,-5370
2001-01-12,18000,18800,55240,1.85,-13100,12370,510
2001-01-15,18700,18750,104040,1.85,4470,-6160,-170
2001-01-16,18300,17600,67610,1.73,39700,-34860,-3840
2001-01-17,17500,17000,64600,1.67,29480,-18600,-11180
2001-01-18,16600,16350,82120,1.61,50020,-50160,-140
2001-01-19,16400,17000,360440,1.67,152600,-48750,-104510
2001-01-22,17000,17700,174370,1.74,-5300,810,4490
2001-01-26,17500,17200,78030,1.69,-23770,25410,-1460
2001-01-29,17200,16950,76870,1.67,-2410,-2130,1920
2001-01-30,17300,17300,90140,1.7,-8750,3160,-10
2001-01-31,17300,17500,47260,1.72,3610,-2850,-1250
2001-02-01,17300,17300,35780,1.7,-1870,1680,50
2001-02-02,17300,17200,42520,1.69,930,-7680,6870
2001-02-05,16950,16900,76030,1.66,16520,-14720,-1840
2001-02-06,16900,16600,52940,1.63,15560,-15710,0
2001-02-07,16700,16400,31270,1.62,6720,-3790,-2630
2001-02-08,16600,16600,59750,1.63,9620,-10790,290
2001-02-09,16600,16700,65750,1.64,7720,-7780,0
2001-02-12,16800,17250,124880,1.7,5190,-6610,-90
2001-02-13,17350,18100,215950,1.78,30170,-31050,870
2001-02-14,18300,18000,94130,1.77,3470,-3770,60
2001-02-15,18000,18150,100540,1.79,-30500,30440,0
2001-02-16,17950,18400,77580,1.81,-8670,2430,6330
2001-02-19,18500,18800,114660,1.85,-4580,-6710,10830
2001-02-20,18800,19200,119130,1.89,-6440,-6910,14260
2001-02-21,19600,20100,243670,1.98,-49680,65390,-16890
2001-02-22,19900,19400,100680,1.91,-29230,29030,80
2001-02-23,20100,20100,103340,1.98,-6660,2560,4090
2001-02-26,19800,19550,55020,1.92,-9220,8030,570
2001-02-27,19550,19000,77240,1.87,-17860,17300,0
2001-02-28,19000,19400,43700,1.91,-13450,8840,10780
2001-03-02,19100,19300,40630,1.9,-17490,18260,-350
2001-03-05,18100,18500,53480,1.82,-9990,10140,10
2001-03-06,18600,18600,42730,1.83,11550,-6610,0
2001-03-07,18550,18400,31940,1.81,1280,-5450,2990
2001-03-08,18500,18700,32970,1.84,-5020,9790,-7770
2001-03-09,18900,19500,109940,1.92,21120,-17650,-900
2001-03-12,19350,18900,82080,1.86,530,920,-1360
2001-03-13,18400,18700,52050,1.84,-35370,21010,7310
2001-03-14,19000,18500,35580,1.82,1220,-10280,9000
2001-03-15,18200,17850,35600,1.76,-3380,290,2690
2001-03-16,18500,18400,41810,1.81,-6900,-17400,24800
2001-03-19,18400,18450,24570,1.82,-2510,200,2230
2001-03-20,18550,18200,29820,1.79,4010,-8200,-40
2001-03-21,18050,18500,14700,1.82,-6310,5050,60
2001-03-22,18100,18000,14520,1.77,1240,320,-4570
2001-03-23,18150,18100,9300,1.78,-1890,-330,0
2001-03-26,18100,17600,32250,1.73,12880,-16660,-20
2001-03-27,17700,17450,14110,1.72,1530,-2240,-220
2001-03-28,17500,17300,19560,1.7,3520,-4160,500
2001-03-29,17100,17000,45150,1.67,1330,-1140,0
2001-03-30,17100,16800,47630,1.65,7670,460,-8620
2001-04-02,16700,16200,59870,1.6,24660,-5810,-17850
2001-04-03,15800,15000,42840,1.48,18360,-22800,-1290
2001-04-04,14900,15000,64030,1.48,22940,-27680,50
2001-04-06,15400,15300,100940,1.51,21960,-19280,-3530
2001-04-09,15150,15100,39030,1.49,4090,-3940,0
2001-04-10,15200,15050,16800,1.48,-2950,1300,1580
2001-04-11,15250,15350,56820,1.51,21430,-24980,750
2001-04-12,15700,16100,96660,1.59,1870,-6130,1810
2001-04-13,16500,16100,40580,1.59,-4610,8080,-4240
2001-04-16,16150,16000,28720,1.58,-7260,1770,2490
2001-04-17,15600,16000,23040,1.58,-3260,-10140,13400
2001-04-18,16300,16650,33350,1.64,-5370,-2500,7520
2001-04-19,16700,16650,47140,1.64,9140,-9120,0
2001-04-20,16800,16300,37440,1.61,10270,-11580,890
2001-04-23,16300,16450,35920,1.62,3270,2450,2310
2001-04-24,16300,16300,15920,1.61,920,1150,-2070
2001-04-25,16300,16300,14590,1.61,820,-1580,0
2001-04-26,16400,16300,46260,1.61,-4210,-7990,11500
2001-04-27,16300,16150,13390,1.59,1580,-1820,490
2001-04-30,16350,16700,48730,1.64,-10530,16140,0
2001-05-02,16950,17000,58080,1.67,9960,-14840,4900
2001-05-03,17200,17850,60580,1.76,9610,-22280,18030
2001-05-04,17850,18200,84870,1.79,17810,-23840,0
2001-05-07,18500,18700,81810,1.84,-4610,-10680,18230
2001-05-08,19000,18500,61230,1.82,2220,-8750,2950
2001-05-09,18500,18000,48130,1.77,5080,-15720,10550
2001-05-10,17900,18350,22880,1.81,-3990,4690,-3000
2001-05-11,18400,19950,286240,1.96,-11300,28110,-12000
2001-05-14,20300,20600,166510,2.03,-29610,37330,-10140
2001-05-15,20600,20600,100670,2.03,-45690,62670,-12700
2001-05-16,21000,20700,78950,2.04,-36850,36170,210
2001-05-17,21000,20700,77700,2.04,-13100,42590,-14540
2001-05-18,20750,20150,70810,1.98,13320,4180,-17590
2001-05-21,20500,20850,45260,2.05,-13710,13650,0
2001-05-22,21150,19750,39930,1.94,10540,1180,-11870
2001-05-23,19950,19300,62570,1.9,16770,1170,-17980
2001-05-24,19100,20200,59750,1.99,-16830,20580,-3850
2001-05-25,20700,20500,67270,2.02,13180,14500,0
2001-05-28,20700.0,20000.0,46980.0,1.97,22770,3800,-18470
2001-05-29,20000.0,21350.0,161030.0,2.1,24450,-15660,0
2001-05-30,21400.0,23500.0,262000.0,2.31,-17710,10520,8110
2001-05-31,22850.0,23500.0,151800.0,2.31,-28420,28750,-470
2001-06-01,24000.0,23300.0,75590.0,2.3,-31450,31450,0
2001-06-04,23500.0,23000.0,44490.0,2.27,-14610,14320,620
2001-06-05,23100.0,21850.0,53000.0,2.15,-17000,14990,460
2001-06-07,21500.0,22350.0,46990.0,2.2,-11820,-820,-460
2001-06-08,22100.0,23500.0,39690.0,2.31,-12760,16100,-3390
2001-06-11,23050.0,23400.0,47150.0,2.3,-17090,18970,-530
2001-06-12,23500.0,24500.0,48690.0,2.41,-10340,12330,0
2001-06-13,24800.0,25400.0,83570.0,2.5,-7690,16670,-3660
2001-06-14,25300.0,25600.0,46620.0,2.52,-4130,14770,-6770
2001-06-15,25100.0,25350.0,41790.0,2.5,-3660,5890,-630
2001-06-18,25400.0,25000.0,23920.0,2.46,-12960,13560,-540
2001-06-19,24250.0,24100.0,30630.0,2.37,-970,810,-170
2001-06-20,23600.0,23800.0,23420.0,2.34,-9620,1450,8100
2001-06-21,23950.0,24450.0,34510.0,2.41,8420,6390,-14900
2001-06-22,24050.0,24250.0,35370.0,2.39,130,6190,-7000
2001-06-25,24250.0,23800.0,29260.0,2.34,2730,-10100,7240
2001-06-26,23600.0,22400.0,38280.0,2.21,-3960,12360,-7830
2001-06-27,22000.0,22300.0,45220.0,2.2,2080,-11220,310
2001-06-28,21500.0,22300.0,15060.0,2.2,-5260,2750,30
2001-06-29,22300.0,22200.0,28850.0,2.19,4470,-3570,-2980
2001-07-02,22200.0,21550.0,20220.0,2.12,980,-380,0
2001-07-03,21900.0,22000.0,14880.0,2.17,-1120,1180,0
2001-07-04,21500.0,22000.0,21380.0,2.17,-5240,5270,0
2001-07-05,22200.0,22000.0,4780.0,2.17,-1720,1720,0
2001-07-06,21500.0,21600.0,17410.0,2.13,-230,9420,-9300
2001-07-09,20700.0,20450.0,35920.0,2.01,-470,21350,-20280
2001-07-10,20450.0,20200.0,17750.0,1.99,2000,-2530,3530
2001-07-11,20200.0,20700.0,26930.0,2.04,-1230,-4100,7080
2001-07-12,20800.0,21200.0,27140.0,2.09,1610,-2040,7350
2001-07-13,21700.0,20000.0,11300.0,1.97,870,20,0
2001-07-16,21000.0,21600.0,12280.0,2.13,2410,890,280
2001-07-18,21400.0,21200.0,7760.0,2.09,1460,-720,0
2001-07-19,21200.0,21000.0,11190.0,2.07,-3370,5350,0
2001-07-20,20100.0,21000.0,19330.0,2.07,1400,-3120,0
2001-07-23,20600.0,20750.0,13920.0,2.04,-2920,1200,860
2001-07-24,20750.0,20650.0,12360.0,2.03,990,1050,-50
2001-07-25,20150.0,20500.0,19060.0,2.02,4720,-8520,-760
2001-07-26,20500.0,21000.0,21220.0,2.07,-260,520,0
2001-07-27,21500.0,21900.0,32310.0,2.16,-2360,1410,1480
2001-07-30,22100.0,21500.0,25950.0,2.12,470,-5570,5990
2001-07-31,21500.0,21950.0,19160.0,2.16,-4240,-1740,110
2001-08-01,21950.0,22500.0,26830.0,2.22,-2940,4710,-1700
2001-08-02,22500.0,22700.0,19970.0,2.24,-1470,1140,370
2001-08-03,22400.0,23000.0,17850.0,2.27,-8100,3950,4180
2001-08-06,23500.0,22700.0,47010.0,2.24,4140,16790,-21040
2001-08-07,22400.0,21600.0,19780.0,2.13,3000,-3280,-220
2001-08-08,22300.0,21500.0,13660.0,2.12,4800,-8780,-1020
2001-08-09,21000.0,21100.0,6450.0,2.08,140,-620,0
2001-08-10,21500.0,21450.0,6450.0,2.11,2430,-600,-2000
2001-08-13,21550.0,20800.0,97250.0,2.05,18930,22220,-41210
2001-08-14,21000.0,20950.0,34240.0,2.06,7640,-2970,-6880
2001-08-16,20500.0,20650.0,23020.0,2.03,2760,4230,-6880
2001-08-17,20400.0,20800.0,12350.0,2.05,-1060,120,1000
2001-08-20,20500.0,21500.0,43080.0,2.12,-16660,16770,0
2001-08-21,21500.0,20950.0,13720.0,2.06,2100,5130,-7290
2001-08-22,21000.0,21650.0,40440.0,2.13,-10260,11480,-1410
2001-08-23,21950.0,22000.0,30620.0,2.17,-2340,-4790,0
2001-08-24,22000.0,22000.0,7840.0,2.17,-2330,1670,0
2001-08-27,22400.0,22500.0,11070.0,2.22,-5770,6070,0
2001-08-28,23100.0,23300.0,97840.0,2.3,23230,-22270,-10
2001-08-29,23000.0,23700.0,83200.0,2.33,-12030,10730,10000
2001-08-30,23200.0,23100.0,31210.0,2.28,-6380,5380,0
2001-08-31,22500.0,22050.0,52580.0,2.17,-360,-2760,1720
2001-09-03,22900.0,22300.0,11160.0,2.2,-5970,5790,0
2001-09-04,22300.0,23000.0,14880.0,2.27,-8820,8750,10
2001-09-05,23000.0,22300.0,7390.0,2.2,2220,-940,-990
2001-09-06,22500.0,22200.0,12180.0,2.19,1020,-1080,0
2001-09-07,22100.0,22150.0,5570.0,2.18,-40,550,-450
2001-09-10,21500.0,21700.0,6290.0,2.14,-60,120,-20
2001-09-11,22000.0,21700.0,10200.0,2.14,-2970,-410,0
2001-09-12,18450.0,18450.0,53300.0,1.82,-9580,15820,-9490
2001-09-13,19900.0,21200.0,48490.0,2.09,-4150,12420,-6930
2001-09-14,21700.0,20800.0,28710.0,2.05,-15090,-20,13200
2001-09-17,20400.0,20250.0,10820.0,1.99,-4960,4380,10
2001-09-18,20700.0,21000.0,6870.0,2.07,40,-250,460
2001-09-19,20600.0,22000.0,19280.0,2.17,-1440,1760,0
2001-09-20,21900.0,21550.0,11600.0,2.12,-650,-430,470
2001-09-21,21000.0,22300.0,6770.0,2.2,-4270,3340,1110
2001-09-24,22100.0,22500.0,14720.0,2.22,170,-2960,710
2001-09-25,22300.0,23050.0,35700.0,2.27,-4070,-18410,23500
2001-09-26,23050.0,23300.0,23610.0,2.3,-4550,-2720,8100
2001-09-27,23300.0,23500.0,15860.0,2.31,-4590,5540,-650
2001-09-28,23500.0,24050.0,45990.0,2.37,2840,-11910,9050
2001-10-04,24800.0,23850.0,20520.0,2.35,6530,-8170,1950
2001-10-05,23450.0,23450.0,16600.0,2.31,-250,7880,-7630
2001-10-08,23000.0,22800.0,9550.0,2.25,2640,-2650,0
2001-10-09,23000.0,23000.0,24130.0,2.27,-170,-2770,760
2001-10-10,22600.0,23300.0,27630.0,2.3,6250,-7390,-6300
2001-10-11,23000.0,24000.0,26670.0,2.36,-80,-5350,-2220
2001-10-12,24000.0,23500.0,17770.0,2.31,-6010,-4090,100
2001-10-15,23550.0,24850.0,77980.0,2.45,6260,-27970,12780
2001-10-16,25000.0,25500.0,58120.0,2.51,-780,-16410,17190
2001-10-17,25700.0,23250.0,55000.0,2.29,5830,-23150,17410
2001-10-18,25400.0,24800.0,124910.0,2.44,36350,-39350,-4000
2001-10-19,25400.0,24600.0,25140.0,2.42,-5870,6540,-750
2001-10-22,24600.0,24600.0,15020.0,2.42,-6850,5750,0
2001-10-23,24500.0,24600.0,39300.0,2.42,3730,2160,0
2001-10-24,24300.0,24600.0,7770.0,2.42,-4980,-520,5480
2001-10-25,25000.0,23900.0,45090.0,2.35,8150,-280,5520
2001-10-26,24000.0,23550.0,17300.0,2.32,-310,380,0
2001-10-29,24000.0,24000.0,7340.0,2.36,240,-210,0
2001-10-30,23700.0,23500.0,14700.0,2.31,-9460,8460,0
