Symbol,GS건설_시가(원),GS건설_종가(원),GS건설_거래량(주),GS건설_PER(IFRS-연결),GS건설_순매수수량(개인)(주),GS건설_순매수수량(기관계)(주),GS건설_순매수수량(외국인계)(주)
2000-01-04,7160,7880,964040,2.63,186960,-199350,10500
2000-01-05,7890,7880,806970,2.63,108850,-149250,400
2000-01-06,8140,7180,430340,2.4,11460,-20360,9120
2000-01-07,7200,7200,476380,2.41,46740,-31310,4360
2000-01-10,7290,7440,596300,2.49,-24280,5790,2520
2000-01-11,7430,7300,370870,2.44,-130690,143170,-13950
2000-01-12,7200,7200,333710,2.41,-107460,107940,-480
2000-01-13,7380,7400,506340,2.47,-147330,155630,-9750
2000-01-14,7500,7160,177190,2.39,-7430,5550,2160
2000-01-17,7090,7280,219380,2.43,-116150,110950,5200
2000-01-18,7120,6900,351940,2.3,111070,-121570,500
2000-01-19,7000,6600,284320,2.2,53590,-40060,-7940
2000-01-20,6410,6490,586520,2.17,198860,-182000,4260
2000-01-21,6400,6500,488620,2.17,17090,3380,-5550
2000-01-24,6500,6800,658050,2.27,-45830,61730,1700
2000-01-25,6700,6650,563250,2.22,24850,-229310,0
2000-01-26,6700,7050,629370,2.36,-174960,115600,-1640
2000-01-27,7060,8050,1062020,2.69,-291890,322910,-30800
2000-01-28,8050,7910,1016490,2.64,-527640,526640,1380
2000-01-31,7920,8300,1204420,2.77,-48780,70520,-8450
2000-02-01,8500,8390,768130,2.8,-75680,115870,-37490
2000-02-02,8200,8650,692500,2.89,-304390,253760,50000
2000-02-03,8700,8500,373100,2.84,-72540,65540,-3000
2000-02-07,8490,8000,729190,2.67,137240,-142070,2000
2000-02-08,7900,7800,417790,2.61,-48590,42320,5500
2000-02-09,7800,7470,424760,2.5,9640,-32880,-16160
2000-02-10,7140,6900,553670,2.3,204850,-204850,0
2000-02-11,6900,6450,742180,2.15,403520,-404220,280
2000-02-14,6500,6400,928260,2.14,462940,-456880,-6060
2000-02-15,6350,6400,557120,2.14,87010,-85710,570
2000-02-16,6600,6590,525610,2.2,-33240,27720,3940
2000-02-17,6500,6500,349030,2.17,18970,-24280,-2090
2000-02-18,6500,6430,445340,2.15,-39780,82360,-580
2000-02-21,6300,5950,370630,1.99,-64490,63580,-6130
2000-02-22,5900,6300,528440,2.1,-10640,-2650,490
2000-02-23,6400,6700,1450940,2.24,309400,-288140,-1220
2000-02-24,6300,6200,489100,2.07,-88790,37370,-580
2000-02-25,6010,6000,481320,2,42170,-40490,-140
2000-02-28,5900,6100,675580,2.04,30430,-31490,1060
2000-02-29,6340,6000,411880,2,6790,-2040,-990
2000-03-02,6100,6130,523340,2.05,66530,-50360,-8650
2000-03-03,6130,5770,620970,1.93,229060,-156820,-74400
2000-03-06,5850,6200,827260,2.07,-65010,72240,-7580
2000-03-07,6200,6250,831260,2.09,-50500,61930,-31670
2000-03-08,6180,6380,797340,2.13,-96960,70840,620
2000-03-09,6580,6510,1723280,2.17,63250,88180,-146320
2000-03-10,6840,6300,750380,2.1,13000,-16980,1330
2000-03-13,6470,6300,525730,2.1,-51700,57530,-4290
2000-03-14,6150,6350,399890,2.12,-79210,76740,2470
2000-03-15,6150,6300,279720,2.1,-117280,120300,-2810
2000-03-16,6300,6110,214390,2.04,-16790,10820,5900
2000-03-17,6260,6300,795280,2.1,-5730,10600,-4280
2000-03-20,6300,6190,485200,2.07,-95590,89110,5720
2000-03-21,6200,6080,630360,2.03,13800,-25900,6160
2000-03-22,6200,6120,391930,2.04,14930,-13740,-2190
2000-03-23,6150,6020,369810,2.01,-43570,44370,0
2000-03-24,6020,5980,286430,2,42900,-42600,-240
2000-03-27,5980,5980,491800,2,97000,-96350,0
2000-03-28,6000,5940,326480,1.98,8460,-62480,52520
2000-03-29,6000,5800,411710,1.94,105750,-113660,10000
2000-03-30,5900,5700,342920,1.9,104440,-103600,0
2000-03-31,5610,5550,336920,1.85,84020,-90740,6640
2000-04-03,5810,5750,1405430,1.92,381790,-381060,-4000
2000-04-04,5950,5350,554420,1.79,27560,-34660,2950
2000-04-06,5500,5190,402370,1.73,24800,-28650,2660
2000-04-07,5150,5190,649010,1.73,10970,-8800,1330
2000-04-10,5780,5960,1686530,1.99,364890,-554230,-5540
2000-04-11,6100,5560,1662080,1.86,184410,-177360,12890
2000-04-12,5620,5800,826890,1.94,-265220,275230,-10700
2000-04-14,5510,5800,583360,1.94,-42360,40200,-3870
2000-04-17,5350,5550,1020910,1.85,-244820,234110,8700
2000-04-18,5900,5610,515510,1.87,-13700,-7250,21920
2000-04-19,5520,5400,389310,1.8,-111090,124970,-7320
2000-04-20,5600,5800,1029510,1.94,-80910,89510,-6800
2000-04-21,5900,6200,1551960,2.07,-245770,247340,-1510
2000-04-24,6200,6020,688700,2.01,-123300,207630,-1040
2000-04-25,6050,6060,588420,2.02,-134420,239430,-5000
2000-04-26,5900,5900,547470,1.97,-207630,181910,25420
2000-04-27,5820,5890,339080,1.97,-123410,109780,13630
2000-04-28,5890,6010,400410,2.01,-105700,104730,1270
2000-05-02,5900,6080,405580,2.03,-91580,102470,-10950
2000-05-03,6080,6120,558490,2.04,-12960,-10670,23630
2000-05-04,6070,6200,251200,2.07,-74700,79450,-5400
2000-05-08,6230,6180,637700,2.06,12250,-1080,-6670
2000-05-09,6100,6180,565280,2.06,-112470,116280,-3860
2000-05-10,6180,6350,669390,2.12,40,44900,-44960
2000-05-12,6150,6030,269540,2.01,460,6380,-6800
2000-05-15,5900,5750,252400,1.92,-98850,49890,-1040
2000-05-16,5510,5700,145090,1.9,-7040,8160,-1120
2000-05-17,5500,5450,203720,1.82,-48420,4700,-1280
2000-05-18,4910,4890,278640,1.63,7350,-12880,180
2000-05-19,4900,4990,278530,1.67,29580,-35230,0
2000-05-22,4960,4600,317320,1.54,-38920,39830,-730
2000-05-23,4410,4625,309690,1.55,-62940,52990,8770
2000-05-24,4625,5300,1016600,1.77,175880,-143770,45820
2000-05-25,5350,5350,1495850,1.79,209890,-201460,-1590
2000-05-26,5200,4875,829480,1.63,-128010,128010,0
2000-05-29,4875,5050,561880,1.69,73920,-75050,1180
2000-05-30,5250,5290,614840,1.77,58910,-26990,-1920
2000-05-31,5500,5500,1020130,1.84,-42270,50660,-8390
2000-06-01,5700,5300,445150,1.77,89710,-89710,0
2000-06-02,5480,5300,1678490,1.77,450980,-480700,39920
2000-06-05,5790,6090,1738190,2.03,591170,-561730,4000
2000-06-07,7000,7000,418810,2.34,117710,-117760,0
2000-06-08,8050,7800,8218160,2.61,1588340,-1410200,-216120
2000-06-09,6800,7230,4559170,2.42,-25350,-4840,460
2000-06-12,7230,7160,2505490,2.39,155340,-135140,-60
2000-06-13,6800,6090,1994660,2.03,-299820,197570,2000
2000-06-14,6500,6220,3314120,2.08,175450,-215150,-1500
2000-06-15,6200,5370,1931510,1.79,-197610,185120,1990
2000-06-16,5110,5500,1274890,1.84,-229060,221550,2180
2000-06-19,5300,5350,820080,1.79,-177140,119750,0
2000-06-20,5230,5700,960970,1.9,-147700,108600,1000
2000-06-21,5640,5460,1586620,1.82,-225880,196860,-3180
2000-06-22,5640,5410,565520,1.81,17540,-15950,0
2000-06-23,5360,5410,700810,1.81,36030,-46400,-1600
2000-06-26,5410,5470,580110,1.83,-170910,172780,240
2000-06-27,5510,5700,858560,1.9,13000,-20840,0
2000-06-28,5800,5780,1495740,1.93,8060,-23440,-2370
2000-06-29,5980,5690,747050,1.9,-114380,132080,1100
2000-06-30,5520,5610,640740,1.87,-44330,39030,0
2000-07-03,5600,5630,463610,1.88,-78470,77020,0
2000-07-04,5800,5560,660600,1.86,-95300,55010,0
2000-07-05,5510,5590,576710,1.87,4150,-3020,0
2000-07-06,5590,5750,1700200,1.92,-69380,75070,-1400
2000-07-07,6100,6610,5965710,2.21,-106370,101430,1980
2000-07-10,6850,6690,3600290,2.23,-594100,589150,1540
2000-07-11,6690,6690,4942280,2.23,74710,119620,-103090
2000-07-12,6690,6300,1395270,2.1,-193720,52850,170
2000-07-13,6050,6300,847780,2.1,-22530,-23350,19160
2000-07-14,6300,6320,1283830,2.11,34130,89870,3140
2000-07-18,6200,5950,618660,1.99,-57250,25340,12810
2000-07-19,5850,6050,694740,2.02,-31050,6950,3540
2000-07-20,6000,6010,653190,2.01,-135020,132810,2110
2000-07-21,6200,6100,545640,2.04,-61390,61810,140
2000-07-24,6020,5600,373830,1.87,-67020,18410,5120
2000-07-25,5500,5700,871390,1.9,81310,-92650,10920
2000-07-26,5610,5700,396140,1.9,-48220,43910,-4000
2000-07-27,5700,5520,579670,1.84,116520,-109030,0
2000-07-28,5560,5400,512400,1.8,-180900,164290,14510
2000-07-31,5390,5400,478790,1.8,-7980,30620,10320
2000-08-01,5390,5530,879220,1.85,63290,-54130,0
2000-08-02,5560,5660,463360,1.89,-174780,157720,21010
2000-08-03,5600,5590,329560,1.87,-16020,17360,370
2000-08-04,5540,5600,286680,1.87,9900,-9060,-70
2000-08-07,5500,5290,205710,1.77,6030,-3900,0
2000-08-08,5310,5220,248390,1.74,-35230,-13710,510
2000-08-09,5310,5480,346040,1.83,-122700,117550,3610
2000-08-10,5470,5550,309680,1.85,-6260,-16430,10820
2000-08-11,5410,5650,430530,1.89,-117850,54860,140
2000-08-14,6290,5930,697950,1.98,100240,29470,-19050
2000-08-16,5910,6000,374380,2,-110380,57080,2320
2000-08-17,6000,5750,478650,1.92,-138510,38510,0
2000-08-18,5640,5750,321240,1.92,-111320,62250,70
2000-08-21,5700,5730,166150,1.91,-61960,62100,-140
2000-08-22,5790,5800,318820,1.94,-48100,45270,1570
2000-08-23,5900,5860,1045700,1.96,1590,-550,360
2000-08-24,6010,6000,372690,2,-173230,164890,1930
2000-08-25,6000,6000,328110,2,-149690,149200,-70
2000-08-28,6000,6250,995460,2.09,-58330,88300,9050
2000-08-29,6270,6300,931320,2.1,71440,15070,2350
2000-08-30,6300,6290,431360,2.1,-219970,221040,-650
2000-08-31,6270,6110,335570,2.04,-185940,181930,-1210
2000-09-01,6010,6100,199040,2.04,-94670,76890,-1340
2000-09-04,6030,6290,355710,2.1,-173210,168060,0
2000-09-05,6250,6200,196150,2.07,-115330,107320,1890
2000-09-06,6200,6050,283500,2.02,17220,-25160,7360
2000-09-07,5920,5960,290140,1.99,-81920,76120,-8190
2000-09-08,5910,5970,212860,1.99,-79760,109730,-3640
2000-09-14,5990,6150,268220,2.05,-29890,81000,-43110
2000-09-15,6030,6000,567810,2,27290,61720,-15250
2000-09-18,5810,5520,370130,1.84,-204530,193860,9410
2000-09-19,5300,5420,215150,1.81,-4890,55510,-60
2000-09-20,5580,5570,319670,1.86,35380,67030,-1710
2000-09-21,5500,5440,198510,1.82,-60340,81580,-6240
2000-09-22,5320,5000,349440,1.67,-14080,18610,-4530
2000-09-25,5000,5230,288160,1.75,59180,-78320,0
2000-09-26,5230,5230,292390,1.75,-91340,76670,0
2000-09-27,5240,5360,172070,1.79,-43710,25250,18000
2000-09-28,5250,5200,103640,1.74,26060,-25010,0
2000-09-29,5230,5800,294430,1.94,54330,-63010,9000
2000-10-02,5400,5340,202370,1.78,11750,-11750,0
2000-10-04,5200,5300,477440,1.77,111100,-141810,2280
2000-10-05,5360,5180,445550,1.73,196390,-200660,60
2000-10-06,5170,5500,972300,1.84,-437530,-187550,198000
2000-10-09,5410,5240,226910,1.75,72390,-51190,-120
2000-10-10,5250,5300,248550,1.77,69810,-39540,0
2000-10-11,6000,5200,2640470,1.74,1028830,-831190,2420
2000-10-12,5100,4750,815690,1.59,36120,-29560,-6820
2000-10-13,4320,4460,699130,1.49,-20930,-30830,0
2000-10-16,4700,4570,754440,1.53,233290,-211800,0
2000-10-17,4430,4300,404670,1.44,-87790,86880,0
2000-10-18,4250,4300,710100,1.44,59380,-58320,-790
2000-10-19,4150,4150,319070,1.39,-41810,44100,-1210
2000-10-20,4300,4250,324600,1.42,-4060,-130,3800
2000-10-23,4300,4105,226980,1.37,23810,-23660,-300
2000-10-24,4105,4110,200520,1.37,4420,-5370,240
2000-10-25,4110,4175,226720,1.39,50150,-48830,-240
2000-10-26,4120,4060,204060,1.36,-2370,2370,0
2000-10-27,4080,4060,220390,1.36,-45710,39880,3040
2000-10-30,3950,4005,362080,1.34,5190,-4140,0
2000-10-31,4160,4145,1046310,1.38,96560,-98680,300
2000-11-01,4180,4370,904990,1.46,-5810,-9980,1840
2000-11-02,4420,4510,2257800,1.51,344690,-349170,5210
2000-11-03,4530,4510,789370,1.51,-145150,146720,-1300
2000-11-06,4495,4500,554660,1.5,-55550,50550,2170
2000-11-07,4600,4330,802330,1.45,266660,-264380,0
2000-11-08,4350,4270,538760,1.43,-31560,34800,-200
2000-11-09,4300,4300,560990,1.44,-45490,-80820,129380
2000-11-10,4250,4275,485850,1.43,164040,-166100,0
2000-11-13,4210,4095,635760,1.37,215410,-216750,-1210
2000-11-14,4100,4030,1916790,1.35,1070600,-1070600,0
2000-11-15,4080,3960,1914910,1.32,405570,-416250,10180
2000-11-16,3950,3965,1242970,1.32,224980,-228630,0
2000-11-17,3920,4000,1277890,1.34,-118000,118120,-120
2000-11-20,3980,3910,829550,1.31,52460,-42600,140
2000-11-21,3850,3740,1024730,1.25,82600,-89780,7480
2000-11-22,3685,3650,825900,1.22,184200,-189930,5000
2000-11-23,3650,3460,902770,1.16,6090,-17330,9350
2000-11-24,3475,3540,1000600,1.18,169180,-180320,12240
2000-11-27,3650,3700,822000,1.24,-89830,86860,2380
2000-11-28,3700,3700,464120,1.24,-217760,218350,0
2000-11-29,3610,3680,719320,1.23,-22400,22580,1450
2000-11-30,3820,3710,561310,1.24,39370,-44700,5870
2000-12-01,3640,3730,443790,1.25,-133670,109970,2080
2000-12-04,3705,3640,367890,1.22,70990,-71430,710
2000-12-05,3610,3720,324660,1.24,-7530,6990,0
2000-12-06,3800,3700,583900,1.24,7900,-8570,9520
2000-12-07,3680,3705,307830,1.24,-95540,95030,2200
2000-12-08,3705,3910,1036680,1.31,-123750,122730,0
2000-12-11,3930,3950,537160,1.32,-196110,187510,15510
2000-12-12,3980,3835,278760,1.28,5120,-3880,10130
2000-12-13,3800,3990,882880,1.33,-152810,279700,47880
2000-12-14,3960,4080,444490,1.36,-5150,-65280,23960
2000-12-15,4010,4080,614680,1.36,-174320,184340,-9750
2000-12-18,4080,4200,1063160,1.4,242550,-229890,3090
2000-12-19,4400,4350,1264040,1.45,116030,-100080,1320
2000-12-20,4250,4330,630710,1.45,31330,-16150,-180
2000-12-21,4250,4350,696140,1.45,79480,-60500,-330
2000-12-22,4400,4420,870080,1.48,79780,-79810,0
2000-12-26,4520,4800,2280080,1.6,525170,-696760,-72500
2001-01-02,4210,4450,3670380,1.97,-30920,97170,100
2001-01-03,4450,4350,1762220,1.92,-217560,222040,-4150
2001-01-04,4700,4650,3630440,2.05,-215580,208820,6230
2001-01-05,4515,5100,4639560,2.25,-411890,536070,11650
2001-01-08,5040,5150,1538660,2.28,-432570,195340,35040
2001-01-09,5150,5090,840720,2.25,-151920,135600,23300
2001-01-10,5080,4510,1204660,1.99,-101000,113780,-3330
2001-01-11,4600,4700,694470,2.08,37390,-5690,-26410
2001-01-12,4860,4900,1755160,2.17,-183900,174870,7520
2001-01-15,4900,4765,1097130,2.11,-158020,156370,2630
2001-01-16,4800,4900,1174970,2.17,18270,-50210,30940
2001-01-17,4945,4800,921550,2.12,-57000,-33940,90000
2001-01-18,4800,4840,712300,2.14,-183150,179990,2000
2001-01-19,5050,5000,1041970,2.21,-151760,35970,43150
2001-01-22,5200,5750,2623340,2.54,316220,-297220,-15000
2001-01-26,6060,5500,4126350,2.43,528400,-515870,-160
2001-01-29,5800,6250,4520470,2.76,506650,-463920,-13930
2001-01-30,6370,5800,2788320,2.56,-242920,215750,8440
2001-01-31,5800,5940,1301260,2.62,-41180,-140180,131530
2001-02-01,5600,5900,981570,2.61,-397560,349150,19510
2001-02-02,5750,5820,585390,2.57,-271450,195130,-3000
2001-02-05,5700,5300,724430,2.34,90560,-133780,-1440
2001-02-06,5110,5350,347980,2.36,-46700,46360,0
2001-02-07,5210,5230,500730,2.31,-30140,15980,-3770
2001-02-08,5230,5500,618410,2.43,-161080,174260,-13080
2001-02-09,5500,5720,647750,2.53,-180340,163950,12000
2001-02-12,5630,5700,447780,2.52,-33390,22560,-540
2001-02-13,5850,5750,444420,2.54,-84070,63590,140
2001-02-14,5750,6000,1628780,2.65,-114950,104510,-1000
2001-02-15,6050,6040,840190,2.67,-528610,243720,195000
2001-02-16,6100,6070,833950,2.68,-521980,220400,195000
2001-02-19,5920,6000,418340,2.65,-25920,34190,-2470
2001-02-20,6020,6350,823960,2.81,-174080,148520,1400
2001-02-21,6300,6100,462130,2.7,-21250,-15730,-1400
2001-02-22,6000,6100,422250,2.7,60340,-38420,16800
2001-02-23,6200,6110,386590,2.7,-20020,7760,1500
2001-02-26,6100,6150,260890,2.72,-59260,69870,-12820
2001-02-27,6200,6100,363630,2.7,-160650,990,101400
2001-02-28,5960,6070,207150,2.68,-2140,11800,0
2001-03-02,6000,5780,222300,2.55,-30720,30750,210
2001-03-05,5400,5650,210490,2.5,-44290,28150,18370
2001-03-06,5800,5700,238280,2.52,4630,-52890,40000
2001-03-07,5650,5720,201790,2.53,-66260,33860,-3760
2001-03-08,5650,5880,197360,2.6,-8450,53310,-26600
2001-03-09,5800,5900,173360,2.61,-48380,41080,6060
2001-03-12,5810,5630,302830,2.49,-13940,145220,-130540
2001-03-13,5400,5480,396920,2.42,-93300,90960,18000
2001-03-14,5700,5840,374190,2.58,-171110,162870,1000
2001-03-15,5510,5700,189720,2.52,-54660,51780,0
2001-03-16,5810,5700,216530,2.52,25240,-25000,0
2001-03-19,5700,5600,312750,2.47,63480,-171800,26400
2001-03-20,5710,5600,299580,2.47,16120,69470,1410
2001-03-21,5600,5510,305360,2.43,34600,14950,600
2001-03-22,5510,5450,227270,2.41,16890,70370,0
2001-03-23,5450,5470,139480,2.42,-65790,33830,0
2001-03-26,5690,5710,407120,2.52,16770,-15900,-3100
2001-03-27,5660,5780,241620,2.55,-120500,-29380,148760
2001-03-28,5820,5900,637490,2.61,-249990,279660,91960
2001-03-29,5900,5800,171140,2.56,-46930,8440,0
2001-03-30,5740,5790,205990,2.56,-44170,42380,0
2001-04-02,5700,5820,198160,2.57,-54650,1770,0
2001-04-03,5710,5670,177950,2.51,-14620,18670,0
2001-04-04,5620,5600,199920,2.47,-32900,1170,30000
2001-04-06,5700,5500,307140,2.43,101070,-115530,16470
2001-04-09,5450,5200,273180,2.3,100380,-99930,0
2001-04-10,5380,5110,135700,2.26,10590,-10440,0
2001-04-11,5200,5200,165330,2.3,22660,-23800,10000
2001-04-12,5190,5500,301670,2.43,-127240,142760,-10110
2001-04-13,5490,5670,210520,2.51,-95740,85590,-2850
2001-04-16,5650,5630,128210,2.49,-47700,28740,0
2001-04-17,5610,5700,158790,2.52,-59440,48820,0
2001-04-18,5730,5890,400930,2.6,-205550,185160,0
2001-04-19,6300,6030,580550,2.66,-68030,106330,0
2001-04-20,6100,6190,897130,2.74,-244430,237250,-10000
2001-04-23,6350,6220,230700,2.75,-97210,50210,2970
2001-04-24,6110,6180,466580,2.73,-75230,70790,-26270
2001-04-25,6050,6400,526060,2.83,-255390,198760,1850
2001-04-26,6400,6400,662630,2.83,-99220,89660,1400
2001-04-27,6420,6500,323320,2.87,-107880,106390,2890
2001-04-30,6700,6850,810630,3.03,-143580,134070,0
2001-05-02,7000,6920,520020,3.06,-42690,41990,3900
2001-05-03,6940,6950,270930,3.07,-43940,53160,-3350
2001-05-04,6850,7250,648120,3.2,-118340,136010,0
2001-05-07,7300,7300,389320,3.23,-65030,77050,370
2001-05-08,7300,7500,646230,3.31,-100540,-22100,142000
2001-05-09,7500,7300,292760,3.23,-89210,103810,-4500
2001-05-10,7350,7410,431450,3.27,-102770,86090,18090
2001-05-11,7450,7580,408530,3.35,-85290,88170,0
2001-05-14,7580,7800,506390,3.45,93520,-24520,0
2001-05-15,7850,7750,331620,3.42,-18400,26690,-3000
2001-05-16,7620,7600,387420,3.36,-5670,23590,0
2001-05-17,7650,7660,557500,3.38,-100040,92470,0
2001-05-18,7580,7700,613240,3.4,43180,-36240,0
2001-05-21,8000,8310,2238760,3.67,536410,-366110,0
2001-05-22,8460,8310,1320540,3.67,1110,-151550,212000
2001-05-23,8500,8400,1676250,3.71,286670,-252850,36000
2001-05-24,8400,8450,998290,3.73,183100,-53120,-14040
2001-05-25,8600,8370,742040,3.7,-215490,190180,15010
2001-05-28,8040.0,8140.0,608720.0,3.6,-34160,11460,17000
2001-05-29,8140.0,8260.0,462720.0,3.65,-29640,30680,-4000
2001-05-30,8200.0,8520.0,481510.0,3.76,-199660,209560,-4010
2001-05-31,8270.0,8650.0,695170.0,3.82,-312870,-42660,354480
2001-06-01,8650.0,8950.0,1415980.0,3.95,-425630,261760,166670
2001-06-04,9100.0,8930.0,266900.0,3.95,-69450,6130,64090
2001-06-05,8930.0,8850.0,563260.0,3.91,-140740,15590,143000
2001-06-07,8700.0,8900.0,408340.0,3.93,-111460,-29790,140000
2001-06-08,8900.0,8910.0,550710.0,3.94,-17060,51010,-23800
2001-06-11,8910.0,8890.0,274680.0,3.93,-25920,18340,0
2001-06-12,8790.0,8870.0,229120.0,3.92,-68900,68800,0
2001-06-13,8710.0,8870.0,280860.0,3.92,-19340,21920,0
2001-06-14,8870.0,8870.0,478850.0,3.92,33730,-63820,8230
2001-06-15,8770.0,8850.0,561830.0,3.91,18050,199060,-236270
2001-06-18,8850.0,8850.0,289770.0,3.91,-16860,58950,9000
2001-06-19,8850.0,9100.0,1040350.0,4.02,-225180,219970,-23400
2001-06-20,9140.0,9200.0,379020.0,4.06,-175480,51070,112760
2001-06-21,9300.0,9500.0,563870.0,4.2,-234730,64410,168500
2001-06-22,9500.0,9970.0,1157830.0,4.41,-344830,-35620,408630
2001-06-25,10200.0,10600.0,872360.0,4.68,-276690,57320,219030
2001-06-26,10950.0,11200.0,1638090.0,4.95,-436250,-591850,1104010
2001-06-27,11200.0,10950.0,666540.0,4.84,-196610,-44830,232370
2001-06-28,11150.0,10500.0,349020.0,4.64,-106480,1810,118350
2001-06-29,10700.0,10800.0,475090.0,4.77,-58800,-69830,158790
2001-07-02,10650.0,10600.0,258540.0,4.68,-44350,-5600,53070
2001-07-03,10700.0,10200.0,1001510.0,4.51,195320,-72810,-138000
2001-07-04,10050.0,10000.0,512680.0,4.42,-127200,128650,0
2001-07-05,10000.0,9900.0,459580.0,4.37,83610,-120950,-16740
2001-07-06,9780.0,10300.0,884880.0,4.55,-140090,-239690,385620
2001-07-09,10000.0,9970.0,475200.0,4.41,8530,5240,-19780
2001-07-10,10300.0,10150.0,298480.0,4.49,-199080,-4050,210720
2001-07-11,9800.0,9700.0,242700.0,4.29,-19550,-2840,20370
2001-07-12,9550.0,9700.0,906120.0,4.29,31040,301500,-326440
2001-07-13,9970.0,9450.0,338630.0,4.18,-69970,-36380,104790
2001-07-16,9540.0,9560.0,425590.0,4.22,-99050,-29640,127570
2001-07-18,9660.0,9400.0,280440.0,4.15,-63920,-47750,117580
2001-07-19,9300.0,9350.0,589120.0,4.13,-147090,153560,-9640
2001-07-20,9250.0,9130.0,218410.0,4.03,-50250,55130,0
2001-07-23,8810.0,8390.0,220800.0,3.71,-49380,36560,6690
2001-07-24,8300.0,9150.0,678320.0,4.04,-182920,78130,103620
2001-07-25,9250.0,9340.0,971760.0,4.13,-53360,-308370,368070
2001-07-26,9640.0,9790.0,879410.0,4.33,-123580,-331090,450770
2001-07-27,9790.0,9800.0,385190.0,4.33,8110,-4890,-4510
2001-07-30,9900.0,9700.0,272090.0,4.29,-13960,20140,-26220
2001-07-31,9680.0,10200.0,417840.0,4.51,14890,-54530,18540
2001-08-01,10300.0,10600.0,732580.0,4.68,-108460,61470,48110
2001-08-02,10600.0,10750.0,434500.0,4.75,-155030,162460,30800
2001-08-03,10850.0,10900.0,991430.0,4.82,-373560,188570,122300
2001-08-06,10800.0,10900.0,268950.0,4.82,-90670,86020,13260
2001-08-07,10750.0,10650.0,519770.0,4.71,53580,-11590,-43070
2001-08-08,10800.0,11050.0,839000.0,4.88,-42130,-193040,220460
2001-08-09,10950.0,10600.0,430190.0,4.68,-23670,176340,-160320
2001-08-10,10850.0,10600.0,186220.0,4.68,-44980,40640,-4180
2001-08-13,10600.0,11300.0,645790.0,4.99,86440,-99220,28200
2001-08-14,11400.0,12150.0,1895210.0,5.37,-696920,203050,491550
2001-08-16,12400.0,12550.0,2131310.0,5.55,-27400,-243980,215240
2001-08-17,12550.0,12300.0,595310.0,5.43,-80490,75070,6740
2001-08-20,12000.0,11600.0,400130.0,5.13,-10220,21630,0
2001-08-21,11900.0,12000.0,456260.0,5.3,81880,-17700,0
2001-08-22,11550.0,11850.0,849310.0,5.24,-89350,14280,74100
2001-08-23,12000.0,11850.0,519790.0,5.24,-124800,46880,97600
2001-08-24,11750.0,12050.0,714280.0,5.32,-132210,-214250,325120
2001-08-27,12200.0,12700.0,1077920.0,5.61,-296390,-17260,308410
2001-08-28,12500.0,12600.0,290590.0,5.57,-101870,53460,-52970
2001-08-29,12400.0,11300.0,888110.0,4.99,246300,-241220,-4570
2001-08-30,11200.0,11650.0,767940.0,5.15,89170,-74320,-7650
2001-08-31,11100.0,11250.0,568450.0,4.97,-229560,272680,-51050
2001-09-03,11100.0,11050.0,995360.0,4.88,98850,43850,-166260
2001-09-04,10950.0,11400.0,499350.0,5.04,-93380,88400,67520
2001-09-05,11400.0,11550.0,603840.0,5.1,12830,-91300,85760
2001-09-06,11550.0,11650.0,342090.0,5.15,-64140,85940,-20410
2001-09-07,11150.0,11900.0,505930.0,5.26,-100520,33810,73680
2001-09-10,11550.0,11850.0,228710.0,5.24,-101760,20290,64340
2001-09-11,12100.0,11800.0,169890.0,5.21,-61730,900,70830
2001-09-12,10050.0,11000.0,1057590.0,4.86,-364570,261400,128600
2001-09-13,11300.0,12050.0,878760.0,5.32,-55780,24490,29430
2001-09-14,12300.0,11900.0,647850.0,5.26,-319400,9000,313450
2001-09-17,12100.0,11900.0,518820.0,5.26,-192380,150250,34860
2001-09-18,12500.0,12400.0,1063180.0,5.48,180350,-362420,199920
2001-09-19,12550.0,12900.0,1368830.0,5.7,-195260,-139490,276760
2001-09-20,12700.0,12800.0,553790.0,5.66,-190250,141260,56390
2001-09-21,12400.0,12800.0,354320.0,5.66,-110000,69650,42140
2001-09-24,12800.0,13000.0,324950.0,5.74,-56920,-31150,67690
2001-09-25,13300.0,12900.0,625170.0,5.7,-115690,-252360,341600
2001-09-26,13000.0,12750.0,169030.0,5.63,-62140,-14520,71640
2001-09-27,12500.0,12200.0,1188330.0,5.39,172570,267830,-440710
2001-09-28,12200.0,12150.0,724570.0,5.37,18910,28290,-55310
2001-10-04,12500.0,12150.0,969530.0,5.37,427440,-87600,-311980
2001-10-05,12150.0,11950.0,634420.0,5.28,54350,-206850,133500
2001-10-08,11800.0,11800.0,570960.0,5.21,-56420,57750,-2200
2001-10-09,11800.0,11750.0,870990.0,5.19,198770,52100,-257240
2001-10-10,11750.0,11550.0,676590.0,5.1,151950,-109450,-53500
2001-10-11,11700.0,11950.0,1473800.0,5.28,-94700,26190,69950
2001-10-12,12100.0,12300.0,761730.0,5.43,-154550,103980,64230
2001-10-15,12200.0,12300.0,257350.0,5.43,-50150,54200,10000
2001-10-16,12300.0,12550.0,401690.0,5.55,-114130,67080,3600
2001-10-17,13000.0,13000.0,1262800.0,5.74,-114960,146630,27900
2001-10-18,12700.0,12550.0,448950.0,5.55,-91360,6540,95790
2001-10-19,12600.0,12400.0,266650.0,5.48,-55830,57470,-3620
2001-10-22,12450.0,12600.0,227080.0,5.57,-32390,39390,0
