Symbol,삼성전자_시가(원),삼성전자_종가(원),삼성전자_거래량(주),삼성전자_PER(IFRS-연결),삼성전자_순매수수량(개인)(주),삼성전자_순매수수량(기관계)(주),삼성전자_순매수수량(외국인계)(주)
2000-01-04,300000,305500,1483967,16.34,-172847,-202990,296487
2000-01-05,290000,279000,1493604,14.93,33495,-107631,52576
2000-01-06,287500,281000,1087810,15.03,93370,-231580,180640
2000-01-07,278000,277000,806195,14.82,-83534,38610,41404
2000-01-10,280000,288500,937615,15.44,-213476,18480,206576
2000-01-11,291000,288500,1194974,15.44,-222765,-25240,242335
2000-01-12,280500,286000,584492,15.3,-45940,-49570,83030
2000-01-13,280000,285500,823830,15.27,105195,-145069,35324
2000-01-14,286000,291500,987576,15.6,-162101,-187640,363071
2000-01-17,300000,305000,1270138,16.32,-390146,10780,410726
2000-01-18,308000,305000,905231,16.32,-112110,-78840,194300
2000-01-19,300000,298000,804159,15.94,-1220,-124560,139210
2000-01-20,293000,302000,746360,16.16,-53557,75230,4107
2000-01-21,297500,294000,650728,15.73,-35704,1029,29925
2000-01-24,290000,285000,687183,15.25,27435,77388,-98603
2000-01-25,276000,272000,885067,14.55,-31781,-87270,119031
2000-01-26,275000,274000,585734,14.66,-49332,-52070,118682
2000-01-27,274000,276000,558083,14.77,-38726,-17619,64775
2000-01-28,282000,291000,766398,15.57,-109154,-112705,180629
2000-01-31,282000,279000,792689,14.93,116190,102245,-252345
2000-02-01,280000,266000,1429402,14.23,550736,-158955,-313241
2000-02-02,261000,262500,1282143,14.04,235966,-34450,-153686
2000-02-03,262500,256500,2855355,13.72,712356,-3860,-692526
2000-02-07,257000,262000,1282835,14.02,-113249,82222,26687
2000-02-08,267000,271500,1169244,14.53,-323560,-11650,320200
2000-02-09,278000,286000,1021023,15.3,-394029,-30685,431424
2000-02-10,283000,288000,1236979,15.41,-402438,-205620,606838
2000-02-11,298000,285000,693257,15.25,-252390,-5170,263290
2000-02-14,280000,269000,882889,14.39,-59509,37800,50379
2000-02-15,269000,260000,766393,13.91,36155,84323,-117168
2000-02-16,259000,250000,1462389,13.38,478685,-32883,-403942
2000-02-17,247000,254000,1303738,13.59,-10325,-29968,24213
2000-02-18,268500,265000,2175083,14.18,-453016,-454670,1011396
2000-02-21,260000,253500,529722,13.56,28730,-10510,-34610
2000-02-22,250000,256000,483669,13.7,-19580,12980,5100
2000-02-23,261000,257000,554497,13.75,43141,-74915,66474
2000-02-24,256000,253500,521526,13.56,-110939,-77247,206806
2000-02-25,254000,256000,557527,13.7,-160436,-72120,236116
2000-02-28,250000,240000,602864,12.84,-132002,-83330,261782
2000-02-29,245000,256000,1036420,13.7,-131462,-303930,503622
2000-03-02,294000,294000,2355092,15.73,-1027070,-536190,1631260
2000-03-03,310000,300000,2819891,16.05,-1040617,-464302,1566699
2000-03-06,300000,282000,783020,15.09,-112819,-63120,131729
2000-03-07,280000,281000,601414,15.03,-9467,-60790,54177
2000-03-08,276000,296000,649288,15.84,-144796,-103870,205906
2000-03-09,298500,281000,1117890,15.03,205600,-85110,-177510
2000-03-10,289500,277000,572199,14.82,59604,-103534,23250
2000-03-13,274000,259000,644358,13.86,297525,-190945,-143370
2000-03-14,258500,260500,601241,13.94,93761,-114447,46056
2000-03-15,260000,270000,922141,14.45,-60122,-37552,99124
2000-03-16,274000,270000,575981,14.45,-149139,20379,139040
2000-03-17,277000,274000,481685,14.66,-112031,-74338,171679
2000-03-20,280000,283000,527321,15.14,-157270,-34920,166390
2000-03-21,285000,294000,898587,15.73,-330751,74091,250160
2000-03-22,298000,310000,1739537,16.59,-652832,17834,671028
2000-03-23,324000,310000,1299012,16.59,-334326,-182923,527739
2000-03-24,316000,340000,1805280,18.19,-336207,-190982,511969
2000-03-27,348000,340000,1354691,18.19,40311,-218070,184252
2000-03-28,345000,351500,1488500,18.81,-53835,-114312,181747
2000-03-29,351500,383000,1561874,20.49,-122774,-376827,557621
2000-03-30,376000,352500,1492996,18.86,-18674,59059,-25395
2000-03-31,340000,335000,1277121,17.92,83890,-18220,-64480
2000-04-03,346000,355000,1136142,18.99,22119,-147159,137360
2000-04-04,350000,340000,1166838,18.19,43253,209970,-270963
2000-04-06,343000,334000,944729,17.87,1179,53365,-50935
2000-04-07,343000,360000,847198,19.26,-113327,-99970,221587
2000-04-10,375000,365000,717709,19.53,-72691,-87670,172947
2000-04-11,360000,355000,581565,18.99,43699,118685,-135234
2000-04-12,348000,345500,705096,18.48,165323,2260,-184583
2000-04-14,330000,313000,1247397,16.75,361080,20520,-422093
2000-04-17,271000,276000,1561048,14.77,-28248,161849,-196271
2000-04-18,310000,302000,1474625,16.16,206289,-275970,93078
2000-04-19,315000,300000,1212342,16.05,121325,-109600,25195
2000-04-20,298000,301000,746719,16.1,24254,-31289,-6305
2000-04-21,303000,302500,528513,16.18,76687,48440,-153380
2000-04-24,298500,290000,556613,15.52,151735,-14140,-117560
2000-04-25,281000,282000,698014,15.09,120579,27150,-157229
2000-04-26,291000,280000,785860,14.98,-69721,-98870,171631
2000-04-27,276000,270000,1082253,14.45,226301,76610,-268571
2000-04-28,275000,300000,1510624,16.05,-317821,-228640,555918
2000-05-02,310000,314000,1446713,16.8,-168313,-216140,400980
2000-05-03,312000,309000,531786,16.53,-261,23550,-19350
2000-05-04,311000,309000,522021,16.53,-24871,-21790,68313
2000-05-08,320000,328000,1053944,17.55,-340759,-17980,362899
2000-05-09,325000,318500,1010990,17.04,72951,15633,-91758
2000-05-10,316000,317500,552476,16.99,93535,24860,-110264
2000-05-12,321000,308000,943445,16.48,27242,-650,-14802
2000-05-15,314500,322000,942417,17.23,-127870,-171950,332330
2000-05-16,325500,340000,792495,18.19,-56256,-24405,134380
2000-05-17,350000,346000,1524758,18.51,-232800,-286030,545290
2000-05-18,337000,340000,731638,18.19,-94525,149720,-50540
2000-05-19,337000,345000,829049,18.46,78859,7420,-73948
2000-05-22,336000,333500,727774,17.84,-37121,44670,-2095
2000-05-23,325000,319000,825886,17.07,75161,78670,-148024
2000-05-24,308000,310000,1443050,16.59,216767,-201420,7323
2000-05-25,316500,300000,1719303,16.05,605093,-168800,-444963
2000-05-26,295000,280000,1342077,14.98,440976,-209340,-273356
2000-05-29,263000,273000,1342608,14.61,110089,-150100,15810
2000-05-30,280000,290000,1299038,15.52,162712,-66150,-148692
2000-05-31,300000,308000,1678705,16.48,-246177,-172481,476328
2000-06-01,310000,315000,1004689,16.85,-152484,-1100,141534
2000-06-02,334500,331000,1687778,17.71,-550812,-86913,687585
2000-06-05,346000,337000,960247,18.03,-114290,-109380,228460
2000-06-07,330000,340000,1067336,18.19,-241147,-87253,323160
2000-06-08,333000,326500,1171017,17.47,65447,-214640,115713
2000-06-09,330000,351000,1277296,18.78,-258543,-17214,235497
2000-06-12,360000,359500,990305,19.23,-3784,-217978,192762
2000-06-13,353000,353000,849970,18.89,-81897,-1568,76455
2000-06-14,361500,382000,1260474,20.44,-87157,3973,90464
2000-06-15,378000,350000,1224547,18.73,-24982,17260,-7468
2000-06-16,345000,337000,1329127,18.03,207812,234720,-477792
2000-06-19,330000,335000,1071256,17.92,39054,59778,-103120
2000-06-20,347000,357000,1195878,19.1,-237454,-65281,316285
2000-06-21,365000,354000,751795,18.94,-92940,-1960,110730
2000-06-22,362000,352000,672733,18.83,177,53330,-13917
2000-06-23,349000,350000,584323,18.73,79598,-26640,-73858
2000-06-26,355000,360500,799690,19.29,8203,31585,-61828
2000-06-27,366000,365500,910783,19.55,77194,-3080,-85686
2000-06-28,361000,376000,945903,20.12,-15208,-26290,34760
2000-06-29,380000,374500,1222497,20.04,-150936,3253,142503
2000-06-30,372000,369000,705080,19.74,208551,-45641,-182212
2000-07-03,372000,375000,519515,20.06,54320,25600,-78475
2000-07-04,380000,367500,656229,19.66,32390,-25010,1600
2000-07-05,369500,371500,497988,19.88,64425,-13560,-57665
2000-07-06,362000,365000,1206852,19.53,98982,142970,-282390
2000-07-07,367000,368000,811625,19.69,-198333,-32500,259910
2000-07-10,372000,380000,850172,20.33,-303700,-59190,389730
2000-07-11,379000,372500,698992,19.93,-160620,-68910,237870
2000-07-12,376000,382000,802868,20.44,-120186,-82024,213180
2000-07-13,385000,388000,976116,20.76,-133898,-108896,239834
2000-07-14,389000,377500,608514,20.2,144697,-9480,-184720
2000-07-18,377500,373000,392106,19.96,-23402,-28110,52312
2000-07-19,368000,360000,801065,19.26,307811,-61390,-247981
2000-07-20,353000,345000,806380,18.46,204655,103030,-312325
2000-07-21,348000,346000,967901,18.51,209237,-63994,-157853
2000-07-24,332000,319000,980364,17.07,106295,145190,-264955
2000-07-25,315500,314000,1134767,16.8,208146,45150,-287016
2000-07-26,320000,327500,1094925,17.52,110095,-259500,162125
2000-07-27,311000,311500,870865,16.67,182424,83230,-236454
2000-07-28,290000,286500,1660739,15.33,498769,166290,-687649
2000-07-31,286500,295000,932312,15.78,69967,6940,-92797
2000-08-01,298000,311000,1062466,16.64,25778,-168687,164579
2000-08-02,305000,303500,743825,16.24,47970,76520,-135880
2000-08-03,309000,301500,556342,16.13,80365,-55024,-37040
2000-08-04,296500,296000,472137,15.84,62961,-33164,-27847
2000-08-07,287000,279000,575355,14.93,111467,-43350,-57649
2000-08-08,283000,279000,669550,14.93,-19932,-87340,102652
2000-08-09,284000,300000,791495,16.05,-167679,55268,104733
2000-08-10,300000,308000,816612,16.48,-152315,-61020,214225
2000-08-11,300000,298000,676890,15.94,151525,-90415,-64340
2000-08-14,303000,301000,474664,16.1,-5152,-48200,59542
2000-08-16,325000,321000,1038360,17.17,-258229,15940,250419
2000-08-17,324000,322000,726926,17.23,-245110,-121660,380810
2000-08-18,325000,310000,427433,16.59,24565,-101940,94455
2000-08-21,310000,313500,419000,16.77,-53349,-95110,147899
2000-08-22,313000,323000,554252,17.28,-180684,21931,188643
2000-08-23,322500,309500,558191,16.56,119530,-7850,-115110
2000-08-24,313000,311000,634031,16.64,-10831,-12120,14351
2000-08-25,309000,320000,439289,17.12,-88326,8396,84900
2000-08-28,317000,316500,352697,16.93,5103,38540,-51083
2000-08-29,316000,311000,335311,16.64,5445,3934,-13039
2000-08-30,307000,301500,474778,16.13,220395,-14597,-197458
2000-08-31,295000,273500,2282425,14.63,1190687,-122720,-1053447
2000-09-01,277000,277000,999150,14.82,118200,31090,-151890
2000-09-04,272000,267000,572580,14.28,-7780,-1770,3360
2000-09-05,263000,257500,1595388,13.78,323212,191220,-544722
2000-09-06,260000,257500,1062450,13.78,54046,-52600,4664
2000-09-07,247000,239500,1678143,12.81,387050,138240,-546890
2000-09-08,245000,244000,1143428,13.05,35381,37670,-96751
2000-09-14,230000,235500,2122625,12.6,714921,45980,-805711
2000-09-15,225000,217500,1653972,11.64,272999,28831,-334550
2000-09-18,200500,198500,2926173,10.62,-276095,158170,108815
2000-09-19,199500,208000,2010503,11.13,-234301,-78710,322391
2000-09-20,230000,230000,2068299,12.31,-338818,-279070,668338
2000-09-21,229500,220000,1308910,11.77,-55144,39549,375
2000-09-22,192000,190000,2065320,10.17,647531,-11310,-636491
2000-09-25,194000,204500,1319773,10.94,-221650,137350,93810
2000-09-26,195000,200000,1168610,10.7,123708,174490,-307798
2000-09-27,200000,201500,1395909,10.78,231222,171000,-433222
2000-09-28,205000,203000,1049400,10.86,27555,-35460,8345
2000-09-29,206000,202000,1150741,10.81,136740,-36685,-116585
2000-10-02,192000,190500,822417,10.19,316920,-111700,-202360
2000-10-04,185000,194500,1652739,10.41,118057,29400,-153537
2000-10-05,201000,197000,1254995,10.54,-229209,24237,225852
2000-10-06,190000,195000,1098710,10.43,92821,124680,-221011
2000-10-09,191000,184500,1263995,9.87,598170,-57390,-509820
2000-10-10,185000,183000,1242900,9.79,223548,-38340,-218098
2000-10-11,172500,161000,2072111,8.61,599698,-30822,-605826
2000-10-12,157000,157000,1590749,8.4,209395,-55679,-132566
2000-10-13,150000,151500,2305962,8.11,41502,118740,-173442
2000-10-16,165000,158000,2326392,8.45,-1905,-26770,28055
2000-10-17,149000,137000,1306045,7.33,16943,69880,-91903
2000-10-18,127000,136500,3284311,7.3,98096,-13660,-81006
2000-10-19,136500,145000,2754409,7.76,-197050,-183530,394760
2000-10-20,162000,166500,2376542,8.91,-824218,-206900,1128758
2000-10-23,174500,160000,2799260,8.56,-116790,-114380,-166010
2000-10-24,159000,167000,1942318,8.93,-169702,-17115,119777
2000-10-25,160000,160500,1374694,8.59,109466,55410,-186466
2000-10-26,146500,144500,2665890,7.73,890694,170771,-1073935
2000-10-27,148000,142000,1463360,7.6,-187427,57040,126277
2000-10-30,140000,137500,736657,7.36,-70080,-48450,134510
2000-10-31,137500,142500,1263847,7.62,-97469,62719,-69410
2000-11-01,150000,163000,1883300,8.72,-451679,135505,347554
2000-11-02,160000,166000,2463636,8.88,-381456,160746,212310
2000-11-03,171000,172000,1608435,9.2,-502247,-27910,550477
2000-11-06,173000,175500,1437330,9.39,-273740,45150,245550
2000-11-07,173000,172000,1074804,9.2,-135200,-98010,225720
2000-11-08,170000,170500,1164384,9.12,-84361,-51530,102821
2000-11-09,165000,170000,1046171,9.1,155539,490,-165079
2000-11-10,168000,169000,702840,9.04,-48607,157859,-121482
2000-11-13,161000,157500,1021457,8.43,163825,-98210,-82555
2000-11-14,160500,164500,635154,8.8,24435,-10725,-20690
2000-11-15,172500,169500,1114464,9.07,-205742,-92510,293792
2000-11-16,170000,164000,748446,8.77,40064,59398,-82642
2000-11-17,159000,161000,724553,8.61,119158,-128168,3280
2000-11-20,158000,155000,535981,8.29,143901,-176011,16370
2000-11-21,154000,158000,1032456,8.45,-612,-165890,73402
2000-11-22,155000,157000,754289,8.4,-167998,90739,86699
2000-11-23,157000,160500,892960,8.59,-130088,-13328,139436
2000-11-24,165500,170000,910673,9.1,-228095,1992,232293
2000-11-27,180000,189000,2004446,10.11,-699663,-80710,823693
2000-11-28,182500,176000,1195439,9.42,-310322,-23260,258142
2000-11-29,165000,161000,1086068,8.61,374480,-127090,-338650
2000-11-30,161000,162000,1266322,8.67,115138,-111932,-63306
2000-12-01,154000,159000,1928557,8.51,480509,377550,-898619
2000-12-04,161000,155000,1037540,8.29,-29620,-46010,-122030
2000-12-05,158000,162000,1168095,8.67,143007,150133,-338270
2000-12-06,170500,160500,1917834,8.59,-581485,55035,450950
2000-12-07,160500,163000,860422,8.72,-135979,-94910,50819
2000-12-08,163000,168500,951501,9.01,-72299,36849,-16060
2000-12-11,174000,179000,1411583,9.58,-561216,151906,224870
2000-12-12,179000,175000,1474958,9.36,-478300,-155970,517300
2000-12-13,175000,189000,1682889,10.11,-567022,-112437,630229
2000-12-14,181000,181000,1339386,9.68,297098,-245833,-73415
2000-12-15,181000,174500,1059217,9.34,202647,-155560,-263767
2000-12-18,175000,178000,687058,9.52,47558,-16580,-9568
2000-12-19,178000,176500,508982,9.44,-107913,-75962,52855
2000-12-20,171000,167000,1073576,8.93,132780,-29240,-220000
2000-12-21,156000,162000,1532573,8.67,376640,8830,-353830
2000-12-22,162000,157000,1275258,8.4,72296,31514,-189000
2000-12-26,161500,158000,1208632,8.45,-72588,-148744,49130
2001-01-02,158000,167500,789127,4.92,-98925,-185780,325565
2001-01-03,161500,168500,757143,4.95,-143682,-67630,216562
2001-01-04,189500,189000,2398248,5.55,-1339847,114020,1268917
2001-01-05,188000,195000,1562744,5.73,-589723,-70200,698983
2001-01-08,191000,194000,845911,5.7,-304500,39220,267630
2001-01-09,191500,192000,925608,5.64,-5950,17150,-10820
2001-01-10,189000,185500,824777,5.45,-39781,-135370,173421
2001-01-11,189500,182000,628239,5.35,213120,-214300,-2110
2001-01-12,190000,192000,1058060,5.64,-250779,-17580,330809
2001-01-15,193000,196000,1029275,5.76,-99155,-64630,190215
2001-01-16,198000,207000,1041389,6.08,-203558,-98995,337213
2001-01-17,203000,211000,1051459,6.2,-149042,-43328,238294
2001-01-18,212000,220000,1153718,6.46,-82439,-26240,176225
2001-01-19,235000,230000,1084940,6.76,-43033,-145050,210803
2001-01-22,230000,227500,845034,6.68,31258,-74130,37852
2001-01-26,222500,199000,1820526,5.85,596494,31060,-698694
2001-01-29,200000,201000,944935,5.9,161553,31437,-200090
2001-01-30,205000,205500,787000,6.04,-57800,-81410,161260
2001-01-31,204500,220000,1060930,6.46,-196623,58160,149953
2001-02-01,213500,213500,794640,6.27,-168610,56574,96976
2001-02-02,214500,214500,546604,6.3,-43181,-51249,94070
2001-02-05,208500,201500,942754,5.92,176455,12790,-200135
2001-02-06,199000,200500,630966,5.89,133469,68480,-216559
2001-02-07,198000,195000,462650,5.73,82287,-82738,3331
2001-02-08,196000,203000,693756,5.96,-12508,52800,-39812
2001-02-09,202000,203500,504637,5.98,-11765,-28848,41113
2001-02-12,192000,198500,722293,5.83,198304,122630,-321944
2001-02-13,202000,199000,445953,5.85,32504,-106070,85826
2001-02-14,196000,199000,394201,5.85,-31702,47900,-19038
2001-02-15,210000,206500,698680,6.07,-167612,-41888,211330
2001-02-16,207500,212500,927555,6.24,-390698,-842,410780
2001-02-19,209000,209500,457630,6.15,21520,-35440,20740
2001-02-20,209500,212000,363573,6.23,9331,29249,-23090
2001-02-21,208000,208000,390024,6.11,6541,-14641,100
2001-02-22,204000,200500,872169,5.89,152390,29310,-179020
2001-02-23,196000,192000,1537164,5.64,573756,110422,-738818
2001-02-26,192500,192000,713378,5.64,199533,123250,-343193
2001-02-27,192000,189500,773982,5.57,80870,-17050,-61140
2001-02-28,185000,187000,574345,5.49,84063,89033,-198186
2001-03-02,185000,180500,890062,5.3,78952,5830,-101392
2001-03-05,176500,186000,492456,5.46,-50667,59636,-25289
2001-03-06,191000,190000,510082,5.58,-98670,328,103342
2001-03-07,198000,200000,1052875,5.88,-463510,-106340,592420
2001-03-08,197500,200500,627296,5.89,-75630,48230,16420
2001-03-09,197000,192000,616095,5.64,58827,-39377,-39390
2001-03-12,185000,183500,772211,5.39,150350,8500,-34900
2001-03-13,178500,182000,676313,5.35,80615,62854,-158549
2001-03-14,189500,195000,785725,5.73,-268992,-58468,335090
2001-03-15,189500,196000,587410,5.76,-84207,75770,9907
2001-03-16,194000,194500,466356,5.71,-29326,-21495,48091
2001-03-19,190500,190000,497387,5.58,77370,53040,-148210
2001-03-20,195000,191000,429195,5.61,-48555,8147,57278
2001-03-21,186000,193500,811004,5.68,-20669,54849,-45410
2001-03-22,199000,199000,749337,5.85,-228800,-91830,364220
2001-03-23,204500,215000,1835148,6.32,-798166,-56050,935046
2001-03-26,220000,217000,857488,6.37,-131002,-149498,316950
2001-03-27,215000,207500,626950,6.1,-39440,-33820,49050
2001-03-28,213000,207500,521567,6.1,-8983,-65260,102810
2001-03-29,204500,204500,598422,6.01,108815,81330,-163031
2001-03-30,205500,208000,602077,6.11,54744,-4470,-45804
2001-04-02,202000,199500,782843,5.86,236502,-27107,-20455
2001-04-03,190500,190000,921494,5.58,253232,128640,-421592
2001-04-04,185000,183000,1245631,5.38,464652,170430,-652572
2001-04-06,198000,192000,1705837,5.64,-74220,-229660,328280
2001-04-09,189500,185500,516809,5.45,-26635,21600,710
2001-04-10,185500,182000,783590,5.35,405304,21670,-436304
2001-04-11,189000,186000,890351,5.46,-78813,-120237,243810
2001-04-12,197000,200500,1473266,5.89,-597827,-239450,880377
2001-04-13,205000,203000,776811,5.96,-354756,-95835,477921
2001-04-16,203000,197000,204097,5.79,-37680,10450,26680
2001-04-17,196000,198500,336359,5.83,-29372,-42130,84022
2001-04-18,205500,214000,955879,6.29,-178577,-8303,185500
2001-04-19,231000,235000,2626128,6.9,-762876,-341419,1244515
2001-04-20,236000,224500,898176,6.59,-139743,170930,-49257
2001-04-23,224500,227000,635721,6.67,-61522,63080,7572
2001-04-24,220500,220000,623792,6.46,74944,66014,-144918
2001-04-25,217000,226000,526949,6.64,28380,76520,-125570
2001-04-26,230000,223500,784235,6.57,79300,-64880,-13020
2001-04-27,220500,217000,433980,6.37,124575,-14045,-113390
2001-04-30,223000,229000,764571,6.73,-140348,23140,111998
2001-05-02,235000,229000,730267,6.73,-145452,-205476,373758
2001-05-03,231000,230000,517991,6.76,-29811,-99929,147910
2001-05-04,220500,223000,656127,6.55,190946,80790,-274546
2001-05-07,225000,230000,358957,6.76,-30650,42600,-4460
2001-05-08,229500,229500,336524,6.74,-56356,-24084,84780
2001-05-09,228000,225000,413921,6.61,19870,-53393,38033
2001-05-10,225000,225000,492487,6.61,71206,8340,-64526
2001-05-11,223000,220500,554183,6.48,165075,-76140,-95435
2001-05-14,221000,221500,286202,6.51,37770,-5770,-32140
2001-05-15,220500,217000,528436,6.37,82275,93624,-184219
2001-05-16,215000,210500,517916,6.18,165600,-109750,-93420
2001-05-17,220000,221500,482133,6.51,-49581,70291,16390
2001-05-18,219000,220500,378388,6.48,-17696,-76494,92930
2001-05-21,225000,229000,563256,6.73,-194743,89783,114040
2001-05-22,236000,231000,976665,6.79,-332072,-12928,379420
2001-05-23,230000,235000,437809,6.9,-196213,101992,87681
2001-05-24,228000,226500,605529,6.65,39732,92484,-144756
2001-05-25,227500,222000,673974,6.52,218253,112470,-364830
2001-05-28,221000.0,222500.0,369666.0,6.54,46260,17770,-58140
2001-05-29,221500.0,232000.0,485640.0,6.82,-215805,93760,121155
2001-05-30,225000.0,223500.0,636313.0,6.57,186630,-27890,-187650
2001-05-31,216000.0,212000.0,1271938.0,6.23,693998,-16260,-680368
2001-06-01,215000.0,212000.0,586304.0,6.23,195834,-43480,-155494
2001-06-04,213000.0,212000.0,399194.0,6.23,64724,43300,-106234
2001-06-05,207000.0,203000.0,1030410.0,5.96,377951,111990,-526281
2001-06-07,204000.0,214000.0,799372.0,6.29,-274274,-25770,325582
2001-06-08,221000.0,223500.0,854889.0,6.57,-450628,-22932,477850
2001-06-11,216500.0,214000.0,493626.0,6.29,37085,-108250,82675
2001-06-12,211000.0,211000.0,483939.0,6.2,172954,-17810,-160124
2001-06-13,215000.0,214000.0,472921.0,6.29,167351,10890,-177191
2001-06-14,213500.0,211500.0,556866.0,6.21,105488,-131060,45392
2001-06-15,209500.0,209500.0,817467.0,6.15,448078,-54846,-428152
2001-06-18,209000.0,205000.0,681948.0,6.02,378690,-176320,-232670
2001-06-19,205000.0,205500.0,625581.0,6.04,124300,127670,-262250
2001-06-20,203000.0,200000.0,770358.0,5.88,206295,-14095,-200370
2001-06-21,200000.0,198000.0,816100.0,5.82,203899,-62140,-126069
2001-06-22,197000.0,193500.0,893742.0,5.68,241974,22270,-283474
2001-06-25,192000.0,193500.0,518554.0,5.68,23240,32470,-74560
2001-06-26,193500.0,189000.0,670094.0,5.55,53940,20182,-84792
2001-06-27,189500.0,186000.0,819708.0,5.46,111345,124274,-267439
2001-06-28,185000.0,187500.0,540822.0,5.51,42314,-12464,-43160
2001-06-29,192000.0,192000.0,613537.0,5.64,-21590,18730,-18650
2001-07-02,192000.0,193000.0,465694.0,5.67,-652,-32970,37652
2001-07-03,195000.0,194500.0,406148.0,5.71,-40043,37235,5888
2001-07-04,192000.0,197000.0,274111.0,5.79,-56798,74153,-17545
2001-07-05,197000.0,193000.0,311035.0,5.67,5950,-47540,33750
2001-07-06,187000.0,183500.0,760498.0,5.39,343109,2616,-348501
2001-07-09,175000.0,171000.0,1632709.0,5.02,407702,156900,-602062
2001-07-10,172000.0,170000.0,653353.0,4.99,116849,32900,-168169
2001-07-11,164000.0,169000.0,759411.0,4.96,32269,22566,-47725
2001-07-12,174000.0,176000.0,1327393.0,5.17,71552,-93452,64140
2001-07-13,182000.0,170000.0,931217.0,4.99,-5615,-68410,66055
2001-07-16,168500.0,167000.0,558267.0,4.91,86127,66930,-154617
2001-07-18,168000.0,167500.0,668626.0,4.92,20565,-105455,93870
2001-07-19,166500.0,177000.0,746507.0,5.2,-194758,7350,201508
2001-07-20,176000.0,176000.0,592597.0,5.17,-111873,-43120,168023
2001-07-23,175000.0,173000.0,425554.0,5.08,-142780,57510,78830
2001-07-24,170000.0,173500.0,429673.0,5.1,-41660,123350,-93290
2001-07-25,173000.0,178500.0,418182.0,5.24,-94500,-54810,170320
2001-07-26,179500.0,181500.0,437342.0,5.33,-119240,-132610,235030
2001-07-27,186500.0,185500.0,576045.0,5.45,-211638,-83187,283775
2001-07-30,188000.0,185500.0,401109.0,5.45,-117345,-102830,235845
2001-07-31,187000.0,189500.0,444664.0,5.57,-148230,-33770,206040
2001-08-01,191500.0,198000.0,1157583.0,5.82,-413690,-327030,787660
2001-08-02,201000.0,195500.0,635840.0,5.74,-107490,-8960,136250
2001-08-03,200000.0,199500.0,655941.0,5.86,-165970,-41350,264750
2001-08-06,196500.0,199000.0,322611.0,5.85,-73360,27150,46420
2001-08-07,194000.0,193000.0,441781.0,5.67,21690,100890,-144070
2001-08-08,191000.0,190000.0,268180.0,5.58,25424,2912,-27276
2001-08-09,184500.0,183000.0,583411.0,5.38,198214,57386,-288370
2001-08-10,185500.0,186500.0,231661.0,5.48,14510,25670,-44590
2001-08-13,188500.0,191500.0,372898.0,5.63,-44190,-44430,100920
2001-08-14,195000.0,197500.0,424405.0,5.8,-182901,114270,69451
2001-08-16,192000.0,195000.0,366645.0,5.73,-47410,45430,-9760
2001-08-17,195000.0,196000.0,354953.0,5.76,-64030,-2990,63890
2001-08-20,190000.0,190000.0,188771.0,5.58,22510,-24920,6380
2001-08-21,191000.0,186000.0,434725.0,5.46,165230,2250,-192380
2001-08-22,181500.0,192500.0,435449.0,5.65,-64810,35940,17020
2001-08-23,193500.0,192500.0,298954.0,5.65,-57503,2650,78890
2001-08-24,192000.0,192000.0,150355.0,5.64,-22440,48180,-20390
2001-08-27,198000.0,199000.0,759108.0,5.85,-389930,89630,322000
2001-08-28,200000.0,197000.0,410733.0,5.79,-117839,70069,54510
2001-08-29,195000.0,196500.0,382787.0,5.77,-37570,-66940,108850
2001-08-30,192000.0,196000.0,251777.0,5.76,-21990,-1790,19270
2001-08-31,193000.0,190000.0,516960.0,5.58,139427,-26244,-89053
2001-09-03,190500.0,188000.0,209020.0,5.52,6720,1718,4572
2001-09-04,188000.0,196500.0,375560.0,5.77,-95552,31349,59153
2001-09-05,192000.0,189500.0,420443.0,5.57,106355,-28270,-109235
2001-09-06,190000.0,188500.0,349882.0,5.54,70065,-3495,-72900
2001-09-07,188000.0,191000.0,456798.0,5.61,85780,-50935,-22445
2001-09-10,188500.0,191500.0,280072.0,5.63,-34800,-45990,83330
2001-09-11,190000.0,187000.0,316200.0,5.49,56384,9900,-78694
2001-09-12,160000.0,161500.0,1699446.0,4.74,258786,267920,-533996
2001-09-13,168000.0,171500.0,1194979.0,5.04,66307,-234550,167270
2001-09-14,172000.0,169500.0,663586.0,4.98,-104193,-6900,111373
2001-09-17,165000.0,164000.0,569053.0,4.82,-84095,111478,-46650
2001-09-18,169500.0,167500.0,497444.0,4.92,70760,58830,-181550
2001-09-19,165000.0,164000.0,431180.0,4.82,142080,-27180,-147070
2001-09-20,160000.0,154000.0,1227672.0,4.52,396580,-72580,-446930
2001-09-21,145000.0,142500.0,1308363.0,4.19,365710,133370,-575690
2001-09-24,140500.0,148000.0,1139615.0,4.35,87060,930,-112820
2001-09-25,153000.0,143000.0,841381.0,4.2,-66370,-67030,69190
2001-09-26,141000.0,141500.0,665570.0,4.16,170970,-25520,-128800
2001-09-27,138000.0,140500.0,730010.0,4.13,184624,-56586,-114048
2001-09-28,144000.0,140000.0,945715.0,4.11,189891,45580,-252231
2001-10-04,150000.0,145500.0,1298572.0,4.27,106992,-17480,-90552
2001-10-05,146000.0,147500.0,800783.0,4.33,-138240,3230,136590
2001-10-08,147000.0,146000.0,398747.0,4.29,-82336,-27247,94143
2001-10-09,148000.0,151500.0,792657.0,4.45,-120232,64265,78867
2001-10-10,149500.0,149000.0,337119.0,4.38,-5790,-35270,43120
