Symbol,한미사이언스_시가(원),한미사이언스_종가(원),한미사이언스_거래량(주),한미사이언스_PER(IFRS-연결),한미사이언스_순매수수량(개인)(주),한미사이언스_순매수수량(기관계)(주),한미사이언스_순매수수량(외국인계)(주)
2000-01-04,14000,15850,99950,11.7,-530,370,0
2000-01-05,15500,15800,593550,11.65,38770,-17860,-19900
2000-01-06,16300,14100,213010,10.4,4180,-2510,0
2000-01-07,14000,16200,491970,11.95,-4060,3150,240
2000-01-10,16900,15200,676970,11.21,-7330,9140,-100
2000-01-11,15500,15000,330360,11.07,2950,-3060,-30
2000-01-12,15000,14400,241280,10.63,4920,-4520,-400
2000-01-13,14400,14300,143350,10.55,-1760,1560,0
2000-01-14,14000,13500,182740,9.95,9440,-9440,0
2000-01-17,13600,13550,181120,10,6680,5530,300
2000-01-18,13500,13100,119560,9.67,3990,-4050,60
2000-01-19,12900,12850,221900,9.48,12560,-11490,0
2000-01-20,12900,12200,102600,9,-4520,4100,230
2000-01-21,12200,12000,157380,8.85,3270,-4380,0
2000-01-24,12400,13000,177480,9.59,-12580,12580,0
2000-01-25,12700,12400,95140,9.15,6710,-6110,0
2000-01-26,12900,12500,64150,9.22,-7640,7640,0
2000-01-27,12750,13400,414060,9.89,-44320,34300,9740
2000-01-28,13700,13350,141080,9.84,2770,-2690,0
2000-01-31,13000,13350,116580,9.84,-380,380,0
2000-02-01,13150,12900,111070,9.51,18110,-12080,-5740
2000-02-02,13050,13650,268040,10.07,580,9630,-4000
2000-02-03,13650,13400,105240,9.89,-3430,2430,1000
2000-02-07,13500,13650,150390,10.07,-19770,2750,20000
2000-02-08,14350,13850,283350,10.22,-37840,38930,0
2000-02-09,13900,14250,265210,10.51,110,5800,0
2000-02-10,14400,13800,221050,10.18,35480,-35480,0
2000-02-11,13700,14650,583580,10.8,5340,-6340,0
2000-02-14,14500,13700,268500,10.11,-33670,33670,0
2000-02-15,13750,12600,140250,9.29,-12850,12790,60
2000-02-16,12300,12800,155070,9.44,4120,-1080,-3040
2000-02-17,13000,13650,385870,10.07,16780,-9030,-7750
2000-02-18,14000,15650,667770,11.54,-180920,138880,-11000
2000-02-21,16100,17950,1396810,13.24,-232960,118060,4000
2000-02-22,18400,17450,869380,12.88,-131720,99700,2320
2000-02-23,17000,16800,563630,12.39,-19690,37790,-6020
2000-02-24,17100,17200,379480,12.69,-55100,50560,-300
2000-02-25,17000,16300,312690,12.03,-25460,26610,0
2000-02-28,15700,15200,205110,11.21,-26030,18540,-540
2000-02-29,15200,15300,261540,11.29,21630,-21630,-10000
2000-03-02,16000,17550,347470,12.94,-41200,41200,0
2000-03-03,18100,17000,602490,12.53,-56200,55200,0
2000-03-06,18700,17600,261550,12.99,14760,-18760,4000
2000-03-07,17400,18500,393450,13.65,20250,-19210,-40
2000-03-08,17800,18900,273500,13.95,-66630,58500,3930
2000-03-09,19100,18400,313800,13.57,67150,-89670,-4200
2000-03-10,18500,18400,271550,13.57,-11400,-2920,170
2000-03-13,18500,18800,425670,13.87,-2070,-13000,-1600
2000-03-14,17000,17300,183750,12.77,-27160,16160,0
2000-03-15,16500,15100,175060,11.13,19870,-6470,0
2000-03-16,15800,15300,235970,11.29,-5030,4910,0
2000-03-17,15600,14650,122260,10.8,3880,-3880,0
2000-03-20,15000,14700,88420,10.85,1010,-1010,0
2000-03-21,14800,14500,81360,10.69,-13810,19360,720
2000-03-22,14600,14800,134790,10.91,-250,250,0
2000-03-23,15200,14500,152570,10.69,32270,-32150,0
2000-03-24,14800,15300,250750,11.29,34790,-34790,0
2000-03-27,15700,15400,132820,11.35,13600,-13600,0
2000-03-28,15400,14800,117790,10.91,8410,-8410,0
2000-03-29,15000,14200,120360,10.47,6520,-6520,0
2000-03-30,14200,13900,78080,10.25,-350,-1650,0
2000-03-31,13350,13350,114990,9.84,39760,-13370,790
2000-04-03,13350,13300,132100,9.81,2820,-2790,0
2000-04-04,13500,13250,85370,9.78,1910,1030,0
2000-04-06,13350,13100,54960,9.67,1360,-1430,0
2000-04-07,13550,13500,141710,9.95,24540,-24540,0
2000-04-10,13600,14300,279830,10.55,-28160,30550,-790
2000-04-11,14200,13500,71960,9.95,-9380,10800,0
2000-04-12,13700,13150,81980,9.7,37070,-39100,0
2000-04-14,13000,12950,64310,9.55,2710,-2720,100
2000-04-17,11200,11050,180690,8.15,-3720,17150,0
2000-04-18,12000,11400,150810,8.41,64310,-56310,0
2000-04-19,12100,11850,110540,8.74,15790,-16690,0
2000-04-20,11500,11700,48760,8.63,6060,-6060,0
2000-04-21,11900,12000,73080,8.85,1950,-1950,0
2000-04-24,12100,12150,135060,8.96,15160,-15160,0
2000-04-25,12100,11800,44760,8.71,7380,-7380,0
2000-04-26,12000,11300,65660,8.33,520,-520,0
2000-04-27,10550,10600,66490,7.82,11630,520,50
2000-04-28,10600,10800,89830,7.97,29060,-31430,-10
2000-05-02,11100,11050,74540,8.15,7980,-7700,-280
2000-05-03,11150,11100,46900,8.19,2140,-1790,-350
2000-05-04,11300,11700,160390,8.63,21130,-20920,-140
2000-05-08,12050,11500,91340,8.48,4020,-3890,-210
2000-05-09,11800,11500,137050,8.48,56080,-60590,-210
2000-05-10,11500,11950,65740,8.82,-670,1500,-830
2000-05-12,11700,11700,175850,8.63,33680,-33500,-180
2000-05-15,11950,12200,370340,9,54160,-23120,-140
2000-05-16,12850,12350,453780,9.11,32330,-28300,-140
2000-05-17,12200,10600,286570,7.82,11270,-810,-350
2000-05-18,10800,10050,197100,7.41,-1150,1160,0
2000-05-19,10000,10300,140750,7.6,320,-520,0
2000-05-22,9610,8800,141740,6.49,260,-210,-50
2000-05-23,8200,7810,144780,5.77,11730,1970,0
2000-05-24,7910,8480,143850,6.25,11970,-920,0
2000-05-25,8480,9700,118460,7.15,870,-870,0
2000-05-26,9500,8500,74160,6.27,70,-50,0
2000-05-29,8600,8800,95540,6.49,-3480,-6520,0
2000-05-30,9200,9110,77330,6.72,-4620,-21810,-130
2000-05-31,9500,9410,139770,6.95,-33210,-3790,0
2000-06-01,9840,10200,126710,7.52,-26780,-140,0
2000-06-02,10900,10200,135900,7.52,-34780,-110,0
2000-06-05,10600,10500,134520,7.75,22040,-22800,0
2000-06-07,10600,10800,205600,7.97,25900,-25790,0
2000-06-08,11100,9950,173690,7.34,-3490,-30920,0
2000-06-09,10000,10000,114290,7.38,-4770,-310,0
2000-06-12,10300,11500,467810,8.48,60940,-50970,0
2000-06-13,11550,10300,291300,7.6,-64240,270,0
2000-06-14,10900,10150,144420,7.49,-34810,-320,500
2000-06-15,10000,9180,99910,6.77,-3000,0,0
2000-06-16,8250,9110,64670,6.72,-160,160,0
2000-06-19,8550,8900,46350,6.57,-820,420,400
2000-06-20,9500,9110,63250,6.72,270,-270,0
2000-06-21,9000,9020,127790,6.66,23360,-23360,0
2000-06-22,9300,9100,62720,6.71,5580,-5880,0
2000-06-23,8990,9000,38190,6.64,40,-40,0
2000-06-26,9150,9600,98690,7.08,-640,950,0
2000-06-27,9500,9280,96570,6.85,-940,940,0
2000-06-28,9380,9220,70210,6.8,-680,680,0
2000-06-29,9300,9170,96980,6.77,1070,-1080,0
2000-06-30,9010,9100,40020,6.71,-880,680,200
2000-07-03,9200,9240,49510,6.81,-250,920,-670
2000-07-04,9260,9200,135200,6.79,14710,-14700,0
2000-07-05,9230,9140,65380,6.75,-290,-710,0
2000-07-06,9020,9180,77160,6.77,8520,-7020,-1500
2000-07-07,9100,9290,148390,6.86,2600,-2400,0
2000-07-10,9400,9510,118290,7.01,-9820,8820,0
2000-07-11,9600,9410,135390,6.95,11170,-11470,0
2000-07-12,9400,9800,276780,7.23,31350,-26250,-300
2000-07-13,9900,9360,108880,6.9,7690,-9190,0
2000-07-14,9350,9090,123370,6.7,40580,-40580,0
2000-07-18,9090,8690,87420,6.41,-50,50,0
2000-07-19,8300,8690,63820,6.41,2710,-2710,0
2000-07-20,8650,8430,42280,6.22,-1280,1240,40
2000-07-21,8900,8500,67420,6.27,-260,260,0
2000-07-24,8650,8010,29590,5.91,-1750,1750,0
2000-07-25,8050,8100,35260,5.98,-2060,1840,220
2000-07-26,8110,8100,32410,5.98,1880,-1650,-230
2000-07-27,8200,8190,198510,6.04,71330,-71330,0
2000-07-28,8300,8030,52040,5.92,3770,-4490,720
2000-07-31,8030,7910,29580,5.83,-1960,1600,360
2000-08-01,8000,8100,46050,5.98,1510,-1510,0
2000-08-02,8290,8100,79530,5.98,-260,200,60
2000-08-03,8300,8140,37730,6.01,1590,-1310,-280
2000-08-04,8250,8040,35890,5.93,870,-870,0
2000-08-07,7900,7800,37070,5.75,310,-310,0
2000-08-08,7800,8000,57500,5.9,-20,20,0
2000-08-09,8190,8050,44050,5.94,-1070,670,400
2000-08-10,8000,8400,71600,6.2,490,-1390,-100
2000-08-11,8400,9010,198180,6.65,1680,-1380,-400
2000-08-14,9250,9060,121450,6.68,1340,-920,80
2000-08-16,9010,8900,39330,6.57,-3580,3760,320
2000-08-17,8900,8900,40070,6.57,-1240,1240,0
2000-08-18,8720,8790,38540,6.48,740,-740,0
2000-08-21,8490,9000,42840,6.64,-190,-310,0
2000-08-22,9080,8970,55610,6.61,-380,1160,220
2000-08-23,8970,8610,47160,6.35,6220,-6270,60
2000-08-24,8350,8370,21900,6.17,-430,190,240
2000-08-25,8400,8320,27440,6.14,-180,430,-250
2000-08-28,8300,8500,73990,6.27,-470,450,20
2000-08-29,8520,8320,28750,6.14,-430,-60,0
2000-08-30,8410,8300,23710,6.12,1010,-1010,0
2000-08-31,8210,8050,50230,5.94,22500,-1670,-20830
2000-09-01,7950,8300,111890,6.12,27990,-27980,0
2000-09-04,8500,8750,83870,6.45,1100,-1100,0
2000-09-05,9050,8700,62630,6.42,-1360,1360,0
2000-09-06,8710,8780,72240,6.47,15900,-17030,0
2000-09-07,8550,8850,212220,6.53,6460,-8060,0
2000-09-08,8900,8560,52980,6.32,1240,-1240,0
2000-09-14,8400,8580,39690,6.33,5770,-4110,-2350
2000-09-15,8550,9000,108260,6.64,-5630,-570,0
2000-09-18,9250,9200,615910,6.79,-400,310,0
2000-09-19,9010,10550,694160,7.78,162420,-162390,0
2000-09-20,12100,12100,622490,8.93,-1370,9100,2270
2000-09-21,12800,11450,2156810,8.44,-5790,12700,2000
2000-09-22,11050,9750,798710,7.19,11470,-12720,2940
2000-09-25,9700,9820,897070,7.24,-1260,190,510
2000-09-26,9980,10450,1131480,7.71,-28870,29930,-500
2000-09-27,10100,9700,473880,7.15,-1980,950,0
2000-09-28,9850,9390,312500,6.92,15850,-15850,0
2000-09-29,9600,9900,1594650,7.3,-12040,-1910,-5000
2000-10-02,10250,10300,658950,7.6,-1760,-100,0
2000-10-04,10600,10000,650490,7.38,17600,1490,1000
2000-10-05,10100,10800,600610,7.97,1810,-780,-1000
2000-10-06,11000,11250,1293170,8.3,-4680,5910,-2010
2000-10-09,11250,10850,764820,8,-1130,3610,0
2000-10-10,10600,11200,509010,8.26,-2560,2780,1200
2000-10-11,11150,10300,398300,7.6,10920,-10720,-200
2000-10-12,10000,9950,262140,7.34,1590,-1590,0
2000-10-13,9100,9450,273840,6.97,8480,-8480,0
2000-10-16,9700,9800,221440,7.23,2530,-3610,0
2000-10-17,9860,8810,210130,6.49,-4590,4590,0
2000-10-18,8810,8510,206590,6.27,950,100,0
2000-10-19,8550,8400,155090,6.2,430,-480,50
2000-10-20,8450,8820,209980,6.5,-780,760,0
2000-10-23,8920,8440,131290,6.23,-750,770,0
2000-10-24,8430,8520,139040,6.28,260,740,-1000
2000-10-25,8460,8370,114360,6.17,-750,750,0
2000-10-26,8350,8200,111990,6.05,-310,310,0
2000-10-27,8260,8680,489980,6.41,-28780,3430,220
2000-10-30,8780,8320,187860,6.14,5920,-2780,0
2000-10-31,7810,8350,445710,6.16,-1560,1520,0
2000-11-01,8410,8480,178710,6.25,490,-400,-50
2000-11-02,8640,8660,549730,6.38,6760,240,0
2000-11-03,8700,8510,193930,6.27,560,-390,-170
2000-11-06,8430,8600,213320,6.34,-12610,2630,9620
2000-11-07,8710,8600,251370,6.34,9100,-1660,0
2000-11-08,8800,8390,139270,6.18,2410,-1330,0
2000-11-09,8400,8350,101480,6.16,660,-890,250
2000-11-10,8200,8300,68830,6.12,180,780,0
2000-11-13,8200,8020,140850,5.92,1680,-1620,0
2000-11-14,7830,8030,102460,5.92,-30,-120,0
2000-11-15,8300,8020,174690,5.92,-360,990,0
2000-11-16,8100,8090,85710,5.96,70,-80,0
2000-11-17,8110,8060,73090,5.94,1460,-1460,0
2000-11-20,8100,8090,63980,5.96,-1640,-260,0
2000-11-21,8010,8350,291540,6.16,5120,120,0
2000-11-22,8360,8200,360440,6.05,-930,-270,0
2000-11-23,8250,7710,165990,5.69,-570,570,0
2000-11-24,7720,7820,115520,5.77,-800,760,0
2000-11-27,7740,7910,102840,5.83,70,630,0
2000-11-28,8090,7850,151940,5.79,120,-120,0
2000-11-29,7800,7620,72740,5.62,510,-970,500
2000-11-30,7940,7500,67660,5.53,120,-120,0
2000-12-01,7320,7300,64780,5.38,9100,1490,-10590
2000-12-04,7100,7130,37840,5.26,190,-190,0
2000-12-05,7230,7300,100790,5.38,-1430,1430,0
2000-12-06,7550,7430,122930,5.48,-1570,1570,0
2000-12-07,7310,7350,49260,5.42,2430,-1430,0
2000-12-08,7390,8000,206840,5.9,-1120,1120,0
2000-12-11,7900,8070,139010,5.95,-2330,2300,0
2000-12-12,8040,7800,102720,5.75,1180,-1180,0
2000-12-13,7900,8250,334680,6.09,-2180,2880,0
2000-12-14,8250,8330,375690,6.14,8250,-11130,3120
2000-12-15,8410,7920,136920,5.84,2490,-1930,0
2000-12-18,8100,8500,289040,6.27,-4310,4310,0
2000-12-19,8520,8020,467070,5.92,8060,-8000,-60
2000-12-20,8020,7700,131960,5.68,-20610,20550,60
2000-12-21,7680,7470,100330,5.51,-20170,20210,-40
2000-12-22,7380,7190,104180,5.3,-3270,3870,0
2000-12-26,6730,7340,60680,5.41,-6740,6740,0
2001-01-02,7020,7340,64320,3.16,2350,-2350,0
2001-01-03,7200,7630,321280,3.29,6930,-6890,-40
2001-01-04,8200,7700,149230,3.32,-2210,210,0
2001-01-05,7800,7600,118540,3.27,100,-30,-40
2001-01-08,7600,7720,128010,3.33,-2140,-6360,8500
2001-01-09,7800,7930,374060,3.42,6640,-8940,0
2001-01-10,8000,7890,180020,3.4,-50660,960,50000
2001-01-11,7890,7800,79890,3.36,5680,-5380,-300
2001-01-12,7850,7960,128260,3.43,1390,330,280
2001-01-15,7960,8110,267630,3.49,-29460,-1440,30900
2001-01-16,8300,8150,151480,3.51,-10960,4470,6490
2001-01-17,8300,8320,648480,3.59,83410,15090,-98000
2001-01-18,8430,8200,162810,3.53,-10010,10850,0
2001-01-19,8220,8250,266360,3.56,-1870,1870,0
2001-01-22,8400,8400,152250,3.62,-24680,-320,25000
2001-01-26,8500,8120,102370,3.5,2750,-350,-2400
2001-01-29,8130,8180,60440,3.52,-11450,11450,0
2001-01-30,8140,8340,134690,3.59,-21590,-3410,25000
2001-01-31,8400,8440,158480,3.64,580,-580,0
2001-02-01,8700,8530,615500,3.68,20260,-110,-20150
2001-02-02,8540,8700,194660,3.75,700,190,-890
2001-02-05,8700,8200,222710,3.53,970,-970,0
2001-02-06,8300,8300,255490,3.58,-720,720,0
2001-02-07,8210,8120,109910,3.5,2600,-2600,0
2001-02-08,8120,8200,91560,3.53,-1290,160,1130
2001-02-09,8200,8270,128060,3.56,-4570,70,0
2001-02-12,8380,8450,310530,3.64,5370,-1310,-4060
2001-02-13,8530,8440,138750,3.64,-13830,-1330,5910
2001-02-14,8310,8450,92200,3.64,-12110,-2970,15080
2001-02-15,8600,8520,166080,3.67,-23000,-1000,21000
2001-02-16,8550,8360,68190,3.6,-690,-1310,0
2001-02-19,8330,8750,270910,3.77,7370,-7370,0
2001-02-20,8800,8770,383550,3.78,20300,-430,-29100
2001-02-21,8850,8510,116440,3.67,-230,230,0
2001-02-22,8510,8300,145190,3.58,31080,510,-31590
2001-02-23,8200,8380,102930,3.61,-1120,920,200
2001-02-26,8320,8380,57270,3.61,-70,70,0
2001-02-27,8430,8780,222340,3.78,1610,-670,-940
2001-02-28,8700,9150,478230,3.94,22470,1010,0
2001-03-02,9150,8500,402470,3.67,13390,-12410,-980
2001-03-05,8600,8380,219020,3.61,-6290,280,10
2001-03-06,8400,8530,167810,3.68,-5940,-160,1100
2001-03-07,8530,8420,135660,3.63,-1070,-920,-10
2001-03-08,8480,8500,120560,3.67,-5370,-1520,6890
2001-03-09,8430,8590,132980,3.7,-7680,-960,-1230
2001-03-12,8500,8300,141860,3.58,-4810,-110,-80
2001-03-13,7900,7990,116060,3.44,-21950,-50,20000
2001-03-14,8050,8250,56330,3.56,-100,100,0
2001-03-15,7900,8100,94700,3.49,6960,26240,-35200
2001-03-16,8090,8130,34630,3.51,-1420,-80,0
2001-03-19,8000,7930,43790,3.42,-390,330,60
2001-03-20,8000,7960,87490,3.43,-17990,17990,-60
2001-03-21,7800,7900,42520,3.4,-12210,11930,90
2001-03-22,7780,7750,55260,3.34,500,-500,0
2001-03-23,7800,7770,30020,3.35,-740,680,0
2001-03-26,7900,7880,38340,3.4,-9690,-280,9970
2001-03-27,7950,7810,44390,3.36,390,-390,0
2001-03-28,7850,7750,66380,3.34,9470,400,-10000
2001-03-29,7710,7630,44110,3.29,1230,-910,0
2001-03-30,7600,7910,198080,3.41,-22030,20080,0
2001-04-02,8050,7930,78200,3.42,0,0,0
2001-04-03,7800,7570,50080,3.26,-1870,1840,0
2001-04-04,7220,7400,26660,3.19,-900,1400,0
2001-04-06,7520,7500,37420,3.23,640,-580,-50
2001-04-09,7500,7600,24720,3.27,-5090,5400,100
2001-04-10,7750,7420,35510,3.2,660,-60,0
2001-04-11,7510,7460,33290,3.22,1230,-1110,0
2001-04-12,7700,7760,100290,3.35,2200,-1830,-100
2001-04-13,7900,8020,233450,3.46,6750,-6750,0
2001-04-16,8200,8570,801730,3.69,51190,-51440,0
2001-04-17,8700,8250,367330,3.56,2800,-2550,0
2001-04-18,8480,8290,207370,3.57,90,-180,0
2001-04-19,8400,8630,343630,3.72,-10810,-160,0
2001-04-20,8550,8350,180270,3.6,-5580,1130,0
2001-04-23,8360,8200,174280,3.53,46670,-49290,370
2001-04-24,8300,8100,144870,3.49,-710,300,-390
2001-04-25,8200,8140,111120,3.51,-3160,1740,600
2001-04-26,8200,8200,113350,3.53,440,-440,0
2001-04-27,8260,8180,388580,3.52,30660,140,0
2001-04-30,8250,8220,132170,3.54,-330,330,0
2001-05-02,8180,8350,175740,3.6,-10030,-960,11130
2001-05-03,8350,8470,196910,3.65,1430,-1430,0
2001-05-04,8510,8360,138530,3.6,110,-110,0
2001-05-07,8360,8430,116700,3.64,-1260,1020,0
2001-05-08,8500,8510,187750,3.67,11850,-420,-11280
2001-05-09,8600,8510,405880,3.67,-28380,26270,370
2001-05-10,8400,8420,96080,3.63,-4850,5170,0
2001-05-11,8540,8560,236700,3.69,-10860,11260,2000
2001-05-14,8560,8790,212490,3.79,-24200,26150,-2000
2001-05-15,8900,8900,469980,3.84,-101770,84880,20940
2001-05-16,9060,9210,654880,3.97,-66460,56700,0
2001-05-17,9350,9410,250380,4.05,-61130,-7390,68510
2001-05-18,9650,9490,204000,4.09,-69830,9330,60500
2001-05-21,9500,9500,201380,4.1,26660,-29940,0
2001-05-22,9590,9100,171670,3.92,-6550,4550,0
2001-05-23,9130,9150,74810,3.94,2060,-2600,0
2001-05-24,9030,9050,88080,3.9,25490,-26990,0
2001-05-25,9050,9300,104620,4.01,-23170,22840,0
2001-05-28,9400.0,9700.0,449950.0,4.18,-23070,-1220,30450
2001-05-29,9800.0,9590.0,158600.0,4.13,-16440,15340,0
2001-05-30,9900.0,9720.0,187260.0,4.19,-28140,15590,23180
2001-05-31,9610.0,9900.0,643600.0,4.27,-5940,-340,6070
2001-06-01,10000.0,9610.0,192290.0,4.14,-18240,18330,30
2001-06-04,9560.0,9400.0,110860.0,4.05,-9920,9920,120
2001-06-05,9310.0,9060.0,153310.0,3.91,47010,-53570,600
2001-06-07,8950.0,9100.0,61180.0,3.92,-5120,4380,0
2001-06-08,9110.0,9200.0,50690.0,3.97,-2590,2230,0
2001-06-11,9010.0,9010.0,117170.0,3.88,32190,-30890,0
2001-06-12,9100.0,9000.0,58250.0,3.88,6120,-7640,0
2001-06-13,9060.0,9100.0,48470.0,3.92,3590,-2410,-150
2001-06-14,9200.0,9350.0,199290.0,4.03,-14280,7460,12350
2001-06-15,9330.0,9300.0,236930.0,4.01,58880,-63610,0
2001-06-18,9450.0,9280.0,86160.0,4.0,12110,-11900,0
2001-06-19,9300.0,9160.0,127030.0,3.95,-1360,4190,170
2001-06-20,9260.0,8860.0,133820.0,3.82,8660,-11260,0
2001-06-21,8910.0,8860.0,91800.0,3.82,8120,-9150,0
2001-06-22,8930.0,9160.0,175490.0,3.95,-13280,12950,50
2001-06-25,9160.0,9200.0,79800.0,3.97,-21960,3040,-50
2001-06-26,9210.0,9000.0,113030.0,3.88,-13460,1160,0
2001-06-27,9000.0,8910.0,53420.0,3.84,-10590,10200,90
2001-06-28,9300.0,9500.0,280570.0,4.1,-22820,21100,0
2001-06-29,9590.0,9790.0,367090.0,4.22,30810,-38640,0
2001-07-02,9980.0,9850.0,349110.0,4.24,-15430,15730,0
2001-07-03,9750.0,9900.0,154190.0,4.27,-30880,11240,18350
2001-07-04,9910.0,9700.0,285080.0,4.18,19570,10830,-31990
2001-07-05,9600.0,9960.0,209520.0,4.29,-39000,38760,0
2001-07-06,9960.0,10200.0,654100.0,4.4,-102740,88040,28700
2001-07-09,10100.0,9980.0,583060.0,4.3,-10090,1920,-1100
2001-07-10,10250.0,9790.0,261510.0,4.22,-22000,22000,0
2001-07-11,9310.0,9320.0,159440.0,4.02,-47520,37920,0
2001-07-12,9200.0,9410.0,120780.0,4.05,-28010,29910,-90
2001-07-13,9510.0,9470.0,159180.0,4.08,-59540,2650,60000
2001-07-16,9800.0,9740.0,117940.0,4.2,-12500,12570,0
2001-07-18,9740.0,9500.0,74120.0,4.1,-24520,15860,8780
2001-07-19,9550.0,9460.0,73980.0,4.08,-29070,10610,18340
2001-07-20,9470.0,9330.0,48510.0,4.02,-11110,8710,0
2001-07-23,9200.0,8800.0,76160.0,3.8,-25030,24410,400
2001-07-24,8530.0,8900.0,87870.0,3.84,-22950,21410,500
2001-07-25,8900.0,8800.0,41330.0,3.8,-20970,5350,0
2001-07-26,8950.0,8900.0,34730.0,3.84,-4100,8020,0
2001-07-27,9010.0,9100.0,42540.0,3.92,-10780,10780,0
2001-07-30,9030.0,9100.0,34570.0,3.92,-8530,10830,-120
2001-07-31,9140.0,9300.0,31810.0,4.01,-8240,8590,0
2001-08-01,9310.0,9390.0,59580.0,4.05,-19740,19850,-120
2001-08-02,9400.0,9390.0,56830.0,4.05,-4990,-2690,4600
2001-08-03,9400.0,9370.0,47960.0,4.04,-6470,7420,-650
2001-08-06,9370.0,9370.0,57930.0,4.04,7570,8410,0
2001-08-07,9300.0,9370.0,31620.0,4.04,-10880,10760,0
2001-08-08,9360.0,9500.0,67350.0,4.1,-21970,5580,18050
2001-08-09,9500.0,9520.0,59060.0,4.1,-19410,-110,0
2001-08-10,9470.0,9430.0,37260.0,4.07,-12640,12520,0
2001-08-13,9610.0,9640.0,101060.0,4.15,6720,-6720,0
2001-08-14,9640.0,9650.0,56390.0,4.16,540,3460,0
2001-08-16,9500.0,9650.0,78700.0,4.16,1890,-890,0
2001-08-17,9700.0,9670.0,60380.0,4.16,-12140,12140,0
2001-08-20,9410.0,9550.0,46000.0,4.12,-10450,10450,0
2001-08-21,9700.0,9620.0,42330.0,4.15,-23450,330,23120
2001-08-22,9620.0,9730.0,90290.0,4.2,-12610,8700,3890
2001-08-23,9960.0,10200.0,1358700.0,4.4,126720,-96230,10
2001-08-24,10450.0,11050.0,1102560.0,4.76,33850,-34050,0
2001-08-27,11100.0,11400.0,864370.0,4.91,30950,-71170,34280
2001-08-28,11200.0,11000.0,376050.0,4.74,27700,2300,0
2001-08-29,10850.0,10200.0,464670.0,4.4,-23330,23330,0
2001-08-30,10000.0,10400.0,262070.0,4.48,6700,1200,0
2001-08-31,9900.0,9550.0,348140.0,4.12,19100,-19000,0
2001-09-03,9650.0,9530.0,125740.0,4.11,-7810,1810,1000
2001-09-04,9570.0,9690.0,117480.0,4.18,-15150,2020,13120
2001-09-05,9750.0,9910.0,443840.0,4.27,17200,-18290,6090
2001-09-06,10000.0,9900.0,119530.0,4.27,3780,-9780,6000
2001-09-07,9700.0,10100.0,161520.0,4.36,-1900,3040,-1140
2001-09-10,10000.0,10200.0,114810.0,4.4,-21750,21160,-20
2001-09-11,10250.0,10100.0,301330.0,4.36,-3910,4780,0
2001-09-12,8600.0,8700.0,327520.0,3.75,-127180,62940,62100
2001-09-13,9310.0,9400.0,236540.0,4.05,-57500,58830,490
2001-09-14,9400.0,9300.0,236280.0,4.01,-126580,128040,-130
2001-09-17,9100.0,9140.0,112020.0,3.94,-59440,19430,40000
2001-09-18,9300.0,9570.0,182190.0,4.12,690,-4450,3760
2001-09-19,9480.0,9670.0,144300.0,4.16,-24940,19950,5000
2001-09-20,9650.0,9700.0,85830.0,4.18,-30310,29370,-40
2001-09-21,9320.0,9480.0,37880.0,4.08,-1100,1100,0
2001-09-24,9480.0,9400.0,73170.0,4.05,19110,3250,-22340
2001-09-25,9500.0,9370.0,382790.0,4.04,53710,-33770,-19940
2001-09-26,9490.0,9400.0,78810.0,4.05,-13440,14140,-2000
2001-09-27,9430.0,9400.0,68960.0,4.05,-37610,37500,0
2001-09-28,9510.0,9700.0,108640.0,4.18,-19300,19260,0
2001-10-04,9800.0,9860.0,83650.0,4.25,730,270,0
2001-10-05,9800.0,10050.0,355610.0,4.33,30950,-80120,49170
2001-10-08,10200.0,9950.0,78190.0,4.29,-19850,19830,0
2001-10-09,10050.0,10050.0,333160.0,4.33,76550,-71100,15000
2001-10-10,10300.0,9990.0,224770.0,4.31,-11390,11140,0
2001-10-11,10300.0,10200.0,131460.0,4.4,-35530,31430,0
2001-10-12,10200.0,10200.0,129610.0,4.4,-20420,20420,0
2001-10-15,10350.0,10900.0,653140.0,4.7,-17290,-78090,104710
2001-10-16,10750.0,10600.0,196490.0,4.57,-16090,16090,0
2001-10-17,10700.0,10450.0,177890.0,4.5,-18610,18610,0
2001-10-18,10550.0,10300.0,201240.0,4.44,5960,-29860,22900
2001-10-19,10350.0,10250.0,84060.0,4.42,-2800,800,2000
2001-10-22,10300.0,10500.0,193870.0,4.53,-3000,2000,0
2001-10-23,10650.0,10350.0,97300.0,4.46,-920,920,0
2001-10-24,10350.0,10650.0,226380.0,4.59,11870,3130,-5000
2001-10-25,10650.0,10350.0,82050.0,4.46,-560,-440,0
2001-10-26,10450.0,10350.0,65160.0,4.46,3520,-2520,0
2001-10-29,10350.0,10450.0,108590.0,4.5,840,-840,0
2001-10-30,10500.0,10450.0,76850.0,4.5,-13650,13650,0
2001-10-31,10300.0,10600.0,87520.0,4.57,-6460,-12970,19430
2001-11-01,10650.0,10800.0,130150.0,4.66,-33980,6830,26150
2001-11-02,10900.0,10800.0,226060.0,4.66,-69750,17900,52850
2001-11-05,10850.0,11150.0,162710.0,4.8,-9340,7680,-1400
2001-11-06,11250.0,11350.0,177300.0,4.89,-33890,-14330,51130
2001-11-07,11300.0,11050.0,68010.0,4.76,-640,640,0
2001-11-08,11150.0,11900.0,239920.0,5.13,-14200,-21420,28970
2001-11-09,12000.0,11750.0,257110.0,5.06,8390,-4700,-4500
2001-11-12,11950.0,11650.0,111180.0,5.02,6070,-70,0
