Symbol,롯데정밀화학_시가(원),롯데정밀화학_종가(원),롯데정밀화학_거래량(주),롯데정밀화학_PER(IFRS-연결),롯데정밀화학_순매수수량(개인)(주),롯데정밀화학_순매수수량(기관계)(주),롯데정밀화학_순매수수량(외국인계)(주)
2000-01-04,18100,19650,577820,16.26,32960,-33050,-210
2000-01-05,20900,22550,3175700,18.66,52610,-42690,-730
2000-01-06,22550,20000,2043320,16.55,20260,-700,10
2000-01-07,20500,23000,2889260,19.04,-80780,120370,1370
2000-01-10,25400,23050,4805940,19.08,-20620,12480,-500
2000-01-11,22700,23950,2899010,19.82,-157140,160930,520
2000-01-12,23250,23000,1907640,19.04,-68420,64460,-40
2000-01-13,22950,22000,1511450,18.21,-53220,49200,-1180
2000-01-14,22000,20300,1194730,16.8,-14210,-1760,1280
2000-01-17,20500,21000,1141480,17.38,-24510,26860,2250
2000-01-18,21000,21100,877900,17.46,-13350,12330,240
2000-01-19,21000,21300,1707730,17.63,-37360,41670,-4690
2000-01-20,21100,21100,1177010,17.46,-23420,14020,920
2000-01-21,20900,21800,2153880,18.04,-3450,8030,-2760
2000-01-24,22500,23000,3367170,19.04,-125160,135940,-1130
2000-01-25,22500,22500,1946380,18.62,93660,-95460,0
2000-01-26,23400,24100,1944000,19.95,-69270,99660,-1640
2000-01-27,24700,25600,9064190,21.19,-252540,266280,4200
2000-01-28,25350,25600,3122780,21.19,-211570,118630,7680
2000-01-31,26100,26600,3441510,22.01,26140,-6260,-2240
2000-02-01,27000,26200,1579100,21.68,-76210,86690,-8350
2000-02-02,25800,26850,2925130,22.22,-172460,134230,2000
2000-02-03,26750,25700,2114320,21.27,-76290,59540,0
2000-02-07,25600,25800,1502500,21.35,27210,-10780,-10800
2000-02-08,27500,26600,1990990,22.01,-31580,26520,-2860
2000-02-09,27000,28600,3233720,23.67,-19350,19150,11000
2000-02-10,28800,27700,2457940,22.93,134320,-125400,-11720
2000-02-11,28450,30450,5329540,25.2,171670,-172730,1910
2000-02-14,29900,28300,2467070,23.42,-176920,191810,1800
2000-02-15,28500,24100,1810570,19.95,67050,-74480,6990
2000-02-16,24300,24550,1451910,20.32,-2540,-3410,2470
2000-02-17,25000,28200,3156100,23.34,-207610,221270,2860
2000-02-18,29900,30200,4619620,24.99,-974430,982870,-2790
2000-02-21,29200,29200,2755900,24.17,-331220,321580,-1930
2000-02-22,29800,29000,1769480,24,-174910,165200,1940
2000-02-23,29000,29000,1897160,24,39270,-35480,-3780
2000-02-24,29500,29300,1199550,24.25,-98930,101140,550
2000-02-25,28500,28100,1027530,23.26,-138580,143140,-60
2000-02-28,26700,25000,975400,20.69,-2890,9690,690
2000-02-29,26000,25400,1125070,21.02,95370,-86720,-510
2000-03-02,26400,26900,1790800,22.26,46640,-54750,-3770
2000-03-03,26500,25600,1060900,21.19,-188150,181390,-910
2000-03-06,26500,26000,773600,21.52,-30580,30990,1520
2000-03-07,25300,27500,2057670,22.76,-205920,205800,1130
2000-03-08,28000,26800,1159870,22.18,7300,-13880,120
2000-03-09,27100,26750,878250,22.14,111650,-55480,-53190
2000-03-10,27100,26700,1222650,22.1,-58210,57440,2170
2000-03-13,26700,25500,681400,21.1,4230,-8910,-7450
2000-03-14,25000,24000,634910,19.86,40550,-42150,1640
2000-03-15,22500,22050,796750,18.25,82950,-86390,3350
2000-03-16,24500,22500,1249380,18.62,108270,-101190,-6700
2000-03-17,23000,22100,626100,18.29,43340,-9460,2070
2000-03-20,21800,22150,481390,18.33,17280,-19460,1170
2000-03-21,21500,21600,489820,17.88,16350,27800,600
2000-03-22,22200,22350,816220,18.5,102700,-104940,220
2000-03-23,23050,21800,808830,18.04,160130,-118930,-490
2000-03-24,22500,21800,770450,18.04,185620,-114260,60
2000-03-27,21800,21600,561530,17.88,125350,-118450,1000
2000-03-28,21700,21400,711670,17.71,201800,-193160,2940
2000-03-29,21000,20800,768290,17.21,57780,-55600,0
2000-03-30,20800,21100,726680,17.46,129370,-126260,370
2000-03-31,20900,20000,612550,16.55,164640,-172090,10570
2000-04-03,19600,17300,951850,14.32,172970,-170680,1050
2000-04-04,17400,17700,1225790,14.65,278330,-242730,-10400
2000-04-06,18000,16550,705120,13.7,91500,-97230,3480
2000-04-07,17500,17400,1004540,14.4,77310,-75510,-290
2000-04-10,18000,20000,1454530,16.55,-20140,-37060,-890
2000-04-11,20900,20150,2135670,16.68,64430,-68470,-430
2000-04-12,19700,19800,783140,16.39,-59740,63460,-1590
2000-04-14,19000,18600,431320,15.39,-9490,10250,-110
2000-04-17,15850,15850,794260,13.12,-104120,101890,5510
2000-04-18,17500,16900,740330,13.99,153650,-129730,1060
2000-04-19,17800,18000,787870,14.9,-117150,133000,-3560
2000-04-20,17500,17650,355010,14.61,-13990,57890,0
2000-04-21,17750,18000,425910,14.9,-63310,65670,-530
2000-04-24,18000,17700,464740,14.65,-36470,37130,0
2000-04-25,17500,17100,384020,14.15,23050,-20240,750
2000-04-26,17500,16600,341770,13.74,-16340,20450,260
2000-04-27,16300,15950,406260,13.2,13660,46960,840
2000-04-28,15600,16300,907370,13.49,133170,-96400,-120
2000-05-02,16700,16650,628250,13.78,26690,-27460,-1230
2000-05-03,16700,17000,458490,14.07,-7390,6820,-2730
2000-05-04,16800,17500,980990,14.48,-157490,161430,-840
2000-05-08,18700,17450,568250,14.44,73370,-72120,-3770
2000-05-09,17450,17150,274150,14.19,-18890,18740,-350
2000-05-10,16800,16900,213910,13.99,1050,5520,-6570
2000-05-12,16600,16600,284890,13.74,-9360,11160,-1800
2000-05-15,16200,15200,368840,12.58,31660,-29540,-810
2000-05-16,15000,15700,578360,12.99,77510,-93130,-1360
2000-05-17,15700,14000,1026180,11.59,243560,-208270,-1390
2000-05-18,13300,12200,685590,10.1,237360,-237850,90
2000-05-19,12400,12400,507690,10.26,18380,-22180,-200
2000-05-22,12000,10900,455180,9.02,68620,-68270,-370
2000-05-23,10300,10650,399820,8.81,-19270,14070,4650
2000-05-24,10300,11400,1115070,9.43,83250,-63270,60
2000-05-25,11700,12300,1238590,10.18,85560,-94370,-810
2000-05-26,11750,10700,561280,8.86,-2860,-11230,6090
2000-05-29,10300,12300,1422580,10.18,9050,-9700,6800
2000-05-30,13700,13000,1381030,10.76,66150,-89160,10310
2000-05-31,13700,13600,1484970,11.26,-104550,82520,20690
2000-06-01,13200,14000,1637050,11.59,-45640,670,40370
2000-06-02,14700,14100,1342650,11.67,-42040,52760,9960
2000-06-05,14700,15400,1466240,12.75,-31800,22980,-100
2000-06-07,15500,16400,1393310,13.57,-13630,8250,-450
2000-06-08,16450,15550,1202910,12.87,-123090,105420,17850
2000-06-09,15200,15700,747170,12.99,31050,-24980,-1130
2000-06-12,16500,18050,3008550,14.94,412420,-375420,-480
2000-06-13,17700,16900,3788640,13.99,71510,-55020,2410
2000-06-14,17500,16200,1092150,13.41,-49820,69320,1270
2000-06-15,15900,14500,1043070,12,-3760,5500,520
2000-06-16,14000,14500,980600,12,-72370,74210,-220
2000-06-19,14050,15100,953280,12.5,720,-800,80
2000-06-20,16000,15150,2470420,12.54,134040,-137980,3940
2000-06-21,15100,15000,897210,12.41,-77300,76130,10
2000-06-22,15450,15500,685350,12.83,-59580,71380,0
2000-06-23,15000,15050,379240,12.46,1400,-2750,1360
2000-06-26,15450,15700,1002390,12.99,61230,-60450,-2240
2000-06-27,15500,15300,723400,12.66,42620,-41990,-810
2000-06-28,15100,15200,597790,12.58,-2950,6680,640
2000-06-29,15500,15200,666070,12.58,15240,1060,-380
2000-06-30,15000,14900,350470,12.33,-19270,16290,0
2000-07-03,14900,15100,473470,12.5,6790,-19190,2600
2000-07-04,15150,14950,526290,12.37,-10720,-2940,-1000
2000-07-05,15000,14750,436510,12.21,-70110,70310,-2000
2000-07-06,15050,14950,713160,12.37,56040,-60840,5460
2000-07-07,15050,16000,1910350,13.24,-81000,71090,3660
2000-07-10,16700,15850,1083260,13.12,12650,22720,-2260
2000-07-11,15950,15200,999040,12.58,12830,-15980,-70
2000-07-12,15300,15750,1130330,13.04,-51570,50340,830
2000-07-13,15500,16200,865340,13.41,61470,-53190,-120
2000-07-14,16200,16000,968150,13.24,-110720,108020,4000
2000-07-18,16100,14900,567970,12.33,73850,-75270,0
2000-07-19,14800,13800,605210,11.42,78980,-94570,2390
2000-07-20,13300,13600,354650,11.26,-29070,15730,710
2000-07-21,13700,13850,459480,11.46,16970,-21710,60
2000-07-24,13500,12550,340960,10.39,-8500,-5260,12620
2000-07-25,12550,12700,329160,10.51,-6300,50,4510
2000-07-26,12900,13000,399980,10.76,8610,-9150,0
2000-07-27,12800,13000,376700,10.76,-12380,12820,-360
2000-07-28,13000,12700,332130,10.51,-39840,36770,3930
2000-07-31,12700,12900,228140,10.68,-92890,89250,3790
2000-08-01,12800,13200,359100,10.92,2450,-1530,-20
2000-08-02,13600,13450,579500,11.13,-97750,97300,410
2000-08-03,13500,13200,340860,10.92,83810,-83510,660
2000-08-04,13200,12800,174580,10.59,11640,-11260,-30
2000-08-07,12500,12300,266830,10.18,-800,1200,0
2000-08-08,12050,12050,194840,9.97,-63560,62120,240
2000-08-09,12150,12700,306700,10.51,-55170,52480,1810
2000-08-10,12650,12750,468750,10.55,-10140,2910,6550
2000-08-11,12450,12500,227500,10.35,14810,-14790,60
2000-08-14,12800,12900,354530,10.68,-21070,21180,500
2000-08-16,13400,13050,289080,10.8,22920,-24850,1650
2000-08-17,12850,12850,177080,10.63,-25210,16210,10000
2000-08-18,12950,12600,154370,10.43,20810,-20810,240
2000-08-21,12450,12500,139330,10.35,7920,-9410,-110
2000-08-22,12500,12500,190970,10.35,36210,-37750,820
2000-08-23,12650,12100,222910,10.01,75460,-59090,190
2000-08-24,12300,12250,192080,10.14,-1840,450,970
2000-08-25,12200,12150,119110,10.06,-24150,23210,-30
2000-08-28,12200,12250,158720,10.14,-4370,970,2840
2000-08-29,12450,12250,161590,10.14,4060,-7280,1400
2000-08-30,12200,12250,111770,10.14,-800,2010,-120
2000-08-31,12300,11800,160900,9.77,18170,-16500,330
2000-09-01,11800,11800,163560,9.77,-5070,3480,450
2000-09-04,11800,11800,130040,9.77,-4390,4710,0
2000-09-05,12100,12200,230300,10.1,-8740,7950,70
2000-09-06,12000,12000,145500,9.93,890,-3160,2030
2000-09-07,11800,11850,308200,9.81,-20600,22640,-1620
2000-09-08,11800,11900,128170,9.85,-47380,42140,-960
2000-09-14,11700,11900,191950,9.85,22470,-280,-18630
2000-09-15,11800,11100,318480,9.19,134230,-127250,-6980
2000-09-18,10300,9750,348290,8.07,-74670,85040,1470
2000-09-19,9460,9540,479840,7.9,175790,-175470,-30
2000-09-20,9710,10300,512540,8.52,84590,-109590,-700
2000-09-21,10250,9800,314920,8.11,-26800,9240,-5120
2000-09-22,9750,9200,257840,7.61,35920,-34140,-1780
2000-09-25,9300,9600,186120,7.95,-2290,2350,-60
2000-09-26,9650,9700,261140,8.03,-6180,6020,0
2000-09-27,9700,10150,220130,8.4,-11900,3690,0
2000-09-28,10250,9860,193590,8.16,5660,-5330,-110
2000-09-29,10000,10050,183060,8.32,7870,-3910,0
2000-10-02,9900,11000,858820,9.1,-133570,-83070,224990
2000-10-04,11000,11000,620410,9.1,61150,-63690,1080
2000-10-05,11000,10700,235780,8.86,28620,-28300,30
2000-10-06,10850,11500,1143810,9.52,-108750,107650,0
2000-10-09,12000,11250,750310,9.31,65880,-50920,-60
2000-10-10,11500,11450,286310,9.48,15170,-13310,0
2000-10-11,11000,10600,333520,8.77,-12830,13880,450
2000-10-12,10300,10200,316740,8.44,21370,-18320,-3050
2000-10-13,9950,9910,324640,8.2,-37250,16680,20000
2000-10-16,10850,10500,275840,8.69,4010,-1760,320
2000-10-17,10250,9600,267560,7.95,18200,-20190,0
2000-10-18,9660,9980,233490,8.26,-16700,15740,960
2000-10-19,10100,10100,213920,8.36,-18280,17010,320
2000-10-20,10300,10700,621040,8.86,-33920,34380,1480
2000-10-23,10850,10300,277420,8.52,-43760,4050,-150
2000-10-24,10500,10600,280520,8.77,-53160,53990,120
2000-10-25,10800,10350,130010,8.57,16780,-16660,-120
2000-10-26,10100,10150,147370,8.4,-5240,3740,0
2000-10-27,10050,9920,153680,8.21,-19750,17590,1540
2000-10-30,10000,9610,126940,7.95,6230,-5710,0
2000-10-31,9420,9950,237310,8.23,-9500,5950,3010
2000-11-01,10150,10850,563260,8.98,-18140,19770,30
2000-11-02,10700,10850,649540,8.98,-95950,95200,450
2000-11-03,10950,10800,481700,8.94,14420,-15250,-1170
2000-11-06,10600,11200,729810,9.27,-12540,17410,90
2000-11-07,11200,10950,641310,9.06,15470,-14100,-130
2000-11-08,11050,11150,350070,9.23,-44620,26990,10200
2000-11-09,11150,11450,290320,9.48,9370,-6200,7310
2000-11-10,11450,11400,257900,9.43,-13810,9530,-950
2000-11-13,11000,10650,226490,8.81,42500,-41210,0
2000-11-14,10600,10800,165350,8.94,1560,-1560,0
2000-11-15,11000,10900,284000,9.02,-47050,41960,90
2000-11-16,10700,10650,221340,8.81,28660,-12880,0
2000-11-17,10500,10550,130850,8.73,13100,-12240,-60
2000-11-20,10400,10300,120920,8.52,13410,-14140,-270
2000-11-21,10200,10200,254440,8.44,11540,-19720,-1300
2000-11-22,10050,10050,133610,8.32,-8560,1650,0
2000-11-23,9980,9800,174030,8.11,-27340,3340,-120
2000-11-24,10000,10100,118710,8.36,8060,-5440,2460
2000-11-27,10300,10250,222450,8.48,50490,-6310,1830
2000-11-28,10200,9900,177940,8.19,18340,-28500,0
2000-11-29,9810,9560,195170,7.91,-26250,-22210,-1420
2000-11-30,9800,9500,168580,7.86,16130,-19980,3660
2000-12-01,9310,9490,156290,7.85,4320,250,2010
2000-12-04,9410,9090,228690,7.52,50100,-50130,30
2000-12-05,9150,9270,171580,7.67,-13330,13330,0
2000-12-06,9550,9270,279570,7.67,-25780,15000,11580
2000-12-07,9250,9200,113220,7.61,20520,-17690,-2520
2000-12-08,9200,9600,210960,7.95,-160,-3320,0
2000-12-11,9750,9750,296870,8.07,21980,-17210,-7740
2000-12-12,9810,9580,241410,7.93,17620,-15540,2630
2000-12-13,9620,9750,287970,8.07,30750,11000,6400
2000-12-14,9690,9900,279770,8.19,44760,-57290,14180
2000-12-15,9810,9700,124400,8.03,11770,-7380,-4390
2000-12-18,9700,9640,125330,7.98,10450,-12290,1590
2000-12-19,9650,9450,144430,7.82,-12100,-13920,250
2000-12-20,9310,9080,246010,7.51,-14180,-31450,-90
2000-12-21,9000,8850,154430,7.32,-1370,1540,-650
2000-12-22,9010,8700,137070,7.2,-2920,4230,0
2000-12-26,8910,9100,222390,7.53,13680,-23880,0
2001-01-02,8800,9000,170840,7.69,23110,-15390,0
2001-01-03,9000,9100,210900,7.78,12940,-27210,4150
2001-01-04,9490,9450,574910,8.07,115200,-31930,4900
2001-01-05,9400,9900,1163580,8.46,230360,-229540,380
2001-01-08,9830,10200,947990,8.71,-78740,69080,8640
2001-01-09,10300,10800,776120,9.23,-780,-1970,860
2001-01-10,11000,9850,971010,8.42,-48180,32110,870
2001-01-11,9910,9860,437660,8.42,39630,-33740,3710
2001-01-12,10100,10300,873320,8.8,-7250,380,7260
2001-01-15,10350,10700,1053390,9.14,-63110,69700,-7210
2001-01-16,10700,10250,530230,8.76,7390,-7680,-30
2001-01-17,10550,11750,4121680,10.04,570620,-547200,-18090
2001-01-18,12100,11250,3607770,9.61,-74420,13940,2580
2001-01-19,11500,11850,2031450,10.12,-114070,77320,9360
2001-01-22,12000,12100,1212030,10.34,18330,-1690,300
2001-01-26,12000,11000,808400,9.4,69930,-52090,220
2001-01-29,11000,11100,575180,9.48,-34260,39250,-20
2001-01-30,11200,10800,633200,9.23,9650,-11950,-180
2001-01-31,10900,11100,542520,9.48,-23580,23380,200
2001-02-01,11050,11150,828070,9.53,-54610,56030,-1420
2001-02-02,11200,11300,559820,9.65,-14970,5170,-200
2001-02-05,11200,10800,772900,9.23,10990,-2030,-4960
2001-02-06,10900,10850,350800,9.27,3570,-9480,0
2001-02-07,10750,10350,355910,8.84,20970,-13440,-6810
2001-02-08,10550,10800,381500,9.23,-16580,15290,970
2001-02-09,10800,11300,839880,9.65,-147260,147370,-100
2001-02-12,11600,11500,1284320,9.83,-247480,232860,1930
2001-02-13,11700,11300,525660,9.65,-17760,24680,80
2001-02-14,11300,11600,514110,9.91,-68940,52020,4680
2001-02-15,11750,11500,344850,9.83,-62180,67080,0
2001-02-16,11550,11600,634900,9.91,-2800,-16600,30000
2001-02-19,11600,11450,287440,9.78,28850,-26810,-1320
2001-02-20,11500,11900,1157550,10.17,-34260,32340,10840
2001-02-21,11850,11750,367050,10.04,-410,-9230,-840
2001-02-22,11400,11250,367350,9.61,4550,-5100,820
2001-02-23,11050,11300,250960,9.65,-37010,6250,15600
2001-02-26,11300,11400,210850,9.74,-6890,-6190,1840
2001-02-27,11500,11100,284290,9.48,-2830,-3090,840
2001-02-28,10900,11100,178810,9.48,-18940,14440,0
2001-03-02,11100,10800,222330,9.23,-52250,46680,-140
2001-03-05,10400,10900,184450,9.31,-41640,38400,40
2001-03-06,10850,10800,164980,9.23,-32050,32050,0
2001-03-07,10900,10600,327690,9.06,-52720,124180,-41780
2001-03-08,10850,10900,136690,9.31,20330,-14700,-14510
2001-03-09,10800,10900,395370,9.31,33290,-26900,4900
2001-03-12,10750,10700,172800,9.14,-46840,43280,-1060
2001-03-13,10400,10150,268640,8.67,-54030,57620,0
2001-03-14,10350,10350,147780,8.84,28720,-42490,0
2001-03-15,10000,10100,189160,8.63,-11770,11110,-60
2001-03-16,10200,9980,257790,8.53,116130,-120970,-60
2001-03-19,9910,9980,119850,8.53,-33760,31080,0
2001-03-20,10100,9960,122750,8.51,4000,-5360,140
2001-03-21,9770,9850,170410,8.42,6330,-13450,3960
2001-03-22,9800,9760,113020,8.34,-6680,6580,0
2001-03-23,10000,9900,369570,8.46,20520,-16280,0
2001-03-26,10050,10250,237430,8.76,-62710,62930,1900
2001-03-27,10300,10150,190810,8.67,-24740,42630,-1100
2001-03-28,10250,10100,134130,8.63,-52160,52050,0
2001-03-29,10000,10100,144980,8.63,-55320,60680,0
2001-03-30,10200,9990,126330,8.54,-29140,10540,3160
2001-04-02,9950,9970,96980,8.52,-32280,29360,3560
2001-04-03,9870,9980,271920,8.53,-22280,48260,-1670
2001-04-04,9940,9920,105730,8.48,-17620,13460,-1600
2001-04-06,10150,10100,175160,8.63,-3730,6240,-200
2001-04-09,10050,9930,86710,8.48,-7270,7270,0
2001-04-10,9970,9800,102890,8.37,-9600,9000,0
2001-04-11,9910,10150,193730,8.67,-32400,32510,-1730
2001-04-12,10250,10600,471540,9.06,-104380,66780,40370
2001-04-13,10700,10600,207210,9.06,-82090,92630,-980
2001-04-16,10550,10900,300780,9.31,18040,-26340,8000
2001-04-17,10900,10850,225510,9.27,-40800,34250,4050
2001-04-18,11000,11100,434710,9.48,12840,-55700,0
2001-04-19,11300,10900,561810,9.31,73500,-62510,0
2001-04-20,10950,10800,250560,9.23,-23620,4210,50000
2001-04-23,10950,10850,381950,9.27,70510,-53470,300
2001-04-24,10800,10950,358920,9.36,24260,-32150,-1500
2001-04-25,11000,11500,497900,9.83,-68560,46210,45900
2001-04-26,11500,11350,666720,9.7,-38940,46930,-2400
2001-04-27,11350,11150,166220,9.53,29220,-29220,0
2001-04-30,11400,11650,457230,9.95,-38100,34910,-5000
2001-05-02,11900,11800,642540,10.08,-53330,63110,1750
2001-05-03,11900,11650,266000,9.95,-2430,1320,-3820
2001-05-04,11700,11900,365480,10.17,-980,-620,300
2001-05-07,12000,12500,808360,10.68,-120260,172680,-54760
2001-05-08,12500,12500,501510,10.68,41740,-165990,134210
2001-05-09,12500,12250,411630,10.47,14000,-7940,-1800
2001-05-10,12250,12800,496210,10.94,-183670,89160,-600
2001-05-11,12900,12900,678620,11.02,-242990,189980,49800
2001-05-14,12700,13000,378260,11.11,-105170,104840,0
2001-05-15,12950,12850,183320,10.98,-63740,64010,0
2001-05-16,12800,12500,378440,10.68,-72480,67970,0
2001-05-17,12700,12950,612540,11.06,-114940,122740,-7000
2001-05-18,12900,13050,519300,11.15,-65070,65090,100
2001-05-21,13350,13400,644950,11.45,90990,-75980,900
2001-05-22,13800,13150,625730,11.24,217150,-171580,0
2001-05-23,13150,13150,294510,11.24,-26110,16150,6360
2001-05-24,13000,13400,429720,11.45,-37420,25770,500
2001-05-25,13400,13550,364630,11.58,-62640,55870,8500
2001-05-28,13400.0,13900.0,765240.0,11.88,-156040,-96790,249090
2001-05-29,14000.0,13900.0,418570.0,11.88,-14150,8770,0
2001-05-30,14000.0,14200.0,278950.0,12.13,-12450,-1110,7700
2001-05-31,13800.0,13800.0,354030.0,11.79,-3350,1360,10790
2001-06-01,13800.0,13450.0,261270.0,11.49,6750,-5470,1240
2001-06-04,13600.0,13400.0,146270.0,11.45,6910,2500,980
2001-06-05,13400.0,13000.0,254300.0,11.11,5130,550,2170
2001-06-07,12950.0,13000.0,270510.0,11.11,-23010,11370,11160
2001-06-08,13250.0,13400.0,322240.0,11.45,-51750,48690,0
2001-06-11,13200.0,13000.0,181450.0,11.11,-710,3280,5000
2001-06-12,12800.0,12900.0,187320.0,11.02,20230,-18480,0
2001-06-13,12900.0,13250.0,164710.0,11.32,-17220,18520,0
2001-06-14,13300.0,13450.0,215620.0,11.49,-62030,60000,3850
2001-06-15,13200.0,13300.0,237840.0,11.36,13480,-33290,-12100
2001-06-18,13300.0,13550.0,565770.0,11.58,-18470,-9910,0
2001-06-19,13550.0,13300.0,243140.0,11.36,38580,-32600,-11650
2001-06-20,13350.0,12700.0,447750.0,10.85,42400,-54050,6000
2001-06-21,12800.0,12650.0,248490.0,10.81,91600,-93550,-60
2001-06-22,12800.0,12900.0,224740.0,11.02,-50220,68590,-28930
2001-06-25,12750.0,12900.0,273790.0,11.02,-2480,38300,-50000
2001-06-26,13000.0,12850.0,252810.0,10.98,-50890,15440,10000
2001-06-27,12800.0,13000.0,210400.0,11.11,-10920,7840,2280
2001-06-28,13000.0,13500.0,425390.0,11.53,9020,-20560,1670
2001-06-29,13800.0,13450.0,335370.0,11.49,78170,-32450,-45310
2001-07-02,13600.0,13500.0,414970.0,11.53,37330,-34810,-2890
2001-07-03,13600.0,13500.0,204810.0,11.53,-2870,6580,0
2001-07-04,13500.0,13500.0,229020.0,11.53,-44910,39220,-180
2001-07-05,13450.0,13400.0,264690.0,11.45,57480,-64480,0
2001-07-06,13200.0,13150.0,312890.0,11.24,-40350,20990,13000
2001-07-09,12900.0,13000.0,357960.0,11.11,-180150,109870,2790
2001-07-10,12850.0,12950.0,141410.0,11.06,-36150,33870,240
2001-07-11,12800.0,12500.0,371480.0,10.68,118800,-20580,-9760
2001-07-12,12600.0,12500.0,324750.0,10.68,52360,1250,-670
2001-07-13,12750.0,12400.0,276210.0,10.59,-13870,17450,0
2001-07-16,12400.0,12050.0,170190.0,10.3,8030,-8920,1020
2001-07-18,12150.0,12000.0,226830.0,10.25,-70020,16930,59520
2001-07-19,11850.0,12150.0,197600.0,10.38,-29520,-17640,53190
2001-07-20,12100.0,11850.0,235830.0,10.12,34820,-87610,57540
2001-07-23,11800.0,11950.0,239740.0,10.21,-78210,24810,51830
2001-07-24,11750.0,12300.0,162290.0,10.51,-81850,81730,1080
2001-07-25,12100.0,12250.0,113880.0,10.47,-24910,28490,-1200
2001-07-26,12250.0,12200.0,78540.0,10.42,24690,-20130,0
2001-07-27,12400.0,12300.0,95730.0,10.51,1590,240,-1730
2001-07-30,12350.0,12100.0,90900.0,10.34,-33450,36140,-2100
2001-07-31,12000.0,12300.0,81380.0,10.51,-38360,39360,0
2001-08-01,12100.0,12700.0,195290.0,10.85,-53020,80740,750
2001-08-02,12700.0,12700.0,128030.0,10.85,5240,-7160,2100
2001-08-03,12700.0,12600.0,142310.0,10.77,57360,-55210,-1970
2001-08-06,12500.0,12600.0,107440.0,10.77,-4040,-16160,18000
2001-08-07,12450.0,12750.0,74760.0,10.89,-25660,25660,0
2001-08-08,12700.0,12550.0,69470.0,10.72,-21450,22980,0
2001-08-09,12400.0,12300.0,101000.0,10.51,-38100,16100,0
2001-08-10,12300.0,12500.0,210300.0,10.68,410,-10900,0
2001-08-13,12600.0,12500.0,302280.0,10.68,-48560,48270,0
2001-08-14,12500.0,12700.0,243020.0,10.85,-52470,47570,0
2001-08-16,12650.0,13000.0,277300.0,11.11,-8650,14870,0
2001-08-17,13050.0,12850.0,156680.0,10.98,-390,-3390,6200
2001-08-20,12650.0,12350.0,179140.0,10.55,1730,-9230,0
2001-08-21,12400.0,12550.0,101790.0,10.72,11530,-12100,0
2001-08-22,12400.0,12500.0,76040.0,10.68,-10060,9570,-80
2001-08-23,12500.0,12350.0,127070.0,10.55,-50780,52170,600
2001-08-24,12400.0,12350.0,68690.0,10.55,-3010,2200,0
2001-08-27,12450.0,12500.0,150230.0,10.68,330,-1550,0
2001-08-28,12600.0,12450.0,56330.0,10.64,-9940,10310,0
2001-08-29,12400.0,12150.0,131930.0,10.38,-9290,12070,0
2001-08-30,11900.0,12000.0,82070.0,10.25,4370,-7210,0
2001-08-31,11550.0,11450.0,243680.0,9.78,-58180,-43090,0
2001-09-03,11550.0,11000.0,108840.0,9.4,27770,-27740,12100
2001-09-04,11000.0,11150.0,152790.0,9.53,73840,-37190,10
2001-09-05,10950.0,11300.0,136860.0,9.65,-45670,47870,-1130
2001-09-06,11300.0,11400.0,154920.0,9.74,16890,-15180,0
2001-09-07,11150.0,11300.0,65020.0,9.65,13930,-7890,-1950
2001-09-10,11100.0,11100.0,118840.0,9.48,-560,2680,-90
2001-09-11,11300.0,11100.0,57860.0,9.48,7360,-7360,0
2001-09-12,9450.0,9450.0,345890.0,8.07,-68940,58520,1250
2001-09-13,9610.0,9900.0,265890.0,8.46,68910,-66580,-2830
2001-09-14,9900.0,9350.0,192530.0,7.99,-14240,17960,-3360
2001-09-17,9300.0,7950.0,455040.0,6.79,97400,-195600,99970
2001-09-18,8680.0,9000.0,312010.0,7.69,53380,-58080,0
2001-09-19,9030.0,9200.0,210760.0,7.86,11640,-11050,0
2001-09-20,9010.0,8960.0,172420.0,7.66,-11020,21840,-10250
2001-09-21,8710.0,9050.0,148360.0,7.73,4340,-42950,0
2001-09-24,9050.0,9270.0,83580.0,7.92,-19350,21000,-1710
2001-09-25,9570.0,9080.0,276480.0,7.76,53600,-18560,-60
2001-09-26,9210.0,9390.0,220640.0,8.02,-31880,220,31450
2001-09-27,9150.0,9410.0,81910.0,8.04,-10840,-5650,16660
2001-09-28,9510.0,10400.0,219400.0,8.89,-47670,39690,13330
2001-10-04,10600.0,10400.0,373460.0,8.89,103740,-64940,22780
2001-10-05,10500.0,10400.0,181420.0,8.89,-34330,7320,27250
2001-10-08,10200.0,10300.0,198490.0,8.8,-5360,230,-23430
2001-10-09,10200.0,10400.0,160550.0,8.89,-10550,-13690,24500
2001-10-10,10400.0,10300.0,129890.0,8.8,-17650,520,17130
2001-10-11,10600.0,10550.0,237700.0,9.01,12300,-12420,0
2001-10-12,10800.0,10700.0,188170.0,9.14,7760,-7960,0
2001-10-15,10700.0,10900.0,245380.0,9.31,-20660,20660,0
2001-10-16,11100.0,10900.0,145160.0,9.31,-44090,-21190,20280
2001-10-17,11050.0,11000.0,226810.0,9.4,22110,-21990,0
2001-10-18,10850.0,11300.0,327360.0,9.65,23120,-23120,0
2001-10-19,11300.0,11300.0,92530.0,9.65,-2480,-12740,0
2001-10-22,11400.0,11300.0,196840.0,9.65,53060,-110870,57810
2001-10-23,11450.0,11350.0,150160.0,9.7,-31330,32220,380
2001-10-24,11300.0,11400.0,118090.0,9.74,-1300,-30040,41340
2001-10-25,11500.0,11250.0,149200.0,9.61,-8250,-43070,52140
