Symbol,카카오_시가(원),카카오_종가(원),카카오_거래량(주),카카오_PER(IFRS-연결),카카오_순매수수량(개인)(주),카카오_순매수수량(기관계)(주),카카오_순매수수량(외국인계)(주)
2013-09-10,87500.0,88000.0,91651.0,15.62,-13883,-28444,12208
2013-09-11,89000.0,89800.0,129153.0,15.94,-29249,-14636,44135
2013-09-12,90100.0,90600.0,83757.0,16.08,-4809,-12103,17352
2013-09-13,90600.0,91200.0,46494.0,16.19,-24444,18999,5688
2013-09-16,91000.0,91300.0,19996.0,16.21,-5640,4421,1220
2013-09-17,91000.0,92300.0,51472.0,16.38,-16948,-6993,24568
2013-09-23,92300.0,92000.0,78873.0,16.33,-4113,-34081,38894
2013-09-24,91100.0,93300.0,82264.0,16.56,-14571,4756,9815
2013-09-25,92800.0,93600.0,51641.0,16.61,-12382,-11773,24255
2013-09-26,93200.0,93600.0,66875.0,16.61,-3126,-18607,22663
2013-09-27,93200.0,93800.0,40276.0,16.65,-8959,13317,-4051
2013-09-30,93700.0,92700.0,9883.0,16.45,-794,689,-42
2013-10-01,92000.0,94500.0,45417.0,16.77,-17615,15629,4306
2013-10-02,93500.0,95500.0,39660.0,16.95,-18354,3799,14638
2013-10-04,95500.0,94500.0,48902.0,16.77,5342,-30727,25295
2013-10-07,94000.0,94700.0,36533.0,16.81,-2551,-24545,27096
