Symbol,쌍용양회_시가(원),쌍용양회_종가(원),쌍용양회_거래량(주),쌍용양회_PER(IFRS-연결),쌍용양회_순매수수량(개인)(주),쌍용양회_순매수수량(기관계)(주),쌍용양회_순매수수량(외국인계)(주)
2000-01-04,2790,3055,932000,,1480,-15000,-3870
2000-01-05,3000,2900,785590,,1840,-19100,17260
2000-01-06,2990,2850,1002650,,35210,-34740,0
2000-01-07,2860,2870,742250,,-66510,64440,5140
2000-01-10,2970,2880,826510,,-84550,72760,9890
2000-01-11,2880,2795,761300,,14940,-23150,5230
2000-01-12,2750,2600,719550,,88770,-84970,-3800
2000-01-13,2570,2450,1305730,,160500,-121850,-41250
2000-01-14,2460,2440,910260,,62030,-60230,4200
2000-01-17,2450,2350,733090,,62740,-65430,2690
2000-01-18,2310,2280,1233710,,106990,-103930,-3060
2000-01-19,2245,2105,1283980,,198370,-134020,-14130
2000-01-20,2100,2130,1183920,,-32010,28460,3550
2000-01-21,2110,2160,1117000,,154590,-139880,-9680
2000-01-24,2095,2220,1485960,,6760,-12580,5820
2000-01-25,2200,2160,677100,,7930,-9050,0
2000-01-26,2150,2380,2143020,,-11850,1850,0
2000-01-27,2590,2735,3867680,,-23890,8840,-1020
2000-01-28,2890,2670,3466020,,41480,-12400,-5860
2000-01-31,2600,2710,2488760,,153220,-32790,-112530
2000-02-01,2720,2590,1852200,,101500,-11750,-89750
2000-02-02,2510,2605,1417300,,-31560,31560,0
2000-02-03,2750,2810,2822830,,14560,-4560,-5000
2000-02-07,2810,2750,1605490,,16660,-29370,12530
2000-02-08,2710,2635,1127240,,-13280,12920,360
2000-02-09,2580,2520,1048420,,34040,-40310,20
2000-02-10,2435,2300,1167250,,148910,-147110,-22430
2000-02-11,2200,2360,1624800,,21520,-26000,640
2000-02-14,2310,2260,992790,,-34430,26530,7900
2000-02-15,2200,2200,1015000,,1420,-36970,35550
2000-02-16,2300,2285,988620,,-33360,23660,10620
2000-02-17,2300,2265,766690,,-26880,13040,10160
2000-02-18,2280,2200,1030860,,62560,-56760,-3960
2000-02-21,2175,2085,2181480,,11500,-1620,-10880
2000-02-22,2170,2175,2879280,,-5980,9440,-3180
2000-02-23,2250,2490,2420150,,89360,-74400,-14140
2000-02-24,2350,2260,1305280,,4970,-920,-4050
2000-02-25,2260,2275,1549830,,-15650,15790,-320
2000-02-28,2250,2270,1578120,,-29820,32550,12270
2000-02-29,2310,2260,1241130,,8730,-16600,17870
2000-03-02,2320,2590,3201160,,-160310,-69680,19780
2000-03-03,2550,2500,5054060,,291080,-74190,-5760
2000-03-06,2590,2590,3015430,,-96320,81860,160
2000-03-07,2610,2700,2560330,,-14270,18970,-1180
2000-03-08,2570,2580,1603640,,-8520,9260,-820
2000-03-09,2650,2690,4023780,,290480,-61950,-215850
2000-03-10,2900,2720,2225630,,16320,-22860,1440
2000-03-13,2740,3040,3963620,,185370,-156310,-20250
2000-03-14,3040,2880,2205610,,9570,-15230,6550
2000-03-15,2830,2635,1751510,,7040,-770,-5690
2000-03-16,2650,2470,1988520,,50,43360,-1040
2000-03-17,2500,2480,1802280,,-11300,52120,8880
2000-03-20,2500,2530,2051690,,-25110,18380,5850
2000-03-21,2560,2475,1551850,,-25320,20320,3200
2000-03-22,2520,2500,1480670,,-49820,1460,45360
2000-03-23,2500,2875,3913670,,5260,-43140,6380
2000-03-24,2840,2650,6344070,,220480,16770,8700
2000-03-27,2735,2655,2275270,,254790,-111460,10
2000-03-28,2700,2850,4940620,,166710,-52120,3710
2000-03-29,2860,2750,7270040,,135000,-31990,-1760
2000-03-30,2930,2810,4930650,,174520,-154880,-150
2000-03-31,2810,2600,4425430,,168260,-89900,-9320
2000-04-03,2610,2515,2971440,,-25620,52360,-23380
2000-04-04,2575,2480,2448850,,-101790,86890,12650
2000-04-06,2470,2465,3265870,,-61680,-6490,18520
2000-04-07,2470,2410,2017680,,-50630,810,-300
2000-04-10,2460,2770,5657350,,236890,-139880,16320
2000-04-11,2770,2560,3359810,,25490,-38330,840
2000-04-12,2580,2590,2134620,,58070,-55090,-3320
2000-04-14,2600,2545,2064210,,45330,-43240,-2000
2000-04-17,2165,2165,1954610,,-162180,96690,11750
2000-04-18,2340,2270,1407790,,152150,-85350,760
2000-04-19,2310,2295,2090370,,-152080,-42700,-3040
2000-04-20,2230,2240,1320140,,6200,-5060,-1140
2000-04-21,2250,2260,980630,,9540,-7610,-1900
2000-04-24,2250,2210,913930,,7100,-6320,0
2000-04-25,2315,2360,3269370,,190220,13770,0
2000-04-26,2370,2390,7319210,,-8900,9340,910
2000-04-27,2500,2210,3032570,,-83150,79770,3380
2000-04-28,2220,2215,1805810,,8970,-20190,12220
2000-05-02,2160,2170,1695440,,81880,-74970,-6910
2000-05-03,2150,2165,1530440,,82790,-13150,-27010
2000-05-04,2145,2175,1101370,,2740,-1870,-500
2000-05-08,2180,2160,1392080,,7450,-27720,-3000
2000-05-09,2210,2230,2741730,,-11260,-5000,-12640
2000-05-10,2230,2140,1927770,,467010,-331800,-188530
2000-05-12,2110,2055,1620520,,1380,6340,-7830
2000-05-15,2010,1865,1371310,,-82240,-1980,-4440
2000-05-16,1850,1870,879040,,11650,1790,-2040
2000-05-17,1810,1595,1824410,,-145670,-2590,-1740
2000-05-18,1500,1385,1516550,,30070,12330,-270
2000-05-19,1385,1470,2198950,,334870,-259240,5710
2000-05-22,1570,1370,1250480,,13090,-10530,-7120
2000-05-23,1300,1340,1748610,,9410,7170,14610
2000-05-24,1265,1470,2415950,,53860,-52830,-420
2000-05-25,1470,1610,3447640,,51210,-45850,-3200
2000-05-26,1530,1375,1928380,,-156950,-2120,20070
2000-05-29,1250,1375,2296980,,59550,15740,-7490
2000-05-30,1410,1440,1726760,,126360,-36690,-93100
2000-05-31,1520,1495,3772380,,209720,-159570,-35400
2000-06-01,1470,1400,1864090,,48370,580,-50060
2000-06-02,1450,1420,2812980,,110530,-187860,107130
2000-06-05,1595,1630,1738950,,68900,-7590,0
2000-06-07,1870,1870,1704730,,151200,-1990,-2210
2000-06-08,2150,2150,7093140,,208450,-3910,-99860
2000-06-09,1900,2155,12041220,,4620,5860,140
2000-06-12,2100,2150,4356020,,40480,-7000,160
2000-06-13,2120,1850,2910510,,-95140,11690,10000
2000-06-14,1900,1950,7679570,,337840,-8040,0
2000-06-15,2000,1660,3435830,,191010,-10870,-10000
2000-06-16,1460,1460,5475620,,-7950,7000,420
2000-06-19,1410,1395,3441560,,31180,19550,0
2000-06-20,1400,1450,2755070,,85410,-8490,-78020
2000-06-21,1430,1490,4370600,,18110,-16590,-420
2000-06-22,1500,1460,4479080,,-6540,4640,700
2000-06-23,1445,1460,3223630,,-100880,2030,690
2000-06-26,1450,1475,4426380,,47980,50820,560
2000-06-27,1485,1570,5139470,,-172490,17230,-4470
2000-06-28,1630,1650,7802340,,-261860,14570,12230
2000-06-29,1740,1585,3427870,,24200,-26020,-22070
2000-06-30,1600,1585,2348240,,-13100,-3060,500
2000-07-03,1590,1575,1831900,,-29930,16280,-4800
2000-07-04,1565,1565,3261590,,-7850,-4550,1500
2000-07-05,1555,1515,2154680,,-5230,14580,0
2000-07-06,1620,1590,4311640,,30250,6100,0
2000-07-07,1630,1680,6051600,,-28730,49630,-1860
2000-07-10,1720,1665,3140890,,-41490,4030,-11230
2000-07-11,1680,1670,6164980,,-85060,20060,10720
2000-07-12,1680,1645,2478020,,26150,25850,50430
2000-07-13,1655,1615,2312020,,-58940,-39520,-1960
2000-07-14,1600,1600,1741030,,8410,-11470,0
2000-07-18,1515,1505,1922110,,-23150,12150,0
2000-07-19,1470,1470,1321520,,-53850,47390,6460
2000-07-20,1410,1430,1601130,,-40300,38050,5250
2000-07-21,1470,1445,1214560,,-106850,4330,49290
2000-07-24,1430,1375,1205970,,-65290,46150,2370
2000-07-25,1385,1380,1532740,,-66990,48490,13930
2000-07-26,1350,1385,1220310,,13970,-28460,5800
2000-07-27,1380,1370,1046920,,-59110,17530,-690
2000-07-28,1385,1390,3225060,,-3060,46000,21310
2000-07-31,1410,1395,1328220,,-90790,49660,7930
2000-08-01,1380,1395,2405020,,98300,-65320,-690
2000-08-02,1385,1385,1658840,,-38390,36750,1340
2000-08-03,1405,1420,3698010,,-85550,-52470,-2300
2000-08-04,1405,1385,1331780,,18660,-13660,-100
2000-08-07,1375,1330,1076980,,9950,-9340,0
2000-08-08,1340,1320,857340,,3300,-3880,580
2000-08-09,1305,1345,832170,,-105450,34010,1440
2000-08-10,1325,1345,662990,,31910,-54700,22790
2000-08-11,1345,1365,913500,,43480,-34080,-400
2000-08-14,1405,1415,1915080,,62350,11170,1700
2000-08-16,1410,1400,1004380,,-66260,39500,6560
2000-08-17,1400,1370,1415060,,124880,-21820,-100000
2000-08-18,1370,1365,1254150,,-6580,-25390,100
2000-08-21,1355,1350,1228990,,-31110,-8750,-200
2000-08-22,1350,1360,1037830,,60460,46720,3310
2000-08-23,1355,1340,911560,,-49250,-44560,810
2000-08-24,1340,1290,1081760,,-11400,7660,3940
2000-08-25,1300,1480,7438700,,125130,12340,2150
2000-08-28,1630,1465,7945200,,-33170,68810,35680
2000-08-29,1470,1410,2026650,,-20000,14680,4680
2000-08-30,1420,1425,2246320,,36080,-25380,-10060
2000-08-31,1390,1385,1238920,,64150,-64200,50
2000-09-01,1370,1390,1537650,,-180620,18720,0
2000-09-04,1360,1360,919190,,60620,-34070,50
2000-09-05,1350,1390,1019530,,870,52940,-1040
2000-09-06,1380,1365,799040,,-34490,8710,-4320
2000-09-07,1360,1320,1449310,,-30390,-34290,-13410
2000-09-08,1320,1355,1153860,,-42790,57800,-10960
2000-09-14,1325,1365,1323040,,241100,-88480,-40080
2000-09-15,1395,1500,4548640,,184220,-79160,-29230
2000-09-18,1470,1380,2009780,,-59040,42810,15850
2000-09-19,1365,1585,4586400,,5260,-6030,1610
2000-09-20,1585,1590,6131630,,-192560,141910,77990
2000-09-21,1750,1550,14249850,,377110,-206820,23850
2000-09-22,1680,1460,7597690,,4520,-45710,-18370
2000-09-25,1460,1475,6872030,,42020,-27560,-6610
2000-09-26,1425,1370,4436690,,-35480,-55510,0
2000-09-27,1355,1380,3062440,,-21230,21450,0
2000-09-28,1390,1350,2386030,,22960,-14510,-2450
2000-09-29,1355,1355,1654050,,1090,-16910,20440
2000-10-02,1350,1325,1509690,,7350,-6240,-1580
2000-10-04,1300,1350,3803620,,-26780,24640,2140
2000-10-05,1335,1330,2492230,,5550,-5730,180
2000-10-06,1300,1375,9041280,,-869700,377410,-8000
2000-10-09,1430,1340,7909970,,703480,-209480,-360
2000-10-10,1325,1325,1895490,,79960,-83780,0
2000-10-11,1360,1305,2685410,,-16620,7890,-5170
2000-10-12,1255,1275,1857710,,15580,-17640,-10200
2000-10-13,1310,1280,5182830,,-24430,37100,0
2000-10-16,1350,1355,7964460,,49990,-27210,1220
2000-10-17,1335,1280,5476960,,-70770,47070,0
2000-10-18,1275,1305,8376980,,-780,20820,3660
2000-10-19,1350,1285,5452760,,11400,-12620,1220
2000-10-20,1330,1300,3200840,,-23360,15390,8040
2000-10-23,1320,1285,2286790,,-19870,-29890,-900
2000-10-24,1260,1380,12019850,,-767170,816540,920
2000-10-25,1380,1350,3831390,,-142660,-43530,-920
2000-10-26,1340,1335,2980640,,59350,14370,0
2000-10-27,1325,1295,1545290,,-84110,76930,5740
2000-10-30,1285,1205,2293020,,23320,-21220,0
2000-10-31,1190,1300,9051640,,-25790,14600,-8020
2000-11-01,1300,1175,5657670,,318710,-515540,-21420
2000-11-02,1220,1350,11471420,,315450,-1960,14520
2000-11-03,1370,1295,15990760,,21190,-9180,-13010
2000-11-06,1115,1160,16635800,,418380,-477670,-660
2000-11-07,1195,1100,6041320,,49570,-47170,0
2000-11-08,1050,985,9957760,,15240,-10890,0
2000-11-09,980,960,6599220,,49160,-34110,-9370
2000-11-10,945,905,7215030,,-24100,18760,0
2000-11-13,890,870,5665160,,-610,-32860,2780
2000-11-14,920,1000,11247370,,-53230,-2280,55560
2000-11-15,1100,1150,7970610,,43880,35580,540
2000-11-16,1100,1130,13969080,,-35560,62060,-1500
2000-11-17,1120,1060,7298140,,26590,-39230,-360
2000-11-20,1060,1025,3951890,,-272570,-3040,-180
2000-11-21,980,975,3698900,,55850,1640,-1890
2000-11-22,955,985,4080790,,176440,-2550,0
2000-11-23,1020,920,2961810,,-26660,28540,-1880
2000-11-24,930,945,1929420,,40520,8520,360
2000-11-27,955,990,4079270,,-68150,34560,20000
2000-11-28,1010,965,1491140,,24120,-2920,-20000
2000-11-29,950,920,1409960,,5120,-59130,-360
2000-11-30,905,920,1831950,,34950,-13690,46100
2000-12-01,925,955,2249970,,-74860,68110,6750
2000-12-04,985,950,2105070,,30630,-30810,180
2000-12-05,950,970,925500,,-48210,48210,0
2000-12-06,980,945,1958260,,-96060,84480,10660
2000-12-07,960,950,1376390,,20130,-19210,0
2000-12-08,960,965,1025740,,-28260,26880,0
2000-12-11,950,955,1249170,,-91310,88900,1030
2000-12-12,955,965,1652370,,52890,-67980,11150
2000-12-13,975,955,1181630,,-97710,60080,14330
2000-12-14,965,955,1228300,,205370,-230520,70150
2000-12-15,980,1005,4140570,,161180,-18130,-143050
2000-12-18,1025,985,2267410,,-289660,25030,7320
2000-12-19,1000,950,1746660,,13920,-21040,7120
2000-12-20,930,900,1337190,,276830,-11980,-540
2000-12-21,850,835,1418550,,9580,-2850,-2990
2000-12-22,850,715,2015960,,-35440,33080,500
2000-12-26,725,820,2095090,,-19660,20660,0
2001-01-02,940,940,320360,,18700,-14830,0
2001-01-03,1080,1080,312420,,26540,-14560,-11980
2001-01-04,1240,1240,97400,,4080,-1710,-2470
2001-01-05,1425,1425,506580,,3110,-770,-2240
2001-01-08,1635,1425,16741640,,-101070,51520,1520
2001-01-09,1435,1485,13817890,,-99920,59480,100020
2001-01-10,1480,1270,9632610,,-183390,12550,0
2001-01-11,1270,1295,5596410,,221700,-126990,2240
2001-01-12,1315,1270,10563130,,820100,-537030,19600
2001-01-15,1460,1460,807620,,31840,-30500,-180
2001-01-16,1675,1540,12805750,,-192480,-10930,226500
2001-01-17,1540,1365,5430920,,-131440,14360,4690
2001-01-18,1390,1335,3431890,,-115280,59690,0
2001-01-19,1310,1285,3318670,,-33370,55550,11550
2001-01-22,1305,1410,8103110,,146560,-16910,0
2001-01-26,1450,1350,4217170,,-79030,-35510,0
2001-01-29,1340,1375,4225180,,-112620,23580,0
2001-01-30,1400,1370,4540460,,64350,6590,-180
2001-01-31,1380,1380,2325800,,-970,29700,74550
2001-02-01,1350,1335,1814120,,-21960,-7060,12020
2001-02-02,1335,1300,1941450,,37580,8540,0
2001-02-05,1260,1200,1972790,,9150,-59850,-4000
2001-02-06,1200,1210,1713000,,104730,20850,0
2001-02-07,1210,1250,3931390,,72110,-68430,0
2001-02-08,1250,1255,1406910,,-133830,45150,5450
2001-02-09,1260,1255,1333800,,92470,-10880,0
2001-02-12,1240,1255,1849590,,-272380,22590,-1620
2001-02-13,1260,1260,1632280,,191530,1040,420
2001-02-14,1265,1295,2667610,,26900,24760,5080
2001-02-15,1295,1270,2249870,,-64320,-34370,0
2001-02-16,1280,1260,1543720,,49360,-27820,0
2001-02-19,1255,1265,2465370,,146840,-58730,-7180
2001-02-20,1250,1270,1915400,,-31960,14720,6820
2001-02-21,1265,1265,1448080,,-120400,20230,-6820
2001-02-22,1260,1250,2336540,,-105520,25860,5950
2001-02-23,1230,1260,1496590,,65070,46290,5020
2001-02-26,1250,1310,5425310,,31120,10080,9340
2001-02-27,1300,1275,2627550,,-407670,165370,8800
2001-02-28,1290,1295,2992630,,214350,28730,0
2001-03-02,1315,1330,3522780,,91680,-83450,-60
2001-03-05,1290,1290,2500500,,-116920,36810,210
2001-03-06,1300,1325,6858110,,96380,-16730,0
2001-03-07,1315,1320,5736410,,-171970,-59240,38470
2001-03-08,1330,1325,2477860,,298610,-22990,-83040
2001-03-09,1325,1300,10217160,,64320,-41380,-16080
2001-03-12,1260,1255,3895880,,-201280,-24330,4400
2001-03-13,1250,1110,2563270,,-143680,8500,127500
2001-03-14,1140,1165,2146100,,90250,18750,20000
2001-03-15,1065,1185,2207990,,64830,23260,8960
2001-03-16,1190,1250,2632460,,-22920,23610,-690
2001-03-19,1230,1240,2269770,,-436330,181180,254690
2001-03-20,1265,1295,3253520,,-237300,230850,7450
2001-03-21,1290,1270,1869380,,-155310,152090,1680
2001-03-22,1230,1190,2695170,,160770,-130770,-30000
2001-03-23,1175,1190,1623840,,-69250,67410,0
2001-03-26,1260,1230,1961030,,-8260,8820,-560
2001-03-27,1255,1170,6324680,,322080,-471120,119040
2001-03-28,1140,1005,8602260,,-1180,20400,-53040
2001-03-29,880,855,6864200,,-245700,6030,10000
2001-03-30,800,750,11326300,,1142160,-119460,19570
2001-04-02,750,750,0,,0,0,0
2001-04-03,670,820,3193360,,21780,-137230,119590
2001-04-04,765,800,747510,,3760,-80,-3680
2001-04-06,825,790,850930,,5510,-12290,6780
2001-04-09,790,900,2407390,,1750,-1750,0
2001-04-10,895,870,1948720,,4620,-4620,0
2001-04-11,870,820,1119970,,19230,-19230,0
2001-04-12,795,785,812520,,24380,-24380,0
2001-04-13,800,800,594940,,8760,-8760,0
2001-04-16,785,775,773410,,0,0,0
2001-04-17,775,755,652230,,600,-600,0
2001-04-18,755,775,632090,,-3960,-50,-6370
2001-04-19,785,755,866380,,1720,-1720,0
2001-04-20,750,775,688090,,0,0,0
2001-04-23,780,760,445720,,-6110,-3880,10000
2001-04-24,760,740,452300,,0,0,0
2001-04-25,735,750,613020,,0,0,0
2001-04-26,750,730,409550,,10,-10,0
2001-04-27,735,730,348270,,20,-20,0
2001-04-30,740,730,491870,,10,-10,0
2001-05-02,735,735,480220,,3850,-3850,0
2001-05-03,735,725,474200,,26830,-30,-13800
2001-05-04,730,725,325110,,20,-20,0
2001-05-07,720,720,454960,,-1260,-30,1290
2001-05-08,730,760,1233420,,11500,-10,-11490
2001-05-09,760,730,501200,,10,-10,0
2001-05-10,730,755,554580,,21610,-50,-21560
2001-05-11,735,800,809900,,22740,-19740,-3000
2001-05-14,805,850,1345770,,1120,-20,-1000
2001-05-15,840,790,947040,,0,0,0
2001-05-16,800,800,499850,,-20,-10,30
2001-05-17,770,835,1545100,,10,-10,0
2001-05-18,805,820,573000,,98250,-21610,-76640
2001-05-21,850,870,884040,,29560,-28230,-30
2001-05-22,870,865,1083030,,2930,-100,-2830
2001-05-23,885,990,2534110,,410430,-20,-410980
2001-05-24,985,980,2571410,,-48330,-2670,50000
2001-05-25,960,925,1429130,,10010,-10,0
2001-05-28,965.0,935.0,799210.0,,50,-50,0
2001-05-29,920.0,920.0,704880.0,,600,-30,0
2001-05-30,925.0,910.0,537480.0,,10000,0,0
2001-05-31,930.0,900.0,1047190.0,,152570,0,-151570
2001-06-01,910.0,920.0,1049150.0,,282880,0,-285020
2001-06-04,940.0,930.0,571750.0,,120,-120,0
2001-06-05,925.0,915.0,1286360.0,,-3180,-10,0
2001-06-07,910.0,920.0,561000.0,,0,0,0
2001-06-08,915.0,950.0,1189370.0,,25300,-30,-7000
2001-06-11,950.0,1000.0,1506440.0,,15340,-10,0
2001-06-12,1020.0,990.0,1208650.0,,2000,0,-2000
2001-06-13,995.0,1135.0,2718090.0,,167260,-10,-166250
2001-06-14,1150.0,1080.0,3087820.0,,-3350,-20,0
2001-06-15,1080.0,1140.0,1580910.0,,6990,-10,-6980
2001-06-18,1140.0,1120.0,1192140.0,,-2710,-10,0
2001-06-19,1140.0,1170.0,1735170.0,,91060,0,-93060
2001-06-20,1165.0,1100.0,1072340.0,,80020,-20,-80000
2001-06-21,1090.0,1080.0,1069220.0,,26110,-20,-26090
2001-06-22,1100.0,1030.0,939770.0,,10,-10,0
2001-06-25,1055.0,1050.0,1117510.0,,-1490,-10,0
2001-06-26,1015.0,1000.0,941080.0,,-126800,0,0
2001-06-27,1000.0,990.0,727070.0,,0,0,0
2001-06-28,1025.0,990.0,755400.0,,10,-10,0
2001-06-29,1080.0,1015.0,573220.0,,62400,-48000,0
2001-07-02,1015.0,995.0,520160.0,,19780,-20,-21760
2001-07-03,995.0,1080.0,2002270.0,,-25770,270,24000
2001-07-04,1040.0,1060.0,728490.0,,0,0,0
2001-07-05,1060.0,1020.0,479740.0,,0,0,0
2001-07-06,1005.0,1000.0,333430.0,,0,0,0
2001-07-09,995.0,965.0,568730.0,,-156200,5000,0
2001-07-10,980.0,975.0,338250.0,,-80770,-10,0
2001-07-11,950.0,960.0,505230.0,,-3680,0,-5220
2001-07-12,970.0,970.0,392230.0,,0,0,0
2001-07-13,990.0,940.0,322320.0,,-49280,-120,0
2001-07-16,950.0,950.0,725070.0,,-33830,0,0
2001-07-18,930.0,935.0,379170.0,,-130000,0,0
2001-07-19,940.0,890.0,323780.0,,-44430,2960,0
2001-07-20,870.0,840.0,299410.0,,-1000,0,0
2001-07-23,820.0,760.0,371000.0,,0,0,0
2001-07-24,740.0,800.0,373640.0,,-1900,0,0
2001-07-25,780.0,795.0,165530.0,,-290,0,0
2001-07-26,820.0,800.0,196310.0,,0,0,0
2001-07-27,805.0,830.0,302210.0,,0,0,0
2001-07-30,830.0,810.0,179660.0,,-480,-40,0
2001-07-31,820.0,810.0,210360.0,,-1500,0,0
2001-08-01,810.0,835.0,424620.0,,-17860,-10,17870
2001-08-02,840.0,835.0,307560.0,,-380,-10,0
2001-08-03,835.0,840.0,243060.0,,60,-60,0
2001-08-06,830.0,855.0,285670.0,,-5000,5000,0
2001-08-07,850.0,900.0,583240.0,,0,0,0
2001-08-08,880.0,890.0,224280.0,,10,-10,0
2001-08-09,870.0,865.0,308410.0,,4000,0,-4000
2001-08-10,865.0,880.0,230660.0,,-9420,-20,9440
2001-08-13,900.0,920.0,527640.0,,20,-20,0
2001-08-14,910.0,885.0,492180.0,,-480,-10,0
2001-08-16,905.0,935.0,994800.0,,0,0,0
2001-08-17,915.0,910.0,555830.0,,-2000,0,0
2001-08-20,910.0,890.0,362910.0,,10,-10,0
2001-08-21,890.0,865.0,464530.0,,0,0,0
2001-08-22,900.0,895.0,834860.0,,190,-190,0
2001-08-23,900.0,880.0,405530.0,,-4990,-10,0
2001-08-24,910.0,880.0,680980.0,,-90,-10,0
2001-08-27,900.0,900.0,683260.0,,-490,-10,500
2001-08-28,930.0,910.0,404460.0,,0,0,0
2001-08-29,900.0,875.0,313140.0,,2000,0,0
2001-08-30,850.0,860.0,485930.0,,20000,0,-20000
2001-08-31,830.0,815.0,505120.0,,-7000,0,0
2001-09-03,820.0,810.0,248380.0,,-4100,0,0
2001-09-04,810.0,850.0,370940.0,,5030,-30,0
2001-09-05,820.0,860.0,230590.0,,3730,-10,-3720
2001-09-06,840.0,840.0,255890.0,,0,0,0
2001-09-07,830.0,850.0,275910.0,,960,0,0
2001-09-10,855.0,880.0,351020.0,,2500,0,0
2001-09-11,885.0,860.0,307110.0,,0,0,0
2001-09-12,735.0,735.0,406240.0,,-4000,0,0
2001-09-13,705.0,800.0,747590.0,,0,0,0
2001-09-14,780.0,730.0,622620.0,,0,0,0
2001-09-17,710.0,680.0,801040.0,,0,0,0
2001-09-18,740.0,735.0,388970.0,,20,-20,0
2001-09-19,745.0,760.0,261720.0,,-6030,-20,50
2001-09-20,750.0,725.0,168120.0,,0,0,0
2001-09-21,700.0,715.0,124370.0,,10,-10,0
2001-09-24,750.0,740.0,249800.0,,560,-60,-500
2001-09-25,750.0,720.0,179090.0,,10,-10,0
2001-09-26,825.0,780.0,597180.0,,78690,0,-74690
2001-09-27,770.0,755.0,473180.0,,87580,0,-87580
2001-09-28,780.0,780.0,439250.0,,115020,-50,-114970
2001-10-04,850.0,840.0,585150.0,,-2350,-10,2360
2001-10-05,840.0,965.0,1607180.0,,12920,-3000,-20
2001-10-08,1105.0,1105.0,2592000.0,,72770,0,0
2001-10-09,1060.0,1030.0,1919100.0,,-54980,-20,44000
2001-10-10,1045.0,910.0,1125640.0,,-2000,0,0
2001-10-11,930.0,910.0,754100.0,,20,-20,0
2001-10-12,935.0,880.0,586370.0,,-7990,-10,0
2001-10-15,895.0,905.0,576440.0,,0,0,0
2001-10-16,910.0,890.0,479250.0,,20,-20,0
2001-10-17,890.0,885.0,643230.0,,20,-20,0
2001-10-18,885.0,855.0,388710.0,,0,0,0
2001-10-19,860.0,890.0,329420.0,,10,-10,0
2001-10-22,880.0,880.0,284350.0,,0,0,0
2001-10-23,880.0,885.0,466850.0,,-37220,-18780,0
2001-10-24,885.0,875.0,326520.0,,0,0,0
2001-10-25,890.0,865.0,425380.0,,0,0,0
2001-10-26,860.0,865.0,396600.0,,10,-10,0
2001-10-29,865.0,855.0,444350.0,,21010,-10,-21000
2001-10-30,840.0,820.0,389000.0,,-15650,0,0
2001-10-31,820.0,835.0,191020.0,,20,-20,0
2001-11-01,820.0,840.0,236370.0,,70,-70,0
2001-11-02,840.0,835.0,389680.0,,37010,-20,-36990
2001-11-05,835.0,835.0,245770.0,,0,0,0
2001-11-06,840.0,860.0,392030.0,,-1980,-20,0
2001-11-07,855.0,840.0,183030.0,,10,-10,0
2001-11-08,840.0,865.0,510470.0,,6520,-10,-6510
2001-11-09,875.0,870.0,473040.0,,0,0,0
2001-11-12,880.0,895.0,596970.0,,4010,-10,0
2001-11-13,880.0,880.0,379350.0,,30,-30,0
2001-11-14,890.0,900.0,722530.0,,30,-30,0
2001-11-15,910.0,1035.0,1358100.0,,-11960,-40,20000
2001-11-16,1030.0,1000.0,1401730.0,,-19990,-10,20000
2001-11-19,970.0,1000.0,998310.0,,18720,-50,0
2001-11-20,1005.0,1010.0,734580.0,,6100,-60,0
2001-11-21,1030.0,1015.0,2091090.0,,10,-10,0
2001-11-22,1025.0,990.0,962110.0,,40,-40,0
2001-11-23,985.0,955.0,1094360.0,,-11000,0,0
2001-11-26,940.0,985.0,1219290.0,,7280,-50,-3230
2001-11-27,990.0,960.0,676640.0,,-210,-10,1000
2001-11-28,950.0,915.0,776910.0,,-11200,0,0
2001-11-29,900.0,920.0,374020.0,,10,-10,0
2001-11-30,940.0,925.0,339140.0,,40,-40,0
2001-12-03,925.0,900.0,860360.0,,-3180,-20,2000
2001-12-04,900.0,920.0,745280.0,,-19990,-10,0
2001-12-05,920.0,920.0,579130.0,,-9100,0,-3500
2001-12-06,920.0,915.0,669450.0,,24020,-20,-14000
2001-12-07,915.0,960.0,797550.0,,-50000,0,0
2001-12-10,970.0,980.0,1027250.0,,7090,-90,-2000
2001-12-11,970.0,960.0,347770.0,,20,-20,0
2001-12-12,1000.0,1005.0,1473470.0,,-700,0,0
2001-12-13,1000.0,1015.0,822080.0,,0,0,0
2001-12-14,1015.0,1025.0,565780.0,,-9960,-40,0
2001-12-17,1025.0,995.0,738180.0,,80000,0,0
2001-12-18,975.0,985.0,646260.0,,2010,-10,0
2001-12-19,1000.0,980.0,441090.0,,25900,-40,0
2001-12-20,980.0,995.0,416830.0,,10,-10,0
2001-12-21,990.0,985.0,399510.0,,130,-130,0
2001-12-24,1000.0,1060.0,1203000.0,,34040,-10,-21000
2001-12-26,1085.0,1215.0,1240720.0,,4690,-50,-22640
2001-12-27,1330.0,1200.0,2299650.0,,830,-30,0
2001-12-28,1200.0,1300.0,1748850.0,,-49980,-20,0
2002-01-02,1300.0,1495.0,2365095.0,,-29956,-44,0
2002-01-03,1490.0,1510.0,2637680.0,,59,-59,0
2002-01-04,1490.0,1470.0,2272090.0,,3045,-45,0
2002-01-07,1490.0,1560.0,1472892.0,,-53174,-26,30000
2002-01-08,1570.0,1790.0,3552804.0,,46561,-321,-46240
2002-01-09,1810.0,1910.0,3312110.0,,138740,-7040,-129700
2002-01-10,1860.0,1770.0,1780133.0,,-34970,-30,0
