Symbol,·Ôµ¥ÄÉ¹ÌÄ®_½Ã°¡(¿ø),·Ôµ¥ÄÉ¹ÌÄ®_Á¾°¡(¿ø),·Ôµ¥ÄÉ¹ÌÄ®_°Å·¡·®(ÁÖ),·Ôµ¥ÄÉ¹ÌÄ®_PER(IFRS-¿¬°á),·Ôµ¥ÄÉ¹ÌÄ®_¼ø¸Å¼ö¼ö·®(°³ÀÎ)(ÁÖ),·Ôµ¥ÄÉ¹ÌÄ®_¼ø¸Å¼ö¼ö·®(±â°ü°è)(ÁÖ),·Ôµ¥ÄÉ¹ÌÄ®_¼ø¸Å¼ö¼ö·®(¿Ü±¹ÀÎ°è)(ÁÖ)
2000-01-04,15500,15900,93140,13.81,14030,-9060,-6140
2000-01-05,15900,15200,239560,13.2,56860,57340,-114200
2000-01-06,16000,14700,210390,12.77,85660,-47820,-32800
2000-01-07,14500,16900,382700,14.68,-46140,-68480,119620
2000-01-10,17600,18700,624300,16.24,-156060,-113110,271390
2000-01-11,20000,20650,919130,17.93,-171760,-380410,557760
2000-01-12,20650,19000,209940,16.5,-17690,-51300,68990
2000-01-13,19000,19050,211770,16.54,-30820,-63930,91870
2000-01-14,19700,18200,99940,15.81,-5260,-11660,16920
2000-01-17,17700,17700,119840,15.37,-1070,18270,-17200
2000-01-18,18150,18500,236530,16.07,2100,-41180,39080
2000-01-19,18150,17800,127790,15.46,13810,-10720,-3200
2000-01-20,17700,17600,95180,15.28,-21230,18460,2770
2000-01-21,16800,16500,89620,14.33,18280,-15470,-2200
2000-01-24,15900,16150,550970,14.03,225840,-32220,7330
2000-01-25,15600,14900,185480,12.94,28520,11410,-45930
2000-01-26,15500,15600,685400,13.55,221070,86720,-308200
2000-01-27,15700,17400,503510,15.11,-209010,127020,78540
2000-01-28,17300,17400,298990,15.11,-130360,71850,-1340
2000-01-31,17300,17200,95110,14.94,-51640,55320,-4570
2000-02-01,17500,17900,98740,15.55,-42260,28520,13740
2000-02-02,18000,18600,107490,16.15,-61050,60730,0
2000-02-03,18400,18700,119120,16.24,-39890,-10330,29060
2000-02-07,18600,18700,177290,16.24,-10640,-30740,-27600
2000-02-08,18350,18300,112400,15.89,-35040,27290,-2250
2000-02-09,18000,18300,132680,15.89,-24150,-10690,-19000
2000-02-10,18300,17000,94040,14.76,4820,11480,-16300
2000-02-11,17900,17800,123850,15.46,-8650,39290,-30900
2000-02-14,18200,16700,270500,14.5,14550,28420,-42970
2000-02-15,16800,17000,129150,14.76,-42420,67050,-23690
2000-02-16,17500,17500,73620,15.2,-20190,27110,-6660
2000-02-17,16550,17800,79910,15.46,-11920,9350,-24520
2000-02-18,17300,16700,166580,14.5,91060,-37960,-56620
2000-02-21,15100,15800,85470,13.72,-18480,6100,1380
2000-02-22,15500,15000,78650,13.03,6860,6350,-20430
2000-02-23,15000,15200,190040,13.2,103490,-9420,-83860
2000-02-24,15500,15750,109880,13.68,-3440,20100,-16660
2000-02-25,15200,15200,95120,13.2,7400,10430,-17880
2000-02-28,15000,15150,121290,13.16,-990,-1470,2460
2000-02-29,15400,15500,157510,13.46,58400,-54620,-3780
2000-03-02,15600,16000,192100,13.9,33500,-11050,-22450
2000-03-03,16500,15600,133850,13.55,18570,-2090,-16180
2000-03-06,15950,16000,273370,13.9,64790,-24430,-40560
2000-03-07,16000,15550,171770,13.5,77820,-60200,-17750
2000-03-08,15500,15500,127280,13.46,20730,7320,-28470
2000-03-09,15650,14500,330880,12.59,169740,-51060,-119170
2000-03-10,15450,15200,284370,13.2,120330,-74280,360
2000-03-13,14800,14750,170640,12.81,47560,-19620,-24790
2000-03-14,14500,14300,139390,12.42,30690,-15560,-15130
2000-03-15,14200,13600,192690,11.81,47670,19420,-66970
2000-03-16,13900,13800,156860,11.98,-16950,11870,4400
2000-03-17,14400,15500,777190,13.46,-59010,-127860,188680
2000-03-20,15300,14500,159100,12.59,-6190,4030,2080
2000-03-21,15000,14900,224170,12.94,-27390,84000,-57250
2000-03-22,14900,14650,280290,12.72,-20730,62570,-42340
2000-03-23,14750,14550,112010,12.64,27200,-20300,-6260
2000-03-24,14600,15000,194400,13.03,-19430,27760,-14020
2000-03-27,15000,14500,122390,12.59,19060,-20170,1110
2000-03-28,14750,14700,110170,12.77,17830,-7390,-10440
2000-03-29,14500,14100,503160,12.25,228150,27380,-173530
2000-03-30,14600,14700,593740,12.77,39070,94370,-53320
2000-03-31,15000,15150,678380,13.16,-11660,96210,-114590
2000-04-03,15700,15650,595810,13.59,-77700,1170,66670
2000-04-04,15700,15650,401220,13.59,-65040,138140,-73860
2000-04-06,15300,14450,206960,12.55,18260,21890,-60120
2000-04-07,14050,14100,451810,12.25,119630,72630,-192260
2000-04-10,14000,14250,697330,12.38,233520,73290,-332650
2000-04-11,14400,14300,334630,12.42,-134080,41310,67770
2000-04-12,14100,14100,191230,12.25,-16750,10580,970
2000-04-14,13700,13600,120060,11.81,16090,-13440,-5260
2000-04-17,12900,12400,267500,10.77,-113120,114030,-2710
2000-04-18,13400,12550,359460,10.9,62940,48510,-110290
2000-04-19,12900,12100,367770,10.51,66380,-47950,-2790
2000-04-20,12400,12450,143490,10.81,-20860,-13680,34540
2000-04-21,12600,12600,118150,10.94,-17050,15360,-720
2000-04-24,12600,12200,84470,10.6,-20990,21580,-350
2000-04-25,12000,12000,92730,10.42,570,31070,-23640
2000-04-26,12200,12000,202190,10.42,-57280,61800,280
2000-04-27,11500,11400,323850,9.9,20210,163590,-183800
2000-04-28,11600,11600,509690,10.07,159200,-105020,-3290
2000-05-02,11500,11150,264500,9.68,74860,-58230,-9630
2000-05-03,11300,11000,369320,9.55,134060,12870,-155930
2000-05-04,10850,10650,427170,9.25,96900,-87680,-9190
2000-05-08,10650,10450,295750,9.08,70180,-84170,10990
2000-05-09,10050,10400,748510,9.03,321650,-332940,-6820
2000-05-10,10750,10650,419160,9.25,-2950,-25570,9040
2000-05-12,10500,9700,532090,8.42,125700,-123000,-7700
2000-05-15,9220,8320,400920,7.23,7030,-14570,7540
2000-05-16,8430,8480,216340,7.36,-19430,-11600,34000
2000-05-17,8550,7210,759140,6.26,199160,100480,-44380
2000-05-18,7200,7150,414920,6.21,-104400,21010,89840
2000-05-19,7100,6800,369220,5.91,163650,-103040,-57640
2000-05-22,6510,6010,340770,5.22,25580,7660,-1050
2000-05-23,5820,6080,332670,5.28,46510,-19210,-27980
2000-05-24,6340,6610,574880,5.74,69250,56780,-96500
2000-05-25,6890,7600,615470,6.6,41820,79970,-122250
2000-05-26,8190,7310,1473520,6.35,-227020,-268940,496120
2000-05-29,7230,7650,680390,6.64,206320,-45420,68280
2000-05-30,7790,8050,469280,6.99,-31520,-11130,52650
2000-05-31,8300,8400,627300,7.29,-9740,51890,-61660
2000-06-01,8110,8000,243950,6.95,40320,-33520,-6800
2000-06-02,8250,8020,378910,6.96,20340,-68170,47830
2000-06-05,8050,8650,613610,7.51,100670,-90670,0
2000-06-07,8700,8720,624180,7.57,65890,-41650,15760
2000-06-08,8680,7810,671520,6.78,158660,-69620,-79040
2000-06-09,7550,7500,518030,6.51,146920,-60670,-86330
2000-06-12,7500,8000,1284030,6.95,389390,-382950,-16430
2000-06-13,7890,7350,511200,6.38,47300,-21630,-62700
2000-06-14,7450,7150,283880,6.21,78770,510,-79280
2000-06-15,7000,6830,258430,5.93,-68410,46990,21520
2000-06-16,6650,7400,416810,6.43,-221230,6600,219630
2000-06-19,7200,7210,211280,6.26,-113810,107510,6300
2000-06-20,7210,7230,149200,6.28,32790,-7990,-24800
2000-06-21,7400,7450,381210,6.47,-13600,33420,-19920
2000-06-22,7700,7600,399470,6.6,-153740,169390,-15800
2000-06-23,7350,7700,176300,6.69,-81530,81270,510
2000-06-26,7520,7500,183640,6.51,24870,4700,-29840
2000-06-27,7600,7550,237750,6.56,8730,20110,-29540
2000-06-28,7600,7910,468100,6.87,-73410,121440,-47670
2000-06-29,8100,7500,396840,6.51,101220,-19010,-55460
2000-06-30,7690,7470,271030,6.49,83580,-48010,-19350
2000-07-03,7610,8150,683720,7.08,-67270,26510,40000
2000-07-04,8400,8190,385160,7.11,-41480,-8690,44210
2000-07-05,8200,8600,519920,7.47,-52020,24790,27230
2000-07-06,8700,9150,1424010,7.95,-320,6280,0
2000-07-07,9200,8900,1032600,7.73,300770,-63030,-208260
2000-07-10,9000,8800,628070,7.64,173430,-45130,-128830
2000-07-11,8800,8650,833060,7.51,7680,-7440,-80
2000-07-12,8510,8620,353810,7.49,31930,-33370,40
2000-07-13,8620,8100,1012610,7.03,663330,-289470,-377550
2000-07-14,8170,8140,740350,7.07,124060,41290,-165270
2000-07-18,8270,7760,432740,6.74,56220,2800,-66740
2000-07-19,7570,7350,386370,6.38,-440,-3010,3160
2000-07-20,7300,7350,285210,6.38,11230,-12960,1660
2000-07-21,7400,7490,339950,6.5,67730,-67470,60
2000-07-24,7300,7080,259920,6.15,-13580,11120,2220
2000-07-25,6900,7450,267910,6.47,-103220,18530,84450
2000-07-26,7500,7730,318110,6.71,-112080,4390,106150
2000-07-27,8180,7850,409440,6.82,-95200,108050,-10270
2000-07-28,7800,7450,208690,6.47,-34050,15440,17470
2000-07-31,7100,7490,114050,6.5,-730,12430,-12750
2000-08-01,7600,7650,143900,6.64,4340,-8380,-460
2000-08-02,7790,8000,294460,6.95,-94280,10870,90170
2000-08-03,8190,7900,168030,6.86,-600,12200,-270
2000-08-04,7710,7650,108170,6.64,-510,-3180,-1530
2000-08-07,7510,7140,118880,6.2,38810,-8810,-30000
2000-08-08,7210,7140,130340,6.2,-1260,-520,320
2000-08-09,7270,7400,105630,6.43,-12740,9440,2420
2000-08-10,7390,7500,306280,6.51,124230,32310,-156120
2000-08-11,7800,7900,1018710,6.86,167670,-39900,-127480
2000-08-14,8150,7980,433470,6.93,84610,5330,-87420
2000-08-16,8200,8120,401540,7.05,-138440,86710,1450
2000-08-17,8000,7820,246270,6.79,-16670,-22630,19300
2000-08-18,8020,8140,447180,7.07,-94680,90930,-7970
2000-08-21,8140,8020,262810,6.96,1340,-2730,-110
2000-08-22,7970,7900,207770,6.86,2760,-4370,890
2000-08-23,8000,7800,212500,6.77,28790,-32240,250
2000-08-24,7810,7640,125340,6.63,1410,-3640,1210
2000-08-25,7640,7650,188040,6.64,3860,-4150,-30
2000-08-28,7700,7720,251610,6.7,-49850,41040,-2750
2000-08-29,7780,7990,519440,6.94,8890,940,-5150
2000-08-30,8000,7800,205210,6.77,-21730,12090,3880
2000-08-31,7780,7650,199740,6.64,-1160,540,1410
2000-09-01,7520,7660,108800,6.65,-25990,25230,120
2000-09-04,7650,7650,117090,6.64,-5480,4970,0
2000-09-05,7650,7650,100300,6.64,-17430,25170,1540
2000-09-06,7660,7600,185720,6.6,33810,-37360,5390
2000-09-07,7500,7230,136400,6.28,13270,-13140,-1050
2000-09-08,7110,7150,130820,6.21,24100,-13150,-12210
2000-09-14,6730,6900,157600,5.99,69240,-39390,-29680
2000-09-15,6800,6730,171300,5.84,-2620,11500,-9880
2000-09-18,6500,6050,164680,5.25,-29820,20180,8860
2000-09-19,5800,6120,143570,5.31,6060,-7670,1960
2000-09-20,6490,6400,146630,5.56,-21550,8090,16890
2000-09-21,6490,6250,107690,5.43,-33120,-2690,26070
2000-09-22,6150,6260,300110,5.44,-28480,-57510,83990
2000-09-25,6500,6880,222060,5.97,-37830,-9540,49370
2000-09-26,6840,6800,250670,5.91,37630,52460,-102000
2000-09-27,6600,6800,115150,5.91,-5350,5370,0
2000-09-28,6700,6720,113360,5.84,5530,-14250,-1300
2000-09-29,6800,6650,181270,5.78,102880,-20700,-82000
2000-10-02,6600,6420,126570,5.58,4240,-4740,0
2000-10-04,6320,6650,126360,5.78,-34410,33520,1590
2000-10-05,6550,6500,282820,5.64,143580,-20260,-149190
2000-10-06,6450,6440,180120,5.59,46490,17660,-63130
2000-10-09,6510,6310,151780,5.48,64540,-13050,-51540
2000-10-10,6320,6160,158880,5.35,71550,730,-72300
2000-10-11,6170,6010,184420,5.22,32430,2450,-28180
2000-10-12,6090,5930,141310,5.15,10320,-5230,-5020
2000-10-13,5510,5800,180720,5.04,-13760,35390,-21700
2000-10-16,6200,5950,152100,5.17,18730,-19030,390
2000-10-17,5930,5500,221440,4.78,88250,-62690,-560
2000-10-18,5350,5450,260780,4.73,93630,-98710,2080
2000-10-19,5540,5400,247840,4.69,32680,-12160,-520
2000-10-20,5520,5650,273750,4.91,-5040,10610,-5640
2000-10-23,5710,5300,244740,4.6,125420,-38860,-86490
2000-10-24,5200,5400,170370,4.69,49170,-49330,160
2000-10-25,5400,5400,129660,4.69,12000,-11840,-160
2000-10-26,5300,5380,105030,4.67,-34760,34910,-150
2000-10-27,5410,5690,214520,4.94,-23090,20420,1900
2000-10-30,5510,5340,106630,4.64,10360,-9960,0
2000-10-31,5340,5480,213760,4.76,-13060,8780,3920
2000-11-01,5510,6090,754310,5.29,-49980,67580,2910
2000-11-02,6100,6300,519670,5.47,-77140,76770,370
2000-11-03,6300,5980,427730,5.19,28930,-20910,-8020
2000-11-06,5820,6260,507150,5.44,-154780,148990,-80
2000-11-07,6300,6500,586230,5.64,-290520,274850,31950
2000-11-08,6400,6350,256210,5.51,-31950,35170,-910
2000-11-09,6350,6350,130650,5.51,-13690,7060,-3280
2000-11-10,6250,6350,109160,5.51,-10910,10710,0
2000-11-13,6220,6150,102430,5.34,990,-720,0
2000-11-14,6050,6250,159520,5.43,15800,12060,0
2000-11-15,6300,6200,180640,5.38,-59910,61930,120
2000-11-16,6210,6150,89720,5.34,-14310,14310,0
2000-11-17,6100,6110,73660,5.31,11810,-10820,-990
2000-11-20,6000,5920,107830,5.14,22870,-1970,-40
2000-11-21,5950,5740,181190,4.98,115950,-76930,-39020
2000-11-22,5670,5530,108750,4.8,5580,-13750,8170
2000-11-23,5400,5550,127070,4.82,-21290,22210,-920
2000-11-24,5650,5560,63090,4.83,-8660,7460,1020
2000-11-27,5640,5660,135710,4.92,16820,-19050,2030
2000-11-28,5690,5490,110690,4.77,58220,-13020,-50000
2000-11-29,5540,5460,65940,4.74,15150,-21250,6280
2000-11-30,5340,5450,77530,4.73,-4250,-4930,9180
2000-12-01,5290,5540,64300,4.81,-28170,26850,1320
2000-12-04,5590,5260,187230,4.57,52030,-26870,-160
2000-12-05,5360,5400,129520,4.69,-27420,60420,-32500
2000-12-06,5520,5500,258820,4.78,-15720,59090,6430
2000-12-07,5500,5510,90250,4.79,33260,-33580,520
2000-12-08,5520,5700,188490,4.95,26720,-6840,-180
2000-12-11,5800,5800,217960,5.04,33610,-34230,320
2000-12-12,5900,5810,314550,5.05,-101130,-58590,160320
2000-12-13,5800,5830,178760,5.06,42150,-53710,11560
2000-12-14,5800,5720,184680,4.97,76740,-106590,31650
2000-12-15,5720,5610,159160,4.87,93940,-18400,-75540
2000-12-18,5600,5590,155520,4.85,10250,-35210,24960
2000-12-19,5610,5750,327530,4.99,19700,-35400,5700
2000-12-20,5790,5760,345290,5,-9220,9500,480
2000-12-21,5710,5850,194770,5.08,-42580,13210,29810
2000-12-22,5910,6000,396750,5.21,11620,-9830,0
2000-12-26,6600,6350,450970,5.51,23200,-15500,-600
2001-01-02,6200,6310,243910,5.77,-85890,42550,44240
2001-01-03,6310,6800,706640,6.21,-24190,16760,36460
2001-01-04,7000,6810,681190,6.22,-49820,46080,19340
2001-01-05,6610,7300,671380,6.67,-265130,264230,-150
2001-01-08,7200,7300,493740,6.67,-147850,23750,123700
2001-01-09,7250,7400,449160,6.76,-125830,-15590,121320
2001-01-10,7460,6800,464600,6.21,-75710,76590,68130
2001-01-11,6930,6600,247550,6.03,47450,-36860,-8390
2001-01-12,6710,6990,345860,6.39,-154730,132560,23870
2001-01-15,7150,7930,1139000,7.25,-110620,-209590,320510
2001-01-16,8000,7960,390070,7.27,-132380,-6720,89500
2001-01-17,7960,7360,361550,6.73,87740,-58420,-29540
2001-01-18,7450,8000,1214980,7.31,-314500,-58570,322240
2001-01-19,8490,8690,683370,7.94,-238230,146960,63940
2001-01-22,8810,8900,481230,8.13,-60720,90900,0
2001-01-26,8800,8050,395510,7.36,71080,-48670,-22300
2001-01-29,7990,7810,288140,7.14,59860,36640,-96500
2001-01-30,8000,7950,415390,7.26,20920,-108660,87740
2001-01-31,7950,8250,329470,7.54,-50420,-8540,57370
2001-02-01,8100,7870,471500,7.19,157520,-16910,-40360
2001-02-02,7800,7580,389490,6.93,105600,-20700,-84310
2001-02-05,7350,7000,354320,6.4,89180,-58930,0
2001-02-06,7020,7170,229020,6.55,11120,57140,-68510
2001-02-07,7250,6970,275310,6.37,27500,68930,-99300
2001-02-08,6950,7130,314400,6.52,3090,110800,-116250
2001-02-09,7130,7480,278350,6.83,-45090,-6250,9310
2001-02-12,7360,7550,270350,6.9,-39140,-8190,52230
2001-02-13,7640,8150,731110,7.45,-275680,79610,182830
2001-02-14,8100,8500,560630,7.77,-244490,76430,167340
2001-02-15,8500,8100,393000,7.4,-4100,82790,-90020
2001-02-16,8090,8060,266360,7.36,-17480,138010,-120280
2001-02-19,7820,7690,353330,7.03,165640,72390,-235720
2001-02-20,7790,7740,263360,7.07,36260,97260,-134110
2001-02-21,7750,7910,313560,7.23,-78850,102850,-24560
2001-02-22,7650,7700,150470,7.04,-27770,26020,1250
2001-02-23,7700,7730,83380,7.06,-13970,35850,-24860
2001-02-26,7750,8320,459730,7.6,-191400,65440,151290
2001-02-27,8550,8890,1160200,8.12,-359650,-89700,450250
2001-02-28,8800,9220,626820,8.42,-291350,-10950,302050
2001-03-02,9320,8800,808130,8.04,-72100,-75330,149670
2001-03-05,8800,9080,467830,8.3,-39280,-29480,66900
2001-03-06,9100,8800,268070,8.04,31250,-6680,-4610
2001-03-07,8530,8850,148430,8.09,-37170,9720,-1740
2001-03-08,8860,8820,122520,8.06,7490,9140,-17930
2001-03-09,8800,8700,110320,7.95,25970,-19970,-6320
2001-03-12,8500,8450,94860,7.72,-25380,5740,17200
2001-03-13,8200,8200,148120,7.49,-46560,15810,28500
2001-03-14,8350,8300,154440,7.58,13090,-18120,0
2001-03-15,8100,8010,169230,7.32,-8050,53390,-45460
2001-03-16,8050,8050,35690,7.36,7940,-8090,340
2001-03-19,7900,8060,98020,7.36,-43120,7730,33910
2001-03-20,8260,8350,95060,7.63,-52830,18260,35840
2001-03-21,8270,8370,81720,7.65,-12350,10790,360
2001-03-22,8360,8240,46690,7.53,15500,-15500,0
2001-03-23,8240,8200,154440,7.49,-310,-101090,0
2001-03-26,8020,8060,49370,7.36,8320,-9750,-120
2001-03-27,8110,7930,109730,7.25,-18520,22650,-5400
2001-03-28,7930,7970,67870,7.28,-20200,20310,0
2001-03-29,7900,7990,66980,7.3,-22520,3780,20680
2001-03-30,8020,8000,187620,7.31,-31810,139680,-108150
2001-04-02,8140,7910,42730,7.23,-24370,17080,7290
2001-04-03,7410,7400,152630,6.76,32380,59180,-91840
2001-04-04,7200,7190,314510,6.57,15050,211050,-226300
2001-04-06,7250,6800,1309820,6.21,397210,442460,-867160
2001-04-09,6750,6750,173540,6.17,-5000,-34000,39000
2001-04-10,6850,6400,113270,5.85,20010,11880,-32000
2001-04-11,6500,6600,248590,6.03,40540,-19720,0
2001-04-12,6650,7010,367420,6.41,-146490,11360,138170
2001-04-13,7190,7150,176340,6.53,15590,2840,-2050
2001-04-16,7150,6850,92640,6.26,45890,-23640,-22250
2001-04-17,6890,6830,83090,6.24,29810,10190,-40000
2001-04-18,6850,6980,224040,6.38,49240,-19640,0
2001-04-19,7390,7000,571010,6.4,139620,-67980,-54340
2001-04-20,7200,7110,238200,6.5,-21400,-2540,-62630
2001-04-23,7050,7150,198040,6.53,-73710,80580,-8170
2001-04-24,6900,7220,96360,6.6,-50790,27850,22800
2001-04-25,7300,7910,637940,7.23,-194490,-70290,44700
2001-04-26,8000,8010,268740,7.32,-165360,-24640,140000
2001-04-27,7810,7900,165210,7.22,-91650,-11520,57170
2001-04-30,7800,8200,174210,7.49,-75380,-35710,0
2001-05-02,8600,8800,504900,8.04,-180660,96140,83450
2001-05-03,8900,9050,698450,8.27,-66850,133270,-45230
2001-05-04,8750,9050,598210,8.27,-41970,138790,-4400
2001-05-07,8910,9040,333280,8.26,-47880,143180,-84400
2001-05-08,9010,8850,247140,8.09,-45570,-57730,106770
2001-05-09,8670,8500,329190,7.77,-25310,-36290,83590
2001-05-10,8300,8500,214270,7.77,31020,5720,-34490
2001-05-11,8500,8500,250800,7.77,-7630,36840,16500
2001-05-14,8570,8850,160760,8.09,-5480,18980,16500
2001-05-15,8900,8900,114440,8.13,-32590,9910,22500
2001-05-16,8900,8700,111850,7.95,-20880,-30400,0
2001-05-17,8750,9400,478600,8.59,-62600,12930,98000
2001-05-18,9100,9890,483680,9.04,-23180,-119850,143300
2001-05-21,10300,10200,619720,9.32,19230,-66790,83200
2001-05-22,10250,9990,954580,9.13,174370,-537300,422690
2001-05-23,9950,9800,939730,8.95,161940,-23640,-261060
2001-05-24,9700,10000,196270,9.14,-30320,23680,5570
2001-05-25,10100,10100,713920,9.23,74930,-146530,68990
2001-05-28,10100.0,10000.0,153200.0,9.14,-3190,21260,-20000
2001-05-29,10000.0,10150.0,446220.0,9.27,36800,42440,-80720
2001-05-30,10000.0,10100.0,334880.0,9.23,18840,121660,-140370
2001-05-31,9800.0,10200.0,693370.0,9.32,-112410,-58300,159800
2001-06-01,10350.0,10600.0,712440.0,9.69,-40740,-268880,324250
2001-06-04,10600.0,10350.0,361940.0,9.46,-18750,-16880,35380
2001-06-05,10500.0,10000.0,172220.0,9.14,-16780,15470,1740
2001-06-07,10000.0,10000.0,239990.0,9.14,-12790,17490,-4360
2001-06-08,10100.0,10300.0,538210.0,9.41,-5170,218670,-213640
2001-06-11,10000.0,10000.0,156450.0,9.14,-7720,66660,-58210
2001-06-12,9800.0,9800.0,95960.0,8.95,24150,12010,-37160
2001-06-13,9800.0,9770.0,170840.0,8.93,23410,5440,-28490
2001-06-14,9800.0,9930.0,245800.0,9.07,25850,-114020,91620
2001-06-15,9800.0,9840.0,87890.0,8.99,2240,-19680,17910
2001-06-18,9850.0,9500.0,178800.0,8.68,52680,24970,-77020
2001-06-19,9360.0,9150.0,438070.0,8.36,119620,12490,-133800
2001-06-20,9150.0,9300.0,161180.0,8.5,-21720,8520,12000
2001-06-21,9460.0,9550.0,431790.0,8.73,-33470,22530,10980
2001-06-22,9560.0,9550.0,161550.0,8.73,-49980,39490,8000
2001-06-25,9400.0,9240.0,370070.0,8.44,20260,76970,-98180
2001-06-26,9240.0,9290.0,153190.0,8.49,-19150,3900,10650
2001-06-27,9290.0,9100.0,102010.0,8.32,-2600,16650,-18240
2001-06-28,9000.0,9000.0,74850.0,8.22,26430,-1940,-24410
2001-06-29,9200.0,9650.0,247360.0,8.82,-72610,17070,62020
2001-07-02,9760.0,9900.0,555340.0,9.05,-67770,-226640,300260
2001-07-03,9970.0,9940.0,86940.0,9.08,-35300,-3240,39200
2001-07-04,9900.0,10100.0,242700.0,9.23,15710,27270,-57420
2001-07-05,10100.0,10200.0,158100.0,9.32,-53070,6740,41930
2001-07-06,10000.0,10000.0,114280.0,9.14,-42010,-25840,66060
2001-07-09,10000.0,10000.0,518090.0,9.14,-77320,-252290,332570
2001-07-10,10050.0,9900.0,81630.0,9.05,-14710,14220,280
2001-07-11,9620.0,9700.0,49620.0,8.86,-12190,5940,6280
2001-07-12,9700.0,9750.0,262300.0,8.91,-27320,11250,22890
2001-07-13,9990.0,10000.0,188170.0,9.14,-36330,-16890,53880
2001-07-16,10000.0,9990.0,134560.0,9.13,60040,-39450,-20920
2001-07-18,9900.0,9600.0,91100.0,8.77,-2580,4130,350
2001-07-19,9410.0,9260.0,237250.0,8.46,-9300,-37080,45990
2001-07-20,9250.0,9100.0,84450.0,8.32,-13730,8160,8080
2001-07-23,9150.0,9040.0,108330.0,8.26,-17220,43970,-26990
2001-07-24,9030.0,8880.0,168840.0,8.11,-9950,28900,-19340
2001-07-25,8660.0,8750.0,63910.0,8.0,9440,20710,-27940
2001-07-26,8760.0,8650.0,148440.0,7.9,39310,-8850,-30000
2001-07-27,8750.0,9190.0,162160.0,8.4,-30420,77290,-46610
2001-07-30,9200.0,9050.0,64740.0,8.27,-21560,32660,-11010
2001-07-31,9050.0,9030.0,63680.0,8.25,2620,41810,-44430
2001-08-01,9000.0,9150.0,198060.0,8.36,83500,9290,-97610
2001-08-02,9160.0,9280.0,164180.0,8.48,-55640,48580,2240
2001-08-03,9250.0,9250.0,46350.0,8.45,1920,10950,-12710
2001-08-06,9010.0,9250.0,154170.0,8.45,-1830,90760,-89860
2001-08-07,9010.0,9230.0,73620.0,8.43,-21240,29280,-8040
2001-08-08,9150.0,9250.0,51960.0,8.45,-13350,14450,0
2001-08-09,9200.0,9220.0,78820.0,8.42,-15130,40480,-28400
2001-08-10,9250.0,9250.0,63780.0,8.45,-6670,23060,-6880
2001-08-13,9210.0,9210.0,268620.0,8.42,20170,52880,-70360
2001-08-14,9300.0,9700.0,266750.0,8.86,-57510,69360,-13780
2001-08-16,9500.0,9910.0,228630.0,9.06,4000,12220,-16070
2001-08-17,10100.0,10400.0,441680.0,9.5,-110790,164030,-52880
2001-08-20,10300.0,10500.0,134220.0,9.59,-51450,73080,-21500
2001-08-21,10550.0,10300.0,79320.0,9.41,-12740,9380,0
2001-08-22,10000.0,10350.0,80650.0,9.46,-51780,51160,0
2001-08-23,10450.0,10300.0,28560.0,9.41,-7390,5950,1210
2001-08-24,10100.0,10300.0,78900.0,9.41,-30000,17520,-11970
2001-08-27,10300.0,10450.0,263400.0,9.55,12930,74930,-88470
2001-08-28,10600.0,10350.0,52760.0,9.46,-4380,-4170,0
2001-08-29,10200.0,10600.0,120250.0,9.69,-44520,32450,0
2001-08-30,10300.0,10100.0,140180.0,9.23,22190,20010,-42200
2001-08-31,9900.0,10100.0,111880.0,9.23,-63990,62590,0
2001-09-03,10100.0,10100.0,41630.0,9.23,-13640,1890,8420
2001-09-04,10100.0,10250.0,116900.0,9.37,-5600,92360,3150
2001-09-05,10400.0,10300.0,37350.0,9.41,-3270,-3160,7670
2001-09-06,10150.0,10350.0,68330.0,9.46,-28730,35520,-7150
2001-09-07,10300.0,10300.0,57160.0,9.41,-280,15330,-14690
2001-09-10,10300.0,10000.0,115800.0,9.14,11370,-8990,-17860
2001-09-11,10000.0,9970.0,170390.0,9.11,-3940,92660,-88720
2001-09-12,8600.0,8700.0,430550.0,7.95,980,19060,-7300
2001-09-13,9430.0,8970.0,213940.0,8.2,6890,6640,-13860
2001-09-14,8970.0,8780.0,443990.0,8.02,156540,-81460,-75550
2001-09-17,8700.0,8000.0,701120.0,7.31,109990,14450,-124770
2001-09-18,8300.0,8300.0,263240.0,7.58,-60740,65140,-8400
2001-09-19,7870.0,8290.0,163190.0,7.58,-48550,30910,0
2001-09-20,8010.0,8480.0,475330.0,7.75,2900,289360,-288160
2001-09-21,8500.0,8500.0,307440.0,7.77,-13260,-7740,-35000
2001-09-24,8400.0,8600.0,130990.0,7.86,-45430,71500,-25990
2001-09-25,8820.0,8450.0,93990.0,7.72,-13080,20480,-460
2001-09-26,8270.0,8500.0,59130.0,7.77,-25890,34230,-8570
2001-09-27,8320.0,8520.0,42740.0,7.79,-5400,9020,-3520
2001-09-28,8410.0,8700.0,136580.0,7.95,-9460,7800,1520
2001-10-04,9650.0,9050.0,142060.0,8.27,-37370,-2310,56940
2001-10-05,9230.0,9100.0,73140.0,8.32,12690,-14160,1470
2001-10-08,9000.0,8990.0,190480.0,8.21,83370,-83440,0
2001-10-09,9010.0,8970.0,124910.0,8.2,-10570,10570,0
2001-10-10,8820.0,8810.0,124540.0,8.05,-31280,31280,0
2001-10-11,8860.0,9160.0,288190.0,8.37,-79860,106360,-8500
