Symbol,»ï¾çÈ¦µù½º_½Ã°¡(¿ø),»ï¾çÈ¦µù½º_Á¾°¡(¿ø),»ï¾çÈ¦µù½º_°Å·¡·®(ÁÖ),»ï¾çÈ¦µù½º_PER(IFRS-¿¬°á),»ï¾çÈ¦µù½º_¼ø¸Å¼ö¼ö·®(°³ÀÎ)(ÁÖ),»ï¾çÈ¦µù½º_¼ø¸Å¼ö¼ö·®(±â°ü°è)(ÁÖ),»ï¾çÈ¦µù½º_¼ø¸Å¼ö¼ö·®(¿Ü±¹ÀÎ°è)(ÁÖ)
2000-01-04,10750,12200,148870,12.22,34950,-34140,0
2000-01-05,12400,12200,238350,12.22,-5750,-44400,150
2000-01-06,12900,12100,140400,12.12,-40090,-9860,0
2000-01-07,11800,12700,209490,12.72,-4400,-280,680
2000-01-10,13200,13600,452250,13.62,-13030,-21920,210
2000-01-11,13700,13000,192260,13.02,-23740,3250,140
2000-01-12,13350,13300,194850,13.32,-22450,-4740,2000
2000-01-13,13500,13300,286420,13.32,3300,-14410,1540
2000-01-14,13600,12800,160210,12.82,-47680,-800,-1520
2000-01-17,12500,12500,111670,12.52,-19760,740,620
2000-01-18,12700,12200,78520,12.22,-10390,2070,320
2000-01-19,12200,11700,171940,11.72,-18020,-6840,-810
2000-01-20,11900,11500,63890,11.52,-2800,2360,440
2000-01-21,11600,11300,74830,11.32,1680,-9840,8760
2000-01-24,11300,11500,85350,11.52,-7450,2280,-110
2000-01-25,11800,11900,92130,11.92,-32590,-1590,0
2000-01-26,11900,11900,78440,11.92,-49320,16860,0
2000-01-27,12000,13200,443050,13.22,-32870,-37160,80
2000-01-28,13300,12850,201020,12.87,-26950,27790,-30640
2000-01-31,12450,12700,156930,12.72,-4620,8020,-3400
2000-02-01,12500,13000,107220,13.02,-53610,53760,-70
2000-02-02,12800,13600,274920,13.62,-73670,23670,0
2000-02-03,13650,13000,86350,13.02,470,-470,0
2000-02-07,13000,12700,77340,12.72,13150,-19920,1610
2000-02-08,12700,12700,168680,12.72,-31860,-4640,160
2000-02-09,12700,12800,108970,12.82,-35050,29050,0
2000-02-10,12600,13200,239020,13.22,-54720,54720,0
2000-02-11,13500,14300,315220,14.32,-182790,90120,0
2000-02-14,14300,13750,102570,13.77,-21250,28530,720
2000-02-15,13850,13400,78350,13.42,-46090,26220,720
2000-02-16,13400,13350,42960,13.37,-22050,21910,240
2000-02-17,13350,14000,151390,14.02,-21330,20350,480
2000-02-18,14200,14800,412910,14.83,-61620,85860,0
2000-02-21,14800,14000,125340,14.02,-28470,-16340,-480
2000-02-22,14200,14000,74640,14.02,-41180,25320,260
2000-02-23,14200,14150,77810,14.17,14040,-13460,-480
2000-02-24,14200,15000,162280,15.03,-97290,97410,-120
2000-02-25,15200,15400,248110,15.43,-89830,101810,-1000
2000-02-28,15200,15400,53700,15.43,-25120,24630,260
2000-02-29,15400,15100,111460,15.13,-45280,6580,26780
2000-03-02,15100,15700,484700,15.73,49840,-51870,11030
2000-03-03,16000,15500,507020,15.53,153070,-102320,-780
2000-03-06,16100,16200,356420,16.23,-4960,11960,0
2000-03-07,16200,15300,113410,15.33,-7420,7790,-370
2000-03-08,15000,15300,133080,15.33,-39950,30070,-120
2000-03-09,15700,15300,144550,15.33,-48130,51340,-25890
2000-03-10,15500,15300,64440,15.33,-5830,5830,0
2000-03-13,15400,15100,106340,15.13,14870,8760,-12130
2000-03-14,14800,15100,105880,15.13,-35290,8870,-160
2000-03-15,14500,14250,40660,14.27,-10310,10870,-560
2000-03-16,14450,13550,63900,13.57,-2600,1690,640
2000-03-17,14000,13300,68640,13.32,9550,-10930,1230
2000-03-20,13100,13300,41770,13.32,3410,-4220,750
2000-03-21,13500,13400,38090,13.42,-2600,1630,600
2000-03-22,13200,13350,44050,13.37,-390,-350,740
2000-03-23,13500,13300,45870,13.32,-9520,5240,-480
2000-03-24,13200,13300,90070,13.32,-20,11320,60
2000-03-27,13700,13300,51330,13.32,22560,-11260,0
2000-03-28,13600,13800,231590,13.82,64720,27580,480
2000-03-29,13800,13700,107290,13.72,-2100,-13030,0
2000-03-30,13300,12550,124920,12.57,18580,-29490,0
2000-03-31,12400,12300,59190,12.32,9100,-3130,0
2000-04-03,12400,11800,90600,11.82,20190,-20140,0
2000-04-04,11900,11600,69510,11.62,17300,-18160,610
2000-04-06,11900,11850,78270,11.87,-46080,21500,24580
2000-04-07,12500,12100,75600,12.12,-28310,-7190,54500
2000-04-10,12550,12900,82650,12.92,-15640,-8690,25970
2000-04-11,13000,12700,38820,12.72,-25020,14460,10560
2000-04-12,12600,13400,85250,13.42,-6050,-34580,22560
2000-04-14,13100,13400,33630,13.42,-3320,-6470,9800
2000-04-17,11600,12100,50710,12.12,-20400,2020,17480
2000-04-18,12300,12300,75730,12.32,-3170,-7950,11300
2000-04-19,13000,12500,106030,12.52,55500,-54790,-470
2000-04-20,12100,12400,34560,12.42,-10680,4680,0
2000-04-21,12200,12700,59120,12.72,-11770,2050,-260
2000-04-24,12650,12800,32860,12.82,570,-450,0
2000-04-25,12950,13500,167840,13.52,37180,-37180,0
2000-04-26,13500,13600,200990,13.62,-33620,3380,140
2000-04-27,13600,13200,71530,13.22,-15480,10080,400
2000-04-28,13000,13200,34210,13.22,3550,-1860,-1590
2000-05-02,13250,13050,70920,13.07,15240,-17040,-8200
2000-05-03,12850,13350,32370,13.37,-4480,-4220,-1300
2000-05-04,13300,13350,74080,13.37,-20520,30930,-410
2000-05-08,13350,13150,38380,13.17,7010,-6620,-390
2000-05-09,13300,13150,25840,13.17,-1150,1630,-480
2000-05-10,13200,13150,28030,13.17,-11280,11740,-4620
2000-05-12,13150,12550,20210,12.57,3090,-2150,-970
2000-05-15,12100,12000,13500,12.02,4410,-4030,-380
2000-05-16,11550,12200,13390,12.22,-1960,2220,-260
2000-05-17,12200,11750,32650,11.77,2790,-2390,-340
2000-05-18,11750,10050,36070,10.07,22290,-22350,60
2000-05-19,10000,9900,20890,9.92,4110,-4340,0
2000-05-22,9900,9890,24190,9.91,-2480,2890,-180
2000-05-23,9800,9600,21670,9.62,-6140,6670,2210
2000-05-24,9500,9010,62090,9.03,24840,-24760,-60
2000-05-25,9100,9400,191220,9.42,89760,-59160,-30360
2000-05-26,9400,9000,62900,9.02,-6480,-650,2130
2000-05-29,9000,9000,47390,9.02,-9040,8990,3420
2000-05-30,9000,9170,100660,9.19,45330,-15790,-21040
2000-05-31,9580,9750,228930,9.77,65290,-42010,-6740
2000-06-01,9780,9610,77170,9.63,4780,510,-5290
2000-06-02,9710,9590,138180,9.61,64240,-64000,-240
2000-06-05,9800,10350,219560,10.37,46420,-53420,0
2000-06-07,10500,10500,194550,10.52,60650,-54390,-230
2000-06-08,10700,9500,175170,9.52,80060,-59860,-20200
2000-06-09,10000,9990,92760,10.01,11680,-11880,20
2000-06-12,10500,10900,362670,10.92,67370,-59830,-20
2000-06-13,10900,10500,182680,10.52,20230,780,0
2000-06-14,10700,10400,74850,10.42,500,-850,300
2000-06-15,10150,9750,74400,9.77,13550,-13630,0
2000-06-16,9210,9300,64030,9.32,10340,-10360,60
2000-06-19,9300,9330,72350,9.35,12880,-2740,0
2000-06-20,9360,9410,81560,9.43,4520,25480,0
2000-06-21,9500,9600,83890,9.62,14920,-9060,-60
2000-06-22,9840,9980,105760,10,330,-330,0
2000-06-23,10200,11000,320080,11.02,-20330,21730,-500
2000-06-26,10700,10750,224170,10.77,60640,-60830,80
2000-06-27,11000,10900,150140,10.92,1490,-1980,0
2000-06-28,11000,11300,278060,11.32,-18790,19320,1010
2000-06-29,11000,11150,179340,11.17,-3870,5330,-200
2000-06-30,11000,11600,198340,11.62,1140,-1570,0
2000-07-03,11700,10900,221940,4.43,4990,-6540,500
2000-07-04,11300,11250,190980,4.58,990,-3200,0
2000-07-05,10800,10650,103800,4.33,3880,-3880,0
2000-07-06,10650,10500,128190,4.27,6560,-6400,0
2000-07-07,10650,10700,103350,4.35,-2100,1480,120
2000-07-10,10700,10650,113340,4.33,-14210,14600,-260
2000-07-11,10550,10550,145880,4.29,-39050,39300,-40
2000-07-12,10500,10700,299400,4.35,41760,-46280,20
2000-07-13,10900,10500,105120,4.27,-13100,13580,-280
2000-07-14,10650,10400,135290,4.23,25020,-6920,-2000
2000-07-18,10300,10250,92670,4.17,-21230,20330,0
2000-07-19,10250,10200,81630,4.15,-44130,42810,820
2000-07-20,10200,10300,50280,4.19,-16760,15870,890
2000-07-21,10250,10250,34080,4.17,-7510,7870,40
2000-07-24,10250,10200,124260,4.15,-16450,74280,360
2000-07-25,10200,10400,119140,4.23,-19320,17770,1250
2000-07-26,10500,10250,42040,4.17,8180,-6970,0
2000-07-27,10250,10300,75360,4.19,7670,-7560,0
2000-07-28,10350,10300,51020,4.19,-40220,36020,2880
2000-07-31,10700,10550,201070,4.29,35160,-37370,950
2000-08-01,10550,10700,115460,4.35,2910,2010,100
2000-08-02,10800,11350,338310,4.62,27610,-85140,230
2000-08-03,11500,10700,525650,4.35,32200,-76950,-180
2000-08-04,10900,10700,141920,4.35,-21720,-32820,-20
2000-08-07,10700,10700,139370,4.35,-72300,51930,0
2000-08-08,10700,10550,133010,4.29,-55320,-3470,120
2000-08-09,10500,10650,62680,4.33,-36340,18040,830
2000-08-10,10500,11000,197430,4.48,90,540,-220
2000-08-11,10950,10550,71770,4.29,14860,-14690,-60
2000-08-14,10600,10600,34420,4.31,-2360,1520,240
2000-08-16,10800,10700,39530,4.35,-21840,17840,760
2000-08-17,10700,10500,29800,4.27,-12540,11990,550
2000-08-18,10550,10350,24790,4.21,1860,-1770,210
2000-08-21,10100,10150,20490,4.13,1450,-1410,-40
2000-08-22,10350,10600,76490,4.31,-17650,-4970,370
2000-08-23,10500,10150,36260,4.13,6210,-5280,70
2000-08-24,10200,10300,27530,4.19,-1160,450,420
2000-08-25,10300,10300,49230,4.19,-30940,10560,-20
2000-08-28,10300,10200,12640,4.15,-2370,1390,280
2000-08-29,10250,10500,48420,4.27,-34760,8590,0
2000-08-30,10500,10250,9760,4.17,660,-280,-80
2000-08-31,10200,10050,22310,4.09,7600,-6700,0
2000-09-01,10200,10100,10170,4.11,-2560,1760,0
2000-09-04,10150,10300,40100,4.19,3710,-3310,0
2000-09-05,10600,10500,64010,4.27,-6770,5870,0
2000-09-06,10600,10350,20950,4.21,-6150,5630,320
2000-09-07,10200,10300,31770,4.19,-4090,4490,0
2000-09-08,10150,10200,15570,4.15,-1440,2680,-240
2000-09-14,10150,9700,49290,3.95,19830,-9650,-4460
2000-09-15,9950,9800,83340,3.99,-1330,-1920,-3040
2000-09-18,10000,9720,60590,3.95,-37870,1410,5920
2000-09-19,9200,11150,59730,4.54,-13410,-2060,29980
2000-09-20,10300,10300,114180,4.19,36620,-14180,-120
2000-09-21,10500,10250,59290,4.17,-33880,-870,-2250
2000-09-22,10300,9750,38060,3.97,1840,-990,-850
2000-09-25,9800,9840,11410,4,-4770,3920,0
2000-09-26,10000,10000,28400,4.07,-7660,600,0
2000-09-27,10000,10350,29250,4.21,-12160,-2980,0
2000-09-28,10400,10250,34100,4.17,-2910,-16750,0
2000-09-29,10250,10150,9170,4.13,1510,-1440,0
2000-10-02,10150,10450,63630,4.25,-8610,-1210,0
2000-10-04,10450,10450,29510,4.25,-15030,3700,610
2000-10-05,10450,10350,18280,4.21,2930,-2230,20
2000-10-06,10200,10450,21590,4.25,-3150,2830,0
2000-10-09,10250,10350,31920,4.21,2460,-2100,-40
2000-10-10,10400,10600,175660,4.31,15300,-22280,0
2000-10-11,10700,10400,148460,4.23,-580,3480,0
2000-10-12,10400,10000,71130,4.07,1950,-2030,0
2000-10-13,10000,10300,131040,4.19,-28060,2530,0
2000-10-16,10600,10800,122240,4.39,14490,-12180,130
2000-10-17,11100,11600,339460,4.72,-39770,33830,0
2000-10-18,11600,11000,105940,4.48,-21400,1090,390
2000-10-19,11000,11050,35910,4.5,1540,-1350,130
2000-10-20,11350,11200,36530,4.56,-2690,1640,940
2000-10-23,11100,10800,43020,4.39,2950,-2900,-100
2000-10-24,11000,10900,45640,4.43,-2740,3020,80
2000-10-25,11300,10600,44790,4.31,5230,-4830,-80
2000-10-26,10350,10400,43240,4.23,-2140,1640,0
2000-10-27,10700,10150,24500,4.13,-8480,6970,720
2000-10-30,10000,9620,32020,3.91,2870,-2590,0
2000-10-31,9510,10400,42040,4.23,-6040,1140,4400
2000-11-01,10150,10600,177520,4.31,31130,-35660,5450
2000-11-02,10900,10400,38470,4.23,-1440,1460,0
2000-11-03,10600,10300,45540,4.19,1410,-1230,-100
2000-11-06,10300,10300,32260,4.19,1700,-2630,70
2000-11-07,10200,10000,50160,4.07,24790,-4030,-20000
2000-11-08,9900,10100,41810,4.11,-7250,-1020,8520
2000-11-09,9800,10100,25150,4.11,-2370,2210,500
2000-11-10,10100,10200,26130,4.15,3760,-2620,0
2000-11-13,10000,9980,25770,4.06,-4700,5590,0
2000-11-14,10000,9950,12400,4.05,5040,-40,0
2000-11-15,10000,9950,38560,4.05,1150,-1210,60
2000-11-16,10100,9870,13870,4.02,4280,500,0
2000-11-17,9800,9800,26250,3.99,10950,-6090,160
2000-11-20,9600,9650,26780,3.93,15430,-5430,0
2000-11-21,9950,9500,21420,3.86,5890,-570,-400
2000-11-22,9490,9300,21340,3.78,4780,-100,400
2000-11-23,9200,9000,28840,3.66,-4360,3600,200
2000-11-24,8230,8810,27160,3.58,7230,2450,240
2000-11-27,8800,8910,31330,3.63,2330,4810,-1000
2000-11-28,8950,8700,23350,3.54,10490,-330,0
2000-11-29,8900,8450,35410,3.44,17610,-7290,160
2000-11-30,8450,8100,54010,3.3,35850,-20510,-400
2000-12-01,7860,7890,77380,3.21,24870,7910,-23260
2000-12-04,7940,8100,105620,3.3,69200,-26850,-32270
2000-12-05,8100,8400,66000,3.42,14400,7440,-12000
2000-12-06,8400,8100,150370,3.3,58870,-15810,-37760
2000-12-07,8100,7950,41310,3.23,15950,-1830,-13610
2000-12-08,8100,8050,31730,3.27,5670,4050,0
2000-12-11,8000,8210,81210,3.34,31150,-31630,120
2000-12-12,8220,8060,29130,3.28,4480,-5050,1210
2000-12-13,8110,8100,60810,3.3,23060,-25490,1690
2000-12-14,8000,7980,64350,3.25,18040,-26520,8550
2000-12-15,8090,8000,35520,3.25,9080,-8080,-920
2000-12-18,8000,8020,22550,3.26,-5070,4260,730
2000-12-19,8020,7950,46530,3.23,-10130,-3660,13870
2000-12-20,7750,7950,47600,3.23,-30,90,-60
2000-12-21,7750,7950,27180,3.23,-5290,5080,-70
2000-12-22,8050,7850,22280,3.19,-720,3340,0
2000-12-26,7800,7850,74030,3.19,4660,-19660,0
2001-01-02,8090,8400,97170,3.42,-10670,-13170,34200
2001-01-03,8390,8650,72880,3.52,-11840,-4410,21460
2001-01-04,8960,8650,66540,3.52,-5290,6820,240
2001-01-05,8600,8770,50360,3.57,3470,-1450,-50
2001-01-08,8770,9090,62460,3.7,-21670,19620,1410
2001-01-09,9100,9200,31370,3.74,-7800,7120,0
2001-01-10,9000,8560,51790,3.48,-1590,1510,0
2001-01-11,8600,8110,97220,3.3,18640,-16110,-970
2001-01-12,8350,8600,86910,3.5,-15520,13860,1220
2001-01-15,8720,8700,111360,3.54,12030,-11730,-20
2001-01-16,9100,9000,112880,3.66,-15210,15230,-20
2001-01-17,8800,8980,50670,3.65,-14590,14190,0
2001-01-18,9000,9030,58130,3.67,130,-860,0
2001-01-19,9250,9000,28200,3.66,-10530,9150,60
2001-01-22,9000,9000,27250,3.66,1140,-1140,0
2001-01-26,9050,8850,28350,3.6,3400,-3040,0
2001-01-29,8800,8750,26200,3.56,-3350,3350,0
2001-01-30,8900,9120,94650,3.71,-14980,15000,-20
2001-01-31,9200,9290,49740,3.78,-25060,23960,0
2001-02-01,9030,9400,30650,3.82,-18920,18940,120
2001-02-02,9250,9590,51040,3.9,-37340,37620,0
2001-02-05,9580,9510,37480,3.87,-25570,19280,6430
2001-02-06,9510,10100,95670,4.11,-56970,57030,0
2001-02-07,9800,9820,20670,4,2790,-2170,0
2001-02-08,9830,10000,24750,4.07,-8510,7890,460
2001-02-09,9950,10150,40850,4.13,-4830,4690,0
2001-02-12,9900,10100,53450,4.11,-11650,11230,-180
2001-02-13,10450,10100,19940,4.11,-4000,3820,40
2001-02-14,10100,10700,65180,4.35,-41720,41040,140
2001-02-15,10850,11000,39180,4.48,-18950,18760,0
2001-02-16,10700,10750,36040,4.37,6400,-1610,0
2001-02-19,10800,10800,21660,4.39,5740,-4450,-440
2001-02-20,10800,11000,15110,4.48,-650,330,0
2001-02-21,11000,11000,169970,4.48,3190,-650,0
2001-02-22,10900,10900,28300,4.43,-14010,3540,190
2001-02-23,10900,10950,20960,4.46,-10570,4510,6030
2001-02-26,11000,11000,21420,4.48,-10050,6080,950
2001-02-27,11050,10900,32480,4.43,-4990,20880,0
2001-02-28,10900,10700,15620,4.35,850,-990,0
2001-03-02,10700,10900,21590,4.43,-4060,-310,60
2001-03-05,10900,10600,11650,4.31,-3570,3120,20
2001-03-06,10650,10800,20590,4.39,-2200,2060,0
2001-03-07,11150,11000,27530,4.48,-1100,1360,-20
2001-03-08,10750,11100,34800,4.52,-7200,-2300,-6810
2001-03-09,10900,10700,19390,4.35,15300,-6020,-8050
2001-03-12,10450,10250,41370,4.17,6120,2850,-13760
2001-03-13,9800,9900,26090,4.03,-940,580,-3800
2001-03-14,10050,10500,27880,4.27,-15770,16430,-3800
2001-03-15,10000,10450,20830,4.25,-5700,7480,0
2001-03-16,10300,10300,10580,4.19,-2850,3350,0
2001-03-19,10150,10350,20690,4.21,-10130,9950,0
2001-03-20,10400,10400,7390,4.23,-2800,2690,-20
2001-03-21,10050,10650,21510,4.33,-14150,13510,150
2001-03-22,10400,10650,7470,4.33,-1240,1240,0
2001-03-23,10800,10450,11540,4.25,-1830,1570,0
2001-03-26,10300,10700,25690,4.35,-1330,1100,-50
2001-03-27,10450,10650,19760,4.33,7120,-6600,-520
2001-03-28,10750,10800,15780,4.39,-12820,12910,0
2001-03-29,10550,10900,12580,4.43,280,560,0
2001-03-30,10800,10800,10040,4.39,-2360,-40,0
2001-04-02,10800,10600,6450,4.31,-210,210,0
2001-04-03,10500,10700,22400,4.35,-2100,-120,2040
2001-04-04,10700,10650,6390,4.33,-3350,3270,0
2001-04-06,10700,10700,19250,4.35,-6630,6720,-90
2001-04-09,10650,10400,5350,4.23,1160,-1160,0
2001-04-10,10400,10450,12270,4.25,-2540,2410,0
2001-04-11,10450,10350,14170,4.21,5300,-6840,0
2001-04-12,10350,10700,24900,4.35,-1170,-9030,-180
2001-04-13,10500,10500,12160,4.27,1550,-4400,-1450
2001-04-16,10300,10400,6870,4.23,640,-640,0
2001-04-17,10550,10450,4260,4.25,-230,-770,0
2001-04-18,10600,10750,13500,4.37,970,-3850,2700
2001-04-19,10900,10800,39630,4.39,4680,-12620,8000
2001-04-20,10700,10950,55160,4.46,5210,-24510,0
2001-04-23,11200,10950,82620,4.46,36610,-36800,690
2001-04-24,10950,10800,27830,4.39,10940,690,-690
2001-04-25,10950,10800,35790,4.39,-3120,-4840,0
2001-04-26,10900,10700,23010,4.35,-3930,4930,0
2001-04-27,10900,10800,17280,4.39,3070,-3220,1150
2001-04-30,11000,11050,50820,4.5,7450,-1220,500
2001-05-02,11200,10900,34590,4.43,7030,-490,1100
2001-05-03,11000,10850,21970,4.41,-1780,1180,-2400
2001-05-04,10850,11300,26170,4.6,-2980,3090,0
2001-05-07,11300,11350,54820,4.62,2280,10260,0
2001-05-08,11350,11350,73760,4.62,36550,-510,0
2001-05-09,11400,11300,34780,4.6,-30,-4280,0
2001-05-10,11300,11700,34040,4.76,-8490,7740,-1350
2001-05-11,11900,12500,145260,5.09,330,-2340,0
2001-05-14,13000,13000,102380,5.29,-15750,23520,0
2001-05-15,13000,12600,33240,5.13,-420,4010,0
2001-05-16,12900,13200,49660,5.37,-5300,5260,0
2001-05-17,13200,13300,62510,5.41,-3430,-440,0
2001-05-18,13300,13100,51670,5.33,4770,4740,0
2001-05-21,13100,13000,42920,5.29,-3960,9770,300
2001-05-22,13200,13050,48910,5.31,9870,-4870,0
2001-05-23,13150,13050,30190,5.31,5490,3990,0
2001-05-24,13100,13000,16010,5.29,-4560,3960,0
2001-05-25,13000,13300,46090,5.41,4200,-13920,0
2001-05-28,13300.0,13750.0,39570.0,5.59,-920,1450,0
2001-05-29,14200.0,13650.0,35010.0,5.55,-2900,4530,0
2001-05-30,13750.0,13700.0,46510.0,5.57,17160,260,-16860
2001-05-31,13800.0,14400.0,66490.0,5.86,-1610,10,1180
2001-06-01,14800.0,14700.0,129840.0,5.98,26590,-15520,-5970
2001-06-04,14500.0,14450.0,35080.0,5.88,1250,-3130,200
2001-06-05,14500.0,13800.0,61820.0,5.61,6480,-1030,720
2001-06-07,13750.0,13650.0,28410.0,5.55,-1930,430,1120
2001-06-08,13800.0,13900.0,21010.0,5.66,-1790,1400,0
2001-06-11,13900.0,13900.0,24320.0,5.66,6730,-5440,0
2001-06-12,14000.0,14100.0,60540.0,5.74,23390,-24270,-100
2001-06-13,13900.0,13950.0,32350.0,5.68,7410,-3860,-2900
2001-06-14,13850.0,14300.0,60600.0,5.82,-13030,9440,2000
2001-06-15,14200.0,14600.0,40830.0,5.94,7000,3530,-11130
2001-06-18,15000.0,15000.0,104360.0,6.1,-23860,-4360,22450
2001-06-19,14800.0,14650.0,32300.0,5.96,-3830,5240,-7450
2001-06-20,14500.0,14500.0,27240.0,5.9,-5970,6840,0
2001-06-21,14500.0,14250.0,24550.0,5.8,-6150,6190,0
2001-06-22,14250.0,14400.0,46480.0,5.86,-10720,-2780,0
2001-06-25,14300.0,14950.0,29740.0,6.08,-2370,4790,0
2001-06-26,14800.0,14650.0,29230.0,5.96,-4890,2890,2000
2001-06-27,14750.0,14950.0,89800.0,6.08,-33220,6960,660
2001-06-28,14300.0,14350.0,64020.0,5.96,-20620,11240,80
2001-06-29,14150.0,14050.0,30500.0,5.83,-11150,5120,800
2001-07-02,14000.0,14000.0,52040.0,2.82,-32030,23240,8990
2001-07-03,13950.0,13950.0,11510.0,2.81,-2160,2370,-50
2001-07-04,13650.0,13350.0,20340.0,2.69,-1800,1920,0
2001-07-05,13200.0,13150.0,11710.0,2.65,1180,-1180,0
2001-07-06,13100.0,12750.0,33880.0,2.57,910,-910,0
2001-07-09,12500.0,12450.0,27590.0,2.51,-15070,11180,1380
2001-07-10,12550.0,12450.0,15150.0,2.51,-3250,-240,450
2001-07-11,12150.0,12450.0,24720.0,2.51,-5860,5710,150
2001-07-12,12950.0,11100.0,23440.0,2.24,3210,1250,-1700
2001-07-13,12500.0,12750.0,48200.0,2.57,-2390,2270,0
2001-07-16,12750.0,12350.0,38120.0,2.49,-5480,1350,1130
2001-07-18,12450.0,11900.0,10760.0,2.4,-3290,3290,0
2001-07-19,11700.0,11700.0,9960.0,2.36,-2250,2250,0
2001-07-20,11550.0,11100.0,14070.0,2.24,4890,-4730,0
2001-07-23,11100.0,11200.0,13360.0,2.26,-2810,1410,550
2001-07-24,11000.0,11150.0,16470.0,2.25,-2610,4150,620
2001-07-25,10800.0,10750.0,22370.0,2.17,2930,2180,-4860
2001-07-26,11000.0,12350.0,103840.0,2.49,-8530,-5670,-17630
2001-07-27,12400.0,12350.0,32110.0,2.49,3050,-1340,-1710
2001-07-30,12500.0,11850.0,25000.0,2.39,3970,-3870,0
2001-07-31,11850.0,11850.0,14120.0,2.39,-1490,1490,0
2001-08-01,11850.0,12150.0,19300.0,2.45,2040,-2340,500
2001-08-02,12250.0,12100.0,15330.0,2.44,-60,260,0
2001-08-03,12200.0,12000.0,8140.0,2.42,1160,-360,-740
2001-08-06,12050.0,12200.0,15210.0,2.46,-1060,1060,0
2001-08-07,12200.0,12250.0,8530.0,2.47,-1620,1620,0
2001-08-08,12250.0,12250.0,10860.0,2.47,-2590,2590,0
2001-08-09,12050.0,12000.0,13750.0,2.42,-2910,190,-120
2001-08-10,12350.0,12150.0,33950.0,2.45,-1060,920,0
2001-08-13,12250.0,12800.0,43440.0,2.58,-350,-1680,0
2001-08-14,12800.0,12500.0,20640.0,2.52,2480,5990,-1870
2001-08-16,12300.0,12500.0,27880.0,2.52,6240,260,0
2001-08-17,12100.0,12350.0,25190.0,2.49,-5620,-4470,0
2001-08-20,12300.0,12250.0,28580.0,2.47,8000,-1770,0
2001-08-21,12300.0,12300.0,13380.0,2.48,1190,-290,0
2001-08-22,12400.0,12450.0,15040.0,2.51,-1970,1790,0
2001-08-23,12600.0,12500.0,32220.0,2.52,-1190,6050,-30
2001-08-24,12500.0,13000.0,68570.0,2.62,-37680,38590,-70
2001-08-27,13000.0,14500.0,172900.0,2.92,-39240,8720,-60
2001-08-28,14200.0,14100.0,25110.0,2.84,-5480,5660,0
2001-08-29,13800.0,14200.0,49550.0,2.86,-2800,3000,0
2001-08-30,13800.0,14200.0,43760.0,2.86,-25830,25830,0
2001-08-31,13800.0,12900.0,34260.0,2.6,5030,-4300,-1150
2001-09-03,12900.0,12950.0,15620.0,2.61,-10930,10510,0
2001-09-04,12950.0,12800.0,13500.0,2.58,-640,390,260
2001-09-05,12800.0,12600.0,8090.0,2.54,-820,1680,-440
2001-09-06,12600.0,12700.0,7130.0,2.56,320,-460,0
2001-09-07,12400.0,12950.0,10730.0,2.61,-4610,2760,-1010
2001-09-10,12950.0,12950.0,8750.0,2.61,-3220,4380,-40
2001-09-11,13100.0,13000.0,13290.0,2.62,-7540,7570,-30
2001-09-12,11050.0,11700.0,45300.0,2.36,-25490,24440,310
2001-09-13,11750.0,11700.0,30820.0,2.36,12520,-11810,-960
2001-09-14,11700.0,11600.0,30260.0,2.34,-6670,-2530,-870
2001-09-17,11400.0,10600.0,19490.0,2.14,-6570,1770,0
2001-09-18,11300.0,12100.0,17370.0,2.44,-11320,11320,0
2001-09-19,11800.0,12500.0,24550.0,2.52,-6980,7000,0
2001-09-20,12500.0,12500.0,6150.0,2.52,540,-440,-70
2001-09-21,12050.0,12300.0,5230.0,2.48,-2240,2240,0
2001-09-24,12350.0,13200.0,31920.0,2.66,-16260,9000,-10
2001-09-25,13900.0,12950.0,10630.0,2.61,40,-40,0
2001-09-26,13200.0,13150.0,18680.0,2.65,-7610,150,7540
2001-09-27,12800.0,13500.0,22580.0,2.72,-5530,1440,6620
2001-09-28,13500.0,14200.0,77650.0,2.86,-41800,35270,-11640
2001-10-04,14500.0,14100.0,10280.0,2.84,10,370,-380
2001-10-05,13900.0,13750.0,14450.0,2.77,-1590,-300,0
2001-10-08,13200.0,13500.0,7060.0,2.72,130,-170,10
2001-10-09,13250.0,13400.0,9400.0,2.7,-1570,1570,0
2001-10-10,13200.0,13650.0,5010.0,2.75,-340,340,0
2001-10-11,13650.0,13750.0,13400.0,2.77,-1920,1920,0
2001-10-12,13750.0,14200.0,19750.0,2.86,-2300,4320,0
2001-10-15,14200.0,14300.0,17210.0,2.88,-590,550,-10
2001-10-16,14300.0,14200.0,11980.0,2.86,-8220,8220,0
2001-10-17,14300.0,14100.0,8860.0,2.84,430,-430,0
2001-10-18,14100.0,13950.0,7510.0,2.81,380,-380,0
2001-10-19,13950.0,14000.0,7990.0,2.82,2390,620,0
2001-10-22,14050.0,13900.0,11940.0,2.8,1740,-1730,-10
2001-10-23,13800.0,14900.0,27510.0,3.0,-12330,12410,0
2001-10-24,14500.0,14550.0,15300.0,2.93,-3890,3890,0
2001-10-25,14550.0,14300.0,5660.0,2.88,490,-490,0
2001-10-26,14000.0,14300.0,8100.0,2.88,3540,-1970,0
2001-10-29,14300.0,14300.0,9620.0,2.88,2380,-2380,0
2001-10-30,14800.0,14300.0,9240.0,2.88,-2720,2720,0
