Symbol,고려아연_시가(원),고려아연_종가(원),고려아연_거래량(주),고려아연_PER(IFRS-연결),고려아연_순매수수량(개인)(주),고려아연_순매수수량(기관계)(주),고려아연_순매수수량(외국인계)(주)
2004-09-01,19000.0,19500.0,289899.0,8.58,-76853,81753,-2580
2004-09-02,19600.0,19500.0,244220.0,8.58,-83710,85460,19730
2004-09-03,19750.0,20000.0,382329.0,8.8,-115793,8913,105350
2004-09-06,20200.0,20200.0,215149.0,8.88,-25180,-31480,63490
2004-09-07,20350.0,20200.0,173258.0,8.88,-12560,-38880,60500
2004-09-08,20350.0,20000.0,143040.0,8.8,-43353,-21497,65080
2004-09-09,20000.0,20000.0,119520.0,8.8,30,-41880,34380
2004-09-10,20000.0,19900.0,105126.0,8.75,-27114,-23436,51050
2004-09-13,20000.0,21000.0,252950.0,9.23,-25435,-48125,74330
2004-09-14,21100.0,20950.0,182583.0,9.21,-6008,-66832,77030
2004-09-15,21100.0,21450.0,190210.0,9.43,-56402,42332,17060
2004-09-16,21450.0,21600.0,136655.0,9.5,-38260,14190,23090
2004-09-17,21850.0,21350.0,90478.0,9.39,-33422,-2358,34730
2004-09-20,21400.0,21050.0,128300.0,9.26,-36439,10929,35580
2004-09-21,21050.0,21050.0,132470.0,9.26,12860,-55870,42950
2004-09-22,21150.0,20550.0,126555.0,9.04,23930,-65260,41450
2004-09-23,20100.0,19400.0,197318.0,8.53,57640,-29800,-27990
2004-09-24,19500.0,19250.0,162604.0,8.47,61633,-43533,-13410
2004-09-30,19250.0,21350.0,625360.0,9.39,-31242,52102,-19920
2004-10-01,21700.0,22600.0,598389.0,9.94,-172599,-4291,149980
2004-10-04,23100.0,22650.0,307103.0,9.96,1964,-20574,12190
2004-10-05,22900.0,24050.0,482751.0,10.58,-118412,92142,22170
2004-10-06,24050.0,24200.0,488721.0,10.64,-6898,20038,7610
2004-10-07,24500.0,23800.0,218912.0,10.47,31367,-34637,4390
2004-10-08,24600.0,27350.0,1346962.0,12.03,-270436,-64334,325720
2004-10-11,27900.0,27200.0,527830.0,11.96,67617,-73367,19110
2004-10-12,27900.0,26650.0,436298.0,11.72,25640,-36310,19590
2004-10-13,26900.0,25200.0,638666.0,11.08,162891,15289,-165830
2004-10-14,24250.0,23150.0,936162.0,10.18,291689,-120689,-120040
2004-10-15,22950.0,23200.0,680084.0,10.2,73370,-111200,52320
2004-10-18,23250.0,22700.0,620636.0,9.98,80306,-65416,-12680
2004-10-19,22900.0,22400.0,611212.0,9.85,-11120,13680,-2560
2004-10-20,22400.0,20850.0,418710.0,9.17,18860,-9000,-18090
2004-10-21,21300.0,21600.0,616201.0,9.5,-13070,-42450,58570
2004-10-22,21850.0,22900.0,704690.0,10.07,-74700,-66430,129230
2004-10-25,22600.0,22300.0,366431.0,9.81,-28180,-8600,41170
2004-10-26,22700.0,22350.0,161353.0,9.83,22393,-3613,-15750
2004-10-27,22750.0,22600.0,310710.0,9.94,-29290,48990,-17710
2004-10-28,23100.0,23100.0,271247.0,10.16,-83670,79040,-12560
2004-10-29,22450.0,23000.0,487610.0,10.11,-27411,10231,29930
2004-11-01,22700.0,22650.0,142350.0,9.96,-27170,13880,1590
2004-11-02,22650.0,22650.0,122310.0,9.96,-14920,9820,4800
2004-11-03,22650.0,22850.0,125451.0,10.05,-20250,13850,8270
2004-11-04,23300.0,24400.0,508959.0,10.73,-73716,58336,26230
2004-11-05,25000.0,24600.0,341660.0,10.82,-117525,110925,-25910
2004-11-08,25100.0,25500.0,428442.0,11.21,-179633,61993,82460
2004-11-09,25900.0,26300.0,284161.0,11.57,-134530,113120,-6280
2004-11-10,26200.0,26300.0,296060.0,11.57,-147490,105780,32050
2004-11-11,25650.0,25750.0,248409.0,11.32,-103180,51720,-2990
2004-11-12,25800.0,25750.0,224790.0,11.32,-56800,58350,-2110
2004-11-15,26000.0,25300.0,161947.0,11.13,-835,-20515,2220
2004-11-16,25300.0,25800.0,236693.0,11.35,-17876,6066,19050
2004-11-17,26000.0,26200.0,232080.0,11.52,12880,-31710,20660
2004-11-18,26200.0,26450.0,278705.0,11.63,-14551,3081,12790
2004-11-19,26550.0,25500.0,184050.0,11.21,31286,-25726,-8600
2004-11-22,25600.0,24700.0,114183.0,10.86,15633,-20593,1970
2004-11-23,25000.0,25700.0,218227.0,11.3,-39872,18052,-2050
2004-11-24,26150.0,26950.0,358805.0,11.85,-65328,-3482,79070
2004-11-25,27300.0,27500.0,520015.0,12.09,-253198,57828,156560
2004-11-26,28000.0,27500.0,322567.0,12.09,-86085,87290,260
2004-11-29,27650.0,29500.0,346519.0,12.97,-104635,59195,25930
2004-11-30,29700.0,30100.0,289990.0,13.24,-67141,50829,-1850
2004-12-01,30300.0,29000.0,380484.0,12.75,38416,63654,-134410
2004-12-02,29000.0,29400.0,340849.0,12.93,-102702,75865,-9880
2004-12-03,29600.0,28850.0,215792.0,12.69,5100,-12230,-7930
2004-12-06,28300.0,27950.0,130598.0,12.29,13000,-10210,-6510
2004-12-07,27600.0,27600.0,134168.0,12.14,-2450,14810,-11200
2004-12-08,27150.0,28950.0,230995.0,12.73,-15130,-14260,30610
2004-12-09,29000.0,28600.0,163490.0,12.58,4861,24699,-35270
2004-12-10,28200.0,28000.0,160980.0,12.31,-9120,3920,5840
2004-12-13,27150.0,27500.0,103913.0,12.09,-27373,19013,-3270
2004-12-14,27500.0,27300.0,80028.0,12.01,4510,9760,-10280
2004-12-15,27050.0,27700.0,103360.0,12.18,11961,14519,-22180
2004-12-16,27700.0,27550.0,111720.0,12.12,-2530,5620,-570
2004-12-17,27450.0,27150.0,138208.0,11.94,51932,1108,-46540
2004-12-20,27050.0,27300.0,125071.0,12.01,-32342,44832,-14960
2004-12-21,27400.0,28800.0,219181.0,12.66,-64867,59677,5440
2004-12-22,29300.0,29900.0,444830.0,13.15,-115842,50712,72680
2004-12-23,30000.0,29700.0,142030.0,13.06,-8730,31380,-990
2004-12-24,30000.0,29750.0,76538.0,13.08,-9110,9220,-170
2004-12-27,29600.0,29700.0,73349.0,13.06,-14370,5950,8490
2004-12-28,29500.0,30000.0,135580.0,13.19,-33280,35910,-1890
2004-12-29,29850.0,31450.0,225650.0,13.83,-86798,39178,28220
2004-12-30,31900.0,31800.0,184676.0,13.98,-38450,8270,40890
2005-01-03,31800.0,31200.0,61642.0,5.37,14051,5649,-14500
2005-01-04,31000.0,31800.0,146080.0,5.48,-40747,35147,-1070
2005-01-05,31200.0,31700.0,334140.0,5.46,-80690,50020,20190
2005-01-06,31200.0,29200.0,482131.0,5.03,115726,-35956,-84040
2005-01-07,28850.0,29200.0,312220.0,5.03,12330,2510,-13980
2005-01-10,29000.0,30350.0,191751.0,5.23,-73780,25790,44690
2005-01-11,29900.0,30600.0,98316.0,5.27,-18693,-2717,31610
2005-01-12,30600.0,30300.0,101090.0,5.22,1160,-1850,8950
2005-01-13,29600.0,30700.0,106340.0,5.29,-30790,30660,-4280
2005-01-14,30500.0,30900.0,92824.0,5.32,-23650,21610,1040
2005-01-17,30600.0,29600.0,312046.0,5.1,132940,-96110,-39870
2005-01-18,29650.0,29800.0,186220.0,5.13,43410,6570,-44490
2005-01-19,29850.0,28800.0,194126.0,4.96,84071,-65501,-10550
2005-01-20,28200.0,29700.0,254400.0,5.11,-17681,10371,27280
2005-01-21,30300.0,31900.0,550495.0,5.49,-180140,4880,175120
2005-01-24,32400.0,33700.0,503750.0,5.8,-184292,82412,86900
2005-01-25,34200.0,34400.0,288700.0,5.92,-150210,-31510,181150
2005-01-26,34400.0,35150.0,302620.0,6.05,-114080,-52470,180210
2005-01-27,35000.0,34350.0,172031.0,5.92,12805,-6045,-13040
2005-01-28,33900.0,35000.0,149620.0,6.03,-36580,64370,-25780
2005-01-31,36050.0,36700.0,372280.0,6.32,-98275,-155,96270
2005-02-01,37000.0,35800.0,241641.0,6.17,50139,-33919,9620
2005-02-02,35800.0,36300.0,135491.0,6.25,-37719,-6701,43500
2005-02-03,36350.0,36200.0,77368.0,6.23,-15155,-14415,31320
2005-02-04,35950.0,36900.0,117499.0,6.35,-41689,10299,22320
2005-02-07,37400.0,37100.0,115190.0,6.39,-12967,-6603,10710
2005-02-11,36700.0,37150.0,133580.0,6.4,-1090,-10270,11490
2005-02-14,37500.0,36600.0,163545.0,6.3,39570,-48090,35330
2005-02-15,36500.0,36700.0,135739.0,6.32,29950,-35950,-10820
2005-02-16,36300.0,36150.0,142741.0,6.23,10780,-64500,47270
2005-02-17,36150.0,38900.0,314054.0,6.7,-152694,19244,134580
2005-02-18,38500.0,38950.0,147336.0,6.71,-3714,-37316,33940
2005-02-21,38950.0,38350.0,153142.0,6.6,1582,-35892,24580
2005-02-22,38500.0,37000.0,138193.0,6.37,18390,-14870,2550
2005-02-23,37450.0,39100.0,233873.0,6.73,-103740,41640,37810
2005-02-24,40000.0,39600.0,154062.0,6.82,-16955,-4275,22040
2005-02-25,40200.0,39250.0,84941.0,6.76,4590,-9310,5340
2005-02-28,39250.0,39250.0,111612.0,6.76,52419,-61329,6790
2005-03-02,40950.0,39300.0,145010.0,6.77,4922,-28240,10198
2005-03-03,38800.0,38500.0,140142.0,6.63,47345,4085,-53320
2005-03-04,38800.0,38700.0,131423.0,6.66,8239,-7099,-500
2005-03-07,38400.0,37300.0,147647.0,6.42,43908,-5158,-38060
2005-03-08,38000.0,36400.0,121258.0,6.27,49420,-7580,-45880
2005-03-09,36400.0,35800.0,125220.0,6.17,46030,18100,-66660
2005-03-10,36900.0,37200.0,313490.0,6.41,77840,-100410,47140
2005-03-11,37200.0,38650.0,244439.0,6.66,-37830,-30320,60770
2005-03-14,38500.0,38650.0,116220.0,6.66,-9752,5292,2790
2005-03-15,38250.0,36950.0,146300.0,6.36,42170,-16920,-24690
2005-03-16,36050.0,35800.0,134787.0,6.17,46680,15500,-70210
2005-03-17,35150.0,34200.0,238040.0,5.89,100010,39270,-139900
2005-03-18,34000.0,33700.0,189060.0,5.8,-28010,12600,12390
2005-03-21,33100.0,34800.0,376556.0,5.99,-16646,11276,-44140
2005-03-22,34800.0,34800.0,162400.0,5.99,-18490,27100,-6170
2005-03-23,34700.0,33500.0,122340.0,5.77,8310,6760,-13650
2005-03-24,32800.0,31800.0,420362.0,5.48,96170,-38260,22820
2005-03-25,31500.0,32300.0,121875.0,5.56,-10152,16632,-7320
2005-03-28,32800.0,32450.0,108050.0,5.59,-7899,4809,-3600
2005-03-29,32000.0,31950.0,128351.0,5.5,13709,16451,-31940
2005-03-30,31400.0,32850.0,143859.0,5.66,-42843,28333,10400
2005-03-31,33250.0,33900.0,148708.0,5.84,-42400,34420,-3750
2005-04-01,34000.0,34100.0,155901.0,5.87,-8360,-21230,45080
2005-04-04,34500.0,34000.0,148518.0,5.86,9092,-49552,47500
2005-04-06,34500.0,35600.0,210236.0,6.13,-32406,-29184,47490
2005-04-07,36000.0,35600.0,283546.0,6.13,14415,-25815,170
2005-04-08,36200.0,34650.0,181160.0,5.97,24180,-29260,-1400
2005-04-11,34250.0,33700.0,135850.0,5.8,34590,-4260,-32470
2005-04-12,33600.0,32700.0,199920.0,5.63,82460,-52510,-31330
2005-04-13,32800.0,32250.0,173500.0,5.55,55370,-29670,-23700
2005-04-14,31400.0,30700.0,296135.0,5.29,156530,-53580,-104220
2005-04-15,30300.0,29750.0,192549.0,5.12,49249,-50859,4780
2005-04-18,29000.0,27700.0,244460.0,4.77,36407,17463,-39850
2005-04-19,28100.0,28900.0,294697.0,4.98,89187,-99167,-1520
2005-04-20,29150.0,28600.0,202641.0,4.93,3660,-25300,20940
2005-04-21,27800.0,29200.0,202654.0,5.03,-44740,8050,7690
2005-04-22,30000.0,29450.0,137186.0,5.07,-21450,8170,2280
2005-04-25,28750.0,29000.0,57757.0,4.99,-7320,7170,-810
2005-04-26,29800.0,30400.0,353481.0,5.24,-40030,124970,-124340
2005-04-27,30350.0,31200.0,179520.0,5.37,-47033,76373,-39000
2005-04-28,31800.0,31200.0,307552.0,5.37,-74336,-43201,118257
2005-04-29,30600.0,31000.0,132491.0,5.34,-34390,11660,19590
2005-05-02,30700.0,30500.0,69543.0,5.25,-9157,12937,-4100
2005-05-03,30300.0,29200.0,138469.0,5.03,62111,-31031,-36690
2005-05-04,29000.0,29200.0,86788.0,5.03,10640,10550,-31190
2005-05-06,29400.0,30600.0,170650.0,5.27,-31764,18104,-1030
2005-05-09,30300.0,30900.0,120435.0,5.32,8290,18380,-29940
2005-05-10,31300.0,31500.0,226604.0,5.42,-122426,94336,-6500
2005-05-11,31000.0,31600.0,76770.0,5.44,-37270,6240,23440
2005-05-12,31950.0,31550.0,37190.0,5.43,-16810,8080,9920
2005-05-13,30800.0,31400.0,82590.0,5.41,-25380,-12700,38180
2005-05-16,31200.0,31800.0,65981.0,5.48,-7938,-5162,13030
2005-05-17,32000.0,31800.0,48440.0,5.48,-10470,7780,8190
2005-05-18,31350.0,31050.0,46460.0,5.35,-11060,10690,1700
2005-05-19,31700.0,33300.0,300532.0,5.73,-115139,-13502,149191
2005-05-20,33000.0,32500.0,156752.0,5.6,-1080,220,15000
2005-05-23,32500.0,31750.0,363000.0,5.47,94680,15320,16290
2005-05-24,31950.0,31450.0,233640.0,5.42,43260,-51270,60600
2005-05-25,31750.0,31300.0,90720.0,5.39,-4740,-3830,16230
2005-05-26,31200.0,30500.0,208426.0,5.25,38587,18140,-56697
2005-05-27,30500.0,30500.0,220098.0,5.25,-5008,61558,-47130
2005-05-30,30600.0,30650.0,98010.0,5.28,28510,930,-26290
2005-05-31,30600.0,30450.0,102430.0,5.24,23130,14670,-38300
2005-06-01,30150.0,30150.0,157698.0,5.19,53940,31830,-85520
2005-06-02,30150.0,30450.0,134878.0,5.24,7433,27007,-34890
2005-06-03,30500.0,30100.0,95640.0,5.18,-850,17410,-19990
2005-06-07,30100.0,30300.0,162511.0,5.22,28022,6378,-21660
2005-06-08,30300.0,31400.0,172690.0,5.41,-70447,20617,60250
2005-06-09,31600.0,32150.0,168976.0,5.54,-65174,26374,42050
2005-06-10,32050.0,31800.0,71621.0,5.48,-5383,483,7770
2005-06-13,31950.0,30850.0,84956.0,5.31,17655,-23965,11380
2005-06-14,30500.0,30600.0,62191.0,5.27,5,-7885,6350
2005-06-15,30900.0,31000.0,69140.0,5.34,8870,-5290,-3720
2005-06-16,30500.0,29600.0,534270.0,5.1,253790,-142430,-43610
2005-06-17,29750.0,29500.0,98800.0,5.08,7520,-3760,-4790
2005-06-20,29750.0,29900.0,172570.0,5.15,-43394,-10606,54510
2005-06-21,29800.0,30000.0,168870.0,5.17,-28940,-43600,87970
2005-06-22,30000.0,30050.0,95675.0,5.18,-4030,-39540,42450
2005-06-23,30200.0,29700.0,154495.0,5.11,63890,-78970,21060
2005-06-24,29450.0,28600.0,275470.0,4.93,143140,-5890,-136470
2005-06-27,28050.0,26500.0,457495.0,4.56,258255,-50555,-148370
2005-06-28,26500.0,25400.0,749732.0,4.37,303917,12948,-297685
2005-06-29,25600.0,26350.0,427627.0,4.54,-45466,53566,-4370
2005-06-30,26150.0,26900.0,234876.0,4.63,-48696,19466,31650
2005-07-01,26800.0,27500.0,218746.0,4.74,-14294,49594,-19740
2005-07-04,27900.0,27600.0,299607.0,4.75,-5826,5726,-40740
2005-07-05,27700.0,27750.0,202913.0,4.78,-25530,-21550,50020
2005-07-06,28100.0,28200.0,133845.0,4.86,22220,-17010,-200
2005-07-07,28200.0,27550.0,180456.0,4.74,42567,-23037,-19660
2005-07-08,27550.0,27450.0,88852.0,4.73,-12920,17820,3640
2005-07-11,27600.0,27300.0,98900.0,4.7,35920,-5280,4010
2005-07-12,27650.0,27850.0,130541.0,4.8,8313,-14983,18220
2005-07-13,28000.0,28800.0,150634.0,4.96,-22190,32350,-10450
2005-07-14,29000.0,28700.0,139590.0,4.94,-25400,25250,1630
2005-07-15,28750.0,28000.0,201149.0,4.82,58518,7675,-71770
2005-07-18,28050.0,27500.0,118141.0,4.74,40687,-477,-33500
2005-07-19,27450.0,27800.0,68169.0,4.79,2330,1790,5570
2005-07-20,27800.0,28350.0,250567.0,4.88,-48920,67110,-34690
2005-07-21,28500.0,28150.0,124442.0,4.85,45460,-42110,1830
2005-07-22,28000.0,28000.0,90001.0,4.82,-2260,-1570,-630
2005-07-25,28100.0,27450.0,155528.0,4.73,55618,-9028,-46590
2005-07-26,27300.0,27350.0,140654.0,4.71,49700,-30150,-31680
2005-07-27,27350.0,27900.0,246878.0,4.8,47128,-29010,-26138
2005-07-28,27900.0,27500.0,227100.0,4.74,22311,-85430,59589
2005-07-29,27650.0,28850.0,320964.0,4.97,-87046,51556,25780
2005-08-01,28800.0,29300.0,245883.0,5.05,-91809,51239,10680
2005-08-02,29250.0,30500.0,270096.0,5.25,-76900,74050,3350
2005-08-03,31050.0,31500.0,486366.0,5.42,-157404,91754,60320
2005-08-04,31700.0,32000.0,206320.0,5.51,-74870,33660,44760
2005-08-05,31500.0,30800.0,154131.0,5.3,-31360,60120,-28650
2005-08-08,30200.0,30200.0,70950.0,5.2,21660,-11860,-9640
2005-08-09,29700.0,31200.0,143550.0,5.37,-800,16830,-23210
2005-08-10,31600.0,31100.0,189170.0,5.36,-34112,44942,-12030
2005-08-11,30900.0,31400.0,82830.0,5.41,-26130,33500,-4410
2005-08-12,31900.0,33100.0,288141.0,5.7,-49027,31017,5980
2005-08-16,33200.0,32900.0,211884.0,5.67,-3810,16930,-29390
2005-08-17,32300.0,31500.0,198476.0,5.42,70889,-3929,-59820
2005-08-18,31950.0,30850.0,134972.0,5.31,11550,-8300,-2860
2005-08-19,30600.0,30300.0,131049.0,5.22,52739,-60849,-540
2005-08-22,30100.0,31400.0,139685.0,5.41,-6229,-2811,-920
2005-08-23,31450.0,32250.0,143891.0,5.55,-27031,53351,-20460
2005-08-24,32250.0,31350.0,151551.0,5.4,50270,-27620,-23600
2005-08-25,31000.0,31550.0,114315.0,5.43,21689,9546,-33365
2005-08-26,31050.0,30950.0,156513.0,5.33,-37053,9633,29060
2005-08-29,30100.0,31250.0,122911.0,5.38,-57560,5030,49720
2005-08-30,31250.0,31250.0,100928.0,5.38,-24004,26029,7835
2005-08-31,31500.0,33150.0,470058.0,5.71,-242293,47313,200830
2005-09-01,33350.0,33750.0,233305.0,5.81,-87932,39462,45040
2005-09-02,34750.0,34100.0,417611.0,5.87,-20419,-123741,141240
2005-09-05,34300.0,35200.0,257965.0,6.06,-106575,45875,58410
2005-09-06,35600.0,35100.0,266333.0,6.04,-78675,43545,48980
2005-09-07,35850.0,35800.0,319306.0,6.17,56674,-51014,2970
2005-09-08,36100.0,34800.0,216133.0,5.99,-30160,39460,-90
2005-09-09,34550.0,33750.0,258965.0,5.81,81341,5679,-118210
2005-09-12,33700.0,33550.0,268548.0,5.78,109115,-57395,-52540
2005-09-13,33800.0,33000.0,150753.0,5.68,41577,-43921,5920
2005-09-14,33050.0,34300.0,187172.0,5.91,35232,-34122,4180
2005-09-15,34000.0,34350.0,177740.0,5.92,4402,-2332,-2360
2005-09-16,34250.0,33600.0,127716.0,5.79,35761,-19351,-5680
2005-09-20,34000.0,34600.0,312832.0,5.96,100645,-39535,-52970
2005-09-21,35000.0,33950.0,332112.0,5.85,28672,-30652,14170
2005-09-22,33750.0,34150.0,264738.0,5.88,20779,-8759,-12980
2005-09-23,34450.0,32800.0,429274.0,5.65,29380,-10880,-14430
2005-09-26,32400.0,32800.0,356920.0,5.65,118040,18800,-154510
2005-09-27,32950.0,33000.0,126871.0,5.68,-19840,2730,17090
2005-09-28,33000.0,33600.0,293595.0,5.79,-34123,18343,16550
2005-09-29,34400.0,36250.0,862016.0,6.24,-267020,3520,263420
2005-09-30,36300.0,35050.0,358829.0,6.04,27947,-10927,-17500
2005-10-04,36900.0,36200.0,451187.0,6.23,-36633,-152507,186880
2005-10-05,36500.0,36800.0,445751.0,6.34,-53436,-131584,228820
2005-10-06,36500.0,36250.0,322386.0,6.24,10341,-12941,39370
2005-10-07,36600.0,37350.0,352767.0,6.43,-104134,-7366,132430
2005-10-10,37400.0,37850.0,213619.0,6.52,-78670,5850,94490
2005-10-11,37850.0,38450.0,163709.0,6.62,-19457,-1183,21800
2005-10-12,38450.0,38000.0,156971.0,6.54,-56740,-29990,95180
2005-10-13,38000.0,37000.0,164107.0,6.37,19987,-29357,14100
2005-10-14,37100.0,36800.0,113897.0,6.34,3402,5118,-5250
2005-10-17,36800.0,36000.0,123657.0,6.2,-36800,8660,27280
2005-10-18,36300.0,37500.0,122720.0,6.46,-16340,29480,-14380
2005-10-19,37000.0,36900.0,112321.0,6.35,26600,12720,-41120
2005-10-20,37200.0,35000.0,274940.0,6.03,123610,25890,-138960
2005-10-21,34000.0,35500.0,172100.0,6.11,-51590,71490,-44110
2005-10-24,35000.0,35500.0,251370.0,6.11,-7946,-11775,6031
2005-10-25,36200.0,36150.0,149050.0,6.23,8835,5895,-16170
2005-10-26,36350.0,35950.0,75251.0,6.19,-14780,14950,-600
2005-10-27,35700.0,35450.0,98799.0,6.11,-9180,-5620,15910
2005-10-28,35300.0,34300.0,96114.0,5.91,25024,-33524,10520
2005-10-31,34750.0,35600.0,78641.0,6.13,-23740,8820,16140
2005-11-01,35700.0,36000.0,59187.0,6.2,-14677,5317,7260
2005-11-02,36800.0,36800.0,131842.0,6.34,-19082,-27008,45110
2005-11-03,36850.0,37200.0,88981.0,6.41,-19487,7247,16430
2005-11-04,37100.0,37000.0,76625.0,6.37,-34435,25825,7260
2005-11-07,37000.0,36400.0,109273.0,6.27,21178,29972,-47380
2005-11-08,36400.0,36150.0,66450.0,6.23,2900,27910,-33190
2005-11-09,36450.0,37000.0,173513.0,6.37,-39670,29290,8150
2005-11-10,37100.0,37300.0,70701.0,6.42,-15004,4714,5000
2005-11-11,37350.0,37350.0,73909.0,6.43,-16870,8680,4610
2005-11-14,38100.0,37800.0,132661.0,6.51,-34053,-12807,45060
2005-11-15,37600.0,37050.0,96226.0,6.38,8810,-21950,12830
2005-11-16,37300.0,37050.0,155791.0,6.38,47981,-49281,180
2005-11-17,36750.0,36050.0,149178.0,6.21,72290,-42690,-32970
2005-11-18,36100.0,35450.0,146752.0,6.11,36380,3640,-34290
2005-11-21,35500.0,34500.0,257613.0,5.94,129944,-41464,-90530
2005-11-22,34700.0,34650.0,137615.0,5.97,55003,-59583,10330
2005-11-23,34950.0,34700.0,204117.0,5.98,53574,-49654,21650
2005-11-24,35500.0,36000.0,275150.0,6.2,-58773,-26487,115890
2005-11-25,35950.0,35600.0,82490.0,6.13,-10925,8415,3030
2005-11-28,35850.0,36000.0,128338.0,6.2,-14404,-23366,23940
2005-11-29,36400.0,37950.0,371415.0,6.54,-112690,28320,87240
2005-11-30,38350.0,38600.0,206850.0,6.65,-69935,45265,32180
2005-12-01,39500.0,43000.0,789341.0,7.41,-371783,106643,244840
2005-12-02,44600.0,42500.0,269181.0,7.32,-32513,19513,-7560
2005-12-05,42850.0,43600.0,138371.0,7.51,-25659,22259,-12070
2005-12-06,43000.0,44750.0,189316.0,7.71,-67937,74847,-5640
2005-12-07,44300.0,44500.0,116580.0,7.66,-34937,-1183,35020
2005-12-08,42900.0,45350.0,178353.0,7.81,-23849,23209,12480
2005-12-09,45300.0,48000.0,180002.0,8.27,-73369,17466,64550
2005-12-12,47500.0,50000.0,180380.0,8.61,-53987,10977,45320
2005-12-13,49600.0,50000.0,147000.0,8.61,-11240,-11870,19110
2005-12-14,50000.0,49300.0,101910.0,8.49,11860,4910,-16390
2005-12-15,48500.0,47600.0,124866.0,8.2,1464,9646,-10600
2005-12-16,46250.0,46000.0,100418.0,7.92,18128,10852,-29940
2005-12-19,46000.0,47400.0,58206.0,8.16,-1271,14691,-12690
2005-12-20,46500.0,47600.0,56599.0,8.2,-10622,8022,750
2005-12-21,47650.0,48450.0,109411.0,8.34,-16110,-6510,24920
2005-12-22,48200.0,47000.0,49315.0,8.09,-6424,5494,1290
2005-12-23,48500.0,48500.0,116906.0,8.35,-2496,3356,720
2005-12-26,49150.0,48900.0,37923.0,8.42,-900,4770,-3000
2005-12-27,49150.0,49500.0,92720.0,8.52,-21071,914,-450
2005-12-28,49500.0,49500.0,31232.0,8.52,-1843,-267,2640
2005-12-29,49150.0,51000.0,70601.0,8.78,-32360,6110,29320
2006-01-02,51000.0,50200.0,59717.0,13.97,16305,-34345,17210
2006-01-03,50000.0,49900.0,81500.0,13.89,22756,-38266,16260
2006-01-04,50600.0,49000.0,76522.0,13.64,8802,-17762,11220
2006-01-05,49700.0,48900.0,109144.0,13.61,-6937,-17024,34510
2006-01-06,48800.0,50500.0,98030.0,14.06,-11170,11170,-2440
2006-01-09,49700.0,49100.0,66100.0,13.67,15818,-7218,-11440
2006-01-10,49150.0,50000.0,118880.0,13.92,-19224,-31866,50450
2006-01-11,50500.0,54000.0,336861.0,15.03,13116,-25356,5520
2006-01-12,55200.0,56400.0,230686.0,15.7,-37477,15617,26150
2006-01-13,56700.0,55100.0,185853.0,15.34,20693,26807,-48360
2006-01-16,55100.0,59900.0,158415.0,16.67,-45047,5387,50120
2006-01-17,59000.0,56000.0,134187.0,15.59,41878,-32142,-7060
2006-01-18,55600.0,55500.0,147654.0,15.45,6920,6690,-5530
2006-01-19,55600.0,55700.0,125172.0,15.5,3292,7928,-9910
2006-01-20,56100.0,54100.0,125270.0,15.06,19290,-19040,-2530
2006-01-23,53800.0,53500.0,117910.0,14.89,-7390,31490,-35530
2006-01-24,53500.0,52000.0,178051.0,14.47,56095,-41640,-15680
2006-01-25,52000.0,52500.0,230925.0,14.61,47320,-58090,13680
2006-01-26,52900.0,55500.0,204439.0,15.45,440,-19640,22960
2006-01-27,56500.0,57600.0,165152.0,16.03,-40870,11730,28530
2006-01-31,58800.0,58200.0,116851.0,16.2,4101,24889,-26190
2006-02-01,57300.0,61500.0,434744.0,17.12,-97227,-21093,131330
2006-02-02,62600.0,62500.0,305238.0,17.4,-5840,-81060,87480
2006-02-03,62500.0,63000.0,86401.0,17.54,-8750,-9860,14770
2006-02-06,62000.0,63200.0,192386.0,17.59,10003,-6163,-3400
2006-02-07,63600.0,64400.0,253120.0,17.93,-9434,15364,-12590
2006-02-08,64000.0,58500.0,261672.0,16.28,31697,12113,-31780
2006-02-09,60200.0,61200.0,166595.0,17.03,-24487,-7423,42240
2006-02-10,60100.0,60100.0,97041.0,16.73,408,12,-30
2006-02-13,59300.0,57600.0,329025.0,16.03,31777,-58757,36600
2006-02-14,56700.0,58000.0,180322.0,16.14,-950,3090,-6830
2006-02-15,58700.0,57000.0,139976.0,15.87,975,-19325,17030
2006-02-16,56000.0,57800.0,164032.0,16.09,-33200,9120,22930
2006-02-17,58800.0,59000.0,83642.0,16.42,-22250,-11050,33980
2006-02-20,59200.0,61900.0,72874.0,17.23,-25444,27694,-3180
2006-02-21,61900.0,61400.0,77925.0,17.09,4354,-1674,-16570
2006-02-22,61000.0,60300.0,113760.0,16.78,22000,-6030,-14210
2006-02-23,60600.0,61100.0,70907.0,17.01,-18084,20924,-4630
2006-02-24,61800.0,61400.0,63380.0,17.09,-14160,8260,6170
2006-02-27,63400.0,67000.0,318609.0,18.65,-53632,-54418,108770
2006-02-28,67000.0,68200.0,151489.0,18.98,-49254,-35176,87860
2006-03-02,69900.0,70400.0,193803.0,19.6,-27427,-32293,75120
2006-03-03,70000.0,66600.0,137159.0,18.54,13597,-2287,-9060
2006-03-06,66100.0,69500.0,110160.0,19.34,-4769,-26651,34760
2006-03-07,68900.0,68000.0,137055.0,18.93,-3260,-14920,21220
2006-03-08,66000.0,66000.0,188350.0,18.37,23040,5530,-16100
2006-03-09,66100.0,66000.0,108682.0,18.37,34421,-3291,-11810
2006-03-10,65900.0,66900.0,84990.0,18.62,-4635,-17105,19400
