Symbol,유한양행_시가(원),유한양행_종가(원),유한양행_거래량(주),유한양행_PER(IFRS-연결),유한양행_순매수수량(개인)(주),유한양행_순매수수량(기관계)(주),유한양행_순매수수량(외국인계)(주)
2000-01-04,32100,35000,77320,5.44,6840,-15180,-240
2000-01-05,34500,34350,125130,5.34,-10790,19960,1230
2000-01-06,34300,32100,51080,4.99,-13940,13960,0
2000-01-07,31000,33600,86060,5.22,7460,-8260,800
2000-01-10,35000,33850,107660,5.26,-6370,4400,1830
2000-01-11,34000,34100,68200,5.3,-6520,5840,560
2000-01-12,34000,33300,44070,5.18,1600,-1620,0
2000-01-13,33300,32700,40920,5.08,-13830,16050,-1140
2000-01-14,33000,32700,59980,5.08,9300,17410,-26710
2000-01-17,31700,33000,48220,5.13,-1610,17970,-16360
2000-01-18,33000,32950,19900,5.12,-310,250,60
2000-01-19,32100,31000,31410,4.82,9730,-8450,-690
2000-01-20,30000,30500,33840,4.74,650,-2160,1010
2000-01-21,30500,30500,57490,4.74,26960,-21210,-510
2000-01-24,29500,29500,56820,4.59,16840,-21990,150
2000-01-25,28500,28300,121520,4.4,65220,-69270,0
2000-01-26,28450,28600,42620,4.45,-11990,9540,0
2000-01-27,28700,29600,98960,4.6,-6570,6610,300
2000-01-28,30150,30900,55990,4.8,-35530,5770,-150
2000-01-31,30000,30200,32600,4.69,-1110,740,0
2000-02-01,31300,30700,45510,4.77,10450,-10410,-40
2000-02-02,31300,31800,39150,4.94,-11410,11270,0
2000-02-03,31800,32000,32530,4.97,-15070,6890,0
2000-02-07,32000,31700,46550,4.93,5660,-8750,-1080
2000-02-08,31700,31200,39010,4.85,-2100,2100,0
2000-02-09,31500,31450,85810,4.89,5090,-8920,0
2000-02-10,31000,30650,59390,4.76,13800,-12730,-1070
2000-02-11,29500,32000,104370,4.97,-8260,1250,0
2000-02-14,31500,31600,53340,4.91,-24470,24170,300
2000-02-15,31600,30500,61580,4.74,-12280,5370,310
2000-02-16,29600,30500,33560,4.74,-8390,8330,100
2000-02-17,30700,33500,310120,5.21,19840,-31000,-140
2000-02-18,35000,37500,569080,5.83,82440,-55150,2500
2000-02-21,37000,36400,233560,5.66,-59530,44850,4000
2000-02-22,36700,35200,164890,5.47,-43010,23460,-4330
2000-02-23,33100,34800,131070,5.41,9650,-9480,-160
2000-02-24,34000,34500,88370,5.36,-5900,600,3000
2000-02-25,34000,34900,157190,5.43,-9910,11900,0
2000-02-28,34900,34500,102470,5.36,-39540,26420,120
2000-02-29,35400,35900,165820,5.58,5060,-32400,910
2000-03-02,36250,40200,290340,6.25,-42560,7070,-210
2000-03-03,39100,39200,153980,6.09,-29570,57280,-360
2000-03-06,39800,40400,121430,6.28,-28100,30700,-5400
2000-03-07,40200,40100,78050,6.23,-21780,28840,2860
2000-03-08,39500,39550,63540,6.15,-28610,25170,940
2000-03-09,40400,40000,139830,6.22,-25240,36120,-35670
2000-03-10,40300,39500,62240,6.14,-22930,12930,0
2000-03-13,38200,39000,42360,6.06,-14330,17090,-1520
2000-03-14,39300,37800,31040,5.88,-12240,12380,-140
2000-03-15,36500,37700,52720,5.86,-25850,20420,-490
2000-03-16,38100,36600,60140,5.69,-3490,2670,700
2000-03-17,36600,35650,47050,5.54,-8470,8870,840
2000-03-20,35900,35000,38000,5.44,5630,-6110,420
2000-03-21,34500,34500,59270,5.36,-1610,-3060,0
2000-03-22,34100,34400,31200,5.35,8290,-8320,0
2000-03-23,35000,33500,48430,5.21,14130,-13590,-420
2000-03-24,34000,35300,42110,5.49,-12210,6830,0
2000-03-27,35000,35000,36250,5.44,-5320,2380,0
2000-03-28,35000,34700,21650,5.39,4190,-7220,420
2000-03-29,34750,34700,46600,5.39,-1240,-19550,0
2000-03-30,34700,34000,27190,5.29,5890,-10130,0
2000-03-31,34000,34000,17490,5.29,-10890,10200,690
2000-04-03,34900,33000,23220,5.13,-6620,6640,0
2000-04-04,31700,33000,48430,5.13,-22070,21650,0
2000-04-06,33000,32500,17890,5.05,-1350,890,460
2000-04-07,32950,32500,139100,5.05,36250,-36480,230
2000-04-10,32500,32700,66660,5.08,18890,-18410,0
2000-04-11,32700,31250,23740,4.86,-4580,4580,0
2000-04-12,31300,31200,27430,4.85,-3970,-1710,0
2000-04-14,30600,30500,23920,4.74,2690,-2650,0
2000-04-17,28000,27800,40080,4.32,-19250,21310,1590
2000-04-18,28800,28000,44360,4.35,27050,-20800,20
2000-04-19,29000,29000,39930,4.51,8530,-6610,-1140
2000-04-20,28950,29200,21200,4.54,690,-2470,0
2000-04-21,29200,29900,49400,4.65,-2920,9030,-100
2000-04-24,30300,30300,28600,4.71,1990,-2930,1000
2000-04-25,29700,29500,15890,4.59,-4020,4020,0
2000-04-26,29500,28900,23670,4.49,-3260,-4240,70
2000-04-27,28500,28500,19200,4.43,-2640,2500,140
2000-04-28,28500,28900,20340,4.49,-5270,5360,-40
2000-05-02,28400,29800,26360,4.63,1410,1260,-290
2000-05-03,30000,29800,39860,4.63,3810,-3210,-600
2000-05-04,30000,33500,201690,5.21,49260,-33700,-1180
2000-05-08,33800,31100,93700,4.83,-5580,6660,-1100
2000-05-09,31200,30500,52730,4.74,-3190,3790,-600
2000-05-10,29900,30700,25080,4.77,-7150,9540,-2390
2000-05-12,30100,30500,28000,4.74,-4180,3390,790
2000-05-15,30250,30000,29690,4.66,1550,-1220,-330
2000-05-16,30900,30500,41130,4.74,-7300,9400,-100
2000-05-17,30500,29000,27970,4.51,2130,-3860,-270
2000-05-18,28000,28400,22510,4.41,-6950,6910,80
2000-05-19,28800,27800,21520,4.32,2000,-2000,0
2000-05-22,27300,24700,41540,3.84,17460,-3810,-13650
2000-05-23,24700,24700,28270,3.84,-3520,5940,990
2000-05-24,24850,24500,40760,3.81,650,-9790,12150
2000-05-25,25800,26300,155920,4.09,10810,-113510,20260
2000-05-26,26300,26700,67940,4.15,-17410,-5020,22430
2000-05-29,25700,27000,42690,4.2,-4340,-3350,17710
2000-05-30,27200,27700,69420,4.31,7690,-19430,19660
2000-05-31,27800,29800,68870,4.63,-9720,1740,7980
2000-06-01,30000,29950,27030,4.66,-6640,-3360,10000
2000-06-02,30200,29500,71550,4.59,12980,-26480,13500
2000-06-05,29500,31400,79800,4.88,11370,-11060,2670
2000-06-07,32000,32200,84120,5.01,-3660,3770,-110
2000-06-08,32400,30000,53490,4.66,8380,-10040,1680
2000-06-09,30800,30100,43930,4.68,4790,-4820,10
2000-06-12,31000,33000,279800,5.13,93240,-69360,-560
2000-06-13,33000,31000,99090,4.82,-13930,9960,50
2000-06-14,31500,31600,43010,4.91,-13400,13400,0
2000-06-15,31800,30350,38870,4.72,-14350,13780,300
2000-06-16,28700,29700,36460,4.62,1540,-1840,60
2000-06-19,28100,31000,36520,4.82,-18940,21940,0
2000-06-20,32100,31400,24570,4.88,-7140,7140,0
2000-06-21,30800,31900,48800,4.96,-17250,14540,-30
2000-06-22,32900,32400,69110,5.04,-1590,1890,-300
2000-06-23,31100,32200,141850,5.01,-3090,2210,-80
2000-06-26,32500,33800,86760,5.25,-22760,12670,30
2000-06-27,33800,33800,80970,5.25,-3550,2320,0
2000-06-28,33600,34700,61330,5.39,10660,-2630,30
2000-06-29,35500,34100,32220,5.3,1770,-2180,-50
2000-06-30,34500,35000,54570,5.44,-1900,3690,0
2000-07-03,34100,35300,45030,5.49,14650,-13200,0
2000-07-04,36250,35800,32280,5.57,2520,-2590,0
2000-07-05,35800,35800,34740,5.57,-4710,4710,0
2000-07-06,35900,37400,127070,5.81,-1280,5990,4500
2000-07-07,38000,38000,74030,5.91,5380,-14520,10060
2000-07-10,39000,38000,72220,5.91,8010,-10690,2690
2000-07-11,38000,37300,52480,5.8,-13310,10570,2980
2000-07-12,37300,37800,99520,5.88,21550,-21880,-480
2000-07-13,37800,37150,46250,5.78,4780,-4850,830
2000-07-14,36500,36300,53610,5.64,-1050,-3920,5000
2000-07-18,35200,35100,34310,5.46,-8660,8390,0
2000-07-19,34300,34700,27270,5.39,-13780,11960,710
2000-07-20,34500,34700,56270,5.39,1930,-3550,370
2000-07-21,34500,35100,24940,5.46,1450,2380,20
2000-07-24,35100,35100,30300,5.46,-7050,9040,170
2000-07-25,35900,36050,101550,5.6,50920,-4760,790
2000-07-26,36000,38500,147950,5.99,36320,-28850,3500
2000-07-27,38700,38450,72840,5.98,-1590,930,0
2000-07-28,37700,38000,85000,5.91,-8420,-670,8670
2000-07-31,37800,37800,53970,5.88,-13100,7320,390
2000-08-01,37500,39000,54830,6.06,-6070,-9150,3680
2000-08-02,40100,41500,138780,6.45,-13330,36810,2810
2000-08-03,43600,40500,156330,6.3,45700,-40220,4910
2000-08-04,40900,39700,68330,6.17,8540,-8410,-10
2000-08-07,38700,41500,60470,6.45,-3390,-2110,0
2000-08-08,40800,42200,57500,6.56,-16260,10650,5060
2000-08-09,43000,43500,90970,6.76,11730,-12850,1090
2000-08-10,42600,45900,72170,7.14,-5190,-2890,8210
2000-08-11,45900,45500,48090,7.07,5860,-7340,1520
2000-08-14,46700,44500,98900,6.92,47230,-34960,-12450
2000-08-16,43650,43500,64880,6.76,-7460,5620,1550
2000-08-17,42650,43100,48700,6.7,-15800,9750,6050
2000-08-18,42100,41500,89420,6.45,-9090,8770,10
2000-08-21,41000,41550,49730,6.46,-7350,7370,-20
2000-08-22,41700,41400,60590,6.44,20450,-7880,-12840
2000-08-23,41500,40600,98080,6.31,24870,-14580,-9970
2000-08-24,40700,40500,70650,6.3,-24590,34420,190
2000-08-25,40100,42300,80240,6.58,-20390,37380,-16010
2000-08-28,42300,41500,37930,6.45,-1810,3560,940
2000-08-29,41500,41250,38530,6.41,-11780,11060,170
2000-08-30,41250,41200,35650,6.4,-5860,1520,4460
2000-08-31,41800,40500,32010,6.3,-6990,3270,4000
2000-09-01,41100,41200,24440,6.4,-8130,8790,2500
2000-09-04,41500,43100,66280,6.7,810,-2740,1680
2000-09-05,42900,42150,56960,6.55,-1000,12150,-10430
2000-09-06,42150,42500,42620,6.61,-10980,9780,-4840
2000-09-07,42500,42000,61930,6.53,13080,-11860,-4600
2000-09-08,41200,42200,26330,6.56,-3850,4830,-680
2000-09-14,41500,42800,32650,6.65,5460,-2620,-2050
2000-09-15,41500,41500,38890,6.45,-540,1960,-1420
2000-09-18,41000,37400,43680,5.81,-1820,1080,130
2000-09-19,35500,35800,45630,5.57,13990,-13890,-10
2000-09-20,37000,36800,40800,5.72,690,490,-60
2000-09-21,37300,37200,27490,5.78,-6140,6110,330
2000-09-22,37200,34100,28580,5.3,1260,-840,-420
2000-09-25,36500,36650,29370,5.7,40,160,0
2000-09-26,37000,39500,50320,6.14,-13260,13940,-840
2000-09-27,40100,41500,138630,6.45,46440,-39970,-3000
2000-09-28,42000,43400,172540,6.75,58770,-61840,0
2000-09-29,45800,47000,213840,7.31,49530,-55850,-500
2000-10-02,49500,44600,476060,6.93,41090,-34120,-980
2000-10-04,46500,44500,485990,6.92,85680,-62290,10
2000-10-05,44000,43100,232500,6.7,-52860,51160,10
2000-10-06,44000,43100,173920,6.7,-10730,10740,0
2000-10-09,42100,40900,161030,6.36,1610,-2260,-20
2000-10-10,41400,42200,151020,6.56,2150,-2230,0
2000-10-11,41500,39000,114540,6.06,-9550,9920,0
2000-10-12,37200,37700,101830,5.86,-37900,26100,-1200
2000-10-13,35700,35000,126260,5.44,-6480,8460,10
2000-10-16,36000,37200,148730,5.78,18450,-17450,0
2000-10-17,37500,35000,79870,5.44,-5480,11300,-2000
2000-10-18,35200,34200,71950,5.32,-22130,12270,100
2000-10-19,32600,34000,61220,5.29,-16360,24380,-100
2000-10-20,34200,34650,62130,5.39,1520,-1420,390
2000-10-23,35000,33900,59770,5.27,-5170,15980,-50
2000-10-24,35050,35350,116760,5.5,-3350,3320,40
2000-10-25,35050,36000,108430,5.6,-13880,21410,-40
2000-10-26,36000,36100,76410,5.61,-10780,10470,-10
2000-10-27,36000,35800,74790,5.57,-25270,26760,360
2000-10-30,35800,34800,41530,5.41,-15810,15950,0
2000-10-31,33500,35400,74790,5.5,3350,-3540,50
2000-11-01,35000,37000,107610,5.75,-41280,35960,5080
2000-11-02,36300,36400,64080,5.66,-10940,12200,-1260
2000-11-03,36000,37350,104540,5.81,2800,-1300,-50
2000-11-06,37500,36700,60910,5.71,-14680,17010,-2690
2000-11-07,37500,36200,71670,5.63,10300,-5140,0
2000-11-08,36350,35500,88830,5.52,-4220,5250,100
2000-11-09,35500,35800,61110,5.57,-15220,24170,-1280
2000-11-10,36000,37000,86480,5.75,-30290,22240,0
2000-11-13,36500,36100,24960,5.61,-640,700,0
2000-11-14,35750,37000,101310,5.75,-12480,12480,0
2000-11-15,37200,37000,63320,5.75,-20040,21710,-1170
2000-11-16,37000,38150,63970,5.93,-11920,11450,660
2000-11-17,38200,38000,49360,5.91,-7520,1030,30
2000-11-20,38050,37600,24150,5.85,-11280,15290,-10
2000-11-21,37000,37650,105680,5.85,23710,-15150,2050
2000-11-22,37850,38800,242940,6.03,36980,-31410,-600
2000-11-23,38750,37150,71840,5.78,-37210,34710,2500
2000-11-24,38900,37850,29110,5.88,-4590,4530,20
2000-11-27,37200,38200,63480,5.94,10670,-5710,0
2000-11-28,38800,38200,65080,5.94,2420,-380,-500
2000-11-29,38000,37800,46860,5.88,-22700,21760,980
2000-11-30,37900,37400,49550,5.81,-15240,9300,6940
2000-12-01,37000,37950,143650,5.9,-46680,7270,36330
2000-12-04,37950,37500,65230,5.83,2580,-3620,1040
2000-12-05,37400,38000,64720,5.91,-550,5550,0
2000-12-06,38000,37800,75250,5.88,-5090,7430,620
2000-12-07,38000,37500,28900,5.83,-2030,3210,0
2000-12-08,37500,38900,106690,6.05,16580,-21640,0
2000-12-11,38950,39500,113580,6.14,14030,-25570,60
2000-12-12,39450,39300,53050,6.11,-26290,25000,620
2000-12-13,38900,40050,192270,6.23,28760,-32720,680
2000-12-14,40050,39900,182210,6.2,25280,-33440,2860
2000-12-15,39900,39300,77400,6.11,-33440,33890,-450
2000-12-18,38800,39800,66080,6.19,-20230,19670,560
2000-12-19,39000,38900,82300,6.05,-8060,520,-150
2000-12-20,38550,39000,70880,6.06,-22250,21160,-30
2000-12-21,38500,39000,92290,6.06,-8250,8520,-30
2000-12-22,38950,39400,54940,6.12,-21060,7530,0
2000-12-26,39350,40000,93590,6.22,-11920,-3790,0
2001-01-02,38500,37500,45660,6.84,14770,-22290,5000
2001-01-03,37400,37500,26650,6.84,-2080,860,-340
2001-01-04,38500,38100,93350,6.94,7860,-10520,120
2001-01-05,37900,37400,64290,6.82,-1980,530,270
2001-01-08,37300,36650,72840,6.68,25040,-32360,20
2001-01-09,36700,37100,57940,6.76,-2650,2630,0
2001-01-10,37400,37000,63480,6.74,-20750,16940,0
2001-01-11,36500,36600,72030,6.67,-800,710,230
2001-01-12,37000,36850,59040,6.72,5030,3250,610
2001-01-15,36850,36850,75760,6.72,6130,-6450,-10
2001-01-16,36900,36400,88920,6.64,9340,-9330,-10
2001-01-17,36400,37000,276110,6.74,82360,-60750,4700
2001-01-18,37500,36800,91260,6.71,-16270,16090,0
2001-01-19,36400,36800,100130,6.71,1840,-1310,30
2001-01-22,36000,36900,66950,6.73,-6090,6090,0
2001-01-26,37100,36900,51260,6.73,-15580,17350,0
2001-01-29,36500,36900,52870,6.73,-15520,17470,0
2001-01-30,36900,37800,106570,6.89,-15960,19500,-10
2001-01-31,38100,39500,173850,7.2,-12470,12700,0
2001-02-01,39150,39500,84360,7.2,-22820,25560,40
2001-02-02,39700,39450,50500,7.19,-15290,15370,0
2001-02-05,39050,39200,61330,7.15,-22710,23750,0
2001-02-06,39200,39800,111860,7.25,-6680,8140,0
2001-02-07,39200,39500,29300,7.2,-12280,12480,0
2001-02-08,39100,39500,23140,7.2,-2450,2140,230
2001-02-09,39050,39900,24270,7.27,-3990,3950,0
2001-02-12,39900,40100,139480,7.31,11300,-11090,-90
2001-02-13,40200,39400,32020,7.18,-5480,-90,5530
2001-02-14,39000,39500,36610,7.2,-8190,7810,200
2001-02-15,39200,39200,41020,7.15,-4120,3880,0
2001-02-16,38500,38900,33240,7.09,1430,-6390,5000
2001-02-19,38400,39200,60570,7.15,-11320,11880,-140
2001-02-20,38800,39200,67960,7.15,-9060,28720,240
2001-02-21,39200,39400,56560,7.18,-4170,4290,-240
2001-02-22,39500,38550,29830,7.03,220,2430,260
2001-02-23,38700,39000,58860,7.11,-4960,4050,940
2001-02-26,39000,40000,52830,7.29,-13510,12780,260
2001-02-27,40200,40000,72710,7.29,-1980,-7980,10000
2001-02-28,40000,40400,34090,7.36,-14440,16810,-280
2001-03-02,40600,41000,148880,7.47,24940,-27040,3030
2001-03-05,41500,41100,57820,7.49,-1270,880,10
2001-03-06,41500,40400,43870,7.36,-12050,11010,0
2001-03-07,40300,40000,42640,7.29,1810,-180,-370
2001-03-08,40000,40200,96470,7.33,10,-2640,-8770
2001-03-09,40400,40100,54990,7.31,1790,-10080,9400
2001-03-12,39500,39500,37360,7.2,-17250,17160,-280
2001-03-13,38000,39900,78050,7.27,-17660,17620,0
2001-03-14,39800,40900,104740,7.46,8660,-7610,0
2001-03-15,39600,40500,43680,7.38,-18950,18680,-250
2001-03-16,40500,40250,28180,7.34,-11090,9160,0
2001-03-19,39500,40000,26520,7.29,-8350,4360,0
2001-03-20,40000,40000,102030,7.29,3070,-8230,0
2001-03-21,40000,40350,26740,7.35,-13210,8580,3290
2001-03-22,40000,40000,34350,7.29,-10470,2120,13010
2001-03-23,40100,40000,59380,7.29,6910,-22750,16930
2001-03-26,40000,40200,36860,7.33,-680,-4420,1820
2001-03-27,40300,39900,46860,7.27,-5420,-17560,13770
2001-03-28,40200,40600,77050,7.4,6750,-6130,0
2001-03-29,41000,40600,55900,7.4,5030,-4820,0
2001-03-30,40400,40600,29070,7.4,-8590,8230,0
2001-04-02,40050,39500,32400,7.2,5860,-11860,0
2001-04-03,39000,38300,39810,6.98,-15980,10860,-1200
2001-04-04,38000,37300,31020,6.8,-2200,10700,-8690
2001-04-06,38500,37600,58250,6.85,8250,6470,-50
2001-04-09,36500,37450,8260,6.83,-900,1000,0
2001-04-10,37500,36300,13840,6.62,5730,-380,-5790
2001-04-11,36800,36800,38360,6.71,13000,-3540,-7610
2001-04-12,37000,37000,31580,6.74,5280,-11120,-90
2001-04-13,37000,37300,57970,6.8,4270,4250,-210
2001-04-16,37050,37450,17460,6.83,2580,-3030,0
2001-04-17,37450,37400,13320,6.82,-2230,2230,0
2001-04-18,37700,38000,37750,6.93,890,-2890,1410
2001-04-19,37600,37800,91610,6.89,24460,-16300,-6000
2001-04-20,37600,37950,26060,6.92,-8740,7840,0
2001-04-23,38200,37500,26960,6.84,-8790,6890,360
2001-04-24,37500,37000,55480,6.74,4470,-8290,-260
2001-04-25,36500,36950,19630,6.74,-910,-1060,200
2001-04-26,36950,37000,117840,6.74,12010,-16710,0
2001-04-27,37000,37300,36860,6.8,-12010,11690,520
2001-04-30,37600,37700,66260,6.87,-15280,-20,15000
2001-05-02,38200,37700,75480,6.87,12420,-11910,200
2001-05-03,37400,38000,33350,6.93,-4060,-5570,10300
2001-05-04,38000,39200,110720,7.15,5140,-35870,9500
2001-05-07,38600,39200,19500,7.15,-3790,2360,40
2001-05-08,39400,39600,82400,7.22,-1990,1080,0
2001-05-09,39600,39600,118030,7.22,9500,-14120,-3010
2001-05-10,40000,40900,232920,7.46,4300,-22440,22000
2001-05-11,40900,42000,156480,7.66,-11310,10530,-1000
2001-05-14,42050,41500,36280,7.56,-9550,9970,0
2001-05-15,41500,40750,48760,7.43,1820,-7770,0
2001-05-16,41950,41500,76400,7.56,4410,-4880,2000
2001-05-17,42950,43200,47750,7.87,-7930,-2530,1500
2001-05-18,43300,43000,60780,7.84,10190,-9610,0
2001-05-21,43200,43800,56940,7.98,-3280,3070,0
2001-05-22,44500,43600,26910,7.95,-1240,-2480,5000
2001-05-23,43200,43500,88140,7.93,2970,-2700,230
2001-05-24,43400,43500,35510,7.93,-16400,13260,2500
2001-05-25,43500,43500,47180,7.93,-6420,5490,0
2001-05-28,43400.0,43300.0,20080.0,7.89,-9970,9630,0
2001-05-29,43200.0,43900.0,58160.0,8.0,-2220,-1240,2000
2001-05-30,44400.0,46000.0,133330.0,8.38,-12970,16460,120
2001-05-31,45100.0,46400.0,73630.0,8.46,-15700,15910,-320
2001-06-01,45600.0,45300.0,32700.0,8.26,-8300,7770,430
2001-06-04,45300.0,45200.0,13650.0,8.24,-5220,2870,290
2001-06-05,45300.0,45000.0,27660.0,8.2,-14740,11660,420
2001-06-07,44350.0,44950.0,14140.0,8.19,-6740,6520,0
2001-06-08,45500.0,46700.0,61890.0,8.51,-620,-16000,14810
2001-06-11,46500.0,47450.0,58240.0,8.65,11620,-37350,25900
2001-06-12,48000.0,48100.0,84700.0,8.77,-3810,-20530,35480
2001-06-13,48150.0,50500.0,109780.0,9.21,9700,-7980,110
2001-06-14,58000.0,58000.0,550830.0,10.57,95430,-154780,66060
2001-06-15,58000.0,57200.0,426580.0,10.43,11970,-37870,34490
2001-06-18,56800.0,56000.0,115180.0,10.21,-2420,1810,-130
2001-06-19,55100.0,55900.0,66150.0,10.19,-10050,8260,40
2001-06-20,55100.0,54600.0,96210.0,9.95,-8190,22310,-14500
2001-06-21,54600.0,55500.0,63070.0,10.12,-9250,18640,-8390
2001-06-22,54600.0,56800.0,80280.0,10.35,-14300,11300,2000
2001-06-25,57000.0,55700.0,64350.0,10.15,-6360,860,0
2001-06-26,56000.0,56000.0,53030.0,10.21,-860,640,0
2001-06-27,56000.0,58300.0,100390.0,10.63,-12290,7340,2900
2001-06-28,57700.0,59000.0,87470.0,10.75,3760,-3350,-7260
2001-06-29,59800.0,59900.0,92200.0,10.92,-10740,2210,4200
2001-07-02,59500.0,59300.0,48790.0,10.81,-12790,11500,-620
2001-07-03,59000.0,57200.0,78170.0,10.43,9110,-9810,0
2001-07-04,57200.0,58000.0,43860.0,10.57,-6660,-4050,11170
2001-07-05,57500.0,57200.0,52650.0,10.43,-20,9890,0
2001-07-06,57000.0,58900.0,49250.0,10.74,-21120,-1010,22000
2001-07-09,58500.0,58600.0,48670.0,10.68,-13620,12250,600
2001-07-10,58600.0,57800.0,37520.0,10.54,-8910,13900,-5550
2001-07-11,56500.0,56000.0,55040.0,10.21,-25698,24568,50
2001-07-12,56000.0,56100.0,35887.0,10.23,-3990,4870,-170
2001-07-13,56500.0,54900.0,43064.0,10.01,-6796,6936,0
2001-07-16,54900.0,55900.0,66730.0,10.19,-30070,34540,-4640
2001-07-18,55900.0,55800.0,25967.0,10.17,-10620,11760,0
2001-07-19,55000.0,55900.0,22200.0,10.19,-8040,9520,80
2001-07-20,55200.0,54000.0,37625.0,9.84,-2610,3300,-20
2001-07-23,53200.0,51900.0,36340.0,9.46,-11520,10380,290
2001-07-24,51900.0,51900.0,30414.0,9.46,-11480,10070,290
2001-07-25,50500.0,51600.0,19980.0,9.41,1170,-3580,2780
2001-07-26,52100.0,51700.0,17030.0,9.42,-4330,2200,3360
2001-07-27,53000.0,53900.0,28340.0,9.82,-8940,9120,-560
2001-07-30,53900.0,53300.0,10560.0,9.72,1760,-940,-470
2001-07-31,53300.0,55000.0,18230.0,10.03,-4760,4890,0
2001-08-01,55000.0,55300.0,21650.0,10.08,1010,-4180,3630
2001-08-02,55700.0,57200.0,35370.0,10.43,-5620,-230,700
2001-08-03,57700.0,57900.0,36550.0,10.55,-4330,5430,-520
2001-08-06,57200.0,58200.0,27930.0,10.61,1980,-2490,0
2001-08-07,57600.0,61500.0,119734.0,11.21,11330,-32190,32140
2001-08-08,61500.0,63000.0,85800.0,11.48,2169,-3650,2001
2001-08-09,62600.0,62100.0,36870.0,11.32,-11670,11950,0
2001-08-10,62000.0,61300.0,30910.0,11.17,-5770,6670,0
2001-08-13,61300.0,60800.0,19931.0,11.08,709,-1879,0
2001-08-14,60100.0,61300.0,42191.0,11.17,-350,-60,0
2001-08-16,60800.0,63400.0,56050.0,11.56,-6660,3400,17880
2001-08-17,62100.0,63500.0,54340.0,11.57,-4360,-8820,18100
2001-08-20,64500.0,62500.0,15215.0,11.39,3370,-4300,0
2001-08-21,63000.0,62400.0,20220.0,11.37,2280,-4860,3210
2001-08-22,61700.0,62300.0,22093.0,11.36,2480,-2510,0
2001-08-23,63000.0,63400.0,39661.0,11.56,3080,-1040,350
2001-08-24,63400.0,65000.0,73185.0,11.85,759,-2829,2900
2001-08-27,66000.0,67000.0,53105.0,12.21,-6170,-4970,8320
2001-08-28,67000.0,66900.0,40130.0,12.19,-6960,-11150,19200
2001-08-29,66900.0,66700.0,46817.0,12.16,-13843,10813,2900
2001-08-30,65700.0,65500.0,32520.0,11.94,-6390,6390,0
2001-08-31,63900.0,61700.0,74388.0,11.25,-3790,-570,50
2001-09-03,61000.0,61000.0,32485.0,11.12,-4700,4470,1900
2001-09-04,61000.0,61100.0,61395.0,11.14,5005,-22865,22400
2001-09-05,61100.0,62300.0,45826.0,11.36,680,-14810,13700
2001-09-06,62500.0,62900.0,40030.0,11.47,280,-20520,18170
2001-09-07,62900.0,62800.0,29020.0,11.45,-840,-4660,1770
2001-09-10,61900.0,61800.0,25091.0,11.26,454,-7010,4846
2001-09-11,62300.0,61300.0,60254.0,11.17,-3570,870,2700
2001-09-12,52200.0,54000.0,76390.0,9.84,-20860,30340,-11230
2001-09-13,57000.0,57500.0,63340.0,10.48,6100,-780,-5750
2001-09-14,57500.0,57000.0,72719.0,10.39,-17750,39870,-18770
2001-09-17,56500.0,57800.0,45420.0,10.54,-21360,29860,-8830
2001-09-18,58500.0,59100.0,63241.0,10.77,12931,15629,-4250
2001-09-19,60000.0,62000.0,193150.0,11.3,-18520,-14930,44940
2001-09-20,62200.0,62000.0,73680.0,11.3,-28350,24000,4510
2001-09-21,60800.0,61800.0,57710.0,11.26,8340,-290,-12450
2001-09-24,61500.0,61300.0,47840.0,11.17,-3280,16880,-11570
2001-09-25,62100.0,59900.0,48011.0,10.92,2760,-7560,5000
2001-09-26,59500.0,58400.0,69751.0,10.64,1211,12019,-10970
2001-09-27,57500.0,57600.0,57350.0,10.5,-8910,3010,5450
2001-09-28,58100.0,58800.0,51700.0,10.72,-6650,-8350,14460
2001-10-04,59400.0,58700.0,82604.0,10.7,280,17310,-22620
2001-10-05,58700.0,58100.0,41825.0,10.59,-11970,8170,3500
2001-10-08,58000.0,57400.0,35848.0,10.46,-9252,16892,2140
2001-10-09,57400.0,57000.0,61111.0,10.39,12601,-151,840
2001-10-10,57600.0,57000.0,74551.0,10.39,-6849,7099,2390
2001-10-11,58000.0,58000.0,71908.0,10.57,11568,-1108,1780
2001-10-12,58100.0,57900.0,66654.0,10.55,-1696,8666,0
2001-10-15,58300.0,59500.0,121906.0,10.85,6240,8530,0
2001-10-16,59800.0,60600.0,120526.0,11.05,-12914,-19776,42490
2001-10-17,61100.0,61300.0,72600.0,11.17,4400,-9260,0
2001-10-18,60500.0,58900.0,58412.0,10.74,3510,6400,0
2001-10-19,58000.0,59300.0,28792.0,10.81,2974,-3384,0
2001-10-22,58900.0,59100.0,45172.0,10.77,15330,-16830,0
2001-10-23,59000.0,58400.0,49000.0,10.64,-3380,10,230
2001-10-24,57600.0,58900.0,45050.0,10.74,-18190,19030,-1840
2001-10-25,58900.0,58300.0,34750.0,10.63,5320,-3500,-2000
2001-10-26,58300.0,60900.0,150370.0,11.1,12640,-52690,42820
2001-10-29,61000.0,65500.0,209788.0,11.94,-32640,-66050,106820
2001-10-30,65000.0,64500.0,120058.0,11.76,-18340,-9060,26400
2001-10-31,65000.0,65500.0,87901.0,11.94,-23907,-33050,58587
2001-11-01,66100.0,65900.0,46860.0,12.01,2330,-16640,14110
