Symbol,한화테크윈_시가(원),한화테크윈_종가(원),한화테크윈_거래량(주),한화테크윈_PER(IFRS-연결),한화테크윈_순매수수량(개인)(주),한화테크윈_순매수수량(기관계)(주),한화테크윈_순매수수량(외국인계)(주)
2000-01-04,10800,12200,1645820,,190820,-190790,-1170
2000-01-05,11600,11850,1762180,,354470,-349380,5910
2000-01-06,12050,11850,2238910,,283670,-250870,-12900
2000-01-07,11900,13500,4579310,,-391680,236490,-4810
2000-01-10,13700,13000,3911440,,22980,-830,-54610
2000-01-11,13300,13700,4900440,,-103250,-7370,15900
2000-01-12,13300,13150,2895330,,10240,-42630,-10040
2000-01-13,13150,12700,1763790,,152940,-173940,-14220
2000-01-14,12800,12800,2664300,,261620,-264650,3630
2000-01-17,12950,12650,1927060,,-11940,11120,8220
2000-01-18,12800,12900,2796510,,530,-34200,-20830
2000-01-19,12650,11850,1717280,,-124420,123490,-20160
2000-01-20,11750,12000,1655350,,-125810,139420,7390
2000-01-21,11550,11550,1066590,,-9240,45120,-12920
2000-01-24,11400,11750,1129440,,-404810,402110,2800
2000-01-25,11500,11250,753660,,-142300,139800,2950
2000-01-26,11250,11100,901310,,-125090,130180,510
2000-01-27,10800,11600,1203000,,-88390,59590,-3040
2000-01-28,11650,11900,1036890,,-137450,-117910,-5570
2000-01-31,11550,12450,2038380,,-84870,580,-40
2000-02-01,12700,12500,1835840,,-174700,78710,2470
2000-02-02,12300,13500,3451550,,-1063730,1055250,9660
2000-02-03,13400,13500,3299840,,-705120,814060,830
2000-02-07,13650,14100,3658920,,-494480,270760,-3000
2000-02-08,14100,13600,1233680,,-78510,14510,4000
2000-02-09,13600,13000,1688690,,-348440,543890,-14790
2000-02-10,13000,13000,1300980,,315530,-320810,-3720
2000-02-11,13150,12400,1663760,,66090,-173910,21100
2000-02-14,12400,12450,1451710,,-7450,42630,-24760
2000-02-15,12600,12000,1159370,,68400,-51450,-8060
2000-02-16,11800,12200,930940,,-108650,129630,14120
2000-02-17,11500,14000,2193090,,-640870,626360,-15890
2000-02-18,14500,14000,4695900,,-916020,644230,61300
2000-02-21,13700,13000,1485640,,-72700,6950,21260
2000-02-22,13000,12300,1692270,,-202450,216300,-450
2000-02-23,12300,12650,2134270,,164190,-48260,-6430
2000-02-24,12500,12400,1262580,,-52880,132730,-3190
2000-02-25,12400,12300,1064840,,-14360,52050,2800
2000-02-28,12100,12300,1294190,,-257610,266240,1270
2000-02-29,12600,11700,1380800,,22420,41860,1580
2000-03-02,12000,13300,3728750,,148160,-167890,10830
2000-03-03,12900,12500,1666250,,75400,-172130,90710
2000-03-06,12800,12500,3611550,,-39610,17230,-19070
2000-03-07,12500,12600,1414400,,-235980,113800,3480
2000-03-08,12200,12200,1238280,,-135370,116590,380
2000-03-09,12350,12100,1880050,,56140,6550,-176720
2000-03-10,12350,11800,1127930,,-6200,-66340,920
2000-03-13,11700,11200,1494630,,472430,-468640,-13400
2000-03-14,11000,11000,1219110,,-29480,44240,-930
2000-03-15,10800,10600,1204980,,244420,-437390,44270
2000-03-16,10650,10050,1250320,,152770,-171440,5850
2000-03-17,10350,10250,1266730,,149140,-166430,16780
2000-03-20,10350,10900,1987150,,-24590,-292100,305800
2000-03-21,10950,10350,968670,,59730,-189330,93380
2000-03-22,10500,10200,2267970,,469620,-497360,155500
2000-03-23,10600,10400,1930270,,190280,-271090,-1190
2000-03-24,10300,10500,1798170,,97020,-89200,180
2000-03-27,10950,10900,1751620,,38100,-102620,-50
2000-03-28,10700,10750,776930,,-38700,2110,4410
2000-03-29,10650,10950,1854680,,-111240,67280,59000
2000-03-30,10900,10500,1058960,,-316070,167690,19400
2000-03-31,10500,10700,758160,,-117710,13680,37430
2000-04-03,10500,10000,620400,,-38340,-30260,57170
2000-04-04,10000,9650,765020,,-11890,-132710,136370
2000-04-06,9640,9000,1065710,,166690,-325630,138200
2000-04-07,8860,9070,794980,,89710,-105050,15340
2000-04-10,9100,9300,1249120,,278820,-235510,-41600
2000-04-11,9300,8800,627170,,-80960,50950,-100
2000-04-12,8700,8500,1640850,,305850,-156360,-150110
2000-04-14,8160,8100,932420,,154430,-188460,0
2000-04-17,7000,6890,1848710,,91800,-207400,15980
2000-04-18,7210,7350,2141020,,368420,-52590,200
2000-04-19,7410,7300,2760980,,514540,-204420,-9670
2000-04-20,7150,7000,1354870,,403490,-385030,360
2000-04-21,7100,7770,2666730,,11230,82840,-1990
2000-04-24,7700,7350,946770,,-116520,53390,-920
2000-04-25,7280,7200,676640,,-1510,1540,0
2000-04-26,7310,6900,1149860,,-178460,203260,50700
2000-04-27,6850,6900,842190,,-106040,112950,3110
2000-04-28,6760,6910,1141370,,208940,-158830,-400
2000-05-02,6810,7010,1012480,,122420,-118210,-3160
2000-05-03,7100,7200,1789780,,365350,-241710,-5070
2000-05-04,7300,7410,2361530,,-144620,218810,-5630
2000-05-08,7550,7340,942260,,-144220,96860,40920
2000-05-09,7340,7220,604240,,-121830,127250,-5400
2000-05-10,7100,7060,506900,,33130,9600,-42430
2000-05-12,7050,6790,668500,,53910,-54750,1710
2000-05-15,6700,6500,521760,,-64860,60830,-3970
2000-05-16,6420,6130,1157480,,292350,-287530,-1920
2000-05-17,6140,5500,1937000,,269480,-270400,900
2000-05-18,5500,5250,1005570,,-230330,229050,300
2000-05-19,5210,5600,1286750,,34080,-135270,100070
2000-05-22,5700,5080,962100,,73590,-76440,-1230
2000-05-23,5000,5010,880590,,18110,-42510,12540
2000-05-24,4905,5200,1132300,,-99440,98740,-4300
2000-05-25,5400,5980,1451550,,-35720,58430,-2640
2000-05-26,6000,5550,1431230,,-267390,278390,0
2000-05-29,5300,5850,1187170,,56120,-58080,1960
2000-05-30,5950,6000,1095350,,-64810,65550,-3240
2000-05-31,6340,6300,1878840,,-78590,-2010,88700
2000-06-01,6300,6280,894830,,-54880,5380,0
2000-06-02,6700,6240,1274340,,175010,-185140,11380
2000-06-05,6600,6750,1773480,,-119120,30170,14900
2000-06-07,6610,7020,1980310,,-279730,352750,-1660
2000-06-08,7100,6280,1592770,,313210,-227460,-5930
2000-06-09,6450,6800,1319210,,-212560,215410,20100
2000-06-12,6970,6850,1169580,,166980,-172130,-100
2000-06-13,6800,6500,795870,,98910,-61850,1000
2000-06-14,6700,6520,703730,,41550,-187650,15020
2000-06-15,6420,6270,660450,,-113090,-22730,89980
2000-06-16,6020,6500,647460,,-207890,219650,-9680
2000-06-19,6660,6400,1442080,,41340,-23000,400
2000-06-20,6620,6700,671680,,-48680,45530,0
2000-06-21,6800,6630,744950,,95890,-59590,-30300
2000-06-22,6650,6640,678720,,-74170,85560,8100
2000-06-23,6500,6430,850140,,289690,-155440,8100
2000-06-26,6500,6570,1104740,,-190740,91180,78920
2000-06-27,6600,6950,1328670,,-377890,265890,51840
2000-06-28,7000,7350,2829520,,-166960,-85240,-110
2000-06-29,7450,7300,1956420,,31720,-48020,-1000
2000-06-30,7350,7380,638350,,-77830,65920,-2000
2000-07-03,7500,8000,2450420,,107580,-110990,48010
2000-07-04,7910,7700,1152980,,-63180,193670,0
2000-07-05,7900,7900,923230,,-102480,138480,-1000
2000-07-06,7700,8250,1563090,,-348270,349250,0
2000-07-07,8260,8600,2243220,,-171520,229380,5870
2000-07-10,8600,8550,1352790,,-122290,-201130,332750
2000-07-11,8510,8050,1388840,,186160,-75980,-200
2000-07-12,7930,7880,892230,,-64100,21470,200
2000-07-13,7880,7790,910980,,324200,-122340,-101400
2000-07-14,7810,7680,875180,,5150,-23510,-1200
2000-07-18,7330,7460,810520,,-56920,50510,2000
2000-07-19,7330,7200,578520,,-150880,75150,69580
2000-07-20,7010,7050,885780,,-225880,215460,6360
2000-07-21,7160,7090,742600,,143250,-147210,3920
2000-07-24,6910,6720,798810,,-217950,319850,5520
2000-07-25,6610,6540,1174170,,109250,73330,-334050
2000-07-26,6600,6510,917990,,335850,-358570,15000
2000-07-27,6460,6300,556520,,-85400,85870,-500
2000-07-28,6130,6130,425630,,-178250,76240,23370
2000-07-31,6050,6290,508380,,76740,-104930,16830
2000-08-01,6330,6690,1372140,,183320,-167290,1000
2000-08-02,6630,6520,736510,,77730,-80900,1700
2000-08-03,6590,6550,519730,,-110340,-13290,29510
2000-08-04,6510,6350,293000,,13850,-13460,390
2000-08-07,6120,6050,256510,,-22510,-490,23000
2000-08-08,6110,5910,281470,,26520,-30240,860
2000-08-09,5910,6120,483630,,88460,-98710,6390
2000-08-10,6120,6440,555920,,-113650,23730,89880
2000-08-11,6280,6440,437800,,180,-1910,220
2000-08-14,6560,6400,509630,,84590,720,-87330
2000-08-16,6500,6650,736980,,-2300,62080,-34130
2000-08-17,6700,6720,892080,,-74190,60310,0
2000-08-18,6680,6470,614160,,78110,-68770,130
2000-08-21,6310,6190,326490,,-37410,32620,1790
2000-08-22,6150,6200,300480,,15980,-60110,2740
2000-08-23,6250,6250,586670,,-32740,-101240,21880
2000-08-24,6310,6250,434570,,46870,-145050,48590
2000-08-25,6290,6220,333870,,-36550,-79710,107300
2000-08-28,6300,6430,884640,,-31760,-244840,248170
2000-08-29,6600,6900,1553780,,-296880,-149940,422180
2000-08-30,6900,6900,2100520,,240260,-252780,11130
2000-08-31,6900,6500,875590,,-21150,11320,13720
2000-09-01,6450,6490,593800,,-30800,146830,20200
2000-09-04,6510,6310,463020,,122810,-114180,-1140
2000-09-05,6380,6470,465090,,-16730,20600,4950
2000-09-06,6400,6400,326400,,-63560,3530,61050
2000-09-07,6290,6160,539790,,74710,-17970,-105430
2000-09-08,6170,6190,359840,,-78250,96280,-3010
2000-09-14,6080,6110,561350,,174100,-26030,-70870
2000-09-15,6010,6000,511240,,-9530,-19310,-89160
2000-09-18,5700,5100,922120,,123760,172970,-181420
2000-09-19,4960,4900,670130,,151130,-42810,41420
2000-09-20,5060,5070,516360,,97330,-90870,-2820
2000-09-21,4900,4755,628810,,166120,-143020,-18200
2000-09-22,4755,4510,726410,,29880,-18210,-11670
2000-09-25,4520,4710,408810,,-310,1160,-800
2000-09-26,4690,4675,369600,,8770,-31000,20000
2000-09-27,4700,4955,665210,,63320,-27600,-35700
2000-09-28,4990,5050,505320,,-110530,62550,0
2000-09-29,5050,5000,482730,,66590,-66160,0
2000-10-02,4910,4800,490040,,108010,-108010,0
2000-10-04,4700,4830,482550,,35990,-48040,7460
2000-10-05,4940,4860,1263110,,56210,-206710,-5900
2000-10-06,4860,4800,436970,,28120,-48160,0
2000-10-09,4860,4620,613130,,181570,-179330,-200
2000-10-10,4680,4555,657390,,96940,-182800,-28000
2000-10-11,4460,4400,603480,,-126110,-74850,3960
2000-10-12,4110,4120,616840,,51090,-170840,-10760
2000-10-13,3720,4190,781530,,100180,-112920,-1000
2000-10-16,4290,4250,872870,,238900,-212730,-1400
2000-10-17,4080,3685,611480,,103370,-104900,0
2000-10-18,3590,3600,1220590,,361780,-219290,2280
2000-10-19,3500,3575,824310,,160040,-5650,-2280
2000-10-20,3780,3900,2841010,,316840,61830,-134390
2000-10-23,3950,3700,890170,,-114860,105190,-4640
2000-10-24,3720,3820,887570,,-34550,45620,400
2000-10-25,3850,3760,810960,,172550,-231760,-400
2000-10-26,3700,3560,744640,,269320,-259320,0
2000-10-27,3605,3520,549440,,-139020,129000,5080
2000-10-30,3530,3425,483810,,-12510,19360,-6170
2000-10-31,3400,3400,908460,,62720,-38400,-6450
2000-11-01,3470,3830,1494950,,-217020,95640,7050
2000-11-02,3790,3900,1451460,,-77610,-1320,46980
2000-11-03,4045,3970,1840650,,133410,-58200,-50500
2000-11-06,4020,4270,2844040,,-136320,204500,-1310
2000-11-07,4325,4100,1660660,,117210,-121750,340
2000-11-08,4010,4110,834410,,-147480,94540,48020
2000-11-09,4150,4300,855250,,-10550,19440,-5120
2000-11-10,4300,4200,878370,,7240,7410,-340
2000-11-13,4050,3885,804140,,225690,-218090,-1980
2000-11-14,3920,4010,591510,,34660,-34660,0
2000-11-15,4150,4040,969880,,28030,-118630,-49660
2000-11-16,4000,3990,359840,,-12720,-3260,0
2000-11-17,3900,4005,396800,,-41650,10830,-200
2000-11-20,3950,3920,268630,,19690,-13590,-6100
2000-11-21,3915,3850,681860,,95500,-167480,-2250
2000-11-22,3800,3705,724380,,112160,54020,-170670
2000-11-23,3640,3570,786890,,95620,72480,-170670
2000-11-24,3600,3680,817940,,132090,-90840,1290
2000-11-27,3730,4060,1639080,,-367720,388310,7400
2000-11-28,3930,4000,961820,,-264570,213580,0
2000-11-29,3900,3930,611300,,-2300,7310,1000
2000-11-30,3935,3880,338430,,14270,-9410,-3840
2000-12-01,3685,3870,498580,,-40400,181810,-144470
2000-12-04,3870,3700,984440,,251920,-23030,-259920
2000-12-05,3740,3780,398820,,-16960,66940,-51000
2000-12-06,3995,3835,1101050,,32710,-54420,14700
2000-12-07,3790,4060,839560,,-336560,327190,2400
2000-12-08,4000,4120,728670,,-80020,79750,0
2000-12-11,4210,4300,1287450,,-97690,69690,1030
2000-12-12,4350,4215,963150,,-12700,34570,7540
2000-12-13,4150,4300,885430,,-225190,173880,17540
2000-12-14,4200,4215,764320,,278710,-283020,39560
2000-12-15,4185,4220,544810,,33330,-17170,-15150
2000-12-18,4160,4235,369610,,-110930,114380,5140
2000-12-19,4235,4135,556560,,-111000,88730,3020
2000-12-20,4015,3980,581880,,-870,-46680,4640
2000-12-21,3890,3970,543050,,-121780,86670,-500
2000-12-22,4050,3800,458810,,100330,-91610,0
2000-12-26,3820,3870,557410,,-105470,30290,0
2001-01-02,3870,4015,598530,15.75,127760,-44020,-5000
2001-01-03,3950,3960,431890,15.53,-35260,41560,-4900
2001-01-04,4250,4300,2361210,16.86,-195490,192330,8350
2001-01-05,4280,4800,3313830,18.83,-173930,253020,5600
2001-01-08,4670,4750,2295950,18.63,6700,70680,13110
2001-01-09,4850,4800,1564930,18.83,148040,-176370,42800
2001-01-10,4800,4240,1975540,16.63,209360,-150790,27970
2001-01-11,4350,4310,2096920,16.9,184670,-192830,-17150
2001-01-12,4450,4475,2398830,17.55,83400,-101830,20920
2001-01-15,4570,4700,3956570,18.43,389420,-210960,-13990
2001-01-16,4800,4640,1503980,18.2,-22510,-7390,4900
2001-01-17,4635,4500,1120240,17.65,-131720,125680,200
2001-01-18,4550,4685,2027070,18.38,-111540,142540,-8080
2001-01-19,4820,5380,5843860,21.1,474390,-520170,-17490
2001-01-22,5510,5480,4994810,21.49,429000,-259480,-3720
2001-01-26,5480,4890,1735250,19.18,49530,-45060,-700
2001-01-29,4990,5030,1407060,19.73,142140,-115830,0
2001-01-30,5100,5140,1566600,20.16,-216550,232650,-5500
2001-01-31,5020,5200,1244600,20.39,-186220,82150,-680
2001-02-01,5070,5300,1310060,20.79,-540740,471940,28550
2001-02-02,5300,5200,630140,20.39,-162270,194550,-1000
2001-02-05,5000,4845,824750,19,-56960,31660,-3860
2001-02-06,4845,4900,866070,19.22,126170,-156810,0
2001-02-07,4850,4800,671220,18.83,-99830,170140,-66660
2001-02-08,4710,4880,782250,19.14,-26660,22510,3230
2001-02-09,4880,4900,983550,19.22,-27570,26950,0
2001-02-12,4900,4940,1347530,19.37,119550,-111440,49100
2001-02-13,5030,4970,828790,19.49,-23550,1640,270
2001-02-14,4900,5310,1619720,20.83,-299080,237350,-27760
2001-02-15,5430,5310,2155730,20.83,-285960,187040,-25100
2001-02-16,5330,5290,999950,20.75,-307310,307830,0
2001-02-19,5230,5550,1299950,21.77,98310,204470,-3690
2001-02-20,5550,5640,1890170,22.12,-177110,294930,3480
2001-02-21,5540,5760,1463360,22.59,-232550,309190,-57980
2001-02-22,5620,5500,1063600,21.57,-75670,137160,-3170
2001-02-23,5500,5460,696080,21.41,-88070,140920,1500
2001-02-26,5510,5510,472740,21.61,-32770,7270,5160
2001-02-27,5600,5300,730560,20.79,-11100,19920,1980
2001-02-28,5110,5280,524570,20.71,-102630,100790,0
2001-03-02,5280,4910,1040830,19.26,226240,-249850,3410
2001-03-05,4770,4980,447960,19.53,-158120,123740,34610
2001-03-06,5050,4980,700470,19.53,31730,46510,-3470
2001-03-07,5050,5070,586330,19.88,-88400,197530,-5880
2001-03-08,5150,5100,427570,20,112520,-34270,-45010
2001-03-09,4990,5010,377760,19.65,-700,59830,-19710
2001-03-12,4860,4820,460870,18.9,-82900,1400,-6960
2001-03-13,4615,4700,777960,18.43,-248120,247480,0
2001-03-14,4810,4790,580210,18.79,119330,-119540,0
2001-03-15,4610,4780,541930,18.75,-112690,106860,990
2001-03-16,4700,4690,498940,18.39,7370,-18040,-1000
2001-03-19,4685,4620,384260,18.12,20050,15090,9000
2001-03-20,4750,4600,725860,18.04,255200,-259380,3460
2001-03-21,4510,4620,548350,18.12,-111120,85300,7420
2001-03-22,4640,4605,495800,18.06,-39950,-2830,-7720
2001-03-23,4690,4830,841650,18.94,-148280,135280,10000
2001-03-26,4990,5050,1250830,19.81,174060,-221990,-16960
2001-03-27,5000,4990,949820,19.57,-256170,215720,7250
2001-03-28,5100,4950,492520,19.41,-107020,62800,50000
2001-03-29,4900,4900,340050,19.22,-72230,100770,0
2001-03-30,4920,4900,374210,19.22,-67320,95820,0
2001-04-02,4810,4795,228540,18.8,-28230,28230,0
2001-04-03,4680,4705,214010,18.45,-89280,87920,0
2001-04-04,4680,4670,202680,18.32,-19030,12540,0
2001-04-06,4970,4680,584660,18.35,191280,-255380,-3670
2001-04-09,4570,4570,222200,17.92,-33960,34450,0
2001-04-10,4550,4330,495070,16.98,123840,-134180,0
2001-04-11,4430,4350,663380,17.06,291370,-298140,-1000
2001-04-12,4440,4435,1436750,17.4,392790,-528840,-6190
2001-04-13,4510,4530,709160,17.77,-99250,106590,-3740
2001-04-16,4550,4430,482720,17.37,81650,18410,0
2001-04-17,4400,4460,326270,17.49,-56050,6050,20000
2001-04-18,4530,4690,1016300,18.39,118220,-196420,4180
2001-04-19,4930,4865,1972840,19.08,-198160,231500,-6180
2001-04-20,4900,4750,581990,18.63,-86480,80430,0
2001-04-23,4705,4820,419370,18.9,-94120,34190,55010
2001-04-24,4710,4700,579480,18.43,210680,-160340,-51010
2001-04-25,4700,4800,531290,18.83,14080,-44390,3100
2001-04-26,4850,4740,473380,18.59,134660,-116430,4440
2001-04-27,4705,4660,170480,18.28,-15520,12840,3660
2001-04-30,4690,4800,734600,18.83,12890,41560,2330
2001-05-02,4810,4820,997290,18.9,78310,-169020,108200
2001-05-03,4865,4810,370220,18.86,47050,-21180,-20040
2001-05-04,4760,4870,289120,19.1,-70200,40200,10670
2001-05-07,4870,5040,1097150,19.77,-13820,1510,3400
2001-05-08,5040,5120,952430,20.08,-85680,92400,900
2001-05-09,5100,4980,580540,19.53,94800,-97080,-5060
2001-05-10,4980,5050,480890,19.81,70860,-96410,-13720
2001-05-11,5050,5200,757440,20.39,-181980,187540,-700
2001-05-14,5250,5170,366780,20.28,-9530,22920,-3300
2001-05-15,5100,5050,731790,19.81,-70860,79320,0
2001-05-16,5030,4960,742880,19.45,192620,-261410,0
2001-05-17,5160,5430,3218960,21.3,-121310,44400,-2850
2001-05-18,5310,5370,1061180,21.06,-93850,103680,-150
2001-05-21,5450,5410,1586430,21.22,164270,-185890,100
2001-05-22,5510,5350,1072540,20.98,-145830,109810,-100
2001-05-23,5350,5360,875030,21.02,114560,-107640,0
2001-05-24,5280,5460,552010,21.41,-96830,89250,0
2001-05-25,5600,5480,1950830,21.49,374330,-207060,20000
2001-05-28,5390.0,5290.0,545490.0,20.75,118320,-131080,0
2001-05-29,5240.0,5340.0,786360.0,20.94,42490,-43800,0
2001-05-30,5250.0,5200.0,683820.0,20.39,204320,-203160,1650
2001-05-31,5100.0,5010.0,1473230.0,19.65,370000,-602410,205840
2001-06-01,5090.0,5040.0,691580.0,19.77,91730,69440,610
2001-06-04,5070.0,5090.0,384930.0,19.96,1350,3930,1000
2001-06-05,5080.0,5120.0,723410.0,20.08,-234620,136900,92140
2001-06-07,5120.0,5170.0,463160.0,20.28,-62670,77460,0
2001-06-08,5300.0,5480.0,1936490.0,21.49,-374380,370310,-20000
2001-06-11,5330.0,5450.0,1008090.0,21.38,-179910,188010,0
2001-06-12,5500.0,5680.0,2218640.0,22.28,-208380,25300,0
2001-06-13,5700.0,5680.0,870630.0,22.28,50630,-25590,-11950
2001-06-14,5670.0,5690.0,1243820.0,22.32,48600,-39080,30270
2001-06-15,5610.0,5650.0,787580.0,22.16,-47310,46430,-14110
2001-06-18,5640.0,5500.0,835210.0,21.57,40530,26250,-45000
2001-06-19,5590.0,5480.0,861020.0,21.49,89700,-111430,-39560
2001-06-20,5530.0,5210.0,815690.0,20.43,-153760,158680,-16740
2001-06-21,5220.0,5180.0,599590.0,20.32,137810,-156340,0
2001-06-22,5180.0,5190.0,370040.0,20.36,63440,-78330,15080
2001-06-25,5150.0,5190.0,465340.0,20.36,118830,-123260,-5080
2001-06-26,5160.0,5020.0,512750.0,19.69,55050,-29830,5050
2001-06-27,5100.0,5130.0,396990.0,20.12,-67540,54740,5910
2001-06-28,5060.0,5120.0,292480.0,20.08,42050,1580,590
2001-06-29,5230.0,5200.0,381170.0,20.39,64990,-95240,-8580
2001-07-02,5200.0,5220.0,370930.0,20.47,-32320,16760,-2650
2001-07-03,5250.0,5140.0,269030.0,20.16,13730,-21870,0
2001-07-04,5080.0,5120.0,354700.0,20.08,58470,-62210,0
2001-07-05,5120.0,5200.0,313370.0,20.39,-64350,63890,0
2001-07-06,5060.0,5000.0,542910.0,19.61,148590,-49800,0
2001-07-09,4850.0,4850.0,610930.0,19.02,-119750,94640,9500
2001-07-10,4850.0,4860.0,195620.0,19.06,-54330,63230,2340
2001-07-11,4660.0,4755.0,268320.0,18.65,-102290,93420,0
2001-07-12,4800.0,4900.0,339600.0,19.22,-25250,44110,-4450
2001-07-13,5000.0,4800.0,268680.0,18.83,-57850,12670,-2000
2001-07-16,4820.0,4795.0,159340.0,18.8,-44170,61090,4540
2001-07-18,4840.0,4730.0,251480.0,18.55,11620,-880,1220
2001-07-19,4620.0,4635.0,410840.0,18.18,38610,-61620,3290
2001-07-20,4630.0,4500.0,601900.0,17.65,89670,-85930,0
2001-07-23,4800.0,4420.0,526830.0,17.34,16380,-17420,3050
2001-07-24,4380.0,4390.0,684410.0,17.22,19560,-162660,4450
2001-07-25,4265.0,4280.0,368040.0,16.79,63940,-46300,-10180
2001-07-26,4340.0,4300.0,340410.0,16.86,130620,-128730,0
2001-07-27,4400.0,4430.0,558280.0,17.37,84800,45660,-8800
2001-07-30,4430.0,4300.0,239870.0,16.86,26630,-18420,-5770
2001-07-31,4400.0,4385.0,400530.0,17.2,170700,-170700,0
2001-08-01,4400.0,4600.0,843500.0,18.04,-126960,120420,-50900
2001-08-02,4560.0,4600.0,625910.0,18.04,-104630,35010,0
2001-08-03,4600.0,4560.0,260240.0,17.88,1170,11540,-7320
2001-08-06,4480.0,4510.0,391080.0,17.69,148360,-148690,0
2001-08-07,4480.0,4470.0,288120.0,17.53,-7690,6960,0
2001-08-08,4475.0,4435.0,207870.0,17.4,2630,-630,0
2001-08-09,4410.0,4365.0,211990.0,17.12,5230,-6310,0
2001-08-10,4430.0,4445.0,206220.0,17.43,-22440,18300,1900
2001-08-13,4485.0,4400.0,139000.0,17.26,15130,-15220,0
2001-08-14,4420.0,4605.0,945750.0,18.06,-118560,-101720,50
2001-08-16,4510.0,4575.0,392960.0,17.94,18900,9890,0
2001-08-17,4610.0,4560.0,411480.0,17.88,-31740,32460,460
2001-08-20,4420.0,4400.0,238540.0,17.26,17650,-34320,0
2001-08-21,4450.0,4410.0,193490.0,17.3,-12940,11760,0
2001-08-22,4340.0,4410.0,255280.0,17.3,10850,-12640,0
2001-08-23,4430.0,4365.0,208490.0,17.12,33870,-35530,0
2001-08-24,4375.0,4310.0,234840.0,16.9,-19070,17650,0
2001-08-27,4380.0,4380.0,347940.0,17.18,-72170,35710,0
2001-08-28,4350.0,4310.0,162920.0,16.9,18980,-17560,0
2001-08-29,4260.0,4140.0,260420.0,16.24,45200,-39080,110
2001-08-30,4140.0,3980.0,583020.0,15.61,382600,-364640,40
2001-08-31,3850.0,3840.0,600210.0,15.06,-132730,128530,0
2001-09-03,3890.0,3800.0,261650.0,14.9,1110,-4650,0
2001-09-04,3720.0,3900.0,447280.0,15.3,92030,-9990,990
2001-09-05,3810.0,3925.0,230730.0,15.39,-50380,66510,-2700
2001-09-06,3940.0,3930.0,312590.0,15.41,-6370,15630,0
2001-09-07,4010.0,3970.0,250030.0,15.57,92910,-67180,-9550
2001-09-10,3960.0,3890.0,175020.0,15.26,42670,-34130,-280
2001-09-11,3920.0,3800.0,215150.0,14.9,52450,-69530,17080
2001-09-12,3230.0,3450.0,1210210.0,13.53,-606170,620480,3730
2001-09-13,3445.0,3510.0,754280.0,13.77,95530,-86170,-9250
2001-09-14,3460.0,3200.0,585380.0,12.55,9370,56470,-3870
2001-09-17,3200.0,2995.0,1588300.0,11.75,299100,108180,-6000
2001-09-18,3050.0,3035.0,2389750.0,11.9,933060,-848010,-2500
2001-09-19,3085.0,3050.0,2321520.0,11.96,88890,-85140,5000
2001-09-20,2980.0,2885.0,1968120.0,11.32,238420,-579350,-3930
2001-09-21,2800.0,2740.0,2438830.0,10.75,277130,-416690,20000
2001-09-24,2820.0,2900.0,1526540.0,11.37,90850,-116870,18000
2001-09-25,3000.0,2745.0,1226060.0,10.77,82070,-59190,-8000
2001-09-26,2800.0,2800.0,566580.0,10.98,-47540,54430,-7220
2001-09-27,2800.0,2835.0,483570.0,11.12,22230,-22030,0
2001-09-28,2890.0,2975.0,1506960.0,11.67,466370,-290270,-176460
2001-10-04,3120.0,3060.0,1786720.0,12.0,484590,-361520,-98890
2001-10-05,3050.0,3000.0,896220.0,11.77,-138440,138440,0
2001-10-08,3000.0,3450.0,4793070.0,13.53,534580,-333760,-27000
2001-10-09,3450.0,3350.0,4998130.0,13.14,371150,-181990,7300
2001-10-10,3395.0,3215.0,2207500.0,12.61,99640,-94720,-3300
2001-10-11,3325.0,3265.0,1762090.0,12.81,68660,-70400,0
2001-10-12,3335.0,3260.0,1398760.0,12.79,-39510,27080,100
2001-10-15,3200.0,3205.0,811480.0,12.57,16600,-9320,500
2001-10-16,3200.0,3240.0,997950.0,12.71,99970,-109970,0
2001-10-17,3330.0,3330.0,1659260.0,13.06,-8220,-103770,310
2001-10-18,3270.0,3380.0,3198000.0,13.26,-221820,-89270,271090
2001-10-19,3450.0,3420.0,1355720.0,13.41,-447090,320850,90170
2001-10-22,3450.0,3415.0,840370.0,13.39,-45860,-1340,37200
2001-10-23,3450.0,3450.0,1381900.0,13.53,-204180,179850,4170
2001-10-24,3420.0,3555.0,1295890.0,13.94,-399260,246900,8890
2001-10-25,3610.0,3440.0,677440.0,13.49,78670,-91180,10000
2001-10-26,3420.0,3395.0,567410.0,13.32,-49660,48490,0
2001-10-29,3400.0,3350.0,638660.0,13.14,119640,-63400,-15320
2001-10-30,3280.0,3300.0,502730.0,12.94,-88460,143090,-49800
2001-10-31,3260.0,3330.0,567010.0,13.06,-100860,225150,0
2001-11-01,3300.0,3320.0,610940.0,13.02,87500,-85230,-270
2001-11-02,3380.0,3385.0,932550.0,13.28,59410,-104590,52670
2001-11-05,3435.0,3410.0,539630.0,13.37,-32300,31080,0
2001-11-06,3430.0,3400.0,618350.0,13.33,37810,-50090,7980
2001-11-07,3450.0,3320.0,661080.0,13.02,204400,-158900,0
2001-11-08,3320.0,3400.0,685890.0,13.33,37350,-95620,50090
2001-11-09,3405.0,3570.0,1612240.0,14.0,-167890,190010,-25340
2001-11-12,3700.0,3790.0,2012080.0,14.86,271610,-234110,-20000
2001-11-13,3750.0,3710.0,1105880.0,14.55,6720,1470,170
2001-11-14,3780.0,3830.0,2886300.0,15.02,538310,-330110,-340
